#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
投	dei2	
抖	tei3	
抗	kʰɑŋ3	
折	tsəʔ7	
披	pʰi1	
抬	dᴇ2	
抱	bɔ6	
抵	ti3	
抹	mɑʔ8	
押	ʔiɑʔ7	
抽	tsʰei1	
抿	min3	
拄	tsʮ5	
拆	tsʰɑʔ7	
拉	lɑ1	
拋	pʰɔ1	
拌	buõ6	
拍	pʰɑʔ7	
拎	lin1	
拐	kuᴇ3	
拒	dzʮ6	
拓	tʰɑʔ7	
拓	tʰoʔ7	
拔	bɑʔ8	
拖	tʰo1	
拘	tsʮ1	
拙	tsʮəʔ7	
拚	pʰin1	
招	tsɔ1	
拜	pᴇ5	
括	kuɑʔ7	
拱	koŋ3	
拳	dzʮõ2	
拴	sʮõ1	
拷	kʰɔ1	
拼	pʰin1	
拾	zəʔ8	
拿	nɑ2	
持	dzɿ2	
指	tsɿ3	
按	ʔᴇ̃5	
挑	tʰiɔ1	
挖	ʔuɑʔ7	
挨	ʔᴇ1	
挨	ʔiᴇ1	
挪	nɑ1	
振	tsen5	
挺	tʰin3	
挾	tɕiɑʔ7	
挾	tɕiəʔ7	
捉	tsoʔ7	
捎	sɔ1	
捏	ȵiɑʔ8	
捐	ɦyõ2	
捕	bu6	
捧	pʰoŋ3	
捱	ʔiᴇ1	
捲	tsʮõ3	
捷	dʑiəʔ8	
捺	nɑʔ8	
掀	ɕin1	
掃	sɔ3	
掃	sɔ5	
掇	toʔ7	
授	zei6	
掉	diɔ6	
掌	tsɑŋ3	
