#漢字	音標	解釋
#簡稱	/	江門墟頂
#全稱	/	江門市區話（墟頂）
#聲母	/	
#韻母	/	
#聲調	/	23 1 1a 陰平陰去 ꜀,45 3 2 陰上 ꜂,,21 2 1b 陽平陽上 ꜁,,32 6 3 陽去 ꜅,45 7a 4a 上陰入 ꜆,23 7b 4b 下陰入 ꜀,32 8a 4c 陽入 ꜇,21 8b 4d 變入 ꜁
#版本	/	2022-02-13
#錄入人	/	Kwíngiem Chan
#參考資料	/	
#說明	/	
妙	miu6	
妝	tsɔŋ1	
妞	nɐu2	
妣	pei2	
妥	hɔ1	
妨	fɔŋ4	
妮	nei4	泥土
妳	nei1	
妹	mui6	
妻	tsʰɐi1	
妾	tsʰip8	
姆	mou4	
姊	tsi2	
始	tsʰi2	
姍	san1	
姐	tsɛ2	
姑	ku1	
姒	tsʰi1	
姓	sɪŋ1	
委	wɐi1	虛與委蛇，委委佗佗
委	wɐi2	委託
姚	jiu4	
姜	kiɔŋ1	
姦	kan1	
姨	ji4	
姪	tsɐt9	
姬	kei1	
姻	jɐn1	
姿	tsi1	
威	wɐi1	
娃	wa1	
娑	sɔ1	
娓	mei2	
娘	niɔŋ4	
娛	ji4	
娜	na4	
娜	nɔ4	
娟	kin1	
娥	ŋɔ4	
娶	tsʰui2	
婆	pʰɔ4	
婉	jin2	
婚	fɐn1	
婢	pʰei1	
婢	pʰei2	
婦	fu1	
婪	lam4	
婷	hɪŋ4	
婺	mou6	
婿	sɐi1	
媒	mui4	
媚	mei6	
媧	wɔ1	
媲	pʰei1	
媳	sɪk7	
媽	ma1	
媽	ma2	
嫁	ka1	
嫂	sou2	
嫉	tsɐt9	
嫌	jim4	
嫗	ji2	
嫣	jin1	
嫦	siɔŋ4	
嫩	nin6	
嫻	han4	
嬉	hei1	
嬌	kiu1	
嬛	hin1	便嬛
嬛	kʰɪŋ4	美好
嬛	wan4	嫏嬛
嬤	ma1	塗抹
嬰	jɪŋ1	
嬸	sɐm2	
子	tsi2	
孔	hʊŋ2	
孕	jɐn6	
字	tsi6	
存	tsʰin4	
孜	tsi1	
孝	hau1	
孟	mɐŋ6	
孢	pau1	
