#漢字	音標	解釋
#簡稱	/	東至
#全稱	/	東至話
#聲母	/	
#韻母	/	
#聲調	/	11 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,35 3 2 上 ꜂,,41 5 3 去 ꜄,,55 7 4 入 ꜆
#版本	/	2022-03-15
#錄入人	/	空島。
#參考資料	/	《東至縣誌》
#說明	/	
龐	pʰaŋ2	
廢	fei5	
度	tʰu1	
座	tsʰo1	
庭	tʰin2	
庵	ŋan1	
庶	sy1	
康	kʰaŋ1	
庸	ioŋ1	
廊	laŋ2	
廓	kʰo7	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	loŋ1	
弄	noŋ5	
弊	pi5	
式	sɿ5	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弛	tsʰɿ2	
弟	ti1	
張	tsaŋ1	
弥	mi2	
弦	ɕiɛn2	
弧	xu2	
弩	nu3	
彎	uan1	
彎	tɕʰioŋ2	
弱	zo7	
彈	tan1	子弹
彈	tʰan2	弹簧
强	tɕʰiaŋ2	
歸	kuei1	
當	taŋ1	
當	taŋ5	典当
录	lu7	
彝	i2	
形	ɕin2	
彤	tʰoŋ2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彰	tsaŋ1	
影	in3	
彷	pʰaŋ2	
徹	tsʰæ7	
彼	pi3	
往	uaŋ3	
征	tsən1	
待	tai1	待着
很	xən3	
徊	xuai2	
律	li7	
徐	tsʰy2	
徒	tʰu2	
得	tæ7	
御	y1	
微	uei1	
德	tæ7	
徽	xuei1	
心	ɕin1	
必	pi7	
憶	i5	
忌	tɕi5	
忍	zən3	
忏	tsʰan5	
志	tsɿ5	
忘	uaŋ1	
忙	maŋ2	
忠	tsoŋ1	
忡	tsʰoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵiɛn1	
忽	xu1	
懷	xuai2	
態	tsɿ1	
態	tʰai1	
慫	soŋ3	
慪	ŋəu5	
慪	ŋiəu5	
怎	tsən3	
怒	nu1	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tai1	
怡	i2	
急	tɕi7	
性	ɕin5	
怨	yan1	
怪	kuai5	
怯	tɕʰie7	
總	tsoŋ3	
戀	liɛn2	
恍	xuaŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	sy1	
恙	iaŋ1	
恢	xuei1	
恨	xən1	
恩	ən1	
恭	koŋ1	
恰	tɕʰia7	
懇	kʰən3	
恶	u1	
恶	ŋo7	
愷	kʰai3	
惱	nau3	
悄	tɕʰiau1	
悔	xuei3	
悟	u5	
悠	iəu1	
患	xon5	
悅	yæ7	
懸	ɕyan2	
憫	min3	
悲	pei1	
悼	tau5	
情	tɕʰin2	
惆	tsʰəu2	
惋	uon3	
惑	xo7	
惕	tʰi5	
惜	ɕi7	
惟	uei2	
惠	xuei1	
惦	tʰiɛn1	
懼	tsy5	
慘	tsʰan3	
憊	pei5	
愜	tɕʰie7	
慚	tsʰan2	
慣	kon5	
慣	kuan5	
惰	to5	
想	ɕiaŋ3	
惹	yæ3	
惺	ɕin1	
愁	tsʰəu2	
愈	y1	
愉	y2	
意	i5	
愚	y2	
感	kan3	
愣	lən1	
憤	dən5	
愧	kʰuei5	
願	yan1	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	sən5	
慕	mo1	
慢	man1	
慧	xuei1	
慨	kʰai3	
慰	uei1	
慷	kʰaŋ1	
憋	pie7	
憎	tsən5	
憔	tɕʰiau2	
憧	tsʰoŋ1	
憨	xan1	
憾	xan5	
懂	toŋ3	
懈	ɕie1	
懈	ɕiai1	
懊	ŋau1	
懶	lan3	
懦	no7	
戊	u5	
戌	sy1	
戎	zoŋ2	
戲	ɕi5	
成	tsʰən2	
我	ŋo3	
戒	tɕiai5	
或	xuæ7	
戰	tsan5	
戚	tɕʰi1	
截	tɕie7	
戳	tsʰo7	
戴	tai5	
戶	xu1	
房	faŋ2	
所	so3	
扁	piɛn3	
扇	san5	
手	səu3	
才	tsʰai2	
扎	tsa7	
扑	pʰu1	
扒	pa1	扒开
扒	pʰa2	扒手
打	ta3	
扔	zən1	
托	tʰo7	
扛	kʰaŋ2	
扣	kʰəu5	
扣	kʰiəu5	
擴	kʰo7	
掃	sau3	打扫
掃	sau5	扫地
揚	iaŋ2	
扭	ȵiəu1	别扭
扭	tsəu3	拧开
扭	ȵiəu3	扭打
扮	pon5	
扯	tsʰæ3	
擾	tsau3	
扳	pan1	
扶	fu2	
批	pʰi1	
批	pʰi2	
扼	ŋo7	
找	tsau3	
承	tsʰən2	
技	tɕʰi1	
抄	tsʰau1	
把	pa3	
抑	i5	
抒	sy1	
抓	tɕya1	
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
折	tsæ7	
撫	fu2	
抛	pʰau1	
摳	kʰəu1	
摳	kʰiəu1	
掄	luən1	
搶	tɕʰiaŋ3	
護	xu1	
報	pau5	
抨	pʰoŋ1	
披	pʰi1	
抬	tʰai2	
抵	ti3	
抹	mo3	抹去
抹	ma7	
押	ia1	
抽	tsʰəu1	
抿	min3	
拂	fei5	
拂	fu7	
拄	tsy3	
擔	tan1	担任
擔	tan5	负担
拆	tsʰæ7	
拇	mu3	
拈	ȵiɛn1	
拉	la1	
拌	pon7	
拍	pʰæ7	
拎	ȵin1	
拐	kuai3	
拓	tʰo7	
拔	pʰa1	
拖	tʰo1	
拘	tsy1	
拙	tɕyæ7	
招	tsau1	
拜	pai5	
擬	ȵi3	
攏	loŋ3	
揀	tɕiɛn3	
擁	ioŋ1	
擰	ȵin2	
撥	po7	
擇	tsæ7	
拭	sɿ5	
拯	tsən3	
拱	koŋ3	
拳	tɕʰyan2	
拴	ɕyan1	
拷	kʰau5	
拼	pʰin1	
拽	tɕyai3	
拿	na2	
