#漢字	音標	解釋
噫	ji1	
噬	ɬai6	
噯	ai3	
噱	ka6	
噲	kʷʰɔi3	
噴	pʰan3	
噸	ɗan1	
噹	ɗaŋ1	
噻	ɬak7	
嚀	neŋ4	
嚅	ʃy4	
嚆	hɔu1	
嚇	ha2	
嚌	tai6	
嚎	əu4	
嚏	tʃʰiu1	
嚐	ʃa4	
嚓	tʃʰɔt8	
嚕	lu4	
嚥	jin3	
嚦	lek9	
嚨	loŋ4	
嚨	loŋ1	白讀
嚮	ja3	
嚳	kʰok7	
嚴	ȵim4	
嚶	eŋ1	
嚷	ȵa4	
嚼	tʰa2	
囀	tʃyn3	
囁	ȵɛp10	
囂	hiu1	
囅	tʃʰit7	
囈	ŋai6	
囉	lo1	
囊	nɔŋ4	
囑	tʃok7	
囔	nɔŋ1	
囗	wai4	
囚	tʃau4	
四	ɬi3	
回	wui4	
囟	ɬan3	
因	an1	
囤	ɗan2	
囩	wan4	衡量次數的量詞
囪	tʰoŋ1	
囫	kun4	
困	kʷʰan3	
困	wan3	口語，關（在某處）
囹	leŋ4	
固	ku3	
囿	jau6	
圃	pʰu2	
圄	ȵy5	
圇	lan5	满也。如：桌上擺～雜物。
圈	kʰyn1	
圉	ȵy5	
圊	tʰeŋ1	
國	kʷɔk8	
圍	wai4	
園	jyn4	
圓	jyn4	
圖	tu4	
團	tyn4	
圜	jyn4	
土	tʰu2	
在	tɔi5	
圩	wai4	關於「集市」之「圩」見「墟」
圪	ŋat9	
圬	wu1	
圭	kʷai1	
圮	pi5	
圯	ji4	
地	ti6	
圳	tʃan3	深～：地名，在廣東
圻	ŋan4	同「垠」
圻	ki4	
圾	ɬɔp8	
址	tʃi2	
均	kʷan1	
坊	fɔŋ2	
坌	pan6	
坎	hɔm2	
坎	ham1	～坷
坏	pʰui1	同「坯」，又見「壞」的簡體
坐	tœ5	
坑	kʰɔŋ1	～害
坑	ha1	水～
坡	pʰo1	
坤	kʷʰan1	
坦	tʰɔn2	
坨	to4	
坩	kɔm1	
坪	peŋ4	
坫	ɗim3	
坭	nai4	
坯	pʰui1	
坰	kʷeŋ1	
坳	ɔu3	
坶	mok9	同「牧野」之「牧」
坶	mu5	「壚～」「阿～坪」
坷	ho1	
坻	ɗai2	山坡
坻	tʃi4	水中高地：宛在水中～
坼	tʃʰa2	裂，爆裂
垂	ʃui4	
垃	lɔp10	
型	eŋ4	
垌	toŋ6	田地：出～，田～
垓	kɔi1	
垛	ɗœ3	
垜	ɗœ3	
垠	ŋan4	
垡	fɔt10	
垢	kɔu2	
垣	wun4	
垤	tɛt10	
垮	kʷʰɔ2	
垵	jim2	
垸	jyn4	
垸	jyn6	兩湖地區指湖堤
垻	ɓɔ3	
埂	ka2	
埃	ɔi1	
埋	mɔi4	
埌	lɔŋ5	
城	ʃeŋ4	
埏	jin4	
埏	ʃin1	以水和泥「～埴」
埒	lœt10	
埔	pʰu2	
埕	tʃœŋ4	罈子，罐子
域	wek9	
埠	fau6	
埠	pu6	
埤	pʰai3	～堄
埤	pi4	
埭	tɔi6	
埯	jim2	
埴	tʃek9	
執	tʃap7	
埸	ek9	
培	pui4	
基	ki1	
埽	ɬəu2	
埽	ɬəu3	通「掃」
堀	wat7	同「窟」，孔穴
堀	kʷat9	突出
堂	tɔŋ4	
堃	kʷʰan1	
堅	kin1	
堆	ɗui1	
堇	kan2	
堊	ɔk8	
堋	ɓaŋ3	下葬
堋	paŋ4	充當箭靶的矮墙；分水的堤壩
堍	tʰu3	
堖	nəu5	
堘	ʃœŋ4	同「塍」
堙	an1	
堝	kʷo1	
堞	tɛp10	
堠	au6	
堡	ɓəu2	
堤	tai4	
堪	hɔm1	
堪	ham1	
堯	ȵiu4	
堰	jin3	
報	ɓəu3	
場	tʃa4	
堵	ɗu2	
塄	laŋ4	
塊	wɔi3	文讀
塋	weŋ4	
塌	tʰɔp8	
塍	ʃœŋ4	田～：田埂；江～：江堤
塏	hɔi2	
塑	ɬu3	見於1959年資料及《玉林市志》
塑	ʃɔk8	見於1959年資料及《玉林话研究》
塒	ʃi4	
塔	tʰɔp8	
塗	tu4	
塘	tɔŋ4	
塚	tʃoŋ2	
塞	ɬak7	堵～
塞	ɬɔi3	邊～
塢	wu3	
塤	ɬyn2	
塥	ka2	
填	tin4	文讀
填	tan4	白讀
塭	wan1	
塵	tʃan4	
塹	tʰim3	
塾	ʃok9	
墀	tʃi4	
墁	mun4	
境	keŋ2	
墅	ʃy2	《玉林市志》
墅	ʃy3	《玉林话研究》
墉	joŋ4	
墊	tim5	「簟」之訓讀
墓	mu6	
墚	la4	
墜	tʃui6	
增	ɗaŋ1	
墟	hy1	
墨	mak9	
墩	ɗan1	
墮	tœ6	～落
墳	fan4	
墼	kak9	
墾	han2	
壁	ɓek7	
壅	oŋ1	
壇	tɔn4	
壑	kʰɔk8	
壓	ɔt8	
壓	ap7	《广西通志・汉语方言志》中的記音
壕	əu4	
壘	lui5	
壙	kʷʰɔŋ3	
壚	lu4	
壞	wɔi6	
壟	loŋ5	
壢	lek7	
壤	ȵa4	
壩	ɓɔ3	
士	ʃi6	
壬	ȵam4	
壯	tʃɔŋ3	
壹	jat7	
壺	wu4	
壼	kʷʰan	
壽	ʃau6	
夂	tʃi2	
夏	ɔ6	
夔	kʷai4	
夕	tek9	
外	ŋɔi6	白讀：～套
外	wɔi6	文讀：裏～、～公
夙	ɬok7	
多	ɗo1	
夜	jɛ6	形容詞，表示「天色暗，時候不早」
夜	jɛ3	名詞
夠	kau3	
夢	moŋ6	
夤	jan4	
夥	wo2	多
夥	fo2	～計
大	tɔi6	
天	tʰin1	
太	tʰɔi3	
夫	fu1	
夫	fu4	文言中表示句首發語詞、指示詞、語氣詞
夭	jiu1	
