#漢字	音標	解釋
物	vəʔ8	
牯	ku1	
牽	tɕʰi1	
特	dəʔ8	
犁	lai2	
犬	kʰai3	
狀	dʑiɔ̃6	
狂	vɔ̃2	
狗	kɑu3	
狹	a6	
獵	ləʔ8	
猛	mɔŋ2	
猜	tsʰø1	
豬	ty1	
猫	mɔ̃2	
獻	ɕi5	
獺	tʰəʔ7	
玉	ȵiəʔ8	
王	vɔ̃2	
環	ɡue2	
環	ve2	
現	i6	
珠	tɕy1	
班	pa1	
琴	dʑieŋ2	
瓊	dʑiɔŋ2	
璧	piəʔ7	
瓜	ko1	
瓦	ŋo6	名
瓦	ŋɔ̃6	
瓶	bieŋ2	
甕	ɔŋ1	
甘	ke1	
甜	dai2	
生	tsʰã1	
生	sai1	
生	sã1	
用	iɔŋ6	
甲	kəʔ7	
男	nei2	
畫	o6	
留	lieu2	
畜	səʔ7	~生
略	ləʔ8	
番	fe1	
疏	su1	
瘡	tsʰɔ̃1	
病	bã6	
痒	ʑiɔ̃6	
痕	ᴀŋ2	
痕	hᴀŋ2	
痣	tsɿ5	
痱	pai5	
癬	ɕi3	
登	tᴀŋ1	
白	ba6	
百	pa5	
皮	bø2	
皮	bi2	
皺	tsɑu5	
益	iəʔ7	
盞	tse3	
鹽	i2	名
盒	ha6	
盖	ka5	
盖	ke5	
盤	be2	
目	məʔ8	
直	diəʔ8	
直	dʑiəʔ8	
眉	mi1	
真	tɕieŋ1	
眼	ŋai3	
睏	kʰuᴀŋ5	睡
督	təʔ7	
短	tø3	
矮	ai3	
石	ʑy6	
石	ʑiəʔ8	
石	zəʔ8	
磚	tsø1	
破	pʰu5	
礎	tsʰu3	
硬	ŋã6	
碎	sø5	
碓	ta5	
碗	ve3	
碧	piəʔ7	
磕	kʰəʔ7	
磡	kʰø1	
磨	mo2	动
磨	mo6	名词
祖	tsu3	
神	ʑieŋ2	
祠	zɿ2	
票	pʰieu5	
祭	tsɿ5	
福	hɔ3	
离	li2	
秃	tʰəʔ7	
私	sɿ1	
秋	tɕʰieu1	
種	tsɔŋ5	动
租	tsɿ1	
秤	tɕʰieŋ5	
秦	dʑieŋ2	
秧	ɔ̃1	
秧	iã1	
積	tɕiəʔ7	
移	i2	
税	sø5	
稗	pʰai5	
穩	ø3	
窮	dʑiɔŋ2	
空	kʰɔŋ1	有~
穿	tɕʰy1	
突	dəʔ8	
窗	tʰɔŋ1	
窟	kʰəʔ7	
窠	kʰu1	
端	tø1	
竹	təʔ7	
笋	ɕiɔŋ3	
笑	tɕʰieu5	
筆	piəʔ7	
笠	liəʔ8	
符	vu2	
笨	bᴀŋ6	
籠	lɔŋ2	
等	tai3	
等	tᴀŋ3	
