#漢字	音標	解釋
□	pv̩1	~子:姑姑
繞	lɔ1	
繪	xuɪ5	
給	kɛ3	给你
絡	laʔ7	
絶	tɕyʊʔ7	
絞	kɔ3	
絞	tɕiɔ3	
統	tʰɔŋ3	
統	tʰɔŋ3	总共
絹	tɕyʊ̃5	
繡	ɕiɤɯ5	
繼	tɕiᶽ5	
績	tɕiʔ7	
緒	ɕyᶽ5	
續	sɔʔ7	
續	ɕyᶽ5	普化音
綽	tsʰaʔ7	绰起棍子
繩	sən2	
維	vɪ2	
綿	miɪ̃2	
綢	tsʰɤɯ2	
綜	tsɔŋ1	
綻	tsæ̃5	
綠	lɔʔ7	
綴	tɕyɪ5	
緬	miɪ̃3	
緝	tɕiʔ7	
緞	tʊ̃5	
緩	xuæ̃3	
縷	yᶽ3	
編	piɪ̃1	
緣	yʊ̃2	
縛	faʔ7	
縫	fɔŋ1	一条缝
縫	fɔŋ2	缝衣服
纏	tsʰiɪ̃2	
纓	in1	
縮	sɔʔ7	
繮	tɕiaŋ1	
繰	kʰɔ1	
繳	tɕiɔ3	
缸	kaŋ1	
缺	tɕʰyʊʔ7	
罐	kʊ̃5	
网	vaŋ3	
罕	xæ̃5	
羅	lo2	
罰	fæʔ7	
罷	pa5	
罩	tsɔ5	
罪	tɕʰyɪ1-	
罪	tɕyɪ5=	
置	tsɿ5	
署	tsʰv̩5	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mɪ3	
羔	kɔ1	
羞	ɕiɤɯ1	
羡	ɕiɪ̃5	
群	tɕʰyn2	
羹	kən1	
羽	yᶽ3	
翁	ɔŋ1	
翅	tsɿ5-	
翅	tsʰɿ5=	
翎	lin2	
翠	tɕʰyɪ5	
翡	fɪ3	
翰	xæ̃5	
翻	fæ̃1	
翼	iʔ7	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsɛ3	
而	a2	
耍	ɕya3	
耐	nɛ5	
耕	kən1	
耗	xɔ5	
耙	pʰa2	
耳	a3	
耶	ia1	耶稣
耻	tsʰɿ3	
耽	tæ̃1	
耿	kən3	
聶	niʔ7	
聊	liɔ2	
聾	lɔŋ2	
職	tsəʔ7	
聒	kuæʔ7	
聯	liɪ̃2	
聘	pʰin5	
聚	tɕyᶽ5	
聰	tsʰɔŋ1	
肅	sɔʔ7	
肆	sɿ5	
肉	lɔʔ7	
肋	ləʔ7	
肌	tɕiᶽ1	
肘	tsɤɯ3	
肚	tv̩3	腹肚
肚	tv̩3	鱼肚子
肝	kæ̃1	
腸	tsʰaŋ2	
股	kv̩3	
肢	tsɿ1	
膚	fv̩1	
肥	fɪ2	
肩	tɕiɪ̃1	
肪	faŋ2	
肫	tɕyn1	
骯	ŋaŋ1	
肯	kʰən3	
育	iɔʔ7	
肴	iɔ2	
肺	fɪ5	
腎	sən5	
腫	tsɔŋ3	
脹	tsaŋ5	
脅	ɕiʔ7	
胃	vɪ5	
膽	tæ̃3	
背	pɪ5	
背	pɪ5	背诵
胎	tʰɛ1	
胖	pʰaŋ5	
胚	pʰɪ1	
胛	tɕiaʔ7	
勝	sən5	胜利
勝	sən5	胜败
胞	pɔ1	
胡	fv̩2	
胳	kəʔ7	
膠	tɕiɔ1	
胸	ɕiɔŋ1	
能	nən2	
脂	tsɿ3	
脆	tɕʰyɪ5	
脉	mɔʔ7	
脊	tɕiʔ7	
臍	tɕʰiᶽ2	
腦	nɔ3	
膿	nɔŋ2	
脚	tɕiaʔ7	
脯	pʰv̩3	肉脯
脱	tʰʊʔ7	
腡	lo2	
臉	liɪ̃3	
脾	pʰiᶽ2	
臘	læʔ7	
腋	ɪ5	
腌	iɪ̃1	
腐	fv̩3	
腑	fv̩3	
腔	tɕʰiaŋ1	
腕	væ̃1	
腥	ɕin1	
腮	sɛ1	
腰	iɔ1	
腱	tɕiɪ̃5	
腹	fɔʔ7	
膩	niʔ7	普化音
騰	tʰən2	
腿	tʰɪ3	
膏	kɔ1	
膘	piɔ1	
膜	maʔ7	
膝	ɕiʔ7	
膨	pʰɔŋ2	
膳	siɪ̃5	
膻	siɪ̃1	
臀	tʰən2	
臂	pɪ5	
臊	sɔ1	
臟	tsaŋ5	内臟
臣	tsʰən2	
自	tsɿ5	
臭	tsʰɤɯ5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
臼	tɕiɤɯ5	
舀	iɔ3	
舂	tsʰɔŋ1	
舅	tɕʰiɤɯ1-	
舅	tɕiɤɯ5=	
舌	siʔ7	
舍	sɪ5	宿舍
舍	sa3	舍得
舍	sɪ3	舍弃
舒	sv̩1	
舔	tʰiɪ̃3	
舜	ɕyn5	
舞	v̩3	
舟	tsɤɯ1	
航	xaŋ2	
般	pæ̃1	
艦	tɕiæ̃5	
艦	tɕiɪ̃5	普化音
舵	to5	
船	tsʰʊ̃2	
艇	tʰin3	
良	liaŋ2	
艱	tɕiæ̃1	
色	səʔ7	
豔	iɪ̃5	
藝	iᶽ5	
艾	ɛ1	
節	tɕiʔ7	
芋	yᶽ5	
芍	saʔ7	
芒	maŋ2	
芙	fv̩2	
芝	tsɿ1	
芥	tɕiɛ5	
蘆	lv̩2	
芬	fən1	
芭	pa1	
芮	lɪ5	
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	vɪ3	
蒼	tsʰaŋ1	
苏	sv̩1	
苔	tʰɛ1	
苗	miɔ2	
苟	kɤɯ3	
若	laʔ7	
苦	kʰv̩3	
英	in1	
茂	mo5	
范	fæ̃5	
茄	tɕʰia2	
茅	mɔ2	
莖	tɕin1	
繭	tɕiɪ̃3	
茫	maŋ2	
茬	tsʰa2	
茴	xuɪ2	
茶	tsʰa2	
茸	lɔŋ2	
荀	ɕyn2	
荆	tɕin1	
草	tsʰɔ3	草鸡
薦	tɕiɪ̃5	
荒	xuaŋ1	
荔	liʔ7	普化音
蕎	tɕʰiɔ2	
薺	tɕiᶽ5	
蕩	taŋ5	放荡
榮	iɔŋ2	
葷	xun1	
蔭	in1	
藥	iaʔ7	
荷	xo2	荷花
荷	xʊʔ7	薄荷
莫	maʔ7	
蓮	liɪ̃2	
萵	v̩1	
获	xɔʔ7	
鶯	in1	
莽	maŋ3	
菊	tɕiɔʔ7	
菌	tɕyn1	
菖	tsʰaŋ1	
菜	tsʰɛ5	
菠	po1	
菢	pʰɔ1	孵小鸡
菩	pʰv̩2	
菱	lin2	
萄	tʰɔ2	
萍	pʰin2	
萎	vɪ3	
營	in2	
蕭	ɕiɔ1	
薩	sæʔ7	
落	laʔ7	
葉	iʔ7	
著	tsv̩5	
葛	kʊʔ7	
董	tɔŋ3	
葫	fv̩2	
葬	tsaŋ5	
葱	tsʰɔŋ1	
葵	kʰuɪ2	
蔣	tɕiaŋ3	
蒙	mɔŋ2	
蒜	sʊ̃5	
蒲	pʰv̩3	
蒸	tsən1	
蒿	xɔ1	
蓄	ɕiɔʔ7	
蓉	iɔŋ2	
蓑	so1	
蓖	piᶽ5	
藍	læ̃2	
蓬	pʰɔŋ2	
蔑	miʔ7	
蔔	pɔʔ7	萝~
蔗	tsa3	
蔡	tsʰɛ5	
蔫	iɪ̃1	不新鲜
蔫	niɪ̃1	花萎
蔬	sv̩1	
藹	ɛ3	
蕉	tɕiɔ1	
蕊	lɪ3	
薄	pʰaʔ7-	
薄	paʔ7=	
薄	paʔ7	薄荷
薅	xɔ1	
薛	ɕyʊʔ7	
薪	ɕin1	
薯	tsʰv̩3	
薹	tʰɛ2	
藉	tɕiʔ7	
藏	tsaŋ5	西藏
藏	tsʰaŋ2	隐藏
藐	miɔ3	
蘚	ɕiɪ̃3	
藕	ŋɤɯ3	
藤	tʰən2	
藩	fæ̃1	
蘸	tsæ̃5	
虎	fv̩3	
虜	lv̩3	
虐	niaʔ7	
慮	yᶽ5	
虔	tɕʰiɪ̃2	
虚	ɕyᶽ1	
虞	yᶽ2	
蟲	tsʰɔŋ2	
虱	səʔ7	
虹	xɔŋ2	
雖	ɕyɪ1	
蝦	ɕia1	
蝦	xa1	麻虾
蝕	səʔ7	
蟻	iᶽ3	
蚊	vən2	
蚌	pɔŋ1	
蚌	paŋ5	
蠶	tsʰæ̃2	
蚣	kɔŋ1	
蚤	tsɔ3	
蚶	xʊ̃1	蚶子
蛀	tsv̩5	
蛆	tɕʰyᶽ1	
蛇	sa2	
蛋	tʰæ̃1-	
蛋	tæ̃5=	
蟶	tsʰən1	
蛙	ua1	
蛛	tsv̩1	
蛤	kʊʔ7	
蠻	mæ̃2	
蟄	tsəʔ7	惊蛰
蛾	o2	
蜀	sv̩3	
蜂	fɔŋ1	
蜇	tsiʔ7	
蜈	v̩2	
蜓	tʰin2	
蜕	tʰɪ5	
蝸	o1	
蜘	tsɿ1	
蜜	miʔ7	
蠟	læʔ7	
蜻	tɕʰin1	
蠅	in1	
蠍	ɕiʔ7	
蝗	xuaŋ2	
蝙	piɪ̃1	
蝠	fɔʔ7	
蝴	fv̩2	
蝶	tiʔ7	
螂	laŋ2	
螃	pʰaŋ2	
融	lɔŋ2	
螳	tʰaŋ2	
螺	lo2	
螺	no1	泥螺
蟀	ɕyɛ5	
蟆	ma2	蛤蟆
蟒	maŋ3	
蟹	xɛ3	
蟾	tsʰæ̃2	
蠢	tɕʰyn3	
血	ɕyʊʔ7	
衅	ɕin5	
行	ɕin2	行为、品行
行	xaŋ2	银行
銜	ɕiɪ̃2	
街	kɛ1	
衙	ia2	
衡	xən2	
衣	iᶽ1	
補	pv̩3	
表	piɔ3	
衫	sæ̃1	
襯	tɕʰyn5	
衰	ɕyɛ1	
袁	yʊ̃2	
襖	ŋɔ3	
袋	tʰɛ1	
袍	pʰɔ2	
袖	ɕiɤɯ5	
袜	væʔ7	
被	pɪ5	
襲	ɕiʔ7	
裁	tsʰɛ2	
裂	liʔ7	
裝	tɕyaŋ1	
裕	yᶽ5	
裙	tɕʰyn2	
褲	kʰv̩5	
裴	pʰɪ2	
裸	lo3	
裹	ko3	
褒	pɔ3	
褚	tsʰv̩3	
褥	lɔʔ7	
褪	tʰɪ5	
褪	tʰən5	
褯	tɕʰiʔ7	
褶	tsiʔ7	
襄	ɕiaŋ1	
襟	tɕin1	
西	ɕiᶽ1	
要	iɔ1	要求
要	iɔ5	重要
覆	fɔʔ7	
見	tɕiɪ̃5	
觀	kʊ̃1	
規	kuɪ1	
覓	miʔ7	
視	sɿ5	
覽	læ̃3	
覺	kɔ5	睡觉
覺	tɕiaʔ7=	知觉
覺	kaʔ7-	觉得
角	kaʔ7	
解	tɕiɛ3	
解	kɛ3	解开
觸	tsʰɔʔ7	
言	iɪ̃2	
譽	yᶽ5	
謄	tʰən2	
誓	sɿ5	
警	tɕin3	
計	tɕiᶽ5	
訂	tin5	
訃	fv̩5	
認	lən1	
譏	tɕiᶽ1	
討	tʰɔ3	
讓	laŋ1	
訓	ɕyn5	
議	iᶽ5	
訊	ɕyn5	
記	tɕiᶽ5	
講	tɕiaŋ3	
諱	xuɪ5	
許	ɕyᶽ3	
訛	o2	
論	lən5	议论
論	lən2	论语
訟	sɔŋ5	
諷	fɔŋ3	
設	siʔ7	
訪	faŋ3	
訣	tɕyʊʔ7	
证	tsən5	
評	pʰin2	
識	səʔ7	
詐	tsa5	
訴	sv̩5	
診	tsən3	
詞	tsʰɿ2	
詔	tsɔ5	
譯	iʔ7	
試	sɿ5	
詩	sɿ1	
誠	tsʰən2	
誅	tsv̩1	
話	xua1-	
話	xua5=	
誕	tæ̃5	
詭	kuɪ3	
該	kɛ1	
詳	tɕʰiaŋ2	
誣	v̩1	
語	yᶽ3	
誤	v̩5	
誘	iɤɯ5	
說	sʊʔ7	
誦	sɔŋ5	
請	tɕʰin3	
諸	tsv̩1	
諾	naʔ7	
讀	tɔʔ7	
課	kʰo5	
誰	ɕyɪ2	
調	tʰiɔ2	调和
調	tiɔ5	调动
調	tiɔ5	音调
諒	liaŋ5	
談	tʰæ̃2	
誼	iᶽ2	
謀	mo2	
諜	tiʔ7	
謊	xuaŋ3	
諧	ɕɪ2	
謂	vɪ5	
讒	tsʰæ̃2	
諺	iɪ̃5	
謎	miᶽ1	(又)
謝	ɕɪ5	
謡	iɔ2	
謗	paŋ5	
謙	tɕʰiɪ̃1	
謹	tɕin3	
譚	tʰæ̃2	
譜	pʰv̩3	
谷	kɔʔ7	
豆	tʰɤɯ1-	
豆	tɤɯ5=	
豇	kaŋ1	
豌	ʊ̃1	
豚	tʰən2	
象	ɕiaŋ5	
豪	xɔ2	
豫	yᶽ5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pɪ5	
貞	tsən1	
負	fv̩5	
貢	kɔŋ5	
財	tsʰɛ2	
責	tsəʔ7	
賢	ɕiɪ̃2	
敗	pʰɛ1-	
敗	pɛ5=	
賬	tsaŋ5	
貨	xo5	
質	tsəʔ7	
販	fæ̃5	
貪	tʰæ̃1	
貧	pʰin2	
貶	piɪ̃3	
購	kɤɯ5	
貳	a1	
賤	tɕiɪ̃5	
貼	tʰiʔ7	
貴	kuɪ5	
貸	tɛ5	
貿	mɔ5	
費	fɪ5	
賀	xo5	
賊	tsəʔ7	
賈	tɕia3	
賄	xuɪ5	
賃	lin5	
資	tsɿ1	
賒	sɪ1	
賦	fv̩5	
賭	tv̩3	
贖	sɔʔ7	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰɪ2	
賴	lɛ1	
贅	tɕyɪ5	
賺	tɕyæ̃5	
賽	sɛ5	
贊	tsæ̃5	
贈	tsən1	
贏	in2	
赤	tsʰəʔ7	
赦	sɪ5	
赫	xəʔ7	
走	tsɤɯ3	
赴	fv̩5	
趙	tsɔ5	
趕	kæ̃3	
起	tɕʰiᶽ3	
趁	tsʰən5	
超	tsʰɔ1	
越	yʊʔ7	
趨	tɕʰyᶽ1	
趟	tʰaŋ5	
趣	tɕʰyᶽ5	
足	tsɔʔ7	
趴	pʰa1	
趾	tsɿ3	
躍	iɔ5	
跌	tiʔ7	
跑	pʰɔ3	
跗	fv̩3	
距	tɕyᶽ5	
跟	kən1	
跨	kʰua5	
跪	kʰuɪ1	
路	lv̩1	
跳	tʰiɔ5	
踐	tɕiɪ̃5	
踏	tʰæʔ7	
踒	vɛ3	
踢	tʰiʔ7	
蹤	tsɔŋ1	
踱	tʊʔ7	
蹄	tɕʰiᶽ2	
躡	niʔ7	
蹦	pɔŋ5	
蹭	tsʰən5	
蹲	sən2-	
蹲	tən1=	
躁	tsɔ5	
身	sən1	
躬	kɔŋ1	
躺	tʰaŋ3	
車	tsʰɪ1	
車	tɕyᶽ1	车马炮
軌	kuɪ3	
軒	ɕyʊ̃1	
轉	tsʊ̃3	转眼
轉	tsʊ̃5	转螺丝
軛	ŋəʔ7	
輪	lən2	
軟	lʊ̃3	
轟	xɔŋ1	
軸	tsʰɔʔ7	
輕	tɕʰin1	
載	tsɛ3	年载
載	tsɛ1	载重
轎	tɕiɔ5	
較	tɕiɔ5	
輔	fv̩3	
輛	liaŋ3	
輦	niɪ̃3	
輩	pɪ5	
輝	xuɪ1	
輯	tɕiʔ7	
輸	sv̩1	输赢
輸	sv̩1	运输
轅	yʊ̃2	
轄	xæʔ7	
轍	tsʰəʔ7	
辛	ɕin1	
辭	tsʰɿ2	
辟	pʰiʔ7	
辣	læʔ7	
辨	piɪ̃5	
辯	piɪ̃5	
辮	pʰiɪ̃1	
辰	tsʰən2	
辱	lv̩3	普化音
邊	piɪ̃1	
遼	liɔ2	
達	tæʔ7	
遷	tɕʰiɪ̃1	
迂	yᶽ1	
迅	ɕyn5	
過	ko5	
邁	mɛ5	
迎	in2	
運	yn5	
近	tɕʰin1-	
近	tɕin5	
還	xa2	还有
還	xuæ̃2	还原
這	tsəʔ7	
進	tɕin5	
遠	yʊ̃3	
違	vɪ2	
連	liɪ̃2	
遲	tsʰɿ2	
迥	tɕiɔŋ3	
迫	pʰɔʔ7	
述	ɕyəʔ7	
迷	mɪ2	(又)
迹	tɕiʔ7	
追	tɕyɪ1	
退	tʰɪ5	
送	sɔŋ5	
適	səʔ7	
逃	tʰɔ2	
逆	niʔ7	
選	ɕyʊ̃3	
遜	ɕyn5	
透	tʰɤɯ5	
逐	tsɔʔ7	
遞	tɕiᶽ5	
途	tʰv̩2	
逗	tɤɯ5	
通	tʰɔŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰən3	
速	sɔʔ7	
造	tsʰɔ1	
逢	fɔŋ2	
逮	tɛ3	
逵	kʰuɪ2	
逸	iʔ7	
逼	piʔ7	
遁	tən5	
遂	ɕyɪ5	
遇	yᶽ5	
遍	pʰiɪ̃1	一遍、遍地
遐	ɕia2	
道	tɔ5	
遺	iᶽ2	
遣	tɕʰiɪ̃3	
遭	tsɔ1	
遮	tsa1	
遵	tɕyn1	
避	pɪ5	
邀	iɔ1	
鄧	tən5	
那	lʊʔ7	
邦	paŋ1	
邪	tɕʰia2	
郵	iɤɯ2	
邵	sɔ5	
鄒	tsɤɯ1	
鄰	lin2	
郁	iɔʔ7-	
郁	yᶽ5	普化音
郊	tɕiɔ1	
郎	laŋ2	
鄭	tsən5	
郝	xɔ3	
郡	tɕyn5	
部	pʰv̩1-	
部	pv̩5=	
郭	kuaʔ7	
都	tv̩1	都城
都	to3	都是
鄂	əʔ7	
鄙	piᶽ3	
酉	iɤɯ5	
酌	tsaʔ7	
配	pʰɪ5	
酒	tɕiɤɯ3	
酣	xæ̃1	
酥	sv̩1	
酪	lɔ5	普化音
酬	tsʰɤɯ2	
醬	tɕiaŋ5	
酵	tɕiɔ5	
酷	kʰɔʔ7	
酸	sʊ̃1	
釀	niaŋ1	
醇	ɕyn2	
醉	tɕyɪ5	
醒	ɕin3	
醜	tsʰɤɯ3	
采	tsʰɛ3	
釉	iɤɯ5	
釋	səʔ7	
里	iᶽ3	
重	tsɔŋ5	轻重
重	tsʰɔŋ2	重复
野	ia3-	
野	ɪ3=	
量	liaŋ5	数量
量	liaŋ2	量长短
釜	fv̩3	
鑑	tɕiɪ̃5	普化音
針	tsən1	
釘	tin1	钉子
釘	tin5	钉东西
釣	tiɔ5	
釵	tsʰɛ1	
鈍	tʰən1-	
鈍	tən5	
鈔	tsʰɔ1	
钟	tsɔŋ1	
鋼	kaŋ1	
鑰	iaʔ7	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kɤɯ1	
鈀	pʰa2	
錢	tɕʰiɪ̃2	
鉗	tɕʰiɪ̃2	
鉢	pʊʔ7	
鑽	tsʊ̃5	
鑽	tsʊ̃1	动词
鐵	tʰiʔ7	
鈴	lin2	
鉛	kʰæ̃1	
鐺	taŋ1	
銅	tʰɔŋ2	
鍘	tsʰæʔ7	
鏵	xua2	
銘	min2	
鉸	tɕiɔ3	
鏟	tsʰæ̃3	
銀	in2	
鑄	tsv̩5	
鋪	pʰv̩5	店铺
鋪	pʰv̩1	铺设
銷	ɕiɔ1	
鎖	so3	
鋥	tsən1	
鋤	tsʰv̩2	
鍋	ko1	
鏽	ɕiɤɯ5	
銼	tsʰo5	
鋒	fɔŋ1	
銳	lɪ5	
錯	tsʰo5	
錨	mɔ2	
錛	pən1	
錫	ɕiʔ7	
錮	kv̩5	
鑼	lo2	
錘	tɕʰyɪ2	
錐	tɕyɪ1	
錦	tɕin3	
錠	tin5	
鍵	tɕiɪ̃5	
鋸	tɕyᶽ5	
鍬	tɕʰiɔ1	
鍛	tʊ̃5	
鍍	tv̩5	
鎮	tsən5	
鑷	niʔ7	
鏡	tɕin5	
鐲	tɕyaʔ7	
鐮	liɪ̃2	
鑲	ɕiaŋ1	
長	tsaŋ3	
長	tsʰaŋ2	长短
門	mən2	
閂	ɕyæ̃1	
閃	siɪ̃3	
閉	piᶽ5	
問	vən1	
闖	tɕʰyaŋ3	
閏	yn1-	
閏	lən1=	
闲	ɕiæ̃2	
間	tɕiæ̃1	中间
間	tɕiæ̃1	间断
悶	mən1	
閘	tsʰæʔ7	
鬧	nɔ2-	
鬧	nɔ5	
閨	kuɪ1	
聞	vən2	
閩	min3	
閣	kəʔ7	普化音
鬮	tɕiɤɯ1	
閲	yʊʔ7	
閹	iɪ̃1	
閻	iɪ̃2	
闊	kʰʊʔ7	
阜	fv̩5	
隊	tɪ5	
阮	lʊ̃3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tsʰən1-	
陣	tsən5=	
階	tɕiɛ1	
阻	tsv̩3	
阿	aʔ7	阿胶
附	fv̩5	
際	tɕiᶽ5	
陸	lɔʔ7	
隴	lɔŋ3	
陳	tsʰən2	
陋	lɤɯ1	
陌	mɔʔ7	
降	tɕiaŋ5	下降
降	tɕʰiaŋ2	降服
限	xæ̃1-	
限	ɕiæ̃5=	
陝	siɪ̃3	
陡	tɤɯ3	
院	yʊ̃1-	
院	yʊ̃5=	
除	tsʰv̩2	
險	ɕiɪ̃3	
陪	pʰɪ2	
陵	lin2	
陶	tʰɔ2	
陷	xæ̃1	
隆	lɔŋ2	
隋	ɕyɪ2	
隨	tɕʰyɪ2	
隱	in3	
隔	kəʔ7	
隘	ɛ3	
障	tsaŋ5	
隧	ɕyɪ5	
隶	iᶽ5	
隻	tsəʔ7	
難	næ̃2-	
難	næ̃5	患难
難	næ̃2	难易
雀	tɕʰiaʔ7	
雁	ŋæ̃5	
雄	iɔŋ2-	
雄	ɕiɔŋ2=	
雅	ia3	
集	tɕiʔ7	
雇	kv̩5	
雌	tsʰɿ2	
雍	iɔŋ1	
雛	tsʰv̩2	
雕	tiɔ1	
雨	yᶽ3	
雪	ɕyʊʔ7	
零	lin2	
雷	lɪ2	
雹	paʔ7	
霧	v̩5	
需	ɕyᶽ1	
霄	ɕiɔ1	
震	tsən5	
黴	mɪ2	
霍	xuəʔ7	
霜	ɕyaŋ1	
霞	ɕia2	
露	lv̩1	
霸	pa5	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
靠	kʰɔ5	
靡	mɪ3	
面	miɪ̃1	
革	kəʔ7	
靴	ɕya1	
鞋	xɛ2	
鞍	ŋæ̃1	
鞘	tɕʰiɔ5	
鞭	piɪ̃1	
韌	lən5	
韓	xæ̃2	
韭	tɕiɤɯ3	
音	in1	
韻	yn5	
韶	sɔ2	韶关
頁	iʔ7	
頂	tin3	
頃	tɕʰin3	
項	ɕiaŋ5	
項	kaŋ1-	项圈
順	ɕyn1-	
順	ɕyn5	
须	ɕyᶽ1	
顧	kv̩5	
頓	tən5	
頒	pæ̃1	
頌	sɔŋ5	
預	yᶽ5	
領	lin3	
頗	pʰo1	
頸	tɕin3	
頻	pʰin2	
穎	in3	
顆	kʰo1	
題	tɕʰiᶽ2	
顔	ŋæ̃2	
額	ŋəʔ7	
顛	tiɪ̃1	
顴	tɕʰyʊ̃2	
風	fɔŋ1	
颼	sɤɯ1	
飄	pʰiɔ1	
飛	fɪ1	
食	səʔ7	
餐	tsʰæ̃1	
饥	tɕiᶽ1	
飩	tən5	
飯	fæ̃1	
飲	in3	
餞	tɕiɪ̃5	
飾	səʔ7	
飽	pɔ3	
飼	tsʰɿ2	
飴	iᶽ2	
餌	a3	
饒	lɔ2	
餉	ɕiaŋ3	
餃	tɕiɔ3	
餅	pin3	
餓	ŋo1	
餘	yᶽ2	
餛	xun2	
餡	xæ̃5	
館	kʊ̃3	
餿	sɤɯ1	
饞	tsʰæ̃2	
餾	liɤɯ2	
饅	mʊ̃2	
首	sɤɯ3	
香	ɕiaŋ1	
香	iɔ3	
馨	ɕin1	
馬	ma3	
馭	yᶽ5	
馱	tʰo2	
馳	tsʰɿ2	
驅	tɕʰyᶽ1	
駁	paʔ7	
驢	yᶽ2	
駛	sɿ3	
駒	tɕyᶽ1	
駝	tʰo2	
駕	tɕia5	
駡	ma1	
驕	tɕiɔ1	
駱	laʔ7	
駭	xɛ5	
驗	iɪ̃1-	
驗	iɪ̃5=	
騎	tɕʰiᶽ2	
騷	sɔ1	
騾	lo2	
驟	tsɤɯ5	
骨	kuəʔ7	
髒	tsaŋ1	骯髒
髓	ɕyɪ2	
高	kɔ1	
髮	fæʔ7	
鬏	tɕiɤɯ1	
鬢	pin5	
鬥	tɤɯ5	~争
鬨	xɔŋ5	起~
鬼	kuɪ3	
魁	kʰuɪ2	
魂	xun2	
魄	pʰɔʔ7	
魏	vɪ5	
魔	mo2	
魚	yᶽ2	
魯	lv̩3	
鮑	pɔ5	
鮭	kuɪ5	
鮮	ɕiɪ̃1	新鲜
鮮	ɕiɪ̃3	鲜少
鯉	iᶽ3	
鯽	tɕiʔ7	
鯨	tɕin1	
鰓	sɛ1	
鰭	tɕʰiᶽ2	
鰾	piɔ5	
鱉	piʔ7	
鱗	lin2	
鳥	niɔ3	
鳩	tɕiɤɯ1	
雞	tɕiᶽ1	
鳴	min2	
鴉	ia1	
鴨	ŋæʔ7	
鴿	kʊʔ7	
鴻	xɔŋ2	
鵝	o2	
鵡	v̩3	
鵲	tɕʰiaʔ7	
鵮	kʰæ̃1	
鶴	xaʔ7	
鸚	in1	
鷺	lv̩1	
鷹	in1	
鹿	lɔʔ7	
麝	sɪ5	
麥	mɔʔ7	
麪	miɪ̃1	
麩	fv̩1	
麻	ma2	
黃	xuaŋ2	
黃	vaŋ2	黄豆
黎	iᶽ2	
黏	niɪ̃2	
黑	xəʔ7	
默	mɔʔ7	
鼎	tin3	
鼓	kv̩3	
鼠	tsʰv̩3	
鼻	pʰiʔ7	
鼾	xæ̃1	
齊	tɕʰiᶽ2	
齒	tsʰɿ3	
龍	lɔŋ2	
𡜵	pv̩1	𡜵子:姑姑
𣝗	xuəʔ7	果子核
𨉣	xa1	哈腰
