#漢字	音標	解釋
㪗	tʰɯ3	展开，〜气
罐	kuᴇi5	
网	mɔ4	
罕	hei1	
羅	lʊ2	
罰	vɐʔ8	
罷	ba2	
罩	tsɤ5	
罪	zᴇi4	
置	tsʮ5	
署	zʮ2	专〜
羊	ia2	
美	mᴇi4	
羔	kɤ1	
羞	ɕiu1	
群	dʑyoŋ2	
羹	ka3	
羽	y2	
翁	oŋ1	
翅	tsɿ1	
翅	tsʰɿ5	2
翎	iŋ2	
翠	tsʰᴇi5	
翡	fi5	〜翠
翰	ɦei6	
翻	fɛ1	
翼	i5	
耀	iɤ6	
老	lɤ4	
考	kʰɤ3	
者	tɕie3	
而	ɚ2	
耍	sa5	
耐	ne6	
耕	ka1	
耗	hɤ5	
耙	bo2	
耬	lɯ2	播种用的农具
耩	ka1	〜地
耳	ɚ2	2文
耳	ŋ̍4	白
耶	ie6	
耻	tsʰʮ1	
耽	tɛ1	
耿	kaŋ1	
聶	ȵieʔ8	姓
聊	iɤ2	
聾	loŋ2	
職	tɕieʔ7	
聯	i2	
聯	ɦʊ2	
聘	pʰiŋ5	
聚	zʮ4	
聰	tsʰoŋ1	
肅	sɔʔ7	
肆	sɿ5	
肉	ȵyɔʔ8	
肋	lɐʔ8	
肌	tɕi1	
肘	tɕiu5	
肚	dʊ4	腹~
肚	du4	鱼〜.猪〜
肝	kei1	
腸	dʑia2	
股	ku3	
肢	tsɿ1	
膚	fu5	
肥	vi2	
肩	tɕi1	
肪	fɔ1	脂~
肫	tsoŋ1	~肝
骯	ɤ1	~脏
骯	kɔ1	〜脏
肯	kʰaŋ3	
育	yeʔ8	
肺	fi5	
腎	zoŋ4	
腫	tsoŋ1	
脹	tɕia5	
脅	ɕieʔ7	
胃	uᴇi6	
膽	tɛ3	
背	pᴇi5	
背	bᴇi6	~诵
胎	tʰe1	
胖	pʰɔ5	
胚	pʰᴇi5	~胎
胛	tɕieʔ7	肩〜
勝	ɕiŋ5	~任
勝	ɕiŋ5	~败
胞	pɤ1	
胡	vu2	
胳	kɐʔ5	~臂
胳	kɔʔ7	~臂
膠	kɤ1	2白
膠	tɕiɤ1	文
胸	ɕyoŋ1	
能	naŋ2	
脂	tsɿ3	
脆	tsʰᴇi5	
脉	mɐʔ8	
脊	tɕieʔ7	
脏	dzɔ6	
脏	tsɔ1	不干净
臍	dʑi2	
腦	nɤ4	
膿	noŋ2	
脚	tɕieʔ7	
脯	pʰu1	杏〜
脯	bu2	胸〜
脱	tʰɐʔ5	
臉	i2	
脾	bi2	
腆	tɕʰie3	〜肚子
臘	lɐʔ8	
腋	ieʔ8	
腌	i1	
腐	fu3	
腑	fu3	
腔	tɕʰia5	
腕	uᴇi5	
腥	ɕiŋ1	
腮	se5	
腰	iɤ1	
腱	dʑi6	
腹	fɔʔ7	
膩	ȵi2	
騰	daŋ2	
腿	tʰᴇi3	
膏	kɤ1	
膏	kɤ5	〜车，~油
膘	piɤ1	肥〜
膜	mɔʔ8	
膝	tɕʰieʔ7	
膨	ba2	~胀
膳	zø2	
臀	daŋ2	
臂	pi1	
臊	tsʰɤ5	~气
臣	dʑiŋ2	
自	zɿ6	2
自	dzɿ6	
臭	tɕʰiu5	香〜
至	tsɿ5	
致	tsɿ5	
臻	dʑiŋ2	
臼	tɕiu5	
舀	iɤ4	~水
舂	tsʰoŋ1	〜米
舅	dʑiu4	
舌	ʑieʔ8	
舍	so5	
舒	sʮ1	
舔	tɕʰie3	以舌取物
舜	soŋ5	
舞	vu2	
舟	tɕiu1	
航	ɦɔ2	
般	pɛ1	
艦	kʰɛ1	
舵	dʊ4	
船	zø2	
艇	tɕʰiŋ3	
良	ia2	
艱	tɕi1	
色	sɐʔ5	
豔	i6	
藝	ȵi2	
艾	e6	文
節	tɕieʔ7	
芋	n̩6	2白
芋	y2	文
芍	dzɔʔ8	〜药花
芒	mɔ2	
芒	mɔ2	麦~儿
芙	fu1	
芝	tsɿ1	
蘆	lu2	~苇
芬	faŋ1	
芭	pa1	
花	ho1	
芳	fɔ1	
芹	dʑiŋ2	
芽	ia2	2文
芽	o2	白
葦	uᴇi2	芦〜
莧	ha5	〜菜
蒼	tsʰɔ1	
苏	su1	
苔	tʰe1	舌〜，青~
苗	miɤ2	
苟	kɯ3	
若	ʑieʔ8	
苦	kʰu3	
英	iŋ1	
茂	mɯ6	
范	vɛ4	
茄	dʑie2	2〜子，白
茄	dʑia2	~子.文
茅	mɤ2	
莖	tɕiŋ1	
繭	tɕi3	
茫	mɔ2	
茬	dzo2	
茴	ɦuᴇi2	
茶	dzo2	
茸	ɚ2	参~
荀	ɕyoŋ5	
荆	tɕiŋ1	
草	tsʰɤ3	
薦	tɕi5	
荒	huɔ1	
荔	ieʔ8	~枝
蕎	dʑiɤ2	
薺	dʑi6	
蕩	dɔ6	放~
榮	yoŋ2	
葷	huaŋ1	
蔭	iŋ5	屋子很~
藥	ieʔ8	
荷	ɦʊ2	〜花
荷	ɦʊ2	薄~
莎	sʊ1	
莫	mɔʔ8	
蓮	i2	
获	ɦɔʔ8	
鶯	iŋ1	
蓴	zoŋ2	〜菜
莽	mɔ4	
菊	tɕyeʔ7	
菌	tɕʰyoŋ3	
菖	tsʰɔ1	~蒲
菜	tsʰe5	
菠	pʊ1	〜菜
菩	bu2	〜萨
菱	iŋ2	
萄	dɤ2	
萌	maŋ2	
萍	biŋ2	
萎	uᴇi1	气~
螢	iŋ2	
營	iŋ2	
蕭	ɕiɤ1	
薩	sɐʔ5	
落	lɔʔ8	
著	tsʮ5	显著
葚	ʑiŋ2	桑~
葛	kɐʔ5	
董	toŋ3	
葬	tsɔ5	
葱	tsʰoŋ1	
葵	ɡuᴇi2	
蔣	tɕia1	
蒙	moŋ6	
蒜	sø5	
蒲	bu2	
蒸	tɕiŋ1	
蒿	hɤ1	蓬~
蓄	ɕyeʔ7	储〜
蓉	yoŋ2	
蓑	sʊ1	
藍	lɛ2	
蓬	boŋ2	
蔓	mɛ6	瓜~子
蔗	tso1	
蔡	tsʰa5	
蔫	i5	食物不新鲜，花~
蔬	su1	
蔽	pi5	
蕉	tɕiɤ1	芭〜.香~
蕊	zᴇi2	
薄	bɔʔ8	
薄	bɔʔ8	~荷
薛	ɕieʔ7	
薪	ɕiŋ1	
薯	zʮ6	白~
藉	ʑieʔ8	~故
藉	ʑieʔ8	狼~
藏	dzɔ2	西~
藏	dzɔ2	隐~
藐	miɤ2	
藕	ŋɯ2	
藤	daŋ2	
藩	pʰø1	
藿	hɔʔ7	〜香
虎	fu3	
虜	lu4	
虐	ȵieʔ8	
慮	i2	
虔	tɕʰi1	
虚	ɕy1	
虞	ȵy2	
蟲	dzoŋ2	
虱	sɐʔ5	
虹	ɦoŋ2	天上的~
虻	mɔ6	牛〜
雖	sø1	
蝦	ɦo4	2鱼〜，多读此音
蝦	ɦø4	鱼〜
蝕	ʑieʔ8	
蟻	ȵi4	
蚊	vaŋ2	
蚌	ba2	
蚌	bɔ2	
蠶	dzei2	
蚣	koŋ1	蜈~
蚤	tsɤ3	
蚶	hei1	~子
蛀	tsʮ5	
蛇	dzo2	
蛋	dɛ6	
蛙	ua1	
蛛	tsʮ1	
蛤	hɐʔ5	〜蜊
蛭	tɕʰiŋ1	~子
蠻	mɛ2	
蟄	tɕieʔ7	惊~
蛾	ŋʊ4	
蜀	ʑyeʔ8	
蜂	foŋ1	
蜇	tɕieʔ7	蝎子〜人
蜈	maŋ2	2~蚣，白
蜓	dʑiŋ2	蜻~
蜕	tʰᴇi5	蛇~皮，蝉~
蝸	o1	
蜘	tsʮ1	~蛛
蜜	mieʔ8	
蠟	lɐʔ8	
蜻	tɕʰiŋ1	~蜓
蠅	iŋ1	
蟬	zø2	
蠍	ɕieʔ7	
蝗	ɦuɔ2	
蝙	pi1	
蝠	fɔʔ7	蝙〜
蝶	dʑieʔ8	
螂	lɔ6	
螃	bɔ2	
融	yoŋ2	
螳	dɔ2	〜螂
螺	lʊ2	~蛳
蟀	sᴇi5	
蟆	mɔʔ8	虾~
蟒	mɔ4	
蟹	hɛ3	
蠓	moŋ2	〜虫
蠢	tsʰoŋ3	
血	ɕyeʔ7	
衅	ɕiŋ5	挑~
行	ʑiŋ2	2品~
行	ɦɔ2	~列，银~
行	ʑiŋ2	〜为
行	ɦa2	品~.~头
銜	ɦei2	
街	ka1	2
衙	ȵy2	2白
衙	ia2	文
衡	ɦaŋ2	
衣	i1	
補	pu3	
表	piɤ3	
衫	sɛ1	
襯	tsʰaŋ5	
衰	sᴇi5	
袁	y2	
襖	ɤ6	
袋	de6	
袍	bɤ2	
袖	ʑiu6	
袜	mɐʔ8	
被	bi2	~卧,~子
被	bᴇi4	〜打，~迫
襲	ʑieʔ8	
裁	ze2	
裂	ieʔ8	
裝	tsɔ1	
裕	y2	
裙	dʑyoŋ2	
褲	kʰu5	
裳	zɔ2	衣~
裴	bᴇi2	
裸	lʊ2	〜体
裹	kʊ3	
製	tsʮ5	
褒	pɤ3	〜奖
褚	tsʮ3	姓
褥	ʑyeʔ8	
褪	tʰᴇi5	
襄	ɕia1	
襟	tɕiŋ1	
襻	pʰɛ1	纽~
西	ɕi1	
要	iɤ1	〜求
要	iɤ5	想〜重~
覆	fɔʔ7	反〜
見	tɕi5	
觀	kuᴇi1	参〜
觀	kuᴇi5	寺〜
規	kuᴇi1	
覓	mieʔ8	
視	zɿ2	
覽	lɛ2	
覺	kɤ5	2睡〜，白
覺	tɕiɤ5	睡~,文
覺	tɕyeʔ7	知~
角	kɔʔ7	
解	tɕie3	2
解	ka3	晓也
解	ka3	讲~，~开，白
觸	tsʰɔʔ7	
言	ie2	
譽	y2	荣~
謄	daŋ2	
誌	tsɿ5	
誓	zɿ2	
警	tɕiŋ1	
計	tɕi5	
訂	tɕiŋ1	~约
訃	fu5	
認	ȵiŋ6	2
認	zoŋ6	
譏	tɕi5	
討	tʰɤ1	
讓	ȵia6	
訖	tɕʰi5	
訓	ɕyoŋ5	
議	ȵi6	
訊	ɕiŋ5	
記	tɕi5	
講	kɔ3	
講	tɕie3	~,~开，文
諱	huᴇi5	
許	ɕy3	
論	laŋ2	~语
論	laŋ6	议〜
訟	soŋ5	
諷	foŋ1	
設	ɕieʔ7	
訪	fɔ1	
訣	tɕyeʔ7	
证	tɕiŋ1	
評	biŋ2	
識	ɕieʔ7	
詐	tso5	
訴	su5	
診	tɕiŋ1	
詞	dzɿ2	
詔	tɕiɤ5	
譯	ieʔ8	
試	sɿ5	
詩	sɿ1	
誠	dʑiŋ2	
誅	tsʮ1	
話	ɦo6	
誕	dɛ2	
詭	kuᴇi5	
該	ke3	
詳	dʑia2	
誣	u1	
語	ȵy6	
誤	nu6	
誘	iu5	
説	ɕyeʔ7	~话
誦	soŋ5	
請	tɕʰiŋ3	
諸	tsʮ3	
諾	nɔʔ8	
讀	dɔʔ8	
課	kʰʊ5	
誰	zᴇi2	
調	dʑiɤ6	
調	dʑiɤ2	~和
諒	ia5	
談	dɛ2	
誼	ȵi6	
謀	mɯ2	
諜	dʑieʔ8	
謊	huɔ1	
諫	tɕi5	
諧	ʑie6	
謂	uᴇi6	
諺	ie2	
謎	mi2	
謝	ʑia6	
謡	iɤ2	
謗	bɔ2	
謙	tɕʰi1	
謹	tɕiŋ3	
謬	miɤ2	
譚	dɛ2	
譜	pʰu3	
谷	kɔʔ7	
豁	hɔʔ7	~然,~嘴〜口
豆	dɯ6	
豉	tsɿ1	豆〜
豌	uᴇi1	〜豆
豚	daŋ2	
象	ʑia4	
豪	ɦɤ2	
豫	y6	
豹	pɤ5	
豺	za2	
貂	tɕiɤ1	
貌	mɤ6	
貝	pᴇi5	
貞	tɕiŋ1	
負	vɯ2	
貢	koŋ5	
財	dze6	
責	tsɐʔ5	
賢	i6	2地名,黄〜
敗	ba6	
賬	tɕia5	
貨	hʊ5	
質	tɕieʔ7	
販	fɛ5	
貪	tʰei1	
貧	biŋ2	
貶	pi3	
購	kɯ5	
貫	kuᴇi5	
貳	ȵi6	~心
賤	ʑi6	
貼	tɕʰieʔ7	
貴	tɕy5	2白
貴	kuᴇi5	文
貸	tʰe5	
貿	mɯ4	
費	fi5	〜用
賀	ɦʊ2	
賊	zɐʔ8	2
賊	dzɐʔ8	
賈	tɕia3	2
賈	ko3	姓.白
賄	huᴇi1	
賃	iŋ6	租~
賂	lu6	
贓	tsɔ1	
資	tsɿ1	
賒	so1	
賦	fu5	
賭	tu3	
贖	dzɔʔ8	
賞	zɔ2	
賜	tsʰɿ1	
賠	bᴇi2	
賴	lɛ6	
贅	tsᴇi5	
賺	dzɛ6	
賽	se5	
贊	tsɛ5	
贈	dzaŋ2	
贏	iŋ2	
赤	tɕʰieʔ7	
赫	hɐʔ5	
走	tsɯ3	
赴	fu5	
趙	dʑiɤ6	
趕	kei3	
起	tɕʰi1	
趁	dʑiŋ2	
超	tɕʰiɤ1	
越	yeʔ8	
趨	tsʰʮ5	
趟	tʰɔ5	一~
趣	tsʰʮ5	
足	tsɔʔ7	
趾	tsɿ3	
躍	ieʔ8	
跌	tɕieʔ7	
跑	bɤ2	
跗	fu5	〜前，脚面
跛	pʰʊ5	〜足
距	dʑy6	
跟	kaŋ1	
跨	kʰua5	
跪	dʑy4	2白
跪	ɡuᴇi4	文
路	lu6	
跳	tɕʰiɤ5	
踐	zɛ2	
踐	dʑi2	2
踏	dɐʔ8	
踒	ʊ1	
踢	tɕʰieʔ7	
蹤	tsoŋ1	
蹄	dʑi2	
躡	ȵieʔ8	
蹲	daŋ6	
躁	tsʰɤ5	
身	soŋ1	
躬	koŋ5	
躱	to3	
躺	tʰɔ3	
車	tɕy1	~马炮
車	tsʰo1	马〜
軋	tsɐʔ5	被车〜.~棉花
軌	kuᴇi1	
軒	sø1	
轉	tsø3	~眼,~送
轉	tsø5	~螺丝,~圆圈
輪	laŋ2	
軟	ȵy4	
轟	hoŋ5	
軸	dʑyeʔ8	
輕	tɕʰiŋ1	〜重,年〜
載	tse5	~重
載	tsɛ1	年~
載	tse5	满~
轎	dʑiɤ6	
較	tɕiɤ3	
較	tɕiɤ5	
輔	fu5	
輛	ia5	
輦	ȵi4	
輩	pᴇi1	
輝	huᴇi1	
輜	tsɿ1	〜重
輯	tɕʰieʔ7	编~
輸	sʮ1	
輸	sʮ5	运~
轅	y2	
辛	ɕiŋ1	
辭	dzɿ2	
辟	pʰieʔ7	
辣	lɐʔ8	
辨	bi6	
辯	bi6	
辮	bi6	
辰	zoŋ2	
辱	ʑyeʔ8	
邊	pi1	
遼	iɤ2	
達	dɐʔ8	
遷	tɕʰi1	
迂	y1	
迅	ɕyoŋ5	
過	kʊ5	
邁	mɛ2	
迎	ȵiŋ2	
運	yoŋ6	
近	dʑiŋ4	
還	ɦuɛ2	~原
還	ɦuɛ2	~有
進	tɕiŋ5	
遠	y4	
違	uᴇi2	
連	i2	
遲	dzɿ2	
迥	tɕyoŋ1	〜然不同
迫	pʰɐʔ7	
述	ʑyeʔ8	
迷	mi2	
迹	tɕieʔ7	
追	tsᴇi1	
退	tʰᴇi5	
送	soŋ5	
適	ɕieʔ7	
逃	dɤ2	
逆	ȵieʔ8	顺~，~风
選	sø3	
遜	saŋ1	
透	tʰɯ5	
逐	dzɔʔ8	
遞	dʑi6	
途	du2	
逗	dɯ6	
通	tʰoŋ1	
逛	uɔ5	
逝	zɿ2	
逞	dʑiŋ2	~能
速	sɔʔ7	
造	zɤ2	建~
逢	voŋ2	
逵	ɡuᴇi2	
逸	i6	
逼	pieʔ7	
逾	y6	
遁	daŋ6	
遂	zᴇi6	
遇	ȵy6	
遍	pi5	~地
遍	pi5	一~
遐	ʑia2	
道	dɤ4	
遣	tɕʰi3	
遭	tsɤ1	
遮	tso5	
遵	tsaŋ1	
避	bi6	
邀	iɤ1	
鄧	daŋ6	
那	na2	
邦	pɔ1	
邪	ʑia2	
郵	iu2	
鄰	iŋ2	
郁	yeʔ7	
郊	tɕiɤ1	
郎	lɔ6	
鄭	dʑiŋ6	
郝	hɐʔ5	姓
郡	dʑyoŋ2	
部	bu6	
郭	kɔʔ7	
都	tu3	~是
都	tu3	〜城
鄂	ŋɔʔ8	
鄙	pi5	
配	pʰᴇi5	
酒	tɕiu3	
酥	su1	
酪	lɔʔ8	
酬	dʑiu2	
醬	tɕia5	
酵	tɕiɤ5	
酷	kʰɔʔ7	
酸	sø1	
釀	ȵia6	
醇	zoŋ2	酒味〜
醉	tsᴇi5	
醋	tʰu5	
醒	ɕiŋ3	
采	tsʰe5	
釋	ɕieʔ7	
里	i4	
重	dzoŋ4	~复
重	dzoŋ4	轻~
野	ia4	2白
野	ie4	文
量	ia2	〜长短
量	ia5	数~
金	tɕiŋ1	
釜	vu6	
鑑	tɕi5	
針	tɕiŋ1	
釘	tɕiŋ1	~住
釘	tɕiŋ1	铁~
釣	tɕiɤ5	
釵	tsʰo1	
鈍	daŋ6	
鈔	tsʰɤ1	钱〜
钟	tsoŋ1	
鋼	kɔ1	
鑰	ieʔ8	~匙
欽	tɕʰiŋ1	
鈞	tɕyoŋ1	
鉤	kɯ1	
鈀	bo2	~子
錢	dʑi2	
鉗	dʑi2	
鉢	pʊ1	
鈸	bɐʔ8	
鑽	tsø5	
鐵	tɕʰieʔ7	
鈴	iŋ2	
鉛	kʰɛ1	
銅	doŋ2	
鍘	tsɐʔ5	~刀
銘	miŋ2	
鏟	tsʰɛ3	
銃	tsʰoŋ5	放~
銀	ȵiŋ2	
鑄	tsʮ5	
鋪	pʰu1	〜设
鋪	pʰu1	店〜
銷	ɕiɤ1	
鎖	sʊ3	
鋤	du2	
鍋	ʊ1	
鏽	ɕiu5	铁~
銼	tsbʊ5	
鋒	foŋ1	
鐧	kɛ1	
銳	zᴇi6	
鋦	dʑyeʔ8	〜碗
錯	tsbʊ5	
錨	mɤ2	
錫	ɕieʔ7	
錮	ku5	
鑼	lʊ2	
錘	zᴇi2	
錐	tsᴇi1	
錦	tɕiŋ1	
錠	dʑiŋ6	
鍵	dʑi6	
鋸	kei5	2〜子，〜木头，白
鋸	tɕy5	~子，~木头,文
鍶	se5	
鍬	tɕʰiɤ1	
鍛	tø5	~炼
鍍	du6	
鎮	tsoŋ5	
鑷	ȵieʔ8	锤子
鏡	tɕiŋ5	
鐙	taŋ5	鞍~
鑊	ɦɔʔ8	锅
鐲	dzɔʔ8	2〜子
鐲	dʑyeʔ8	〜子
鐮	i2	
鑲	ɕia1	
長	dʑia2	~短
長	tɕia3	生〜
門	maŋ2	
閂	sø3	
閃	sei5	
閉	pi5	
問	vaŋ6	2文
問	maŋ6	白
闖	tsʰɔ3	
閏	zoŋ2	
閏	yoŋ6	2
闲	ɦɛ4	
間	kɛ1	2空〜，中〜
間	tɕi5	〜断，~或
間	tɕi1	空〜,中~
悶	maŋ6	
閘	dzɐʔ8	
鬧	nɤ6	
閨	kʰuᴇi5	
聞	vaŋ2	
閩	miŋ2	〜越
閣	kɔʔ7	
閲	yeʔ8	
閻	ȵi2	
闊	kʰuɐʔ7	
阜	vɯ6	
隊	dᴇi6	
阮	ȵy2	
防	bɔ2	
陽	ia2	
陰	iŋ1	
陣	dʑiŋ2	
階	ka5	2白
階	tɕie3	文
阻	tu3	
阿	ɐʔ5	2〜胶，〜哥
阿	ʊ5	~胶，~哥，~弥陀佛
附	vu6	
際	tɕi5	
陸	lɔʔ8	
隴	loŋ2	
陳	dʑiŋ2	
陋	lɯ6	
陌	mɐʔ8	
降	tɕyɔ5	下~
限	ɦɛ6	
陝	sø3	〜西
陛	pi5	~下
陡	tɯ3	
院	y6	
除	dzʮ2	
險	ɕi3	
陪	bᴇi2	
陵	iŋ2	
陶	dɤ2	
陷	ɦɛ6	
隆	loŋ2	
隨	zᴇi2	
隱	iŋ3	
隔	kɐʔ5	
隘	ka5	2地名，邱~
隘	a3	狭〜:地名，楼〜
障	tsɔ5	保~
隧	zᴇi6	~道
隶	i6	
難	nɛ2	~易
難	nɛ6	患〜
雀	tɕʰieʔ7	麻~
雁	i6	
雄	yoŋ2	
雅	yɔ1	2白
雅	ia1	文
集	dʑieʔ8	一~
雇	ku5	
雌	tsʰɿ1	
雍	yoŋ3	
雕	tɕiɤ1	
雨	y4	
雪	ɕyeʔ7	
零	iŋ2	
雷	lᴇi2	
雹	bɤ2	
霧	vu6	
需	sʮ5	
霄	ɕiɤ1	
震	tsoŋ5	
黴	mᴇi2	
霍	hɔʔ7	
霜	sɔ1	
霞	ʑia2	
露	lu6	
霸	po5	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fi1	
靠	kʰɤ5	
靡	mi2	
面	mi6	
革	kɐʔ5	
靴	ɕy1	
靿	ɤ5	
鞋	ɦa2	
鞍	ei1	
鞘	ɕiɤ5	刀〜
鞧	tɕʰiu1	牛~
鞭	pi1	
韌	zoŋ6	
韓	ɦei2	
韭	tɕiu3	
音	iŋ1	
韻	yoŋ6	
韶	ʑiɤ4	〜关
頁	ieʔ8	
頂	tɕiŋ1	
頃	tɕʰiŋ1	
項	ɦɔ4	
順	zoŋ6	
须	sʮ5	
頑	uɛ2	~皮，~固
顧	ku5	
頓	taŋ5	
頒	pɛ1	
頌	soŋ5	
預	y6	
領	iŋ2	
頗	pʰʊ5	
頸	tɕiŋ5	
頻	biŋ2	~繁
穎	iŋ5	
顆	kʰʊ1	一~珠
題	dʑi2	
顔	ŋɛ2	
額	ȵieʔ8	2
額	ŋɐʔ8	
顛	tɕi1	
顴	dʑy2	~骨
風	foŋ1	
颼	sɯ1	
飄	pʰiɤ1	
飛	fi1	
食	ʑieʔ8	
餈	tsʰɿ1	~巴
餐	tsʰɛ1	
饥	tɕi5	
饥	tɕi1	~饿
飩	daŋ2	馄~
飯	vɛ6	
飲	iŋ5	~酒
飲	iŋ5	~米汤
飲	iŋ5	〜马
餞	tɕi5	
飾	ɕieʔ7	
飽	pɤ3	
飼	sɿ5	
餌	ɚ2	
饒	ȵiɤ2	
餉	ɕia3	
餃	tɕiɤ3	~子
餅	piŋ3	
餓	ŋʊ6	
餘	y2	
餜	kʊ3	
餛	ɦuaŋ2	~蚀
餡	ɦɛ2	
館	kuᴇi5	
餿	sɯ1	饭~了
饞	dzɛ2	
饃	mɔʔ8	
餾	iu6	
饅	mɛ2	〜头
首	ɕiu3	
香	ɕia1	
馨	ɕiŋ1	
馬	mo4	
馱	dʊ2	
馳	dzɿ2	
驅	tɕʰy1	
駁	pɔʔ7	
驢	lu2	文
驢	y2	白
駛	sɿ3	
駒	tɕy1	
駐	tsʮ5	
駝	dʊ2	
駕	tɕia5	
駡	ma6	
驕	tɕiɤ1	
駱	lɔʔ8	
駭	ɦe2	惊~
驗	ȵie6	
騎	dʑi2	
騙	pʰi5	欺〜
騷	tsʰɤ5	
騾	lʊ2	
驟	zʮ4	
骨	kuɐʔ7	筋〜.〜头
髓	ɕi1	
髓	zᴇi4	2
高	kɤ1	
鬃	tsoŋ1	马~.猪~
鬢	piŋ1	
鬼	tɕy3	2白
鬼	kuᴇi3	文
魁	kuᴇi1	
魂	ɦuaŋ2	
魄	pʰɐʔ7	
魏	uᴇi2	
魔	mʊ2	
魚	y2	文
魚	ŋ̍2	白
魯	lu4	
鮎	ȵi2	~鱼
鮑	bɤ4	姓，~鱼
鮮	ɕi1	~少
鮮	ɕi1	新~
鯗	ɕia3	
鯉	i4	
鰣	zɿ2	
鯽	tɕieʔ7	
鯨	tɕiŋ1	
鰭	dʑi2	
鰾	pʰiɤ1	
鱉	pieʔ7	
鱖	kuᴇi5	~鱼
鱗	iŋ2	
鳥	tɕiɤ3	2
鳥	ȵiɤ4	
鳩	tɕiu1	
鳩	lu2	
雞	tɕi3	
鳴	miŋ2	
鴉	ia1	
鴨	ɐʔ5	2
鴨	ɛ3	
鴿	kɐʔ5	
鸞	lø6	
鴻	ɦoŋ2	
鵝	ŋʊ4	2
鵝	ŋø4	多读此音
鵡	vu6	鹦〜
鵲	tɕʰieʔ7	喜~
鷂	iɤ6	〜鹰
鶴	ɦɔʔ8	
鸚	iŋ1	~鹉，~哥
鷺	lu6	鹭鸶
鷹	iŋ1	
鹿	lɔʔ8	
麝	dzo6	〜香
麥	mɐʔ8	
麩	fu1	麦〜子
麪	mi6	
麻	mo2	2白
麻	ma2	文
麾	huᴇi1	
黃	ɦuɔ2	
黎	i2	
黏	ȵi2	~米.~起来
黑	hɐʔ5	
默	mɔʔ8	
鼎	tɕiŋ1	
鼓	ku3	
鼠	tsʰʮ3	
鼻	bieʔ8	
鼾	hø3	睡时〜声
齈	noŋ6	多鼻涕疾
齊	ʑi2	
齒	tsʰɿ3	
齦	kʰaŋ3	老~
龍	loŋ2	
龜	kuᴇi1	2文
龜	tɕy1	白
𡋯	bɔʔ8	〜土
𢫦	pʰɐʔ7	打
