#漢字	音標	解釋
㸊	lai5	水很热
譏	tɕɿ1	
討	tʰau3	
讓	ʑuãŋ5	
訖	tɕʰɿ1	
訓	ɕyeŋ5	
議	i5	
訊	ɕiŋ3	
記	tɕɿ5	
講	tɕuãŋ3	
諱	fei5	
許	ɕy3	
論	ləŋ5	~语
論	ləŋ5	议~
訟	soŋ5	
諷	foŋ1	
設	ɕiɛ1	
訪	fãŋ3	
訣	tɕyɛ1	
證	tɕiŋ5	
評	biŋ2	
訴	su5	
診	tɕiŋ3	
詞	dzɿ2	
譯	i1	
試	sɿ5	
詩	sɿ1	
誠	dʑiŋ2	
誅	tɕy1	
話	ua5	
詭	kuei3	
該	kai1	
詳	dʑuãŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iəu5	
説	suo1	~话
誦	soŋ5	
請	tɕʰiŋ3	
諾	lo2	
讀	du2	
課	kʰuo5	
調	diau2	~和
調	diau5	~动
調	diau5	音~
諒	luãŋ2	
談	dãŋ2	
謀	məu2	
諜	diɛ2	
謊	fãŋ3	
諧	ɕiɛ1	
諺	liɛŋ5	
謎	mi2	
謝	ɕiɛ5	
謡	iau2	
謗	pãŋ3	
謙	tɕʰiɛŋ1	
謹	tɕiŋ3	
譚	dãŋ2	
譜	pʰu3	
豆	dəu5	
豉	zɿ5	豆~
豌	uãŋ3	~豆
豚	dəŋ2	
象	ɕuãŋ5	
豪	au2	
豫	y5	
豹	pau5	
豺	dzai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tɕiŋ1	
貢	koŋ5	
財	dzai2	
責	tsə1	
賢	ʑiɛŋ2	
敗	bai5	
賬	tɕuãŋ5	
貨	xuo5	
質	tɕɿ1	
販	fãŋ5	
貪	tʰãŋ1	
貧	biŋ2	
貶	piɛŋ3	
購	kəu5	
貫	kuãŋ5	
賤	dʑiɛŋ5	
貼	tʰiɛ1	
貴	kuei5	
貸	dai5	
貿	mau5	
費	fei5	~用
賀	o5	
賊	dzə2	
賈	tɕia3	姓
賄	fei3	
賃	liŋ5	租~
賂	lu5	
資	tsɿ1	
賒	ɕiɛ1	
賦	fu5	
賭	tu3	
贖	zu2	
賞	ɕuãŋ3	
賜	tsɿ5	
賠	bei2	
賴	lai5	
賺	dzuãŋ5	
賽	sai5	
贊	tsãŋ5	
贈	tsəŋ5	
贏	iŋ2	
赤	tsʰɿ1	
赫	xə1	
走	tsəu3	
赴	pʰu1	
趙	dʑiau5	
趕	kãŋ3	
起	tɕʰɿ3	
超	tɕʰiau1	
越	yɛ2	
趨	tɕʰy1	
趟	tʰãŋ3	一~
趣	tɕʰy3	
足	tsu1	
趾	tsɿ3	
跌	tiɛ1	
跑	pʰau3	
跗	fu1	~面
跛	po1	~足
距	dʑy5	
跟	kəŋ1	
跡	tɕɿ1	
跨	kʰua3	
跪	ɡuei2	
路	lu5	
跳	tʰiau5	
踐	tɕʰiɛŋ3	
踏	tʰa1	
踢	tʰiɛ1	
蹤	tsoŋ1	
踱	duo2	
蹄	di2	
躡	liɛ2	
蹲	tsəŋ1	
蹲	tuəŋ1	
躁	tsʰau5	
身	ɕiŋ1	
躬	koŋ1	
躱	tuo3	
躺	tʰãŋ3	
車	tɕʰiɛ1	
軌	kuei3	
軒	ɕyɛŋ1	
轉	tɕyɛŋ3	~动
轉	tɕyɛŋ3	~眼
輪	ləŋ2	
軟	ɕyɛŋ3	
轟	foŋ1	
軸	dzu2	
輕	tɕʰiŋ1	~重
載	tsai5	~重
載	tsai5	年~
載	dzai5	满~
轎	dʑiau5	
較	tɕiau3	
輛	luãŋ3	
輩	pei5	
輝	fei1	
輯	tɕʰɿ2	
輸	ɕy1	
輸	ɕy1	运~
轄	ɕia1	管~
辛	ɕiŋ1	
辭	dzɿ2	
辟	pʰi1	
辣	la2	
辨	biɛŋ5	
辯	biɛŋ5	
辮	piɛŋ5	
辱	zu2	
邊	piɛŋ1	
達	da2	
遷	tɕʰiɛŋ1	
迂	y2	
迅	ɕyeŋ3	
過	kuo5	
邁	mai5	
迎	iŋ2	
運	yeŋ1	
近	dʑiŋ5	
還	uãŋ2	~原
還	uãŋ2	~有
進	tɕiŋ5	
遠	yɛŋ3	
違	uei2	
連	liɛŋ2	
遲	dʑɿ2	
迫	pʰə1	
述	ɕy5	
迷	mi2	
追	tsuei1	
退	tʰei5	
送	soŋ5	
適	ɕɿ1	
逃	dau2	
逆	li2	~风
選	ɕyɛŋ3	
透	tʰəu5	
逐	dzu2	
遞	di5	
途	du2	
逗	təu1	
通	tʰoŋ1	
逛	kuãŋ5	
速	su1	
速	ɡuei2	
造	dzau5	建~
逢	oŋ2	
逸	i1	
逼	piɛ1	
遁	dəŋ5	
遂	suei5	
遇	y5	
遍	pʰiɛŋ5	~地
遍	pʰiɛŋ5	一~
遐	ɕia1	
道	dau5	
遺	i2	
遣	tɕʰiɛŋ3	
遭	tsau1	
遮	tɕiɛ1	
遵	tsəŋ1	
避	pʰi1	
邀	iau1	
鄧	dəŋ5	
那	la5	
邦	pãŋ1	
邪	dʑiɛ2	
郵	iəu2	
邵	ɕiau5	
鄒	tsəu1	
鄰	liŋ2	
郁	y5	
郊	tɕiau1	
郎	lãŋ2	
鄭	dʑiŋ5	
郝	xau3	姓
郡	tɕyeŋ1	
部	bu5	
郭	kuo1	
都	tu1	~城
都	tu1	~是
鄂	uo1	
鄙	pi3	
酉	iəu3	
酌	tsuo1	
配	pʰei5	
酒	tɕiəu3	
酥	su1	
酪	lo2	
酬	dʑiəu2	
醬	tɕuãŋ5	
酵	ɕiau5	
酷	kʰu5	
酸	suãŋ1	
釀	luãŋ2	
醇	dʑyeŋ2	酒~
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醜	tɕʰiəu3	
采	tsʰai3	
釉	iəu5	
釋	ɕɿ1	
里	li3	
重	dzoŋ2	~复
重	dzoŋ5	轻~
野	iɛ3	
量	luãŋ5	~长短
量	luãŋ5	数~
金	tɕiŋ1	
釜	fu3	
銲	ãŋ5	
錄	lu2	
錶	piau3	
鐾	bi5	~刀布
針	tɕiŋ1	
釘	tiŋ5	~住
釘	tiŋ1	铁~
釣	tiau5	
釵	tsʰai1	
鈍	dəŋ5	
鈔	tsʰau1	~票
钟	tsoŋ1	
鋼	kãŋ1	
鑰	io2	~匙
欽	tɕʰiŋ1	
鈞	tɕyeŋ1	
鉤	kəu1	
錢	dʑiɛŋ2	
鉗	dʑiɛŋ2	
鉢	po1	
鈸	po1	
鑽	tsuãŋ5	~子
鑽	tsuãŋ5	动词
鐵	tʰiɛ1	
鈴	liŋ2	
鐸	duo2	
銅	doŋ2	
鍘	tsa1	~刀
鏵	ua2	
銘	miŋ2	
銘	ioŋ2	
鉸	tɕiau3	
鏟	tsʰãŋ3	
銃	tsʰoŋ5	放~
銀	iŋ2	
鑄	tɕy5	
鋪	pʰu3	~设
鋪	pʰu3	店~
銷	ɕiau1	
鎖	suo3	
鋤	dzu2	
鍋	kuo1	
鏽	ɕiəu5	
銼	tsʰuo5	
鋒	foŋ1	
錯	tsʰuo5	~杂
錨	mau2	
錫	ɕɿ1	
錮	ku5	
鑼	lo2	
錘	dzuei2	
錐	tsuei1	
錦	tɕiŋ3	
錠	diŋ5	
鍵	tɕiɛŋ5	
鋸	tɕy5	
錙	tsɿ1	~重
鍬	tɕʰiau1	
鍛	tuãŋ5	~炼
鍍	du5	
鎮	tɕiŋ5	
鑷	liɛ2	~子
鎔	ioŋ2	
鏢	piau1	
鏡	tɕiŋ5	
鐙	təŋ1	鞍~
鐲	dzuo2	~子
鐮	liɛŋ2	
長	dʑuãŋ2	~短
長	tɕuãŋ3	生~
門	məŋ2	
閂	suãŋ1	
閃	ɕiɛŋ3	
閉	pi5	
問	uəŋ5	
闖	tsʰuãŋ3	
閏	yeŋ5	
闲	ʑiɛŋ2	
間	tɕiɛŋ1	~或
間	tɕiɛŋ1	中~
悶	məŋ5	
閘	tsa1	
鬧	lau5	
閨	kuei1	
聞	uəŋ2	
閩	miŋ3	~越
閣	kuo1	
鬮	tɕiəu1	抓~
閲	yɛ2	
閹	iɛŋ3	
閻	iɛŋ2	
闊	kʰuo1	
隊	dei5	
阮	yɛŋ3	
陽	uãŋ2	
陰	iŋ1	
陣	dʑiŋ5	
階	kai1	
阻	tsu3	
阿	a1	~哥
附	fu5	
際	tɕi5	
陸	lu2	
隴	loŋ3	
陳	dʑiŋ2	
陋	ləu5	
降	tɕuãŋ5	
降	dʑuãŋ2	~伏
限	ɕiɛŋ5	
陝	ɕiɛŋ3	~西
陛	pi1	
陡	təu3	
院	yɛŋ5	
除	dʑy2	
險	ɕiɛŋ3	
陪	bei2	
陵	liŋ2	
陶	dau2	
隆	loŋ2	
隨	zuei2	
隱	iŋ3	
隔	kə1	
隘	ai5	
障	tɕuãŋ1	保~
隧	suei5	~道
隶	ti5	
難	lãŋ2	~易
難	lãŋ2	患~
雀	tɕʰio1	麻~
雁	iɛŋ5	
雄	ʑioŋ2	
雅	ia3	
集	tɕʰɿ2	
雇	ku5	
雌	tsʰɿ1	
雍	ioŋ1	
雕	tiau1	
雨	y3	
雪	ɕyɛ1	
零	liŋ2	
雷	lei2	
雹	pʰau5	
霧	u5	
需	ɕy1	
霄	ɕiau1	
震	tɕiŋ5	
霍	xuo1	
霜	suãŋ1	
露	lu5	
霸	pa5	
青	tsʰai1	
青	tɕʰiŋ1	
靖	dʑiŋ5	
靜	dʑiŋ5	
非	fei1	
靠	kʰau5	
靡	mi2	
面	miɛŋ5	
革	kə1	
靪	tiŋ1	
鞋	ai2	
鞍	ãŋ1	
鞭	piɛŋ1	
韓	ãŋ2	
韭	tɕiəu3	
音	iŋ1	
韻	yeŋ1	
韶	ɕiau5	
頁	iɛ2	
頂	tiŋ3	
頃	tɕʰyeŋ3	
項	ɕuãŋ5	
順	ɕyeŋ5	
须	ɕy1	
頑	uãŋ2	~皮
顧	ku5	
頓	təŋ5	
頒	pãŋ1	
頌	soŋ5	
預	y5	
領	liŋ3	
頗	pʰo1	
頸	tɕiŋ3	
頻	biŋ2	~繁
穎	iŋ3	
顆	kʰuo3	一~珠
題	di2	
顔	iɛŋ2	
額	ə2	
顛	tiɛŋ1	
顴	dʑyɛŋ2	~骨
風	foŋ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	
食	ɕɿ1	
餐	tsʰãŋ1	
饥	tɕɿ1	~荒
饥	tɕɿ1	~饿
飯	uãŋ5	
飲	iŋ3	~酒
飲	iŋ3	~米汤
飲	iŋ3	~马
飽	bau2	
飽	pau3	
飼	dzɿ5	
飴	i2	高粱~
餌	ə3	
餃	tɕiau3	~子
餅	piŋ3	
餓	o5	
餘	y2	
餛	uəŋ2	~饨
館	kuãŋ3	
餿	səu1	饭~了
饞	dzãŋ2	
饃	mo2	
餾	liəu1	
饅	mãŋ2	~头
首	ɕiəu3	
香	ɕuãŋ1	
駐	tɕy5	
馬	ma3	
馱	do2	
馱	do5	~子
馳	dʑɿ2	
驅	tɕʰy1	
駁	po1	
驢	lu2	
駛	sɿ3	
駒	tɕy1	
駝	do2	
駕	tɕia5	
駡	ma5	
驕	tɕiau1	
駱	lo2	
駭	ai5	惊~
驗	liɛŋ5	
騎	dʑɿ2	
騙	pʰiɛŋ5	~马
騙	pʰiɛŋ5	欺~
騷	sau1	
騾	luo2	
驟	tsəu5	
骨	ku1	筋~
髓	zuei2	
高	kau1	
鬃	tsoŋ1	
鬍	u2	~子
鬢	biŋ5	
鬼	kuei3	
魁	kʰuei1	
魂	uəŋ2	
魄	pʰə1	
魏	uei5	
魔	mo1	
魚	y2	
魯	lu3	
鮑	pau5	姓
鮮	ɕyɛŋ1	~少
鮮	ɕyɛŋ1	新~
鯉	li3	
鯽	tɕɿ1	
鯨	tɕiŋ1	
鰓	sai1	
鰭	dʑɿ2	
鱉	piɛ1	
鱖	kuei5	~鱼
鱗	liŋ2	
鸞	luãŋ2	
鳥	liau3	
鳩	tɕiəu1	
鳴	miŋ2	
鴉	ia1	
鸕	lu2	
鴨	ia1	
鴿	ko1	
鴻	oŋ2	
鵝	o2	
鵡	u3	鹦~
鵲	tɕʰio1	喜~
鶴	xə1	
鸚	iŋ1	
鷺	lu5	
鷹	iŋ1	
鹻	tɕiɛŋ3	
鹿	lu2	
麝	ɕiɛ5	~香
麥	mə2	
麪	miɛŋ5	
麻	ma2	
黃	uãŋ2	
黎	li2	
黑	xə1	
默	mə2	
鼎	tiŋ3	
鼓	ku3	
鼠	ɕy3	
鼬	iəu5	~鼠
鼻	bi5	
鼾	xãŋ1	
齊	dʑɿ2	
齒	tsɿ3	
龍	loŋ2	
龕	kʰãŋ1	
龜	kuei1	
