#漢字	音標	解釋
㪕	tsʰɑɔ5	㪕起棍子
臂	piɛʔ7	
臉	li2	
臊	sɔ1	
臍	tɕʰɿ2	
臘	lᴀʔ7	
臣	tsʰəŋ2	
臥	ou5	
臨	liŋ2	
自	tsɿ5	
臭	tsʰe5	香臭
至	tsɿ5	
致	tsɿ5	
臺	tæ2	
臼	tɕiou1	
舀	iɔ3	舀水
舂	tsʰoŋ1	舂米
舅	tɕiou1	
興	ɕiŋ1	興旺
興	ɕiŋ5	
舉	tɕʮ2	
舊	tɕiou5	
舌	ɕyəʔ7	
舍	sᴀ2	宿舍
舒	sʮ1	
舔	tʰi2	以舌取物
舜	ɕyəŋ5	
舞	u3	
舟	tse1	
航	xɑŋ2	
般	pæ1	
舵	tou2	
船	ɕiou2	
艇	tʰiŋ2	
艦	kæ2	
良	liæ1	
艱	tɕiæ5	
色	səʔ7	
艾	ŋæ5	
芋	ʮ5	
芍	sᴀʔ7	芍藥花
芒	mɑŋ2	
芒	mɑŋ1	麥芒兒,芒果
芙	fu2	芙蓉
芝	tsɿ1	
芥	kᴀ5	
芬	fəŋ1	
芮	lue5	
花	xʊ1	
芳	fɑŋ1	
芹	tɕiŋ1	
芽	ŋʊ2	
苔	tʰæ1	青苔,舌苔
苗	miɔ2	
苟	ke3	
苦	kʰu2	
英	iŋ1	
茂	mou2	
茄	tɕiᴀ2	茄子
茅	mɔ2	
茫	mɑŋ2	
兹	tsʰɿ2	
茴	xue2	
茶	tsʊ2	
茸	ȵyŋ1	參茸,鹿茸
荀	ɕyəŋ2	
草	tsʰɔ2	
草	tsʰɔ2	雌性,草雞
荆	tɕiŋ1	
荒	xuɑŋ1	
荔	liɛʔ7	
荷	xou2	荷花
荷	xou2	薄荷
莊	tɕyɑŋ1	
莎	su1	莎草
莖	tɕiŋ1	
莠	iou2	
莧	xæ5	
莫	mɔʔ7	
莽	mɑŋ2	
菊	tsuɔʔ7	
菌	tɕyəŋ1	
菖	tsʰɑŋ1	菖蒲
菜	tsʰæ2	
菠	pou1	菠菜
菩	pu2	菩薩
華	xuᴀ2	中華
華	ʊ2	華山,姓
菱	liŋ2	
萄	tɔ2	
萌	moŋ2	~生,~芽
萍	pʰiŋ2	
萎	ue2	
萬	væ5	
落	luɔʔ7	
葉	iɛʔ7	
著	tsʮ5	顯著
著	tsᴀʔ7	著衣
著	tsuɔʔ7	睡著,附著
葛	kəʔ7	
董	toŋ2	
葦	ve	
葫	u2	葫盧
葬	tsɑŋ5	
葵	kʰue2	
葷	xuəŋ1	
蒙	moŋ2	
蒜	ɕiou5	
蒯	kʰuᴀ5	
蒲	pʰu2	
蒸	tsəŋ1	
蒼	tsʰɑŋ1	
蒿	xɔ1	
蓄	suɔʔ7	儲蓄
蓉	yŋ2	芙蓉
蓋	kæ5	
蓑	sou1	
蓖	pɿ1	蓖麻
蓬	pʰoŋ2	蓬亂,蓬鬆
蓮	li2	
蔑	miʔ7	竹蔑
蔔	pu3	
蔗	tsuɔʔ7	
蔡	tsʰæ2	
蔣	tɕiæ3	
葱	tsʰoŋ1	
蔫	i1	食物不新鮮
蔫	i1	花萎
蔬	sou1	
蔽	pɿ5	
蕉	tɕiɔ1	芭蕉,香蕉
蕊	lue1	
蕎	tɕiɔ2	
蕩	tɑŋ1	放蕩
蕭	ɕiɔ1	
薄	pou5	薄荷
薄	puʔ7	
薑	tɕiæ1	
薓	səŋ1	
薛	ɕiʔ7	
薦	tɕi2	
薩	sᴀʔ7	
薪	ɕiŋ1	
薰	ɕyəŋ2	
薺	ɕɿ1	
藉	tɕiʔ7	狼藉
藍	læ2	
藏	tsʰɑŋ2	隱藏
藏	tsɑŋ5	西藏
藐	mɔ1	
藕	ŋe2	
藝	nɿ5	
藤	tʰəŋ2	
藥	iᴀʔ7	
藩	fæ1	
藿	xuʔ7	藿香
蘆	lu2	蘆葦
蘇	sʮ1	
蘚	ɕi1	
蘭	læ2	
虎	fu3	
虐	ȵiᴀʔ7	
處	tsʰʮ2	相處
處	tsʰʮ5	處所
虚	ɕʮ1	
虜	lu2	
虞	lʮ2	
號	xɔ1	呼號
號	xɔ5	號數
虧	kʰue1	
虱	səʔ7	
虹	xoŋ2	彩虹,單用
虹	xoŋ2	
虻	mɑŋ2	牛虻
蚊	məŋ2	
蚌	pɑŋ1	
蚣	koŋ1	蜈蚣
蚤	tsɔ3	
蛀	tsʮ5	
蛆	tsʰʮ1	生蛆
蛇	sʊ2	
蛋	tæ5	
蛙	uᴀ1	
蛛	tsʮ1	
蜕	tʰue5	
蛾	ŋou2	
蜀	tsɔʔ7	
蜂	foŋ5	
蜇	tsəʔ7	蠍子蜇人
蜈	u2	蜈蚣
蜓	tʰiŋ2	
蜘	tsɿ1	
蜜	miʔ7	
蜻	tɕʰiŋ1	蜻蜓
蝕	səʔ7	
蝗	vɑŋ2	
蝙	pi1	
蝟	ue	
蝠	fɔʔ7	蝙蝠
蝦	xʊ1	魚蝦
蝦	xᴀ3	蝦腰
蝶	tiɛʔ7	
螂	lɑŋ1	
螃	pɑŋ2	螃蟹
融	yŋ	
螢	iŋ1	
螳	tʰɑŋ2	螳螂
螺	lou2	螺螄
蟀	ɕyəʔ7	
蟄	tsəʔ7	驚蟄
蟒	mɑŋ2	
蟲	tsoŋ2	
蟹	xᴀ3	
蟻	mɿ3	
蠅	iŋ1	
蠍	ɕiʔ7	
蠓	moŋ1	蠓蟲
蠟	lᴀʔ7	
蠢	tɕʰyəŋ2	
蠶	ɕœ2	
蠻	mæ1	
血	ɕiʔ7	
行	xɑŋ2	行列,銀行
行	ɕiŋ2	行為
行	ɕiŋ2	品行
術	tɕyəʔ7	
街	kᴀ1	
衙	iᴀ2	
衛	ue2	
衡	xəŋ2	
衣	ɿ5	
表	piɔ3	
表	piɔ3	手錶
衫	sæ1	
衰	ɕyæ1	
袁	iou1	
袋	tæ5	
袍	pʰɔ2	
袖	ɕiou5	
被	pe1	
裁	sæ2	
裂	liʔ7	
裏	nɿ2	
裏	nɿ2	裏面
裕	ʮ5	
裙	tɕyəŋ2	
補	pu3	
裝	tɕyɑŋ1	
裳	sɑŋ1	衣裳
裴	pe2	
製	tsɿ5	~造
複	fɔʔ7	複數,重複
複	fɔʔ7	復原,恢復
褒	pɔ3	
褥	yɔʔ7	
褪	tʰue2	
褲	kʰu5	
褶	tsəʔ7	褶子,皺紋
襄	ɕiæ1	
襖	iɔ3	
襟	tɕiŋ1	
襪	mᴀʔ7	
襯	tsʰəŋ5	
襲	ɕiʔ7	
西	ɕɿ1	
要	iɔ1	要求
要	iɔ2	想要,重要
覆	fɔʔ7	反覆
見	tɕi2	
規	kue1	
覓	miʔ7	
視	sɿ5	
親	tɕʰiŋ1	
親	tɕʰiŋ3	親家
覺	kɔ5	睡覺
覺	tɕiᴀʔ7	知覺
覽	læ2	
觀	kœ1	參觀
觀	kœ5	寺觀
角	kuʔ7	
解	kᴀ3	解開
解	xᴀ1	姓
解	tɕiɛ3	曉也
觸	tsʰɔʔ7	
言	i2	
訂	tiŋ5	訂約
訃	pu5	
計	tɕɿ5	
訊	ɕyn2	
討	tʰɔ2	
訓	ɕyəŋ2	
記	tɕɿ2	
訟	soŋ5	
訣	tɕyəʔ7	
訪	fɑŋ2	
設	səʔ7	
許	ɕʮ1	
訴	sʮ5	
診	tsəŋ1	
註	tsʮ5	~釋
詐	tsʊ2	
詔	tsɔ5	
評	pʰiŋ2	
詞	tsʰɿ	
詠	yəŋ2	
試	sɿ5	
詩	sɿ1	
詭	kue1	
話	ʊ5	
該	kæ1	
詳	tɕʰiæ2	
誅	tsʮ1	
誇	kʰuᴀ1	
認	ᴇn5	
誓	sɿ5	
誕	tæ1	
誘	iou2	
語	ʮ2	
誠	tsʰəŋ2	
誣	u1	
誤	u5	
誦	soŋ5	
説	ɕyəʔ7	說話
課	kʰou5	
誼	ȵɿ5	
調	tiɔ2	調和
調	tiɔ5	音調
調	tiɔ5	調動
談	tæ2	
請	tɕʰiŋ2	
諒	liæ5	
論	ləŋ5	論語
論	ləŋ5	議論
諜	tiɛʔ7	
諧	ɕiɛʔ7	
諫	kæ5	
諱	xue	
諷	foŋ	
諸	tsʮ1	
諺	iʔ7	
諾	iᴀʔ7	
謀	mou1	
謂	ue	
謄	tʰəŋ2	
謊	xuɑŋ3	
謎	mɿ5	
謗	pɑŋ5	
謙	tɕʰi1	
講	kɑŋ3	
謝	ɕiᴀ5	
謡	iɔ2	
謬	miɔ5	
謹	tɕiŋ2	
證	tsəŋ5	
譌	ou2	
譏	tɕɿ5	
識	səʔ7	
譚	tʰæ2	
譜	pʰu2	
警	tɕiŋ2	
譬	pɿ2	
譯	iʔ7	
議	ɿ5	
護	fu5	
譽	ʮ5	榮譽
讀	tɔʔ7	
變	pi2	
讓	ȵiæ5	
谷	kɔʔ7	山谷
豆	te5	
豇	kɑŋ1	豇豆
豈	tɕʰɿ	
豉	tɕɿ2	
豌	œ2	豌豆
豎	sʮ2	
豐	foŋ1	
豔	i	
豚	təŋ1	
象	ɕiæ2	
豪	xɔ2	
豫	ʮ5	
豬	tsʮ1	
豹	pɔ5	
豺	tsʰæ2	
貂	tiɔ1	
貌	mɔ5	
猫	miɔ2	貓腰
猫	miɔ2	
貝	pe5	
貞	tsəŋ3	
負	fu1	
財	tsʰæ2	
貢	koŋ5	
貧	pʰiŋ2	
貨	xou5	
販	fæ5	
貪	tʰœ1	
貫	kuæ2	
責	tsəʔ7	
貳	ɯ5	
貴	kue3	
貶	pi3	
買	mᴀ2	
貸	tæ2	
費	fe	費用
貼	tʰiɛʔ7	
貿	mɔ5	
賀	xou5	
賂	lɔʔ7	
賄	xue1	
資	tsɿ1	
賈	tɕiᴀ2	姓
賊	tsəʔ7	
賓	piɡ1	
賜	tsʰɿ5	
賞	sɑŋ2	
賠	pe2	
賢	ɕi1	
賣	mᴀ5	
賤	tɕi5	
賦	fu5	
質	tsəʔ7	
賬	tsɑŋ2	帳
賭	tu3	
賴	lᴀ5	
賺	tɕyæ2	
購	ke5	
賽	sæ2	
贅	tɕye5	
贈	tsəŋ5	
贊	tsæ2	
贏	iŋ2	
贓	tsɑŋ1	
贖	sɔʔ7	
赤	tsʰəʔ7	
赦	sᴀ2	
赫	xəʔ7	
走	tse3	
赴	fu5	
起	tɕʰɿ2	
趁	tsʰəŋ2	
超	tsʰɔ1	
越	yəʔ7	
趕	kœ3	
趙	tsɔ1	
趟	tʰɑŋ5	一趟
趣	tɕʰʮ2	
足	tsɔʔ7	
趼	tɕi3	~子,老~
趾	tsɿ3	
跌	tiɛʔ7	
跑	pɔ2	
距	tɕʮ1	
跟	kəŋ1	
跡	tɕiʔ7	
跨	kʰuᴀ5	
跪	kue1	
路	lu5	
跳	tʰiɔ1	
跳	tʰiɔ5	
踏	tᴀʔ7	
踐	tɕi1	
踢	tʰiʔ7	
踱	tuɔʔ7	
蹄	tʰɿ2	
蹤	tsoŋ1	
蹲	təŋ1	
躁	tsʰɔ5	
躍	iɑɔ5	
躡	ȵiɛʔ7	躡腳走
身	səŋ1	
躬	koŋ5	
躺	tʰɑŋ2	踢
車	tsʰʊ1	馬車
車	tɕʮ1	車馬礮
軋	kᴀʔ7	被車軋
軌	kue1	
軍	tɕyəŋ1	
軒	ɕyæ1	
軟	ȵiou1	
軸	tsɔʔ7	
較	tɕiɔ5	
載	tsʰæ3	年載
載	tsæ2	載重
載	tsæ5	滿載
輔	fu2	
輕	tɕʰiŋ1	輕重,年輕
輛	liæ5	兩
輝	xue5	
輦	ȵi2	
輩	pæ5	
輪	ləŋ2	
輯	tɕʰiʔ7	編輯
輸	sʮ1	
輸	sʮ5	運輸
轄	ɕiᴀʔ7	管轄
轅	iou2	
轉	tɕiou2	轉眼,轉送
轉	tɕiou2	轉螺絲
轎	tɕiɔ5	
轟	xoŋ1	亂轟轟,轟炸
轟	xoŋ5	
辛	ɕiŋ1	
辟	pʰiʔ7	
辣	lᴀʔ7	
辦	pæ5	
辨	pi1	
辭	tsʰɿ2	
辮	pi1	
辯	pi1	
辰	səŋ1	
辱	yɔʔ7	
農	ȵyŋ2	
迂	ʮ2	
迅	ɕyəŋ2	
迎	iŋ2	
近	tɕiŋ2	
迫	pʰɔʔ7	
述	tɕyəʔ7	
迷	mɿ1	
迸	poŋ2	迸裂
追	tɕye1	
退	tʰue5	
送	soŋ5	
逃	tʰɔ2	
逆	ȵiʔ7	順逆,逆風
透	tʰe5	
逐	tsɔʔ7	
途	tʰu2	
逗	te5	
通	tʰoŋ1	
逛	kuɑŋ2	
逝	sɿ5	
逞	tsʰəŋ1	逞能
速	sɔʔ7	
造	tsɔ5	
逢	foŋ	
連	li2	
進	tɕiŋ2	
逵	kʰue2	
逸	iʔ7	
逼	piʔ7	
遇	ʮ5	
遊	iou2	
運	yəŋ5	
遍	pi5	一遍
遍	pʰi2	遍地
過	kou1	~了他家了
過	kou5	
道	tɔ1	
達	tᴀʔ7	
違	ue	
遜	ɕyəŋ5	
遞	tʰɿ5	
遠	iou3	
遣	tɕʰi1	
適	səʔ7	
遭	tsɔ1	
遮	tsᴀ1	
遯	təŋ5	
遲	tsɿ2	
遵	tɕyəŋ1	
遷	tɕʰi1	
選	ɕiou3	
遼	liɔ2	
避	pɿ2	
邀	iɔ1	
邁	mæ5	
還	væ2	還元
還	æ2	還有
邊	pi1	
那	lᴀ3	
邦	pɑŋ1	
邪	ɕiᴀ2	
邵	sɔ5	
郊	tɕiɔ1	
郎	lɑŋ2	
郝	kɑɔ5	姓
郡	tɕyəŋ2	
部	pu1	
郭	kɔʔ7	
郵	iou2	
都	tu1	都城
都	tou2	都是
鄂	əʔ7	
鄉	ɕiæ1	
鄒	tse1	
鄙	pɿ2	
鄧	təŋ5	
鄭	tsəŋ5	
鄰	liŋ2	
酉	iou2	
酌	tsuɔʔ7	
配	pʰe2	
酒	tɕiou3	
酥	sʮ1	
酬	tsʰe2	
酵	ɕiɔ5	
酷	kʰuʔ7	
酸	ɕiou1	
醃	i1	
醇	ɕyəŋ2	酒味醇
醉	tɕye2	
醋	tsʰʮ3	
醒	ɕiŋ3	
醜	tsʰe2	
醫	ɿ1	
醬	tɕiæ5	
釀	liæ5	
釁	ɕiŋ5	挑釁
采	tsʰæ2	
釉	iou5	
釋	səʔ7	
重	tsʰoŋ2	重複
重	tsoŋ2	輕重
野	iᴀ3	
量	liæ1	量長短
量	liæ5	數量
金	tɕiŋ1	
釘	tiŋ1	鐵釘
釜	fu2	
針	tsəŋ1	
釣	tiɔ2	
釵	tsʰʊ1	
鈍	təŋ5	
鈔	tsʰɔ1	略取
鈔	tsʰɔ2	
鈞	tɕyəŋ1	
鈴	liŋ2	
鈸	poŋ2	
鉗	kæ2	
鉛	kʰæ1	
鉤	ke1	
鉸	kɔ3	鉸刀,鉸子
銀	iŋ2	
銅	toŋ2	
銘	miŋ2	
銜	xæ2	
鋭	lue5	
銷	ɕiɔ1	
銼	tsʰou2	
鋒	foŋ5	
鋪	pʰu1	鋪設
鋪	pʰu2	店鋪
鋸	tɕʮ5	鋸子,鋸木
鋼	kɑŋ1	
錄	lɔʔ7	
錐	tɕye1	
錘	tɕye2	
錠	tiŋ1	鋌
錢	tɕi2	
錦	tɕiŋ1	
錨	mɔ2	
錫	ɕiʔ7	
錯	tsʰou2	錯誤
錯	tsʰuɔʔ7	錯雜
鍁	ɕi1	鍬屬
鍋	kou1	
鍍	tu5	
鍘	tsᴀʔ7	鍘刀
鍛	tœ5	鍛煉
鍬	tɕʰiɔ1	
鍵	tɕi2	
鍾	tsoŋ1	酒鐘
鎖	sou3	
鎮	tsəŋ2	
鏟	tsʰæ2	
鏡	tɕiŋ5	
鏽	ɕiou5	
鐘	tsoŋ1	時鐘
鐙	təŋ5	馬鐙,鐙子
鐲	tsɔʔ7	鐲子
鐵	tʰiʔ7	
鑄	tsʮ5	
鑒	tɕiæ5	
鑯	tɕi1	
鑰	iᴀʔ7	鑰匙
鑲	ɕiæ1	
鑷	ȵiɛʔ7	鑷子
鑼	lou2	
鑽	tɕiou2	動詞
鑽	tɕiœ2	木用工具
鑿	tsuɔʔ7	
長	tsɑŋ2	長短
長	tsɑŋ3	生長
門	məŋ1	
閂	ɕyæ1	
閃	sæ2	
閉	pɿ5	
開	kʰæ1	
閏	yəŋ5	
閑	xæ2	
間	kæ1	中間
間	tɕi1	空間
間	tɕiæ5	間斷,間或
閣	kuʔ7	
閨	kue3	
閩	miŋ2	閩越
閲	yəʔ7	
閹	i2	
閻	i2	
闊	kʰuʔ7	
闖	tɕʰyɑŋ2	搶
關	kuæ1	
阜	fu1	
阮	uæ2	
防	fɑŋ2	
阻	tsʮ3	
阿	ᴀʔ7	阿膠,阿哥
附	fu5	
陌	mɔʔ7	陌生
降	ɕiæ2	降服,投降
降	kɑŋ5	下降
限	xæ1	
陛	pɿ2	陛下
陝	sæ2	陝西
陡	te3	
院	iou5	
陣	tsʰəŋ2	
除	tsʰʮ2	
陪	pe2	
陰	iŋ1	
陳	tsʰəŋ2	
陵	liŋ2	
陶	tʰɔ2	
陷	xæ5	
陸	lɔʔ7	
陽	iæ2	
隆	loŋ1	
隊	tue5	
階	tɕiɛ1	
隔	kəʔ7	
際	tɕɿ5	
障	tsɑŋ5	保障
隧	ɕye2	
隨	sue2	
險	ɕi3	
隱	iŋ2	
隸	lɿ5	
隻	tsəʔ7	?
雀	tɕʰiᴀʔ7	麻雀
雁	ŋæ5	
雄	soŋ	
雅	iᴀ3	
集	tɕiʔ7	
雇	ku5	
雌	tsʰɿ2	
雍	yŋ2	
雕	tiɔ1	
雖	ɕye1	
雙	ɕyɑŋ1	
雙	ɕyɑŋ5	雙生
雜	lᴀʔ7	
雞	tɕɿ1	
離	lɿ2	離別
離	lɿ5	離開半寸
難	ȵæ1	難易
難	næ5	患難
雨	ʮ3	
雪	ɕiʔ7	
雲	yəŋ2	
零	liŋ2	
雷	lue1	
雹	puʔ7	
電	ti5	
需	ɕʮ1	
霄	ɕiɔ1	
震	tsəŋ2	
霍	xuʔ7	
霜	ɕyɑŋ1	
霞	ɕiᴀ2	
霧	u5	
露	lu5	
霸	pʊ5	
靈	liŋ2	
青	tɕʰiŋ1	
靖	tɕiŋ1	
靜	tɕiŋ1	
非	fe5	
靠	kʰɔ5	
面	mi5	
革	kəʔ7	
靪	tiŋ1	靪鞵
靴	ɕyᴀ5	
鞍	œ1	
鞏	koŋ1	鞏固
鞘	ɕiɔ5	刀鞘
鞦	tɕʰiou1	
鞭	pi1	
鞵	xᴀ2	
韁	tɕiæ1	韁繩
韌	ᴇn2	
韓	xœ2	
韭	tɕiou3	
音	iŋ1	
韶	sɔ1	韶關
韻	yəŋ5	
頁	iɛʔ7	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	xɑŋ1	
順	ɕyəŋ5	
須	ɕʮ1	
須	ɕʮ1	鬍鬚,觸鬚
頌	soŋ5	
預	ʮ5	
頑	væ2	頑皮,頑固
頒	pæ1	
頓	təŋ5	
領	liŋ2	
頭	te2	
頸	tɕiŋ3	
頻	pʰiŋ2	頻繁
顆	kʰou1	一顆珠
題	tʰɿ2	
額	ŋəʔ7	
顔	ŋæ2	
願	iou5	
顛	ti1	
類	lue5	
顧	ku5	
顯	ɕi3	
風	foŋ1	
颼	se1	
飄	pʰiɔ1	
飛	fe5	
食	səʔ7	
飩	təŋ1	餛飩
飯	fæ5	
飼	sɿ5	
飽	pɔ3	
飾	səʔ7	
餃	tɕiɑɔ5	餃子
餅	piŋ3	
餉	ɕiæ2	
養	iæ3	
餌	ɯ2	
餐	tsʰæ1	
餓	ŋou5	
餘	ʮ2	
餛	vəŋ2	餛飩
館	kœ3	
餿	se1	
饅	mœ2	饅頭
饑	tɕɿ1	
饑	tɕɿ5	饑荒
饒	iɔ2	
饞	sæ2	
首	se2	
香	ɕiæ1	
馬	mʊ2	
馮	foŋ2	
馱	tʰou2	拿,馱起來
馱	tou2	馱子
馳	tsʰɿ2	
駁	puʔ7	
駐	tsʮ5	
駒	tɕʮ1	
駕	tɕiᴀ5	
駛	sɿ1	
駝	tou2	
駭	xæ3	驚駭
駱	luɔʔ7	
騎	tɕɿ2	
騙	pʰi2	欺騙
騰	tʰəŋ2	
騷	sɔ1	
騾	lou2	
驅	tɕʰʮ2	
驕	tɕiɔ1	
驗	ȵi	
驚	tɕiŋ1	
驟	tse5	
驢	lʮ2	
骨	kuəʔ7	筋骨,頭骨
髒	tsɑŋ1	不乾淨
髒	tsɑŋ5	內臟
髓	ɕye2	
體	tʰɿ2	
高	kɔ1	
髮	fᴀʔ7	頭髮
鬃	tsoŋ1	馬鬃
鬆	soŋ1	鬆緊
鬢	piŋ5	
鬥	te5	鬥爭
鬧	nɔ5	
鬨	xoŋ5	起哄
鬮	tɕiou1	
鬱	yɔʔ7	?
鬼	kue3	
魁	kʰue2	
魂	vəŋ2	
魄	pʰɔʔ7	
魏	ue5	
魔	mou1	
魚	ȵʮ1	
魯	lu2	
鮑	pɔ1	姓,鮑魚
鮮	ɕi1	新鮮
鯉	nɿ2	
鯨	tɕiŋ1	
鯰	ȵi2	鯰魚
鯽	tɕiʔ7	
鰓	sæ1	
鰣	sɿ2	
鰾	piɔ1	
鱉	piʔ7	
鱖	kue5	
鱗	liŋ2	
鳥	ȵiɔ2	
鳩	tɕiou1	
鳳	foŋ	
鳴	miŋ2	
鴉	ʊ1	
鴨	ᴀʔ7	
鴻	xoŋ2	
鴿	kuʔ7	
鵝	ŋou1	
鵡	u2	鸚鵡
鵲	tɕʰiᴀʔ7	喜鵲
鶯	iŋ1	
鶴	xəʔ7	
鷂	iɔ5	鷂鷹
鷹	iŋ1	
鷺	lu5	鷺鷥
鸚	iŋ1	鸚鵡,鸚哥
鹵	lu2	
鹹	xæ2	
鹻	kæ3	
鹽	i2	
鹽	i2	醃
鹿	lɔʔ7	
麝	sʊ5	麝香
麥	mɔʔ7	
麩	fu1	麥麩子
麪	mi5	麪粉
麻	mʊ1	
麽	iɔ1	麼二三
麾	xue1	
黃	vɑŋ2	
黎	lɿ2	
黑	xəʔ7	
默	mɔʔ7	
點	ti3	
黨	tɑŋ3	
黴	mæ1	
鼎	tiŋ3	
鼓	ku3	
鼠	tsʰʮ3	
鼻	piɛʔ7	
齈	ȵyŋ5	多涕鼻疾
齊	tɕʰɿ2	
齋	tsᴀ1	
齒	tsʰɿ2	
龍	loŋ1	
龐	pʰɑŋ2	
龜	kue1	
𣭲	ȵyŋ2	𣭲毛
