#漢字	音標	解釋
□	liᴀ3	舔
把	pᴀ3	
投	tʰɐu2	
抖	tʰɐu3	
抗	kʰᴀŋ5	
折	tsɤɯ2	
撫	fu3	
抛	pʰɔ1	
搶	tɕʰiᴀŋ3	
報	pɔ5	
披	pʰi1	
抬	tʰæ̃2	
抱	pɔ5	
抵	ti3	
抹	mᴀ2	
押	iᴀ2	
抽	tsʰɐu1	
抿	mɪn3	
拄	tsʰu3	
擔	tæ̃1	
擔	tæ̃5	
拆	tsʰɤɯ2	
拇	mu3	
拉	lᴀ1	
拌	pɤɯ5	
拍	pʰɤɯ2	
拐	kuæ̃3	
拒	tɕyi5	
拔	pᴀ2	
拖	tʰou1	
拘	kʰɐu1	
招	tsɔ1	
拜	pɐi5	
攏	loŋ3	
擁	ioŋ1	
攔	læ̃2	
撥	pɔ2	
括	kʰou2	
拯	tsən3	
拱	koŋ3	
拳	tɕʰyẽ2	
拼	pʰɪn1	
拿	nᴀ2	
持	tsʰɿ2	
挂	kuᴀ5	
指	tsɿ3	
按	ŋæ̃5	
挑	tʰiɔ1	
挖	uᴀ1	
挾	tɕiᴀ2	
撓	nɔ2	
擠	tɕi3	
揮	xuɐi1	
挨	ŋæ̃2	
挪	nou2	
挫	tsʰou5	
振	tsən5	
挺	tʰɪn3	
挽	uæ̃3	
捅	tʰoŋ3	
捉	tsɔ2	
捐	tɕyẽ1	
捕	pu3	
撈	lɔ2	
換	xuɤɯ5	
捧	pʰoŋ3	
据	tɕyi5	
捱	ŋæ̃2	
捲	tɕyẽ3	
捷	tɕieɪ2	
掀	ɕyẽ1	
掌	tsᴀŋ3	
掏	tʰɔ1	
排	pʰɐi2	
掘	tɕyẽ2	
接	tɕieɪ2	
控	kʰoŋ5	
推	tʰuɐi1	
掩	ieɪ3	
措	tsʰou5	
撣	tæ̃3	
摻	tsʰæ̃1	
揉	zɐu2	
描	miɔ2	
提	tʰi2	
插	tsʰᴀ2	
揞	ŋən5	
握	ŋɔ2	
揪	tɕʰiɔ1	
揭	tɕieɪ2	
援	ʏei2	
攬	læ̃3	
摟	lɐu3	
攪	tɕiɔ3	
搓	tsʰou1	
搜	sɐu1	
搡	sᴀŋ3	
搧	sɤɯ1	
搬	pæ̃1	
搭	tᴀ2	
攝	sɤɯ2	
摆	pæ̃3	
摇	iɔ2	
攤	tʰæ̃1	
摘	tsɤɯ2	
摞	lou3	
撇	pʰei2	
撑	tsʰən1	
撕	sɿ1	
撚	nieɪ3	
撞	tsʰuᴀŋ5	
撮	tsʰou2	
撼	xæ̃5	
操	tsʰɔ1	
擘	pɔ2	
擦	tsʰᴀ2	
攙	tsʰæ̃2	
支	tsɿ1	
收	sɐu1	
改	kæ̃3	
攻	koŋ1	
放	fᴀŋ5	
政	tsən5	
故	ku5	
效	ɕiɔ5	
敵	ti2	
敏	mɪn3	
救	tɕiɐu5	
教	tɕiɔ1	
教	tɕiɔ5	
斂	lei3	
敢	kæ̃3	
散	sæ̃3	
散	sæ̃5	
敦	tuən1	
敬	tɕien5	
數	su3	
數	su5	
敲	tɕʰiɔ1	
整	tsən3	
敷	fu1	
斃	pi5	
文	uən2	
斑	pæ̃1	
料	liɔ5	
斜	ɕieɪ2	
斟	tsən1	
斡	kæ̃5	
斤	tɕien1	
斧	fu3	
斬	tsæ̃3	
斷	tuɤɯ5	
斯	sɿ1	
新	ɕien1	
方	fᴀŋ1	
施	sɿ1	
旁	pʰᴀŋ2	
旅	lyi3	
旋	ɕyẽ2	
族	tsu2	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	zɿ2	
旦	tæ̃5	
舊	tɕiɐu5	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyn2	
旱	xæ̃5	
時	sɿ2	
曠	kʰuᴀŋ5	
旺	uᴀŋ5	
昂	ŋᴀŋ2	
昆	kʰuən1	
昌	tsʰᴀŋ1	
明	mɪn2	
昏	xuən1	
易	i5	
昔	ɕi2	
星	ɕien1	
映	ien5	
春	tsʰuən1	
昧	mɐi5	
昨	tsɔ2	
昭	tsɔ1	
是	sɿ5	
晝	tsɐu5	
顯	ɕieɪ3	
晉	tɕien5	
晏	ŋæ̃5	
曬	sæ̃5	
曉	ɕiɔ3	
暈	xuən1	
晚	uæ̃3	
晨	tsʰən2	
普	pʰu3	
景	tɕien3	
晴	tɕien1	
晴	tɕʰien1	
晴	tɕʰien2	
智	tsɿ5	
暫	tsæ̃5	
暑	su3	
暖	nuɤɯ3	
暗	ŋæ̃5	
暮	mu5	
暴	pɔ5	
曲	tɕʰiu2	
更	kən1	
更	kən5	
曹	tsʰɔ2	
曾	tsən1	
曾	tsʰən2	~经
替	tʰi5	
最	tsuɐi5	
月	ʏei2	
有	iɐu3	
朋	pʰoŋ2	
服	fu2	
朗	lᴀŋ3	
望	uᴀŋ5	
木	mu2	
未	uɐi5	
末	mɔ2	
本	pən2	
术	su2	
朱	tsu1	
朴	pʰu2	
朶	tou3	
機	tɕi1	
朽	ɕiɐu3	
殺	sᴀ2	
雜	tsᴀ2	
杆	kæ̃3	
杈	tsʰᴀ1	
杉	sᴀ1	
李	li3	
杏	ɕien5	
材	tsʰæ̃2	
村	tsʰuən1	
杖	tsᴀŋ5	
杜	tu5	
束	su2	
條	tʰiɔ2	
來	læ̃2	
楊	iᴀŋ2	
杭	xᴀŋ2	
杯	pɐi1	
杰	tɕieɪ2	
杳	liɔ3	
杵	tsʰu3	
杷	pʰᴀ1	
松	soŋ1	
板	pæ̃3	
極	tɕi2	
構	kɐu5	
枉	uᴀŋ3	
析	ɕi2	
枕	tsən3	
林	lɪn2	
果	kou3	
枝	tsɿ1	
樞	su1	
槍	tɕʰiᴀŋ1	
枯	kʰu1	
架	tɕiᴀ5	
柄	pɪn3	
柏	pɤɯ2	
某	mɐu3	
柑	kæ̃1	
染	zɤɯ3	
柔	zɐu2	
柩	tɕiɐu5	
柱	tsu5	
柳	liu3	
柴	tsʰæ̃2	
柿	sɿ5	
標	piɔ1	
棟	toŋ5	
樹	su5	
栓	suæ̃1	
栗	li2	
校	ɕiɔ5	
株	tsu1	
樣	iᴀŋ5	
根	kən1	
格	kɤɯ2	
栽	tsæ̃1	
桃	tʰɔ2	
案	ŋæ̃5	
桌	tsɔ2	
桐	tʰoŋ2	
桑	sᴀŋ1	
橋	tɕʰiɔ2	
桶	tʰoŋ3	
梅	mɐi2	
梢	sɔ1	
夢	moŋ5	
梧	u2	
梨	li2	
梭	sou2	
梯	tʰi1	
梳	su1	
檢	tɕieɪ3	
棉	mei2	
棋	tɕʰi2	
棒	pᴀŋ5	
棚	pʰoŋ2	
棠	tʰᴀŋ2	
森	sən1	
棵	kʰou1	
棺	kuɤɯ1	
椅	i3	
植	tsɿ2	
橢	tʰou3	
椿	tsʰuən1	
楚	tsʰu3	
楝	lei5	
楞	lən5	
楦	ɕyẽ1	
楷	kʰæ̃3	
樓	lɐu2	
概	kæ̃5	
榜	pᴀŋ3	
榨	tsᴀ5	
槌	tsʰuɐi2	
槐	xuæ̃2	
槽	tsɔ1	
樟	tsᴀŋ1	
模	mou2	
橫	xən2	
橫	xuən2	
櫻	ien1	
橄	kæ̃3	
橘	tɕiu2	
橙	tsʰən2	
橡	ɕiᴀŋ5	
櫞	tsʰuɤɯ2	
檀	tʰæ̃2	
檁	lɪn3	
欠	tɕʰieɪ5	
次	tsʰɿ5	
歡	xuɤɯ1	
欣	ɕien1	
歐	ŋɐu1	
欲	yi2	
欺	tɕʰi1	
款	kʰuɤɯ3	
歇	ɕieɪ2	
歉	tɕʰieɪ5	
歌	kou1	
