#漢字	音標	解釋#('wuu_th_shj_csts', '常熟唐市話', '常熟唐市', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,423 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
窟	kʰuoʔ7	
窠	kʰɯ1	
窨	iŋ5	
窩	ɯ1	
窮	dʑioŋ2	
窯	ɦiɔ2	
窵	tiɔ5	
窵	iɔ3	二～（江苏南通地名）
窿	loŋ2	
竅	tɕʰiɔ5	
竇	dᴇ6	
竃	tsɔ5	
竊	tsʰiɪʔ7	
立	liɪʔ8	
站	dzæ6	车～
站	tsæ5	～立
竟	tɕiŋ5	
章	tsɒ̃1	
竣	tsiŋ5	
童	doŋ2	
竦	soŋ3	
端	tɤ1	
競	dʑiŋ6	
竹	tsoʔ7	
竿	kɤ1	
笆	pu1	
笐	ɦɒ̃6	
笑	siɔ5	
笙	sᴇ̃1	
笛	diɪʔ8	
笞	tsʰɿ1	
笠	liɪʔ8	
笡	tsʰiɑ5	斜
符	vu2	
笨	bᴇ̃4	
笪	taʔ7	
第	di6	
笸	pʰu3	
笿	lɑʔ8	
筅	sie3	
筆	piɪʔ7	
等	tᴇ̃3	
筋	tɕiŋ1	
筍	sᴇ̃3	
筏	vaʔ8	
筐	kʰuɒ̃1	
筒	doŋ2	
答	tᴇʔ7	
策	tsʰɑʔ7	
筠	tɕioŋ1	～连（四川地名）
筠	ɦioŋ2	
筱	siɔ3	
筵	ɦie2	
筷	kʰuæ5	
箋	tsʰie1	
箍	ku1	
箏	tsᴇ̃1	
箕	tɕi1	
算	sɤ5	
管	kuɤ3	
箬	ȵiɑʔ8	【白读】
箭	tsie5	
箱	siã1	
箸	dzɿ6	筷～笼
節	tsiɪʔ7	
篁	ɦuɒ̃2	
範	væ4	
篇	pʰie1	
築	tsoʔ7	
篤	toʔ7	
篦	pi1	
篩	sɑ1	
篷	boŋ2	
篾	miɪʔ8	
簇	tsʰoʔ7	
簍	lᴇ2	
簒	tsʰᴇ5	
簡	tɕie3	【文读】
簧	ɦuɒ̃2	
簫	siɔ1	
簰	bɑ2	
簸	pu3	颠～
簸	pu5	～箕
簽	tsʰie1	
簾	lie2	
簿	bu4	
籃	læ2	
籌	dzɯ2	
籍	dziɪʔ8	
籟	lɑ6	【白读】
籟	læ6	【文读】
籠	loŋ2	
籪	tɤ5	一种渔具
籬	li2	
籮	lɯ2	
籲	ɦi6	呼～
米	mi4	
籴	diɪʔ8	
籼	sie1	
籽	tsɿ3	
粉	fᴇ̃3	
粑	pu1	
粒	liɪʔ8	
粗	tsʰɯ1	
粘	ȵie1	
粘	tsᴇ1	本字为“沾”
粟	soʔ7	
粢	tsʰɿ1	～饭
粤	ɦioʔ8	
粥	tsoʔ7	
粦	liŋ2	
粯	ɦæ6	～子（青稞磨成的粗粉，靖江、泰兴、如皋、南通等地称“粯子”，江南称“麦粞”）
粱	liã2	
粳	kã1	
粹	dzᴇ6	
粼	liŋ2	
糉	tsoŋ5	
精	tsiŋ1	
糊	ɦu2	
糍	dzɿ2	
糕	kɔ1	
糖	dɒ̃2	
糗	tɕʰiɯ3	
糙	tsʰɔ5	
糝	sᴇ̃3	
糞	fᴇ̃5	
糟	tsɔ1	
糠	kʰɒ̃1	
糯	nɯ6	
糰	dɤ2	圆团状食品：圆～，饭～
糴	diɪʔ8	
糶	tʰiɔ5	
系	ɦi6	
糾	tɕiɯ1	
紀	tɕi5	
紀	tɕi3	
約	iɑʔ7	
紅	ɦoŋ2	【文读】
紅	ŋ̍2	【白读】
紈	ɦuɤ2	
紊	vᴇ̃6	
紋	vᴇ̃2	
納	nᴇʔ8	
紐	ȵiɯ4	
純	zᴇ̃2	
紕	pʰi1	
紗	su1	
紙	tsɿ3	
級	tɕiɪʔ7	
紛	fᴇ̃1	
紝	zᴇ̃6	
素	sɯ5	
紡	fɒ̃3	
索	sɔʔ7	
紫	tsɿ3	
紮	tsaʔ7	
累	lᴇ4	【文读】积～
累	lᴇ6	【文读】连～；劳～
累	li6	【白读】受～（受苦）
細	si5	
紹	zɔ4	
紺	kᴇ̃5	
終	tsoŋ1	
組	tsɯ3	
絆	bɤ6	
絆	pæ5	[扌班]的训读
結	tɕiɪʔ7	
絕	dziɪʔ8	
絝	kʰu5	
絞	kɔ3	【白读】～圈（常熟本地传统的一种房屋形式，《冶塘镇志》记为“高圈”）
絞	tɕiɔ3	【文读】～刑
絞	ɡɔ4	～丝旁；～捩棒（麻花）
絡	lɔʔ8	
絢	ɕiɤ5	
給	tɕiɪʔ7	
絨	ȵioŋ2	
統	tʰoŋ3	
絲	sɿ1	
絹	tɕiɤ5	
綁	pɒ̃3	
經	tɕiŋ1	
綜	tsoŋ1	
綠	loʔ8	
綢	dzɯ2	
綬	zɯ6	
維	vi2	
綰	uæ3	
綱	kɒ̃1	
網	mɒ̃4	
綵	tsʰæ3	张灯结～；剪～
綻	dzæ6	
綽	tsʰɑʔ7	【文读】
綾	liŋ2	
綿	mie2	
緄	kuᴇ̃3	
緊	tɕiŋ3	
緖	dzi4	
線	sie5	
緝	tsʰiɪʔ7	
緞	dɤ4	
緣	ɦiɤ2	
編	pie1	
緩	uɤ3	
緬	mie4	
緯	ɦi4	【白读】～线；～纱
緯	ɦuᴇ4	【文读】经～；～度
緲	miɔ3	
練	lie6	
緹	di2	
緻	tsɿ5	标～
縉	tsiŋ5	
縛	bɔʔ8	
縣	ɦiɤ6	
縫	voŋ2	裁～
縫	voŋ6	一条～
縮	sɔʔ7	
縱	tsoŋ5	
縴	tɕʰie1	～夫；～绳；～道
縷	li4	
縹	pʰiɔ3	
總	tsoŋ3	
績	tsiɪʔ7	
繁	væ2	
繃	pã1	
繆	miɔ6	姓
繆	mᴇ2	未雨绸～
織	tsᴇʔ7	
繞	ȵiɔ6	
繡	siɯ5	
繩	zᴇ̃2	
繪	ɦuᴇ6	
繭	tɕie3	
繮	tɕiã1	
繰	tsʰiɔ1	
繳	kɔ1	【白读】～费
繳	tɕiɔ1	【文读】～枪
繹	ɦiɪʔ8	
繼	tɕi5	
繽	piŋ1	
續	zoʔ8	
纏	dzᴇ2	
纓	iŋ1	
纖	sie1	～细；～维
纜	læ6	
紿	dæ4	
絳	tɕiɒ̃5	【文读】
綺	tɕʰi3	
缸	kɒ̃1	
缺	tɕʰioʔ7	
罄	tɕʰiŋ5	
罅	hɑ5	
罈	dᴇ̃2	～子；酒～
罌	ã1	【白读】～粟花
罐	kuɤ5	
罩	tsɔ5	
罪	zᴇ4	【文读】犯～
罪	zæ4	【白读】～过（可怜）
置	tsɿ5	
罰	vaʔ8	
署	zɿ6	
罵	mu6	
罷	bɑ4	
羅	lɯ2	
羊	ɦiã2	
羌	tɕʰiã1	
羌	tɕʰiɒ̃1	姓，源自于“匡”；～巷，～家村（上海宝山地名）
美	mᴇ3	
羔	kɔ1	
羚	liŋ2	
羞	siɯ1	
羣	dʑioŋ2	
羨	zie6	
義	ȵi6	
羲	ɕi1	
羹	kã1	【白读】～饭
羹	kᴇ̃1	【文读】
羽	ɦi4	
羿	ȵi6	
翁	oŋ1	【文读】
翁	ŋ̍1	【白读】
翅	tsʰɿ5	
翊	ɦiɪʔ8	
翎	liŋ2	
習	dziɪʔ8	
翟	dzɑʔ8	
翟	diɪʔ8	
翟	di2	诸～（本名“紫堤”，上海闵行地名）
翠	tsʰᴇ5	
翡	fi1	
翰	ɦɤ6	
翹	tɕʰiɔ5	～尾巴；～辫子；～舌
翹	dʑiɔ2	～首以盼。变得不平：木头～脱
翻	fæ1	
翼	ɦiɪʔ8	
耀	ɦiɔ6	
老	lɔ4	
老	lɔ1	【文读】～师；～兄
考	kʰɔ3	
者	tsᴇ3	【文读】作～；知乎～也；或～
而	əl2	【文读】
而	ȵi2	【白读】加～（格外）
耍	sɑ3	
耐	næ6	
耕	kã1	【白读】～田
耕	kᴇ̃1	【文读】农～
耗	hɔ5	
耘	ɦioŋ2	
耙	bu2	
耦	ŋᴇ4	
耳	ȵi4	【白读】～朵；木～
耳	əl4	【文读】洗～恭听
耶	ɦiɑ2	
聳	soŋ3	
耽	tᴇ̃1	
耿	kã3	【白读】姓
耿	kᴇ̃3	【文读】～直
聊	liɔ2	
聖	sᴇ̃5	
聘	pʰiŋ5	
聚	dzi4	
聞	mᴇ̃2	【白读】
聞	vᴇ̃2	【文读】
聯	lie2	
聰	tsʰoŋ1	
聲	sã1	【白读】响一～
聲	sᴇ̃1	【文读】～音
聶	ȵiɪʔ8	
職	tsᴇʔ7	
聽	tʰiŋ1	
聽	tʰiŋ5	
聾	loŋ2	
肄	ɦi6	
肅	soʔ7	
肆	sɿ5	
肇	dzɔ4	
肉	ȵioʔ8	
肋	lᴇʔ8	
肌	tɕi1	
肏	tsʰɔʔ7	摩擦：～屄（性交）；～气（讨厌）；～火（发怒）；～祭（吃，带有贬义）。本字为“错”
肏	tsʰɔ5	
肖	sɔ5	生～
肖	siɔ5	
肖	siɔ1	“萧”的讹写
肘	tsɯ3	
肚	tɯ3	胃：牛～；猪～
肚	dɯ4	腹部：～皮
肛	kɒ̃1	
肝	kɤ1	
股	ku3	
肢	tsɿ1	
肥	vi2	
肥	bi2	～皂
肩	tɕie1	
肪	fɒ̃1	
肫	tsᴇ̃1	
肮	ɒ̃1	
肯	kʰᴇ̃3	
肱	koŋ1	
育	ɦioʔ8	
育	ȵioʔ8	养～巷（江苏苏州地名）
肴	ɦiɔ2	
肺	fi5	
胃	ɦuᴇ6	
背	pᴇ5	～心
背	bᴇ6	～书
胎	tʰæ1	
胖	pʰɒ̃5	
胗	tsᴇ̃1	
胚	pʰᴇ1	
胛	kaʔ7	
胝	tsɿ1	
胞	pɔ1	
胡	ɦu2	
胥	si1	伍子～；～门（苏州城门）
胥	sɿ1	～口（江苏苏州地名）
胭	ie1	
胯	kʰu5	
胱	kuɒ̃1	
胳	kɔʔ7	
胸	ɕioŋ1	
胼	bie2	
能	nᴇ̃2	
脂	tsɿ1	
脅	ɕiɪʔ7	
脆	tsʰᴇ5	
脈	mɑʔ8	
脊	tsiɪʔ7	
脗	miŋ4	
脘	kuɤ3	
脝	hã1	
脫	tʰoʔ7	动词：～衣裳
脫	tʰᴇʔ7	助词，用在动词后表示动作完成，相当于“掉”：做～；坏～
脬	pʰɔ1	
脯	fu3	
脹	tsã5	
脾	bi2	
腆	tʰie3	
腈	tsiŋ1	
腋	ɦiɪʔ8	
腎	zᴇ̃4	
腐	vu4	
腑	fu3	
腔	tɕʰiã1	【白读】～调
腔	tɕʰiɒ̃1	【文读】口～
腕	uɤ5	
腚	die6	
腥	siŋ1	
腦	nɔ4	
腩	nᴇ̃2	
腫	tsoŋ3	
腮	sæ1	
腰	iɔ1	
腱	dʑie2	
腳	tɕiɑʔ7	
腸	dzã2	
腹	foʔ7	
靦	mie4	
腿	tʰᴇ3	
膀	pɒ̃3	肩～
膀	bɒ̃2	～胱
膊	pɔʔ7	
膏	kɔ1	
膘	piɔ1	
膚	fu1	
膜	mɔʔ8	
膝	siɪʔ7	
膠	kɔ1	【白读】～水
膠	tɕiɔ1	【文读】～州（山东地名）
膦	liŋ4	
膨	bã2	
膩	ȵi6	
膯	tᴇ̃1	
膳	zᴇ6	
膽	tæ3	
膿	noŋ2	
臀	dᴇ̃2	
臂	pi5	
臃	ioŋ3	
臆	iɪʔ7	
臉	lie4	
臊	sɔ5	
臍	zi2	
臏	biŋ4	
臕	piɔ1	
臘	laʔ8	
臟	dzɒ̃6	内～
臣	dzᴇ̃2	
臥	ŋɯ6	
臧	tsɒ̃1	
臨	liŋ2	
臨	lᴇ̃2	～顿路
自	zɿ6	
臭	tsʰɯ5	
至	tsɿ5	
致	tsɿ5	导～
臺	dæ2	戏～；电视～；～湾
臻	tsᴇ̃1	
臼	dʑiɯ4	
臿	tsʰaʔ7	
舀	ɦiɔ4	
舂	tsʰoŋ1	
舅	dʑiɯ4	
與	ɦi4	～众不同
與	ɦi6	参～
興	ɕiŋ1	
舉	tɕi3	
舊	dʑiɯ6	
舌	zᴇʔ8	
舍	su5	【白读】
舍	sᴇ5	【文读】宿～
舍	sᴇ5	杨～（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音
舒	sɿ1	
舔	tʰie3	
舜	sᴇ̃5	
舞	vu4	
舟	tsɯ1	
航	ɦɒ̃2	
舫	fɒ̃3	
般	pɤ1	
般	pæ1	【文读】一～
舵	dɯ4	
舶	pʰɑʔ7	
船	zᴇ2	
艇	tʰiŋ3	
艘	sᴇ1	
艙	tsʰɒ̃1	
艦	kʰæ3	
艮	kᴇ̃5	
良	liã2	
艱	tɕie1	【文读】
色	sᴇʔ7	
艷	ɦie6	
艾	ŋæ6	
芊	tsʰie1	
芋	ɦi6	
芍	zɑʔ8	【文读】
芒	mɒ̃2	
芙	vu2	
芝	tsɿ1	
芥	kɑ5	
芬	fᴇ̃1	
芭	pu1	【白读】～蕉
芭	pɑ1	【文读】～蕾
芮	dzᴇ6	
芯	siŋ1	
花	hu1	
芳	fɒ̃1	
芷	tsɿ3	
芸	ɦioŋ2	
芹	dʑiŋ2	
芽	ŋɑ2	
苓	liŋ2	
苔	tʰæ1	青～；～藓；舌～
苔	dæ2	芸～；韭～
苕	diɔ2	～溪
苕	zɔ2	红～
苗	miɔ2	
苛	kʰɯ1	
苞	pɔ1	
苟	kᴇ3	
苡	i3	
苣	tɕi3	莴～笋
若	zɑʔ8	【文读】
苦	kʰu3	
苧	dzɿ4	
苫	sᴇ1	草～；～布。名词
苫	sᴇ5	遮，盖。动词
苯	pᴇ̃3	
英	iŋ1	
苹	biŋ2	呦呦鹿鸣食野之～
茂	mᴇ6	
茄	ɡɑ2	～子；番～
茄	dʑiɑ2	～克衫
茅	mɔ2	
茆	mɔ4	白～（江苏常熟地名）；白～塘（江苏常熟境内的一条河流）
茉	moʔ8	
茗	miŋ2	
茜	tsʰie5	
茜	si1	用于音译外语人名
茨	zɿ2	
茫	mɒ̃2	
茭	kɔ1	
茯	voʔ8	
茱	tsɿ1	
茴	ɦuᴇ2	
茵	iŋ1	
茶	dzu2	
茸	ȵioŋ2	【白读】
茸	zoŋ2	【文读】
茹	zɿ2	
茼	doŋ2	
荀	dziŋ2	
荃	tsʰie1	
荇	ɦã4	【白读】
荇	ɦiŋ4	【文读】
草	tsʰɔ3	
荊	tɕiŋ1	
荒	huɒ̃1	
荔	li6	
荳	dᴇ6	
荷	ɦɯ2	～花
荷	hɯ5	薄～
荷	ɦɯ4	负～；～载；电～
荻	diɪʔ8	
莅	li6	
莆	pʰu3	
莉	li6	
莊	tsɒ̃1	
莒	tɕi3	
莓	mᴇ2	
莖	tɕiŋ1	
莘	sᴇ̃1	～～学子；～县（山东地名）；～塔（江苏吴江地名）
莘	siŋ1	～庄（上海闵行地名）
莜	ɦiɯ2	
莠	ɦiɯ4	
莢	tɕiɪʔ7	
莧	hæ5	
莪	ŋɯ2	
莫	mɔʔ8	
莽	mɒ̃4	
菅	tɕie1	
菇	ku1	
菉	loʔ8	
菊	tɕioʔ7	
菌	tɕioŋ1	
菖	tsʰɒ̃1	
菜	tsʰæ5	
菠	pu1	
菡	ɦᴇ̃4	
菢	bɔ6	
菩	bu2	
華	ɦu2	
華	hu1	龙～，法～（上海徐汇地名）；法～桥（上海奉贤地名）
菰	ku1	
菱	liŋ2	
菲	fi1	芳～；～律宾
菲	fi5	～薄
萁	dʑi2	
萃	dzᴇ6	
萄	dɔ2	
萊	læ2	
萋	tsʰi1	
萌	mã2	【白读】
萌	mᴇ̃2	【文读】
萍	biŋ2	
萎	uᴇ3	
萬	mæ6	【白读】麻将中的“万”
萬	væ6	【文读】
萱	ɕiɤ1	
萵	ɯ1	
萸	ɦi2	
萼	ŋɔʔ8	
落	lɔʔ8	
葉	ɦiɪʔ8	树～
葑	fu1	～门（苏州城门）
葑	foŋ1	
著	tsɿ5	
著	tsɑʔ7	
葛	koʔ7	
葡	bᴇʔ8	
董	toŋ3	
葦	ɦuᴇ4	
葫	ɦu2	
葬	tsɒ̃5	
葭	kɑ1	【白读】菉～浜（江苏昆山地名）；菉～巷（江苏苏州地名）
葭	tɕiɑ1	【文读】
葵	ɡuᴇ2	
葷	huᴇ̃1	
葺	tsʰiɪʔ7	
蒂	ti5	
蒓	zᴇ̃2	
蒔	zɿ2	～秧（插秧）
蒙	moŋ2	
蒜	sɤ5	
蒡	pɒ̃5	
蒲	bu2	
蒸	tsᴇ̃1	
蒹	tɕie1	
蒼	tsʰɒ̃1	
蒿	hɔ1	
蓄	ɕioʔ7	
蓉	ɦioŋ2	
蓋	kæ3	
蓑	sɯ1	
蓓	bᴇ4	
蓖	pi1	
蓬	boŋ2	
蓮	lie2	
蔑	miɪʔ8	
蔔	boʔ8	萝～
蔗	tsu5	
蔘	sᴇ̃1	人～
蔚	uᴇ5	
蔚	i5	～县（河北地名）
蔞	lᴇ2	
蔡	tsʰɑ5	
蔣	tsiã3	
蔥	tsʰoŋ1	
蔫	ie1	
蔬	sɯ1	
蔭	iŋ1	树～
蔭	iŋ5	～庇；～凉
蔻	kʰᴇ5	
蕁	zie2	
蕉	tsiɔ1	
蕊	dzᴇ4	
蕎	dʑiɔ2	
蕨	tɕioʔ7	
蕩	dɒ̃6	
蕪	vu2	
蕭	siɔ1	
蕹	oŋ1	
蕻	hoŋ5	符合《集韵》呼贡切
蕻	ɦoŋ6	符合《集韵》胡贡切
蕾	lᴇ2	
薀	uᴇ̃1	～藻，～草（水草）
薄	bɔʔ8	
薅	hɔ1	
薇	bi2	【白读】蔷～花
薇	vi2	【文读】紫～
薑	tɕiã1	
薛	siɪʔ7	
薦	tsie5	
薩	saʔ7	
薪	siŋ1	
薯	zɿ6	
薰	ɕioŋ1	
薸	biɔ2	
薺	zi2	荸～
薺	ziɑ4	～菜
藁	kɔ3	
藉	dziɪʔ8	
藍	læ2	
藏	dzɒ̃2	～书
藏	dzɒ̃6	西～
藐	miɔ4	
蘚	sie3	
藕	ŋᴇ4	
藜	li2	
藝	ȵi6	
藤	dᴇ̃2	
藥	ɦiɑʔ8	
藹	æ5	
藺	liŋ6	
藻	tsɔ3	水～
藻	tsʰɔ3	蕰～浜
蘆	lɯ2	
蘇	sɯ1	
蘊	ɦioŋ6	
蘋	biŋ2	～果；浮～
蘑	mu2	
蘭	læ2	
蘸	tsæ5	
蘿	lɯ2	藤～；菠～
蘿	lɔ2	～卜
虎	hu3	
虐	ȵiɑʔ8	
處	tsʰɿ3	
處	tsʰɿ5	
虛	hᴇ1	～肿
虛	ɕi1	
虜	lɯ4	
虞	ȵi2	
號	ɦɔ2	
號	ɦɔ6	
虢	kuɑʔ7	
虧	tɕʰi1	【白读】幸～；吃～
虧	kʰuᴇ1	【文读】～本；～损
虩	ɕiɪʔ7	
虬	dʑiɯ2	
虱	sᴇʔ7	
虹	ɦoŋ2	【文读】
虹	ŋ̍2	【白读】
虹	kɒ̃5	
虻	mã2	
蚊	mᴇ̃2	【白读】～子
蚌	bã4	
蚍	bi2	
蚓	ɦiŋ4	
蚜	ŋɑ2	
蚝	ɦɔ2	
蚣	koŋ1	
蚤	tsɔ3	
蚩	tsʰɿ1	
蚯	tɕʰiɯ1	
蚱	tsu5	
蛀	tsɿ5	
蛆	tsʰi1	
蛇	dzu2	
蛋	dæ4	
蛐	tɕʰioʔ7	
蛛	tsɿ1	
蛟	tɕiɔ1	
蛭	tsᴇʔ7	
蛸	sɔ1	
蛹	ɦioŋ4	
蛻	tʰᴇ5	
蛻	tʰɯ5	～皮；～壳
蛾	ŋɯ2	
蜂	foŋ1	
蜆	ɕie3	
蜇	tsᴇʔ7	
蜈	ŋɯ2	
蜉	vᴇ2	
蜍	zɿ2	
蜒	ɦie2	
蜓	diŋ2	
蝸	kɯ1	
蜘	tsɿ1	
蜜	miɪʔ8	
蜞	dʑi2	
蜢	mã4	
蜥	siɪʔ7	
蜴	ɦiɪʔ8	
蜻	siŋ1	
蜿	uɤ1	
蝕	zᴇʔ8	
蝗	ɦuɒ̃2	
蝙	pie1	
蝠	foʔ7	
蝣	ɦiɯ2	
蝦	hu1	
蝴	ɦu2	
蝶	diɪʔ8	
螂	lɒ̃2	
螃	bɒ̃2	
螄	sɿ1	
融	ɦioŋ2	
螟	miŋ2	
螢	ɦioŋ2	
螳	dɒ̃2	
螺	lɯ2	
蟀	sᴇʔ7	
蟑	tsɒ̃1	
蟒	mɒ̃4	
蟛	bã2	
蟬	zᴇ2	
蟲	dzoŋ2	
蟶	tsʰᴇ̃1	
蟹	hɑ3	
蟻	mi4	
蟾	zᴇ2	
蠅	ɦiŋ2	
蠕	zɿ2	
蠟	laʔ8	
蠢	tsʰᴇ̃3	
蠱	ku3	
蠶	zᴇ̃2	
蠹	tɯ5	
蠻	mæ2	
血	ɕioʔ7	
衊	miɪʔ8	
行	ɦɒ̃2	～业；银～
行	ɦã2	【白读】～船；～车；～星
行	ɦiŋ2	【文读】～为；～动
衍	ɦie4	
術	dzᴇʔ8	技～；～语
街	kɑ1	
衙	ŋɑ2	
衛	ɦuᴇ6	
衝	tsʰoŋ1	
衡	ɦᴇ̃2	
衢	dʑi2	
衣	i1	
表	piɔ3	～面
衫	sæ1	
衰	sæ1	
衰	tsʰæ1	乡音无改鬓毛～
衷	tsoŋ1	
衽	zᴇ̃6	
袁	ɦiɤ2	
褘	huᴇ1	
袋	dæ6	
袍	bɔ2	
袖	ziɯ6	
袢	pʰæ5	
被	bi4	～头；～单
被	bᴇ6	～动；～告
袱	voʔ8	
袴	kʰu5	
裁	zæ2	
裂	liɪʔ8	
裊	ȵiɔ3	
裔	ɦi6	
裕	ɦi6	
裘	dʑiɯ2	
裙	dʑioŋ2	
補	pu3	
裝	tsɒ̃1	
裡	li4	
裱	piɔ3	
裳	zɒ̃2	
裴	bᴇ2	
裸	lɯ4	
裹	kɯ3	
製	tsɿ5	
裾	kᴇ1	
褂	ku5	
複	foʔ7	重～
褐	ɦᴇʔ8	
褒	pɔ1	
褙	pᴇ5	
褚	tsʰɿ3	
褥	ȵioʔ8	
褪	tʰᴇ5	
褯	dziɪʔ8	
褲	kʰu3	
褶	tsᴇʔ7	
褸	li4	
襄	ɕiã1	
襖	ɔ3	
襟	tɕiŋ1	
襠	tɒ̃1	
襤	læ2	
襪	maʔ8	
襯	tsʰᴇ̃5	
襲	dziɪʔ8	
襻	pʰæ5	
西	si1	
要	iɔ1	～求
要	iɔ5	重～
覃	dᴇ̃2	
覃	dziŋ2	姓
覅	fiɔ5	不要。“弗”、“要”的合音
覆	foʔ7	
見	tɕie5	
規	kuᴇ1	
覓	miɪʔ8	
視	zɿ6	
覦	ɦi2	
親	tsʰiŋ1	
覬	tɕi5	
覷	tsʰi5	迷～眼（近视）
覺	kɔʔ7	【白读】～得；～着
覺	tɕiɔʔ7	【文读】感～；～悟
覺	kɔ5	【白读】困～
覺	tɕiɔ5	【文读】睡～
覽	læ4	
觀	kuɤ1	～察；～看
觀	kuɤ5	楼～；玄妙～，～前街（江苏苏州地名）
角	kɔʔ7	
角	tɕiɑʔ7	【杭州文读】～色
觕	tsʰɯ1	
解	kɑ3	【白读】
解	tɕiɑ3	【文读】～放
解	kɑ5	押～
解	ɦɑ6	姓
解	ɡɑ4	～开；～鞋带；～山河
觥	koŋ1	
觴	sɒ̃1	
觸	tsʰoʔ7	
言	ɦie2	
訂	tiŋ5	
訇	hoŋ1	
計	tɕi5	
訊	siŋ5	
討	tʰɔ3	
訓	ɕioŋ5	
記	tɕi5	
訛	ŋɯ2	
訝	iɑ5	
訟	zoŋ6	
訣	tɕioʔ7	
訥	nᴇʔ8	
訪	fɒ̃3	
設	sᴇʔ7	
許	hᴇ3	许诺，答应。～愿
許	hæ3	在～（在）
許	hu3	场～（地方）；几～（多少）
許	ɕi3	姓。允～
訴	sɯ5	
訶	kʰɯ1	
診	tsᴇ̃3	
訾	tsɿ1	
詐	tsu5	
評	biŋ2	
詛	tsɯ5	
詛	tsɯ3	
詞	dzɿ2	
詠	ioŋ3	
詡	ɕi3	
詢	siŋ1	
試	sɿ5	
詩	sɿ1	
詫	tsʰu5	
詬	kᴇ5	
詭	kuᴇ3	
詮	tsʰie1	
話	ɦu6	
該	kæ1	
詳	dziã2	
詹	tsᴇ1	
詼	kʰuᴇ1	
誅	tsɿ1	
誇	kʰu1	
認	ȵiŋ6	【白读】～得；～真
認	zᴇ̃6	【文读】
誏	lɒ̃1	
誓	zɿ6	
誕	dæ4	
誘	ɦiɯ6	
語	ȵi4	
誠	dzᴇ̃2	
誣	vu2	
誤	ŋɯ6	
誦	zoŋ6	
說	sᴇʔ7	
誰	dzᴇ2	
課	kʰɯ5	
誼	ȵi6	
調	diɔ2	
調	diɔ6	
諄	tsᴇ̃1	
談	dæ2	
請	tsʰiŋ3	
諏	tsᴇ1	
諏	tsi1	
諒	liã6	
論	lᴇ̃2	～语
論	lᴇ̃6	讨～
諛	ɦi2	
諜	diɪʔ8	
諦	ti5	
諧	ɦie2	【文读】
諫	kæ5	【白读】
諫	tɕie5	【文读】
諭	ɦi6	
諮	tsɿ1	
諱	huᴇ5	
諳	ᴇ̃1	
諷	foŋ5	
諸	tsɿ1	【文读】符合《广韵》章鱼切
諸	tsɿ1	【白读】～翟（上海闵行地名）。符合《广韵》章鱼切
諸	tsu1	～溇（浙江湖州地名）。符合《广韵》正奢切
諺	ȵie6	
諾	nɔʔ8	
謀	mᴇ2	
謂	ɦuᴇ6	
謄	dᴇ̃2	
謅	tsᴇ1	
謇	tɕie3	
謊	huɒ̃3	
謎	mi6	
謎	mᴇ6	猜～～子
謔	ɕiɑʔ7	
謙	tɕʰie1	
講	kɒ̃3	【白读】
講	tɕiɒ̃3	【文读】
謝	ziɑ6	
謠	ɦiɔ2	
謨	mu2	
謬	miɔ6	
謳	ᴇ1	
譁	ɦu2	
證	tsᴇ̃5	
譏	tɕi1	
識	sᴇʔ7	
譚	dᴇ̃2	
譜	pu3	
警	tɕiŋ3	
譯	ɦiɪʔ8	
議	ȵi6	
譴	tɕʰie5	
護	ɦu6	
譽	ɦi6	
讀	doʔ8	～书
讀	dᴇ6	句～
變	pie5	
讒	dzæ2	
讓	ȵiã6	
讓	ɦiã6	泰～桥（江苏苏州地名）
讞	ȵie4	
訕	sæ5	
谷	koʔ7	山～
谷	ɦioʔ8	吐～浑
豁	huaʔ7	
豆	dᴇ6	
豇	kɒ̃1	
豈	tɕʰi3	
豉	zɿ6	
豌	uɤ1	
豎	zɿ4	
豐	foŋ1	
豐	voŋ2	兆～花园（上海市中山公园的口语说法）
豕	sɿ3	
豚	dᴇ̃2	
象	ziã4	
豪	ɦɔ2	
豫	ɦi6	
豬	tsɿ1	
豹	pɔ5	
豺	zɑ2	
貂	tiɔ1	
貉	ɦɔʔ8	
貊	mɑʔ8	
貌	mɔ6	
貓	mɔ2	
貝	pᴇ5	
貞	tsᴇ̃1	
負	vᴇ4	
財	dzæ2	
貢	koŋ5	
貧	biŋ2	
貨	hɯ5	
販	fæ5	
貪	tʰᴇ̃1	
貫	kuɤ5	
責	tsᴇʔ7	【文读】
貯	dzɿ4	
貳	ȵi6	【白读】
貳	əl6	【文读】
貶	pie3	
買	mɑ4	
貸	dæ6	
費	fi5	～用
費	pi5	～县（山东地名）
費	vi6	姓
貼	tʰiɪʔ7	
貽	ɦi2	
貿	mᴇ6	
賀	ɦɯ6	
賂	lɯ6	
賃	ȵiŋ6	
賄	huᴇ5	
資	tsɿ1	
賈	kɑ3	【白读】姓
賈	tɕiɑ3	【文读】姓
賈	ku3	商～
賊	zᴇʔ8	
賒	su1	
賓	piŋ1	
賞	sɒ̃3	
