#漢字	音標	解釋
帘	liã2	
帚	tʂou1	
帛	pɤ2	
帝	ti5	
帶	tai5	
席	tɕʰi2	
幫	paŋ1	
常	tʂʰaŋ2	
帽	mao5	
幅	fu2	
幔	mã5	
幕	mu5	
干	kã1	
干	kã1	乾濕
平	pʰiŋ2	
年	niã2	
并	piŋ5	
并	piŋ5	合倂
幸	ɕiŋ5	
幻	xuã5	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tʂuaŋ1	
慶	tɕʰiŋ5	
庇	pʰi5	
牀	tʂʰuaŋ2	
序	ɕy5	
廬	lu2	茅廬,廬山
庫	kʰu5	
應	iŋ1	應當,應用
應	iŋ1	應對,響應
底	ti3	
店	tiã5	
廟	miao5	
庚	keŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu5	
座	tsuɤ5	
庭	tʰiŋ2	
庵	ã1	
庶	ʂu5	
康	kʰaŋ1	
庸	iŋ1	
廉	liã2	
廊	laŋ2	
廓	kuəʔ7	
廖	liao2	姓
延	iã2	
廷	tʰiŋ2	
建	tɕiã5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	noŋ5	
弊	pi5	
式	ʂʅ5	
弓	koŋ1	
引	iən3	
弘	xoŋ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	
弦	ɕiã2	
彎	vã1	
弱	ʐuɤ5	
彈	tʰã2	子彈
彈	tʰã2	彈琴
强	tɕʰiaŋ2	
强	tɕiaŋ5	勉強,倔強
弼	pi5	
彀	ku3	往上彀
歸	kuəi1	
當	taŋ1	當時,應當
當	taŋ5	當作,典當
录	lu5	
形	ɕiŋ2	
彩	tsai3	
彪	piao1	
彬	ʂã1	
彭	pʰeŋ2	
影	iŋ3	
役	iŋ5	
徹	tʂʰɤ5	
彼	pi3	
往	vaŋ3	
征	tʂeŋ1	
征	tʂeŋ1	徵求
徑	tɕiŋ1	
待	tai5	
很	xen3	
律	ly5	
後	xou5	
徐	ɕy2	
徒	tʰu2	
得	təʔ7	
徙	ɕi2	
徛	tɕʰi2	立
御	y5	
循	ɕuən2	
微	vei1	
德	təʔ7	
徽	xuəi1	
心	ɕiən1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐen3	
忒	tʰei1	忒殺,忒好
忖	tsʰuən5	
志	tʂʅ5	
忘	vaŋ5	
忙	maŋ2	
憂	iəu1	
快	vuai5	
念	niã5	
忽	xuəʔ7	
忿	fen5	
懷	xuai2	
態	tʰai5	
慫	soŋ2	慫恿
慪	ou5	慪氣
怒	nu5	
怕	pʰɔ5	
怖	pu5	恐怖
憐	liã5	
思	sɿ1	
怠	tai5	
急	tɕi2	
性	ɕiŋ5	
怨	yã5	
怪	kuai5	
怯	tɕʰiɤ5	畏怯
總	tsoŋ3	
