#漢字	音標	解釋
㞎	pɒ3	～～：屎，或泛指骯髒之物
臼	tɕiəu5	
舀	iɑu3	
舂	tʂʰəŋ1	
舅	tɕiəu5	(文)
舅	tɕiəu6	(白)
與	y3	
興	ɕin1	～旺
興	ɕin5	高～
舉	tɕy3	
舊	tɕiəu5	(文)
舊	tɕiəu6	(白)
舒	ɕy1	
舔	tʰiɪ̃3	
舜	ɕyen5	
舞	u3	
舟	tʂəu1	
航	xoŋ2	
般	pø̃1	
舵	to5	(文)
舵	to6	(白)
船	tʂø̃2	
艇	tʰin3	
艦	kã5	
良	lioŋ2	
艱	kã1	
色	sa7	
艷	iɪ̃5	
艾	ŋai6	
芋	y5	(文)
芋	y6	(白)
芒	moŋ2	
芙	ɸu2	
芝	tʂʅ1	
芥	kai5	
芪	tɕi2	
芬	ɸen1	
芭	pɒ1	
花	ɸɒ1	
芳	xoŋ1	
芹	tɕin2	
芽	ŋɒ2	
苔	tʰai1	
苕	ʂɑu2	
苗	miɑu2	
苟	kɛ3	
若	io7	
苦	kʰu3	
英	in1	
茂	mɑu5	
范	ɸã6	
茄	tɕya2	
茅	mɑu2	
茫	moŋ2	
茬	tsɒ2	
茲	tsɿ2	
茴	ɸei2	
茶	tsɒ2	
茸	iəŋ2	
荀	sen2	
草	tsʰɑu3	
荊	tɕin1	
荔	li5	
荷	xo2	～花
荷	xo6	薄～
荸	pu2	～薺
莊	tsoŋ1	
莎	so1	
莖	tɕin1	
莧	xã6	
莫	mo7	
菊	tɕiəu7	
菌	tɕyen6	
菖	tʂʰoŋ1	
菜	tsʰai5	
菠	po1	
菢	pɑu6	
菩	pu2	
華	ɸɒ2	
菱	lin2	
萄	tɑu2	
萌	men2	
萍	pin2	
萎	ue3	
萬	xɑu1	
萬	uã5	(文)
萬	uã6	(白)
落	lo7	
葉	ɛ7	
著	tɕy5	
葛	ko7	
董	təŋ3	
葦	ue3	
葬	tsoŋ5	
葵	kue2	
葷	ɸen1	
蒓	ɕyen2	
蒙	məŋ1	
蒙	moŋ5	一層膜：眼上白～子
蒜	sø̃5	
蒲	pu2	
蒸	tʂen1	
蒼	tsʰoŋ1	
蓄	ɕiəu7	
蓉	iəŋ2	
蓋	kai5	
蓑	so1	
蓖	pʰi1	
蓬	pəŋ2	
蓮	liɪ̃2	
蔡	tsʰai5	
蔣	tsioŋ3	
蔥	tsʰəŋ1	
蔫	ȵiɪ̃1	
蔬	səu1	
蔭	in1	
蔽	pi5	(文)
蔽	pei5	(白)
蕉	tɕiɑu1	
蕎	tɕiɑu2	
蕩	tʰoŋ5	
蕭	ɕiɑu1	
蕹	uəŋ5	～菜
蕻	xəŋ6	草木蔬菜的嫩苔：油菜～，～子菜
薄	pu2	
薄	pʰo5	(白)～布
薄	po6	～荷
薄	po7	(文)～布
薅	xɑu1	
薑	tɕʰioŋ1	
薛	sɛ7	
薩	sɒ1	
薪	sin1	
薯	ɕy3	
薰	ɕyen1	
藉	tsi7	
藉	tɕi7	
藍	lã2	
藏	tsoŋ1	隱～
藏	tsoŋ5	西～
藐	miɑu3	
藕	ŋɛ2	(白)
藕	ŋəu3	(文)
藝	ȵi5	(文)
藝	ȵi6	(白)
藤	tiɪ̃2	(白)
藤	ten2	(文)
藥	io7	
藩	ɸã1	
藹	ŋai3	(文)
藹	ŋai6	(白)
藿	xo7	
蘆	ləu2	
蘇	səu1	
蘋	pin2	
蘭	lã2	
蘸	tsã5	
蘿	lo2	
虎	ɸu3	
虐	ȵio7	
虔	tɕiɪ̃2	
處	tɕʰy3	相～
處	tɕʰy5	～所
虛	ɕy1	
虜	ləu3	
虞	y2	
號	xɑu5	(文)
號	xɑu6	(白)
虧	kʰue1	
虹	xen2	(文)
虹	xəŋ2	(文)
虹	koŋ5	(白)
虻	moŋ2	
蚊	men1	(白)
蚊	uen2	(文)
蚌	poŋ5	
蚣	kəŋ1	
蚤	tsɑu3	
蚱	tsɒ7	～蜢子
蛀	tɕy5	
蛆	tɕʰi1	
蛇	ʂɒ2	
蛋	tã5	(文)
蛋	tã6	(白)
蛙	uɒ1	
蛛	tɕy1	
蛾	ŋo2	
蜀	ʂəu7	
蜂	ɸəŋ1	
蜇	tsã2	(訓讀)(馬蜂)蜇(人)
蜈	u2	
蜋	loŋ2	
蜓	tin2	
蜘	tʂʅ1	
蜘	tʂʅ7	
蜜	mi7	
蜻	tɕʰin1	(文)
蜻	tɕʰiɑŋ1	(白)
蝗	xoŋ2	
蝙	piɪ̃1	
蝠	ɸu7	
蝦	xɒ1	
蝦	xɒ2	
蝨	sa7	
蝴	ɸu2	
蝶	tʰɛ7	
蝸	o1	
螃	pø̃2	
融	iəŋ2	
螞	mɒ3	
螢	yen2	
螳	toŋ2	
螺	lo2	
蟆	mɒ2	
蟒	məŋ3	
蟬	ʂø̃2	
蟲	tʂəŋ2	
蟹	xai3	
蟻	ȵi5	
蠅	in1	
蠍	ɕiɛ7	
蠟	lɒ7	
蠢	tɕʰyen3	
蠶	tsã2	
蠻	mã2	
血	ɕya7	
行	ɕin2	～爲
行	xoŋ2	～列
行	ɕin5	品～
術	ɕy5	
街	kai1	
衙	ŋɒ2	
衛	ue5	
衝	tʂʰəŋ1	
衝	tʂʰəŋ5	氣味濃烈刺鼻：～菜子
衡	xen2	
衣	i1	
表	piɑu3	
衫	sã1	
衰	sai1	
袋	tei6	
袍	pɑu2	
袖	siəu5	
被	pi6	～子
袱	ɸu7	
袴	kʰu5	
裁	tsʰai2	
裂	lɛ7	
裏	li3	
裕	y5	
裙	tɕyen2	
補	pu3	
裝	tsoŋ1	
裱	piɑu3	
裳	ʂoŋ2	
裴	pei2	
裸	lo3	
裹	lo3	
製	tʂʅ5	
褂	kuɒ5	
褒	pɑu1	
褥	iəu7	
褲	kʰu5	
褶	tʂa7	
襄	sioŋ1	
襉	kã3	
襖	ŋɑu3	
襟	tɕin1	
襪	uɒ7	
襯	tʂʰen5	
襲	si7	
襻	pʰã5	鞋～子
西	si1	
要	iɑu1	
覆	ɸu7	
見	tɕiɪ̃5	
規	kue1	
覓	mi7	
視	ʂʅ5	
覘	tã1	擡頭：～起腦殼
親	tsʰin1	～人
親	tsʰin5	～家
覺	kɑu5	(白)
覺	tɕiɑu5	(文)唾～
覺	tɕio7	
覽	lã3	
觀	kø̃1	參～
觀	kø̃5	寺～
角	ko7	
解	kai3	
觸	tʂʰəu7	
言	ȵiɪ̃2	
訂	tin5	(文)
訂	tin6	(白)
訃	pu6	
計	tɕi5	
訊	sin5	
討	tʰɑu3	
訓	ɕyen5	
託	tʰo7	
記	tɕi5	
訟	səŋ5	
訣	tɕya7	
訪	xoŋ3	
設	ʂa7	
許	ɕy3	
訴	səu5	
診	tʂen3	
詐	tsɒ5	
詔	tʂɑu5	
評	pin2	
詞	tsɿ2	
詠	yen5	
試	ʂʅ5	
詩	ʂʅ1	
詫	tsʰɒ5	
詭	kue3	
話	uɒ6	
該	kai1	
詳	tsioŋ2	
誅	tɕy1	
誇	kʰuɒ1	
認	in5	
誓	ʂʅ5	
誕	tã5	
誘	iəu5	
語	y3	
誠	tʂen2	
誣	u1	
誤	u5	
誦	səŋ5	
說	ɕyɛ7	
誰	ʂue2	(文)
誰	ɕyɛ2	(白)
課	kʰo5	
誼	ȵi5	(文)
誼	ȵi6	(白)
調	tiɑu2	協～
調	tiɑu5	～動
談	tã2	
請	tsʰiɑŋ3	
諒	lioŋ5	
論	len2	～語
論	len5	議～
諜	tʰɛ7	
諧	xai2	
諮	tsɿ1	
諱	ɸei5	
諷	ɸəŋ1	
諸	tɕy1	
諺	ȵiɪ̃5	
諾	lo7	
諾	io7	
謀	mɑu2	
謂	ue5	
謄	ten2	
謊	xoŋ3	
謎	mi6	
謗	poŋ3	
謙	tɕʰiɪ̃1	
講	koŋ3	(白)
講	tɕioŋ3	(文)
謝	ɕia5	(白)花～了
謝	sɛ5	(文)
謠	iɑu2	
謬	miɑu5	
謳	ŋɛ5	
謹	tɕin3	
證	tʂen5	
譏	tɕi1	
譚	tã2	
譜	pʰu3	
警	tɕin3	
譬	pʰi7	
譯	i7	
議	ȵi5	
護	ɸu5	
譽	y5	
讀	təu7	
變	piɪ̃5	
讒	tsã2	
讓	ioŋ5	
讚	tsã5	
谷	ku7	
豁	xo7	
豈	tɕʰi3	
豉	ʂʅ1	
豌	ø̃2	
豎	ɕy5	
豐	ɸəŋ1	
豚	ten2	
象	tsioŋ5	
豪	xɑu2	
豫	y5	
豬	tɕy1	
豹	pɑu5	
豺	tsai2	
貂	tiɑu1	
貌	mɑu5	
貓	mɑu1	
貝	pei5	(白)
貞	tʂen1	
負	ɸu5	
財	tsʰai2	
貢	kəŋ5	
貧	pin2	
貨	xo5	
貪	tʰã1	
貫	kø̃5	
責	tsa7	
貳	a6	(白)
貳	ɛ6	(文)
貴	kue5	
貶	piɪ̃3	
貶	ɸã5	
買	mai3	
貸	tai5	
費	ɸei5	
貼	tʰɛ7	
貽	i2	
貿	mɑu5	
賀	xo5	
賄	ɸei3	
資	tsɿ1	
賈	tɕiɒ3	
賊	tsʰɛ5	
賒	ʂɒ1	
賓	pin1	
賜	tsʰɿ5	
賞	ʂoŋ3	
賠	pei2	
賢	ɕiɪ̃2	
賣	mai3	
賤	tsiɪ̃5	(文)
賤	tsiɪ̃6	(白)
賦	ɸu5	
質	tʂʅ7	
賭	təu3	
賴	lai5	(文)
賴	lai6	(白)
賺	tsã6	
購	kəu5	
賽	sai5	
贈	tsʰen5	
贊	tsã5	
贏	in2	(文)
贏	kiɑŋ2	(白)
贖	ʂəu7	
赤	tʂʰʅ7	(文)
赤	tʂʰɒ7	(白)
赫	xa7	
走	tsɛ3	
赴	ɸu5	
起	tɕʰi3	
趁	tʂʰen5	
超	tʂʰɑu1	
越	ya7	
趕	kã3	
趖	so1	滑：從坡上～下來
趙	tʂɑu5	
趟	tʰoŋ5	
趣	tɕʰi5	
趨	tɕʰi1	
足	tsəu7	
趴	pʰɒ3	兩腿分開
趾	tʂʅ5	
跌	tɛ7	
跍	ku2	蹲
跑	pʰɑu3	
跛	pai1	(白)腿腳不靈活：～子
跛	po3	(文)
距	tɕy5	
跟	kiɪ̃1	
跡	tsi7	
跨	liɑu1	蹺：～起二郎腿
跨	kʰuɒ5	
跪	kʰue3	
路	ləu5	(文)
路	ləu6	(白)
跳	tʰiɑu5	
踐	tsioŋ5	
踢	tʰi7	
蹤	tsəŋ1	
踱	to7	
踹	tɕʰya5	
蹄	ti2	
蹬	ten1	
蹭	tsen1	
蹲	tsen1	
蹾	ten5	豎起：把書～起敞
躁	tsʰɑu5	
躍	io7	
躡	ȵiɛ7	
身	ʂen1	
躬	kəŋ1	
躲	to3	
躺	tʰoŋ3	
車	tɕy1	～馬炮
車	tʂʰɒ1	
軋	tsɒ7	
軋	ŋɒ7	
軌	kue3	
軍	tɕyen1	
軒	ɕiɪ̃1	
軛	ŋa7	
軟	lø̃3	
軸	tʂʰəu7	
載	tsai3	～年
載	tsai5	～重
輔	ɸu3	
輕	tɕʰin1	(文)
輕	tɕʰiɑŋ1	(白)
輛	lioŋ3	
輜	tsɿ1	
輝	ɸei1	
輩	pei5	
輪	len2	
輯	tsi7	
輸	ɕy1	
轉	tʂø̃3	
轍	tʂʰa7	
轎	tɕiɑu6	
轟	xəŋ1	
辛	sin1	
辜	ku1	
辟	pʰi5	
辣	lɒ7	
辦	pã5	(文)
辦	pã6	(白)
辨	piɪ̃5	
辭	tsɿ2	
辮	piɪ̃6	
辯	piɪ̃5	
辰	ʂen2	
辱	iəu7	
農	ləŋ2	
迎	ȵin2	
近	tɕin5	(文)
近	tɕin6	(白)
迫	pʰa7	
述	ɕy5	
迷	mi2	(文)
迷	mi5	(白)
迻	i2	
追	tʂue1	(文)
追	tɕyɛ1	(白)
退	tʰei5	
送	səŋ5	
逃	tɑu2	
逆	ȵi7	
透	tʰəu5	
逐	tʂʰəu7	
逗	tɛ1	(文)
逗	tɛ6	(白)
通	tʰəŋ1	
逛	koŋ2	
逝	ʂʅ5	
逞	tʂen2	
速	so7	
造	tsɑu5	(文)
造	tsɑu6	(白)～孽：可憐
逢	ɸəŋ2	
連	liɪ̃2	
進	tsin5	
逵	kue2	
逸	i7	
逼	pi7	
逾	y2	
遁	ten5	
遂	sei5	
遇	y5	
遊	iəu2	
運	yen5	
遍	piɪ̃5	
過	ku5	(白)不好～
過	ko5	
道	tɑu5	
達	tɒ7	
違	ue2	
遜	sen5	
遞	tʰi5	
遭	tsɑu1	
遮	tʂɒ1	
遲	tʂʅ2	
遵	tsen1	
遷	tsʰiɪ̃1	
遷	y2	
選	siɪ̃3	
遺	i2	
遼	liɑu2	
避	pi7	
邀	iɑu1	
邁	mai5	
還	xai2	～有
還	uã2	～原
邊	piɪ̃1	
邋	lɒ3	～胡：馬虎；髒，不講衛生
那	lɒ6	
邦	poŋ1	
邪	ɕia2	
邵	ʂɑu5	
郁	iəu7	
郊	tɕiɑu1	
郎	loŋ2	
郡	tɕyen6	
部	pu5	(文)
部	pu6	(白)
郭	ko7	
郵	iəu2	
都	təu1	
鄂	ŋo7	
鄉	ɕioŋ1	
鄒	tsɛ1	
鄙	pi3	
鄧	ten5	
鄭	tʂen5	
鄰	lin2	
酉	iəu3	
配	pʰei5	
酒	tsiəu3	
酥	səu1	
酪	lo7	
酬	tʂəu2	
酵	tɕiɑu5	
酷	kʰu7	
酸	sø̃1	
醃	iɪ̃1	
醇	ɕyen2	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
醜	tʂʰəu3	
醫	i1	
醬	tsioŋ5	
釀	ioŋ5	
釁	ɕin5	
釅	ȵiɪ̃6	
釉	iəu5	(文)
釉	iəu6	(白)
里	li3	
重	tʂəŋ2	～复
重	tʂəŋ5	(文)～要
重	tʂəŋ6	(白)輕～
野	iɒ3	
量	lioŋ2	～長短
量	lioŋ5	數～
釐	li2	
金	tɕin1	
釘	tin1	(文)名詞
釘	tiɑŋ1	(白)名詞
釘	tin5	(文)動詞
釘	tiɑŋ5	(白)動詞
釜	ɸu3	
針	tʂen1	
釣	tiɑu5	
釵	tsʰɒ1	
鈍	ten5	
鈔	tsʰɑu1	
鈞	tɕyen1	
鈴	lin2	
鉋	pɑu6	
鉗	tɕiɪ̃2	
鉤	kɛ1	
鉸	tɕiɑu3	
銀	ȵin2	
銀	in2	
銃	tʂʰəŋ5	
銅	təŋ2	
銘	min2	
銜	xã2	
銬	kʰɑu5	
銷	siɑu1	
銹	siəu5	
銼	tsʰo5	
鋒	ɸəŋ1	
鋤	tɕy2	(白)
鋤	tsʰəu2	(文)
鋪	pʰu1	～路
鋪	pʰu5	店～
鋸	kɛ5	
鋼	koŋ1	
錄	ləu7	
錐	tʂue1	(文)
錐	tɕyɛ1	(白)
錘	tʂue2	(文)
錠	tʰin3	
錠	tin5	(文)
錠	tin6	(白)
錢	tsiɪ̃2	
錦	tɕin3	
錫	si7	(文)
錫	ɕia7	(白)
錮	ku5	
錯	tsʰo7	
錶	piɑu3	
鍋	ko1	
鍍	təu5	
鍘	tsʰɒ7	
鍛	tø̃5	
鍬	tɕʰiɑu1	
鍵	tɕiɪ̃5	
鍾	tʂəŋ1	
鎔	iəŋ2	
鎖	so3	
鎮	tʂen5	
鏟	tsʰã3	
鐃	iɑu2	
鐘	tʂəŋ1	
鐮	liɪ̃2	
鐵	tʰɛ7	
鐸	to7	
鑄	tɕy5	
鑊	xo7	
鑑	kã5	
鑰	io7	
鑲	sioŋ1	
鑷	ȵiɛ7	
鑼	lo2	
鑽	tsø̃1	動詞
鑽	tsø̃5	木工工具
鑿	tsʰo5	
長	tʂoŋ2	～短
長	tʂoŋ3	生～
門	men2	
門	men6	～口：跟前
閂	sø̃1	
閃	ʂø̃3	
閉	pi5	(文)
閉	pei5	(白)
開	kʰai1	
閏	yen6	
間	kã1	中～
間	kã5	～斷
閘	tsɒ7	
閣	ko7	
閨	kue1	
閩	min2	
閱	ya7	
閹	iɪ̃1	
閻	iɪ̃2	
闊	kʰo7	
闖	tsʰoŋ1	
闖	tʂʰoŋ3	
關	kuã1	
闢	pʰi7	
阮	ø̃3	
阻	tsəu3	
阿	ɒ1	～膠；～哥
附	ɸu5	
陌	pa7	
降	ɕioŋ2	～服
降	tɕioŋ5	下～
限	xã5	
陛	pi5	
陝	ʂø̃3	
陡	tɛ3	
院	ø̃5	
陣	tʂen5	(文)～痛
陣	tʂen6	(白)一～
除	tɕy2	
陪	pei2	
陰	in1	
陳	tʂen2	姓
陵	lin2	
陶	tɑu2	
陷	xã5	
陸	ləu7	
陽	ioŋ2	
隆	ləŋ2	
隊	tei5	
階	kai1	
隘	ŋai5	
際	tsi5	
障	tʂoŋ5	
隥	tʰen3	台階或表台階的量詞：一～樓梯
隧	sei5	
隨	sei2	
險	ɕiɪ̃3	
隱	in3	
隴	ləŋ3	
隸	ti5	
隻	tʂʅ7	(文)
隻	tʂɒ7	(白)
雀	tsʰio7	
雁	ŋã5	
雄	ɕiəŋ2	
雅	iɒ3	
集	tsi7	
雌	tsʰɿ1	
雍	iəŋ1	
雕	tiɑu1	
雖	sei1	
雙	soŋ1	
雜	tsɒ7	
雞	tsi1	
雞	tɕi1	
離	li2	
難	lã5	
雨	y3	
雪	sɛ7	
雲	yen2	
零	lin2	(文)
零	liɑŋ2	(白)
雷	lei2	
雹	pɑu5	
電	tiɪ̃5	
需	ɕi1	
霄	siɑu1	
震	tʂen5	
霍	xo7	
霜	soŋ1	
霧	u5	(文)
霧	u6	(白)
露	ləu5	(文)
露	ləu6	(白)
霸	pɒ5	
靈	lin2	
青	tɕʰin1	(文)
青	tɕʰiɑŋ1	(白)
靖	tsin5	
靜	tsin5	(文)
靜	tsin6	(白)
非	ɸei1	
靠	kʰɑu5	
靡	mi2	
革	ka7	
靪	tin1	
靴	ɕya1	
鞋	xai2	
鞍	ŋã1	
鞏	kəŋ3	
鞘	tɕʰiɑu5	
鞭	piɪ̃1	
韁	tɕʰioŋ1	
韌	in5	
韓	xã2	
韭	tɕiəu3	
音	in1	
韶	ʂɑu2	
韻	yen5	
響	ɕioŋ3	
頂	tin3	
項	xoŋ5	
順	ɕyen5	(文)
順	ɕyen6	(白)
須	ɕi1	
頌	səŋ5	
預	y5	
頑	uã2	
頒	pã1	
頓	ten5	
頗	pʰo7	
領	liɑŋ3	
頭	tɛ2	(白)
頭	təu2	(文)
頸	tɕiɑŋ3	
頻	pin2	
顆	kʰo3	
題	ti2	
額	ŋa7	
顏	ŋã2	
願	ø̃5	
顛	tiɪ̃1	
顧	ku5	
顫	tʂø̃5	
顯	ɕiɪ̃3	
顴	tʂø̃2	
風	ɸəŋ1	
颼	sɛ1	
飄	pʰiɑu1	～揚
飛	ɸei1	
飢	tɕi1	
飩	ten2	
飯	ɸã6	
飲	in3	
飴	i2	
飼	sɿ3	
飽	pɑu3	
餃	tɕiɑu3	
餅	pin3	
餅	piɑŋ3	
餉	ɕioŋ3	
養	ioŋ3	
餌	ɛ3	
餐	tsʰã1	
餓	ŋo6	
餘	y2	
餚	iɑu2	
餛	ɸen2	
餞	tsiɪ̃6	
餡	xã5	
館	kø̃3	
餵	ue3	
餿	sɛ1	
饅	mø̃2	
饑	tɕi1	
饒	iɑu2	
饞	tsã2	
首	ʂəu3	
香	ɕioŋ1	
馨	ɕin1	
馬	mɒ3	
馮	ɸəŋ2	
馱	to2	
馳	tʂʅ2	
駁	po7	
駐	tɕy5	
駒	tɕy1	
駕	kɒ5	(白)
駕	tɕiɒ5	(文)
駛	ʂʅ3	
駝	to2	
駭	xai2	
駱	lo7	
騎	tɕi2	
騙	pʰiɪ̃5	
騰	ten2	
騷	sɑu1	
騾	lo2	
驅	tɕʰy1	
驕	tɕiɑu1	
驗	ȵiɪ̃5	
驚	tɕin1	
驟	tsəu6	
驢	li2	
骨	kue7	
髒	tsoŋ1	
髓	si3	
體	tʰi3	
高	kɑu1	
髮	ɸɒ7	
髻	tɕi5	
鬃	tsəŋ1	
鬍	ɸu2	
鬢	pin1	
鬢	pin5	
鬥	tɛ5	(白)牛～架
鬥	təu5	(文)
鬧	lɑu5	(文)
鬧	lɑu6	(白)
鬮	tɕiəu1	
鬱	iəu7	
鬼	kue3	
魂	ɸen2	
魄	pʰa7	
魏	ue5	
魔	mo2	
魚	y2	
魯	ləu3	
鮎	ȵiɪ̃2	
鮓	tsɒ3	～魚：用鹽醃製過的魚
鮮	siɪ̃1	新～
鮮	siɪ̃3	～少
鯉	li3	
鯨	tɕin1	
鯽	tsi7	
鯿	piɪ̃1	～魚
鰓	sai1	
鰣	ʂʅ2	
鰥	kø̃1	
鰭	tɕi2	
鰱	liɪ̃2	
鱉	pɛ7	
鱖	kue5	
鱗	lin2	
鱷	ŋo7	
鳥	tiɑu3	(白)
鳥	ȵiɑu3	(文)
鳩	tɕiəu1	
鳳	ɸəŋ5	
鳴	min2	
鴉	iɒ1	
鴨	ŋɒ7	
鴻	xəŋ2	
鴿	ko7	
鵝	ŋo2	
鵡	u3	
鵲	tsʰio7	
鶯	in1	
鶴	xo7	
鷂	iɑu5	
鷹	in1	
鷺	ləu6	
鸕	ləu2	
鸚	in1	
鸞	lø̃2	
鹼	kã3	
鹽	iɪ̃2	
鹿	ləu7	
麗	li5	
麥	ma7	
麵	miɪ̃5	～條
麵	miɪ̃6	～條
麻	mɒ2	
麼	mo2	
麼	mo6	(白)石～
麾	ɸei1	
黃	xoŋ2	(文)
黃	oŋ2	(白)
黎	li2	
黏	ȵia1	
黑	xa7	
默	ma7	
點	tiɪ̃3	
點	tia7	(白)
黨	toŋ3	
黴	mei2	
鼎	tin3	
鼓	ku3	
鼠	ɕy3	(文)
鼠	ɕy5	(白)
鼬	iəu5	
鼻	pʰi5	
鼾	xø̃1	
齊	tsi2	
齋	tsai1	
齒	tʂʰʅ3	
齙	pɑu5	突出：～牙齒
龍	ləŋ2	
龐	pʰoŋ2	
龕	kʰã1	
龜	kue1	
𠻞	kʰɑŋ3	咳嗽
𤌍	o5	燙：開水～噠
𨃅	pai1	腿腳不靈活：～子
