#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
哇	uɔ3	
哈	ha1	
員	ɦi2	
哥	ka1	～～
哥	kəu1	
哩	liᶽ1	
哪	na3	
哭	kʰoʔ7	
哮	hɔ1	～病：氣喘。白
哲	tsəʔ7	
哽	kã3	
唇	zən2	
唐	dɔ̃2	
售	dʑiʏ6	
唯	viᶽ2	
唯	ɦuei2	文
唱	tsʰɔ̃5	
唾	tʰəu5	
啄	tsoʔ7	
商	sɔ̃1	
問	mən5	白
問	vən6	
啓	tɕʰiᶽ3	
啞	ʔia3	文
啞	ʔo3	白
啼	diᶽ2	
善	zᴇ4	
喊	hᴇ5	
喘	tsʰᴇ3	
喚	huᴇ5	文
喚	ʔuᴇ5	
喜	ɕiᶽ3	
喝	həʔ7	
喧	ɕi1	
喪	sɔ̃1	婚～，～失
喬	dʑiɔ2	
單	tᴇ1	
單	zᴇ4	姓
喻	ʔiᶽ5	
嗅	ɕiʏ5	
嗆	tɕʰiã6	
嗇	səʔ7	
嗉	səu5	
嗜	zɿ6	
嗝	ɡei2	打～，打噎嗝
嗣	zɿ6	
嗤	tsʰɿ1	
嗦	səu1	囉～
嗲	tia1	發～
嗽	ɕiʏ5	
嘉	ka1	白
嘉	tɕia1	文
嘔	ʔiʏ1	
嘗	dzɔ̃2	
嘣	poŋ1	～：象声词，形容跳动
嘭	pʰoŋ1	～：象声词，形容暴发
嘮	lɔ1	
嘲	dzɔ2	
嘴	tsei3	
嘸	m̩2	
噎	ʔiəʔ7	
噓	ɕiᶽ1	
器	tɕʰiᶽ5	
噴	pʰən1	
噹	tã1	
噹	tɔ̃1	
嚇	haʔ7	
嚥	ʔi1	
嚴	ȵɦi2	
嚷	zã4	非常闹
嚼	ʑiaʔ8	
囉	ləu1	
囊	lɦɔ̃2	
囑	tsoʔ7	
囚	ʑiʏ2	
四	sɿ5	
回	ɦuei2	
因	ʔin1	
囤	dən4	
囥	kʰɔ̃5	藏
囪	tsʰoŋ1	
困	kʰuən5	
固	kəu5	
圈	tɕʰi1	圓～，豬～
國	kuəʔ7	
圍	ɦuei2	
園	ɦi2	
圓	ɦi2	
圖	dəu2	
團	dᴇ2	
土	tʰəu3	
在	dzei4	
圭	kuei5	
地	diᶽ6	
址	tsɿ3	
均	tɕin1	
坍	tʰᴇ1	～下來
坎	kʰᴇ3	
坐	zəu4	
坑	kʰã1	茅～：厕所
坡	pʰu1	
坤	kʰuən1	
坦	tʰᴇ3	
坪	bin2	
坯	pʰei1	土～
坳	ʔɔ3	山～
垂	dzei2	
型	ɦin2	
垻	po5	
埂	kã5	
埃	ʔei1	
埋	mɦa2	
城	dzən2	
域	ɦioʔ8	
埠	bu6	
埭	da6	一～：量詞、次
埭	dᴇ6	地名：～溪
執	tsəʔ7	
基	tɕiᶽ1	
堂	dɔ̃2	
堅	tɕi1	
堆	tei1	
堡	pɔ3	
堪	kʰᴇ1	
堯	ɦiɔ2	
堰	ʔi5	
報	pɔ5	
場	dzã2	
堵	təu3	
塊	kʰuei5	
塌	tʰəʔ7	～风
塑	soʔ7	
塔	tʰaʔ7	
塗	dəu2	
塘	dɔ̃4	
塞	səʔ7	
塢	ʔu1	
填	di2	
塵	dzən2	
境	tɕin5	
墊	di4	～鈔票
墊	di6	～子
墓	mo5	
墜	dzei2	
增	tsən1	
墟	ɕiᶽ1	
墨	mɦəʔ8	
墩	tən1	
墳	vən2	
墾	kʰən3	
壁	piəʔ7	
壇	dᴇ2	
壓	ɦaʔ8	
壕	ɦɔ2	
壘	lei3	
壞	ʔua5	
壟	loŋ3	
壤	zã6	
壩	po5	
士	zɿ4	
壬	ȵɦin2	
壯	tsɔ̃5	
壺	ɦu2	
壽	ʑiʏ6	
夏	ʔo5	
夕	ʑiəʔ8	
外	ŋa5	～面。白
外	ʔa5	～公，～婆
外	ʔua5	文
多	təu1	
夜	ʔia5	
夠	køʏ5	
夢	moŋ5	
夥	həu3	
大	da6	
大	dəu6	白
天	tʰi1	
太	tʰa5	
夫	fu1	
央	ʔiã1	
夯	hã1	
失	səʔ7	
夷	ɦiᶽ2	
夾	kaʔ7	白
夾	tɕiaʔ7	文
奇	dʑiᶽ2	
奈	na5	
奎	kʰuei1	
奏	tɕiʏ5	
契	tɕʰiᶽ5	
奔	pən1	
套	tʰɔ5	
奚	ɦiᶽ2	
奠	di6	
奢	sei1	
奧	ʔɔ5	
奪	dəʔ8	
奮	fən3	
女	ȵiᶽ3	
奴	nɦəu2	
奶	na1	吃～～
奶	na3	～娘
奸	tɕi1	
好	hɔ3	～壞，喜～
如	zɿ2	
妃	fiᶽ1	
妄	mɔ̃5	白
妄	vɔ̃6	文
妓	dʑiᶽ6	
妖	ʔiɔ1	
妙	miɔ5	
妥	tʰəu3	
妨	fɔ̃3	
妬	təu5	
妹	mei5	
妻	tɕʰiᶽ1	
妾	tɕʰiəʔ7	
姆	m̩3	
始	sɿ3	
姐	tɕiᶽ3	
姐	tɕia3	
姑	kəu1	
姓	ɕin5	
委	ʔuei3	
姘	pʰin1	
姚	ɦiɔ2	
姜	tɕiã1	
姨	ɦiᶽ2	
姪	dzəʔ8	
姻	ʔin1	
姿	tsɿ1	
威	ʔuei1	
娘	ȵiã1	～～：姑母
娘	ȵɦiã2	～家
娛	ȵɦiᶽ2	
娩	mi3	
娶	tɕʰiᶽ3	
婆	bu2	
婚	huən1	
婢	bei6	
婦	vu6	
婿	ɕiᶽ1	女～
媒	ɦmei2	
媚	ɦmei2	
媳	ɕiəʔ7	～妇
媽	ma1	
媽	ma3	
嫁	tɕia5	
嫂	sɔ3	
嫌	ʔi1	
嫡	tiəʔ7	～亲儿子
嫩	lən5	
嬌	tɕiɔ1	
嬰	ʔin1	
嬸	sən3	
孀	sɔ̃1	
子	tsɿ3	
孔	kʰoŋ3	
孕	ɦin2	
存	dzən2	
孝	hɔ5	白
孝	ɕiɔ5	文
孟	mã5	
季	tɕiᶽ5	
孤	kəu1	
孩	ɦei2	
孫	sən1	
孵	bu6	
學	ʔoʔ7	～堂。白
學	ɦioʔ8	～校
孽	ȵɦiəʔ8	
宅	zaʔ8	
宇	ʔiᶽ5	
守	ɕiʏ3	
安	ʔᴇ1	
宋	soŋ5	
完	ɦuᴇ2	
宏	ɦoŋ2	
宕	dɔ̃2	
宕	tʰoʔ7	
宗	tsoŋ1	
官	kuᴇ1	
