#漢字	音標	解釋
#簡稱	/	建德壽昌
#全稱	/	建德壽昌話
#聲母	/	
#韻母	/	
#聲調	/	112 1 1a 陰平 ꜀,52 2 1b 陽平 ꜁,324 3 2a 陰上 ꜂,53 4 2b 陽上 ꜃,334 5 3 去 ꜄,,55 7a 4a 上陰入 ꜆,12 8a 4c 陽入 ꜇,3 7b 4b 下陰入 ꜀,,334 1b 1c 陰平 ꜀,112 2b 1d 陽平 ꜁,55 3b 2b 上 ꜂,,,324 6 3b 去 ꜄,5 7c 4d 陰入 ꜆,13 8b 4e 陽入 ꜇
#版本	/	2021-10-14
#錄入人	/	淸竮塵
#參考資料	/	《徽語嚴州方言研究》
#說明	/	說明：文白讀調值不同
烹	pʰᴇɲ5	
焉	iɛ̃12=	
焊	ɕiᴇ5	
煥	xuæ̃13=	
焙	pei16=	
焚	fᴇɲ12=	
焦	tɕɤ̞1	
焰	i1	
然	iɛ̃12=	
煎	tɕi1	
煞	suə7	
煠	ɕyə3	用水煮
煠	tsʰəʔ8	水～饭：泡饭
煤	miɛ2	
照	tsɤ̞5	
煨	uɛ1	
煮	tsɿ3	
煺	tʰiɛ1	
熄	ɕiəʔ17=	
熊	iɔm2	
熏	ɕyɛ̃1	
熔	iɔm12=	
熙	ɕi11=	
熟	ɕiɔʔ8	
熬	ŋɤ̞2	
燎	liɑ12=	
燕	iɛ̃13=	～子
燥	sɤ̞5	
爆	pɑ16=	
爪	tsɤ̞3	
爬	pʰɤ̞2	
愛	iᴇ5	
愛	ɛ13=	
爵	tɕʰiəʔ17=	
父	fʊ16=	
爺	iɑ2	
爸	pɤ̞5	阿～：大伯子
爸	pɑ7	阿～：爸爸
爹	tiᴇ1	
爽	ɕyɑ̃3	
爿	pʰɤ̞7	一～店
片	pʰi5	
版	pɤ̞3	
牌	pʰɑ2	
牙	ŋuə2	
牛	ȵiəɯ2	
牡	məɯ4	
牢	lɤ̞2	
牧	mɔʔ18=	
物	uəʔ18=	
牮	tɕi5	
牯	kʊ3	
牲	tsæ̃1	
牽	tɕʰi1	
特	pʰʊ5	孵
特	təʔ18=	
犧	ɕi11=	
犀	tɕʰi11=	
犁	li2	
犒	kʰɤ̞5	
犬	tɕʰyɛ̃13=	
犯	fɤ̞3	
狀	tɕʰyɑ̃5	
猶	iəɯ12=	
狂	kʰuɑ̃2	
狄	tʰiəʔ18=	
狐	ʊ2	
狐	ʊ12=	
狗	kəɯ3	
狡	tɕiɑ11=	
獨	tɔʔ18=	
狹	xuə3	
獅	sɿ1	
獄	ȵiɔʔ8	
猻	sᴇɲ1	
狸	li2	
狼	lɑ̃2	
獵	liəʔ8	
猛	mæ̃2	很
猛	mæ̃4	旺
猜	tɕʰiɛ1	
猝	tsəʔ17=	
豬	tsɿ1	
貓	mɤ̞2	三脚～：三脚架
貓	mɔm7	
猬	uei16=	
獻	ɕiɛ̃13=	
猴	xəɯ12=	
猾	uəʔ18=	
獺	tʰuə7	
玄	ɕyɛ̃12=	
率	ɕyɛ13=	～领
率	liəʔ18=	效～
玉	ȵiɔʔ8	
王	uɑ̃2	
玩	uæ̃16=	
環	xuæ̃12=	
現	ɕi5	～宝：炫耀
現	i5	～成
璽	ɕi13=	
玻	pəɯ1	
珊	sæ̃11=	
珍	tsᴇɲ1	
珠	tɕy1	
班	pɤ̞1	
球	tɕʰiəɯ2	
理	li4	
琉	liəɯ12=	
瑣	sʊ13=	
琢	tɕiɔʔ17=	
琴	tɕʰieɲ2	
琵	pʰi12=	
琶	pʰɤ̞2	
瓊	tɕʰiɔm12=	
瑕	ɕiɑ12=	
瑞	tsʰuei16=	
璃	li2	
璧	piəʔ17=	
瓜	kuə1	
瓜	kuɑ11=	
瓢	pʰɤ̞2	
瓣	pʰæ̃13=	
瓦	ŋuə4	
瓮	ɔm5	
甌	əɯ11=	
瓶	pʰieɲ2	
瓷	tsʰɿ12=	
甑	tsᴇɲ5	
甘	kiᴇ1	
甚	sᴇɲ16=	
甜	tʰi2	
生	tsæ̃1	
生	sᴇɲ11=	
生	sᴇɲ11=	医～
甥	tsæ̃1	
用	iɔm5	
甫	pʰʊ13=	
甬	iɔm13=	
田	tʰi2	
由	iəɯ2	
甲	kuə7	指～
甲	tɕiəʔ17=	～乙丙丁
申	sᴇɲ1	
電	tiɛ̃16=	
男	niɛ2	
畫	uə5	
暢	sɑ̃13=	
界	kɑ13=	
界	tɕiɛ13=	
畏	uei13=	
留	liəɯ2	
畜	tɕʰiɔʔ9	～生
畜	ɕiɔʔ17=	～牧
略	liɑ16=	
畦	ɕi11=	
番	fɤ̞5	～薯：甘薯
番	fæ̃11=	
疆	tɕiɑ̃11=	
疏	sʊ11=	
疑	ȵi12=	
疔	tieɲ1	
療	liɑ16=	
疝	ɕyə1	闭～：中暑
瘧	ȵiɔʔ18=	
瘍	iɑ̃13=	
疤	pɤ̞1	
疥	kɑ13=	
疫	yəʔ18=	
瘡	tɕʰyɑ̃1	
瘋	fɔm1	
疲	pʰi12=	
疹	tsᴇɲ13=	
疼	tʰᴇɲ12=	
疾	tɕiəʔ18=	
病	pʰieɲ5	
症	tsᴇɲ13=	
痒	iɑ̃4	
痔	tsʰɿ4	
痕	xᴇɲ12=	
痛	tʰɔm5	
痢	li16=	
痣	tsɿ5	
痰	tʰuə2	
痱	fi5	
癡	tsʰɿ1	
痹	pʰi13=	
瘌	luə3	
瘟	uᴇɲ1	
瘦	səɯ5	
瘴	tsɑ̃5	
瘸	tɕiɑ12=	
癗	liɛ4	疖子
癩	lɑ5	
癬	ɕi3	
癲	ti1	
癸	kuei3	
登	tᴇɲ11=	
發	fɤ̞7	
白	pʰəʔ8	
百	pəʔ9	
皂	sɤ̞4	
的	tiəʔ17=	目～
皆	tɕiɛ11=	
皇	uɑ̃2	
皖	uæ̃13=	
皮	pʰi2	
皺	tsəɯ1	
盂	y12=	
盅	tɕiɔm1	
盆	pʰᴇɲ2	
盈	ieɲ12=	
益	iəʔ17=	
盞	tɕyə3	
鹽	i2	名词
鹽	i5	腌
鹽	iɛ̃12=	
監	kuə1	
盒	xuə3	
盔	kʰuɛ1	
盖	kiᴇ5	
盜	tʰɤ̞5	
盤	pʰiɛ2	
盛	sᴇɲ16=	兴～
盟	mieɲ12=	
盡	tɕieɲ16=	
目	mɔʔ8	
盲	mæ̃2	
盲	mɑ̃12=	
直	tsəʔ8	
相	ɕiɑ̃1	～信
相	ɕiɑ̃5	～貌
盼	pʰæ̃13=	
盾	tʰᴇɲ1	
省	tsæ̃3	浙江～
省	tsæ̃3	节～
省	sᴇɲ13=	反～
眉	mi2	
看	kʰæ̃13=	
看	kʰᴇɲ13=	
真	tsᴇɲ1	
眠	mi2	
眨	tsɑ11=	
眶	kʰuɑ̃11=	
眷	tɕyɛ̃13=	
眼	ŋuə4	
着	tsʰɔʔ8	火～
着	tsɔʔ9	穿
睏	kʰuᴇɲ5	睡
睛	tɕieɲ1	
睡	tsʰuei16=	
督	tɔʔ17=	
睬	tsʰɛ13=	
瞌	kəʔ9	
瞎	xuə7	
瞒	miɛ2	
瞪	tᴇɲ1	
瞭	liɑ13=	～解
瞳	tʰɔm12=	
瞻	tsæ̃13=	
瞿	tɕʰy12=	
矛	məɯ12=	
矢	sɿ11=	
知	tsɿ11=	
矩	tɕy3	
矯	tɕiɑ13=	
短	tiɛ3	
矮	ɑ3	
石	tsʰəʔ8	
礬	fɤ̞2	
礦	kʰuɑ̃13=	
碼	mɤ̞4	
砌	tɕʰi5	
砍	kʰæ̃13=	
研	ȵi2	
研	ȵiɛ̃12=	～究
磚	tɕyei1	
硯	iɛ̃13=	
破	pʰɑ5	
硝	ɕɤ̞1	
硫	liəɯ12=	
硬	kæ̃5	
確	kʰɔʔ9	
礙	ŋiᴇ5	
碎	ɕiɛ3	
碑	piɛ1	
碓	tiɛ5	
碗	ŋuə3	
碟	tʰiᴇ3	
碧	piəʔ9	
碰	pʰɔm5	
鹼	tɕiɛ̃13=	
碾	ȵi4	
磁	tsʰɿ12=	
磉	sɑ̃3	
磕	kəʔ9	
磨	məɯ2	动词
磨	məɯ5	名词
磷	lieɲ12=	
示	sɿ5	
禮	li4	
社	ɕi3	
祀	sɿ16=	
祁	tɕʰi12=	
祖	tsʊ3	
祝	tɕiɔʔ9	
神	sᴇɲ2	
祠	sɿ2	
祥	tɕʰiɑ̃12=	
票	pʰɤ̞5	
祭	tɕi5	
禍	ʊ4	
禀	pieɲ13=	
禁	tɕieɲ5	～勿牢：禁不住；～止
禄	lɔʔ18=	
禪	tsʰæ̃12=	～宗
福	fɔʔ9	
禹	y13=	
离	li2	
禽	tɕʰieɲ12=	
禾	xʊ2	
秀	ɕiəɯ5	
私	sɿ1	
禿	tʰɔʔ9	
秆	kiᴇ3	
秉	pieɲ13=	
秋	tɕʰiəɯ1	～天
種	tɕiɔm3	名词
種	tɕiɔm5	动词
科	kʰʊ1	
秒	mɤ̞7	一～钟
秕	pi13=	
秘	pi13=	～密
秘	mi13=	～书
租	tsʊ1	
秤	tsʰᴇɲ5	
秦	tɕʰieɲ2	
秧	iɑ̃1	
秩	tsəʔ18=	
積	tɕiəʔ9	
稱	tsʰᴇɲ1	～呼
稱	tsʰᴇɲ5	相～
移	i2	
移	i12=	
穢	suei13=	
稀	ɕi11=	
程	tsʰᴇɲ2	
稍	ɕiɤ̞11=	
稅	ɕyei5	
稗	pʰɤ̞5	
稚	tsʰɿ12=	
稠	tsʰəɯ12=	
穌	sʊ1	
穩	uᴇɲ3	
穩	uᴇɲ13=	
稻	tʰɤ̞4	
稻	tɑ16=	
稼	tɕiɑ13=	
稽	tɕi13=	
稿	kɤ̞3	
穀	kɔʔ9	
穄	tɕi5	
穆	mɔʔ18=	
穗	suei16=	
穴	yəʔ8	
究	tɕiəɯ5	～竟
究	tɕiəɯ13=	研～
窮	tɕʰiɔm2	
空	kʰɔm1	～话
空	kʰɔm5	有～
穿	tɕʰyei1	
突	tʰəʔ8	
突	təʔ18=	
竅	tɕʰɤ̞5	
窑	ɤ̞2	
窖	kɤ̞5	
窗	tɕʰyɑ̃11=	
窩	ʊ11=	
窟	kʰɔʔ9	
窠	kʰʊ1	
窺	kuei11=	
窿	lɔm2	
立	liəʔ8	
豎	ɕy4	
站	tsæ̃16=	车～
競	tɕieɲ13=	
竟	tɕieɲ13=	
章	tsɑ̃1	
童	tʰɔm12=	
端	tiɛ1	
竹	tɕiɔʔ9	
竿	kiᴇ1	
篤	tɔʔ17=	
笄	tɕi1	
笊	tsɤ̞5	
笋	ɕieɲ3	
笐	xɑ̃5	～竿，晒衣竿
笑	ɕɤ̞5	
笔	piəʔ9	
筧	tɕi3	
笙	sᴇɲ11=	
笛	tʰiəʔ8	
笡	tɕʰɤ̞5	
笤	tʰɤ̞2	
符	fʊ2	
笨	pʰᴇɲ4	
第	tʰi5	
箋	tɕʰiɛ̃11=	
籠	lɔm2	
等	tᴇɲ3	
筋	tɕieɲ1	
筏	fəʔ18=	
筐	kʰuɑ̃11=	
筑	tsɔʔ9	～水库
筑	tɕiɔʔ17=	建～
筒	tʰɔm2	
答	tuə7	
策	tsʰəʔ17=	
篩	sɿ1	筛子
篩	sɑ1	斟
箏	tsᴇɲ1	
筷	kʰuɛ13=	
籌	tsʰəɯ2	
签	tɕʰi1	
簡	tɕiɛ̃13=	
箍	kʰʊ1	
箔	pʰɔʔ9	
箕	tɕi1	
算	ɕiɛ5	
管	kuə3	
籮	lʊ2	
簫	ɕɤ̞1	
箭	tɕi5	
箱	ɕiɑ̃1	
箸	tsʰɿ5	
範	fæ̃16=	
篇	pʰi7	一～
篙	kɤ̞1	
篡	tsʰæ̃11=	
篦	pi1	
籃	luə2	
篱	li2	
篷	pʰɔm2	
篾	mi3	
簟	tʰi4	
簧	uɑ̃12=	
簪	tɕiɛ1	
簰	pʰɑ2	
簸	pɑ5	动词
簿	pʰʊ4	
籤	tɕʰi1	
米	mi4	
米	mi13=	
籴	tʰiəʔ8	
类	nei16=	
籽	tsɿ3	
粉	fᴇɲ3	
粒	liɛ3	
粗	tsʰʊ1	
糶	tʰɤ̞5	
粟	sɔʔ9	
粤	yəʔ18=	
粥	tɕiɔʔ9	
糞	fᴇɲ5	
糧	liɑ̃2	
粱	liɑ̃12=	
粳	kᴇɲ13=	
粹	tsʰuei13=	
糉	tsɔm5	
精	tɕieɲ1	
粿	kʊ3	
糊	ʊ5	～泥：黄色黏土
糍	sɿ2	
糕	kɤ̞1	
糖	tʰɑ̃2	
糙	tsʰɤ̞5	
糜	mi12=	
糟	tsɤ̞1	
糠	kʰɑ̃1	
糯	nʊ5	
糰	tʰiɛ2	汤～：汤圆
系	ɕi16=	～统
素	sʊ5	
索	sɔʔ9	
緊	tɕieɲ3	
紫	tsɿ3	
累	luei13=	劳～
累	luei13=	～积
累	luei13=	连～
絮	ɕi5	
繁	fæ̃12=	
繫	tɕi5	
纔	tsʰɛ12=	
糾	tɕiəɯ11=	
紅	ɔm2	
約	iɔʔ9	
級	tɕiəʔ17=	
紀	tɕi1	年～
紀	tɕi13=	～律
紉	lᴇɲ13=	
緯	uei16=	
紗	ɕyə1	
綱	kɑ̃11=	
納	nəʔ18=	
縱	tsɔm13=	
紛	fᴇɲ11=	
紙	tsɿ3	
紋	uᴇɲ2	
紡	fɑ̃3	
紐	ȵiəɯ4	
線	ɕi5	
練	li5	
組	tsʊ13=	
細	ɕi5	粗～
細	ɕiᴇ5	小
織	ləʔ9	
終	tɕiɔm1	
縐	tsəɯ1	
絆	pæ̃16=	
紹	sɤ̞5	～兴
紹	sɑ16=	介～
經	tɕieɲ1	
綁	pɑ̃3	
絨	iɔm2	
結	tɕi7	～果
結	tɕyei7	打～
繞	ȵɤ̞5	
繪	kuei16=	
給	tɕiəʔ17=	
絡	lɔʔ18=	
絕	ɕi3	
絞	kɤ̞3	
統	tʰɔm3	
絹	tɕyɛ̃11=	
繡	ɕiəɯ5	
綏	suei1	
繼	tɕi13=	
績	tɕiəʔ17=	
緒	tɕy11=	光～
緒	tɕy16=	情～
緒	ɕy16=	～塘：地名
續	tsɔʔ18=	
綽	tsʰəʔ17=	
繩	sᴇɲ2	
維	fi112=	
綿	miɛ̃12=	
綢	tsʰəɯ2	
綜	tsɔm13=	
綠	lɔʔ8	
綴	tɕyəʔ17=	
緬	miɛ̃16=	
纜	læ̃13=	
緝	tɕʰiəʔ9	～鞋底：纳鞋底
緝	tɕʰiəʔ17=	通～
緞	tuæ̃16=	
緩	uæ̃13=	
縷	liəɯ13=	
編	pi1	
緣	uei2	
縛	pʰɔʔ8	
縫	fɔm2	动词
縫	fɔm5	名词
纏	tɕʰi2	
纓	ieɲ11=	
縮	sɔʔ9	
繮	tɕiɑ̃11=	
繰	tɕʰɤ̞1	
繳	kɤ̞1	
缸	kɑ̃1	
缺	tɕʰyei7	
罐	kuə5	
罐	kuæ̃13=	
网	mɑ̃4	
罕	xæ̃12=	
羅	lʊ2	
罰	fɤ̞3	
罰	fəʔ18=	
罷	pɑ16=	～工
罷	pɑ	了
罩	tsɤ̞5	
罪	ɕiɛ4	
罪	tsuei16=	
置	tsɿ13=	
署	ɕy13=	
羊	iɑ̃2	
羌	tɕʰiɑ̃11=	
美	mei13=	
羔	kɤ̞1	
羞	ɕiəɯ13=	
羡	tɕiɛ̃16=	
羣	tɕʰyɛ̃12=	
羯	tɕi7	阉
羹	tsʰæ̃1	
羽	y13=	
翁	ɔm11=	
翅	tsɿ11=	
翠	tsʰuei13=	
翡	fi13=	
翰	xæ̃16=	
翻	fɤ̞12	
翼	i3	
翼	iəʔ18=	
耀	iɑ16=	
老	lɤ̞4	
老	lɑ13=	～师
考	kʰɤ̞3	
者	tɕiɛ13=	
而	əɯ12=	
耐	niɛ5	
耕	tsʰæ̃1	
耖	tsʰɤ̞5	
耗	xɤ̞5	
耙	pʰɤ̞5	
耳	n̩4	
耳	əɯ13=	
耶	iɑ12=	
恥	tsʰɿ13=	
耽	tuə1	
耿	kᴇɲ13=	
聶	ȵiəʔ18=	
聊	liɑ12=	
聾	lɔm2	
職	ləʔ9	
聯	li2	
聘	pʰieɲ5	
聚	ɕy4	
聰	tsʰɔm1	
肅	sɔʔ9	
肄	i12=	
肆	sɿ5	
肉	ȵiɔʔ8	
肋	ləʔ18=	
肌	tɕi11=	
肖	sɤ̞5	
肚	tʊ3	猪～
肚	tʰʊ4	～皮：肚子
肝	kiᴇ1	
腸	tsʰɑ̃2	
股	kʊ3	
肢	tsɿ11=	
肤	fʊ11=	
肥	pʰi2	洋～皂：肥皂
肥	fi2	～料
肩	tɕi1	
肪	fɑ̃13=	
肫	tɕyɛ̃1	
骯	ɑ̃5	
骯	ɑ̃11=	
肯	kʰᴇɲ3	
育	iɔʔ17=	
肴	iɑ13=	
肺	fi5	
腎	sᴇɲ16=	
腫	tɕiɔm3	
脹	tʰæ̃5	～农：腹胀
脹	tsɑ̃5	泡～
脅	ɕiəʔ18=	
胃	uei16=	
膽	tuə3	
膽	tæ̃13=	
背	piɛ5	～心
背	pʰiɛ5	～书
胎	tʰiɛ1	
胖	pʰɑ̃5	
胚	pʰiɛ1	
胛	kuə7	
勝	sᴇɲ5	～败
勝	sᴇɲ13=	～利
胞	pəɯ1	
胡	ʊ2	姓
胳	kəʔ17=	
膠	kɤ̞1	～水
膠	tɕɤ̞1	阿～
胸	ɕiɔm1	
能	lᴇɲ12=	
脂	tsɿ11=	
脆	tsʰuei13=	
脊	tɕiəʔ9	
臍	sɿ2	
腦	nɤ̞4	
膿	nɔm5	
腳	tɕiɔʔ9	
脯	pʰʊ13=	果～
脰	tʰəɯ5	
脫	tʰəʔ9	
腡	lʊ2	
臉	liɛ̃13=	
脾	pʰi12=	
臘	luə3	
腋	iəʔ18=	
腐	fʊ13=	
腑	fʊ13=	
腔	tɕʰiɑ̃1	
腕	uæ̃13=	
腥	ɕieɲ1	
腮	ɕiɛ1	
腰	ɤ̞1	
腹	fɔʔ18=	
膩	ȵi2	
騰	tʰᴇɲ12=	
腿	tʰiɛ3	
膊	pɔʔ9	
膏	kɤ̞1	
膘	pɤ̞1	
膜	mɔʔ8	
膝	ɕiəʔ17=	
膨	pʰæ̃12=	
膳	ɕiɛ̃16=	
臀	tʰᴇɲ12=	
臂	pi13=	
臊	sɤ̞1	
臟	tsʰɑ̃5	
臟	tsɑ̃11=	
臣	sᴇɲ2	
自	sɿ5	
臭	tsʰəɯ5	
至	tsɿ5	
致	tsɿ13=	
臺	tʰiɛ2	
臻	tsᴇɲ11=	
臼	tɕʰiəɯ4	
舀	ɤ̞4	
舅	tɕʰiəɯ4	
舌	ɕiəʔ8	
舍	ɕyə5	隔壁邻～
舍	ɕiᴇ13=	宿～
舒	ɕy1	
舔	tʰi3	
舜	ɕyɛ̃13=	
舞	ʊ3	
舟	tsəɯ1	
航	xɑ̃12=	
般	pæ̃11=	
艦	tɕiɛ̃13=	
舵	tʰʊ4	
船	ɕyei2	
船	tɕʰyɛ̃12=	
艇	tʰieɲ13=	
良	liɑ̃12=	
艱	tɕiɛ̃11=	
色	tsʰəʔ9	
艳	iɛ̃13=	
藝	ȵi16=	
艾	ŋiᴇ5	
節	tɕiᴇ7	
芋	y5	
芍	sɔʔ8	
芒	mɔm2	麦～
芒	mɑ̃12=	～种
芙	fʊ2	
芝	tsɿ11=	
芥	kɑ13=	
蘆	lʊ2	
芬	fᴇɲ11=	
芭	pɑ11=	
花	xuə1	
芳	fɑ̃11=	
芹	tɕʰieɲ12=	
芽	ŋuə2	
葦	uei13=	
莧	xuə5	
蒼	tsʰɑ̃11=	
苧	tsʰɿ4	
苏	sʊ11=	
苗	mɤ̞2	
苟	kəɯ3	
若	iɔʔ18=	
苦	kʰʊ3	
苫	ɕi1	稿～：房子上用的稿荐
英	ieɲ1	
茂	məɯ16=	
范	fæ̃16=	姓
茄	tɕiɑ11=	番～
茄	tɕʰiᴇ12=	～子
茅	mɤ̞2	～铺
茅	məɯ2	～草
塋	ieɲ12=	
繭	tɕi7	
茫	mɑ̃12=	
茯	fɔʔ8	地～
茴	uɛ2	
茶	tɕʰyə2	
茸	iɔm2	
荀	ɕieɲ13=	
荆	tɕieɲ13=	
草	tsʰɤ̞3	
薦	tɕiɛ̃13=	
荒	xuɑ̃1	
荔	li5	
蕎	tɕʰɤ̞2	
薺	sɿ4	～～菜：荠菜
薺	ɕi5	地荸～：荸荠
荡	tʰɑ̃4	～秋千，～街路，涮洗
榮	iɔm12=	
葷	xuᴇɲ1	
滎	ieɲ12=	
藥	iɔʔ8	
荷	xʊ2	～花
荷	xʊ2	薄～
荸	pʊ5	
莨	lɑ̃2	～萁：蕨
莫	mɔʔ18=	
蓮	li2	
获	xuəʔ18=	
鶯	ieɲ11=	
蓴	ɕyɛ̃12=	
莽	mɑ̃13=	
菊	tɕiɔʔ9	
菌	tɕyɛ̃13=	
菔	pʰɔʔ8	萝～;萝卜
菖	tsʰɑ̃1	
菜	tɕʰiɛ5	
菠	pəɯ1	
菩	pʰʊ2	
菱	lieɲ2	
萁	i1	莨～：蕨
萄	tʰɤ̞2	
萌	mieɲ12=	
萍	pʰieɲ2	
萎	uei13=	
蘿	lɔʔ8	
螢	ieɲ12=	
營	ieɲ2	
蕭	ɕɤ̞1	
薩	suə7	
落	lɔʔ8	
著	tɕy13=	
葛	kiᴇ7	
葡	pʰʊ2	
董	tɔm13=	
葫	ʊ2	
葬	tsɑ̃5	
葱	tsʰɔm1	
葵	kʰuei2	
蒂	ti5	
蔣	tɕiɑ̃13=	
蒙	mɔm12=	
蒜	tɕʰiɛ5	
蒯	kʰuɛ13=	
蒲	pʰʊ2	
蒸	tsᴇɲ1	
蓄	ɕiɔʔ17=	
蓉	iɔm2	
蓑	sʊ1	
蓖	pi13=	
藍	luə2	
蓬	pʰɔm7	一～花
蓬	pʰɔm12=	
蔗	tɕyə5	
蔡	tsʰɛ13=	
蔬	sʊ11=	
藹	əʔ9	
蔽	pi16=	
蕉	tɕɤ̞1	
蕨	tɕyəʔ17=	
薄	pʰəʔ8	～荷
薄	pʰɔʔ8	厚～
薄	tsᴇɲ11=	
薄	pɔʔ18=	
薛	ɕiəʔ17=	
薪	ɕieɲ1	
薯	sɿ2	
薸	pʰɤ̞2	浮萍
藏	sɑ̃2	腌
藏	tsɑ̃13=	西～
藕	ŋəɯ4	
藤	tʰᴇɲ2	
藩	fæ̃12=	
藿	xɔʔ18=	
蘸	tsæ̃13=	
虎	xʊ3	
虜	lʊ13=	
虐	ȵiɔʔ18=	
虑	luei13=	
虛	ɕy11=	
虞	y16=	
蟲	tɕʰiɔm2	
虱	tsʰəʔ9	
虹	ɔm2	转～桥：拱桥
虹	xɔm12=	
虻	mɑ̃12=	
雖	suei1	
蝦	xuə1	
蝕	səʔ18=	
蟻	ŋɑ1	～～咕：蚂蚁
蟻	ȵi13=	
蚊	mieɲ2	
蚌	tɕy5	
蚌	pɑ̃16=	
蠶	ɕiɛ2	
蚣	kɔm1	
蚤	tsɤ̞3	
蛇	ɕyə2	
蛋	tæ̃16=	
蛙	uɑ11=	
蛛	tɕy11=	
蛤	kʰuə2	～蟆
蛤	kiᴇ7	
蠻	mɤ̞2	
蟄	tsəʔ17=	
螄	sɿ1	
蛾	ŋʊ2	
蜀	tɕiɔʔ18=	
蜂	fɔm1	
蜇	tsəʔ17=	
蜈	ȵy2	
蜊	li7	
蜓	tʰieɲ2	
蛻	tʰəʔ17=	
蝸	uə11=	
蜘	tsɿ11=	
蜜	miəʔ8	
蠟	luə3	
蜻	tɕʰieɲ1	
蠅	ɕieɲ1	
蟬	tsʰæ̃12=	
蝎	ɕiəʔ17=	
蝗	uɑ̃12=	
蝙	pʰiɛ̃11=	
蝠	fɔʔ17=	
蝶	tʰiᴇ3	
螂	lɑ̃12=	
螃	pʰɔm2	
融	iɔm12=	
螳	tʰɑ̃12=	
螺	lʊ2	
蟀	ɕyei7	
蟆	mɤ̞2	蛤～
蟋	tsʰəʔ9	
蟒	mɑ̃5	
蟢	ɕi3	
蟮	ɕi4	
蟹	xɑ3	
蠢	tɕʰyɛ̃13=	
血	ɕyei7	
血	ɕyəʔ17=	
衅	ɕiəʔ17=	
行	kʰæ̃2	走
行	xɑ̃7	一～
行	xɑ̃12=	银～
行	ɕieɲ12=	～为
行	ɕieɲ16=	品～
術	ɕyəʔ18=	
銜	xæ̃12=	
街	kɑ1	
衙	ŋuə2	
衙	iɑ12=	
衡	xᴇɲ12=	
衢	tɕʰy12=	
衣	i1	
衣	i11=	
補	pʊ3	
表	pɤ̞3	～格
衫	ɕyə1	
襯	tsʰᴇɲ5	～托
襯	tsʰᴇɲ13=	～衫
衰	ɕyɑ1	
衹	tsɿ13=	
袁	yɛ̃12=	
襖	ɤ̞3	
袋	tʰiɛ5	
袍	pʰəɯ2	
袖	ɕi5	衫～头：袖子
袖	ɕiəɯ5	衫～：袖子
袖	tɕiəɯ16=	领～
袖	tɕiəɯ16=	
袜	mɤ̞3	
被	pʰi4	名词
被	pi16=	介
襲	tɕiəʔ17=	
裁	ɕiɛ2	
裂	liəʔ8	
裝	tsɑ̃1	盛饭
裝	tɕyɑ̃1	做饭菜
裌	kuə7	
裕	y16=	
裙	tɕʰyɛ̃1	
褲	kʰʊ5	
裳	sɑ̃3	
裴	pei11=	
裹	kʊ3	
裹	li4	
製	tsɿ13=	
複	fɔʔ18=	
褒	pɑ11=	
褥	ȵiɔʔ8	
褪	tʰᴇɲ5	掉落
襄	ɕiɑ̃13=	
襟	tɕieɲ1	
襻	pʰæ̃11=	
西	ɕi1	
要	ɤ̞5	重～
要	iɑ11=	～求
覆	pʰɔʔ9	趴
覆	fɔʔ18=	～原
見	tɕi5	
觀	kuə1	～里娘娘：观音娘娘
觀	kuæ̃11=	参～
規	kuei1	
覓	miəʔ18=	
視	sɿ5	
覽	læ̃13=	
覺	kɤ̞5	困～：睡觉
覺	tɕiɔʔ17=	～悟
角	kɔʔ9	
角	kɔʔ17=	
解	kɑ3	～开
解	kɑ5	押送
解	tɕiɛ13=	～放
觸	tɕʰiɔʔ9	
言	ȵiɛ̃12=	
譽	y16=	
謄	tʰᴇɲ12=	
誓	ɕi16=	
警	tɕieɲ13=	
譬	pʰi13=	
計	tɕi5	
訂	tieɲ5	
訃	fʊ13=	
認	ȵieɲ5	
譏	tɕi11=	
討	tʰɤ̞3	
讓	iɑ̃5	
訖	tɕʰiəʔ17=	
訓	ɕyei5	
議	ȵi13=	
訊	ɕieɲ5	
記	tɕi5	动词
記	tɕiəʔ9	动量词，下
講	kɑ̃3	
諱	uei13=	
許	ɕy13=	
論	lᴇɲ16=	～语；议～
訟	sɔm16=	
諷	fɔm11=	
設	səʔ17=	
訪	fɑ̃13=	
訣	tɕyei7	
证	tsᴇɲ13=	
評	pʰieɲ12=	
識	səʔ17=	
詐	tɕyə5	
訴	sʊ5	
訴	sʊ13=	
診	tsᴇɲ11=	
詞	tsʰɿ12=	
詔	tsɑ11=	
譯	iəʔ18=	
試	sɿ5	
詩	sɿ1	
誠	tsʰᴇɲ12=	
誅	tɕy11=	
話	ʊ5	
誕	tæ̃16=	
詭	kuei13=	
該	kiᴇ1	
詳	tɕʰiɑ̃12=	
誣	fʊ13=	
語	ȵy13=	
誤	ŋʊ16=	
誘	iəɯ16=	
說	ɕyei7	
說	ɕyəʔ17=	
誦	tɕiɔm13=	
誒	e	语气词
請	tɕʰieɲ3	
諸	tɕy1	
諾	ləʔ18=	
讀	tʰɔʔ8	
誹	pi13=	
課	kʰʊ5	
誰	suei12=	
調	tʰɤ̞2	～解
調	tʰɤ̞5	声～；～列
諒	liɑ̃16=	
談	tʰuə2	
誼	ȵi12=	
謀	məɯ12=	
諜	tiəʔ18=	
謊	xuɑ̃11=	
諫	tɕiɛ̃13=	
諧	ɕiɛ12=	
謂	uei16=	
