#漢字	音標	解釋
幕	mɘu6	
幣	pɿ2	
幫	pɑŋ1	
平	piɪŋ2	
年	ȵi1	
幸	ɕiɪŋ5	
幹	kʏ1	
幻	xuᴀ6	
幼	iɘu1	
幽	iɘu1	
幾	tɕɿ1	茶几
幾	tɕɿ1	幾乎
幾	tɕɿ3	幾箇
庇	pɿ6	
牀	ɕyɑŋ2	
序	sʮ6	
底	tɿ3	
店	tʰi5	
庚	kɘŋ1	
府	fu3	
度	tɘu6	
座	tsɘu6	
庫	kʰu3	
庭	tiɪŋ2	
庵	aɲ1	
康	kʰɑŋ1	
庸	yŋ1	
廁	tsʰəʔ7	
廂	ɕiɑŋ1	
廈	ɕiᴀ2	廈門
廈	sᴀ2	偏廈,前廊後廈
廉	li5	
廊	lɑŋ1	
廓	kʰɔʔ7	
廖	liaɔ6	姓
廚	tsʮ2	
廝	sɿ1	
廟	miaɔ6	
廠	tsʰɑŋ1	
廢	fɿ5	
廣	kuɑŋ1	
廬	lɘu2	茅廬,廬山
廳	tʰiɪŋ1	
延	i2	
廷	tiɪŋ2	
建	ɕi5	
弄	noŋ5	
弊	pɿ6	
式	səʔ7	
弓	koŋ1	
弔	tiaɔ5	弔唁
引	iɪŋ6	
弘	xoŋ2	
弟	tɿ6	
弦	ɕi2	
弱	ȵiᴀʔ8	
張	tsɑŋ1	
強	tɕiɑŋ2	
強	tɕʰiɑŋ1	勉強
弼	piɛʔ8	
彈	tᴀ2	彈琴
彈	tᴀ6	子彈
彌	mɿ6	
彎	uᴀ1	
形	ɕiɪŋ2	
彩	tsʰai5	
彪	piaɔ1	
彬	piɪŋ1	
彭	pɘŋ2	
影	iɪŋ1	
彷	fɑŋ5	~彿
役	iɛʔ8	
彼	pɿ5	
彿	fəʔ8	彷彿
往	uaŋ5	
征	tsɘŋ1	徵求
征	tsɘŋ1	
待	tai6	
很	xɘŋ3	
律	liɛʔ8	
後	xɘi6	
徐	ɕʮ2	
徑	tɕiɪŋ1	
徒	tɘu6	
得	təʔ7	
徙	ɕɿ3	
從	soŋ6	從容
復	fɔʔ7	~興
循	ɕyɲ2	
微	uɘi1	
德	təʔ7	
徹	tsʰəʔ7	
徽	xuɘi1	
心	ɕiɪŋ1	
必	piɛʔ7	
忌	tɕɿ5	
忍	sɘŋ5	
志	tsɿ1	
志	tsɿ1	永志不忘
忘	mɑŋ5	
忙	mɑŋ1	
忠	tsoŋ1	
快	kʰuᴀ5	
念	ȵi5	
忽	xuɔʔ7	
忿	fɘŋ5	
怒	ȵɘu1	
怕	pʰʊ5	
怖	pu5	恐怖
思	sɿ1	
怠	tai6	
急	tɕiɛʔ8	
性	ɕiɪŋ5	
怨	ʏ5	
怪	kua5	
怯	tɕʰiɛʔ8	畏怯
恃	sɿ6	
恐	kʰoŋ5	
恆	xɘŋ2	
恕	sʮ2	
恢	xuɘi1	
恤	ɕyɔʔ7	
恥	tsʰɿ3	
恨	xɘŋ6	
恩	ɘŋ1	
恭	koŋ3	
息	ɕiɛʔ7	
恰	tɕʰiᴀʔ7	
悄	tɕʰiaɔ1	靜悄悄
悅	yɔʔ8	
悉	ɕiɛʔ7	
悔	xuɘi3	
悟	u1	
患	xuᴀ6	
悲	pɘi1	
悶	mɘŋ6	
情	ɕiɪŋ6	
惑	uəʔ8	
惜	ɕiɛʔ7	
惟	uɘi5	
惠	xuɘi1	
惡	u5	恨,可惡
惡	ɔʔ7	善惡
惰	tɘu6	
惱	naɔ1	
想	ɕiɑŋ3	
惹	ȵiᴀ6	
愁	tsɘi2	
愉	ʮ2	
意	ɿ5	
愚	ʮ2	
愛	ai5	
感	kʏ5	
愧	kʰuɘi5	
慈	tsɿ2	
態	tʰᴀ3	
慌	xuɑŋ1	
愼	sɘŋ5	
慕	mɘu6	
慘	tsʰᴀ3	
慚	tsᴀ2	
慢	mᴀ6	
慣	kuᴀ5	
慧	xuɘi1	
慨	kʰai5	慷慨,感激
慪	ɘi3	慪氣
慫	soŋ6	慫恿
慮	lʮ1	
慰	uɘi5	
慶	tɕʰiɪŋ5	
慷	kʰɑŋ3	慷慨
憂	iɘu1	
憋	piɛʔ7	閉
憎	tsɘŋ1	
憐	li1	
憑	piɪŋ2	
憤	fɘŋ5	
憨	xᴀ1	癡
憫	miɪŋ1	
憲	ɕi5	
憶	ɿ5	
懂	toŋ3	
懇	kʰɘŋ3	
懈	ɕiɛ5	
應	iɪŋ1	應當,應用
應	iɪŋ5	應對,回應
懊	aɔ1	
懊	aɔ5	懊悔
懲	tsɘŋ1	
懵	moŋ1	懵懂
懶	lᴀ6	
懷	ua2	
懸	ɕʏ6	
懼	tsʮ6	
戀	li5	
戈	kɘu1	
戊	u1	
戌	ɕʮ1	
戎	ȵyŋ1	
成	tsɘŋ2	
我	ŋɘu6	
戒	kᴀ5	
或	xuəʔ8	
戚	tɕʰiɛʔ7	
截	ɕiɛʔ8	
戰	tɕi5	白讀
戰	tsᴀ5	文讀
戲	ɕɿ5	
戳	tsʰɔʔ7	
戴	tᴀ5	
戶	u6	
房	fɑŋ2	
所	sɘu3	
扁	pi3	
扇	ɕi1	動詞
扇	ɕi1	
手	sɘi3	
才	sai2	
才	sai2	剛才
打	tᴀ3	
托	tʰuɔʔ7	託管
托	tʰuɔʔ7	手承物
扛	kɑŋ1	
扣	kʰɘi5	
扭	ȵiɘu6	
扮	pᴀ5	
扳	pᴀ1	扳倒
扳	pᴀ1	扳手跤
扶	fu2	
批	pʰɿ1	
找	tsaɔ3	
承	tsɘŋ2	
技	tɕɿ2	
把	pʊ5	柄
抑	iᴀʔ7	
抓	tɕya1	
投	tɘi2	
抖	tɘi3	
折	tsəʔ1	折疊
折	səʔ8	弄折了
披	pʰɿ1	
抬	tai2	
抱	paɔ6	
抵	tɿ3	
抹	mᴀʔ8	抹桌子
抹	mᴀʔ8	
押	ᴀʔ7	
抽	tsʰɘi1	
抿	miɪŋ6	
拆	tsʰəʔ7	開
拇	mɘu1	
拈	ȵi1	拈起來
拉	lᴀ1	
拋	pʰaɔ1	
拌	pʏ6	
拍	pʰɔʔ7	
拎	liɪŋ1	
拐	kua3	
拒	tsʮ5	
拔	pᴀʔ8	
拖	tʰɘu1	
拘	tsʮ1	
拙	tsɔʔ8	
招	tsaɔ1	
拜	pᴀ5	
括	kuᴀʔ7	包括
拯	tsɘŋ5	拯救
拱	koŋ1	拱手
拳	tɕʏ2	
拴	ɕʏ1	栓
拼	pʰiɪŋ1	拚命
拽	tɕyai3	
拾	ɕiɛʔ8	拾起來
拿	nʊ1	
持	sɿ2	
指	tsɿ1	
按	ʏ3	
挑	tʰiaɔ1	
挖	uᴀʔ7	
挨	ai1	挨近,挨住
挪	nəʔ8	
振	tsɘŋ5	
挺	tʰiɪŋ3	
挽	uᴀ1	
捅	tʰoŋ3	捅破了
捆	kʰuɘŋ3	
捉	tsɔʔ7	
捋	ləʔ8	捋袖
捎	saɔ1	
捏	ȵiɛʔ8	
捐	tɕʏ1	
捕	pu6	
捧	pʰoŋ3	
捱	ai1	捱打,捱罵
捷	tɕiɛʔ7	
捺	nᴀʔ8	撇捺
掀	ɕi1	
掂	ti1	掂掇，掂量
掃	saɔ3	掃地
掃	saɔ1	掃帚
授	sɘi6	
掉	tiaɔ6	
掌	tsɑŋ5	
掏	tʰaɔ1	
掐	kʰᴀʔ7	
排	pᴀ2	
掘	tɕyɔʔ8	
掛	kʊ5	
掠	liᴀʔ8	
探	tʰʏ5	試探
接	tɕiɛʔ7	
控	kʰoŋ5	
推	tʰai1	
掩	i3	
措	tsʰɘu5	措置
揀	kᴀ3	
揈	xoŋ1	轟出去
揉	ȵiɘu1	
描	miaɔ1	
提	tɿ2	
插	tsʰᴀʔ7	
揖	iɛʔ7	作揖
揚	iɑŋ2	
