#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
擴	kʰɔ5	
擺	pa3	
擻	sau3	
擾	jiɛ4	
攀	pʰa1	
攆	ȵie2	
攉	ho7	
攏	lʊŋ4	
攔	la2	
攘	zie6	
攙	tsʰa1	
攛	tsʰø3	～掇
攜	ɦy2	
攝	si7	
攢	tsø5	
攣	lø2	
攤	tʰa1	
攪	kɔ3	～調，玩耍
攪	kɔ5	拌和
攪	ku3	～糊兒：
攬	la4	
支	tsi1	
收	siu1	
攸	ʔjiau1	
改	ke3	
攻	kʊŋ1	
放	fɔ5	
放	hɔ5	
政	tsiŋ5	
故	ku5	
效	ɦɔ4	
敵	die8	
敏	miŋ4	
救	tɕiau5	
敒	tɕʰyʊŋ1	伸: ～ 盘底;通过空地、孔隙
敖	ŋɜ2	
敗	ba6	
敘	ʑiɿ4	
教	kɔ5	
敝	bi6	
敞	tsʰie3	
敠	tø7	敁～
敢	kø3	
散	sa5	～开
散	sa3	～裝
敦	taŋ5	放置
敦	taŋ1	矮～
敦	tø1	
敧	tɕʰiɿ1	
敨	tʰau3	舒氣；展開線團、紙團
敫	tɕiɛ3	
敬	tɕiaŋ5	
數	ɕiɿ3	动词
數	su5	名词
敲	kʰɔ1	
整	tsiŋ3	
敵	di8	
敷	fu1	
數	ɕyo7	密
數	su3	～一～
數	su5	～量
數	ɕiɿ3	～一～
斂	lie6	
斂	lie4	
斃	pi3	
斃	bi6	
文	vaŋ2	
斌	piŋ1	
斑	pa1	
斕	la2	
斗	tau3	方～
斗	tau5	～争
料	liɛ6	
斛	vu8	
斜	zi2	
斜	zo2	
斝	ko3	
斟	tsaŋ1	
斤	tɕiaŋ1	
斥	tsʰi7	
斧	fu3	
斫	tɕia7	
斬	tsa3	
斷	tø5	～～不会过去
斷	daŋ4	～气
斮	tɕyo7	
斯	sɿ1	
新	saŋ1	
新	siŋ1	～鮮
斲	tɕyo7	
斶	tɕʰyo7	
斷	daŋ4	白
斷	tø5	判～
斷	dø4	～絕
方	fɔ1	
方	hɔ1	
於	ɦy2	
於	ʔy1	
施	sɿ5	
施	si5	
施	sɿ1	
旁	bɔ2	
旄	mɜ2	
旅	lʉ4	
旆	pʰai5	
旋	ʑye2	
旋	ʑye6	
旌	tsiŋ1	
旎	ȵi4	
族	ʑiu8	
旖	ʔi3	
旗	dʑiɿ2	
旛	fa1	
无	vu2	
既	tɕiɿ5	
日	ne8	～昼: 白天
日	zai8	
日	ȵiai8	生日
日	ȵie8	～頭
旦	da6	地名用字, 约旦，与常用“花旦”之“旦”不同
旦	ta5	
舊	dʑiau6	
旨	tsɿ3	
早	tsɜ3	
旬	jyʊŋ2	
旰	kye5	
旱	jye4	
時	zɿ2	
曠	kʰɔ5	
旺	ɦɔ6	
昂	ŋɔ2	
昃	tse7	
昆	kʋaŋ1	～虫
昆	kye1	靈～島
昉	hɔ3	
昊	ɦɜ4	
昌	tsʰie1	
明	maŋ2	～朝:明天
明	miŋ2	聪～,～当当
昏	hye1	黄～
昏	hʋaŋ1	头～
昏	faŋ1	
昏	ɕye1	
易	ji6	
易	jiai8	
昔	si7	
昕	ɕiaŋ1	
星	siŋ1	
映	ʔjiaŋ5	反～
春	tɕʰyʊŋ1	
昧	mai6	
昨	zo2	
昭	tɕiɛ1	
是	zɿ4	
昳	jiai8	
昴	mɔ4	
昵	ȵie8	
昶	tsʰie3	
晝	tsiu5	
顯	ɕie3	程度副词，后置于形容词，表程度加强:好～
晁	dʑiɛ2	
時	zɿ2	
晃	hɔ3	
晉	tsaŋ5	
晏	ʔɛ5	～公殿巷
晏	ʔa5	
曬	sa5	
曉	ɕia3	
晗	ɦø2	
晚	va4	
晚	ma4	
晝	tsiu5	
晡	pu1	
晤	ŋ6	
晦	fai5	
晨	zaŋ2	
普	pʰu3	
景	tɕiaŋ3	
晰	si7	
晳	si5	白～
晴	ziŋ2	
晶	tsiŋ1	
晷	tɕy3	
智	tsɿ5	
晾	lɔ2	
暫	dza6	
暄	ɕye1	
暇	ɦo6	
暈	jyʊŋ6	
暉	ɕy1	
暑	ɕiɿ5	
暖	naŋ4	
暖	nø4	
暗	ʔø5	
暢	tsʰie5	
暤	ɦɜ4	
暨	tɕiɿ5	
暫	dza6	
暮	mo6	
暮	mu6	
暴	bɜ6	
暴	bo8	蟲咬所起皮膚疙瘩
暵	hø5	
暹	sie1	
曆	li8	
曇	dø2	
曉	ɕia3	
曖	ʔe5	
曜	jiɛ6	
曝	bo8	
曝	bu8	
曠	kʰɔ5	
曠	ɡɔ2	
曩	nɔ4	
曬	sa5	
曰	ʔiɛ1	
曲	tɕʰyo7	
更	kɛ1	四～
更	kɛ5	～加
更	ka1	起三～落半夜
曷	ʔø7	
書	ɕiɿ1	
曹	zɜ2	
曼	ma2	
曾	tsaŋ1	
曾	dzaŋ2	～經
曾	zaŋ2	～經
替	tʰi5	
最	tse5	
最	tsai1	好～，好極了
最	tsai5	
會	vai6	開～
會	kʋai5	～計
月	ȵye8	
月	bo8	
有	jiau4	
朋	bʊŋ2	
服	vu8	
朏	fi3	
朏	kʰø7	腳～頭
朐	dʑy2	
朓	tʰiɛ5	
朔	ɕyo7	
朕	dzaŋ4	
朗	lɔ4	
望	mɔ6	
望	vɔ6	
望	ɦɔ6	
朝	tɕiɛ1	～阳
朝	dʑiɛ2	～别人讲
朞	tɕiɿ1	
期	tɕiɿ1	～年：同朞
期	dʑiɿ2	
朦	mʊŋ2	
朧	lʊŋ2	
木	mu8	
木	mo8	
未	mi6	
未	vi6	
末	mø8	
本	paŋ3	
朮	dʑye8	白～
术	ʑye8	
朱	tɕiɿ1	
朴	biɛ2	
朵	to3	
機	tɕiɿ1	
朽	ɕiau3	
殺	sa7	
雜	zø8	
權	dʑye2	
杆	kye1	
杈	tsʰo5	
杈	tsʰo1	
杉	sa1	
李	li4	
杏	ʔɛ3	
材	ze2	
村	tsʰø1	
杖	dzie4	
杜	dʉ4	
杞	tɕʰiɿ3	
束	ɕyo7	
杠	kɔ5	
條	diɛ2	
來	li2	走～
來	le2	将～
杪	miɛ4	
杭	ɦɔ2	
杯	pai1	
東	tʊŋ1	
杲	kɜ3	
杳	ʔiɛ3	
杵	tsʰi3	
杷	bo2	
杼	dʑiɿ4	
松	sʊŋ1	
松	ʑyɔ2	～樹
板	pa3	
極	dʑiai8	
枉	ʔjyɔ3	
析	si7	
枑	vu6	
枓	tau3	
枕	tsaŋ3	
林	liŋ2	
枘	zai6	
枚	mai2	
果	ku3	
枝	tsi1	
棗	tsɜ3	
槍	tsʰie1	
枯	kʰu1	
枳	tsai7	～殼
枴	kʋa3	
枵	ɕiɛ1	
架	ɡo6	腳～起
架	ko5	
枷	ko1	
枷	ɡo2	飯鑊～兒，箅子
枸	kau3	
柄	piŋ5	
柏	pa7	
某	mu4	
某	mo4	
柑	kø1	
柒	tsʰai7	
染	ȵie4	
柔	ziu2	
柙	ɦa8	
柚	jiau2	～木
柚	jiau6	
柝	tʰo7	
柞	tso7	
柢	ti3	
查	dzo2	
查	tso1	姓
柩	dʑiau4	
柬	ka3	
柮	tø7	榾～
柯	kʰu1	
柱	tɕiɿ5	
柱	dʑiɿ4	
柳	liu4	
柴	za2	
柵	sa7	
柿	zɿ4	
棧	dza6	
棟	tʊŋ5	
樹	ʑiɿ6	
栓	sø1	
栗	lie8	
栝	ko7	
校	ka5	～場巷
校	kɔ5	～對
校	ɦɔ6	
栩	ɕy3	
株	tɕiɿ1	
栫	dzø6	瓶塞
栭	zɿ2	
栱	tɕyɔ3	
栲	kʰɜ3	
栳	lɜ4	
樣	jie6	
核	ɦø8	
根	kø1	
根	kaŋ1	
格	ka7	
栽	tse1	
栿	bu8	
栿	vu8	
桀	dʑie8	
桁	ɦɛ2	
桁	ɦɔ2	
桂	tɕy5	
桃	dɜ2	
桅	vai2	
框	tɕʰyɔ1	
案	ʔye5	
桌	tɕyo7	
桎	tsai7	
桐	dʊŋ2	
桑	sɔ1	
桓	jye2	
桔	tɕiai7	
桕	dʑiau4	
桫	so1	
桴	fu1	
桶	dʊŋ4	
桷	ko7	
梁	lie2	
梅	mai2	
梆	pɔ1	
梏	ku7	
梏	kʰu7	
梓	tsɿ3	
梔	tsi1	
梗	kɛ3	
條	diɛ2	
梟	ɕiɛ1	
梢	sɔ1	
夢	mʊŋ6	
梧	ŋ2	
梧	vu2	
梨	li2	
梭	so1	
梭	su1	
梯	tʰi1	
械	ɦa6	
梳	su1	
梳	sɿ1	
梵	va2	
梵	va6	
棄	tɕʰiɿ5	
棉	mie2	
棋	dʑiɿ2	
棍	kʋaŋ5	
棒	bɔ4	
棕	tsʊŋ1	
棗	tsɜ3	
棘	tɕiai7	
棚	bɛ2	
棚	bʊŋ2	
棟	tʊŋ5	
棣	di8	
棧	dza6	
森	saŋ1	
棲	tsʰi1	
棵	kʰu1	
棶	le2	
棹	dzɔ6	
棺	kye1	
椅	ʔi3	
植	dzi8	
椏	ʔo1	
椐	tɕy1	
椒	tɕiɛ1	
椰	ji2	
椴	dø6	
椽	dʑye2	
椿	tɕʰyʊŋ1	
楂	tso1	
楊	jie2	
楓	hʊŋ1	
楚	tsʰu3	
楝	lie6	
楞	laŋ2	
楠	nø2	
楣	mi2	
楦	ɕye5	
楫	tsie7	
業	ȵie8	
極	dʑiai8	
極	dʑiɿ8	苦極
楷	kʰa3	
楹	jiaŋ2	
樓	lau2	
概	ke5	
欖	la4	
榆	ɦy2	
榔	lɔ2	
榕	jyʊŋ2	
榛	tsaŋ1	
榜	pɔ3	
榥	hɔ3	
榧	fi3	
榨	tso5	
榫	ɕyʊŋ3	
榭	zi6	
榮	jyʊŋ2	
榱	tsʰai1	
榴	liu2	
榴	liu4	
榷	ko7	
榷	kʰo7	
榻	tʰa7	
榼	kʰai7	
榾	kye7	
槁	kɜ3	
槊	ɕyo7	
構	kau5	
槌	dʑiɿ2	
槍	tsʰie1	
槎	dzo2	
槐	va2	
槔	kɜ1	
槨	ko7	
槰	bʊŋ6	刺～
槱	jiau2	
槳	tsie3	
槽	zɜ2	
樁	tɕyɔ1	
樁	dʑyɔ2	樹～
樂	ŋɔ6	喜歡
樂	lo8	
樂	ŋo8	音～
樊	va4	姓
樓	lau2	
樘	dɔ2	
標	piɛ1	
樞	tɕʰy1	
樟	tsie1	
模	mʉ2	
模	mo2	
模	mu2	
樣	ʔie5	～子
樣	jie6	
樨	si1	
橫	ɦʋɛ2	强～
樵	dʑiɛ2	
樵	jiɛ2	
樸	pʰo7	
樸	pʰu7	
樹	ʑiɿ6	
樹	ʑiɿ4	～立
樽	tsø1	
樾	jye8	
橄	kø3	
橈	jiɛ2	
橈	nɔ6	
橋	dʑiɛ2	
橐	tʰo7	
橘	tɕiai7	
橙	dzɛ2	
橙	dziŋ2	
橛	kʰye8	石头～
橛	dʑye8	
橛	ɡye8	
機	tɕiɿ1	
橡	zie4	
橫	vɛ2	
檀	da2	
檇	tsai5	
檎	dʑiaŋ2	
檔	tɔ5	
檗	pa7	
檜	kʋai5	
檟	ko3	
檢	tɕie3	
檫	tsʰa7	
檬	mʊŋ2	
檳	piŋ1	
檻	kʰa3	
櫃	dʑy6	
櫓	lu4	
櫛	tsie7	
櫜	kɜ1	
櫝	du8	
櫟	li8	
櫪	li8	
櫬	tsʰaŋ5	
櫳	lʊŋ2	
櫸	tɕy3	
櫻	ʔjiaŋ1	
櫻	ʔɛ1	～桃
欂	po7	
欄	la2	
權	dʑye2	
欒	lø2	
欖	la4	
欛	pa5	籃兒～
欠	tɕʰie5	
次	tsʰɿ5	
歡	hye1	
欣	ɕiaŋ1	
欱	ha7	喝、饮
欲	jyo8	
欷	ɕiɿ1	
欸	ʔe3	
欺	tɕʰiɿ1	
欽	tɕʰiaŋ1	
款	kʰø3	
欿	kʰø3	
歃	sa7	
歆	ɕiaŋ1	
歇	ɕie7	
歉	tɕʰie3	
歌	ku1	
歎	tʰa5	
歐	ʔau1	
歔	ɕy1	
歙	ɕiai7	
歜	tɕʰyo7	
歟	ɦy2	
歡	hye1	
止	tsɿ3	
正	tsiŋ5	
正	tsiŋ1	正月
此	tsʰɿ3	
步	bʉ6	
武	vu4	
歪	ʔʋa1	
歲	ɕiɿ5	
歸	kʋai1	
歸	tɕy1	當～
歹	ta3	
死	sɿ3	
歿	mø8	
殂	zu2	
殃	ʔie1	
殄	tʰie3	
殆	de4	
殉	jyʊŋ6	
殊	ʑiɿ2	
殍	biɛ4	
殕	fʉ3	白～：白色黴菌
殖	dzi8	
殘	dza2	
殘	za2	
殛	tɕiai7	
殤	sie1	
殫	ta1	
殮	lie6	
殯	piŋ5	
殲	tsie1	
殳	ʑiɿ2	
段	dø6	
段	daŋ6	樹～
殷	ʔjiaŋ1	
殷	ʔa1	～紅
殺	sa7	
殼	kʰo7	
殿	die6	
毀	ɕy3	
毀	ɕy5	～牙
毁	ɕy5	～谤
毅	ȵi6	
毆	ʔau3	
毋	vu2	
母	mu4	
母	n4	
母	mo4	
每	mai4	
毐	ʔe3	
毒	du8	
毒	dau6	～死
毓	ʔiu7	
比	pi3	
比	bi6	～鄰
畢	pie7	
毖	pi5	
毛	mɜ2	使变坏;缺点多的
毫	ɦɜ2	
毯	tʰa3	
氅	tsʰie3	
氆	pʰu3	
氈	tsie1	
氏	zɿ4	
氐	ti1	
民	miŋ2	
氓	bɛ2	
氓	mɔ2	
气	tɕʰiɿ5	
氖	na4	
氘	tɜ1	
氛	vaŋ4	
氦	ɦe4	
氪	kʰe7	元素名
氮	da4	
氯	lo8	
水	ɕiɿ3	
永	ʔjyʊŋ3	
永	jyʊŋ4	
汀	tʰiŋ1	
汁	tsai7	
求	dʑiau2	
汆	tʰaŋ5	漂浮;慢慢走
汊	tsʰo5	
汏	da2	水中晃蕩洗滌
汐	zi8	
汕	sa1	
汕	sa5	
汗	jye6	
汙	ʔy1	
汛	saŋ5	
汜	zɿ4	
汝	ʑiɿ4	
汞	kʊŋ5	
江	kɔ1	
池	dzi2	
污	ʔu1	
汨	mie8	
汪	ʔɔ1	
汭	zai6	
汰	tʰa5	
汲	tɕiai7	
汴	bie6	
決	tɕye7	
汽	tɕʰiɿ5	
沁	saŋ5	
沂	ȵi2	
沃	ʔo7	都
沆	ɦɔ2	
沈	dzaŋ2	
沈	saŋ3	
沉	dzaŋ2	
沉	dzaŋ6	使沉沒
沌	daŋ4	
沌	dø2	
沐	mo8	
沐	mu8	
沒	mø8	
沖	tɕʰyʊŋ1	
沖	tɕʰyʊŋ5	步履不穩而前傾
沙	so1	
沚	tsɿ3	
沛	pʰai5	
沒	mø8	
沫	mø8	
沰	to7	滴下
沱	du2	
河	vu2	
油	jiau2	
油	jiau6	油漆塗物
治	dzɿ6	
沼	tɕiɛ3	
沽	ku1	
沾	tsie1	
沿	sie1	邊～
沿	jie2	
況	ɕyɔ5	
泄	si7	
泅	ziu2	
泆	jiai8	
泉	ʑye2	
泊	pʰo7	湖～
泊	bo8	停～
泌	pi7	
泌	mi8	
泐	le8	
泔	kø1	
法	fo7	
法	ho7	
泗	sɿ5	
泛	fa5	
泠	liŋ2	
泡	pʰɜ1	質地鬆軟；不結實
泡	pʰɔ1	水燈泡，水面泡沫
泡	pʰɔ5	
波	pu1	
波	pʉ1	寧～
泣	tɕʰiai7	
泥	ȵie2	
泥	ȵi2	
注	tɕiɿ5	
淚	li6	
泮	pʰø5	～宮
泯	miŋ2	
泯	miŋ4	
泰	tʰa5	
泳	ʔjyʊŋ3	
泳	jyʊŋ4	
泵	pɔ5	
潔	tɕie7	
洄	vai2	
洋	jie2	
洏	zɿ2	
洑	vu8	
洗	si3	
洛	lo8	
洞	dʊŋ6	
津	tsaŋ1	
洪	ɦʊŋ2	
洫	ɕye7	
洱	zɿ4	
洲	tsiu1	
洳	ʑiɿ2	
洵	ɕyʊŋ1	
洶	ɕyɔ1	
活	ɦo8	
洽	ɦa8	
派	pʰa5	
流	liu2	
淺	tsʰie3	
濟	tsi5	
浙	tsi7	
浚	ɕyʊŋ5	
浛	ɦø2	
浜	pɛ1	
浡	bø8	
浥	ʔjiai7	
浦	pʰʉ3	
浦	pʰu3	
浩	ɦɜ4	
浪	lɔ6	
浮	vɜ2	虛～
浮	vʉ2	
浴	jyo8	
海	he3	
浸	tsaŋ5	
浹	ka7	
浼	mai4	
涂	dʉ2	
消	ɕiɛ1	
涉	zie8	
涌	jyɔ4	
涎	zie2	
涓	tɕye1	
涕	tʰi5	
涪	vɜ2	～江
涮	sø5	
涯	ŋa2	
液	jiai8	
涵	ɦa2	
涸	ɦo8	
涼	lie2	
淄	tsɿ1	
淅	si7	
淆	ɦɔ2	
淇	dʑiɿ2	
淋	liŋ2	
淌	tʰɔ3	
淑	ʑiu8	
淒	tsʰi1	
淖	nɔ6	
淘	dɜ2	
淙	tsʊŋ1	
淚	lai6	
淚	li6	眼淚毛
淞	sʊŋ1	
淡	da4	
淤	ʔy1	
淥	lo8	
淦	kø5	
淨	ziŋ6	
淩	liŋ2	
淪	laŋ2	
淫	jiaŋ2	
淬	tsʰai5	
淮	va2	
深	saŋ1	
淵	ʔye1	
淶	le2	
混	vaŋ6	
淹	ʔie1	
淺	tsʰie3	
添	tʰie1	
添	tʰie5	添米
淼	miɛ4	
清	tsʰiŋ1	
瀆	du8	
渙	hye5	
渚	dʑiɿ4	
減	ka3	
渝	ɦy2	
渠	ɡi2	他
渠	ɡɛ2	阿～，「渠唉合音」，對平輩人匿稱
渠	ɡe2	第三人稱
渠	dʑy2	
渡	dʉ6	
渣	tso1	
渤	bø8	
渥	ʔo7	
渦	ʔu1	
渧	ti5	水～落
溫	ʔye1	～柔
測	tse7	
測	tsʰe7	
渭	ɦy6	
港	kɔ3	
渲	ɕye5	
渴	kʰye5	
渴	kʰø7	
游	jiau2	
渺	miɛ4	
渾	vaŋ6	
湃	pa5	
湃	pʰa5	
湄	mi2	
湊	tsʰau3	伺機
湊	tsʰau5	伺機；～錢
湍	tʰø1	
湖	ɦʋu2	
湖	vu2	
湘	sie1	
湛	dza4	
湜	dzi8	
湟	ɦɔ2	
湧	ʔjyɔ3	
湧	jyɔ4	
湫	tsʰiu1	
湮	ʔie1	
湯	tʰɔ1	
溼	sai7	
溉	ke5	
溏	dɔ2	
溏	dɔ6	大便稀
源	ȵye2	
溘	ɦø8	
溜	liu6	
溜	ʔliu1	
溝	kau1	
溟	miŋ2	
溢	ʔjiai7	
溪	tɕʰiɿ1	
溫	ʔʋaŋ1	
溫	ʔye1	
溯	sʉ5	
溲	sau1	
溴	ɕiau5	
溶	jyʊŋ2	
溺	ȵia8	
溺	ȵiai8	
溻	tʰa7	
滂	pʰɔ1	
滄	tsʰɔ1	
滅	mie8	
滆	ka7	
滇	die2	
滉	hɔ3	
滋	tsɿ1	
滌	di8	
滑	ɦo8	
滓	tsɿ3	
滔	tʰɜ1	
滕	daŋ2	
滯	dzi6	了～：干净
滿	mø4	
滬	vu4	
滯	dzi6	
滲	saŋ5	
滴	ti7	
滸	fu3	
滹	fu1	
滾	kʋaŋ3	
滿	mø4	
漁	ŋʉ2	
漂	pʰiɛ1	～动
漂	pʰiɛ3	～布、～白
漆	tsʰai7	
漈	tsi5	
漉	lu8	過一過水
漏	lau6	
演	jie4	
漕	zɜ2	
漙	dø2	
漚	ʔau1	浮～
漚	ʔau5	埋；壓
漠	mo2	沙～
漠	mo8	～不關心
漠	mu8	～不關心
漢	hye5	
漣	lie2	
漫	ma6	浪～
漫	mø2	
漬	zɿ6	～麻；油～
漭	mɔ4	
漯	tʰa7	
漱	sau5	
漲	tsie3	
漵	ʑiɿ4	
漶	va6	
漸	zie4	
漻	liɛ2	
漿	tsie1	
潁	jiaŋ4	
潑	pø7	活潑
潑	pʰø7	
潔	tɕie7	
潘	pʰø1	
潛	zie2	
潢	ɦɔ2	
潤	jyʊŋ6	
潦	lɜ4	～倒
潦	liɛ2	
潭	dø2	
潮	dʑiɛ2	
潯	zaŋ2	
潰	vai6	
潰	ɡʋai6	胃潰瘍
潲	sɔ5	
潷	pie7	
潸	sa3	
潸	sa1	
潺	dza2	
潺	za2	
澀	se7	
澄	diŋ4	水澄一澄
澄	dziŋ2	
澆	tɕiɛ1	
澇	lɜ2	
澌	sɿ1	
澌	ɕiɿ1	
澍	ʑiɿ6	
澒	ɦʊŋ6	水流或人流汹涌而出
澡	tsɜ3	
澤	dza8	
澧	li4	
澱	die6	
澳	ʔɜ5	
澴	va2	
澹	da4	
澾	tʰa7	滑～
激	tɕiai7	
激	tɕiɛ3	
濁	dʑyo8	
濂	lie2	
濃	nʊŋ2	文
濃	ȵyɔ2	
濕	sai7	
濘	ȵiaŋ6	
濟	tsi5	
濠	ɦɜ2	
濤	dɜ2	
濫	la6	
濫	la4	
濮	pʰo7	
濯	dʑyo8	
濰	ɦy2	
濱	piŋ1	
濺	tsie5	
濼	lo8	
濾	lʉ6	
瀆	du8	
瀉	si5	
瀋	saŋ3	
瀌	piɛ1	
瀏	liu2	
瀑	bo8	
瀑	bu8	
瀕	piŋ1	
瀛	jiaŋ2	
瀝	li8	
瀟	ɕiɛ1	
瀣	ɦa6	
瀹	jia8	
瀾	la4	口水
瀾	la2	
灌	kye5	
灑	sa3	
灑	so3	
灒	tsa5	
灘	tʰa1	
灝	ɦɜ4	
灞	po5	
灣	ʔʋa1	
灤	lø2	開～
火	hu3	
火	fu3	
滅	mie8	
燈	taŋ1	
灰	hʋai1	
灰	fai1	
靈	liŋ2	
竈	tsɜ5	
灸	tɕiau5	
灼	tɕia7	
災	tse1	
災	tse1	
爐	dʉ2	
炊	tɕʰiɿ1	
炎	jie2	
炒	tsʰɔ3	
炔	tɕʰye7	
炕	kʰɔ5	
炙	tsi7	
炬	dʑy4	
炭	tʰa5	
炮	pʰɔ5	
炱	de2	
炳	piŋ3	
炸	tsa7	油～餜
炸	tsa5	油～
炸	tso5	
點	tie3	
爲	ɦy2	作～
爲	ɦy6	
爛	la6	
烄	ŋɔ2	煎
烈	lie8	
烏	ʔu1	
烘	hʊŋ1	
烙	lo8	
烟	ʔie1	
烤	kʰɜ1	
煩	va2	
燒	ɕiɛ1	
熱	ȵie8	
烹	pʰiɛ1	
烽	hʊŋ1	
焉	ʔie1	
焉	zie2	語～不詳
焊	jye6	
焌	tɕʰye7	
焙	bai6	
焚	vaŋ2	
無	n2	
無	vu2	
焦	tɕiɛ1	
焭	dʑyʊŋ2	
焯	tɕia7	焯菜，炒菜
焯	tɕyo7	
焰	jie6	
然	zie2	
煆	tø5	
煉	lie6	
煌	ɦɔ2	
煎	tsie1	
煒	ɦy4	
煙	ʔie1	
煜	ʔiu7	
煞	sa7	
煠	dza8	油煠
煠	za8	水煠
煤	mai2	
煥	hye5	
煦	ɕy5	
照	tɕiɛ5	
煨	ʔʋai1	
煩	va2	
煮	tsi3	
煺	tʰai1	
煽	sie5	
熄	si7	
熊	jyʊŋ2	
熏	ɕyʊŋ1	
熒	jyʊŋ2	
熔	jyʊŋ2	
熙	ɕiɿ1	
熟	ʑiu8	
熢	bʊŋ4	火聚猛
熨	ʔjyʊŋ5	
熬	ŋɜ2	
熯	hø5	蒸
熱	ȵie8	
熳	ma6	
熹	ɕiɿ1	
燃	zie2	
燈	taŋ1	
燉	taŋ5	燉
燎	liɛ2	
燎	liɛ4	
燒	ɕiɛ1	
燔	va2	
燕	ʔie3	
燕	ʔie1	
燕	ʔie5	
燙	tʰɔ5	
營	jyʊŋ2	
燥	sɜ5	
燦	tsʰa5	
燧	ʑiɿ6	
燭	tɕyo7	
燴	fai3	
燴	fai5	雜～
燾	dɜ2	
爆	bɜ6	爆炸
爆	pɔ5	火星～出
爊	ʔɜ1	～菜，煮菜
爍	ɕia7	
爐	lʉ2	
爕	si7	
爚	jia8	
爛	la6	
爝	tɕia7	
爟	kye5	
爨	tsʰø5	
爪	tsɔ3	
爬	bo2	
爭	tsɛ1	
爭	dzɛ2	搶
爭	dzɛ6	爭吵
愛	ʔe5	
爵	tɕia7	
父	vʉ4	
父	fu3	漁～
爸	pa1	
爸	pa5	
爹	ti1	
爺	jie2	
爻	ɡɔ2	助词，了
爻	ɦɔ2	
爽	sɔ3	
爾	zɿ4	
爿	ba2	
牂	tsɔ1	
牆	zie2	
片	pʰie5	
版	pa3	
牌	ba2	
牒	die8	
牖	jiau4	
牘	du8	
牙	ŋo2	
牚	tsʰɛ5	牚兒
牛	ŋau2	
牝	biŋ4	
牟	mɜ2	
牟	mɜ6	～平，地名
牟	mʊŋ2	蝤～，青蟹
牡	mɜ4	
牢	lɜ2	
牤	mɔ2	
牧	mu8	
牧	mo8	
物	mai8	
物	vai8	
物	ʔmø5	～事，東西
牯	ku3	
牲	sɛ1	
牽	tɕʰie1	
牸	zɿ6	
特	de8	
牻	mɔ2	
牽	tɕʰie1	
犀	si1	
犁	li2	
犒	kʰɜ5	
犖	lo8	
犛	mɜ2	
犟	dʑie4	
犢	du8	
犧	ɕiɿ1	
犬	tɕʰye3	
犯	va4	
犰	dʑiau2	
犴	hø1	
猶	jiau2	
狀	dʑyɔ6	
狁	ʔjyʊŋ3	
狂	dʑyɔ2	
狃	ȵiau8	～宕:哪里
狃	ȵiau4	
狄	di8	
狎	ɦa8	
狐	ɦʋu2	
狐	vu2	
狗	kau3	
狠	haŋ3	
狡	ka3	～猾
狡	ka1	～猾
狡	kɔ3	
狩	siu5	
獨	du8	
狹	ɦa8	
獄	ȵyo8	
狳	ɦy2	
狷	tɕye5	
狸	li2	
狹	ɦa8	
狻	sø1	
狼	lɔ2	
狽	pai5	
猊	ȵi2	
猋	piɛ1	
猖	tsʰie1	
猗	ʔi1	
猙	tsɛ1	
猛	mɛ4	
猜	tsʰe1	
猝	tsʰø7	
猢	vu2	
猩	siŋ1	
豬	tsi1	
獻	ɕie5	
猱	nɜ2	
猴	ɦau2	
猶	jiau2	
猷	jiau2	
猹	tso1	
猻	sø1	
猾	ɦo8	
猿	jye2	
獁	mo4	
獄	ȵyo8	
獅	sai7	～子
獎	tsie3	
獒	ŋɜ2	
獠	liɛ2	
獨	du8	
獪	kʋai5	
獫	sie3	
獬	ha3	
獮	sie3	
獯	ɕyʊŋ1	
獰	ȵiaŋ2	
獲	va8	
獵	liɛ8	
獷	ɡɔ4	獷客
獸	siu5	
獺	tʰa7	
獻	ɕie5	
獾	hye1	
玄	jye2	
率	sai7	
率	sa5	
率	li8	
玉	ȵyo8	
王	jyɔ2	
王	jyɔ6	～天下
玖	tɕiau3	
瑪	mo4	
玦	tɕye7	
玨	ko7	
玩	ŋø2	
玫	mai2	
現	jie6	
玲	liŋ2	
玳	de6	
玷	tie3	
玻	pu1	
珀	pʰa7	
珂	kʰu1	
珈	ko1	
珊	sa1	
珍	tsaŋ1	
珓	kɔ5	～杯
珙	tɕyɔ3	
珞	lo8	
珠	tɕiɿ1	
珥	ʑiɿ4	
珧	jiɛ2	
珩	ɦɛ2	
班	pa1	
現	zie6	
琀	ɦø2	
球	dʑiau2	
琅	lɔ2	
理	li4	
琉	lu2	
瑣	sai3	小
琚	tɕy1	
琛	tsʰaŋ1	
琢	tɕyo7	
琥	fu3	
琦	dʑiɿ2	
琨	kʋaŋ1	
琳	liŋ2	
琴	dʑiaŋ2	
琵	bi2	
琶	bo2	
琺	ho7	
琿	ɕy1	
瑁	mɜ6	
瑄	ɕye1	
瑋	ɦy4	
瑕	ɦo2	
