#漢字	音標	解釋
□	xɑ1	弯:~腰
胡	fu2	~须
胡	fu2	姓
胥	ɕi2	
胭	iᴇ1	
胳	kə7	
膠	tɕiau1	
胸	ɕioŋ1	
能	nen2	
脂	tsɿ1	
脆	tsʰuei5	
脉	mæ7	
脊	tɕie7	
脏	tsaŋ5	五~
脏	tsaŋ1	肮~
臍	tɕi1	
腦	nau3	
膿	noŋ2	
脖	pʉ7	
脬	pʰau1	
脯	pʰu2	
脯	fu3	
脯	fu3	明~(晒干的乌贼)
脱	tʰʉ7	
腡	nu2	
臉	niᴇ3	
脾	pʰi2	
腆	tʰiᴇ3	
臘	næ7	
腋	i5	
腌	iᴇ1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan3	
腥	ɕin1	
腭	ŋə7	
腮	sai1	
腰	iau1	
腱	tɕiᴇ5	
腹	fʉ7	
膩	ni5	
騰	tʰen2	
腿	tʰuei3	
膏	kau1	~药
膏	kau1	~车
膘	piau1	
膜	mʉ7	
膝	tɕʰie7	
膨	pʰen2	
膳	san5	
臀	tʰen2	
臂	pei5	
臃	ioŋ1	
臊	sau1	
臣	tsʰen2	
自	tsɿ5	
臭	tsʰəu5	
至	tsɿ5	
致	tsɿ5	导~
致	tsɿ5	细~
臻	tsen1	
臼	tɕiəu5	
舀	iau3	
舂	tsoŋ1	
舅	tɕiəu5	
舌	sə7	
舍	sei3	~不得
舍	sei5	宿~
舐	tsʰɿ3	
舒	su1	
舔	tʰiᴇ3	
舜	suən5	
舞	vu3	
舟	tsəu1	
航	xaŋ2	
般	pan1	
艦	tɕiᴇ3	
艙	tsʰaŋ1	
舵	tu5	
船	tsʰuan2	
艇	tʰin3	
良	niaŋ2	
艱	tɕiᴇ1	
色	sæ7	
豔	iᴇ5	
藝	ni5	
艾	ŋai5	
節	tɕie7	
芋	y5	
芍	sʉ7	
芒	maŋ2	~种
芙	fu2	
芝	tsɿ1	
芥	tɕie5	
蘆	nu2	
芬	fen1	
芭	pɑ1	
芮	zuei5	
芯	ɕin1	
花	xɑ1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
莧	xan5-	
莧	ɕiᴇ5=	
蒼	tsʰaŋ1	
苧	tsu5	
苏	su1	
苔	tʰai1	
苗	miau2	
苟	kəu3	
苣	tɕy5	
若	zʉ7	
苦	kʰu3	
英	in1	
蘋	pʰin2	
茂	moŋ5-	
范	fan5	姓
范	fan5	师~
茄	tɕʰi2	
茅	mau2	
莖	tɕin1	
塋	yn2	
繭	tɕiᴇ3	
茫	maŋ2	
茬	tsʰɑ2	
茭	kau1	~笋
茴	xuei2	
茶	tsʰɑ2	
茸	zoŋ2	
荀	ɕyn2	
荆	tɕin1	
草	tsʰau3	
薦	tɕiᴇ5	
荒	xuaŋ1	
荔	ni5	
莢	tɕiæ7	
蕎	tɕʰiau2	
薺	tɕʰi2	
蕩	taŋ5	
榮	yn2	
葷	xuən1	
滎	yn2	
藥	io7	
荷	xu2	~话
荷	xu5	挑担
荷	xu2	薄~
莉	ni5	
莓	mei2	
莠	iəu5	
莫	mʉ7	
蓮	niᴇ2	
萵	u1	
获	xə7	
鶯	in1	
蓴	suən2	
莽	maŋ3	
菊	tɕiʉ7	
菌	tɕyn5	
菖	tsʰaŋ1	
菜	tsʰai5	
菠	pʰu1	
菢	pau5	
菩	pʰu2	
菱	nin2	
菲	fei3	
萄	tʰau2	
萌	moŋ2	
萍	pʰin2	
萎	uei3	
蘿	nu2	
螢	yn2	
營	yn2	
蕭	ɕiau1	
薩	sɑ3	
落	nʉ7	
著	tsu5	
葚	sen5	
葛	kə7	
葡	pʰu2	
董	toŋ3	
葫	fu2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蒂	ti5	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	suan5	
蒯	kʰuai3	
蒲	pʰu2	
蒸	tsen1	
蒿	xau1	
蓄	ɕiʉ7	
蓉	ioŋ2	
蓑	su1	
蓖	pi5	
藍	nan2	
蓬	pʰoŋ2	
蔑	mie7	污
蔓	pʰan5	
蔗	tsei5	
蔡	tsʰai5	
蔫	iᴇ1	花~了
蔫	iᴇ1	食物不新鲜
蔬	su1	
藹	ŋai5	
蔽	pi5	
蕈	ɕyn5	
蕉	tɕiau1	
蕊	zuei3	
蕨	tɕiʉ7	
薄	pʉ7	~荷
薄	pʉ7	厚~
薅	xau1	
薇	uei1	
薛	ɕiʉ7	
薪	ɕin1	
薯	su3	
薰	ɕyn1	
薸	pʰiau1	
藉	tɕie7	
藏	tsaŋ5	西~
藏	tsʰaŋ2	隐~
藐	miau3	
藕	ŋəu3	
藤	tʰen2	
藩	fan1	
藿	xə7	
蘸	tsan5	
虎	fu3	
虜	nu3	
虐	io7	
慮	nu5-	
慮	ny5=	
虔	tɕʰiᴇ2	
虚	ɕy1	
虞	y2	
蟲	tsʰoŋ2	
蟣	tɕi1	
虱	sæ7	
虹	kaŋ5-	天上的~
虹	xoŋ2=	彩~
虻	maŋ2	
雖	ɕy1-	
蝦	ɕia1	~蟆
蝦	ɕia1	鱼~
蝕	sɘ7	
蟻	ni5	
蚊	uən2	
蚌	pan5-	~埠
蚌	paŋ5	~壳
蠶	tsʰan2	
蚜	ia2	
蚣	koŋ1	
蚤	tsau3	
蛀	tsu5	
蛆	tɕʰy1	
蛇	sei2	
蛋	tan5	
蛙	ɑ1	
蛛	tsu1	
蠻	pʰan2	
蟄	tsɿ5	
螄	sɿ1	
蛾	u2	
蜀	sʉ7	
蜂	foŋ1	
蜇	tsæ7	
蜈	vu2	
蜒	iᴇ2	
蜓	tʰin2	
蜕	tʰuei5	
蝸	ku1	
蜘	tsɿ1	
蜜	mie7	
蠟	næ7	
蜢	moŋ3	
蜻	tɕʰin1	
蠅	in1	
蟬	tsʰan2	
蠍	ɕie7	
蝗	xuaŋ2	
蝙	piᴇ3	
蝠	fʉ7	
蝴	fu2	
蝶	tie7	
螂	naŋ2	
螃	pʰɑ2-	
螃	pʰaŋ2=	
融	ioŋ2	
螳	tʰaŋ2	
螺	nu2	
蟀	sʉ7	
蟆	mu2	
蟋	ɕie7	
蟑	tsaŋ1	
蟒	maŋ3	
蟢	ɕi3	
蟥	xuaŋ2	
蟹	xai3	
蟹	tɕie3	
蟾	tsʰan2	
蠓	moŋ3	
蠢	tsʰuən3	
血	ɕie7	
衅	ɕyn5	
行	ɕin2	~为
行	ɕin2	品~
行	xaŋ2	银~
衍	iᴇ3	
銜	xan2	
街	kai1	
衙	ia2	
衡	xen2	
衢	tɕʰy2	
衣	i1	
補	pu3	
表	piau3	~面
表	piau3	手~
衫	san1	
襯	tsʰen5	
衰	suai1	
衷	tsoŋ1	
袁	yᴇ2	
襖	ŋau3	
袋	tai5	
袍	pʰau2	
袖	ɕiəu5	
袜	ua7	
被	pei5	
被	pi5	~迫
襲	ɕie7	
袱	fʉ7	
裁	tsʰai2	
裂	nie7	
裝	tsuaŋ1	
襠	taŋ1	
裌	tɕiæ7	
裕	y5	
裙	tɕʰyn2	
褲	kʰu5	
襇	tɕiᴇ3	
裳	saŋ2	
裴	pʰei2	
裸	nu3	
裹	ku3	
褂	kɑ5	
複	fʉ7	
褒	pau1	
褚	tsʰu3	
褥	zʉ7	
褪	tʰuei5	
褯	ɕi2	
褶	tsə7	
襟	tɕin1	
襻	pʰan5	
西	ɕi1	
要	iau1	~求
要	iau5	重~
覆	fʉ7	
見	tɕiᴇ5	
觀	kuan1	参~
觀	kuan5	道~
規	kuei1	
覓	mie7	
視	sɿ5	
覽	nan3	
覺	kau5-	
覺	tɕiau5=	
角	kə7-	
解	kai3	~开
解	ɕie2	姓
解	tɕie3	知道
解	tɕie3	讲~
觸	tsʉ7	
言	iᴇ2	
譽	y5	
謄	tʰen2	
誓	sɿ5	
警	tɕin3	
譬	pʰi5	
計	tɕi5	
訂	tin5	
訃	fu5	
認	zen5	
譏	tɕi1	
討	tʰau3	
讓	zaŋ5	
訖	tɕʰie7	
託	tʰʉ7	
訓	ɕyn5	
議	ni5	
訊	ɕyn5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
許	ɕy3	
訛	ŋə7	
論	nen5	~语
論	nen5	讨~
訟	soŋ5	
諷	foŋ3	
設	sə7	
訪	faŋ3	
訣	tɕiʉ7	
證	tsen5	
評	pʰin2	
識	sɘ7	
詐	tsɑ5	
訴	su5	
診	tsen1	
詞	tsʰɿ2	
詔	tsau5	
譯	ie7	
試	sɿ5	
詩	sɿ1	
詼	xuei1	
誠	tsʰen2	
誅	tsu1	
話	xɑ5	
誕	tan5	
詭	kuei3	
詢	ɕyn2	
詣	ni5	
該	kai1	
詳	ɕiaŋ2	
誣	u1	
語	y3	
誤	vu5	
誘	iəu5	
説	sʉ7	
誦	soŋ5	
請	tɕʰin3	
諸	tsu1	
諾	nʉ7	
讀	tʉ7	
課	kʰu5	
誰	suei2	
調	tʰiau2	~和
調	tiau5	动
調	tiau5	音
諒	niaŋ5	
談	tʰan2	
誼	ni5	
謀	moŋ2	
諜	tie7	
謊	xuaŋ3	
諫	tɕiᴇ5	
諧	ɕie2	
謂	uei5	
讒	tsʰan2	
諺	iᴇ5	
謎	mi2	
謝	ɕi5	
謡	iau2	
謗	paŋ5	
謙	tɕʰiᴇ1	
謹	tɕin3	
謬	miəu5	
譚	tʰan2	
譜	pʰu3	
谷	kʉ7	山~
谷	kʉ7	稻
豁	xo1	
豆	təu5	
豇	tɕiaŋ1	
豉	sɿ5	
豌	uan1	
豚	tʰen2	
象	ɕiaŋ5	
豪	xau2	
豫	y5	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
賈	tɕia3	姓
貝	pei5	
貞	tsen1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
責	tsæ7	
賢	ɕiᴇ2	
敗	pai5	
賬	tsaŋ5	
貨	xu5	
質	tsɘ7	
販	fan5	
貪	tʰan1	
貧	pʰin2	
貶	piᴇ3	
購	kəu5	
貫	kuan5	
貳	ɚ5	
賤	tɕiᴇ5	
貼	tʰie7	
貴	kuei5	
貸	tai5	
貿	moŋ5-	
費	fei5	
賀	xu2	
貽	i2	
賊	tsæ7	
賈	ku3	商~
賄	xuei5	
賃	nin5	
賂	nu5	
贓	tsaŋ1	
資	tsɿ1	
賒	sei1	
賦	fu5	
賭	tu3	
贖	sʉ7	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	nai5	
贅	tsuei5	
賺	tsuan5	
賽	sai5	
贊	tsan5	~助
贊	tsan5	称
贈	tsen5	
贏	in2	
赤	tsʰɘ7	
赦	sə7	
赫	xə7	
走	tsəu3	
赴	fu5	
趙	tsau5	
趕	kan3	
起	tɕʰi3	
趁	tsʰen5	
超	tsʰau1	
越	io7	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tsʉ7	
趼	tɕiᴇ3	
趾	tsɿ3	
躍	io7	
跌	tie7	
跑	pʰau3	
跔	tɕy1	
跗	fu1	
跛	po3	
距	tɕy5	
跟	ken1	
跨	kʰɑ5	
跪	kuei5	
路	nu5	
跳	tʰiau5	~高
跳	tʰiau5	小孩不高兴跺脚的说法
踐	tɕiᴇ3	
踊	ioŋ3	
踏	tʰæ7	
踢	tʰie7	
踩	tsʰai3	
蹤	tsoŋ1	
踮	tiᴇ5	
踱	tu5	
蹄	tʰi2	
蹈	tau3	
躡	nie7	
蹩	pʰie7	
蹭	tsʰen5	
蹲	tuən1	
躥	tsʰuan5	
躁	tsʰau5	
身	sen1	
躬	koŋ1	
軀	tɕʰy1	
躱	tu3	
躺	tʰaŋ3	
車	tsʰei1	火~
輔	fu3	
車	tɕy1	~馬炮
軋	iæ7	
軌	kuei3	
軒	ɕyᴇ1	
轉	tsuan3	~送
轉	tsuan5	~圆圈
軛	ŋə7	
輪	nen2	
軟	suan3	
轟	xoŋ1	
軸	tsʉ7	
輕	tɕʰin1	
載	tsai5	~重
載	tsai3	年~
載	tsai5	满~债
較	tɕiau5	
輛	niaŋ3	
輩	pei5	
輝	xuei1	
輻	fʉ7	
輯	tɕie7	
輸	su1	~赢
輸	su1	运~
轅	yᴇ2	
轄	ɕiæ7	
轍	tsæ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰie7	
辣	næ7	
辨	piᴇ5	
辯	piᴇ5	
辮	piᴇ5	
辰	sen2	
辱	zʉ7	
邊	piᴇ1	
遼	niau2	
達	tæ7	
遷	tɕʰiᴇ1	
迂	y1	
迅	ɕyn5	
過	ku5	~去
過	ku5	姓
邁	pʰai5	
迎	in2	
運	yn5	
近	tɕin5	
還	xai2	~有
還	xuan2	~原
進	tɕin5	
遠	yᴇ3	
違	uei2	
連	niᴇ2	
遲	tsʰɿ2	
迥	tɕyn3	
迫	pʰæ7	
迭	tie7	
述	su5	
迴	xuei2	
迷	mi2	
迸	pin5	
迹	tɕie7	
追	tsuei1	
退	tʰuei5	
送	soŋ5	
適	sɘ7	
逃	tʰau2	
逆	nie7	
選	ɕyᴇ3	
遜	ɕyn5	
逍	ɕiau1	
透	tʰəu5	
逐	tsʉ7	
遞	ti5	
途	tʰu2	
逗	təu5	
通	tʰoŋ1	
逝	sɿ5	
逞	tsʰen3	
速	sʉ7	
造	tsʰau5	
逢	foŋ2	
逮	tai3	
逵	kʰuei2	
逸	ie7	
逼	pi1	
逾	y2	
遁	ten5	
遂	ɕy2-	
遂	suei5=	
遇	y5	
遍	pʰiᴇ5	~地
遍	piᴇ5	一
遐	ɕia2	
道	tau5	
遺	i2	
遢	tʰæ7	
遣	tɕʰiᴇ3	
遥	iau2	
遭	tsau1	
遮	tsei1	
遵	tsen1	
避	pi5	
邀	iau1	
邑	ie7	
鄧	ten5	
那	nɑ5	
邦	paŋ1	
邪	ɕi2	
郵	iəu2	
邵	sau5	
鄒	tsəu1	
鄰	nin2	
郁	y5	
郊	tɕiau1	
郎	naŋ2	
鄭	tsen5	
郝	xə7	
郡	tɕyn5	
部	pu5	
郭	kue7	
都	tu1	~市
都	tu1	~是
鄂	ŋə7	
鄙	pi3	
酉	iəu3	
酌	tsʉ7	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酥	su1	
酪	nʉ7	
酬	tsʰəu2	
醬	tɕiaŋ5	
酵	ɕiau5	
酷	kʰʉ7	
酸	suan1	
釅	niᴇ5	
釀	niaŋ5	
醃	iᴇ1	
醇	tsʰen2	
醉	tsuei5	
醋	tsʰu5	
醒	ɕin3	
醭	pʰʉ7	
醮	tɕiau3	
釉	iəu5	
釋	sɘ7	
里	ni3	~面
里	ni3	一~路
重	tsʰoŋ2	~复
重	tsoŋ5	~量
野	i3	
量	niaŋ5	~尺寸
量	niaŋ5	数
金	tɕin1	
釜	fu3	
鈔	tsʰau1	
鑑	tɕiᴇ5	
鉸	tɕiau3	
鏨	tsan5	
鐐	niau2	
鐾	pei5	
針	tsen1	
釘	tin1	~子
釘	tin5	~钉子
釤	san1	
釣	tiau5	
釵	tsʰai1	
鈍	ten5	
钟	tsoŋ1	千~粟
钟	tsoŋ1	敲
鋼	kaŋ1	~铁
鋼	kaŋ1	刀鈍了,加~刀
鑰	io7	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kəu1	
鈀	pʰɑ2	
錢	tɕʰiᴇ2	
鉗	tɕʰiᴇ2	
鉢	pʉ7	
鈸	pʰæ7	
鑽	tsuan1	~洞
鑽	tsuan5	~子
鐵	tʰie7	
鈴	nin2	
鉛	yᴇ2-	
鐸	tʉ7	
銬	kʰau5	
鐃	zau2	
銅	tʰoŋ2	
鍘	tsæ7	
鏵	xɑ2	
銘	min2	
鏟	tsʰuan3	
銃	tsʰoŋ5	
銀	in2	
鑄	tsu5	
鋪	pʰu1	~开
鋪	pʰu5	店
鏈	niᴇ5	
銷	ɕiau1	
鎖	su3	
鋤	tsʰu2	
鍋	ku1	
鏽	ɕiəu5	
銼	tsʰu5	
鋒	foŋ1	
鐧	tɕiᴇ5	
銳	zuei5	
錯	tsʰʉ7	~杂
錯	tsʰu5	做~
錨	mau2	
錫	ɕie7	
鑼	nu2	
錘	tsʰuei2	
錐	tsuei1	
錦	tɕin3	
錠	tin5	
鍵	tɕiᴇ5	
鋸	tɕy5	
鍬	tɕʰiau1	
鍛	tuan5	
鍍	tu5	
鎮	tsen5	
鑷	nie7	
鏡	tɕin5	
鐲	tsʉ7	
鐮	niᴇ2	
鑞	næ7	
鑲	ɕiaŋ1	
長	tsʰaŋ2	~短
長	tsaŋ3	~高
門	men2	
閂	suan5	
閃	san3	
閉	pi5	
問	uən5	
闖	tsʰuaŋ3	
閏	zuən5	
闲	xan2-	
闲	ɕiᴇ2=	
間	tɕiᴇ5	~断
間	tɕiᴇ1	一~房间
間	tɕiᴇ1	中~
悶	men5	
閘	tsɑ2	
鬧	nau5	
閨	kuei1	
聞	uən2	
閩	min3	
閣	kə7	
鬮	tɕiəu1	
閲	io7	
閹	iᴇ1	
閻	iᴇ2	
闊	kʰue7-	
隊	tuei5	
阮	suan3	
防	faŋ2	
陽	iaŋ2	
陣	tsen5	
階	tɕie1	
阻	tsu3	
阿	o1	
附	fu5	
際	tɕi5	
陸	nʉ7	
隴	noŋ2	
陳	tsʰen2	
陋	nəu5	
陌	pæ7-	
陌	mæ7	
降	tɕiaŋ5	下
降	ɕiaŋ2	投~
限	ɕiᴇ5	
陝	san3	
陛	pei5	
陡	təu3	
院	yᴇ5	
除	tsʰu2	
險	ɕiᴇ3	
陪	pʰei2	
陰	in1	~天
陰	in1	屋子里很~
陵	nin2	
陶	tʰau2	
陷	ɕiᴇ5=	
隆	noŋ2	
隨	suei2	
隱	in3	
隔	kə7	
隘	ŋai5	
隙	ɕie7	
障	tsaŋ5	
隧	suei5	
隶	ni5	
難	nan2	困~
難	nan5	落~
雀	tɕʰiʉ7	
雁	ŋan5	
雄	ɕioŋ2	
集	tɕie7	
雇	ku5	
雉	tsɿ5	
雌	tsʰɿ2	
雍	ioŋ1	
雛	tsʰu2	
雕	tiau1	
雨	y3	
雪	ɕiʉ7	
雲	yn2	白~
零	nin2	
雷	nei2	
雹	pau5	
霧	vu5	
需	ɕy1	
霄	ɕiau1	
震	tsen3	
黴	mei2	
霍	xə7	
霜	suaŋ1	
霞	ɕia2	
露	nu5	
霹	pʰie7	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
靠	kʰau5	
靡	mi2	
面	miᴇ5	~子
面	miᴇ5	吃
靨	iᴇ5	
革	kə7	
靴	ɕy1	
鞋	xai2	
鞍	ŋan1	
鞠	tɕiʉ7	
鞭	piᴇ1	
韌	zen3	
韓	xan2	
韭	tɕiəu3	
音	in1	
韻	yn5	
韶	sau5	
頁	ie7	
頂	tin3	
頃	tɕʰyn1	
項	xaŋ5	
順	suən5	
须	ɕy1	必~
须	ɕy1	胡~
頑	uan2	
顧	ku5	
頓	ten5	
頒	pan1	
頌	soŋ5	
預	y5	
領	nin3	
頗	pʰu1	
頸	tɕin3	
頻	pʰin2	
頽	tʰuei2	
穎	yn3	
顆	kʰu3	
題	tʰi2	
顔	iᴇ2	
額	ŋə7	
顛	tiᴇ1	
顫	tsʰan5	
風	foŋ1	
颼	səu1	
飛	fei1	
食	sɘ7	
餐	tsʰan1	
饥	tɕi1	~饿
饥	tɕi1	~荒
飭	tsʰɘ7	
飯	fan5	
飲	in3	~酒
飲	in5	~秧子
飾	sɿ5	
飽	pau3	
飼	sɿ5	
飴	i2	
餌	ɚ3	
饒	zau2	
餉	ɕiaŋ3	
餃	tɕiau3	
餅	pin3	
餓	u5	
餒	nuei3	
餜	ku3	
餛	xuən2	
餡	ɕiᴇ5=	
館	kuan3	
餿	səu1	
饞	tsʰan2	
餾	niəu2	
饅	pʰan2	
首	səu3	
香	ɕiaŋ1	
馨	ɕin1	
騇	sei5	
騲	tsʰau3	
馬	mɑ3	
馱	tʰu2	
馴	ɕyn5	
馳	tsʰɿ2	
驅	tɕʰy1	
駁	pʉ7	
驢	ny2	
駛	sɿ3	
駒	tɕy1	
駐	tsu5	
駝	tʰu2	
駕	tɕia5	
駡	mɑ5	
驕	tɕiau1	
駱	nʉ7	
駭	xai5	
驗	niᴇ5	
騎	tɕʰi2	
騙	pʰiᴇ5	
騷	sau1	
騾	nu2	
驟	tsəu5	
骨	kʉ7	
骼	kə7	
髓	suei2	
高	kau1	
髻	tɕie5	
鬃	tsoŋ1	
鬢	pin5	
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰæ7	
魘	iᴇ5	
魏	uei5	
魔	mu2	
魚	y2	
魯	nu3	
鮎	niᴇ2	
鮑	pau5	
鮮	ɕyᴇ1	新~
鮮	ɕyᴇ1	朝~
鯉	ni3	
鯽	tɕie7	
鯨	tɕin1	
鰓	sai1	
鱷	ŋə7	
鰍	tɕʰiəu1	
鰥	kuan1	
鰾	pʰiau3	
鱉	pie7	
鰻	pʰan2	
鱖	kuei5	
鱗	nin2	
鳥	tiau3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鸕	nu2	
鴨	iæ7	
鴿	kə7	
鸞	nuan2	
鴻	xoŋ2	
鵝	u2	
鵡	u3	
鵲	tɕʰiʉ7	
鷂	iau5	
鶴	xə7	
鷺	nu5	
鷹	in1	
鹿	nʉ7	
麝	sei5	
麥	mæ7	
麥	maŋ2	~芒
麩	fu1	
麴	tɕʰiʉ7	
麻	mɑ2	
麾	xuei1	
黃	xuaŋ2	
黍	su3	
黎	ni2	
黏	tsan1	
黑	xə7	
默	mæ7	
黹	tsɿ3	
鼎	tin3	
鼓	ku3	
鼠	su3	
鼻	pie7	
鼾	xan1	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	nin2	
龍	noŋ2	
龔	koŋ1	
龕	kʰan1	
龜	kuei1	
