#漢字	音標	解釋
□	iai2	俗称发生性关系
錢	tʃiẽ2	
鉗	tʃiẽ2	
鉢	puo7	
鈸	puo2	
鑽	tsuã5	动词
鑽	tsuã5	木工用具
鐵	tʰie7	
鈴	nai2	
鉛	yẽ2	
銅	təŋ2	
鍘	tsuo7	
銘	mai2	
鏟	tsʰã3	
銀	nin2	
鑄	tsu5	~铁
鑄	tsu6	~造
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	ʃiau1	
鎖	suo3	
鋤	tsu2	
鍋	kuo1	
鏽	ʃiou5	
銼	tsʰuo5	
鋒	fəŋ1	
銳	tei5	
錯	tsʰuo5	
錯	tsʰuo5	~误
錨	mau2	
錫	sai7	
錮	ku5	
鑼	nuo2	
錘	tsuei2	
錐	tsuei1	
錦	tʃin3	
鍵	tʃiẽ5	
鋸	ky5	
鍬	tʃʰiau1	
鍾	tsoŋ1	
鍛	tuã6	
鍍	tu6	
鎮	tsəŋ5	
鑷	nie2	
鏡	kai5	
鐲	tsuo2	
鐮	niẽ2	
鑲	ʃiaŋ1	
長	tsaŋ2	~短
長	tsaŋ3	生~
門	məŋ2	
閂	suã1	
閃	sã3	
閉	pi5	
問	məŋ6	
闖	tsʰuaŋ7	
閏	yŋ6	
闲	hã2	
間	tʃiẽ1	~隔
間	kã1	中~，一~房
間	tʃiẽ1	时~
悶	məŋ6	
閘	tsuo7	
鬧	nau6	
聞	uəŋ2	
閣	kuo2	
閲	ye2	
閹	iẽ1	
閻	iẽ2	
闊	kʰuo2	
隊	tei5	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tsəŋ5	
階	kai1	
阻	tsu3	
阿	a1	~哥
阿	uo1	~胶
附	fu5	
際	tʃi5	
陸	nu2	
陳	tʃin2	
陋	na6	
降	ʃiaŋ2	~服，投~
降	tʃiaŋ5	下~，霜~
降	kaŋ5	霜~
限	hã6	
陝	sã7	
院	yẽ6	
除	tʃy2	~法，~了
除	tsʰu2	清~
險	ʃiẽ3	
陪	pei2	
陵	nin2	
陶	tau2	
陷	hã6	
隆	nəŋ2	
隨	tsei2	
隱	in3	
隔	ka7	
障	tsaŋ5	
隧	sei5	
隶	ti5	
難	nã6	
難	nã2	~易
雀	tsʰuo2	
雁	ã5	
雄	ʃioŋ2	
雅	ia5	
集	tʃi2	
雇	ku5	
雍	ioŋ1	
雕	tiau1	
雨	y3	
雪	ʃye7	
零	nai2	
雷	nei2	
雹	pau2	
霧	u5	
需	ʃy1	
霄	ʃiau1	
震	tsəŋ5	
黴	mei2	
霍	huo5	
霜	suaŋ1	
露	nu6	
霸	puo5	
青	tsʰai1	
靖	tʃin5	
靜	tʃin5	
非	fei1	
靠	kʰau5	
面	miẽ6	
面	miẽ6	~条，~向
面	miẽ5	下~
革	ka7	
靪	tai1	
靴	ʃie1	
鞋	ha2	
鞍	ã1	
鞭	piẽ1	
韌	nin5	
韓	hã2	
韭	tʃiou3	
音	in1	
韻	yŋ6	
韶	sau2	
頁	ie2	又读
頁	ie7	又读
頂	tai3	
頃	tʃʰyŋ3	
項	haŋ6	
順	ʃyŋ6	
须	ʃy1	
頑	uã2	
顧	ku5	
頓	təŋ5	
頒	pã1	
頌	soŋ5	
預	y6	
領	nai3	
頸	kai3	
頻	pai2	
顆	kʰuo3	
題	ti2	
顔	iẽ2	
額	a7	
顛	tiẽ1	
顫	tsã5	
風	fəŋ1	
飄	pʰiau1	
飛	fei1	
食	sɿ2	~物
食	sai2	粮~
餐	tsʰã1	
饥	tʃi1	~饿
饥	tʃi1	~荒
飩	tʰəŋ1	
飯	fã6	
飲	in3	~酒
飲	in3	米汤
飾	sɿ6	
飽	pau3	
飼	sɿ1	又读
飼	sɿ5	又读
饒	iau2	
餉	ʃiaŋ3	
餃	tʃiau3	
餅	pai3	
餓	uo6	
餛	fəŋ2	
館	kuã3	
餿	sa1	
饞	tsã2	
餾	niou2	
饅	mã2	
首	ʃiou3	
香	ʃiaŋ1	
馬	muo3	
馱	tuo2	~子
馱	tuo2	拿，~起来
馳	tsʰɿ2	
驅	tʃʰy1	
駁	puo2	
驢	nu2	
駛	sɿ3	
駝	tʰuo2	
駕	ka5	
駡	muo6	
驕	tʃiau1	
駱	nuo2	
驗	niẽ6	
騎	tʃi2	
騙	pʰiẽ5	
騷	sau1	
驟	tsou5	
骨	ku7	
髓	suei3	
高	kau1	
鬃	tsəŋ1	
鬼	kuei3	
魂	fəŋ2	
魄	pʰuo2	
魏	uei5	
魔	muo2	
魚	ŋ̍2	
魯	nu3	
鮮	ʃyẽ1	
鯉	ni3	
鯽	tʃi2	
鯨	tʃin1	
鰓	sua1	
鱖	kuei5	
鱗	nin2	
鳥	tiau3	
鳩	tʃiou1	
雞	tʃi1	
鳴	min2	
鴉	ɔ1	
鸕	nu2	
鴨	ɔ7	
鴿	kuo7	
鴻	hoŋ2	
鵝	uo2	
鵡	u3	
鷂	iau6	
鸚	in1	
鷺	nu6	
鷹	ai1	
鹿	niou7	~寨
鹿	nu2	单念
麝	sɔ6	
麥	ma7	
麩	fu1	
麻	muo2	
黃	faŋ2	
黎	ni2	
黑	hai7	
默	ma7	
黢	tʃʰy6	
鼓	ku3	
鼠	tʃʰy3	
鼻	pi2	
齊	tʃi2	
齒	tʃʰi3	
龍	noŋ2	多用
龍	nəŋ2	少用
龜	kuei1	
