#漢字	音標	解釋
㪕	tsʰɔu5	〜起棍子
莖	tɕiəŋ2	
塋	iəŋ2	
繭	tɕian3	
茫	mɑŋ1	
茬	tsʰa1	
茴	xuei2	〜香
茶	tsʰa1	
茸	yəŋ1	
荀	ʃyən2	
荆	tɕiəŋ3	
草	tsʰɔu3	
薦	tɕian5	
荒	xuɑŋ1	
荔	li5	
蕎	tɕʰiɔu2	
薺	tʃɿ2	
蕩	tɑŋ5	放〜
榮	yəŋ3	
蔭	iən1	屋子很〜
藥	yə5	钥〜匙
荷	xuə2	〜花
荷	xuə5	薄〜
莫	mə5	
蓮	lian2	
获	xuə5	
鶯	iəŋ1	
蓴	tsʰuən1	〜菜
莽	mɑŋ3	
菊	tɕy3	
菌	tɕyən5	
菖	tʃʰɑŋ1	〜蒲
菜	tsʰai5	
菠	pə1	
菢	pɔu2	〜小鸡
菩	pʰu3	
菱	liəŋ5	
萄	tʰɔu2	
萌	məŋ2	
萍	pʰiəŋ2	
萎	uei3	
蘿	luə1	
營	iəŋ2	
蕭	ʃɔu1	
薩	sa5	
落	luə5	
著	tʃy5	显〜
葚	ʃən5	桑〜
葛	ka3	
董	tuəŋ3	
葬	tsɑŋ5	
葱	tsʰuəŋ1	
葵	kʰuei2	
蔣	tʃɑŋ3	
蒙	məŋ3	
蒯	kʰuai5	
蒲	pʰu3	
蒸	tʃəŋ1	
蒿	xɔu1	蓬〜
蓄	ɕy3	
蓉	yəŋ2	
蓖	pi3	(〜麻)
藍	lan1	
蓬	pʰəŋ2	
蔓	an5	瓜~子
蔗	tʃiə2	
蔡	tsʰai5	
蔫	ian1	
蔬	su1	
藹	ai3	
蔽	pi5	
蕉	tʃɔu1	芭〜,香〜
蕊	lei3	
薄	pə2	
薄	pə1	〜荷
薅	xɔu1	
薛	ʃyə3	
薪	ʃiən1	
薯	ʃy3	
薰	ɕyən1	
藉	tʃɿ3	
藏	tsɑŋ5	西〜
藏	tsʰɑŋ2	隐〜
藐	miɔu3	
藕	əu3	
藩	fan1	
藿	xuə2	〜香
蘸	tsan5	〜酱油
虎	xu3	
虜	lu3	
虐	yə5	
慮	ly5	
虔	tɕʰian1	
虚	ɕy2	
虞	y5	
蟲	tsʰuəŋ2	
虱	sɿ3	
虹	xuəŋ2	
虹	tʃɑŋ5	
虻	mɑŋ3	牛〜
雖	sei1	
蝦	ɕia1	
蝕	ʃɿ2	
蟻	i5	
蚊	uən5	
蚌	pəŋ1	〜埠
蚌	pɑŋ2	珠〜
蠶	tsʰan2	
蚣	kuəŋ1	
蚤	tsɔu5	
蛀	tʃy5	
蛆	tʃʰy1	
蛇	ʃiə2	
蛋	tan2	
蟶	tsʰəŋ1	
蛙	uai1	青〜
蛛	tʃy1	
蛤	ka3	
蠻	man1	
蟄	tʃiə3	惊〜
蛾	uə1	
蜀	su3	
蜂	fəŋ1	
蜇	tʃiə3	蝎子〜人
蜋	lɑŋ2	
蜓	tʰiəŋ2	
蜕	tʰei5	蛇〜皮
蝸	uə1	
蜘	tʃɿ1	
蜜	mi5	
蠟	la5	
蜻	tʃʰəŋ1	
蜻	tʃʰiəŋ1	
蠅	iəŋ1	
蟬	tɕʰian3	
蠍	ɕiə3	
蝗	xuɑŋ2	
蝙	piə3	
蝟	uei5	
蝠	fu3	
蝶	tiə2	
螃	pʰɑŋ2	〜蟹
融	yəŋ2	
螳	tʰɑŋ2	〜螂
螺	luə1	
蟀	suai5	
蟆	ma1	
蟒	mɑŋ3	
蟹	ɕie2	
蠓	məŋ3	
蠢	tsʰuən3	
血	ɕiə3	
衅	ɕiəŋ5	挑〜
行	xɑŋ2	〜列,银〜
行	ɕiəŋ2	〜为,品〜
街	tɕie1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔu3	
衫	san3	
襯	tʃʰən5	
衰	suei1	
袁	yan2	
襖	ɔu3	
袋	tai5	
袍	pʰɔu2	
袖	ʃəu2	
袜	ua5	
被	pei2	〜卧,~子
被	pei5	〜打,〜迫
襲	ʃɿ1	
襲	ʃɿ3	
裁	tsʰai2	
裂	liə5	
裝	tsuɑŋ1	
裌	tɕia3	〜衣
裕	y5	
裙	tɕʰyən2	
褲	kʰu5	
裴	pʰei5	
裸	luə2	
裹	kuə3	
褒	pɔu3	〜奖
褚	tɕʰu1	姓
褥	y5	
褪	tʰei5	
褶	tʃiə2	〜子,皱纹
襄	ʃɑŋ1	
襟	tɕiən1	
西	ʃɿ1	
要	iɔu5	想〜,〜求
覆	fu2	
見	tɕian5	
觀	kuan1	参~
觀	kuan5	道〜
規	kuei1	
覓	mi5	
視	sɿ5	
覽	lan3	
覽	ɕian5	〜菜
覺	tɕiɔu5	睡〜
覺	tɕyə3	知〜
角	tɕyə3	〜旦
角	tɕia3	桌子〜,墙〜
解	tɕiə3	~开
解	tɕie2	了〜
解	ɕie2	姓
觸	tɕʰu3	
言	ian2	
譽	y5	
謄	tʰəŋ2	
誌	tʃɿ5	
謄	tʰəŋ2	
警	tɕiəŋ3	
計	tɕi5	
訂	tiəŋ5	
訃	fu5	
認	iən2	
譏	tɕi1	
討	tʰɔu3	
讓	iɑŋ5	
訖	tɕʰi5	
託	tuə3	
訓	ɕyən5	
議	i5	
訊	ɕyən5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei5	
許	ɕy3	
訛	ə2	
論	lən2	~语
論	lən2	议〜
訟	suəŋ5	
諷	fəŋ1	
設	ʃiə3	
訪	fɑŋ3	
訣	tɕyə5	
证	tʃəŋ5	
評	pʰiəŋ2	
識	ʃɿ3	
詐	tsa5	
訴	su5	
診	tʃən3	
詞	tsʰɿ2	
詔	tʃɔu1	
譯	i2	
試	sɿ5	
詩	sɿ1	
誠	tʃʰəŋ2	
誅	tʃy1	
話	xua2	
誕	tan5	
詭	kuei3	
該	kai1	
詳	ʃɑŋ2	
誣	u2	
語	y3	
誤	u5	
誘	iəu5	
説	ʃyə3	
誦	suəŋ5	
請	tʃʰiəŋ3	
諸	tʃy5	
諾	nuə3	
讀	tu2	
課	kʰuə5	
誰	sei2=	
調	tiɔu5	〜动
調	tiɔu5	音〜
諒	liɑŋ5	
談	tʰan2	
誼	i5	
謀	mu2	
諜	tiə2	
謊	xuɑŋ3	
諫	tɕian3	
諧	ɕie2	
謂	uei5	
讒	tsʰan2	
諺	ian2	
謎	mi2	
謝	ʃiə5	
謡	iɔu2	
謗	pɑŋ3	
謙	tɕʰian1	
謹	tɕiən3	
謬	niəu3	
譚	tʰan2	
譜	pʰu3	
谷	ku3	
豁	xuə5	
豆	təu5	
豇	tɕiɑŋ1	〜豆
豌	uan1	
豚	tʰən2	
象	ʃɑŋ5	
豪	xɔu2	
豫	y5	
豹	pɔu5	
豺	tsʰai2	
貂	tiɔu1	
貌	mɔu5	
貝	pei5	
貞	tʃən1	
負	fu5	
貢	kuəŋ5	
財	tsʰai2	
責	tsə2	
賢	ɕian2	
敗	pai2	
賬	tʃɑŋ5	
貨	xuə5	
質	tʃɿ3	
販	fan5	
貪	tʰan1	
貧	pʰiən2	
貶	pian3	
購	kəu1	
貫	kuan5	
貳	ɚ2	〜心
賤	tɕian5	
貼	tʰiə3	
貴	kuei5	
貸	tai5	
貿	mɔu5	
費	fei5	〜用
賀	xuə5	
賊	tsə2	
賈	tɕia3	姓
賄	xuei5	
賃	liən3	租〜
賂	luə5	
贓	tsɑŋ1	
資	tsɿ1	
賒	ʃiə1	
賦	fu5	
贖	ʃy5	
賞	ʃɑŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai2	
贅	tsuei5	
賺	tsuan2	
賽	sai5	
贊	tsan5	
贈	tsəŋ5	
贏	iəŋ1	
赤	tʃʰɿ5	
赦	ʃiə5	
赫	xə5	
走	tsəu3	
赴	fu5	
趙	tʃɔu2	
趕	kan3	
起	tɕʰi3	
趁	tʃʰən1	
超	tʃʰɔu1	
越	yə5	
趨	tʃʰy1	
趟	tʰɑŋ5	一~
趣	tʃʰy5	
足	tsu3	
趴	pʰa1	
趼	tɕian3	
趾	tsɿ3	
躍	iɔu5	大〜进
跌	tiə3	
跑	pʰɔu3	
跛	pə3	
距	tɕy5	
跟	kən1	
跨	kʰua5	
跩	tsuei2	拉
跪	kuei2	
路	lu2	
跳	tʰiɔu5	
跳	tʰiɔu2	〜粮食
踐	tɕian3	
踏	tʰa3	
踒	uə1	
踢	tʰi3	
蹤	tsuəŋ3	
踱	tuə5	
蹄	tʰi2	
躡	nie5	〜脚走
蹭	tsʰəŋ5	磨〜
蹲	tən1	
躁	tsɔu5	
身	ʃən1	
躬	kuəŋ1	
躱	tuə3	
躺	tʰɑŋ3	
輞	uɑŋ3	车〜
車	tʃʰiə1	
車	tɕy1	〜马炮
軋	ia2	被车〜,〜棉花
軌	kuei1	
軒	ɕyan1	
轉	tsuan5	〜眼,〜圈
軛	ə3	
輪	lən2	
軟	yan3	
轟	xuəŋ1	
軸	tsəu2	
輕	tɕʰiəŋ1	
載	tsai5	〜重,满〜
載	tsai3	年〜
轎	tɕiɔu3	
較	tɕiɔu3	
輔	fu3	
輛	liɑŋ3	
輦	nian3	
輩	pei5	
輝	xuei1	
輯	tʃɿ5	(编〜)
輸	ʃy2	〜赢.运〜
轡	pʰei5	
轅	yan2	
轄	ɕia2	管〜
轍	tʃʰiə5	
辛	ʃiən1	
辭	tsʰɿ2	
辣	la5	
辨	pian2	
辯	pian2	
辮	pian2	
辰	tʃʰən1	
辱	y3	
邊	pian1	
遼	liɔu1	
達	ta3	
遷	tɕʰian1	
迂	y1	
迅	ɕyən3	濬~河
過	kuə5	
邁	mai1	
迎	iəŋ1	
運	yən5	
近	tɕiən2	
還	xuan2	〜原
還	xuan3	〜有
進	tɕiən5	
遠	yan3	
違	uei3	
連	lian2	
遲	tʃʰɿ2	
迪	ti2	
迫	pʰə3	
述	ʃy3	
迷	mi2	
迸	pəŋ1	〜裂
迹	tʃɿ3	
追	tsuei1	
退	tʰei5	
送	suəŋ5	
適	ʃɿ5	
逃	tʰɔu2	
逆	i5	顺〜,〜风
選	ɕyan3	
遜	ɕyən3	
透	tʰəu5	
逐	tsu5	
遞	ti5	
逗	təu5	
通	tʰuəŋ1	
逛	kuɑŋ5	
逝	ʃɿ3	
逞	tʃʰəŋ3	
速	su5	
造	tsɔu5	建〜
逢	fəŋ2	
逵	kʰuei2	
逸	i5	
逼	pi5	
逾	y2	
遁	tən1	
遂	sei2	
遇	y2	
遍	pian5	一~,~地
遐	ɕia2	
道	tɔu2	
遺	i5	
遣	tɕʰian1	
遭	tsɔu1	
遮	tʃiə1	
遵	tsən1	
避	pi5	
避	pei5	躲〜
邀	iɔu1	
鄧	təŋ5	
那	na5	
邦	pɑŋ1	
邪	ʃiə2	
郵	iəu1	
邵	ʃɔu5	
鄒	tsəu1	
鄰	liəŋ1	
郁	y5	
郊	tɕiɔu1	
郎	lɑŋ2	
鄭	tʃəŋ5	
郝	xuə3	姓
郡	tɕyən5	
部	pu2	
郭	kuə3	
都	tu1	〜城
都	tʰəu1	〜是
鄂	uə5	
鄙	pi5	
酉	iəu5	
酌	tsuə2	
配	u3	
配	pʰei5	
酒	tʃəu3	
酣	xan1	
酥	su1	
酬	tʃʰəu2	
醬	tʃɑŋ5	
酵	ɕiɔu5	
酷	kʰu3	
酸	san1	
釀	liɑŋ5	
醃	ian1	
醇	tsʰuən2	酒味〜
醉	tsei5	
醋	tɕʰu5	
醒	ʃəŋ3	
醒	ʃiəŋ3	
釉	iəu2	
釋	ʃɿ5	
里	li3	
重	tsʰuəŋ2	〜复
重	tsuəŋ2	轻〜
野	iə3	
量	liɑŋ1	~长短
量	liɑŋ5	数〜
金	tɕiən1	
釜	fu2	
鍾	tsuəŋ1	
鏊	ɔu5	
钁	tɕyə3	〜头.大锄
針	tʃən1	
釘	tiəŋ1	
釣	tiɔu5	
釵	tsʰai1	
鈍	tən2	
鈔	tsʰɔu1	钱〜
钟	tsuəŋ1	
鋼	kɑŋ1	
鋼	kɑŋ1	刀钝了,刚刚
欽	tɕʰiən1	
鈞	tɕyən1	
鉤	kəu1	
錢	tɕʰian2	
鉗	tɕʰian2	
鉢	pə3	
鈸	pə2	
鑽	tsan1	动词
鑽	tsan5	名词
鐵	tʰiə3	
鈴	liəŋ1	
鉛	tɕʰian1	
鉋	pɔu5	
鐸	tuə5	
鐃	nɔu1	
鐺	tsʰəŋ1	
銅	tʰuəŋ2	
鍘	tsa2	〜刀
鏵	xua2	
銘	miəŋ1	
鏟	tsʰan3	
銀	iən5	
鑄	tʃy5	
鋪	pʰu1	〜设
鋪	pʰu5	店〜
銷	ʃɔu1	
鋥	tsəŋ5	〜光
鋤	tɕʰu2	
鍋	kuə1	
鏽	ʃəu5	
鋒	fəŋ1	
鐧	tɕian5	车〜
銳	lei3	
鋦	tɕy3	
錯	tsʰuə5	
錯	tsʰuə5	〜杂
錨	mɔu5	
錛	pən1	
錫	ʃɿ3	
錮	ku5	
鑼	luə1	
錘	tsʰuei2	
錐	tsuei1	
錦	tɕiən3	
錠	tiəŋ5	
鍵	tɕian5	
鋸	tɕy5	
鍬	tʃʰɔu5	
鍛	tan5	
鍍	tu2	
鎮	tʃən5	
鑷	nie5	〜子
鎔	yəŋ2	
鏡	tɕiəŋ5	
镢	tɕyə3	
鐙	təŋ5	鞍〜
鐲	tsuə3	〜子
鐮	lian2	
鑞	la5	
鑲	ʃɑŋ1	
長	tʃʰɑŋ2	〜短
長	tʃɑŋ3	生〜
門	mən1	
閂	suan1	
閃	ɕian3	
閉	pi5	
問	uən5	
闖	tsʰuɑŋ3	
闲	ɕian2	
間	tɕian1	空〜,中〜,〜断,〜或
悶	mən2	
閘	tsa3	
鬧	nɔu5	
閨	kuei1	
聞	uən1	
閩	miən3	
閣	kuə3	
鬮	tɕʰiəu1	抓〜
閲	yə5	
閹	ian1	
閻	ian1	
闊	kʰuə5	
阜	fu5	
隊	tei2	
阮	yan2	
防	fɑŋ2	
陽	iɑŋ1	
陰	iən1	
陣	tʃən5	
階	tɕie1	
阻	tsu2	
阿	ə2	〜胶
附	fu5	
際	tʃɿ3	
隴	luəŋ2	
陳	tʃʰən1	
陘	ɕiəŋ2	
陋	ləu1	
陌	mə5	〜生
降	ɕiɑŋ5	〜伏,投〜
降	tɕiɑŋ5	下〜
限	ɕian5	
陝	ɕian3	〜西
陛	pi3	(陛下)
陡	təu3	
院	yan2	
除	tʃʰy2	
陪	pʰei5	
陵	liəŋ5	
陶	tʰɔu2	
陷	ɕian3	
隆	luəŋ3	
隨	sei2	
隱	iən3	
隔	kə3	
隘	ai3	
障	tʃɑŋ5	保~
隧	sei2	〜道
隶	li5	
難	nan1	〜易
難	nan2	患〜
雀	tʃʰyə2	麻〜
雁	ian5	
雄	ɕyəŋ1	
雅	ia3	
集	tʃɿ5	
雇	ku5	
雉	tʃɿ5	(〜鸡)
雌	tsʰɿ2	
雍	yəŋ1	
雛	tɕʰu2	
雕	tiɔu1	
雨	y3	
雪	ʃyə3	
零	liəŋ1	
雷	lei1	
雹	pa3	
霧	u2	
需	ʃy1	
霄	ʃɔu1	
震	tʃən5	
黴	mei2	
霍	xuə5	
霜	suɑŋ1	
霞	ɕia2	
露	lu2	
霸	pa5	
青	tʃʰəŋ1	
青	tʃʰiəŋ1	
靜	tʃiəŋ5	
非	fei1	
靠	kʰɔu5	
靡	mi5	
面	mian2	
革	kə3	
靴	ɕyə1	
靿	iɔu5	靴〜
鞋	ɕie2	
鞍	an1	
鞘	tʃʰɔu5	刀〜
鞦	tʃʰəu1	
鞭	pian1	
韌	iən3	
韓	xan2	
韭	tɕiəu3	
音	iən1	
韻	yən5	
韶	ʃɔu1	〜关
頁	iə3	
頂	tiəŋ3	
頃	tɕʰiəŋ3	
項	ɕiɑŋ5	
順	suən2	
须	ʃy1	
頑	uan2	
顧	ku5	
頓	tən5	
頒	pan1	
頌	suəŋ5	
預	y5	
領	liəŋ3	
頗	pʰə3	
頸	tɕiəŋ3	
頻	pʰiən2	〜繁
穎	iəŋ3	
顆	kʰuə1	
題	tʰi5	
顔	ian1	
額	ə3	
顛	tian1	
顫	tɕian5	
顴	tɕʰyan2	
風	fəŋ1	
颼	səu1	
飄	pʰiɔu1	
飛	fei1	
食	ʃɿ2	
餐	tsʰan1	
饥	tɕi1	
饥	tɕi1	〜荒
飩	tʰən2	馄〜
飯	fan2	
飲	iən3	〜酒,〜米汤
飲	iən5	〜马
餞	tɕian2	〜行
飾	ʃɿ3	
飽	pɔu3	
飼	sɿ1	
飴	i2	高粱〜
餌	ɚ3	
饒	iɔu1	
餉	ɕiɑŋ3	
餃	tɕiɔu3	~子
餅	piəŋ3	
餑	pə1	面〜
餓	uə2	
餘	y1	
餒	nei3	
餛	xuən2	~钝
餡	ɕian2	
館	kuan3	
餿	səu1	
饞	tsʰan2	
饃	mə1	
餾	liəu3	
饅	man2	
首	ʃəu3	
香	ɕiɑŋ1	
馨	ɕiən1	
騲	tsʰɔu3	
馬	ma3	
馱	tʰuə2	〜起来,〜子
馳	tʃʰɿ2	
驅	tɕʰy1	
駁	pə2	
驢	ly1	
駛	sɿ3	
駒	tɕy1	
駐	tʃy2	
駝	tʰuə2	
駕	tɕia5	
駡	ma2	
驕	tɕiɔu1	
駱	luə5	
駭	xai5	
驗	ian3	
騎	tɕʰi2	
騙	pʰian5	〜马,欺〜
騷	sɔu1	
騾	luə1	
驟	tsəu5	
骨	ku3	筋〜,〜头
髓	sei3	
高	kɔu1	
髻	tɕi5	
鬃	tsuəŋ1	
鬃	suəŋ1	
鬏	tʃəu1	
鬢	piən1	
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰə3	
魘	ian3	
魏	uei5	姓
魔	mə5	
魚	y1	
魯	lu3	
鮎	nian1	〜鱼
鮑	pɔu5	姓,〜鱼
鮮	ɕian1	新〜
鯉	li3	
鰣	ʃɿ2	
鯽	tʃɿ3	
鯨	tɕiəŋ2	
鰓	sai1	
鰭	tɕʰi2	
鰥	kuan1	
鰾	piɔu1	
鱉	piə3	
鱖	kuei5	〜鱼
鱗	liən1	
鳥	niɔu3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	miəŋ2	
鴉	ia3	
鴨	ia3	
鴿	ka3-	
鴿	kə3=	
鸞	lan1	
鴻	xuəŋ2	
鵝	uə1	
鵡	u3	
鵲	tʃʰyə2	喜〜
鷂	iɔu2	〜鹰
鶴	xuə5	
鸚	iəŋ1	〜鹉,〜哥
鷺	lu2	
鷹	iəŋ1	
鹿	lu5	
麝	ʃiə5	
麥	mə5	
麩	fu1	
麻	ma1	
黃	xuɑŋ2	
黍	ʃy3	
黎	li5	
黏	nian1	~米,〜起来
黑	xə3	
默	mə5	
黢	tʃʰy2	〜黑
鼎	tiəŋ3	
鼓	ku3	
鼠	ʃy3	
鼬	iəu2	
鼻	pi2	
鼾	xan2	睡时〜声
齉	nɑŋ5	
齊	tʃʰɿ2	
齒	tsʰɿ3	
龍	luəŋ2	
龕	kʰan3	
龜	kuei1	
