#漢字	音標	解釋
䉪	lui	一種捕魚工具、深䉪,地名
甚	sɐm	
甜	him4	
生	sɐŋ1	
産	tsʰan	
甥	sɐŋ1	
甦	sou1	
用	jʊŋ	
甩	lɐt	
甫	pʰou	台甫
田	hin4	
由	jou4	
甲	kap9	
甲	kap7b	
申	sɐn1	
男	nam4	
甸	tin	
町	tɪŋ1	
町	tɪŋ	町畦
畀	pei	
界	kai1	
畏	wei1	
畔	pun	
留	lou4	
畚	pun	
畜	tsʰʊk	
畝	mou5	
畢	pɐt	
略	liuk	
畦	kʰuei4	
番	fan1	
畫	wa	
畫	wɐk	畫圖
異	ji	
當	tuŋ1	當然
當	tuŋ1	適當
畸	kʰei1	
疆	kiuŋ1	
疇	tsʰu4	
疊	tip	
疏	su1	
疑	ji4	
疚	kɐu1	
疣	jou4	
疤	pa	
疫	jɪk	
疲	pʰei4	
疵	tsʰi	
疹	tsʰɐn	
疼	hɐŋ4	疼痛
疾	tsɐt	
病	pɛŋ	
症	tsɪŋ1	
痊	tsʰyn4	
痕	hɐn4	
痘	tou	
痛	hʊŋ1	
痠	sun1	
痢	lei	
痰	ham4	
痲	ma4	
痴	tsʰi1	
痺	pei1	
瘋	fʊŋ1	
瘍	jiuŋ4	
瘓	wun	
瘖	jɐm1	
瘠	tsɛk7b	
瘡	tsʰuŋ1	
瘤	lou4	
瘦	sou1	
瘧	jiuk	
療	liu4	
癌	ŋam4	
癒	ji	
癟	pit	
癢	jiuŋ1	
癤	tsit7b	
癥	tsɪŋ1	
癩	lai1	
癮	jɐn5	
癱	han1	
癲	tin1	
癸	kuei1	
登	tɐŋ1	
發	fat	長發里,地名
發	fat7b	
白	pɐk	
百	pɐk	百厭
百	pɐk7b	一百
皂	tsau	
的	tɪk	
皆	kai1	
皇	wɐŋ4	
皎	kiu	
皓	hau	
皓	hiu	亮,白讀
皚	ŋui4	
皮	pʰei4	
皰	pʰiu1	
皺	tsou1	
皿	mɪŋ1	
皿	mɪŋ5	
盂	ji4	
盃	pui1	
盆	pʰɐn4	
盆	pʰɐn5	變調
盈	jɪŋ4	
益	jɪk	
盎	ŋuŋ1	
盒	hɐp	
盔	kʰuei1	
盛	sɪŋ4	盛湯
盛	sɪŋ	旺盛
盜	tau	
盞	tsan	
盟	mɐŋ4	
盡	tsɐn	
監	kam1	
盤	pʰun4	
盧	lou4	
盪	tuŋ	
目	mʊk	
盯	tɛŋ1	
盯	tɪŋ1	
盲	mɐŋ4	
直	tsɪk	
相	siuŋ1	
相	siuŋ5	照片
盹	tɐn	
盼	pʰan1	
盾	hɐn5	
省	sɐŋ	廣東省
省	sɪŋ	反省
眇	miu5	
眈	tam1	
眉	mei4	
看	hun1	看守
真	tsɐn1	
眠	min4	
眨	tsam	
眩	jan	
眶	kʰuɐŋ1	
眷	kyn1	
眺	hiu1	
眼	ŋin	
眾	tsʊŋ1	
睇	hi	看
睏	kʰuɐn1	
睛	tsɪŋ1	
睜	tsɐŋ1	
睞	lui	
睡	sui	
督	tʊk	
睦	mʊk	
睪	kau1	睪丸
睪	jɪk	
睫	tsit	
睬	tsʰui	
睹	tou	
睽	kʰuei4	
睾	kau1	
睿	jui	
瞄	miu4	
瞇	mei1	
瞋	tsʰɐn1	
瞌	hɐp	
瞎	hɐt	
瞓	fɐn1	睡覺
瞓	fɐn5	眼瞓
瞞	mun4	
瞟	pʰiu4	
瞠	tsʰɐŋ1	
瞥	pʰit7b	
瞧	tsʰiu4	
瞪	tɐŋ1	
瞬	sɐn1	
瞭	liu	瞭解
瞭	liu	瞭望
瞭	liu	明瞭
瞰	hɐm1	
瞻	tsim1	
瞼	kim	
瞿	kui1	瞿然一驚
瞿	kʰui4	瞿塘峽
矇	mʊŋ4	
矗	tsʰʊk	
矚	tsʊk	
矛	miu4	
矢	tsʰi	
矣	ji5	
知	tei1	知道,白讀
知	tsi1	知識
矩	kui	
短	tun	
矮	ŋei	
矮	ŋi	白讀
矯	kiu	
石	sɛk	
石	sɛk9	變調
石	sɪk	石頭,地名
矽	tsɪk	
砂	sa1	
砌	tsʰei1	
砍	hɐm	
研	jan4	
砝	fat7b	
砧	tɐm5	砧板,白讀
砧	tsɐm5	砧板
砰	pʰɪŋ1	
砲	pʰau1	
破	pʰu1	
砵	put	
砵	put9	變調
砸	tsap	
砸	tsap7b	
硓	lau	
硝	siu1	
硫	lou4	
硬	ŋɐŋ	
硯	jan	
硼	pʰɐŋ4	
碌	lʊk	
碎	sui1	
碎	sui5	變調
碑	pei1	
碗	wun	
碘	tin	
碟	tip	
碧	pɪk7b	
碩	sɛk	
碰	pʰʊŋ1	
碳	han1	
確	kʰuk7b	
碼	ma5	
碾	nin	
磁	tsʰi4	
磅	puŋ	一磅
磅	pʰuŋ4	磅礴
磋	tsʰu1	
磕	hɐp	
磚	tsin1	
磨	mu4	
磨	mu	
磯	kei1	
磷	lɐn4	
磺	wɐŋ4	
礁	tsiu1	
礎	tsʰu	
礙	ŋui	
礦	kʰuɐŋ1	
礫	lɪk	
礴	puk	
示	si	
社	sia5	
祀	tsi	
祂	ha1	
祇	kʰei4	神祇
祇	tsi	同“只有”的“只”
祈	kʰei4	
祉	tsi	
祐	jou	
祕	pei1	
祖	tsou	
祝	tsʊk	
神	sɐn4	
祟	sui	
祠	si4	
祥	tsʰuŋ4	
票	pʰiu1	
票	pʰiu5	變調
祭	tsei1	
祿	lʊk	
禁	kɐm1	禁止
禁	kʰɐm1	禁著
禍	wa	
禎	tsɪŋ1	
福	fʊk	
禤	hyn1	便嬛
禦	ji	
禧	hei1	
禪	sim4	禪師
禪	sin	禪讓
禮	lei5	
禱	hau	
禹	ji5	
禽	kʰɐm4	
禾	wa4	
秃	hʊk	
秀	sɐu1	
私	si1	
秉	pɪŋ	
秋	tsʰɐu1	
科	fu1	
秒	miu5	
秘	pei1	
租	tsou1	
秤	tsʰɪŋ1	地秤
秤	tsʰɪŋ5	
秤	pʰɪŋ4	天秤
秦	tsʰɐn4	
秧	jiuŋ1	
秩	tit	
移	ji4	
稀	hei1	
税	sui1	
稈	kun	
程	tsʰɪŋ4	
稍	sau	
稔	nɐm5	
稚	tsi	
稜	lɪŋ4	
稞	fu1	
稟	pɐn	
稠	tsʰu4	
種	tsʊŋ1	種植
種	tsʊŋ	種子
稱	tsʰɪŋ1	稱呼
稻	tau	
稽	kʰei1	稽首
稽	kʰei	無稽之談
稿	kau	
穀	kʊk	
穆	mʊk	
穌	sou1	
積	tsɪk	
穎	wɪŋ	
穗	sui	
穢	wei1	
穩	wɐn	
穫	wɐk	
穴	jat	
究	kɐu1	
穹	kʰʊŋ4	
空	hʊŋ1	
穿	tsʰyn1	
突	tɐt	
窄	tsɐk	
窈	jau	
窒	tsɐt	
窕	hiu4	
窖	kiu1	
窗	tsʰuŋ1	
窘	kʰuɐn1	
窟	wɐt	
窣	sɐt	
窩	wa1	
窪	wa1	
窮	kʰʊŋ4	
窯	jau4	
窸	sɪk	
窺	kʰuei1	
窿	lʊŋ1	
竄	tsʰun	
竅	kʰiu1	
竇	tou	
竈	tsau1	
竈	tsau5	變調
竊	sit7b	
立	lɐp	
竑	wɐŋ4	
站	tsam	
竟	kɪŋ	
章	tsiuŋ1	
竣	tsɐn1	
童	hʊŋ4	
竭	kʰit7b	
端	tun1	
競	kɪŋ	
竹	tsʊk	
竺	tsʊk	
竿	kun1	
笆	pa	
笑	siu1	
笙	sɐŋ1	
笛	tɛk	
笠	lɐp	
符	fu4	
笨	pɐn	
第	tei	
筆	pɐt	
等	tɐŋ	
筋	kɐn1	
筍	sɐn	
筏	fɐt	
筐	huŋ1	
筑	tsʊk	
筒	hʊŋ4	
答	tap7b	
策	tsʰɐk7b	
筵	jan4	
筷	fai1	
箋	tsin1	
箍	kʰu1	
箏	tsɐŋ1	
箔	puk	
箕	kei1	
算	sun1	
管	kun	
箬	jiuk	
箭	tsin1	
箱	siuŋ1	
箱	siuŋ4	
節	tsit	
節	tsit7b	
範	fan	
篇	pʰin1	
築	tsʊk	
篙	kau1	
篛	jiuk	
篝	kʰou1	
篤	tʊk9	
篤	tʊk	
篩	sei1	
篷	pʰʊŋ4	
篾	mit	
簇	tsʰʊk	
簍	lou4	
簑	su1	
簕	lɐk	植物的刺
簕	lɐk	簕菜茶
簡	kan	
簧	wɐŋ4	
簫	siu1	
簷	sim4	
簸	pu1	
簽	tsʰim1	
簽	tsʰim5	牙簽,變調
簾	lim4	
簿	pou	
籃	lam4	
籌	tsʰu4	
籍	tsɪk	
籐	hɐŋ4	
籟	lai	
籠	lʊŋ4	
籤	tsʰim1	
籤	tsʰim5	牙籤,變調
籬	lei4	
籮	lu4	
籲	ji	
米	mei	
籽	tsi	
粄	pan	
粉	fɐn	
粑	pa	
粒	nɐp	
粕	pʰuk7b	
粗	tsʰou1	
粘	tsim1	
粟	sʊk	
粥	tsʊk	
粱	liuŋ4	
粤	jat	
粹	sui	
糉	tsʊŋ	
糉	tsʊŋ5	
精	tsɛŋ1	好精,白讀
精	tsɪŋ1	
粿	kua	
糊	wu4	
糍	tsʰei4	丸糍、團糍
糕	kau1	
糖	huŋ4	
糗	tsʰɐu1	
糙	tsʰau1	
糜	mei4	
糞	fɐn	
糟	tsau1	
糧	liuŋ4	
糬	si4	
糯	nu	
糰	hin4	
系	hei	
糾	tou	
糾	kɐu	糾正
紀	kei	
紂	tsu	
約	jiuk7b	
紅	kʊŋ1	女紅
紅	hʊŋ4	紅色
紉	jɐn	
紊	mɐn1	
紊	mɐn5	
紋	mɐn4	
納	nap	
紐	nou	
紓	si1	
純	sɐn4	
紗	sa1	
紙	tsi	
級	kʰɐp	
紛	fɐn1	
素	sou1	
紡	fɐŋ	
索	suk	
索	suk7b	
紫	tsi	
紮	tsat7b	
累	lui4	果實累累,同“纍”
累	lui	累積
細	sei1	
細	sei5	細佬、老細,變調
紳	sɐn1	
紹	siu	
終	tsʊŋ1	
絃	jan4	
組	tsou	
絆	pun	
結	kit7b	
結	kit	
絶	tsyt	
絛	hau1	
絞	kiu	
絡	luk	
絢	hyn1	
給	kʰɐp7b	
絨	jʊŋ4	
絮	sui1	
統	hʊŋ	
絲	si5	絲襪,變調
絲	si1	絲瓜
絹	kyn1	
綁	puŋ	
綏	sui1	
綑	kʰuɐn	
經	kɪŋ1	
綜	tsʊŋ1	
綠	lʊk	
綢	tsʰu4	
維	wei4	
綱	kuŋ1	
網	muŋ	
綴	tsui	點綴
綴	tsyt7b	綴足
綵	tsʰui	
綸	kuan1	綸巾
綸	lɐn4	垂綸
綺	ji	
綻	tsan	
綽	tsʰiuk7b	
綽	tsʰuk7b	
綿	min4	
緊	kɐn	
緖	sui1	
緖	sui5	
緘	kam1	
線	sin1	
緝	tsʰɐp	
緞	tun	
締	tei1	
緡	mɐn5	
緣	jan4	
編	pʰin1	
緩	wun	
緬	min5	
緬	min1	
緯	wei	
練	lin	
緻	tsi1	
縈	jɪŋ4	
縊	ŋei1	
縐	tsou1	
縛	puk7b	
縣	jan	
縫	fʊŋ4	
縮	sʊk	
縱	tsʊŋ1	縱橫
縴	hin1	
縷	lui1	
縷	lui5	
總	tsʊŋ	
績	tsɪk	
繁	fan4	
繃	pɐŋ1	繃帶
繆	mɐu4	未雨綢繆
繆	mɐu	繆論
織	tsɪk	
繕	sin	
繚	liu4	
繞	jau	
繡	sɐu1	
繩	sɪŋ4	
繪	kʰui	
繫	hei	
繭	kan	
繳	kiu	
繹	jɪk	
繼	kei1	
繽	pɐn1	
續	tsʊk	
纍	lui	
纏	tsʰin4	
纖	tsʰim1	
纜	lam	
缸	kuŋ1	
缸	kuŋ5	變調
缺	kʰyt7b	
缽	put	
缽	put9	變調
罄	hɪŋ1	
罅	la1	縫隙
罅	la5	變調
罈	ham4	
罌	ŋɐŋ1	
罐	kun1	
罐	kun5	變調
罕	hun	
罷	pa	
罩	tsau1	
罩	tsau5	
罪	tsui	
置	tsi1	
罰	fɐt	
署	tsʰi5	
罵	ma	
罷	pa	
罹	lei4	
羅	lu4	
羊	jiuŋ4	
羌	kiuŋ1	
美	mei5	
羔	kau1	
羚	lɪŋ4	
羞	sɐu1	
群	kʰuɐn4	
羨	sin	
義	ji	
羲	hei1	
羹	kɐŋ1	
羽	ji5	
羿	ŋei	
翁	jʊŋ1	
翅	tsʰi1	
翌	jɪk	
習	tsap	
翔	tsʰuŋ4	
翠	tsʰui1	
翡	fei	
翦	tsin	
翩	pʰin1	
翰	hun	
翱	ŋau4	
翹	kʰiu1	翹起
翹	kʰiu4	翹首
翻	fan1	
翼	jɪk	
耀	jau	
老	lau	
考	hau	
者	tsia	
而	ji4	
耍	sa	
耐	nui	
耒	lui5	
耕	kɐŋ1	
耗	hau1	
耘	wɐn4	
耙	pʰa4	
耜	tsi	
耳	ji	
耶	ja4	
耽	tam1	
耿	kɐŋ	
聆	lɪŋ4	
聊	liu4	
聒	kʰut7b	
聖	sɪŋ1	
聘	pʰɪŋ1	
聚	tsʰou1	聚錢,存錢
聚	tsui	
聞	mɐn4	
聯	lin4	
聰	tsʰʊŋ1	
聲	sɛŋ1	白讀
聲	sɪŋ1	聲樂
聳	sʊŋ	
聶	nip	
聶	nip	姓氏
職	tsɪk	
聽	hɛŋ1	聽力,白讀
聽	hɪŋ1	聽任
聾	lʊŋ4	
肅	sʊk	
肆	sei1	四的大寫
肆	si1	肆意
肇	siu	
肉	jʊk	
肋	lɐk	
肌	kei1	
肖	tsʰiu1	肖像
肖	siu1	
肘	tsau	
肚	tou	
肛	kuŋ1	
肝	kun1	
股	ku	
肢	tsi1	
肥	fei4	
肨	pun	
肩	kin1	
肪	fɐŋ1	
肫	tsɐn1	
肯	hɐŋ	
肱	kuɐŋ1	
育	jʊk	
肴	ŋiu4	
肺	fei1	
胃	wei	
背	pui1	背後
背	pui5	尾背,變調
背	pui	背書
胎	hui1	
胖	pun	肥胖
胖	pʰun4	心廣體胖
胚	pʰui1	同“坯”
胝	tsi1	
胞	piu1	
胡	wu4	
胰	ji4	
胱	kuɐŋ1	
胳	kɐk7b	
胸	hʊŋ1	
胼	pʰin4	
能	nɐŋ4	
脂	tsi1	
脅	hip7b	
脆	tsʰui1	
脉	mɐk	
脊	tsɛk7b	
脖	put	
脣	sɐn4	
脩	sɐu1	
脱	hut7b	
脯	pʰou	肉脯
脹	tsiuŋ1	
脾	pʰei4	
腆	hin	
腋	jɪk	
腎	sɐn	
腐	fu	
腔	huŋ1	
腕	wun	
腥	sɛŋ1	白讀
腥	sɛŋ5	變調
腥	sɪŋ1	
腦	nau	
腩	nam5	牛腩
腩	nɐm5	肚腩
腫	tsʊŋ	
腮	sui1	
腰	jau1	
脚	kiuk7b	
脚	kiuk	水腳(旅費)
脚	kiuk9	湯腳(湯渣)
腸	tsʰiuŋ4	
腹	fʊk	
腺	sin1	
腿	hui	
膀	puŋ	肩膀
膀	pʰuŋ4	膀胱
膊	puk7b	
膏	kau1	
膚	fu1	
膛	huŋ4	
膜	mou4	膜拜
膜	muk	薄膜
膝	sɐp	
膠	kiu1	
膨	pʰɐŋ4	
膩	nei	
膽	tam	
膾	kʰui	
膿	nʊŋ4	
臀	hɐn4	
臂	pei1	
臂	pei5	地名,杜臂,變調
臉	lim1	
臉	lim5	
臍	tsʰi4	
臏	pɐn1	
臘	lap	
臟	tsuŋ	
臣	sɐn4	
臥	ŋu	
臨	lɐm4	
自	tsi	
臭	tsʰu1	
至	tsi1	
致	tsi1	
臺	hui4	
臼	kʰɐu1	
舀	jau	
舂	tsʊŋ	
舅	kʰɐu1	
與	ji4	參與
與	ji	我與你
興	hɪŋ1	
舉	kui	
舊	kɐu	
舌	sit	
舍	sia1	舍人
舍	sia	舍生取義
舍	sia5	宿舍
舐	sai5	
舒	si1	
舔	him	
舛	tsʰyn	
舜	sɐn1	
舞	mou	
舞	mou5	
舟	tsu1	
航	huŋ4	
般	pun1	
舵	hu4	
船	san4	
舺	kap7b	
艇	hɛŋ1	
艇	hɛŋ5	又音
艋	mɐŋ5	
艘	sou	
艙	tsʰuŋ1	
艦	lam	
良	liuŋ4	
艱	kan1	
色	sɪk	
艾	ŋai	
芋	wu	
芋	wu5	變調
芒	muŋ1	芒果
芒	muŋ4	光芒
芙	fu4	
芝	tsi1	
芡	him1	
芥	kai1	
芬	fɐn1	
芭	pa	
芯	sɐm1	
芯	sɐm5	變調
花	fa1	
芳	fɐŋ1	
芸	wɐn4	
芹	kʰɐn4	
芽	ŋa4	
芾	fɐt	芾芾
芾	fei1	蔽芾
苑	jan	
苔	hui4	
苗	miu4	
苙	lɐp	
苛	hu1	
苞	piu1	
苟	kou	
若	ja5	般若
若	jiuk	假若
若	niuk9	你哋
苦	fu	
英	jɪŋ1	
苻	fu4	
茁	tsyt7b	
茂	mou	
范	fan	
茄	ka	
茄	kʰia5	茄瓜
茅	miu4	
茉	mut	
茨	tsʰi4	
茫	muŋ4	
茱	tsi1	
兹	tsʰi4	龜茲,國名
兹	tsi1	在茲
茵	jɐn1	
茶	tsʰa4	
茸	jʊŋ4	
茹	ji4	
茼	hʊŋ4	
草	tsʰau	
荆	kɪŋ1	
荐	tsin1	
荒	fɐŋ1	
荳	tou	
荷	hu4	荷花
荷	hu	負荷
荻	tɪk	
荼	hou4	如火如荼
荼	si1	神荼
莉	lei	
莊	tsuŋ1	
莎	sa1	
莒	kui	
莓	mui4	
莖	kɪŋ1	
莢	kap7b	
莫	muk	
莽	muŋ	
菁	tsɪŋ1	
菇	ku1	
菊	kʊk	
菌	kʰuɐn	
菖	tsʰiuŋ1	
菜	tsʰui1	
菟	hou1	
菠	pu1	
菠	pu	
菩	pʰou4	
菩	pʰu4	菩薩
菫	kɐn	
華	wa4	中華
華	wa	華山
菱	lɪŋ4	
菲	fei1	
菸	jan1	
萃	sui	
萄	hau4	
萊	lui4	
萋	tsʰei1	
萌	mɐŋ4	
萍	pʰɪŋ4	
萎	wei	枯萎
萬	man	
萸	ji4	
落	lai	落低
落	luk	上落、落下
落	luk	角落
葆	pau	
葉	jap	
著	tsi1	顯著
著	tsiuk	著涼
著	tsiuk7b	著衫
葚	sɐm	
葛	kut9	粉葛,變調
葛	kut7b	
葡	pʰou4	
董	tʊŋ	
葦	wei	
葦	wei5	
葫	wu4	
葬	tsuŋ1	
葵	kʰuei4	
蒂	tei1	
蒐	sou	
蒙	mʊŋ4	
蒜	sun1	
蒜	sun5	蒜子,變調
蒲	pʰou4	
蒸	tsɪŋ1	
蒼	tsʰuŋ1	
蒿	hau1	
蓄	tsʰʊk	
蓆	tsɛk	涼蓆
蓆	tsɛk9	又音
蓆	tsɪk	
蓉	jʊŋ4	
蓊	jʊŋ	
蓋	kui1	杯蓋
蓋	kui5	變調
蓋	kʰui1	覆蓋
蓑	su1	
蓓	pʰui5	
蓬	fʊŋ4	蓬江
蓬	pʰʊŋ4	
蓮	lin4	
蔑	mit	
蔓	man4	蔓菁
蔓	man	藤蔓
蔔	pɐk	
蔗	tsia1	
蔚	wei1	
蔡	tsʰui1	
蔣	tsiuŋ	
葱	tsʰʊŋ1	
葱	tsʰʊŋ5	變調
蔬	su1	
蔭	jɐm1	
蔭	jɐm	
蔻	kʰou1	
蔽	pei1	
蕃	fan4	
蕉	tsiu1	
蕊	jui5	
蕙	wei	
蕨	kʰyt7b	
蕩	tuŋ	
蕪	mou4	
蕭	siu1	
蕾	lui5	
薄	puk	
薇	mei4	
薑	kiuŋ1	
薔	tsʰiuŋ4	
薛	sit7b	
薦	tsin1	
薩	sat7b	
薪	sɐn1	
薯	si4	
薰	fɐn1	
藉	tsɪk	
藍	lam4	
藏	tsʰuŋ4	收藏
藏	tsuŋ	寶藏
藕	ŋou5	
藝	ŋei	
藤	hɐŋ4	
藥	jiuk	
藥	jiuk9	變調
藩	fan4	
藷	si4	藷蕷
藷	tsi1	藷蔗
藹	ŋui	
藺	lɐn	
藻	tsau	
蘆	lou4	
蘇	sou1	
蘊	wɐn1	
蘊	wɐn5	
蘋	pʰɪŋ4	
蘚	sin	
蘭	lan4	
蘸	tsam1	
蘿	lu4	
虎	fu	
虐	jiuk	
虔	kʰin4	
處	tsʰi1	
處	tsʰui	處理
處	tsʰui5	四處
虚	hui1	
虜	lou1	
虜	lou5	
虞	ji4	
號	hau4	哀號
號	hau	號碼
虧	kʰuei1	
虹	hʊŋ4	
蚊	mɐn1	蚊赧
蚊	mɐn5	本調
蚊	mɐn4	
蚌	pʰuŋ5	
蚓	jɐn5	
蚜	ŋa4	
蚣	kʊŋ1	
蚤	tsau	
蚪	tou	
蚯	jou1	
蚱	tsɐk	
蚵	hu4	
蛀	tsi1	
蛆	tsʰui1	
蛇	ji4	委蛇
蛇	sia4	毒蛇
蛉	lɪŋ4	
蛋	tan	
蛙	wa1	
蛛	tsi1	
蛟	kiu1	
蛤	kap7b	蛤拐
蛤	kɐp	
蛤	ha1	蛤蟆
蛹	jʊŋ	
蜕	hui1	
蛾	ŋu4	
蜀	sʊk	
蜂	fʊŋ1	
蜈	m̩4	
蜋	luŋ4	
蜍	tsʰui4	
蜒	jan4	蜿蜒
蜓	hɪŋ4	
蜘	tsi1	
蜜	mɐt	
蜢	mɐŋ	
蜥	sɪk	
蜴	jɪk	
蜷	kʰyn4	
蜻	tsʰɪŋ1	
蜿	jan1	
蜿	jan	蜿蟺
蝌	fu1	
蝕	sɪk	侵蝕
蝕	sit	蝕本
蝙	pʰin1	
蝟	wei	
蝠	fʊk	
蝦	ha1	蝦蟆
蝦	ha5	蝦米
虱	siat	
蝴	wu4	
蝶	tip	
蝸	wa1	
螂	luŋ4	
螃	pʰuŋ4	
融	jʊŋ4	
螞	ma1	螞螂
螞	ma5	
螞	ma	螞蟻
螞	ma	
螟	mɪŋ4	
螢	jɪŋ4	
螯	ŋau4	
螳	huŋ4	
螺	lu4	
螽	tsʊŋ1	
蟀	sɐt	
蟄	tsɐt	
蟆	ma4	
蟋	sɪk	
蟑	tsiuŋ1	
蟒	muŋ	
蟠	pʰun4	
蟬	sim4	
蟯	jau4	
蟲	tsʰʊŋ4	
蟹	hai	
蟹	hai5	
蟻	ŋei	
蟾	sim4	
蠅	jɪŋ4	
蠔	hau4	
蠕	ji4	
蠟	lap	
蠢	tsʰɐn	
蠣	lei	
蠵	kʰuei4	
蠶	tsʰam4	
蠻	man4	
血	hyt7b	
行	hɐŋ4	步行
行	hɐŋ	品行
行	huŋ4	銀行
行	huŋ	行行
衍	jan	
術	sɐt	
街	kai1	
街	kai5	
衙	ŋa4	
衛	wei	
衝	tsʰʊŋ	
衡	hɐŋ4	
衣	ji1	
表	piu	
衫	sam1	
衰	tsʰui1	齊衰
衰	sui1	衰老
衷	tsʰʊŋ1	
袁	jan4	
袋	tui	
袍	pʰau4	
袒	han	
袖	tsɐu	
被	pei	被動
被	pʰei5	被席
袱	fʊk	
裁	tsʰui4	
裂	lit7b	
裏	lei	裏村,地名
裏	lei5	衣裏
裏	lui5	夜裏
裔	jui	
裕	ji	
裙	kʰuɐn4	
補	pou	
裝	tsuŋ1	
裡	lei	裡村,地名
裡	lei5	衣裡
裡	lui5	夜裡
裳	siuŋ4	
裸	lu	
裹	kua	
製	tsei1	
褂	kua1	
複	fʊk	
褐	hut7b	
褒	pau1	
褓	pau	
褥	jʊk	
褪	hɐn1	褪落來
褪	hui1	褪色
褲	fu1	
褲	fu5	變調
褶	tip	
褶	tsip7b	皺褶
襁	kʰiuŋ5	
襄	siuŋ1	
襖	ŋau1	
襟	kʰɐm1	
襪	mɐt	
襬	pai	
襯	tsʰɐn1	
襲	tsap	
西	sei1	
要	jau1	
覆	fʊk	
覈	hɐt	
見	kin1	看見
見	jan	發見
規	kʰuei1	
覓	mɪk	
視	si	
親	tsʰɐn1	
覷	tsʰui1	
覺	kiu1	睡覺
覺	kuk	
覺	kuk7b	
覽	lam5	
觀	kun1	
角	kuk9	角仔
角	kuk	
角	kuk7b	直角
觔	kɐn1	
解	kai1	解款
解	kai	解決
解	hai	姓解
觸	tsʊk	
言	jan4	
訂	tɛŋ	落訂,白讀
訂	tɪŋ1	
計	kei1	
訊	sɐn1	
訌	hʊŋ4	
討	hau	
訓	fɐn1	
訕	san1	
託	huk7b	
記	kei1	
訛	ŋu4	
訝	ŋa	
訟	tsʊŋ	
訣	kʰyt7b	
訪	fɐŋ	
設	tsʰit7b	
許	hui	
訴	sou1	
診	tsʰɐn	
註	tsi1	
詁	ku	
詐	tsa1	
評	pʰɪŋ4	
詞	si4	
詠	wɪŋ	
詢	sɐn1	
試	si1	
詩	si1	
詫	tsʰa1	
詭	kuei	
詮	tsʰyn4	
話	wa	
該	kui1	
該	kʰai5	這
該	kʰɐt9	這
詳	tsʰuŋ4	
詹	tsim1	
誇	kʰua1	
誌	tsi1	
認	jɪŋ	
誓	sei	
誕	tan1	
誘	jou1	
誘	jou5	又音
語	ji5	語言
語	ji	不以語人
誠	sɪŋ4	
誡	kai1	
誣	mou4	
誤	m	
誦	tsʊŋ	
誨	fui1	
説	jat	
説	siat7b	
説	sui1	
誰	sui4	
課	fu1	
誼	ji4	
調	tiu	調動
調	hiu4	調味
諂	tsʰim	
諄	tsɐn1	
談	ham4	
請	tsʰɛŋ	白讀
請	tsʰɪŋ	
諍	tsɐŋ1	
諒	liuŋ	
論	lɐn4	論語
論	lɐn	討論
諛	ji4	
諦	tei1	
諧	hai4	
諫	kan1	
諭	ji	
諮	tsi1	
諱	wei	
諳	ŋɐm1	
諷	fʊŋ	
諸	tsi1	
諺	jan	
諾	nuk	
謀	mou4	
謂	wei	
謊	fɐŋ1	
謎	mei4	
謐	mɐt	
謔	jiuk	
謙	him1	
講	kuŋ	
謝	tsia	
謡	jau4	
謬	mɐu	
謳	ŋou1	
謹	kɐn	
譁	wa1	
證	tsɪŋ1	
譏	kei1	
識	sɪk	認識
識	tsi1	默而識之
譚	ham4	
譜	pʰou	
警	kɪŋ	
譬	pʰei1	
譯	jɪk	
議	ji1	
譴	hin	
護	wu	
譽	ji	
讀	tou	句讀
讀	tʊk	朗讀
變	pin1	
讓	jiuŋ	
讚	tsan1	
谷	kʊk	山谷
谷	jʊk	吐谷渾
谷	lʊk	谷蠡王
谿	kʰei1	
豁	fut7b	又音
豁	kʰut7b	
豆	tou	
豈	hei	
豊	lei5	
豎	si	
豐	fʊŋ1	
豔	jam	
豚	hɐn4	
象	tsiuŋ	
豪	hau4	
豫	ji	
豬	tsi1	
豹	pʰiu1	
貂	tiu1	
貌	miu	
猫	miu	
貝	pui1	
貞	tsɪŋ1	
負	fu	
財	tsʰui4	
貢	kʊŋ1	
貧	pʰɐn4	
貨	fu1	
販	fan1	
貪	ham1	
貫	kun1	
責	tsɐk	
貯	tsʰi1	
貯	tsʰi5	
貳	ji	
貴	kuei1	
貶	pin	
買	mai1	螞蚱
貸	hai1	
費	fei1	
貼	hip7b	
貽	ji4	
貿	mou	
賀	hu	
賂	lou	
賄	kʰui	
賅	kui1	
資	tsi1	
賈	ka	姓賈
賈	ku	商賈
賊	tsʰɐk9	
賊	tsʰɐk7b	
賑	tsɐn1	
賓	pɐn1	
賜	tsʰi1	
賞	siuŋ	
賞	suŋ	
賠	pʰui4	
賢	jan4	
賣	mai	
賤	tsin	
賦	fu1	
質	tsɐt	物質
質	tsi	人質
賬	tsiuŋ1	
賭	tou	
賴	lai	
賺	tsan	
購	kʰou1	
賽	tsʰui1	
贅	tsui	
贈	tsɐŋ	
贊	tsan1	
贏	jɛŋ4	
贏	jiuŋ4	
贓	tsuŋ1	
贖	sʊk	
敗	pai	
赤	tsʰɛk	又音
赤	tsʰɛk7b	
赤	tsʰɪk	赤小豆
赦	sia1	
赫	hɐk	
走	tsou	
赳	kɐu	
赴	fu	
起	hei	
趁	tsʰɐn1	
超	tsʰiau1	
越	jat	
趕	kun	
趙	tsiu	
趟	huŋ1	
