#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
照	tsiau5	
煩	vaŋ2	
煮	tsu3	
熄	sik7	
熊	hioŋ2	
熏	huŋ1	
熟	siak8	
熬	ŋau2	
熱	zua2	
熱	jiɛk8	
燈	tiŋ1	
燒	siau1	
燒	sio1	
燕	i6	
燕	iɛŋ5=	
營	ia2	
燭	tsiak7	
爐	lɛu2	
爛	nua1	
爬	niau2	訓
爬	pɛ2	白）pʰa22（文
爭	tsiŋ1	
爺	jiɛ3	
爽	suaŋ3	
牆	tsʰio2	
片	pʰiɛŋ5	
牌	pai2	
牙	ŋɛ2	
牙	ia2=	
牛	vu2	
牛	niu2=	
牢	lo2	
物	mi4-	
物	wiɛk7	
特	tik8	
牽	kʰaŋ1	
犁	loi2	
犁	li2=	
犧	hi1	
犯	vaŋ4	
狂	kʰuaŋ1	
狗	kau3	
狹	oi4	
狹	hiap7=	
狼	laŋ2	
猛	mɛ3	
猛	miŋ3=	
猴	hau2	
猴	kau3	
猾	kuk8	
獨	tok8	
獵	liap8	
獻	hiɛŋ5	
玉	jiak8	
玉	jiok7=	
王	hiaŋ2	
班	paŋ1	
現	hiɛŋ6	
現	hiŋ6	
球	kʰiu2	
琴	kʰim2	
瑞	sui4	
瓊	kʰioŋ2	
瓜	kuɛ1	
瓤	no2	
瓦	hia4	
瓦	wa2(文)	
瓶	pʰiŋ2	
瓷	tsʰu2	
甘	kam1	
甜	tiam2	
生	sɛ1	
產	saŋ3	
用	jioŋ4	
田	tsʰaŋ2	
甲	ka6	
男	nam2	
界	kai5	
留	lau2	
畜	tsok7	～牧
畝	mɛu4	
畫	hua6	
疊	tʰa4	
疑	ŋi2	
疤	va6	
疤	pa1	
病	pɛ1	
痕	huŋ2	
痛	tʰia5	
痣	ki5	
痣	tsi6=	
痰	tam4	
瘡	tsʰo1	
瘦	saŋ3	
癡	tsʰi6	
癢	tsio2	
癬	siɛŋ3	
發	vak7	
白	pɛ4	
百	pɛ6	
皮	pʰuɛ2	
皺	niau4	
盆	pʰuŋ2	
盞	tsaŋ3	
盡	tsiɛŋ4	
盤	pua2	
目	mak8	
目	mok7=	
直	tiɛk8	
省	sɛŋ3	
眉	vai2	
看	kʰaŋ6	～見
看	kʰua6	～見
真	tsʰiɛŋ1	
眼	ŋai3	
眾	tsoŋ5	
瞑	mɛ2	
矛	mau2	
知	tsai1	
短	tɛ3	
矮	oi3	
石	tsiɔ4	
破	pʰua5	
硬	ŋɛ4	
碎	tsʰui5	
碑	pui1	
碗	ua3	
磁	tsʰu2	
磚	tsui1	
磨	vua2	動詞
磨	mo1	米加工成粉的工具
礙	ŋai1	
礦	kuaŋ5	
示	si4	
社	sia6	
社	sɛ6=	
祖	tsɛu3	
神	siɛŋ2	
祠	tsʰu2	
祭	tsoi5	
祭	tsi6	
禁	kim5	～止
禍	huɛ4	
禍	ho6	
福	hok7	
禮	loi3	
禮	li3=	
禾	ta2	訓
禾	ho2	
私	su1	
秋	tsʰiu1	
秒	miau3	
租	tsɛu1	
租	tsu6=	
秤	tsʰiɛŋ5	～杆
秧	o1	
移	ji2	
稅	suɛ5	
稅	sui6=	
程	tsʰiŋ2	
稗	pʰoi1	
稻	tiu4	
稿	ko3	
稿	kau3=	
穀	tsʰiak7	
穴	hik7	
空	kʰaŋ1	～虛
空	kʰoŋ1=	～虛
穿	tsʰuaŋ1	
突	tuk7	
窗	tʰiaŋ1	
窮	kʰioŋ2	
窯	io2	
站	tsʰam4	車～
章	tsiaŋ1	
端	tuaŋ1	
竹	tip7	
笑	tsʰio3	
笛	tik8	
笠	lip7	
笠	loi4-	
符	peu2	
符	hu2=	
笨	puŋ3	
第	toi4	
筆	piɛk7	
等	taŋ3	
筋	kiɛŋ1	
筍	suŋ3	
筐	kʰiaŋ1	
答	tap7	
箍	kʰɛu1	
箍	ku1=	
算	sui5	
管	kua3	
箭	tsi5	
箱	sio1	
箸	tu1	
節	tsoi6	
節	tsiɛk7=	
篩	tʰai1	
簍	lui6	
簫	siau1	
簷	siam2	
簽	tsʰiam1	
簿	pʰɛu4	賬～
簿	pu6=	賬～
籃	na2	
籠	loŋ2	
米	vi3	
米	mai6	
粒	liap8	
粒	lip7=	
粗	tsʰɛu1	
粘	tsiam1	～性
粘	nak7	（訓）～性
粟	siak7	
粥	tsok7	
糉	tsaŋ5	
精	tsiŋ1	
糖	tʰo2	
糞	puŋ5	
糟	tsau1	
糠	kʰo1	
糧	lio2	
糯	tsuk8	訓“秫”
糯	no4	
系	hi6	聯～
糾	kiu3	
約	iok7	
紅	aŋ2	
納	nap7	
紐	niu4	
純	suŋ2	
紙	tsua3	
級	kʰip7	
紡	vaŋ3	
紫	tsʰu5	
細	si6	
紹	siau4	
終	tsoŋ1	
結	kiɛk7	
絕	tsiɛk8	
絨	jioŋ2	
絲	si1	
綁	pak7	
經	kiŋ1	
綠	liak8	
綢	tiu2	
網	maŋ4	
緊	kiɛŋ3	
線	sua5	
緞	tuaŋ6	
緣	jiɛŋ2	
縣	kuai1	
縫	hoŋ2	裁～
織	tsik7	
繡	siu5	
繩	so6	
繳	kiau3	
續	sok8	
纏	tsʰiɛŋ2	
缺	kʰi6	
罩	tsau5	
罪	tsui4	
罰	huak8	
罵	mɛ1	
罵	ma6=	
羊	io2	
美	mui3	
美	hiɛŋ3	訓
翁	aŋ1	
翁	oŋ1=	
習	tsip7	
翻	huaŋ1	
耀	iau6	
老	lau3	
考	kʰau3	
而	lu2	
耙	pɛ2	犁～
耳	lu2=	
耳	hi4	
聲	sia1	
聽	tʰia1	～見
肅	sok7	
肉	hip8	
肚	tɛu3	豬～
肚	teu3	腸～
肝	ko1	
肥	pui2	
肥	pʰui2	
肩	kiɛŋ1	
肯	kʰiɛŋ3	
肺	hui5	
胃	ui4	
背	pui6	～脊
胡	heu2	
胡	hu2=	
胸	hiaŋ1	
能	nɛŋ2	
脈	vɛ4	
脊	tsik7	
脫	tʰui5	
腎	siɛŋ4	
腦	nau4	
腫	tsiaŋ3	
腰	io1	
腳	kʰa1	訓“骹”
腸	to2	
腿	tʰui3	
膜	mo4	
膽	ta3	
膿	naŋ2	
臘	liap7	
自	tsu4	
臭	tsʰiau5	
臺	tʰai2	
舀	tʰam1	
舂	tsiaŋ1	
舅	ku4	
興	hiŋ1	～旺
興	hiŋ5	高～
舊	ku1	
舌	tsi4	
舍	sia3	～不得
