#漢字	音標	解釋
钁	kiɔk7	~锄:锄头
表	piu3	~里
表	piu1	手~
衫	sam1	
襯	tsʰɐn1	
衰	sui1	
衷	tsuŋ1	
袁	in2	
襖	au5	
袋	tʰui6	
袍	pʰau2	
袖	tsʰɐu6	
袜	mat8	
被	pʰi5	
襲	tsʰɐp8	
裁	tsʰai2	
裂	lit8	
裝	tsɔŋ1	
襠	tɔŋ5	
裕	i6	
裘	kʰɐu2	
裙	kʰɐn2	
褲	fu5	
襇	kan1	
裳	sɔŋ2	
裴	pʰui5	
裸	lɔ3	
裹	kɔ3	
裹	kiɔ2	又
褒	pau5	
褚	tsi5	
褥	iuk8	
褪	tʰui5	
褶	tsʰɐp8	
襄	sɔŋ1	
襟	kʰɐm1	
西	sɐi1	
要	iu5	
覆	fuk8	
見	kin5	
觀	kun1	
規	kʰɐi1	
覓	min5	
視	si6	
覽	lam5	
覺	kau3	睡~
覺	kɔk7	知~
角	kɔk7	
解	kai3	
觸	tsʰuk7	
言	in2	
譽	i6	
謄	tʰɐŋ2	
誓	sɐi6	
警	kɐŋ3	
譬	pʰi1	
計	kɐi5	
計	kɐi3	鬼~:方法,点子
訂	tɐŋ5	
訃	pʰɔk7	
認	iɐŋ6	
譏	ki1	
訌	huŋ5	
討	tʰau3	
讓	iɔŋ6	
訖	hat7	
訓	fɐn5	
議	i5	
訊	sɐn5	
記	ki5	
講	kɔŋ3	
諱	vɐi5	
許	hi3	
論	lɐn6	
訟	tsʰuŋ6	
諷	fuŋ3	
設	sit7	
訪	fɔŋ3	
訣	kʰit7	
證	tsɐŋ5	
評	pʰɐŋ2	
識	sɐk7	
詐	tsa5	
訴	su5	
診	tsɐn3	
詞	tsʰi2	
詔	tsiu5	
譯	iɐk8	
試	si5	
詩	si1	
誠	sɐŋ2	
誅	tsi1	
話	va6	
誕	tan5	
詭	kɐi3	
該	kʰui1	
詳	tsʰiɔŋ2	
誣	mu2	
語	i5	
誤	m̩6	
誘	iɐu3	
説	sit7	
誦	tsʰuŋ6	
請	tsʰiaŋ3	
諸	tsi1	
諾	iɔk7	
讀	tʰuk8	
課	kʰɔ5	
誰	sui2	
調	tʰiu2	~和
調	tʰiu6	~动
諒	liɔŋ6	
談	tʰam2	
誼	li2	
謀	mɐu2	
諜	tʰip8	
謊	fɔŋ1	
諫	kan5	
諧	hai2	
謂	vɐi6	
讒	tsʰam2	
諺	ŋan6	
謎	mɐi2	
謝	tsʰia6	
謡	iu2	
謗	pʰɔŋ3	
謙	him1	
謹	kɐn3	
謬	mɐu6	
譚	tʰam2	
譜	pʰu3	
谷	kuk7	
豁	fut7	
豆	tʰɐu6	
豉	si6	
豌	vun3	
豕	tʰin2	以豚训~
豚	tʰin2	
象	tsʰiɔŋ6	
豪	hau2	
豫	i6	
豹	pʰau5	
豺	tsʰai2	
貂	tiu1	
貉	lɔk7	
貌	mau6	
貝	pui5	
貞	tsɐn1	
負	fu6	
貢	kuŋ3	
財	tsʰui2	
責	tsak7	
賢	hin2	
敗	pʰai6	
賬	tsɔŋ5	
貨	fɔ5	
質	tsɐt7	
販	fan5	
貪	tʰam1	
貧	pʰɐn2	
貶	pin3	
購	kɐu5	
貫	kun5	
貳	ŋi6	
賤	tsʰin6	
貼	tʰip7	
貴	kɐi5	
貸	tʰui6	
貿	mɐu6	
費	fɐi5	
賀	hɔ6	
賊	tsʰɐk8	
賈	ka3	
賄	kʰui3	
賃	lɐŋ6	
賂	lɔk7	
贓	tsɔŋ1	
資	tsi1	
賒	sa2	
賦	fu6	
賭	tu3	
贖	tsʰuk8	
賞	sɔŋ3	
賜	tsʰi5	
賠	pʰui2	
賴	lai6	
贅	tsʰui6	
賺	tsʰan6	
賽	sui5	
贊	tsan5	
贈	tsʰɐŋ6	
贏	iaŋ2	
赤	tsʰak7	
赦	sia5	
赫	hak7	
走	tsɐu3	
赴	fu6	
趙	tsʰiu6	
趕	kun3	
起	hi3	
趁	tsʰɐn5	
超	tsʰiu1	
越	it8	
趨	tsʰi1	
趟	tʰɔŋ5	
趣	tsʰi5	
足	tsuk7	
趾	tsi3	
躍	iɔk7	
跌	tit7	
跑	pʰau3	
跛	pɐi1	
距	kʰi1	
跟	kɐn1	
跨	kʰa1	
跪	kʰɐi6	
路	lu6	
跳	tʰiu2	
踐	tsʰin6	
踏	tʰap8	
踢	tʰiak7	
蹤	tsuŋ1	
踱	tʰu6	
蹄	tʰɐi2	
蹈	tʰau1	
蹋	tʰap7	
躡	nip7	
蹭	tsɐŋ1	
蹲	tsin1	
躁	tsʰau5	
身	sɐn1	
躬	kuŋ1	
躱	tɔ3	
躺	tʰɔŋ3	
車	tsʰa1	
車	ki1	
軌	kɐi3	
軒	him1	
轉	tsin3	~眼
轉	tsin5	~圈
軛	ak7	
輪	lɐn2	
軟	in5	
轟	kaŋ1	
軸	tsʰuk8	
輕	hiaŋ1	
載	tsui3	
轎	kʰiu6	
較	kau5	
輔	pʰu3	
輛	liɔŋ2	
輩	pui5	
輝	fɐi1	
輞	mɔŋ3	
輜	tsi1	
輯	tsʰɐp8	
輸	si1	
轅	in2	
轄	hat8	
輾	tsin3	
轍	tsʰit8	
辛	sɐn1	
辭	tsʰi2	
辟	pʰit7	
辣	lat8	
辨	pʰan6	
辯	pʰin6	
辮	pin6	
辰	sɐn2	
辱	iuk8	
邊	pin1	
遼	liu2	
達	tʰat8	
遷	tsʰin1	
迂	i5	
迄	hat7	
迅	sɐn5	
過	kɔ5	
邁	man6	
迎	iɐŋ2	
運	vɐn6	
近	kʰɐn6	
返	fan1	
還	van2	~原
還	han2	~有
進	tsɐn5	
遠	in5	
違	vɐi2	
連	lin2	
遲	tsʰi2	
迢	siu2	
迫	pʰɐk7	
述	sɐt8	
迷	mɐi2	
迸	pʰɐŋ5	
迹	tsɐk7	
迹	tsiak7	
追	tsui1	
退	tʰui5	
送	suŋ5	
適	sɐk7	
逃	tʰau2	
逅	hɐu6	
逆	ŋak7	
選	sin3	
遜	sin1	
透	tʰɐu5	
逐	tsʰuk8	
遞	tʰɐi6	
途	tʰu2	
逗	tʰɐu5	
通	tʰuŋ1	
逛	kʰɔŋ2	
逝	sɐi6	
逞	tsʰɐn3	
速	tsʰuk7	
造	tsʰau6	
逢	fuŋ2	
逵	kʰɐi2	
逸	iɐt8	
逼	pʰɐk7	
逾	i6	
遁	tʰɐn5	
遂	sui6	
遇	i6	
遍	pʰin5	
遐	ha2	
道	tʰau6	
遺	vɐi2	
遢	tʰat7	
遣	hin3	
遭	tsau1	
遮	tsa1	
遵	tsin1	
避	pʰi6	
避	pʰit7	又
邀	iu1	
邋	lat8	
邑	iɐp7	
鄧	tʰɐŋ6	
邢	hɐŋ2	
那	na5	
邦	pɔŋ1	
邪	tsʰia2	
郵	iɐu2	
邱	hɐu1	
邵	siu2	
鄒	tsɐu1	
鄰	lɐn2	
郁	vɐt7	忧~
郁	iuk7	葱~
郊	kau1	
郎	lɔŋ2	
鄭	tsʰaŋ6	
郝	kʰɔŋ1	
郡	kɐn1	
部	pʰu6	
郭	kɔk7	
都	tu8	~系:都是
都	tu1	首~
鄂	ŋɔk8	
鄙	pʰi3	
酉	iɐu5	
酌	tsiɔk7	
配	pʰui5	
酥	su1	
酪	lɔk7	
酬	tsʰɐu2	
醬	tsiɔŋ5	
酵	hau1	
酷	kʰuk7	
酸	sin1	
釀	iɔŋ6	
醃	im1	
醇	sɐn2	
醉	tsui3	
醋	tsʰu5	
醒	siaŋ3	
醮	tsiu5	
采	tsʰui3	
釉	tsɐu3	
釋	sɐk7	
里	li5	
重	tsʰuŋ2	~复
重	tsʰuŋ5	轻~
野	ia5	
量	liɔŋ2	度~
量	liɔŋ6	数~
金	kɐm1	
釜	fu3	
鑑	kam5	
針	tsɐm1	
釘	tiaŋ1	
釣	tiu5	
釵	tsʰai1	
鈍	tʰɐn5	
鈔	tsʰau3	
钟	tsuŋ1	
鋼	kɔŋ1	
欽	kʰɐm1	
鈞	kɐn1	
鉤	kɐu1	
鈕	nɐu5	
錢	tsʰin2	
鉗	kʰim2	
鉢	put7	
鑽	tsin5	
鐵	tʰit7	
鈴	lɐŋ2	
鉛	in2	
鐸	tʰɔk8	
鐺	tɔŋ5	
銅	tʰuŋ2	
鍘	tsak7	
鏵	va2	
銘	miaŋ2	
鉸	kau3	
鏟	tsʰan3	
銃	tsʰuŋ1	
銀	ŋɐn2	
鑄	tsi5	
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	siu1	
鎖	sɔ3	
鋥	tsʰaŋ2	
鋤	tsʰɔ2	
鍋	vɔ1	
鏽	sɐu5	
銼	tsʰɔ5	
鋒	fuŋ1	
鐧	kan1	
銳	iui6	
鋦	kʰuk7	
錯	tsʰɔ5	
錨	lau2	
錛	pɐn1	
錫	siak7	
錮	ku5	
鑼	lɔ2	
錘	tsʰui2	
錐	tsui1	
錦	kɐm3	
錠	tʰɐŋ6	
鍵	kʰin6	
鋸	ki5	
鍛	tʰin6	
鍍	tʰu6	
鎮	tsɐn5	
鑷	nip7	
鏡	kiaŋ5	
鑊	vɔk8	
鐲	ak7	
鐮	lim2	
鑲	siɔŋ1	
長	tsʰɔŋ2	~短
長	tsɔŋ3	生~
門	mun2	
閂	san1	
閃	sim3	
閉	pɐi5	
問	mɐn6	
闖	tsʰɔŋ1	
閏	iɐn6	
闲	han2	
間	kan5	~断
間	kan1	中~
悶	mun6	
閘	tsʰap8	
鬧	nau6	
閨	kɐi1	
聞	mɐn2	
閩	mun5	
閣	kɔk7	
鬮	kʰɐu1	
閲	it8	
閹	im1	
閻	nim2	
闊	fut7	
阜	fɐu6	
隊	tʰui6	
阮	in3	
防	fɔŋ2	
陽	iɔŋ2	
陰	iɐm1	
陣	tsʰɐn6	
階	kai1	
阻	tsɔ3	
阿	a1	~哥
阿	ɔ1	~胶
陂	pi1	
附	fu6	
際	tsɐi5	
陸	luk8	
隴	luŋ3	
陳	tsʰɐn2	
陋	lɐu6	
陌	mak7	
降	kɔŋ5	下~
降	hɔŋ2	投~
限	han6	
陝	sim3	
陛	pɐi5	
陡	tɐu3	
院	in3	
除	tsʰi2	
險	him3	
陪	pʰui2	
陵	lɐŋ2	
陶	tʰau2	
陷	ham6	
隆	luŋ2	
隨	sui2	
隱	vɐn3	
隔	kak7	
障	tsɔŋ5	
隧	sui6	
隶	tʰɐi6	
難	nan2	~易
難	nan6	患~
雀	tsiɔk7	
雁	ŋan6	
雄	huŋ2	
雅	ŋa5	
集	tsʰɐp8	
雇	ku5	
雉	tsʰi1	
雌	tsʰi1	
雛	tsʰi1	
雕	tiu1	
雨	i5	
雪	sit7	
零	lɐŋ2	
雷	lui2	
雹	pʰau1	
霧	mu6	
需	si1	
霄	siu1	
霆	tʰɐŋ2	
震	tsɐn5	
黴	mui2	
霍	kʰɔk7	
霓	i2	
霖	lɐm2	
霜	sɔŋ1	
霞	ha2	
露	lu6	
霸	pa5	
青	tsʰiaŋ1	
靖	tsʰɐŋ6	
靜	tsʰɐŋ6	
非	fi1	
靠	kʰau5	
面	min6	
革	kak7	
靴	hiɔ1	
鞋	hai2	
鞍	un1	
鞘	siu1	
鞭	pin1	
韋	vɐi5	
韌	ŋɐn6	
韓	fun2	
韭	kɐu3	
音	iɐm1	
韻	vɐŋ5	
韶	siu2	
頁	ip8	
頂	tɐŋ3	
頃	kʰɐŋ5	
項	hɔŋ6	
順	sɐn6	
须	si1	
须	su1	胡~
頑	ŋan2	
顧	ku5	
頓	tɐn5	
頒	pan1	
頌	suŋ1	
頌	tsʰuŋ6	
預	i6	
領	liaŋ5	
頗	pʰi2	
頸	kiaŋ3	
頻	pʰɐŋ2	
穎	iɐŋ3	
顆	kʰɔ1	
題	tʰɐi2	
顎	ŋɔk8	
顔	ŋan2	
額	ŋak8	
顛	tin1	
顫	tsʰan5	
顴	kʰin2	
風	fuŋ1	
颼	sau1	
飄	pʰiu1	
飆	piu1	
飛	fi1	
食	sit8	
餐	tsʰan1	
饥	ki1	
飩	tʰɐn1	
飯	fan6	
飲	iɐm3	
餞	tsin5	
飾	sɐk7	
飽	pau3	
飼	tsʰi2	
飴	i2	
餌	ŋi5	
饒	iu2	
餉	hiɔŋ3	
餃	kau3	
餅	piaŋ3	
餑	pʰut8	
餓	ŋɔ6	
餒	lui5	
餜	kʰɔ1	
餛	vɐn2	
餡	ham6	
館	kun3	
饋	kʰɐi6	
餿	sau3	
饞	tsʰam2	
饃	mɔ1	
餾	lɐu2	
饅	man6	
首	sɐu3	
香	hiɔŋ1	
馨	hɐŋ1	
馬	ma5	
馳	tsʰi2	
驅	kʰi1	
駁	pɔk7	
驢	lu2	
駛	sɐi3	
駒	ki5	
駐	tsi5	
駝	tʰɔ2	
駕	ka5	
駡	ma6	
驕	kiu1	
駱	lɔk7	
駭	hat7	
驗	nim6	
騎	kʰi2	
騙	pʰin5	
騷	sau1	
騾	li2	
驟	tsʰɐu5	
骨	kɐt7	
骾	kʰaŋ3	
髓	sui5	
高	kau1	
髻	kɐi5	
鬃	tsuŋ1	
鬢	pɐn1	
鬼	kɐi3	
魁	kʰɐi2	
魂	vɐn2	
魄	pʰak7	
魏	ŋɐi6	
魔	mɔ1	
魚	i2	
魯	lu2	
鮎	nim1	
鮑	pau1	
鮮	sin1	
鯉	li5	
鯽	tsɐk7	
鯨	kʰɐŋ2	
鰭	kʰi2	
鰾	pʰiu5	
鱖	kuɐi5	
鱗	lɐn2	
鳥	niu3	
鳩	kɐu1	
雞	kɐi1	
鳴	mɐŋ2	
鴉	a1	
鸕	lu2	
鴨	ap7	
鴿	kɐp7	
鸞	lin2	
鴻	huŋ2	
鵝	ŋɔ2	
鵡	mu5	
鵲	siak7	
鷂	iu6	
鶴	hɔk8	
鸚	iɐŋ1	
鷺	lu6	
鷹	iɐŋ1	
鹿	luk8	
麝	sa6	
麥	mak8	
麩	fu1	
麻	ma2	
麾	fɐi1	
黃	vɔŋ2	
黎	lɐi2	
黏	nim2	
黑	hɐk7	
默	mɐk8	
鼓	ku3	
鼠	si3	
鼬	iɐu1	
鼻	pʰi6	
鼾	fun2	
齊	tsʰɐi2	
齒	tsʰi3	
齜	tsʰi3	
齦	ŋɐn2	
龍	luŋ2	
龕	kʰam1	
龜	kɐi1	
