#漢字	音標	解釋
䝼	ȶʰiŋ5	〜受
背	pei5	~面
背	pei5	〜诵
胎	tʰɛ1	
胖	pʰɑŋ5	肥〜
胚	pʰei1	~胎
胛	tʃa3	肩〜
勝	ʃəŋ5	~任
勝	ʃəŋ5	〜败
胞	pɔ1	
胡	xu2	
胳	kə3	〜膊
膠	tʃɔ1	
胸	ʃəŋ1	
能	nəŋ2	
脂	tʂʅ1	
脆	tθʰuei5	
脉	mei5	
脊	ȶi5	
脏	tθɑŋ1	不干净
脏	tθɑŋ5	内~
臍	ȶʰi2	
腦	nɔ3	
膿	nəŋ2	
脚	tʃuə3	
脯	pʰu3	杏〜
脯	pʰu3	胸〜
脱	tʰuə3	
臉	liã3	
脾	pʰi2	
臘	la5	
腋	iə5	
腌	iã1	
腐	fu3	
腑	fu3	
腔	tʃʰɑŋ1	
腕	uã5	
腥	θiŋ1	
腮	θɛ1	
腰	iɔ1	
腱	tʃã5	
腹	fu5	
膩	ȵi5	
騰	tʰəŋ2	
腿	tʰuei5	
膏	kɔ1	
膘	piɔ1	肥〜
膜	mə2	
膨	pʰəŋ2	〜胀
膳	ʃã5	
膻	ʃã1	
臀	tʰuẽ2	
臂	pi5	
臊	θɔ5	
臣	tʃʰẽ2	
自	tθɿ2	
臭	tʃʰou5	香〜
至	tʂʅ5	
致	tʃɿ2	
臻	tʂẽ1	
臼	tʃou5	
舀	iɔ3	~水
舅	tʃou5	
舌	ʃə2	
舍	ʃə3	〜弃
舍	ʃə5	房〜
舒	ʃʮ1	
舔	ȶʰiã3	
舜	ʃuẽ5	
舞	u3	
舟	tʃou1	
航	xɑŋ2	
般	pã1	
艦	tʃã5	
舵	tuə5	
船	tʃʰuã2	
艇	ȶʰiŋ2	
良	liɑŋ2	
艱	tʃã1	
色	θə5	
豔	iã2	
藝	i5	
艾	ŋɛ3	
節	ȶiə3	
芋	y5	
芍	ʃuə2	〜药花
芒	mɑŋ2	
芒	uɑŋ2	麦〜
芙	fu3	〜蓉
芝	tʂʅ1	
芥	tʃɛ5	
蘆	lu2	〜草
芬	fẽ1	
芭	pa3	
花	xua1	
芳	fɑŋ1	
芹	tʃʰẽ2	
芽	ia2	
葦	uei3	芦〜
蒼	tθʰɑŋ1	
苏	θu1	
苔	tʰɛ2	舌〜,青〜
苗	miɔ2	
苘	tʃʰəŋ3	〜麻,可做绳索
苟	kou3	
若	yə5	
苦	kʰu3	
英	iŋ1	
茂	mɔ5	
范	fã5	〜围
范	fã5	姓
茄	tʃʰə2	〜子
茅	mɔ2	
莖	tʃəŋ2	
繭	tʃã3	~子
繭	tʃã3	蚕〜
茫	mɑŋ2	
茬	tʂʰa2	
茴	xuei2	〜香
茶	tʂʰa2	
茸	iŋ2	鹿〜
荀	θyẽ2	
荆	tʃəŋ1	
草	tθʰɔ3	〜地
草	tθʰɔ3	〜鸡
荒	xuɑŋ1	
荔	li5	〜枝
蕩	tɑŋ5	放~
榮	iŋ2	
葷	xuẽ1	
蔭	iẽ1	房子很〜
藥	yə5	
荷	xuə2	〜花
荷	xuə2	薄〜
莎	ʃa1	〜草
莫	mə5	〜名其妙
莫	mə3	姓
蓮	liã2	
获	xuə5	
鶯	iŋ1	
莽	mɑŋ3	
菊	tʃʮ3	
菌	tʃuẽ3	
菜	tθʰɛ5	
菠	pə1	〜菜
菢	pɔ5	〜小鸡
菩	pʰu2	〜萨
菱	liŋ2	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
萎	uei3	
螢	iŋ2	
營	iŋ2	
蕭	θiɔ1	
薩	θa5	
落	luə5	
著	tʃʮ5	显〜
葚	ʃẽ5	桑〜
葛	kuə3	
董	təŋ3	
葫	xu2	〜芦
葬	tθɑŋ5	
葱	tθʰəŋ1	
葵	kʰuei2	
蔣	ȶiɑŋ3	
蒙	məŋ2	
蒜	θuã5	
蒲	pʰu2	
蒸	tʃəŋ1	
蒿	xɔ1	艾〜
蓄	θy5	储〜
蓉	iŋ2	芙〜
蓑	θuə1	
蓖	pi3	〜麻
藍	lã2	
蓬	pʰəŋ2	
蔓	mã5	藤〜
蔗	tʃə3	
蔡	tθʰɛ5	
蔫	iã1	食物不新鲜
蔬	ʂu3	
藹	ŋɛ2	和〜
蔽	pi5	
蕉	ȶiɔ1	香〜,芭〜
蕎	tʃʰɔ2	
薄	pə3	〜荷
薄	pə2	轻〜
薅	xɔ1	
薜	θyə3	
薪	θiẽ1	
薯	ʃʮ3	白〜
薰	ʃuẽ1	
藏	tθɑŋ5	西~
藏	tθʰɑŋ2	隐~
藐	miɔ3	
藕	ŋou1	
藤	tʰəŋ2	
藩	fã1	
藿	xuə5	〜香
蘸	tʂã5	〜酱油
蘿	luə2	
虎	xu3	
虜	lu3	
虐	yə5	
慮	ly5	
虔	tʃʰã2	
虚	ʃʮ1	
虞	y3	
蟲	tʂʰəŋ2	
虱	ʂʅ3	
虹	xəŋ2	
虻	məŋ3	牛〜
雖	θuei2	
蝦	ʃa1	鱼〜
蝕	ʃɿ2	
蟻	i5	
蚊	uẽ2	
蚌	pəŋ5	〜埠
蚌	pɑŋ5	软体动物,壳内有珍珠
蠶	tθʰã2	
蚣	kəŋ1	蜈〜
蚤	tθɔ3	
蛀	tʃʮ5	
蛆	ȶʰy1	
蛇	ʃə2	
蛋	tã5	
蛙	ua2	
蛛	tʃʮ1	
蠻	mã2	
蟄	tʃə2	惊〜
蛾	uə2	
蜀	ʂu3	
蜂	fəŋ1	
蜇	tʃə3	
蜓	ȶʰiŋ2	蜻〜
蜕	tʰuei5	蛇〜皮,蝉〜
蜘	tʃɿ1	〜蛛
蜜	mi5	
蠟	la5	
蜢	məŋ3	
蜻	ȶʰiŋ1	〜蜓
蠅	iŋ3	
蟬	tʂʰã2	
蠍	ʃə3	
蝗	xuɑŋ2	
蝙	piə1	
蝠	fu3	蝙〜
蝶	ȶiə2	
螂	lɑŋ2	螳〜
螃	pʰɑŋ2	〜蟹
融	iŋ2	
螳	tʰɑŋ2	〜螂
螺	luə2	
蟀	ʂuɛ5	
蟒	mɑŋ3	
蟶	tʂʰəŋ2	〜子
蟹	ʃɛ5	
蟾	tʃʰã2	〜蜍
蠢	tʃʰuẽ2	
血	ʃə3	
行	xɑŋ2	〜列,银〜
行	ʃəŋ2	〜为
行	ʃəŋ5	品〜
銜	ʃã3	
街	tʃɛ1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔ3	〜扬
表	piɔ3	钟〜
衫	ʂã1	
襯	tʂʰẽ5	
衰	ʂuɛ1	
袁	yã2	
襖	ŋɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	θiou5	
袜	ua5	
被	pei5	~子
被	pei5	〜迫,〜打
襲	θi3	
裁	tθʰɛ2	
裂	liə5	
裝	tʂuɑŋ1	
裌	tʃa3	〜被
裕	y5	
裙	tʃʰuẽ2	
裡	li3	〜面
褲	kʰu5	
裳	ʃɑŋ5	衣~
裴	pʰei2	
裸	luə2	
裹	kuə3	
褥	y5	
褪	tʰuei5	
褯	ȶiə5	〜子
褶	tʃə3	〜子,皱〜
襄	θiɑŋ1	
襟	tʃẽ1	
襻	pʰã3	纽〜
西	θi1	
要	iɔ1	〜求
要	iɔ5	想〜,重〜
覆	fu5	反〜
見	tʃã5	
觀	kuã1	参〜
觀	kuã5	道〜
規	kuei1	
覓	mi5	
視	ʂʅ5	
覽	lã3	
覺	tʃɔ5	睡~
覺	tʃuə3	知〜
角	tʃuə3	
解	tʃɛ3	了〜
解	ʃɛ5	姓
解	tʃɛ3	讲〜,〜开
觸	tʂʰu3	
言	iã2	
譽	y5	荣〜
誌	tʂʅ5	标〜,杂〜
誓	ʃɿ5	
警	tʃəŋ3	
計	tʃɿ5	
訂	ȶiŋ5	签〜
訃	pu5	
認	iẽ5	
譏	tʃɿ1	
討	tʰɔ2	
讓	iɑŋ5	
訓	ʃuẽ5	
議	i5	
訊	θyẽ5	
記	tʃɿ5	
講	tʃɑŋ3	
諱	xuei5	
許	ʃʮ3	
訛	uə2	
論	luẽ2	〜语
論	luẽ2	讨〜
訟	θəŋ5	
諷	fəŋ1	
設	ʃə5	
訪	fɑŋ3	
訣	tʃuə3	
证	tʃəŋ5	
評	pʰiŋ2	
識	ʃɿ3	
詐	tʂa5	
訴	θu5	
診	tʃẽ3	
詞	tθʰɿ2	
詔	tʃɔ5	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʃʰəŋ2	
誅	tʃʮ1	
話	xua5	
誕	tã5	
詭	kuei3	
該	kɛ1	
詳	θiɑŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iou5	
説	ʃuə3	〜话
誦	θəŋ5	
請	ȶʰiŋ3	
諸	tʃʮ1	
諾	nuə5	
讀	tu2	
課	kʰuə5	
誰	ʃei2	
調	ȶiɔ5	~动
調	ȶʰiɔ2	〜和
調	ȶiɔ5	音〜
諒	liɑŋ5	
談	tʰã2	
誼	i5	
謀	mu2	
諜	ȶiə2	
謊	xuɑŋ3	
諫	tʃã3	
諧	ʃə2	
謂	uei5	
讒	tʂʰã2	
諺	iã2	
謎	mi2	
謝	θiə5	
謡	iɔ2	
謗	pɑŋ5	
謙	tʃʰã1	
謹	tʃẽ3	
譚	tʰã2	
譜	pʰu3	
谷	ku3	山〜
豁	xuə3	〜嘴,〜口
豁	xuə5	〜然
豆	tou5	
豌	uã1	〜豆
豚	tʰuẽ2	
象	θiɑŋ5	
豪	xɔ2	
豫	y5	
豹	pɔ5	
豺	tʂʰɛ2	
貂	ȶiɔ1	
貌	mɔ5	
貝	pei5	
貞	tʃẽ3	
負	fu5	
貢	kəŋ5	
財	tθʰɛ2	
責	tʃei3	
賢	ʃã2	
敗	pɛ5	
賬	tʃɑŋ5	
貨	xuə5	
質	tʃɿ5	
販	fã5	
貪	tʰã1	
貧	pʰiẽ2	
貶	piã3	
購	kou5	
貫	kuã5	
貳	ɭə5	
賤	ȶiã5	
貼	ȶʰiə3	
貴	kuei5	
貸	tɛ5	
貿	mɔ5	
費	fei5	〜用
賀	xuə5	
賊	tθei2	
賈	tʃa3	姓
賄	xuei5	
賃	liẽ5	租〜
賂	lu5	
贓	tθɑŋ1	
資	tθɿ1	
賒	ʃə1	
賦	fu5	
賭	tu3	
贖	ʂu2	
賞	ʃɑŋ3	
賜	tθʰɿ5	
賠	pʰei2	
賴	lɛ5	
贅	tʂuei5	
賺	tʃuã5	
賽	θɛ5	
贊	tθã5	
贈	tθəŋ5	
贏	iŋ2	
赤	tʃʰɿ5	
赦	ʃə5	
赫	xuə5	
走	tθou3	
赴	pʰu3	
趙	tʃɔ5	
趕	kã3	
起	tʃʰɿ3	
趁	tʃʰẽ2	
超	tʃʰɔ1	
越	yə5	
趨	tʃʰʮ3	
趟	tʰɑŋ5	走一~
趣	ȶʰy5	
足	ȶy3	
趾	tʂʅ3	
躍	yə5	
跌	ȶiə3	
跑	pʰɔ3	
跛	pə3	〜足
距	tʃʮ5	
跟	kẽ1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	ȶʰiɔ5	
踐	ȶiã3	
踒	uɛ3	〜脚
踢	ȶʰi3	
蹤	tθəŋ1	
蹄	ȶʰi2	
蹅	tʂa1	
躡	ȵiə3	〜手〜脚
蹭	tθʰəŋ5	磨〜
蹲	tuẽ1	
躁	tθɔ5	
身	ʃẽ1	
躬	kəŋ1	
躱	tuə3	
躺	tʰɑŋ3	
車	tʃʮ1	〜马炮
車	tʃʰə1	马〜
軋	tʂa3	被车〜,〜棉花
軌	kuei1	
軒	θyã1	
轉	tʃuã3	~眼,~送
轉	tʃuã5	〜螺丝,〜圆圈
輪	luẽ2	
軟	yã3	
轟	xəŋ1	〜炸
轟	xəŋ1	〜动
轟	xəŋ1	〜出去
軸	tʃʮ5	
輕	tʃʰəŋ1	〜重,年〜
載	tθɛ5	〜重
載	tθɛ3	三年五~
載	tθɛ5	满〜
轎	tʃɔ5	
較	tʃɔ3	
較	tʃɔ5	
輔	fu3	
輛	liɑŋ5	
輦	ȵiã3	
輩	pei5	
輝	xuei1	
輞	uɑŋ3	
輜	tθɿ1	〜重
輯	ȶi2	编〜
輸	ʃʮ1	〜赢
輸	ʃʮ1	运〜
轅	yã2	
轄	ʃa2	管〜
轍	tʃə2	
辛	θiẽ1	
辭	tθʰɿ2	
辣	la5	
辨	piã5	
辯	piã5	
辮	piã5	
辰	tʃʰẽ2	
辱	lu5	
邊	piã1	
遼	liɔ2	
達	ta3	
遷	ȶʰiã1	
迂	y2	
迅	θyẽ5	
過	kuə5	
邁	mɛ5	
迎	iŋ2	
運	yẽ5	
近	tʃẽ5	
還	xã2	〜有
還	xuã2	〜原
進	ȶiẽ5	
遠	yã3	
違	uei1	
連	liã2	
遲	tʃʰɿ2	
迫	pʰə5	
述	ʂu5	
迷	mi2	
迸	pəŋ5	〜裂
迹	ȶi5	
追	tʂuei1	
退	tʰuei5	
送	θəŋ5	
適	ʃɿ3	
逃	tʰɔ2	
逆	ȵi5	〜风
選	θyã3	
遜	θyẽ5	
透	tʰou5	
逐	tʂu3	
遞	ȶi5	
途	tʰu2	
逗	tou5	
通	tʰəŋ1	
逛	kuɑŋ5	
逝	ʃɿ5	
逞	tʃʰəŋ1	〜能
速	θu1	
造	tθɔ5	
逢	fəŋ2	
逵	kʰuei2	
逸	i5	
逼	pi2	
逾	y2	
遇	y5	
遍	piã5	〜地
遍	piã5	一~
遐	ʃa2	
道	tɔ5	
遣	tʃʰã1	
遭	tθɔ1	
遮	tʃə1	
遵	tθuẽ1	
避	pi5	
邀	iɔ1	
鄧	təŋ5	
那	na5	
邦	pɑŋ1	
邪	θiə2	
郵	iou2	
邵	ʃɔ5	
鄒	tʂou1	
鄰	liẽ2	
郁	y5	
郊	tʃɔ1	
郎	lɑŋ2	
鄭	tʃəŋ5	
郝	xuə3	姓
郡	ȶyẽ5	
部	pu5	
郭	kuə3	
都	tu1	〜城
都	tou2	〜是
鄙	pi5	
酉	iou3	
酌	tʂuə2	
配	pʰei5	
酒	ȶiou3	
酥	θu1	
酬	tʃʰou2	
醬	ȶiɑŋ5	
酵	tʃɔ5	
酷	kʰu5	
酸	θuã1	
釅	iã5	这茶太〜
釀	ȵiɑŋ5	
醇	tʃʰuẽ2	
醉	tθuei5	
醋	tθʰu5	
醒	θiŋ3	
醜	tʃʰou3	长得〜
采	tθʰɛ3	〜果子,〜购
釉	iou5	
釋	ʃɿ3	
里	li3	故〜,邻〜
重	tʂʰəŋ2	〜复
重	tʂəŋ5	轻〜
野	iə3	
量	liɑŋ2	〜长短
量	liɑŋ5	数〜
金	tʃẽ1	
釜	fu3	
鈀	pʰa2	~子
鈸	pə2	
鑑	tʃã5	
銼	tθʰuə5	
錫	θi3	
鐙	təŋ1	鞍〜
鑷	ȵiə3	〜子
钁	tʃuə3	〜头
針	tʃẽ1	
釘	ȶiŋ1	〜子
釘	ȶiŋ5	〜住
釣	ȶiɔ5	
釵	tʂʰɛ1	
鈍	tuẽ5	
鈔	tʂʰɔ1	〜票
钟	tʂəŋ1	〜表
钟	tʂəŋ1	〜情
鋼	kɑŋ1	〜铁
鑰	yə5	〜匙
欽	tʃʰẽ1	
鈞	tʃuẽ1	
鉤	kou1	
錢	ȶʰiã2	
鉗	tʃʰã2	
鉢	pə3	
鑽	tθuã1	动词
鐵	ȶʰiə3	
鈴	liŋ2	
鉛	tʃʰã1	
銅	tʰəŋ2	
鍘	tʂa2	〜刀
銘	miŋ2	
鏟	tʂʰã5	
銃	tʂʰəŋ5	放〜,打眼儿的工具,类似于枪
銀	iẽ2	
鑄	tʃʮ5	
鋪	pʰu1	〜设
鋪	pʰu5	店〜
銷	θiɔ1	
鎖	θuə3	
鋥	tʂəŋ5	〜光
鋤	tʂʰu2	
鍋	kuə1	
鏽	θiou5	
鋒	fəŋ1	
銳	luei5	
錯	tθʰuə5	〜杂
錯	tθʰuə5	〜误
錨	mɔ2	
錛	pẽ1	~子
錮	ku1	〜露锅
鑼	luə2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tʃẽ3	
鍁	ʃã1	
錠	ȶiŋ5	
鍵	tʃã5	
鋸	y5	〜子,〜木头
鍬	ȶʰiɔ1	
鍛	tuã5	〜炼
鍍	tu5	
鎮	tʃẽ5	
鎔	iŋ2	
鏡	tʃəŋ5	
鏇	θyã5	〜床
鐲	tʂuə2	〜子
鐮	liã2	
鐮	liã2	〜刀
鑲	θiɑŋ1	
長	tʃʰɑŋ2	〜短
長	tʃɑŋ3	生〜
門	mẽ2	
閂	ʂuã1	
閃	ʃã3	
閉	pi5	
問	uẽ5	
闖	tʂʰuɑŋ3	
閏	yẽ5	
闲	ʃã2	
間	tʃã1	〜断,〜或
間	tʃã1	空〜,中〜
悶	mẽ5	
閘	tʂa2	
鬧	nɔ5	
閨	kuei1	
聞	uẽ2	
閩	miẽ3	
閣	kə3	
鬮	tʃʰou1	抓〜
閲	yə5	
閹	iã1	
閻	iã2	
闊	kʰuə3	
隊	tuei5	
阮	yã3	
防	fɑŋ2	
陽	iɑŋ2	
陰	iẽ1	
陣	tʃẽ5	
階	tʃɛ1	
阻	tθu3	
阿	a3	〜哥
阿	uə3	〜胶
附	fu3	
際	ȶi5	
陸	lu5	
陳	tʃʰẽ2	
陋	lou5	
陌	mə5	
降	ʃɑŋ2	〜服,投~
降	tʃɑŋ5	下〜
限	ʃã5	
陝	ʃã3	〜西
陛	pi5	〜下
陡	tou3	
院	yã5	
除	tʃʰʮ2	铲〜
險	ʃã3	
陪	pʰei2	
陵	liŋ2	
陶	tʰɔ2	
陷	ʃã5	
隆	ləŋ2	
隨	θuei2	
隱	iẽ1	
隔	kei3	
障	tʃɑŋ5	保〜
隧	θuei5	〜道
隶	li5	
難	nã2	〜易
難	nã5	患〜
雀	ȶʰyə5	
雁	iã5	
雄	ʃəŋ2	
雅	ia3	
集	ȶi2	
雇	ku5	
雌	tθʰɿ2	
雍	iŋ1	
雛	tʂʰu2	
雕	ȶiɔ1	
雨	y3	
雪	θyə3	
雲	yẽ2	〜彩
零	liŋ2	
雷	lei2	
雹	pa2	
霧	u5	
需	θy1	
霄	θiɔ1	
震	tʃẽ5	
黴	mei2	〜菌,青〜素
霍	xuə5	
霜	ʂuɑŋ1	
霞	ʃa2	
露	lu5	
霸	pa5	
青	ȶʰiŋ1	
靖	ȶiŋ5	
靜	ȶiŋ5	
非	fei1	
靠	kʰɔ5	
面	miã5	脸〜
革	kei3	
靴	ʃuə1	
鞋	ʃɛ2	
鞍	ŋã1	
鞘	tʃʰɔ5	刀〜
鞦	ȶʰiou1	~韆
鞭	piã1	
韌	iẽ5	
韓	xã2	
韭	tʃou3	
音	iẽ1	
韻	yẽ5	
韶	ʃɔ2	〜关
頁	iə5	
頂	ȶiŋ3	
頃	tʃʰəŋ3	
項	ʃɑŋ5	
须	θy1	〜知
頑	uã2	~皮,~固
顧	ku5	
頓	tuẽ5	
頒	pã1	
頌	θəŋ5	
預	y5	
領	liŋ3	
頸	tʃəŋ5	
頻	pʰiẽ2	〜繁
顆	kʰuə1	
題	ȶʰi2	
顔	iã2	
額	uə5	
顛	ȶiã1	
顫	tʃã5	
顴	tʃʰuã2	〜骨
風	fəŋ1	
颼	θou1	
飄	pʰiɔ1	
飛	fei1	
食	ʃɿ2	
餐	tθʰã1	
餑	pə1	面〜
餘	y2	〜下
餿	θou1	饭〜了
饥	tʃɿ1	〜荒
饥	tʃɿ1	〜饿
飩	tuẽ5	馄〜
飯	fã5	
飲	iẽ3	〜酒
飲	iẽ3	〜米汤
飲	iẽ5	〜马
餞	ȶiã5	〜行
飾	ʃɿ5	
飽	pɔ3	
飼	θɿ5	
飴	i2	高粱〜
餌	ɭə3	
饒	iɔ2	
餉	ʃɑŋ3	
餃	tʃɔ3	
餅	piŋ3	
餓	uə5	
餜	kuə3	〜子
餛	xuẽ2	〜饨
餡	ʃã5	
館	kuã3	
饞	tʂʰã2	
饃	mə2	
餾	liou2	
饅	mã2	〜头
首	ʃou3	
香	ʃɑŋ1	
馨	ʃəŋ1	
騇	ʂa1	母的牛马
馬	ma3	
馱	tʰuə2	〜起来
馱	tʰuə2	〜子
馳	tʃʰɿ2	
驅	tʃʰʮ3	
駁	pə3	
驢	ly2	
駛	ʂʅ3	
駒	tʃʮ1	
駐	tʃʮ5	
駝	tʰuə2	
駕	tʃa5	
驕	tʃɔ1	
駱	luə5	
駭	xɛ5	惊〜
驗	iã5	
騎	tʃʰɿ2	
騙	pʰiã5	一〜腿骑上马
騙	pʰiã5	欺〜
騷	θɔ1	
騾	luə2	
驟	tʂou5	
骨	ku3	
髓	θuei2	
高	kɔ1	
髮	fa3	头〜
鬃	tθəŋ1	
鬍	xu2	~鬚
鬢	piẽ5	
鬚	θy1	胡〜
鬼	kuei3	
魁	kʰuei2	
魂	xuẽ2	
魄	pʰə5	
魏	uei5	
魔	mə2	
鰓	θɛ1	
鰾	piɔ5	
魚	y2	
魯	lu3	
鮎	ȵiã2	~鱼
鮑	pɔ1	〜鱼,姓
鮮	θiã1	新〜
鯉	li3	
鯽	ȶi5	
鯨	tʃəŋ1	
鰲	ŋɔ5	
鰭	tʂʰʅ5	
鱉	piə1	
鱖	kuei5	〜鱼
鱗	liẽ2	
鷂	iɔ2	〜鹰
鳥	ȵiɔ3	
鳩	tʃou1	
雞	tʃɿ1	
鳴	miŋ2	
鴉	ia1	
鴨	ia3	
鴿	kuə2	
鸞	luã2	
鴻	xəŋ2	
鵝	uə2	
鵡	u3	鹦〜
鵲	ȶʰyə5	
鵮	tʃʰã2	
鶴	xuə5	
鸚	iŋ1	〜鹉
鷹	iŋ1	
鹿	lu5	
麝	ʃə5	〜香
麥	mei5	
麩	fu1	〜子
麪	miã5	〜食
麻	ma2	
麾	xuei1	
黃	xuɑŋ2	
黍	ʃʮ3	
黎	li2	
黏	ȵiã2	
黑	xei3	
默	mə5	
黢	ȶʰy3	〜黑
鼎	ȶiŋ3	
鼓	ku3	
鼠	ʃʮ3	
鼬	iou5	
鼻	pi2	
齊	ȶʰi2	
齒	tʂʰʅ3	
龍	ləŋ2	
龜	kuei1	
