#漢字	音標	解釋
吏	liᶨ6	
吐	tʰʋ̩3	
向	ɕiã5	
吒	tsɑ5	
嚇	xəʔ7	
呂	lyᶨ3	文
呂	luɤɪ3	白
嗎	mɑ2	
君	tɕyŋ1	
吝	liŋ6	
吞	tʰəŋ1	
吟	iŋ2	
吠	fɤɪ5	
否	pʰiᶨ3	
否	fɤɪ3	
吧	pɑ1	
吨	təŋ1	
吩	fəŋ1	
含	xʊ̃2	
聽	tʰiŋ5	
吭	kʰəŋ1	
吭	kʰã2	声称
吮	suəŋ3	
啓	tɕʰiᶨ3	
吱	tsɿ1	
吱	tsɿ2	
吳	ʋ̩2	
吵	tsʰǫ3	
吸	ɕiəʔ7	
吹	tsʰuɤɪ1	
吻	ʋəŋ3	
吼	xɤɪ3	
吾	ʋ̩2	
呀	iɑ1	
呃	ŋəʔ8	
呆	tᴇ1	
呆	ŋᴇ2	
呈	tsʰəŋ2	
告	kǫ5	
呐	nɛʔ8	
嘔	ŋɤɪ3	
員	iʊ̃2	
嗆	tɕʰiã1	用调料搅拌食物，~虾儿
嗚	ʋ̩1	
呢	ni0	
呢	nᴇ1	
呢	ȵiᶨ2	
呦	iɘʊ1	
周	tsɤɪ1	
呱	kuɑ1	
呱	kuɛʔ7	
呱	kuaʔ7	
味	ʋɤɪ6	
呵	xɘʊ1	
呸	pʰᴇ1	
呻	səŋ1	
呼	xʋ̩1	
命	miŋ6	
咀	tɕyᶨ3	
咀	tsuɤɪ3	
咂	tsuɛʔ7	
咆	pʰǫ2	
咉	ã1	应答声
和	xɘʊ2	
和	xɘʊ6	
和	xʋ̩2	打牌用语
咎	tɕiɘʊ1	
詠	iɔŋ3	文
咐	fʋ̩5	吩~
咑	tɑ1	
咒	tsɤɪ5	
咓	ʋɑ3	呕吐
咕	kʋ̩2	
咖	kɑ1	
咖	kʰɑ1	
咚	tɔŋ1	
咣	kuã1	
咦	iᶨ2	
咧	lᴇ1	
咧	lᴇ3	
咨	tsɿ1	
咩	miɑ3	羊叫声
咪	miᶨ1	
咫	tsɿ3	
咬	ŋǫ3	
咱	tsɑ2	
咳	xᴇ1	
咳	kʰəʔ7	
咸	ɕiẽ2	文
咸	xẽ2	白
咻	ɕiɘʊ1	
咽	ĩ1	
咽	ĩ5	
咽	iʔ7	
哀	ŋᴇ1	
品	pʰiŋ3	
哄	xɔŋ1	
哄	xɔŋ3	~骗
哄	xɔŋ5	起~
哆	tɘʊ1	
哇	ʋɑ1	
哇	ʋɑ5	
哈	xɑ1	
哈	xɑ3	
哉	tsᴇ1	
響	ɕiã3	
哎	ᴇ1	
哐	kʰuã1	
啞	ŋɑ3	
噦	iaʔ7	~人，吃进食物不舒服
噦	ʋɛʔ7	吊~
譁	xuɑ1	
譁	xuɑ2	
喲	iǫ1	
哥	kɘʊ1	
哦	ǫ1	
哦	ɘʊ2	表疑问
哨	sǫ5	
哩	li0	
哪	nɘʊ2	
哪	nɑ3	文
哪	lɑ3	白
哭	kʰɔʔ7	
哮	ɕiǫ5	文
哲	tɕiʔ7	
哺	pʰʋ̩3	
哼	xəŋ1	
哽	kəŋ3	
哿	kɘʊ3	~曾
唁	ĩ6	
唆	sɘʊ1	
脣	suəŋ2	又音
脣	səŋ2	嘴~
脣	sɤɪ2	白，又音，嘴~
唉	xᴇ1	
唉	ᴇ1	
唐	tʰã2	
