#漢字	音標	解釋
悲	pei1	
悶	mən5	
情	dʑin2	
惑	fə6	
惜	ɕi6	
惟	uei2	
惠	vei6	
惡	u5	可～
惡	o6	善～
惰	do6	
惱	lau3	
想	ɕiaŋ3	
惹	ʑiɛ3	
愁	dzei2	
愈	y5	
愉	y5	
意	i5	
愚	ȵy2	
愛	ŋai5	
感	kan3	
愧	kʰuei5	
慈	dzɿ2	
態	tʰai5	
慌	faŋ1	
慎	tɕʰin5	
慕	mo6	
慘	tsʰan1	
慚	dzan2	
慢	man6	
慣	kuã5	
慧	vei6	
慨	kʰai5	
慪	ŋei5	～氣
慮	ly6	
慰	uei5	
慶	tɕʰin5	
慷	kʰaŋ3	
憂	iəu1	
憋	piɛ6	
憎	tsən1	
憐	liɛ̃2	
憑	bin2	
憤	fən5	
憨	xan1	
憫	min3	
憲	ɕiɛ̃5	
憶	i5	
憾	ɣan6	
懂	tuŋ3	
懇	kʰən3	
懈	ɣai6	
應	in5	
懊	ŋau5	
懲	tɕin3	
懵	muŋ3	
懶	an3	
懷	vai2	
懸	ʑyɛ̃2	
懼	dʑy6	
戀	liɛ̃6	
戈	ko1	
戊	u6	
戌	ɕy6	
戍	ɕy6	
戎	yŋ2	
成	dʑin2	
我	ŋo3	
戒	kai5	
或	fə6	
戚	tɕʰi6	
戟	tɕi6	
戧	tɕʰiaŋ3	偏～：偏廈
截	tɕʰiɛ6	
戰	tɕiɛ̃5	
戲	ɕi5	
戳	tsʰo6	
戴	tai5	
戶	vu6	
戽	fu5	～水
房	vaŋ2	
扁	piɛ̃3	
扇	ɕiɛ̃5	
手	ɕiəu3	
才	dzai2	
扔	ȵin2	
托	tʰo6	
扛	ɡaŋ2	
扣	kʰei5	
扭	ȵyŋ3	
扮	pan5	
扯	tɕʰia3	(白)
扯	tɕʰiɛ3	(文)
扳	pan1	
扶	vu2	
批	pʰi1	
扼	ŋə6	
找	tsau3	
承	dʑin2	
技	dʑi6	
抄	tsʰau1	
把	pa3	
抑	i6	
投	dei2	
抖	tei3	
抗	kʰaŋ5	
折	tɕiɛ6	
披	pʰi1	
抬	dai2	
抱	bau6	
抵	ti3	
抹	mə6	～布
押	ia6	
抽	tɕʰiəu1	
拆	tsʰa6	(白)
拆	tsʰə6	
拇	mo3	
拉	la1	
拋	pʰau1	
拌	buã6	
拍	pʰə6	
拐	kuai3	
拒	tɕy5	
拔	pʰa6	
拖	tʰo1	
拘	tɕy1	
拙	tso6	
招	tɕiau1	
拜	pai5	
括	kua6	
拯	dʑin2	
拱	kuŋ3	
拳	ɡɛ̃2	
拼	pʰin5	
拽	ɕiɛ6	
拾	ɕi5	
拿	la2	
持	dzɿ2	
指	tsɿ3	
按	tsʰən3	(訓讀)
按	ŋan5	
挑	tʰiau1	
挖	ua1	
挨	ŋai2	
挪	la1	
振	tɕin5	
挺	tʰin3	
挽	uã3	
挾	ka6	(白)～菜
捅	tʰuŋ3	
捆	kʰuən3	
捉	tso6	
捋	lə6	～袖
捎	sau1	
捏	ȵiɛ6	
捐	kɛ̃1	
捕	pʰu3	
捧	puŋ3	
捱	ŋai2	～打
捲	kɛ̃3	
捷	tɕʰiɛ6	
捺	la6	
掀	ɕiɛ̃1	
掂	tiɛ̃1	
掃	sau3	～地
掃	sau5	～帚
授	ʑiəu6	
掉	tiau5	
掌	tɕiaŋ3	
掏	dau2	
掐	kʰa1	一～菜
排	bai2	
掘	kɛ6	
掛	kua5	
掠	lio6	
採	tsʰai3	
探	tʰan5	
接	tɕiɛ6	
控	kʰuŋ5	
推	tʰei1	
措	tsʰo5	
掬	tɕy6	
揀	kan5	
揉	iəu2	
描	miau2	
提	di2	
插	tsʰa6	
揖	i6	
揚	iaŋ2	
換	van6	
握	o5	
揣	tsʰei3	
揩	kʰai1	
揭	tɕiɛ6	
揮	fei1	
援	yɛ̃2	
搊	tsʰei1	～起來
損	sən3	
搓	tsʰo1	
搖	iau2	
搜	sei1	
搞	kau3	
搨	tʰa6	
搬	puã1	
搭	ta6	
搶	tɕʰiaŋ3	
搽	dza2	
摔	sai3	
摘	tsa1	(白)
摘	tsə6	(文)
摟	lei3	
摩	mo2	
摳	kʰei1	
摸	mo1	
摹	mo2	
摺	tɕiɛ6	
撂	liau6	扔
撇	pʰiɛ6	
撈	lau5	
撐	tsʰən1	
撓	lau2	
撕	sɿ1	
撞	dzaŋ6	
撤	tɕʰiɛ6	
撥	po6	
撩	liau2	
撮	tso6	
撰	tsuã3	
撲	pʰu6	
撼	ɣan6	
擀	kan3	
擁	yŋ3	
擇	dza6	(白)～菜
擇	tsʰə6	
擊	tɕi6	
擋	taŋ3	
操	tsʰau1	
擎	tɕin5	
擒	dʑin2	
擔	tan1	～任
擔	tan5	挑～
據	tɕy5	
擠	tɕi3	
擦	tsʰa6	
擬	ȵi3	
擱	ko6	
擲	tɕi6	
擴	kʰo6	
擺	pai3	
擾	ʑiau3	
攀	pʰan1	
攆	ȵiɛ̃3	
攏	luŋ3	
攔	an2	
攘	iaŋ6	
攙	tsʰan1	
攜	ɕi1	
攝	ɕiɛ6	
攢	tsan3	積～
攤	tʰan1	
攬	an3	
支	tɕi1	
收	ɕiəu1	
改	kai3	
攻	kuŋ1	
放	faŋ5	
政	tɕin5	
故	ku5	
效	ʑiau6	
敏	min3	
救	tɕiəu5	
敗	bai6	
敘	ɕy6	
教	kau5	～書
教	tɕiau5	(文)
敝	pi5	
敢	kan3	
散	san3	
散	san5	分～
敦	tən1	
敬	tɕin5	
敲	kʰau1	
整	tɕin3	
敵	ti6	
敷	fu1	
數	su3	動詞
數	su5	名詞
斂	liɛ̃6	
斃	pi5	
文	uən2	
斑	pan1	
斗	tei3	
料	liau6	
斛	fu5	
斜	dʑia2	(白)
斜	dʑiɛ2	(文)
斟	tɕin1	
斤	tɕin1	
斥	tɕʰi6	
斧	fu3	
斬	tsan3	
斯	sɿ1	
新	ɕin1	
斷	tuã5	果～
斷	duã6	～絕
方	faŋ1	
於	y2	
施	sɿ1	
旁	baŋ2	
旅	ly3	
旋	dʑiɛ̃2	
族	tsʰu6	
旗	dʑi2	
既	tɕi5	
日	ȵi5	(白)
日	ʑi6	(文)
旦	tan5	
旨	tsɿ3	
早	tsau3	
旬	dzən2	
旱	ɣan6	
旺	uaŋ6	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tɕʰiaŋ1	
明	min2	
昏	fən1	
易	i5	難～
易	i5	交～
昔	ɕi6	
星	ɕin1	
映	in5	
春	kʰin1	
昧	mei5	
昨	dzo6	
昭	tɕiau1	
是	dzɿ6	
時	dzɿ2	
晃	faŋ3	
晉	tɕin5	
