#漢字	音標	解釋
嫖	pʰiɔo1	嫖赌
嫡	ti1	
嫩	nuən5	
嬉	ɕi1	
孀	ʂuɑŋ1	
子	tsɿ3	
孔	kʰuən3	
孕	yn5	
字	tsɿ5	
存	tsʰuən1	
孫	suən1	
孝	ɕiɔo5	
孟	mən5	
季	tɕi5	
孤	ku1	
學	ɕye1	
孩	xɛi1	
孵	fu1	
孽	ȵie5	
宅	tʂɛi1	
宇	ʑy3	
守	ʂɤu3	
安	ɛ̃1	
宋	suən5	
完	vɛ̃1	
宏	xuən1	
宕	tɑŋ5	延宕
宗	tsuən1	
官	kuɛ̃1	
官	kuən1	
宙	tʂɤu5	
定	tin5	
宛	vɛ̃3	
宜	ʑi5	
寶	pɔo3	
實	ʂʅ1	
寵	tʂʰuən3	
審	ʂən3	
客	kʰə5	
宣	ɕyɛ̃1	
室	ʂʅ5	
宦	xuɛ̃5	
宪	ɕiɛ̃5	
宰	tsɛi3	
害	xɛi5	
宴	iɛ̃5	
宵	ɕiɔo1	
家	tɕia1	
家	tɕia1	家具
容	ʐuən1	
寬	kʰuɛ̃1	
賓	pin1	
宿	su5	
宿	çiɤu5	星宿
寂	tɕi5	
寄	tɕi5	
寅	in1	
密	mi5	
寇	kʰɤu5	
富	fu5	
寐	mei5	
寒	xɛ̃1	
寓	ʑy5	
寢	tɕʰin5	
寞	mə5	
察	tʂʰa1	
寡	kua3	
寥	liɔo3	
寧	ȵin5	宁可
寧	ȵin1	安宁,沪宁
寨	tʂɛi5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	ɕyn1	
導	tɔo3	
壽	ʂɤu5	
封	fən1	
射	ʂə5	
將	tɕiɑŋ3	
將	tɕiɑŋ5	大将
將	tɕiɑŋ1	将来
尊	tsuən1	
小	ɕiɔo3	
少	ʂɔo3	多少
少	ʂɔo5	少年
尔	ɐ5	
尖	tɕiɛ̃1	
塵	tʂʰən1	
尚	ʂɑŋ5	
嘗	tʂʰɑŋ1	
尤	iɤu1	
尥	liɔo5	马尥蹶子
堯	iɔo1	
尬	ka5	尴尬
就	tɕiɤu5	
尷	kɛ̃1	尴尬
屍	ʂʅ1	
尹	in3	
尺	tʂʰʅ5	
尼	ni1	
尽	tɕin5	
尾	ʑi5	
尿	ȵiɔo5	
局	tɕy1	
屁	pi5	
層	tsʰən1	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	抽屉
屆	tɕie5	
屋	vu5	
屍	ʂʅ1	
屎	ʂʅ3	
屏	pʰin1	围屏
屐	tɕi1	木屐
屑	ɕie5	不屑
屑	ɕie5	木屑
展	tʂɛ̃3	
屬	ʂu5	
屠	tʰu1	
屢	ly5	
履	ly3	
屯	tʰuən1	
山	ʂɛ̃1	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi1	
岑	tsʰən1	
岔	tʂʰa5	三岔路
崗	kɑŋ5	
島	tɔo3	
嶺	lin5	
岳	ye5	
岸	ɛ̃5	
峽	ɕia1	
峰	fən1	
峰	fən1	
崇	tʂʰuən1	
崑	kʰuən1	
崔	tsʰuei1	姓
崖	ia1	山崖
崩	pən1	
嵌	tɕʰiɛ̃5	
嵩	suən1	
嶽	ye5	
巖	iɛ̃1	
川	tʂʰuɛ̃1	
州	tʂɤu1	
巡	ɕyn1	
巢	tʂʰɔo1	
工	kuən1	
左	tsuə3	
巧	tɕʰiɔo3	
巨	tɕy5	
鞏	kuən5	巩固
巫	vu1	
差	tʂʰɛi1	出差
差	tsʰɿ1	参差
差	tʂʰa1	差别,差不多
己	tɕi3	
已	ʑi3	
巳	sɿ5	辰巳
巴	pa1	
巷	xɑŋ5	
巾	tɕin1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuɛi5	
帆	fɛ̃1	
師	ʂʅ1	
希	ɕi1	
帳	tʂɑŋ5	
帕	pʰa5	
帖	tʰie5	请帖
帘	liɛ̃1	
帚	tʂu3	
帛	pə1	
帝	ti5	
帶	tɛi5	
席	ɕi1	
幫	pɑŋ1	
常	tʂʰɑŋ1	
帽	mɔo5	
幅	fu1	
幔	mɛ̃5	
幕	mu5	
干	kɛ̃1	
平	pʰin1	
年	ȵiɛ̃1	
并	pin5	
幸	ɕin5	
幹	kɛ̃1	
幺	mə1	
幻	xuɛ̃5	
幼	iɤu5	
幽	iɤu1	
幾	tɕi3	幾乎,幾個
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tɕʰin5	
庇	pi5	
序	ɕy5	
廬	lu1	茅庐
庫	kʰu5	
應	in5	响应
應	in5	应当
底	ti5	
店	tiɛ̃5	
廟	miɔo5	
庚	kən1	
府	fu3	
龐	pʰɑŋ1	
廢	fei5	
度	tu5	
座	tsuə5	
庭	tʰin5	
庵	ɛ̃1	
庶	ʂu5	
康	kʰɑŋ1	
庸	yn1	
廉	liɛ̃1	
廊	lɑŋ1	
廓	kʰuə5	
廖	liɔo5	姓
延	iɛ̃1	
廷	tʰin5	
建	tɕiɛ̃5	
開	kʰɛi1	
异	ʑi5	
弃	tɕʰi5	
弄	nuən5	
弊	pi5	
式	ʂʅ5	
弓	kuən1	
引	in3	
弘	xuən1	
弟	ti5	
張	tʂɑŋ1	
弥	mi1	
弦	ɕiɛ̃1	
彎	vɛ̃1	
弱	ʐuə5	
彈	tɛ̃1	子弹
彈	tʰɛ̃1	弹琴
强	tɕʰiɑŋ1	
强	tɕiɑŋ5	勉强
弼	pi5	
彀	kɤu5	往上彀
歸	kuei1	
當	tɑŋ1	当时
當	tɑŋ5	当作,典当
形	ɕin1	
彩	tsʰɛi3	
彪	piɔo1	
彬	pin1	
彭	pʰən1	
影	in3	
彷	fɑŋ3	彷彿
役	ʑi5	
徹	tʂʰə5	
彼	pi5	
彿	fu1	彷彿
往	vɑŋ3	
征	tʂən3	
徑	tɕin5	
待	tɛi5	
很	xən3	
律	ly5	
後	xɤu5	
徐	ɕy1	
徒	tʰu1	
得	tə1	
徙	ɕi1	
御	ʑy5	
復	fu5	复兴
復	fu5	复原
循	ɕyn1	
微	vei1	
徵	tʂən1	征求
德	tə1	
徽	xuei1	
心	ɕin1	
必	pi5	
憶	ʑi5	
忌	tɕi5	
忍	ʐən3	
忒	tʰei1	忒杀,忒好
忖	tsʰuən3	
志	tʂʅ5	
忘	vɑŋ5	
忙	mɑŋ1	
忠	tʂuən1	
憂	iɤu1	
快	kʰuɛi5	
念	ȵiɛ̃5	
忽	xu1	
忿	fən5	
懷	xuɛi1	
態	tʰɛi5	
慫	suən3	怂恿
慪	ɤu5	怄气
怒	nu5	
怕	pʰa5	
怖	pu5	恐怖
憐	liɛ̃1	
思	sɿ1	
怠	tɛi5	
急	tɕi1	
性	ɕin5	
怨	yɛ̃5	
怪	kuɛi5	
怯	tɕʰie5	畏怯
怱	tsʰuən1	
總	tsuən3	
恃	ʂʅ5	
戀	liɛ̃5	
恐	kʰuən5	
恆	xən1	
恕	ʂu5	
恢	xuei1	
恤	ɕy5	
恨	xən5	
恩	ən1	
恭	kuən1	
息	ɕi1	
恰	tɕʰia5	
懇	kʰən3	
恶	ə5	善恶
恶	vu5	恨,可恶
惱	nɔo3	
悄	tɕʰiɔo1	静悄悄
悉	ɕi1	
悔	xuei5	
悟	vu5	
悠	iɤu1	
患	xuɛ̃5	
悦	ye5	
懸	ɕyɛ̃1	
憫	min5	
悲	pei1	
情	tɕʰin1	
驚	tɕin1	
惑	xuə5	
惜	ɕi1	
惟	vei1	
惠	xuei5	
懼	tɕy5	
慘	tsʰɛ̃5	
懲	tʂən1	
慚	tsʰɛ̃1	
慣	kuɛ̃5	
惰	tuə5	
想	ɕiɑŋ5	
惹	ʐə3	
愁	tʂʰɤu1	
愈	ʑy5	愈好,病愈
愉	ʑy1	
意	ʑi5	
愚	ʑy1	
感	kɛ̃5	
憤	fən5	
愧	kʰuei5	
