#漢字	音標	解釋
䙡	kʰuei5	绳~子
翁	vəŋ1	
翅	tsʰɿ5	
翔	ɕiaŋ2	
翹	tɕʰiau5	
翹	tɕʰiau2	木头~了
翟	tʂei2	
翠	tʂʰuei5	
翻	fæ̃1	
翼	i5	
耀	iau5	
老	lau3	
老	səu3	
老	lau1	~碗~鼠~虎
考	kʰau3	
而	ɚ2	
耍	ʂua3	
耐	nɛ5	
耕	tɕie1	~地
耬	ləu2	
耱	mɤ5	地~
耳	ɚ3	
耷	ta1	
耻	ʂuəŋ2	
耻	tʂʰʅ3	
耽	tæ̃1	
耿	kəŋ3	
聾	luəŋ2	
職	tʂʅ1	
聯	liæ̃2	
聯	luæ̃2	
聚	tɕy5	
聰	tʂʰuəŋ1	
肅	ɕy1	
肆	sɿ5	
肉	ʐəu5	
肋	lei1	
肌	tɕi1	
肏	ʐʅ1	性交
肘	tʂəu3	
肚	tu5	~子疼
肚	tu3	猪~子
肝	kæ̃1	
腸	tʂʰaŋ2	
股	ku3	
膚	fu1	
肥	fei2	
肩	tɕiæ̃1	
骯	naŋ1	~脏
肯	kʰəŋ3	
育	y5	
肷	tɕʰiæ̃3	软~
肺	fei5	
腎	ʂəŋ5	
腫	tʂuəŋ3	
脹	tʂaŋ5	
脅	ɕie2	
胃	vei5	
膽	tæ̃3	
背	pei5	
胎	tʰɛ1	
胖	pʰaŋ5	
胗	tʂəŋ3	鸡~子
胛	tɕia1	肩~
勝	ʂəŋ5	
胞	pʰau2	
胡	xu2	
胤	iəŋ5	繁殖
胯	kʰua3	
胰	i5	~子
膠	tɕiau1	
胸	ɕyəŋ1	
能	nəŋ2	
能	pʰia3	
脂	tsɿ1	
脆	tʂʰuei5	
脉	mei1	
脊	tɕi1	
脏	tʂaŋ1	
脏	tʂaŋ5	~腑炫耀张狂那人还~得很讥刺说人短处他还~我呢
臍	tɕʰi2	
腦	ʂau2	
腦	nau3	
膿	nəŋ2	
脖	pɤ2	
脚	tɕyo1	
脚	vɛ3	
脬	pʰau1	~牛
脯	pʰu3	杏~
脱	tʰuɤ1	
臉	liæ̃3	
脾	pʰi2	
腃	tɕʰyæ̃2	身体缩成团
腆	tʰie5	~肚子
腆	tʰie3	腼~
腈	tɕʰiəŋ1	~纶
臘	la1	
腌	a1	~臜
腌	iæ̃1	~菜
腐	fu3	
腕	væ̃5	
腥	ɕiəŋ1	
腮	sɛ1	
腰	iau1	
腹	fu1	
膩	mi5	~虫
腿	pʰia3	
腿	tʰuei3	
膀	paŋ3	~子
膏	kau5	~油
膏	kau3	牙~
膘	piau1	
膜	mɤ1	
膝	tɕʰi2	
膨	pʰəŋ2	
膻	ʂæ̃1	~气
臂	pei5	胳~
臊	sau1	~气
臊	sau5	害~~子牲畜身上得的一种癣病猪~了
臣	tʂʰəŋ2	
自	tsɿ5	
臭	tʂʰəu5	
至	tsɿ5	
舀	iau3	
舅	tɕiəu5	
舒	ʂu1	
舔	tʰiæ̃3	
舕	tʰæ̃5	吐舌~舌头
舞	vu3	
般	pæ̃1	
船	tʂʰuæ̃2	
船	ʂuæ̃2	
良	liaŋ2	
艱	tɕiæ̃1	
色	sei1	
豔	iæ̃5	
藝	i5	
艾	nɛ5	~蒿
節	tɕie1	
芋	y5	
芒	maŋ2	~种
芒	vaŋ2	麦~
芝	tsɿ1	
芥	kɛ5	~菜
蘆	ləu2	
芪	tɕʰi2	黄~
芫	iæ̃2	~荽
芬	fəŋ1	
芯	ɕiəŋ5	灯~
花	xua1	
芳	faŋ1	
芸	yəŋ2	
芹	tɕʰiəŋ2	
芽	ia2	
葦	vei3	
葦	y3	~子
蒼	tʂʰaŋ1	
苏	su1	
苗	miau2	
苜	mu1	~蓿
苟	kəu3	姓
苟	kʰəu5	姓
若	ʐuɤ1	
苦	kʰu3	
苫	ʂæ̃5	盖
苫	ʂæ̃1	草~子
英	iəŋ1	
苶	ȵie1	
蘋	pʰiəŋ2	
茂	mau5	
范	fæ̃5	
茄	tɕʰie2	狗等动物用嘴叼
茅	mau2	
塋	iəŋ2	
繭	tɕiæ̃3	草粮食等捆成的个子麦~子
茫	maŋ2	
茬	tʂʰa2	
茴	xuei2	
茶	tʂʰa2	
茸	ʐuəŋ2	
草	tʂʰau3	
薦	tɕiæ̃5	
荒	xuaŋ1	
蕩	taŋ5	
榮	yəŋ2	
葷	xuəŋ1	
熒	iəŋ2	
蔭	iəŋ1	
藥	yo1	
荷	xuɤ2	
荽	suei5	芫~
莎	suɤ1	~草
莛	tʰiəŋ3	草~子
莠	iəu3	谷~子
莫	mɤ1	
蓮	liæ̃2	
获	xuɤ5	
获	xu5	收~
鶯	iəŋ1	
莽	maŋ3	~撞
菊	tɕy1	
菜	ʐuæ̃0	
菜	tʂʰɛ5	
菠	pɤ1	
菢	pau5	~鸡娃
菩	pʰu2	~萨
萌	məŋ2	
萍	pʰiəŋ2	
營	iəŋ2	
薩	sa1	
落	la5	
著	tʂu5	
葡	pʰu2	~萄
董	tuəŋ3	
葫	xu2	
葬	tʂaŋ5	
葱	tʂʰuəŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒙	məŋ2	~眼睛
蒙	məŋ1	欺骗猜测
蒜	suæ̃5	
蒲	pʰu2	
蒸	tʂəŋ1	
蒿	xau1	~子
蓄	ɕy5	~水
蓉	yəŋ2	
蓖	pi1	~麻
藍	læ̃2	
蓬	pʰəŋ2	
蔓	væ̃5	
蔓	mæ̃2	~菁
蔡	tʂʰɛ5	
蔫	ȵiæ̃1	
蔬	ʂu1	
藹	nɛ3	
蔽	pi5	
薄	pɤ2	
薅	xau1	拔揪
薛	ɕie1	
薯	ʂu3	
薹	tʰɛ2	
藉	tɕʰie5	乘着~他还在家
藏	tʂʰaŋ2	
藏	tʂaŋ5	~族
藿	xuɤ1	~香
蘸	tʂæ̃5	
虎	xu3	
虐	yo1	~待
慮	ly5	
虚	ɕy1	
蟲	tʂʰuəŋ2	
蟲	səu3	
蟣	tɕi3	~子
虱	sei1	
虱	səu3	
虹	tɕiaŋ5	
雖	suei1	
蝦	ɕia1	
蝕	ʂʅ2	
蟻	i1	粮食秸秆碾成的碎末麦~猪~子
螞	ma2	~蚁
蚊	vəŋ2	
蠶	tʂʰæ̃2	
蚤	tʂau5	虼~
蚰	iəu2	毛~蜒
蛆	tɕʰy1	
蛋	tæ̃5	
蛛	tʂu1	
蛤	xa2	~蟆
蠻	mæ̃2	
蛾	nuɤ2	
蜂	fəŋ1	
蜓	tʰiəŋ2	
蜕	tʰuei5	~皮
蝸	kua3	~~牛
蜘	tʂʅ1	~蛛
蜜	mi1	
蠟	la1	
蜻	tɕʰiəŋ1	~蜓
蠅	iəŋ2	
蠍	ɕie1	
蝶	tie2	打~仗打架
融	yəŋ2	
螺	luɤ2	~丝
蟊	mau2	~贼
蟒	maŋ3	
蠢	tʂʰuəŋ3	
血	ɕie1	
行	ɕiəŋ2	
行	xaŋ2	~业
行	xaŋ5	一~
衍	iæ̃3	水溢
街	kɛ1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	aŋ1	
表	piau3	
衩	tʂʰa3	
衫	sæ̃1	
襯	tʂʰəŋ5	
衰	ʂuɛ1	
衲	na1	~鞋底子
衷	tʂuəŋ1	
袁	yæ̃2	
襖	nau3	
袋	tɛ5	
袍	pʰau2	
袖	ɕiəu5	
袜	va1	
被	səu3	
被	pi5	
襲	ɕi1	
袱	fu2	
裁	tʂʰɛ2	
裂	lie1	
裝	tʂuaŋ1	
裝	tʂuaŋ5	将棉絮或土等填入衣鞋或空隙内~鞋~土
襠	taŋ1	裤~
裕	y5	
裙	tɕʰyəŋ2	
褲	kʰu5	
裴	pʰi2	姓
裹	kuɤ3	
褙	pei5	
褡	ta1	~~口袋
褥	ʐu1	
褪	tʰuei5	~色
褯	tɕʰie5	小孩尿布~子
褿	tʂʰau2	衣服长时间未洗
襟	tɕiəŋ1	
襻	pʰæ̃5	纽~
西	ɕi1	
要	iau1	~求
要	iau5	~钱
覆	fu1	
見	tɕiæ̃5	
觀	kuæ̃1	
規	kuei1	
規	kʰuei1	
視	sɿ5	
覽	læ̃3	
覺	tɕyo1	
覺	səu3	
覺	tɕiau5	睡~
角	kuɤ2	羊~
角	tɕyo1	豆~子
解	tɕie3	
解	kɛ3	~开
解	xɛ5	姓
觸	tʂu2	
譽	y5	名~
謄	tʰəŋ2	
誓	ʂʅ5	
警	tɕiəŋ3	
譶	ta1	喋喋不休屄~屄~地不停地说话惹人讨厌
計	tɕi5	
訂	tiəŋ5	
認	ʐəŋ5	
譏	tɕi1	
討	tʰau3	
讓	ʐaŋ5	
訓	ɕyəŋ5	
議	i5	
訊	ɕyəŋ5	
記	tɕi5	
講	tɕiaŋ3	
諱	ɕy5	隐瞒
許	ɕy3	
論	lyəŋ5	
訟	suəŋ5	
訪	faŋ3	
訣	tɕyo1	
訣	kuɤ1	口~
證	tʂəŋ5	
評	pʰiəŋ2	
識	ʂʅ1	
詐	tʂa5	
訴	su5	
診	tʂəŋ3	
謅	tʂəu1	胡~
詞	tsʰɿ2	
詞	ȵie2	
詞	vɛ3	
試	sɿ5	
試	tsɿ5	考验~验人心
詩	sɿ1	
誠	tʂʰəŋ2	
話	xua5	
詭	kuei3	
該	kɛ1	
詳	ɕiaŋ2	
詫	tʂʰa5	~生
誣	vu1	
語	y3	
誤	vu5	
誘	iəu5	
説	ʂuɤ1	
誦	suəŋ5	
誒	ei1	叹词表惊奇
請	tɕʰiəŋ3	
諸	tʂu1	
讀	tu2	
課	kʰuɤ5	
誰	sei2	
誰	ʂuei2	
調	tʰiau2	~整
調	tiau5	音~
諒	liaŋ5	
談	tʰæ̃2	
誼	ȵi2	
誼	i2	
謀	luæ̃1	
謀	mu2	
謊	xuaŋ3	
諧	ɕie2	
謂	vei5	
諼	ɕyæ̃1	~谎撒谎
讒	tʂʰæ̃2	
諺	iæ̃5	
謎	mi2	
諞	pʰiæ̃3	闲侃~嘴吹牛说大话
謝	ɕie5	
謡	iau2	
謙	tɕʰiæ̃1	
謹	tɕiəŋ3	
謬	ȵiəu5	~误
譚	tʰæ̃2	
譜	pʰu3	
谷	ku1	
豁	xuɤ1	~~嘴
豆	təu5	
豌	væ̃1	
象	ɕiaŋ5	
豪	xau2	
豹	pau5	
豺	tʂʰɛ2	
貂	tiau1	
貌	mau5	
貒	tʰuæ̃1	猪獾
貝	pei5	
貞	tʂəŋ1	
負	fu5	
貢	kuəŋ5	
財	tʂʰɛ2	
責	tʂei2	
責	ɕyo3	
賢	ɕiæ̃2	
敗	pʰɛ5	
賬	tʂaŋ5	
貨	xuɤ5	
貨	xu1	~郎子
質	tʂʅ1	
販	fæ̃5	
貪	tʰæ̃1	
貧	pʰiəŋ2	
貶	piæ̃3	
購	kəu5	
貫	kuæ̃5	
賤	tɕiæ̃5	
貼	pia1	
貼	tʰie1	
貴	kuei5	
貸	tɛ5	
貿	mau5	
費	fei5	
賀	xuɤ5	
賊	tʂei2	
賈	tɕia3	姓
賄	xuei5	
賂	ləu5	
贓	tʂaŋ1	贼~
資	tsɿ1	
賭	tu3	
贖	ʂu2	
賞	ʂaŋ3	
賜	tsʰɿ5	
賜	sɿ5	
賠	pʰei2	
賴	lɛ5	
贅	tʂuei5	扽~住
賽	sɛ5	
贊	tʂæ̃5	
贈	tʂəŋ5	
贏	iəŋ2	
赤	tʂʰʅ1	
赫	xei1	
走	tʂəu3	
赴	pʰu5	
趙	tʂau5	
趕	kæ̃3	
起	tɕʰi3	
起	tʂəu3	
起	tɕʰie3	~来
趁	tʂʰəŋ5	
趄	tɕʰie5	趔~
超	tʂʰau1	~颏子发呆
趉	tɕyo1	抽身而走~脱走了
越	yo1	
趨	tɕʰy1	
趏	kua3	飞跑一个趟子~了
趔	lie5	~趄子
趟	tʰaŋ5	
趣	tɕʰy5	
趾	tsɿ1	脚~头
跌	tie1	
跐	tsʰɿ3	手脚在物体表面摩擦
跐	tsʰɿ1	踏入
跑	pʰau3	
跗	fu2	脚~
跛	pɤ3	~子
距	tɕy5	
跟	kəŋ1	
跤	tɕiau1	
跨	kʰua5	
跪	kʰuei5	
路	ləu5	
跳	tʰiau5	
蹺	tɕʰiau1	~~板
踏	tʰa1	
踒	vɤ1	
踝	xua2	~拉拐子脚踝
踢	tʰi1	
踩	tʂʰɛ3	
蹤	tʂuəŋ1	
踹	tʂʰuɛ1	女人或牲畜不生育~子
蹂	ʐəu3	用脚蹨
蹄	tʰi2	
蹨	ȵiæ̃3	用脚踩踏
蹬	təŋ1	
蹲	tuəŋ1	
蹶	tɕyo1	
蹻	tɕʰiau1	
躥	tʂʰuæ̃1	向上跳或飞跑
躁	tʂʰau5	暴~
躖	tuæ̃5	追赶
躟	ʐaŋ3	踩
身	ʂəŋ1	
躱	tuɤ3	
躺	tʰaŋ3	
車	tɕy1	~马炮
軋	tʂa3	结算~账
轉	tʂuæ̃3	~移
轉	tʂuæ̃5	~街
輪	lyəŋ2	
軟	ʐuæ̃3	
轟	xuəŋ1	
軲	ku1	~辘
軸	tʂu2	
輕	tɕʰiəŋ1	
載	tʂɛ3	
轎	tɕiau5	
較	tɕiau5	
輔	fu5	
輛	liaŋ3	
輩	pei5	
輝	xuei1	
輻	fu1	车~条
輸	ʂu1	
轅	yæ̃2	
轄	ɕia2	
轆	ləu1	
辛	ɕiəŋ1	
辜	ku1	
辭	tsʰɿ2	
辣	la1	
辨	piæ̃5	~不来
辯	piæ̃5	
辮	piæ̃5	
辱	ʐu1	
邊	piæ̃1	
達	ʐuæ̃0	
達	ta2	
遷	tɕʰiæ̃1	
迅	ɕiəŋ5	
過	kuɤ5	
邁	mɛ5	
迎	iəŋ2	
運	yəŋ5	
近	tɕiəŋ5	
返	fæ̃3	
還	xuæ̃2	
進	tɕiəŋ5	
遠	yæ̃3	
違	vei2	
連	liæ̃2	
遲	tsʰɿ2	
迪	ti2	
迫	pei1	
迭	tie2	及来不~
述	ʂu5	
迷	mi2	
迸	pie5	裂开~口子迸出针~了用火烧烤使爆裂~玉米花
迹	tɕi1	
追	tʂuei1	
退	tʰuei5	
送	suəŋ5	
適	ʂʅ1	赶鸡声
逃	tʰau2	
選	ɕyæ̃3	
透	tʰəu5	
逐	tʂu2	
遞	ti5	
途	tʰu2	
逗	təu5	~一下
通	tʰuəŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	
速	su1	
造	tʂʰau5	
逢	fəŋ2	
逮	tɛ1	
逵	kʰuei2	
逶	vei2	挪移
逼	pi1	
遇	y5	
遍	piæ̃5	
道	tau5	
遺	i2	
遣	tɕʰiæ̃3	
遥	iau2	
遭	tʂau1	
遵	tʂuəŋ1	
避	pʰi3	~雨
邋	la1	~遢
鄧	təŋ5	
那	luæ̃1	
那	nɛ5	
邦	paŋ1	
邪	ɕie2	
郵	iəu2	
鄒	tʂəu1	
鄰	liəŋ2	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂəŋ5	姓
郝	xuɤ1	姓
部	pu5	
部	pʰu5	
郭	kuɤ1	
都	təu2	~是
都	tu1	姓
鄂	nuɤ2	
酉	iəu3	
配	pʰei5	
酒	tɕiəu3	
酥	su1	
醬	tɕiaŋ5	
酵	tɕiau5	~子
酸	suæ̃1	
釅	iæ̃5	
釀	ʐaŋ5	~皮
醉	tʂuei5	
醋	tsʰu5	
醒	ɕiəŋ3	
采	tʂʰɛ3	
釋	ʂʅ1	
里	xei3	
里	li3	衣服~子
重	tʂuəŋ1	
重	tʂʰuəŋ2	
重	tʂuəŋ5	
野	ie3	
量	liaŋ5	
金	tɕiəŋ1	
鏨	tʂʰæ̃5	一种专门凿石头的铁器
鏇	ɕyæ̃5	
針	tʂəŋ1	
釘	tiəŋ1	
釘	tiəŋ5	
釤	sæ̃5	~镰
釵	tʂʰɛ1	
鈍	tuəŋ5	
鈔	tʂʰau1	
钟	tʂuəŋ1	
鋼	kaŋ1	
鋼	kaŋ3	磨刀
鑰	yo1	
鉤	kəu1	
鈀	pʰa2	~子
錢	luæ̃1	
錢	tɕʰiæ̃2	
鉗	tɕʰiæ̃2	
鉢	pɤ1	
鑽	tʂuæ̃5	~眼~石
鑽	tʂuæ̃1	伸入~天杨
鐵	tʰie1	
鈴	liəŋ2	
鉚	mau3	
銅	tʰuəŋ2	
鋁	ly1	
鍘	tʂa2	
鏵	xua2	
鉸	tɕiau3	剪
鏟	tʂʰæ̃3	
銀	iəŋ2	
鋪	pʰu1	~炕
鋪	pʰu5	小卖~
鏈	liæ̃5	
銷	ɕiau1	
鎖	suɤ3	
鋥	tʂəŋ1	亮~~
鋤	tʂʰu2	
鍋	kuɤ1	
鏽	ɕiəu5	
銼	tʂʰuɤ1	
銳	ʐuei5	
錯	tʂʰuɤ5	
鑼	luɤ2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕiəŋ3	
鍁	ɕiæ̃1	
鋸	tɕy5	
鍛	tuæ̃5	
鍍	tu5	
鎮	tʂəŋ5	
鑷	ȵie1	
鑌	piəŋ1	~铁
鏢	piau1	
鏝	mæ̃5	字儿~儿
鏰	pəŋ5	钢~子
鏡	tɕiəŋ5	
鑹	tʂʰuæ̃1	一种凿东西的工具
鐙	təŋ5	
鐲	tʂuɤ2	
鐮	liæ̃2	
鑞	la1	锡~
鑲	ɕiaŋ1	
長	tʂʰaŋ2	~短
長	tʂaŋ3	生~
門	məŋ2	
閂	ʂuæ̃5	
閃	ʂæ̃3	
閉	pi5	
問	vəŋ5	
闖	tʂʰuaŋ3	
閏	ʐuəŋ5	
闲	ɕiæ̃2	
間	tɕiæ̃1	~隔
悶	məŋ5	
閘	tʂa5	自行车~米面等未煮熟吃上生硬口感不好
鬧	lau5	~事
鬧	nau5	热~
聞	vəŋ2	
鬮	tɕiəu1	抓~
閲	yo1	
閻	iæ̃2	
闊	kʰuɤ1	
隊	tuei5	
防	faŋ2	
陽	iaŋ2	
陰	iəŋ1	
陣	tʂəŋ5	
階	tɕie1	
阻	tsu3	
附	fu5	
際	tɕi5	
陸	ləu1	
隴	luəŋ3	
陳	tʂʰəŋ2	
陋	ləu5	
降	tɕiaŋ5	
降	ɕiaŋ2	投~
限	ɕiæ̃5	
限	xæ̃5	~时站年~倒插门
陝	ʂæ̃3	
陡	təu3	
院	yæ̃5	
除	tʂʰu2	
險	ɕiæ̃3	
陪	pʰei2	
陶	tʰau2	
陷	sæ̃5	~坑
隆	luəŋ2	
隨	suei2	
隱	iəŋ3	
隔	kei1	
障	tʂaŋ5	
隶	li2	
難	næ̃2	为~
難	næ̃5	患~
雀	tɕʰiau3	麻~子
雁	iæ̃5	
雄	ɕyəŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雊	kəu2	公鸡打鸣~~喽
雕	tiau1	
雨	y3	
雪	ɕyo1	
零	liəŋ2	
雷	luei2	
霧	vu5	
需	ɕy1	
震	tʂəŋ5	
霜	ʂuaŋ1	
霞	ɕia2	
露	ləu5	
霸	pa5	
青	tɕʰiəŋ1	
靜	tɕiəŋ5	
非	fei1	
靠	kʰau5	
面	xei3	
面	miæ̃5	
革	kei1	
革	kɤ2	
靪	tiəŋ1	补~
靴	ɕyo1	
靶	pa3	
靸	sa1	~鞋
靿	iau5	袜~子
鞋	xɛ2	
鞍	næ̃1	
鞔	mæ̃2	将布蒙补在鞋帮或袖口上~鞋
鞘	ɕiau5	刀~子
鞠	tɕy1	~躬
鞦	tɕʰiəu1	
鞭	piæ̃1	
韓	xæ̃2	
韭	tɕiəu3	
音	iəŋ1	
音	ȵie2	
音	pʰia3	
音	vɛ3	
韻	yəŋ5	
頁	ie1	
頂	tiəŋ3	
項	xaŋ5	
順	ʂuəŋ5	
须	ɕy1	
頑	væ̃2	
顧	ku5	
頓	tuəŋ5	
頒	pæ̃1	
預	y5	
顱	ləu2	
領	liəŋ3	
頗	pʰɤ1	~烦
顆	kʰuɤ3	
題	tʰi2	
顔	iæ̃2	
額	nɛ1	
顛	tiæ̃1	
顫	tʂæ̃5	
顴	tɕʰyæ̃2	
風	fəŋ1	
颼	səu1	冷~~
飄	pʰiau1	
飛	fei1	
食	ʂʅ2	
餐	tʂʰæ̃1	
餷	tʂʰa1	熬煮食物
饥	tɕi1	
飯	fæ̃5	
飲	iəŋ3	~食
飲	iəŋ5	~牲口
飾	sɿ5	
飽	pau3	
飼	sɿ5	
餌	ɚ3	
饒	ʐau2	
餃	tɕiau3	
餅	piəŋ3	
餓	nuɤ5	
餡	ɕyæ̃5	饺~子
館	kuæ̃3	
饞	tʂʰæ̃2	
饃	mɤ2	
饉	tɕiəŋ3	年~
饅	mæ̃2	
饊	sæ̃3	~子
饢	naŋ3	吃的粗俗说法~糠
首	ʂəu3	
香	ɕiaŋ1	
騲	tʂʰau3	~驴
馬	ma3	
馱	tuɤ5	~子
馱	tʰuɤ2	用牲畜运送
駁	pɤ1	
驢	y2	
駛	sɿ3	
駙	fu5	
駒	tɕy1	
駝	tʰuɤ2	~背
駕	tɕia5	
駡	ma5	
駱	luɤ1	
驗	iæ̃5	
騎	tɕʰi2	
騍	kʰuɤ5	~马
騙	pʰiæ̃5	
騷	sau1	
騸	ʂæ̃5	
騾	luɤ2	
驏	tʂʰæ̃3	骑牲口不鞴鞍子光身子
驟	tʂəu5	
骨	ku1	
髕	piəŋ5	~骨
髓	suei2	
高	kau1	
髻	tʂuæ̃3	
髽	tʂua1	妇女梳的发髻
鬃	tʂuəŋ1	
鬢	piəŋ5	
鬼	kuei3	
魁	kʰuei2	
魂	xuəŋ2	
魄	pʰɛ3	
魄	pʰɤ1	~力
魘	iæ̃3	~住了
魏	vei5	
魔	mɤ2	
魚	y2	
魯	ləu3	
鮮	ɕiæ̃3	
鱉	pie1	
鳥	ȵiau3	
雞	tɕi1	
鳴	miəŋ2	
鴉	ia1	臊~乌鸦
鴨	ia1	
鴟	tsʰɿ1	~怪子一种民间视为不吉的鹞鹰
鴛	yæ̃1	~鸯
鴰	va1	老~乌鸦
鴿	kuɤ1	
鴻	xuəŋ2	
鵝	nuɤ2	
鵲	tɕʰiau1	
鵪	næ̃1	~鹑
鵬	pʰəŋ2	
鵮	tɕʰiæ̃1	鸟啄
鶉	tʂʰuəŋ2	鹌~
鷂	iau5	~子
鶴	xuɤ1	
鸚	iəŋ1	
鷹	iəŋ1	
鹿	ləu1	
麥	mei1	
麨	tʂʰau3	~面
麴	tɕʰy1	酒~
麩	fu1	
麻	ma2	
黃	xuaŋ2	
黏	ʐæ̃2	
黑	xei1	
默	mei1	
黶	iæ̃3	~子
黴	mei2	黑
鼎	tiəŋ3	
鼓	ku3	
鼠	tʂʰu3	
鼠	səu3	
鼻	pi2	
齉	naŋ5	鼻子~
齊	tɕʰi2	
齒	tsʰɿ3	
齡	liəŋ2	
齷	vɤ1	~龊
龍	luəŋ2	
龔	kuəŋ1	
龜	kuei1	
𡎺	tsu2	塞住
