#漢字	音標	解釋
#簡稱	/	韶山大坪
#全稱	/	韶山大坪話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5 3a 陰去 ꜄,21 6 3b 陽去 ꜅,24 7 4 入 ꜆
#版本	/	2022-01-12
#錄入人	/	跳跳老鼠
#參考資料	/	《韶山方言同音字匯兩種》
#說明	/	
㿭	tsʰɔ7	皴
臟	dzaŋ6	
臣	dən2	
自	dzɿ6	
臭	tʰiɯ5	
至	tʂʅ5	
致	tʂʅ5	
臺	dai2	戏～
臻	tsiɛ̃1	
臼	ɟiɯ6	
舀	iau3	
舂	tʰən1	
舅	ɟiɯ6	
舌	siɛ5	
舍	siɛ5	宿～
舒	ʂʯ1	
舔	tʰĩ3	
舜	suən5	
舞	u3	
舟	tiɯ1	
航	ɣaŋ2	
般	piɛ̃1	
艦	kʰã5	
舵	dʊ6-	
舵	tʊ5=	
船	duɛ̃2	
艇	tʰiən3	
良	niaŋ2	
艱	kã1	
色	siɛ7	
艳	ɲĩ5	
藝	ɲĩ5	
艾	ŋã6	
節	tsiɛ7	
芋	ʯ5	
芍	çiʊ5	
芒	maŋ2	
芙	βu2	
芝	tʂʅ1	
芥	ka5	
蘆	lɯ2	
蘆	liɯ2	又
芬	xuən1	
芭	pɔ1	又
芭	puɔ1	
芮	ʂuei5	姓
花	xɔ1	
芳	xaŋ2	
芹	ɟiən2	
芽	ŋɔ̃2	
葦	uei3	
莧	ɣã6	
蒼	tsʰaŋ1	
苧	dʯ6	
苏	sɯ1	
苔	tʰai1	舌～
苔	dai2	青～
苗	miau1	
苟	kai3	
若	iʊ7	
苦	kʰu3	
英	iən1	
茂	mai6-	
茂	mai5=	
范	ɣuã6	模～；姓
茄	dɔ2	～子
茅	mau2	
塋	uən2	
繭	cĩ3	
茫	maŋ2	
茴	ɣuai2	
茶	dzɔ2	
茸	iən2	
荆	ciən1	
草	tsʰau3	
薦	tsĩ5	
荒	xaŋ2	
荔	li6	
蕎	ɟiau2	
薺	dzi2	
荡	daŋ6	放～
榮	uən2	
葷	xuən1	
荫	iən1	
藥	iʊ7	
荷	ɣʊ2	～花
莫	mʊ5	
蓮	nĩ2	
获	xuɛ7	
鶯	iən1	
莽	maŋ3	
菊	ciɯ7	
菌	duən6	
菖	tʰaŋ1	
菜	tsʰai5	
菠	pʊ1	
菢	bau6	～鸡婆
菩	bu2	
菱	niən2	
萄	dau2	
萌	miən2	
萍	biən2	
萎	uei1	
螢	ɲiɔ̃2-	
螢	uən2=	
營	uən2	
蕭	siau1	
薩	sa7	
落	lʊ5	
落	lʊ7	
著	tʯ5	显～
葚	ʝiən6	
葛	kuɛ7	
董	tən3	
葫	βu2	～芦
葬	tsaŋ5	
葱	tsʰən1	
葱	tsʰuən1	又
葵	ɡuei2	
蔣	tsiaŋ3	
蒙	maŋ2	
蒜	ʂuɛ̃5	
蒲	bu2	
蒸	tən1	
蒿	xau1	
蓄	çiɯ7	储～
蓉	iən2	
蓑	sʊ1	
蓖	pai1	～麻
藍	nã2	
蓬	baŋ2	
蔗	tɔ5	
蔡	tsʰai5	
蔬	sɯ1	
藹	uai3	
蔽	pi5	
蕉	tsiau1	
蕊	ʯ2	
薄	pʰʊ5	厚～
薄	bʊ6	～荷
薅	xau1	
薛	siɛ7	
薪	siən1	
薯	dʯ2	
藉	dziɔ6-	～口
藉	tsi7	狼～
藉	tsiɔ5=	～口
藏	dzaŋ2	隐～
藏	dzaŋ6	西～
藐	miau3	
藕	ŋai3	
藤	diɛ̃2	
藩	ɣuã2	
藿	xʊ7	
虎	ɸu3	
虜	lɯ3	
虜	liɯ3	又
虐	ɲiʊ7	
虑	li6	
虛	ʂʯ1	
虞	ʯ1	又
虞	ɳʯ2	
蟲	dən2	
虱	siɛ7	
虹	xən2	霓～灯
虹	kaŋ5	出～
虻	maŋ2	
雖	si1	
蝦	xɔ1-	鱼～
蝦	ʝia2=	鱼～
蝕	ʂʅ5	
蟻	ɲĩ6	
蚊	miən1-	
蚊	uən2=	
蚌	baŋ6	
蠶	dzã2	
蚣	kən1	
蚤	tsau3	
蛀	tʯ5	
蛆	tsʰi1	
蛇	ʝiɔ2	
蛋	dã6	
蛙	ɔ1	
蛛	tʯ1	
蛤	xuɛ7	～蜊
蠻	mã1	
蟄	tʂʅ5	惊～
蛾	ŋʊ2	
蜀	siɯ5	
蜂	xuən1	
蜈	u2	～蚣
蜓	diən2	
蛻	tʰuai5	
蝸	ɔ1	
蜘	tʂʅ7	～蛛
蜜	mĩ7	
蠟	la7	
蜻	tsʰiən1	
蠅	iən2	
蟬	ɣuɛ̃2	
蝗	ɣaŋ2	
蝙	pĩ3	
蝠	ɸu7	
蝶	tʰiɛ5	
螂	naŋ2	
螃	baŋ2	
融	iən2	
螳	daŋ2	
螺	lʊ2	
蟀	sʊ7	
蟆	mɔ̃2	又，蛤～
蟆	muɔ̃2	蛤～
蟒	maŋ3	
蟹	ɣa6-	
蟹	xa3=	
蟹	xai3=	
蠢	tʰuən3	
血	ʂuɛ7	
衅	çiən5	
行	ʝiən2	～为；品～
行	ɣaŋ2	～列
銜	ɣã2	
街	ka1	
衙	ŋɔ̃2	
衡	ʝiɛ̃2	
衣	i1	
補	pu3	
表	piau3	～面
衫	sã1	
襯	tsʰiɛ̃5	
衰	suai1	
袁	uɛ̃2	
襖	ŋau3	
袋	duai6	
袍	bau2	
袖	siɯ5	
袜	ua7	
被	bi6	～子；～迫
襲	si7	
裁	dzai2	
裂	liɛ7	
裝	tsaŋ1	
裏	li3	
裕	ʯ5-	
裕	ʯ3=	
裙	duən2	
褲	kʰu5	
裥	kã5	
裳	ʝiaŋ2	
裴	bai2	
裹	kʊ3	
製	tʂʅ5	～造
褒	pau3	
褥	iɯ7	
褯	dziɔ6	
褶	tiɛ7	～子
襄	siaŋ1	
襟	ciən1	
襻	pʰã5	
西	si1	
要	iau1	～求
要	iau5	重～
覆	ɸu7	反～
見	cĩ5	
觀	kuã1-	参～
觀	kuɛ̃5	寺～
觀	kuɛ̃1=	参～
規	kuei1	
覓	mĩ5	
視	dzɿ6	
覽	nã3	
覺	ciau5	睡～
覺	tʊ7	知～
覺	kʊ7	知～
角	tʊ7	一～
角	kʊ7	一～
解	ka3	讲～，～开；晓也
觸	tʰiɯ7	
言	ɲĩ2	
託	tʰʊ7	
譽	ʯ3	
謄	diɛ̃2	
誌	tʂʅ5	
誓	dʐʅ6-	
誓	ʂʅ5=	
警	ciən3	
譬	pʰi7	
計	ci5	
訂	tiən5	
訃	ɸu5	
認	iən6	
譏	ci1	
討	tʰau3	
讓	iaŋ6	
訖	cʰi5	
訓	suən5	
議	ɲĩ6	
訊	siən5	
記	ci5	
講	kaŋ3	
諱	xuei5	
許	ʂʯ3	
論	nən2	～语
論	nən6	议～
訟	dzuən6	
諷	xuən1	
設	siɛ7	
訪	xaŋ3	
訣	tuɛ7	
证	tən5	
評	biən2	
識	ʂʅ7	
詐	tsɔ5	
訴	sɯ5	
診	tən1	
診	tən3	又
詞	dzɿ2	
詔	tau1	
譯	i7	
試	ʂʅ5	
詩	ʂʅ1	
誠	dən2	
誅	tʯ1	
話	ɔ6	
誕	tã5	
詭	kuei3	
該	kuai1	
詳	dziaŋ2	
誣	u2	
語	ɳʯ3	
誤	u6	
誘	ɲiɯ3	
說	ʂuɛ7	
誦	dzuən6	
請	tsʰiɔ̃3-	
請	tsʰiən3=	
諸	tʯ1	
諾	lʊ7	
讀	tɯ7	
讀	tiɯ7	
課	kʰʊ5	
誰	ɣuei2	
調	diau2	～和
調	tiau5	音～；～动
諒	niaŋ5	
談	dã2	
誼	ɲĩ2	
謀	mai2	
諜	tʰiɛ5	
謊	xaŋ3	
諧	ʝia2	
謂	uei5	
讒	dzã2	
諺	ɲĩ5	
謎	mĩ2	～语
謎	mĩ6	猜～子
謝	dziɔ6	
謠	iau2	
謗	paŋ5	
謙	cʰĩ1	
謹	ciən3	
謬	miau5	
譚	dã2	
譜	pʰu3	
谷	ku7	山～
豁	xua7	
豆	dai6	
豇	kaŋ3	
豉	dʐʅ6	豆～
豌	uã1-	～豆
豌	uɛ̃3=	～豆
豕	ʂʅ3	
豚	duən2	
象	dziaŋ6	
豪	ɣau2	
豫	ʯ5	
豶	ɣuən2	
豹	pau5	
豺	dza2	
貂	tiau1	
貌	mau5	
貝	pai5	
貞	tən1	
負	βu6	
貢	kən5	
財	dzai2	
責	tsiɛ7	
賢	ʝĩ2	
敗	ba6	
賬	taŋ5	
貨	xʊ5	
質	tʂʅ7	
販	xuã5	
貪	tʰã1	
貧	biən2	
貶	pĩ3	
購	kai5	
貫	kuɛ̃5	
貳	ai6	
賤	dzuɛ̃6-	
賤	dziɛ̃6=	
貼	tʰiɛ7	
貴	kuei5	
貸	duai6	
貿	mai5	
費	xuei5	
賀	ɣʊ6-	
賀	xʊ5=	
賊	tsiɛ7	
賈	ciɔ3	姓
賄	xuei3	
賃	iən6	
賂	lʊ7	
贓	tsaŋ1	
資	tsɿ1	
賒	siɔ1	
賦	ɸu5	
賭	tɯ3	
贖	siɯ5	
賞	çiaŋ3	
賜	tsʰɿ5	
賠	bai2	
賴	la6	
賺	dzuã6	
賽	sai5	
赞	tsã5	
贈	tsʰiɛ̃5	
贏	ɲiɔ̃2-	
贏	iən2=	
赤	tʂʰʅ7	
赦	siɔ5	
赫	çiɛ7	
走	tsai3	
赴	ɸu5	
趙	dau6	
趕	kuɛ̃3	
起	cʰi3	
趁	tʰən5	
超	tʰau1	
越	uɛ7	
趨	tsʰi1	
趟	tʰaŋ5	去一～
趣	tsʰi5	
足	tsɯ7	
趾	tʂʅ3	
躍	iʊ7	
跌	tʰiɛ7	
跑	pʰau3	
跛	pa1-	～子
跛	pʊ1=	～足
距	dʯ6	
跟	ciɛ̃1-	
跟	kən1=	
跨	kʰɔ1-	
跨	kʰɔ5=	
跪	kʰuei3	
路	lɯ6	
路	liɯ6	又
跳	tʰiau5	
踐	tsʰiɛ̃5	
踏	tʰa5	
踢	tʰi7	
蹤	tsuən5	
蹄	di2	
蹲	dzuən2	
躁	tsʰau5	
身	sən1	
躬	kən1	
躲	tʊ3	
躺	tʰaŋ3	
車	tʯ1	～马炮
車	tʰɔ1	
軋	tsa7	～棉花
軌	kuei3	
軒	ʂuɛ̃1	
轉	tuɛ̃3	～眼，～送；～螺丝，～圆圈
軛	ua5	
輪	nən2	
軟	uɛ̃3	
轟	xuən1	
軸	tʰiɯ7	
輕	cʰiɔ̃1-	
輕	cʰiən1=	
載	tsai3	年～
載	tsai5	～重；满～
轎	ɟiau6	
較	kau5	
輔	pʰu3	
輛	niaŋ3	
輩	pai5	
輝	xuei1	
輜	tsɿ1	～重
輯	tsi7	
輸	ʂʯ1	
轅	uɛ̃2	
轄	çia5	
辛	siən1	
辭	dzɿ2	
辟	pʰi7	
辣	la5	
辨	bĩ6	
辯	bĩ6	
辮	bĩ6	
辰	ʝiən2	
辱	iɯ7	
邊	pĩ1	
遼	liau2	
达	ta7	
迁	tsʰĩ1	
迂	ʯ1	
迅	siən5	
過	ku5-	
過	kʊ5=	
邁	mã5	
迎	ɲiən2	
運	uən6	
近	ɟiən6	
還	ɣa2-	～有
還	a2-	～有
還	ɣuã2	～原；～有
進	tsiən5	
遠	uɛ̃3	
違	uei2	
連	nĩ2	
遲	dʐʅ2	
迫	pʰiɛ7	
述	ʂʯ5	
迷	mĩ2	
迸	piən5	
迹	tsi7	
追	tuei1	
退	tʰuai5	
送	sən5	
適	ʂʅ7	
逃	dau2	
逆	ɲĩ7	忤～子
選	ʂuɛ̃3	
遜	sən5	
透	tʰai5	
逐	tʰiɯ7	
遞	di6	
途	dɯ2	
途	diɯ2	又
逗	dai6	
通	tʰən1	
逝	ʂʅ5	
逞	tʰən3	
速	sʊ7	
造	dzau6-	
造	tsʰau5=	
逢	ɣuən2	
逵	ɡuei2	
逸	i7	
逼	pi7	
逾	ʯ1	
遁	tuən5	
遂	dzi6	
遇	ɳʯ6	
遍	pʰĩ1	一～
遍	pʰĩ5	～地
道	dau6	
遺	i2	
遣	cʰĩ3	
遭	tsau1	
遮	tɔ1	
遵	tsuən1	
避	pʰi7	
邀	iau1	
邓	diɛ̃6	
那	la5	
邦	paŋ1	
邪	dziɔ2	
郵	iɯ2	
邵	siau5	
邹	tsai1	
鄰	niən2	
郁	iɯ5	
郊	ciau1	
郎	naŋ2	
鄭	dən6	
郡	duən6	
部	bu6	
郭	kʊ7	
都	tɯ1	
都	tiɯ1	又
鄂	ŋʊ7	
鄙	pʰi3	
酉	iɯ3	
酌	tʊ7	
配	pʰai5	
酒	tsiɯ3	
酥	sɯ1	
酬	diɯ2	
醬	tsiaŋ5	
酵	çiau5	
酷	ku7	
酸	ʂuɛ̃1	
釅	ɲĩ6	
釀	iaŋ5	
醉	tsi5	
醋	tsʰɯ5	
醒	siɔ̃3-	
醒	siən3=	
醜	tʰiɯ3	～陋
醮	tsiau5	
采	tsʰai3	
釉	iɯ6-	
釉	iɯ5=	
釋	ʂʅ7	
里	li3	
重	dən2	～複
重	dən6	轻～
野	ia3	又
野	iɔ3	
量	niaŋ2	～长短
量	niaŋ6	数～
金	ciən1	
釜	ɸu3	
鉴	kã5	
錶	piau3	鐘～
针	tən1	
釘	tiɔ̃1-	铁～
釘	tiɔ̃5-	～住
釘	tiən1=	铁～
釘	tiən5=	～住
釣	tiau5	
釵	tsʰɔ1	
鈍	duən6	
鈔	tsʰau1	
钟	tən1	
鋼	kaŋ1	
鑰	iʊ7	
欽	cʰiən1	
鈞	tuən1	
鉤	kai1	
錢	dzĩ2	
鉗	ɟĩ2	
鉢	piɛ7	
鈸	pʰʊ7	
鑽	tsuɛ̃1	～木；木～
鐵	tʰiɛ7	
鈴	niən2	
鉛	uɛ̃2	
銅	dən2	
鍘	tsʰa5	
鏵	ɣɔ2	
銘	miən2	
鉸	ciau3	
铲	tsʰã3	
銃	tʰən5	
銀	ɲiən2	
鑄	tʯ5	
鋪	pʰu1	～设
鋪	pʰu5	店～
銷	siau1	
鎖	sʊ3	
鋤	dzɯ2	
鍋	ku1-	
鍋	kʊ1=	
鏽	siɯ5	
銼	tsʰʊ5	
鋒	xuən1	
銳	ʂuei5	
錯	tsʰʊ5	～误；～杂
錨	mau2	
錫	siɔ7-	
錫	si7=	
鑼	lʊ2	
錘	dʯ2-	
錘	duei2=	
錦	ciən3	
錠	diən6	
鋸	kai5-	
鋸	tʯ5=	
鍬	tsʰiɯ1	又
鍬	tsʰiau1	
鍾	tən1	
鍛	tuɛ̃5	
鍍	dɯ6	
鎮	tən5	
鎔	iən2	
鏡	ciən5	
镰	nĩ2	
鑞	la7	锡～
鑲	siaŋ1	
長	daŋ2	～短
長	taŋ3	
門	miən2	
閂	suã1	
閃	çĩ3	
閉	pi5	
問	uən6	
闖	tʰaŋ3	
閏	uən6	
闲	ɣã2	
間	kã1	中～
間	kã5	～断
悶	miən3	
閘	tsa7	
鬧	lau6	
閨	kuei1	
聞	uən2	
閩	miən2	
閣	kʊ7	
閱	uɛ7	
閹	ɲĩ1	
閻	ɲĩ2	
闊	kʰuɛ7	
隊	tuai5	
阮	uɛ̃2	
防	ɣaŋ2	
陽	iaŋ2	
陰	iən1	
陣	dən6	
階	ka1	
阻	tsɯ3	
阿	ŋɔ1-	老～公
阿	ʊ1	～胶；(文)老～公
附	βu6	
際	tsi5	
陸	lɯ7	
陸	liɯ7	又
隴	nən3	
陳	dən2	
陌	miɛ̃7	
降	ʝiaŋ2	投～
降	ciaŋ5	下～
限	ɣã6	
陝	siɛ̃3	
陡	tai3	
院	uɛ̃6	
除	dʯ2	
險	çĩ3	
陪	bai2	
陵	niən2	
陶	dau2	
陷	ɣã6	
隆	nən2	
隨	dzi2	
隱	iən3	
隔	ciɛ7	
障	taŋ5	
隧	dzi6-	
隧	sai5	
隶	tʰi5	
隻	tʂʅ1	一～
難	nã2	～易
難	nã5	患～
雀	tsʰiʊ7	
雁	ŋã6	
雄	ʝiən2	
雅	iɔ3	
集	tsi7	
雇	ku5	
雉	dʐʅ6	
雌	tsʰɿ1	
雍	iən1	
雕	tiau1	
雨	ʯ2	
雪	siɛ7	
雲	uən2	～采
零	niən2	
雷	luai2	
雹	pʰau5	
霧	u6	
需	si1	
霄	siau1	
震	tən5	
霉	mai2	
霍	xʊ7	
霜	saŋ1	
霞	ʝiɔ2-	
霞	ʝia2=	
露	lɯ6	
露	liɯ6	又
霸	pɔ5	又
霸	puɔ5	
青	tsʰiɔ̃1-	
青	tsʰiən1=	
靖	dziən6	
靜	dziən6	
非	xuei1	
靠	kʰau5	
靡	mĩ2	
面	mĩ6	脸～
革	ciɛ7	
靪	tiən1	
靴	siɔ1	
靴	çiɔ1	
鞋	ɣa2	
鞍	uɛ̃1-	
鞍	ŋã1=	
鞦	tsʰiɯ1	～韆
鞭	pĩ1	
韌	iən6	
韓	ɣuɛ̃2	
韭	ciɯ3	
音	iən1	
韵	uən5	
韶	ʝiau2	～山
頁	iɛ7	
頂	tiən3	
項	ɣaŋ6	
順	ʝiuən6	
须	si1	必～
頑	uã2	～皮
顧	ku5	
頓	tuən5	
頒	pã1	
頌	dzuən6	
預	ʯ5	
領	niɔ̃3-	
領	niən3=	
頗	pʰʊ3	
頸	ciɔ̃3-	
頸	ciən3=	
頻	biən2	
穎	iən3	
顆	kʰʊ3	
題	di2	
顏	ŋã2	
額	ɲiɛ̃7	
顛	tĩ1	
顫	tiɛ̃5	
顴	duɛ̃2	
風	xuən1	
颼	sai1	
飄	pʰiau1	
飛	xuei1	
食	ʂʅ5	
飢	ci1	～饿
餈	dzɿ2	
餐	tsʰã1	
餘	ʯ1	多～
饑	ci1	～荒
飩	duən2	馄～
飯	ɣuã6	
飲	iən3	～酒
飽	pau3	
飼	dzɿ6-	
飼	sɿ5=	
飴	i2	
饒	iau2	
餉	çiaŋ3	
餃	ciau3	
餅	piɔ̃3-	
餅	piən3=	
餓	ŋʊ6-	
餓	ŋʊ5=	
餛	ɣuən2	～饨
館	kuɛ̃3	
餿	sai1	
饞	dzã2	
饃	mʊ2	
饅	mã1	
首	siɯ3	
香	çiaŋ1	
騲	tsʰau3	
馬	mɔ̃3	又
馬	muɔ̃3	
馱	dʊ2	拿
馳	dʐʅ2	
驅	tʰʯ1	
駁	pʊ7	
驢	lɯ2	
驢	liɯ2	又
駛	ʂʅ3	
駒	tʯ5	
駐	tʯ5	
駝	dʊ2	
駕	ciɔ5	
罵	mɔ̃6	又
罵	muɔ̃6	
驕	ciau1	
駱	lʊ7	
駭	xai5	
驗	ɲĩ5	
騎	ɟi2	
騙	pʰĩ5	欺～
騷	sau1	
騾	lʊ2	
驟	tsʰi5	
骨	ku7	
髒	tsaŋ5	不干净
髓	si3	
高	kau1	
髮	xua7	头～
髻	ci7	
鬃	tsən1	
鬃	tsuən1	又
鬆	sən1	放～
鬍	βu2	～鬚
鬢	piən5	
鬚	si1	胡～
鬥	tai5	～争
鬼	kuei3	
魁	kʰuai1	
魂	ɣuən2	
魄	pʰiɛ7	
魘	ɲĩ3	
魏	uei6-	
魏	uei5=	
魔	mʊ2	
魚	ʯ1	
魯	lɯ3	
魯	liɯ3	又
鮑	bau2	
鮮	ʂuɛ̃1	新～
鮮	ʂuɛ̃3	少
鯉	li3	
鰣	dʐʅ2	
鯽	tsi7	
鯨	ɟiən2	
鰓	suai1	
鰥	kuã1-	
鰥	kuɛ̃1=	
鱉	pʰiɛ7	
鱖	kuei5	
鱗	niən2	
鳥	tiau3-	
鳥	ɲiau3=	
鳩	ciɯ1	
雞	ci1	
鳴	miən2	
鴉	ua1-	
鴉	ua5-	又
鴉	iɔ1=	
鸕	lɯ2	
鸕	liɯ2	又
鴨	ŋã7	
鴿	kʊ7	
鸞	nuɛ̃2	
鴻	xən2	
鵝	ŋʊ2	
鵡	u3	
鵲	tsʰiʊ7	
鷂	iau6	
鶴	xʊ7	
鸚	iən1	
鷺	lɯ6	～鸶
鷺	liɯ6	～鸶，又
鷹	iən1	
鹿	lɯ7	
鹿	liɯ7	又
麝	ʝiɔ6	
麥	miɛ̃7	
麯	cʰiɯ7	酒～
麵	mĩ6	～粉
麩	ɸu1	
麻	mɔ̃2	又
麻	muɔ̃2	
麾	xuei1	
黃	ɣaŋ2	
黍	ʂʯ3	
黎	li2	
黑	çiɛ7	
默	miɛ̃7	
鼎	tiən3	
鼓	ku3	
鼠	ʂʯ3	
鼻	pʰi5-	
鼻	bi6=	
鼾	xuɛ̃1	打～
齊	dzi2	
齒	tʂʰʅ3	
龍	nən2	
龕	kʰuɛ̃1	
龜	kuei1	
