#漢字	音標	解釋
㒼	maŋ2	亞㒼:勉強;差強人意
橘	kɐk7a	
橙	tsʰaŋ2	
橛	kʰik7b	木橛子
橛	kʰiɐk7a	兩橛;量詞
機	kei1	
橡	tsiøŋ2	
橢	tʰɔ3	
橫	ʋaŋ2	
檀	tʰaŋ2	
檁	lɐm3	
檐	jim2	
檔	tɔŋ5	大排檔
檔	tɔŋ3	檔案
檗	pʰak7b	木名。即黃檁。也稱“黃柏”
檜	kʰui5	
檢	kim3	
檬	mʊŋ1	
檯	tʰɔi2	
檳	pɐŋ1	
檸	nɪŋ2	
檻	lam2	牛檻;文讀
檻	kʰɐm3	門檻;白讀
檻	kʰiɐm3	門檻;白讀
檾	kʰɪŋ3	
櫃	kʷɐi2	
櫓	lou3	
櫚	lui3	
櫛	tsik7b	
櫥	tsʰi2	
櫥	tsʰui2	
櫸	kui3	
櫻	jɪŋ1	
欄	laŋ2	
欄	laŋ1	口語變調:豬欄(豬圈)
權	kʰiŋ2	
欖	lam3	
欛	pa5	
欠	him5	
次	tsʰi5	
欣	jɐŋ1	
欲	jʊk8	
欸	ɛ2	語氣助詞
欺	hei1	
欽	hɐm1	
款	fuŋ3	
歇	hik7b	
歉	him5	
歌	kɔ1	
歎	tʰaŋ5	
歐	ɐu1	
歡	fuŋ1	
止	tsi3	
正	tsɪŋ1	正月
正	tsɪŋ5	正午
此	tsʰi3	
步	pou2	
武	mou3	
歧	kʰei2	
歪	ʋai1	文讀
歪	mɛ3	白讀
歲	ɬui5	
歲	sui5	
歷	lɪk8	
歸	kʷɐi1	
歹	tai3	
死	ɬei3	
死	sei3	
殁	muk8	
殃	jiøŋ1	
殆	tɔi2	
殊	si2	
殖	tsɪk8	
殘	tsʰaŋ2	
殞	ʋɐŋ3	
殫	taŋ1	
殮	lim3	
殯	pɐŋ1	
殲	tsʰim1	
段	tiŋ2	
殷	jɐŋ1	殷切
殷	jiŋ1	殷紅
殺	sak7b	殺敵
殼	hɔk7b	
殿	tiŋ2	
毁	ʋɐi3	
毅	ŋɐi2	
毆	ɐu1	
毋	mou2	
母	mou3	
每	mui3	
毒	tʊk8	
毓	jʊk7a	
比	pei3	比較
比	pei3	比鄰
毛	mou2	
毫	hou2	
毬	kʰɐu2	
毯	tʰaŋ3	
毽	kiŋ5	
氈	tsiŋ1	
氏	si2	姓氏
氏	si2	月氏
民	mɐŋ2	
氓	mɔŋ2	
氓	mɐŋ2	
氛	fɐŋ1	
氟	fɐk7a	
氣	hei5	
氤	jɐŋ1	
氧	jiøŋ3	
氨	ɔŋ1	
氫	hɪŋ1	
氮	tam2	
氯	lʊk8	
氳	ʋɐŋ1	
水	sui3	
永	ʋɪŋ3	
氾	faŋ5	氾濫
汀	tɪŋ1	他汀(藥名)
汁	tsɐp7a	
求	kʰɐu2	
汆	tsʰiŋ1	
汊	tsʰa1	
汐	tsɪk8	
汕	saŋ5	
汗	hɔŋ2	流汗
汗	hɔŋ2	可汗
汙	ʋu1	
汙	wu1	
汝	ji3	
汞	kʊŋ5	
汞	kʊŋ3	
江	kɔŋ1	
池	tsʰi2	
污	ʋu1	
污	wu1	
汨	mɪk8	
汩	kʷɐk7a	水流的樣子;亂;沉默;汩沒;汩流
汩	ʋɐk8	疾速貌;疾速的
汪	ʋɔŋ1	
汰	tʰai5	
汲	kʰɐp7a	
汴	piŋ2	
決	kʰik7b	
汽	hei5	
沁	sɐm5	
沂	ji2	
沃	jʊk7a	
沈	sɐm3	
沉	tsʰɐm2	
沌	tɐŋ2	
沏	tsʰɐi5	
沐	mʊk8	
没	muk8	
沓	tap8	
沔	miŋ3	
沖	tsʰʊŋ1	
沙	sa1	
沛	pʰui5	
沫	muk8	
沮	tsui3	沮喪
沱	tʰɔ2	
河	hɔ2	
沸	fɐi5	
油	jɐu2	
治	tsi2	
沼	tsiu3	
沽	ku1	
沾	tsim1	
沿	jiŋ2	
况	fɔŋ5	
泄	ɬik7b	
泄	sik7b	
泅	tsʰɐu2	
泉	tsʰiŋ2	
泊	pɔk8	停泊
泊	pʰak7b	湖泊
泊	pʰau1	俗讀:泊車【停車】
泌	pei5	
泔	kam1	
法	fak7b	
泛	faŋ2	
泡	pʰau5	浸泡
泡	pʰau1	燈泡;燈泡;泡沫
波	pɔ1	
泣	jɐp7a	
泥	nɐi2	泥土
泥	nɐi2	拘泥
注	tsi5	
泯	mɐŋ3	
泰	tʰai5	
泱	jiøŋ1	
泳	ʋɪŋ3	
泵	pʊŋ1	
洄	ʋui2	
洄	wui2	
洇	jɐŋ1	
洋	jiøŋ2	
洗	ɬɐi3	
洗	sɐi3	
洛	lɔk8	
洞	tʊŋ2	
津	tsɐŋ1	
洩	ɬik7b	排洩
洩	sik7b	排洩
洩	jɐi2	洩洩
洪	hʊŋ2	
洲	tsɐu1	
洶	hʊŋ1	
活	ʋuk8	
活	wuk8	
洽	hɐp7a	
派	pʰai5	
流	lɐu2	
浙	tsik7b	
浚	tsɐŋ5	
浜	pɔŋ1	
浣	ʋuŋ3	
浣	wuŋ3	
浦	pʰou3	
浩	hou2	
浪	lɔŋ2	波浪
浪	lɔŋ2	滄浪
浮	fɐu2	文讀
浮	pʰou2	白讀;浮魚、浮頭
浴	jʊk8	
海	hɔi3	
浸	tsɐm5	
涂	tʰou2	
涅	nip8	
涇	kɪŋ1	
消	ɬiu1	
消	siu1	
涉	sip7b	
涎	jiŋ2	
涓	kiŋ1	
涔	sɐm2	
涕	tʰɐi5	
涮	saŋ5	
涯	ŋai2	
液	jɪk8	
涴	ʋuŋ3	涴演:(水流)曲折蜿蜒
涴	wuŋ3	涴演:(水流)曲折蜿蜒
涴	jiŋ1	涴水
涴	ʋɔ5	污染、弄髒
涵	ham2	
涸	kʰɔk7b	
涼	liøŋ2	
涿	tiøk7b	
淅	ɬɪk7a	
淅	sɪk7a	
淆	ŋau2	
淇	kʰei2	
淋	lɐm2	
淌	tʰɔŋ3	
淑	sʊk8	
淒	tsʰɐi1	
淘	tʰou2	
淙	tsʊŋ1	
淚	lui2	
淡	tam2	冷淡
淡	tʰam3	好淡
淤	ji1	
淨	tsɪŋ2	文讀:淨化
淨	tsiɐŋ2	白讀:乾淨
淪	lɐŋ2	
淫	jɐm2	
淬	tsʰui5	
淮	ʋai2	
深	sɐm1	
淳	sɐŋ2	
淵	jiŋ1	
混	ʋɐŋ2	
淹	jim1	
淺	tsʰiŋ3	
添	tʰim1	
淼	miu3	
清	tsʰɪŋ1	
渙	ʋuŋ2	
渙	wuŋ2	
減	kam3	
渝	ji2	
渠	kʰui2	
渡	tou2	
渣	tsa1	
渤	puk8	
渥	ɐk7a	
渥	ak7a	
渦	ʋɔ1	漩渦
渦	ʋɔ1	渦河
測	tsʰɐk7a	
渭	ʋɐi2	
港	kɔŋ3	
渲	ɬiŋ5	
渲	siŋ5	
渴	hɔk7b	
游	jɐu2	
渺	miu3	
渾	ʋɐŋ2	渾人,雄渾
渾	ʋɐŋ2	同「混」
湃	pai5	
湄	mei2	
湊	tsʰɐu5	
湍	tʰɐŋ1	
湖	fu2	
湘	ɬiøŋ1	
湘	siøŋ1	
湛	tsam5	
湧	jʊŋ3	
湮	jiŋ1	
湯	tʰɔŋ1	
湲	ʋuŋ2	
湲	wuŋ2	
湴	paŋ2	
溉	kʰɔi5	
源	jiŋ2	
準	tsɐŋ3	
溜	lɐu5	
溜	liu1	
溝	kɐu1	水溝
溝	kʰɐu1	溝通
溢	jɪk7a	
溥	pʰou3	
溪	kʰɐi1	
溫	ʋɐŋ1	
溯	sɔk7b	
溶	jʊŋ2	
溺	nɪk8	溺死
溼	sɐp7a	
滂	pʰɔŋ2	
滄	tsʰɔŋ1	
滅	mik8	
滋	tsi1	
滌	tɪk8	
滎	jɪŋ2	
滑	ʋak8	光滑
滑	ʋak8	滑稽
滔	tʰou1	
滕	tʰɐŋ2	
滬	fu2	
滯	tsɐi2	
滲	sɐm5	文讀
滲	jɐm5	白讀
滴	tɪk7a	
滷	lou3	
滸	fu3	
滚	kʷɐŋ3	
滿	muŋ3	
漁	ȵi2	
漂	pʰiu1	漂泊
漂	pʰiu5	漂亮
漆	tsʰɐk7a	
漉	lʊk8	
漏	lɐu2	
漓	lei2	
演	jiŋ3	
漚	ɐu5	
漠	mɔk8	
漢	hɔŋ5	
漣	liŋ2	
漩	ɬiŋ2	
漩	siŋ2	
漪	ji3	
漫	maŋ2	
漬	tsɪk7a	
漱	sɐu5	
漲	tsiøŋ5	
漲	tsiøŋ3	
漳	tsiøŋ1	
漸	tsim2	逐漸
漸	tsim2	漸車帷裳
漾	jiøŋ2	
漿	tsiøŋ1	
潁	ʋɪŋ2	
潑	pʰuk7b	
潔	kik7b	
潘	pʰuŋ1	
潛	tsʰim2	
潢	ʋɔŋ2	
潤	ȵɐŋ2	
潤	jɐŋ2	
潦	liu2	流潦
潦	liu2	潦倒
潭	tʰam2	
潮	tsʰiu2	
潯	tsʰɐm2	
潰	kʰui5	
潲	sau5	
潺	saŋ2	
澀	kip7b	
澄	tsʰɪŋ2	
澆	kiu1	
澇	lou2	
澈	tsʰik7b	
澎	pʰaŋ2	
澗	kaŋ5	
澠	mɐŋ3	澠池
澠	sɪŋ2	河川名
澡	tsou3	
澤	tsak8	
澱	tiŋ2	
澳	ou5	
澹	tam2	
激	kɪk7a	
濁	tsʊk8	
濃	nʊŋ2	
濕	sɐp7a	
濘	nɪŋ2	
濛	mʊŋ2	
濟	tsɐi5	人才濟濟
濟	tsɐi5	救濟
濠	hou2	
濤	tʰou2	
濫	lam2	
濬	tsɐŋ5	
濯	tsɔk8	
濱	pɐŋ1	
濺	tsiŋ5	飛濺
濾	lui2	
瀅	jɪŋ2	
瀆	tʊk8	
瀉	ɬɛ5	
瀉	sɛ5	
瀏	lɐu2	
瀑	pou2	
瀕	pʰɐŋ2	
瀘	lou2	
瀚	hɔŋ2	
瀚	hɔŋ5	
瀛	jɪŋ2	
瀝	lɪk8	瀝乾
瀝	lɪk8	大瀝,地名
瀟	ɬiu1	
瀟	siu1	
瀨	lai2	
瀰	nei2	
瀾	laŋ2	
灌	kuŋ5	
灑	sa3	
灒	tsaŋ5	
灘	tʰaŋ1	
灣	ʋaŋ1	
火	fɔ3	
灰	fui1	
灰	hui1	語保赤坎老男音
竈	tsou5	
灸	kɐu5	
灼	tsiøk7b	
災	tsɔi1	
炊	tsʰui1	
炎	jim2	
炒	tsʰau3	
炕	kʰɔŋ5	
炫	jiŋ2	
炬	kui2	
炭	tʰaŋ5	
炮	pʰau5	炮彈
炮	pʰau2	炮製
炳	pɪŋ3	
炷	tsi5	
炸	tsa5	
烈	lik8	
烊	jiøŋ2	
烏	ʋu1	
烏	wu1	
烘	hʊŋ1	習讀音,烘焙
烙	lɔk7b	
烤	hau1	
烯	hei1	
烷	jiŋ2	
烹	pʰaŋ1	
烽	fʊŋ1	
焉	jiŋ1	焉知非福
焉	jiŋ1	心不在焉
焊	hɔŋ5	
焊	hɔŋ2	
焙	pʰui2	
焚	fɐŋ2	
無	mou2	
焦	tsiu1	
焯	tsʰiøk7b	
焰	jim2	
然	jiŋ2	
煉	liŋ2	
煌	ʋɔŋ2	
煎	tsiŋ1	
煒	ʋɐi3	
煙	jiŋ1	
煜	jʊk7a	
煞	sak7b	
煢	kʰɪŋ2	
煤	mui2	
煥	ʋuŋ2	
煥	wuŋ2	
煦	hui3	
照	tsiu5	
煨	ʋui1	
煨	wui1	
煩	faŋ2	
煮	tsi3	
煲	pou1	
煽	siŋ5	
熄	ɬɪk7a	
熄	sɪk7a	
熊	hʊŋ2	
熏	fɐŋ1	
熏	ʋɐŋ1	語保赤坎老男音
熒	jɪŋ2	
熔	jʊŋ2	
熙	hei1	
熟	sʊk8	
熠	jɐp7a	
熥	tʰʊŋ1	
熨	tʰɔŋ5	熨斗。訓讀「燙」;熨斗
熨	ʋɐk7a	熨貼
熬	ŋou2	
熱	ȵik8	
熹	hei1	
熾	tsʰi5	
燃	jiŋ2	
燄	jim2	
燈	tɐŋ1	
燉	tɐŋ2	
燎	liu2	
燐	lɐŋ2	
燒	siu1	
燕	jiŋ5	燕子
燕	jiŋ1	燕國
燙	tʰɔŋ5	文讀
燙	tʰɔŋ1	白讀
燜	muŋ2	
營	jɪŋ2	
燥	tsʰou5	
燦	tsʰaŋ5	
燧	sui2	
燭	tsʊk7a	
燻	fɐŋ1	
爆	pau5	
爆	pou2	
爊	ŋou2	
爍	siøk7b	
爐	lou2	
爛	laŋ2	
爪	tsau3	文讀
爪	ȵau3	白讀
爬	pʰa2	
爭	tsɐŋ1	文讀
爭	tsaŋ1	白讀
爲	ʋɐi2	人爲
爲	ʋɐi2	爲了
爵	tsiøk7b	
父	fu2	
爸	pa1	
爹	tɛ1	
爺	jɛ2	
爻	ŋau2	
爽	sɔŋ3	
爾	ȵi3	
爾	ji3	
爿	paŋ2	
牀	tsʰɔŋ2	
牆	tsʰiøŋ2	
片	pʰiŋ5	
版	paŋ3	
牌	pʰai2	
牌	pʰɛ1	訓讀:撲克
牒	tip8	
牘	tʊk8	
牙	ŋa2	
牚	tsʰaŋ5	腳牚:單車的停靠支撐物
牛	ŋɐu2	
牝	pʰɐŋ3	
牟	mɐu2	
牠	tʰa1	
牡	mɐu3	
牢	lou2	
牧	mʊk8	
物	mɐk8	
牯	ku3	
牲	sɐŋ1	
牴	tɐi3	
牸	tsi2	
特	tɐk8	
牽	hiŋ1	
犀	ɬɐi1	
犀	sɐi1	
犁	lɐi2	
犄	kei1	
犍	kiŋ1	
犒	hou5	
犢	tʊk8	
犧	hei1	
犬	hiŋ3	
犯	faŋ2	
狀	tsɔŋ2	
狂	kʰɔŋ2	
狄	tɪk8	
狎	hap8	
狐	fu2	
狒	fɐk7a	
狗	kɐu3	
狠	hɐŋ3	
狡	kau3	
狩	sɐu5	
狸	lei2	
狹	hap8	
狼	lɔŋ2	
狽	pui5	
猖	tsʰiøŋ1	
猙	tsɐŋ1	
猛	maŋ3	
猜	tsʰai1	
猝	tsʰʊk7a	
猢	fu2	
猩	ɬɪŋ1	
猩	sɪŋ1	
猴	hɐu2	
猶	jɐu2	
猾	ʋak8	
猿	jiŋ2	
獁	ma3	
獃	tai1	
獃	ŋɔi2	
獄	jʊk8	
獅	si1	
獎	tsiøŋ3	
獗	kʰik7b	
獠	liu2	
獨	tʊk8	
獰	nɪŋ2	
獲	ʋɔk8	
獵	lik8	
獷	kɔŋ3	
獸	sɐu5	
獻	hiŋ5	
獼	mei2	
玄	jiŋ2	
率	sɐk7a	率領
率	lɐk8	效率
玉	ȵʊk8	
王	ʋɔŋ2	國王
王	ʋɔŋ2	王天下
玖	kɐu3	
玩	ʋaŋ3	玩弄
玩	ʋaŋ3	去玩
玫	mui2	
玲	lɪŋ2	
玷	tim5	
玻	pɔ1	
珀	pʰak7b	
珊	saŋ1	
珍	tsɐŋ1	
珠	tsi1	
珪	kʷɐi1	
班	paŋ1	
珮	pʰui5	
現	jiŋ2	
球	kʰɐu2	
琅	lɔŋ2	
理	lei3	
琇	ɬɐu5	
琇	sɐu5	
琉	lɐu2	
琛	sɐm1	
琢	tiøk7b	
琥	fu3	
琦	kʰei2	
琪	kʰei2	
琳	lɐm2	
琴	kʰɐm2	
琵	pʰei2	
琶	pʰa2	
琿	ʋɐŋ2	
瑁	mou2	珪瑁
瑁	mou2	玳瑁
瑋	ʋɐi3	
瑕	ha2	
瑙	nou3	
瑚	fu2	
瑛	jɪŋ1	
瑜	ji2	
瑞	sui2	
瑟	sɐk7a	
瑣	ɬɔ3	
瑣	sɔ3	
瑶	jiu2	
瑩	jɪŋ2	
瑪	ma3	
瑯	lɔŋ2	
瑰	kʷɐi5	玫瑰
瑰	kʷɐi1	瑰麗
瑾	kɐŋ3	
璀	tsʰui3	
璃	lei2	琉璃
璃	lei1	玻璃
璇	ɬiŋ2	
璇	siŋ2	
璋	tsiøŋ1	
璐	lou2	
璜	ʋɔŋ2	
璞	pʰɔk7b	
璦	ɔi5	
璧	pɪk7a	
璨	tsʰaŋ5	
環	ʋaŋ2	
璺	mɐŋ2	
璽	ɬai3	
璽	sai3	
瓊	kʰɪŋ2	
瓏	lʊŋ2	
瓜	kʷa1	
瓢	pʰiu2	
瓣	paŋ2	
瓤	nɔŋ2	
瓦	ŋa3	
瓶	pʰɪŋ2	
瓷	tsʰi2	
甄	jɐŋ1	
甌	ɐu1	
甕	ʊŋ1	
甘	kam1	
甚	sɐm2	
甜	tʰim2	
生	sɐŋ1	生活
生	saŋ1	先生
産	tsʰaŋ3	
甥	saŋ1	
甦	sou1	
用	jʊŋ2	
甩	lɐk7a	
甫	pʰou3	台甫
甫	pʰou3	十八甫
甬	jʊŋ3	
田	tʰiŋ2	
由	jɐu2	
甲	kap7b	
申	sɐŋ1	
男	nam2	
甸	tiŋ2	
甾	tsi1	後作「淄」。在今山東省境內
甾	tsɔi1	同“災”; 災害
畀	pei3	
界	kai5	
畏	ʋɐi5	
畔	puŋ5	
留	lɐu2	
畚	puŋ3	
畜	tsʰʊk7a	
畝	mɐu3	
畢	pɐk7a	
略	liøk8	
畦	kʰʷɐi2	
番	faŋ1	
畫	ʋa3	圖畫
畫	ʋak8	畫圖
異	ji2	
當	tɔŋ1	當然
當	tɔŋ5	適當;當鋪
畸	kʰei1	
疆	kiøŋ1	
疇	tsʰɐu2	
疊	tip8	
疏	sɔ1	疏通
疏	sɔ1	註疏
疑	ji2	
疔	tɪŋ1	
疚	kɐu5	
疝	saŋ5	
疣	jɐu2	
疤	pa1	
疥	kai5	
疫	jɪk8	
疲	pʰei2	
疵	tsʰi1	
疹	tsʰɐŋ3	
疼	tʰɐŋ2	疼痛
疼	tʰʊŋ5	疼愛
疽	tsui1	
疾	tsɐk8	
痂	ka1	
病	piɐŋ2	
症	tsɪŋ5	
痊	tsʰiŋ2	
痔	tsi2	
痕	hɐŋ2	
痘	tɐu2	
痛	tʰʊŋ5	
痠	ɬiŋ1	
痠	siŋ1	
痢	lei2	
痣	tsi5	
痣	kei5	訓讀
痰	tʰam2	
痱	fɐi5	
痲	ma2	
痳	ma2	古同“麻”
痳	lɐm2	同“淋”
癡	tsʰi1	
痹	pei5	
痺	pei5	
瘀	ji1	
瘋	fʊŋ1	
瘌	lak7b	
瘍	jiøŋ2	
瘓	ʋuŋ2	
瘓	wuŋ2	
瘕	ha1	
瘖	jɐm1	
瘟	ʋɐŋ1	
瘠	tsiɐk7b	
瘡	tsʰɔŋ1	
瘤	lɐu2	
瘦	sɐu5	
瘧	jɔk8	
瘰	lɔ3	
瘴	tsiøŋ5	
瘸	kʰɛ2	
瘻	lɐu2	
療	liu2	
癌	ŋam2	
癒	ji2	
癖	pʰɪk7a	
癟	pik8	文讀
癟	piɐk8	白讀
癟	piak8	白讀
癡	tsʰi1	
癢	jiøŋ3	
癤	tsik7b	
癥	tsɪŋ1	
癩	lai2	
癬	ɬiŋ3	
癬	siŋ3	
癮	jɐŋ3	
癰	jʊŋ1	
癱	tʰaŋ1	
癲	tiŋ1	
癸	kʷɐi3	
登	tɐŋ1	
發	fak7b	
白	pak8	
百	pak7b	
皂	tsou2	
的	tɪk7a	
皆	kai1	
皇	ʋɔŋ2	
皈	kʷɐi1	
皎	kau3	
皓	hou2	
皖	ʋuŋ3	
皖	wuŋ3	
皚	ɔi3	
皚	ŋɔi2	
皮	pʰei2	
皰	pʰau5	
皺	tsɐu5	文讀
皺	ȵɐu5	白讀
皿	mɐŋ3	
盂	ji2	
盃	pui1	
盅	tsʊŋ1	
盆	pʰuŋ2	
盈	jɪŋ2	
益	jɪk7a	
盍	hɐp8	
盎	ɔŋ5	
盒	hɐp8	
盔	kʰʷɐi1	
盛	sɪŋ2	旺盛
盛	sɪŋ2	盛湯
盜	tou2	
盞	tsaŋ3	
盟	mɐŋ2	
盡	tsɐŋ2	
監	kam1	監獄
監	kam5	太監
盤	pʰuŋ2	
盧	lou2	
盪	tɔŋ2	
目	mʊk8	
盯	tɪŋ1	
盲	maŋ2	
直	tsɪk8	
相	ɬiøŋ1	互相
相	siøŋ1	互相
相	ɬiøŋ5	相貌
相	siøŋ5	相貌
盹	tɐŋ2	
盼	pʰaŋ5	
盾	tɐŋ2	
省	ɬɪŋ3	反省;文讀
省	sɪŋ3	反省;文讀
省	siɐŋ3	白讀
省	saŋ3	廣東省
眇	miu3	
眈	tam1	
眉	mei2	
看	hɔŋ1	看守
看	hɔŋ5	看待
真	tsɐŋ1	
眠	miŋ2	
眥	tsi2	
眨	tsam3	
眩	jiŋ2	
眯	nei1	
眶	kʰʷaŋ1	
眷	kiŋ5	
眸	mɐu2	
眺	tʰiu5	
眼	ŋaŋ3	
眾	tsʊŋ5	
睇	tʰɐi3	
睏	kʰʷɐŋ5	
睛	tsɪŋ1	
睜	tsɐŋ1	
睜	tsaŋ1	
睞	lɔi2	
睡	sui2	
督	tʊk7a	
睦	mʊk8	
睪	kou1	睪丸
睫	tsik7b	
睬	tsʰɔi3	
睹	tou3	
睽	kʰʷɐi2	
睿	jui2	
瞄	miu2	
瞇	mei1	
瞋	tsʰɐŋ1	
瞌	hɐp7a	
瞎	hɐk8	
瞑	mɪŋ2	
瞖	ɐi5	古同“翳”
瞘	kʰɐu1	
瞞	muŋ2	
瞟	pʰiu3	
瞠	tsʰaŋ1	
瞥	pʰik7b	
瞧	tsʰiu2	
瞪	tɐŋ1	
瞬	sɐŋ2	
瞬	sɐŋ5	
瞭	liu2	瞭望
瞭	liu3	明瞭
瞰	hɐm5	
瞳	tʰʊŋ2	
瞻	tsim1	
瞼	kim3	
瞿	kʰui2	瞿塘峽
瞿	kui5	瞿然一驚
矇	mʊŋ2	
矗	tsʰʊk7a	
矚	tsʊk8	
矛	mau2	
矜	kɪŋ1	
矢	tsʰi3	
矣	ji3	
知	tsi1	知道
知	tsi5	知識
矩	kui3	
矬	tsʰɔ2	
短	tiŋ3	
矮	ai3	
矯	kiu3	
石	siɐk8	
矽	tsɪk8	
砂	sa1	
砌	tsʰɐi5	
砍	hɐm3	
研	jiŋ2	
砝	fak7b	
砧	tsɐm1	
砰	pʰɪŋ1	
砲	pʰau5	
破	pʰɔ5	
砸	tsap8	
硃	tsi1	
硅	kʷɐi1	
硇	nau2	
硓	lou3	
硝	ɬiu1	
硝	siu1	
硫	lɐu2	
硬	ŋaŋ2	
硯	jiŋ2	
硼	pʰaŋ2	
碌	lʊk7a	
碎	ɬui5	
碎	sui5	
碑	pei1	
碓	tui5	
碗	ʋuŋ3	
碗	wuŋ3	
碘	tiŋ3	
碟	tip8	
碣	kʰik7b	
碧	pɪk7a	
碩	siɐk8	
碰	pʰʊŋ5	
碲	tɐi5	
碳	tʰaŋ5	
確	kʰɔk7b	
碼	ma3	
碾	tsiŋ3	
磁	tsʰi2	
磅	pʰɔŋ2	磅礴
磅	pɔŋ2	一磅
磊	lui3	
磋	tsʰɔ1	
磐	pʰuŋ2	
磕	hɐm3	訓讀:磕到頭
磕	hɐp8	
磚	tsiŋ1	
磡	hɐm5	
磧	tsɪk7a	
磨	mɔ2	
磬	hɪŋ5	
磯	kei1	
磷	lɐŋ2	
磺	ʋɔŋ2	
礁	tsiu1	
礎	tsʰɔ3	
礓	kiøŋ1	
礙	ŋɔi2	
礦	kʰɔŋ5	
礫	lɪk7a	
礬	faŋ2	
礴	pɔk8	
示	si2	
社	sɛ3	
祀	tsi2	
祁	kʰei2	
祂	tʰa1	
祇	kʰei2	神祇
祇	tsi3	同「只有」的「只」;正、恰、只
祈	kʰei2	
祉	tsi3	
祐	jɐu2	
祕	pei5	
祖	tsou3	
祜	fu2	
祝	tsʊk7a	
神	sɐŋ2	
祟	si3	俗讀:鬼鬼祟祟
祟	ɬui5	
祟	sui5	
祠	tsʰi2	
祥	tsʰiøŋ2	
票	pʰiu5	
祭	tsɐi5	
祿	lʊk8	
禁	kɐm5	禁止
禁	kʰɐm1	禁著
禍	ʋɔ3	
禎	tsɪŋ1	
福	fʊk7a	
禦	ji2	
禧	hei1	
禪	sim2	禪師
禮	lɐi3	
禱	tou3	
禹	ji3	
禺	ji2	
禽	kʰɐm2	
禾	ʋɔ2	
秃	tʰʊk7a	
秀	ɬɐu5	
秀	sɐu5	
私	si1	
秉	pɪŋ3	
秋	tsʰɐu1	
科	fɔ1	
秒	miu3	
秕	pei3	
秘	pei5	
租	tsou1	
秤	tsʰɪŋ5	地秤
秤	pʰɪŋ2	天秤
秦	tsʰɐŋ2	
秧	jiøŋ1	
秩	tik8	
秫	sɐk8	
秭	tsi3	
移	ji2	
稀	hei1	
税	sui5	
稈	kɔŋ3	
程	tsʰɪŋ2	
稍	sau3	
稔	niɐm1	稔子
稔	nɐm3	文讀
稗	pai2	
稙	tsɪk8	
稚	tsi5	
稜	lɪŋ2	
稞	fɔ1	
稟	pɐŋ3	
稠	tsʰɐu2	
種	tsʊŋ3	種子
種	tsʊŋ5	種植
稱	tsʰɪŋ1	稱呼
稱	tsʰɪŋ5	稱職
稷	tsɪk7a	
稻	tou2	
稼	ka5	
稽	kʰɐi1	無稽之談
稽	kʰɐi1	稽首
稿	kou3	
穀	kʊk7a	
穄	tsɐi5	
穆	mʊk8	
穌	ɬou1	
穌	sou1	
積	tsɪk7a	
穎	ʋɪŋ2	
穗	sui2	
穢	ʋɐi5	
穩	ʋɐŋ3	
穫	ʋɔk8	
穴	jik8	
究	kɐu5	
穹	kʰʊŋ2	
空	hʊŋ1	
穿	tsʰiŋ1	
突	tɐk8	
窄	tsak7b	
窈	jiu3	
窒	tsɐk8	
窕	tʰiu2	
窕	tʰiu3	
窖	kau5	
窗	tsʰɔŋ1	
窘	kʰʷɐŋ5	
窟	kʰʷɐk7a	
窟	fɐk7a	
窠	ʋɔ1	
窣	ɬɐk7a	
窣	sɐk7a	
窨	jɐm5	
窨	fɐŋ1	同「熏 」
窩	ʋɔ1	
窪	ʋa1	
窮	kʰʊŋ2	
窯	jiu2	
窸	ɬɪk7a	
窸	sɪk7a	
窺	kʰʷɐi1	
窿	lʊŋ1	
竄	tsʰiŋ5	
竅	kʰiu5	
竇	tɐu2	
竊	tsʰik7b	
立	lɐp8	
站	tsam2	
竟	kɪŋ3	
章	tsiøŋ1	
竣	tsɐŋ5	
童	tʰʊŋ2	
竭	kʰik7b	
端	tiŋ1	
競	kɪŋ2	
竹	tsʊk7a	
竺	tsʊk7a	
竽	ji1	
竿	kɔŋ1	
笆	pa1	
笊	tsau5	
笑	ɬiu5	
笑	siu5	
笙	sɐŋ1	
笛	tɪk8	文讀
笛	tiɐk8	白讀
笠	lɐp7a	
符	fu2	
笨	pɐŋ2	
第	tɐi2	
笳	ka1	
筆	pɐk7a	
等	tɐŋ3	
筊	kau5	杯筊:迷信占卜用具
筋	kɐŋ1	
筍	ɬɐŋ3	
筍	sɐŋ3	
筏	fak8	
筐	kʰʷaŋ1	
筑	tsʊk7a	
筒	tʰʊŋ2	
筒	tʰʊŋ3	郵筒、筒骨
答	tap7b	
策	tsʰak7b	
筱	ɬiu3	
筱	siu3	
筵	jiŋ2	
筷	fai5	
箅	pei5	
箋	tsiŋ1	
箍	kʰu1	
箏	tsɐŋ1	
箔	pɔk8	
箕	kei1	
算	ɬiŋ5	
算	siŋ5	
管	kuŋ3	
箬	jɔk8	
箭	tsiŋ5	
箱	ɬiøŋ1	
箱	siøŋ1	
箸	tsi2	
節	tsik7b	
範	faŋ2	
篇	pʰiŋ1	
築	tsʰʊk7a	
篙	kou1	
篛	jɔk8	
篝	kɐu1	
篡	saŋ5	
篡	tsʰiŋ5	習讀音
篤	tʊk7a	
篦	pei2	
篩	sɐi1	
篷	pʰʊŋ2	
篾	mik8	
簇	tsʰʊk7a	
簍	lɐu3	
簑	sɔ1	
簟	tʰim3	
簡	kaŋ3	
簧	ʋɔŋ2	
簪	tsam1	
