#漢字	音標	解釋
㓾	tʂʰʅ2	~鱼:剖鱼
荒	xuaŋ1	
荔	ni6	
莢	tɕia7	
蓽	pi7	
蕎	tɕʰiau2	
薈	xuei6	
薺	tɕʰi2	
蕩	taŋ6	
榮	ʐoŋ2	新
榮	ʯən2	老
葷	xuən1	
熒	in2	
蕁	tɕʰin2	
蔭	in5	~凉
蔭	in1	槐~
藥	io7	
荷	xo2	
荻	ti7	
荼	tʰəu2	
荽	ɕi0	芫~
莅	ni6	
莆	pʰu3	
莉	ni6	
莎	ʂa1	
莓	mei2	
莘	ʂən1	
莞	uan3	
莠	iəu3	
莫	mo7	
萊	nai2	
蓮	nin2	
萵	o1	
获	xuɛ7	
瑩	in2	
鶯	in1	
莽	maŋ3	
菁	tɕin1	
菅	tɕin1	
菇	ku1	
菊	tʂʯ7	
菌	tʂʯən5	
菜	tsʰai5	
菠	po1	
菡	xan2	
菢	pau6	孵
菩	pʰu2	
菱	nin2	
菲	fei1	
菽	ʂəu7	
萁	tɕʰi2	
萃	tsʰei5	
萄	tʰau2	
萋	tɕʰi1	
萌	moŋ2	
萍	pʰin2	
萎	uei3	
蘿	no2	
螢	in2	
營	in2	
縈	in2	
蕭	ɕiau1	
薩	sa1	拉~
薩	sa0	菩~
萱	ʂʯan1	
萸	ʯ2	
落	nau3	
落	no7	
葆	pau3	
著	tʂʯ5	
葛	ko7	
葡	pʰu2	
董	toŋ3	
葩	pʰa1	
葫	kʰu2	
葬	tsaŋ5	
葭	tɕia1	
葱	tsʰoŋ1	
葵	kʰuei2	
葺	tɕʰi5	
葽	iau5	~子:草绳
蒂	ti5	
蔣	tɕiaŋ3	
蔞	nəu3	
蒙	moŋ1	~住
蒙	moŋ2	~古
蒜	san5	
蒯	kʰuai3	
蒲	pʰu2	
蒸	tʂən1	
蒹	tɕin1	
蒿	xau1	
蓄	ɕiəu7	
蓉	ʐoŋ2	
蓑	so1	
蓓	pei6	
蓖	pei5	
蓖	pi5	
藍	nan2	
蓬	pʰoŋ2	
蔑	miɛ7	
蔗	tʂa5	~糖
蔗	tʂa0	甘~
蔚	uei5	
蔡	tsʰai5	
蔫	in1	
蔬	səu1	
薔	tɕʰiaŋ2	
蔸	təu1	
藺	nin6	
蔻	kʰəu5	
藹	ŋai3	
蔽	pei6	
蔽	pi6	
蕃	fan1	
蕉	tɕiau1	
蕊	ʯei3	
蕙	xuei5	
蕨	tʂʯɛ7	
蘄	tɕʰi2	
蘊	ʯən5	
蕻	xoŋ2	
蕾	nei2	
薄	po6	~荷
薄	po2	厚~
薅	xau1	
薇	uei2	
薛	ɕiɛ7	
薨	xoŋ1	
薪	ɕin1	
薯	ʂʯ3	
薰	ʂʯən1	
薹	tʰai2	
藉	tɕiɛ5	慰~
藉	tɕi7	狼~
藏	tsaŋ6	西~
藏	tsʰaŋ2	隐~
蘚	ɕin3	
藕	ŋəu3	
藜	ni2	
藟	ni6	
藠	ɕiau5	
藠	tɕiau6	
藤	tʰən2	
藩	fan1	
藻	tsau3	
蘑	mo2	
蘖	niɛ7	
蘸	tsan5	
虎	xu3	
虐	nio7	
慮	ni6	
虔	tɕʰin2	
虚	ʂʯ1	
虞	ʯ2	
虢	kuɛ7	
蟲	tʂʰoŋ2	
虬	tɕʰiəu2	
虰	tin1	
虱	sɛ7	
虹	xoŋ2	文
虹	kaŋ5	白，天上有道~
虻	maŋ2	
虼	kɛ7	
雖	sei1	文
雖	ɕi1	白，~然
蝦	ɕia1	
蝕	ʂʅ7	
蟻	i3	
螞	ma3	
蚊	uən2	
蚌	paŋ6	
蚓	in3	
蠶	tsʰan2	
蚜	ia2	
蚝	xau2	
蚣	koŋ1	
蚤	tsau3	
蚩	tʂʰʅ1	
蚪	təu3	
蚯	tɕʰiəu1	
蚱	tso7	
蛀	tʂʯ5	
蛆	tɕʰi1	
蛇	ʂɛ2	
蛉	nin2	
蠱	ku3	
蛋	tan6	
蠣	ni6	
蛐	tʂʰʯ1	
蛔	xuei2	
蛙	ua1	
蛛	tʂʯ1	
蛟	tɕiau1	
蛤	kʰɛ2	~蟆
蠻	man2	
蟄	tʂʅ5	惊~
螄	sɿ1	
螄	sɿ0	螺~
蛹	ʐoŋ3	
蛾	ŋo2	
蜀	ʂəu7	
蜂	foŋ1	
蜃	ʂən5	
蜇	tʂɛ7	
蜈	u2	
蜍	tʂʰʯ2	
蜒	in2	
蜓	tʰin2	
蜕	tʰei5	
蜕	tʰi5	
蝸	o1	
蝸	ua1	
蜘	tʂʅ7	
蜚	fei1	
蜜	mi7	
蠟	na7	
蜢	moŋ3	
蜥	ɕi1	
蜴	i6	
蜷	tʂʰʯan2	
蜻	tɕʰin1	
蜿	uan1	
蠅	in2	
蟬	tʂʰan2	
蝌	kʰo1	
蠍	ɕiɛ7	
蝗	xuaŋ2	
蝙	pin3	
蝠	fu7	
蝮	fu7	
蝴	xu2	
蝶	tiɛ7	
螻	nəu2	
螃	pʰaŋ2	
融	ʐoŋ2	
螟	min2	
蟎	man3	
螯	ŋau2	
螳	tʰaŋ2	
螺	no2	
蟀	ʂʯai5	
蟆	ma2	
蟊	mau2	
蟋	ɕi7	
蟑	tʂaŋ1	
蟒	maŋ3	
蟠	pʰan2	
蟥	xuaŋ2	
蟮	ʂan6	
蟹	xai3	
蟹	ɕiai6	
蟾	tʂʰan2	
蠓	moŋ3	
蠕	ʯ2	
蠚	xo7	因毛发等物刺激使人难受
蠢	tʂʰʯən3	
蠹	təu6	
血	ɕiɛ7	
衅	ɕin5	
行	ɕin2	
行	xaŋ2	银~
衍	in3	
銜	ɕin2	
銜	xan2	白
街	kai1	
街	tɕiai1	
衙	ia2	
衡	xən2	
衡	tʂʰʯ2	
衢	tʂʰʯ2	
衣	i1	
補	pu3	
表	piau3	
衩	tʂʰa3	
衩	tʂʰa5	开~
衫	ʂan1	
襯	tsʰən5	
衰	ʂʯai1	
衲	na7	
衷	tʂoŋ1	
袁	ʯan2	
袂	mei6	
襖	ŋau3	
袅	niau3	
袈	tɕia1	
袋	tai6	
袍	pʰau2	
袒	tʰan3	
袖	ɕiəu6	
袜	ua7	
被	pei6	
被	pi6	
襲	ɕi7	
袱	fu7	
裁	tsʰai2	
裂	niɛ7	
裝	tʂʯaŋ1	
襠	taŋ1	
裔	i6	
裕	ʯ5	
裕	ʯ6	
裘	tɕʰiəu2	
裙	tʂʰʯən2	
裟	ʂa1	
褲	kʰu5	
裰	to7	
裱	piau3	
裳	ʂaŋ0	衣~
裴	pʰei2	新
裴	pʰi2	老
裸	no3	
裹	ko3	
褂	kua5	
褊	pin3	
褒	pau1	
褓	pau3	
褚	tʂʰʯ3	
褸	nəu3	
褡	ta7	
褥	ʯ6	
褥	ʐəu7	
褪	tʰei5	
褪	tʰi5	
襤	nan2	
褶	tʂɛ7	
襁	tɕʰiaŋ2	
襄	ɕiaŋ1	
襟	tɕin1	
襻	pʰan5	
西	ɕi1	
要	iau1	~求
要	iau5	重~
覃	tɕʰin2	
覆	fu7	
見	tɕin5	
觀	kuan1	~察
規	kuei1	
覓	mi7	
視	ʂʅ5	
覽	nan3	
覺	tɕio7	~悟
覺	tɕiau5	文，睡~
覺	kau5	白，睡中~
覬	tɕi5	
覿	tei3	
覿	ti3	
覲	tɕin5	
覷	tɕʰi5	
角	tɕio7	文
角	ko7	白，菱~
觴	ʂaŋ1	
解	kai3	
解	tɕiai3	
觥	koŋ3	
觸	tʂʰəu7	
言	in2	
訇	xoŋ1	
詈	ni6	
詹	tʂan1	
譽	ʯ6	
謄	tʰən2	
誓	ʂʅ5	
警	tɕin3	
譬	pʰei5	
譬	pʰi5	
計	tɕi5	
訂	tin5	
訃	fu6	
認	ʐən6	
認	ʯən6	又读
譏	tɕi1	
訐	tɕiɛ7	
訌	xoŋ5	
討	tʰau3	
讓	ʐaŋ6	
訕	ʂan5	
訖	tɕʰi7	
訓	ʂʯən5	
議	i6	
訊	ɕin5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
謳	ŋəu1	
訝	ia6	
許	ʂʯ3	文
訛	ŋo2	
論	nən2	~语
論	nən6	理~
訟	soŋ6	
諷	foŋ3	
設	ʂɛ7	
訪	faŋ3	
訣	tʂʯɛ7	
证	tʂən5	
詁	ku3	
評	pʰin2	
詛	tsəu3	
識	ʂʅ7	
詐	tʂa5	
訴	səu5	
診	tʂən3	
詆	ti3	
謅	tsəu1	
詞	tsʰɿ2	
譯	i7	
誆	kʰuaŋ1	
誄	nei3	
試	ʂʅ5	
詩	ʂʅ1	
詰	tɕi7	
詰	tɕiɛ7	
詼	xuei1	
誠	tʂʰən2	
誅	tʂʯ1	
話	xua6	
誕	tan6	
詬	kəu5	
詮	tɕʰin2	
詭	kuei3	
詢	ɕin2	
詣	i6	
該	kai1	
詳	ɕiaŋ2	新
詳	tɕʰiaŋ2	老
詫	tʂʰa5	
諢	xuən6	
詡	ʂʯ3	
誡	kai5	
誡	tɕiai5	
誣	u1	
語	ʯ3	
誚	tɕʰiau5	
誤	u6	
誥	kau5	
誘	iəu5	
誨	xuei5	
誑	kʰuaŋ2	
説	fɛ7	
説	ʂʯɛ7	
誦	soŋ6	
誒	ei3	叹词，表招呼
誒	ei5	叹词，表疑问或惊异
請	tɕʰin3	
諸	tʂʯ1	
諏	tsəu1	
諾	no7	
讀	təu2	~书
讀	təu6	句~
誹	fei3	
課	kʰo5	
諉	uei3	
諛	ʯ2	
誰	ʂʯei2	
調	tiau6	~查
諂	tsʰan3	
諒	niaŋ6	
諄	tʂʯən1	
談	tʰan2	
誼	i2	
謀	məu2	
諶	ʂən6	
諜	tiɛ7	
謊	xuaŋ3	
諫	tɕin5	
諧	ɕiai2	
謔	ɕiɛ7	
謁	iɛ7	
謂	uei5	
諭	ʯ6	
讒	tsʰan2	
諳	ŋan1	
諺	in5	
諦	ti5	
謎	mi2	
謖	səu7	
謝	ɕiɛ6	
謡	iau2	
謗	paŋ6	
謚	ʂʅ5	
謙	tɕʰin1	
謐	mi7	
謹	tɕin3	
謾	man6	
謫	tʂɛ7	
謬	miəu5	
譚	tʰan2	
譙	tɕʰiau2	
譜	pʰu3	
譎	tʂʯɛ7	
譴	tɕʰin3	
谷	ku7	
豁	xo7	
豆	təu6	
豇	kaŋ1	
豌	uan1	
豕	ʂʅ5	
豚	tʰən2	
象	ɕiaŋ6	
豢	xuan6	
豪	xau2	
豫	ʯ6	
豳	pin1	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau6	
貝	pei5	
貝	pi5	
貞	tʂən1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
責	tsɛ7	
賢	ɕin2	
敗	pai6	
賬	tʂaŋ5	
貨	xo5	
質	tʂʅ7	
販	fan5	
貪	tʰan1	
貧	pʰin2	
貶	pin3	
購	kəu5	
貯	tʂʯ6	
貫	kuan5	
貳	ɔɹ6	
賤	tɕin6	
貼	tʰiɛ7	
貴	kuei5	
貸	tai6	
貿	mau6	
貿	məu6	
費	fei5	
貽	i2	
賊	tsɛ2	
賊	tsei2	机灵
賈	ku3	商~
賈	tɕia3	姓
賄	xuei5	
賃	nin6	
賂	nəu6	
贓	tsaŋ1	
資	tsɿ1	
賅	kai1	
賑	tʂən5	
賚	nai6	
賒	ʂe1	
賦	fu5	
賭	təu3	
贖	ʂəu7	
賞	ʂaŋ3	
賜	tsʰɿ5	
賡	kən1	
賠	pʰei2	
賠	pʰi2	
賴	nai6	
贅	tʂʯei5	
賺	tʂʯan6	
賽	sai5	
贗	in5	
贊	tsan5	
贈	tsən5	
贍	ʂan6	
贏	in2	
贛	kan5	
赤	tʂʰʅ7	
赦	ʂe5	
赦	ʂɛ7	
赧	nan3	
赫	xɛ7	
赭	tʂe3	
走	tsəu3	
赳	tɕiəu1	
赴	fu5	
趙	tʂau6	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰau1	
越	ʯɛ7	
趨	tɕʰi1	
趟	tʰaŋ5	
趣	tɕʰi5	
足	tsəu7	
趴	pʰa1	
趵	pau5	
躉	tən3	
趼	tɕin3	
趾	tʂʅ3	
躍	io7	
蹌	tɕʰiaŋ1	
跆	tʰai2	
跋	pa7	
跌	tiɛ7	
跍	kʰu2	蹲
跎	tʰo2	
跑	pʰau2	
跚	ʂan1	
跛	po3	
距	tʂʯ5	
跟	kən1	
跤	tɕiau1	文
跤	kau1	白，跶~
跨	kʰua5	
跪	kʰuei6	
路	nəu6	
跳	tʰiau5	
踐	tɕin6	
躂	ta7	
蹺	tɕʰiau6	~腿
蹺	tɕʰiau3	蹊~
跥	to5	
躋	tɕi1	
踉	niaŋ6	
踊	ʐoŋ3	
躊	tʂʰəu2	
踏	tʰa6	~板
踏	tʰa7	~实
踝	xuai2	
踞	tʂʯ5	
踟	tʂʰʅ2	
踢	tʰi7	
踩	tsʰai3	
蹤	tsoŋ1	
踮	tin5	
躑	tʂʅ7	
踱	to7	
踵	tʂoŋ3	
踹	tʂʰʯai5	
踺	tɕin5	
蹂	ʐəu2	
蹄	tʰi2	
蹈	tau6	
蹉	tsʰo1	
蹊	tɕʰi1	~跷
蹊	ɕi1	~径
蹋	tʰa7	
躡	niɛ7	
蹣	pʰan2	
蹖	tsaŋ1	用脚用力蹬
蹙	tsʰəu7	
蹚	tʰaŋ1	
蹦	poŋ5	
蹩	pʰiɛ5	
蹬	tən1	
蹭	tsʰən5	
躕	tʂʰʯ2	
蹲	tən1	
蹴	tsʰəu7	
蹶	tʂʯɛ7	
蹼	pʰu7	
躥	tsʰan1	
躁	tsau5	
躅	tʂəu7	
躇	tʂʰʯ2	
躪	nin6	
身	ʂən1	
躬	koŋ1	
軀	tʂʰʯ1	
躱	to3	
躺	tʰaŋ3	
車	tʂʰe1	
車	tʂʯ1	象棋
軋	ia6	
軋	tʂa2	~钢
軌	kuei3	
軒	ɕin1	
轉	tʂʯan3	~移
轉	tʂʯan5	~圈
軛	ŋɛ7	
輪	nən2	
軟	ʯan3	
轟	xoŋ1	
軻	kʰo1	
轤	nəu2	
軸	tʂəu2	
軼	i7	
輕	tɕʰin1	
軾	ʂʅ5	
載	tsai5	
轎	tɕiau6	
較	tɕiau6	
輒	tʂɛ7	
輔	fu3	
輛	niaŋ3	
輦	nin3	
輩	pei5	
輩	pei6	
輩	pi6	
輝	xuei1	
輥	kuən3	
輟	tʂʰo5	
輜	tsɿ1	
輻	fu7	
輯	tɕi7	
輸	ʂʯ1	文
輸	ʯ1	白
轡	pʰei5	
轅	ʯan2	
轄	ɕia7	
輾	tʂan3	
轆	nəu7	
轍	tʂɛ7	
轔	nin2	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰi7	
辣	na7	
辨	pin6	
辯	pin6	
辮	pin6	
辰	tʂʰən2	新
辰	ʂən2	老
辱	ʐəu7	
邊	pin1	
遼	niau2	
達	ta7	
遷	tɕʰin1	
迂	ʯ1	
迄	tɕʰi7	
迅	ɕin5	
過	ko5	
邁	mai6	
迎	in2	
運	ʯən6	
近	tɕin6	
返	fan3	
還	xai2	
還	xuan2	~价
這	tʂe5	
進	tɕin5	
遠	ʯan3	
違	uei2	
連	nin2	
遲	tʂʰʅ2	
迢	tʰiau2	
迥	tɕioŋ3	
迦	tɕia1	
迩	ɔɹ3	
迪	ti7	
迫	pʰɛ7	
迭	tiɛ7	
述	ʂʯ6	
述	ʂʯ7	
迷	mei2	
迷	mi2	
迸	poŋ5	
迹	tɕi7	
追	tʂʯei1	
退	tʰei5	
退	tʰi5	
送	soŋ5	
適	ʂʅ7	
逃	tʰau2	
逅	xəu6	
逆	ni7	
選	ɕin3	
遜	ɕin5	文
遜	sən5	白
逍	ɕiau1	
透	tʰəu5	
逐	tʂəu7	
逑	tɕʰiəu2	
遞	ti6	
途	tʰəu2	
逗	təu1	~弄
逗	təu6	~笑
通	tʰoŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰən3	
速	səu7	
造	tsau6	文
造	tsʰau6	白，~反
逢	foŋ2	
逮	tai3	
逮	ti6	
逵	kʰuei2	
逸	i7	
邏	no2	
逼	pi7	
逾	ʯ6	
遁	tən6	
遂	sei2	半身不~
遂	sei5	未~
遇	ʯ6	
遍	pin5	文
遍	pʰin5	白，~地
遏	ŋɛ7	
遐	ɕia2	
遒	tɕʰiəu2	
道	tau6	
遺	i2	
遛	niəu1	~达
遛	niəu6	~狗
遢	tʰa7	
遣	tɕʰin3	
遥	iau2	
遨	ŋau2	
遭	tsau1	
遮	tʂe1	
遴	nin2	
遵	tsən1	
避	pei6	
避	pi6	
邀	iau1	
邂	ɕiai6	
邃	sei5	
邋	na1	
邑	i7	
鄧	tən6	
邢	ɕin2	
那	na6	
邦	paŋ1	
邪	ɕiɛ2	
鄔	u1	
郵	iəu2	
邱	tɕʰiəu1	
邵	ʂau6	
邸	ti3	
鄒	tsəu1	
鄰	nin2	
郁	ʯ5	
郁	ʯ6	
郊	tɕiau1	
郎	naŋ2	
鄭	tʂən6	
郝	xo7	
郡	tʂʯən5	
郢	in3	
鄖	ʯən2	
部	pu6	
郭	ko7	
郴	tʂʰən1	
鄲	tan1	
都	təu1	
鄂	ŋo7	
鄙	pʰi3	
鄢	in1	
鄱	pʰo2	
酉	iəu3	
酊	tin1	
酋	tɕʰiəu2	
酌	tʂo7	
配	pʰei5	
配	pʰi5	
酒	tɕiəu3	
酗	ʂʯ5	
酗	ɕi6	
醞	ʯən5	文
醞	uən5	白
酣	xan1	
酥	səu1	
酩	min2	
酪	no7	
酬	tʂʰəu2	
酮	tʰoŋ2	
醬	tɕiaŋ5	
酵	tɕiau5	
酶	mei2	
酶	mi2	
酷	kʰu7	
酸	san1	
釅	in6	文
釅	nin6	白，浓~
釀	niaŋ6	文
釀	ʐaŋ3	白
醇	tʂʰʯən2	新
醇	ʂʯən2	老
醉	tsei5	文
醉	tɕi5	白，喝~了
醋	tsʰəu5	
醒	ɕin3	
醚	mi2	
醡	tʂa3	
醭	pʰu2	
醮	tɕiau6	
醺	ʂʯən1	
采	tsʰai3	
釉	iəu6	
釋	ʂʅ7	
里	ni3	
重	tʂʰoŋ2	~合
重	tʂoŋ6	~要
野	iɛ3	
量	niaŋ2	丈~
量	niaŋ6	能~
金	tɕin1	
釜	fu3	
鑑	tɕin5	
鋊	ʯ6	钝
錎	kʰuan3	~子:门环
鏨	tsan6	
鎉	tʰa5	
鏖	ŋau2	
鏾	ɕin5	阉割
鑫	ɕin1	
針	tʂən1	
釘	tin1	~子
釘	tin5	~书
釗	tʂau1	
釺	tɕʰin1	
釣	tiau5	
釵	tʂʰai1	
鈣	kai5	
鈍	tən5	
鈔	tʂʰau1	
钟	tʂoŋ1	
鈉	na7	
鋼	kaŋ1	
鈑	pan1	
鑰	io7	
欽	tɕʰin1	
鈞	tʂʯən1	
鎢	u1	
鉤	kəu1	
鈕	niəu3	
錢	tɕʰin2	
鉗	tɕʰin2	
鉢	po7	
鈸	po7	
鉞	ʯɛ7	
鑽	tsan1	~空子
鑽	tsan5	~头
鉀	tɕia7	
鈿	tin6	
鈾	iəu2	
鐵	tʰiɛ7	
鉑	pɛ7	
鈴	nin2	
鑠	ʂo7	
鉛	tɕʰin1	
鉚	mau3	
鉚	məu3	
鐸	to7	
銬	kʰau5	
鋏	tɕia7	
鐺	taŋ1	
銅	tʰoŋ2	
鋁	ʯ3	
鎧	kʰai3	
鍘	tʂa2	
銖	tʂʯ1	
銑	ɕi3	
鋌	tʰin3	
鎩	ʂa7	
銚	tiau6	
銘	min2	
錚	tsən1	
鉸	tɕiau3	文
鉸	kau5	白，剪~
鏟	tsʰan3	
銃	tʂʰoŋ5	
銀	in2	
鑄	tʂʯ5	
鋪	pʰu1	~张
鋪	pʰu5	店~
鏈	nin6	
鏗	kʰən1	
銷	ɕiau1	
鎖	so3	
鋰	ni3	
鋥	tsən5	
鋤	tsʰəu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	foŋ1	
鋅	ɕin1	
鐧	tɕin3	
銳	ʯei5	
鋃	naŋ2	
鋦	tʂʯ7	
錯	tsʰo5	
錯	tsʰo7	
錨	mau2	
錛	pən1	
錫	ɕi7	
錮	ku5	
鑼	no2	
錘	tʂʰʯei2	
錐	tʂʯei1	
錦	tɕin3	
錠	tin6	
鍵	tɕin5	
鋸	tʂʯ5	文
鋸	ke4	白
錳	moŋ3	
鍥	tɕʰiɛ7	
鏘	tɕʰiaŋ1	
鍬	tɕʰiau1	
鍛	tan6	
鍍	təu6	
鎂	mei3	
鎮	tʂən5	
鑷	niɛ7	
鐫	tʂʯan6	
鎳	niɛ7	
鎬	kau3	
鎊	paŋ6	
鑌	pin1	
鏢	piau1	
鏜	tʰaŋ2	
鏡	tɕin5	
鏑	ti7	
鏃	tsəu7	
镢	tʂʯɛ7	
鐐	niau6	
鐙	tən5	
鐳	nei2	
鐲	tʂo7	
鐮	nin2	
鑣	piau1	
鑲	ɕiaŋ1	
長	tʂʰaŋ2	~远
長	tʂaŋ3	生~
門	mən2	
閂	san1	
閂	ʂʯan1	
閃	ʂan3	
閉	pei5	
閉	pi5	
問	uən6	
闖	tʂʰʯaŋ3	
閏	ʯən5	
闈	uei2	
闲	ɕin2	
間	tɕin1	文，空~
間	tɕin5	文，~隔
間	kan1	白，一~房
間	kan5	白，~开
閔	min3	
悶	mən6	
閘	tʂa2	
鬧	nau6	
閨	kuei1	
聞	uən2	
閩	min3	
閭	ʯ3	
閥	fa7	
閣	ko7	
閣	kɛ7	
閡	xɛ7	
閲	ʯɛ7	
閾	ʯ7	
閹	tɕiəu1	
閹	in1	
閻	in2	
闌	nan2	
闊	kʰo7	
闋	tʂʰʯɛ7	
闕	tʂʰʯɛ7	
阜	fu5	
隊	tei5	
隊	ti5	
阡	tɕʰin1	
阪	pan3	
阮	ʯan3	
阱	tɕin3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən6	
階	kai1	
階	tɕiai1	
阻	tsəu3	
阿	a1	
阿	o1	~胶
陀	tʰo2	
陂	pʰi2	
附	fu5	
際	tɕi5	
陸	nəu7	
隴	noŋ3	
陳	tʂʰən2	
陋	nəu6	
陌	mo7	
降	ɕiaŋ2	投~
降	tɕiaŋ5	霜~
限	ɕin6	
陝	ʂan3	
陛	pi6	
陡	təu3	
院	ʯan6	
除	tʂʰʯ2	
隕	ʯən3	
險	ɕin3	
陪	pʰei2	
陪	pʰi2	
陲	tʂʰʯei2	
陵	nin2	
陶	tʰau2	
陷	ɕin6	文
陷	xan6	白
隅	ʯ6	
隆	noŋ2	
隋	sei2	
隍	xuaŋ2	
隨	sei2	文
隨	ɕi2	白，~他来
隱	in3	
隔	kɛ7	
隘	ŋai6	
隙	ɕi7	
障	tʂaŋ5	
隧	sei5	文
隧	ɕi5	白，~洞
隶	ni6	
隼	sən3	
隽	tʂʯan6	
難	nan2	~题
難	nan6	灾~
雀	tɕʰio7	
雁	in5	文
雁	ŋan6	白
雄	ɕioŋ2	
雅	ia3	
集	tɕi7	
雇	ku5	
雉	tʂʅ5	
雌	tsʰɿ2	
雍	ʐoŋ1	
雛	tʂʰʯ2	
雕	tiau1	
雨	ʯ3	
雪	ɕiɛ7	
雯	uən2	
靂	ni7	
零	nin2	
雷	nei2	
雷	ni2	
雹	pau1	
霧	u6	
需	ɕi1	
霄	ɕiau1	
霆	tʰin2	
震	tʂən3	
霈	pʰei5	
黴	mei1	
黴	mi2	
霍	xo7	
霎	ʂa7	
霏	fei1	
霓	ni2	
霖	nin2	
霜	ʂʯaŋ1	文
霜	saŋ1	白
霞	ɕia2	
霪	in2	
靄	ŋai3	
露	nəu6	
霸	pa5	
霹	pʰi7	
霾	mai2	
青	tɕʰin1	
靚	niaŋ6	
靖	tɕin5	
靜	tɕin6	
靛	tin6	
非	fei1	
靠	kʰau5	
靡	mi2	
面	min6	
靨	iɛ7	
革	kɛ7	
靳	tɕin1	
靴	ʂʯe1	
靶	pa3	
靸	sa7	
鞅	iaŋ1	
鞋	xai2	
鞋	ɕiai2	
鞍	ŋan1	
鞘	tɕʰiau5	
鞠	tʂʯ7	
鞭	pin1	
韌	ʐən6	
韌	ʯən3	又读
韓	xan2	
韜	tʰau1	
韭	tɕiəu3	
音	in1	
韻	ʯən5	
韶	ʂau2	
頁	iɛ7	
頂	tin3	
頃	tɕʰin3	
項	ɕiaŋ6	文
項	xaŋ6	白，~目
順	ʂʯən6	
须	ɕi1	
頑	uan2	
顧	ku5	
頓	tən5	
頒	pan1	
頌	soŋ6	
預	ʯ6	
顱	nəu2	
領	nin3	
頗	pʰo3	
頸	tɕin3	
頰	tɕia7	
潁	in3	
頤	i2	
頻	pʰin2	
頽	tʰei2	
頷	xan2	
頷	xan6	
穎	in3	
顆	kʰo1	
題	tʰi2	
顓	tʂʯan1	
顔	in2	
額	ŋɛ7	
顛	tin1	
顫	tʂʰan5	~抖
顫	tʂan5	寒~
顰	pʰin2	
顴	tʂʰʯan2	
風	foŋ1	
颺	iaŋ2	
颶	tʂʯ6	
颼	səu1	
飄	pʰiau1	
飆	piau1	
飈	piau1	
飛	fei1	
食	ʂʅ2	
饗	ɕiaŋ3	
餐	tsʰan1	
餮	tʰiɛ7	
饥	tɕi1	
飩	tən0	
飪	ʐən6	
飯	fan6	
飲	in3	~料
飲	in5	~花
餞	tɕin6	
飾	ʂʅ5	
飽	pau3	
飼	sɿ6	
飴	i2	
餌	ɔɹ3	
饒	ʐau2	
餉	ɕiaŋ3	
餃	tɕiau3	
餅	pin3	
餓	ŋo6	
餒	nei3	
餛	xuən2	
餡	ɕin6	
館	kuan3	
饋	kʰuei5	
饞	tsʰan2	
饃	mo2	
餾	niəu6	
饈	ɕiəu1	
饅	man2	
饊	san3	
饌	tʂʯan6	
首	ʂəu3	
馗	kʰuei2	
香	ɕiaŋ1	
馥	fu7	
馨	ɕin1	
馬	ma3	
馬	ma1	~虎
馭	ʯ6	
馱	tʰo2	
馴	ʂʯən5	
馳	tʂʰʅ2	
驅	tʂʰʯ1	
駁	po7	
駛	sɿ3	
駟	sɿ5	
駙	fu5	
駒	tʂʯ1	
駐	tʂʯ6	
駝	tʰo2	
駕	tɕia5	
驛	i7	
驍	ɕiau3	
駡	ma6	
驕	tɕiau1	
駱	no7	
駭	xai6	
駢	pʰin2	
騁	tʂʰən3	
驗	in6	文
驗	nin6	白，实~
駿	tɕin5	
騎	tɕʰi2	
騅	tʂʯei1	
騙	pʰin5	
騷	sau1	
騖	u6	
驁	ŋau5	
騫	tɕʰin1	
驃	piau1	
騾	no2	
驏	tʂʰan5	
驟	tsəu6	
驥	tɕi5	
骨	ku7	
骷	kʰu1	
骸	xai2	
骼	kɛ7	
髂	kʰa5	
髏	nəu0	骷~
髈	pʰaŋ3	
髖	kʰuan1	
髕	pin5	
髓	sei2	文
髓	ɕi2	白，骨~
高	kau1	
髦	mau2	
髫	tʰiau2	
髯	ʯan3	
髻	tɕi7	
鬃	tsoŋ1	
鬏	tɕiəu1	
鬢	pin1	
鬢	pin5	
鬟	xuan2	
鬼	kuei3	
鬽	mei6	
魁	kʰuei1	
魂	xuən2	
魄	pʰɛ7	
魅	mei6	
魎	niaŋ3	
魍	uaŋ3	
魏	uei6	
魑	tʂʰʅ1	
魔	mo2	
魚	ʯ2	
魷	iəu2	
鱸	nəu2	
鮓	tʂa3	
鮑	pau6	
鮮	ɕin3	~有
鮮	ɕin1	海~
鰱	nin2	
鯉	ni3	
鯀	kuən3	
鯊	ʂa1	
鯽	tɕi7	
鯤	kʰuən1	
鯨	tɕin1	
鰓	sai1	
鱷	ŋo7	
鰍	tɕʰiəu1	
鰉	xuaŋ2	
鯿	pin1	
鰲	ŋau2	
鰭	tɕʰi2	
鰥	kuan1	
鱉	piɛ1	
鱔	ʂan6	
鱗	nin2	
