#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
緊	kan2	
緋	fi1	
緖	tɕy5	
緔	ɕa6	
緗	ɬa1	
緘	kɒm1	
緙	kʰa2	
線	ɬin3	
緝	tʰap7	
緞	tÿn6	
締	ɗai3	
緡	man4	
緣	jÿn4	
緦	ɬi1	
編	pʰin1	
緩	wun5	見《玉林市志》
緩	wun6	見1959年字表及《玉林话研究》
緬	min5	
緯	wai2	
緱	kau1	
緲	miu5	
練	lin6	
緶	pin4	用針縫合
緶	pin5	同「辮」
緹	tai4	
緻	tɕi6	
縈	weŋ4	
縉	ɗan3	
縊	ai3	
縋	tɕui6	
縎	kʷat7	
縎	kʷʰat7	
縐	ɗau3	
縑	kim1	
縛	foːk10	
縝	tɕan2	
縞	kɒu2	
縟	ȵok9	
縣	jÿn6	
縫	foŋ4	動詞
縫	foŋ6	名詞,見《玉林市志》
縭	li4	
縮	ɕok7	
縱	ɗoŋ1	見1959年字表。ddung-2綫:織布時的經綫
縱	ɗoŋ3	見1959年字表
縱	ɗoŋ2	又讀,見《玉林市志》。ddung-2綫:織布時的經綫
縱	ɬoŋ2	放~。見《玉林话研究》
縲	lui4	
縴	jin1	
縵	mɔɑ̯n6	
縶	tɕap7	
縷	ly5	
縹	pʰiu1	
縻	mi4	
總	ɗoŋ2	
績	ɗek7	
繁	fɔɑ̯n4	
繃	ɓa3	
繅	ɬɘu1	
繆	mau4	綢~
繆	mau6	~誤
繇	jiu4	
繈	kʰa2	
繒	taŋ4	
織	tɕek7	
織	tɕøk7	
繕	ɕin5	
繚	lᴇɐ̯u2	
繞	ȵiu2	
繡	ɬau3	
繢	wui6	
繦	kʰa2	
繨	lat7	
繩	ɕeŋ4	
繩	ɕøŋ4	白讀
繪	wai6	
繫	ŋai6	異讀
繫	ai6	
繭	kɔɑ̯n2	
繮	kʰa1	
繯	wɔɑ̯n4	
繰	ɗɘu2	
繳	kiu2	
繹	ek9	
繼	kai3	又讀
繼	ki3	
繽	ɓan1	
繾	jin2	
纈	kᴇɐ̯t10	
纊	kʷʰoːŋ3	
續	tok9	
纍	lui4	碩果~~
纏	tɕin4	動詞
纏	tɕin1	形容詞。(毛髮)纏繞在一起難以理順:~頭髻;(人)難纏。
纏	tɕin6	白讀,動詞
纓	eŋ1	
纖	ɬim1	
纘	ɗÿn2	
纛	tɘu6	
纜	lɒm6	
缶	fau2	
缸	koːŋ1	
缺	jÿt7	見1959年字表
缺	kʰÿt7	
缽	ɓut7	
罄	heŋ3	
罅	lɵ3	
罈	tɒm4	
罌	a1	
罐	kun3	
罒	moːŋ5	
罔	moːŋ5	
罕	hɔɑ̯n2	
罘	fau4	
罟	ku2	
罡	koːŋ1	
罨	ap7	掩實、蓋實
罩	tɕɒu3	
罪	tui5	
置	tɕi3	
罰	fɔɑ̯t10	
罱	lɒm5	
署	ɕy2	
罵	mɔ6	
罷	pɔ6	
罷	pɵ6	~了(相當於普通話的「還不如……算了」),口語用
罹	li4	
罾	ɗaŋ1	蝦~:捕蝦網
羅	lɵ4	
羆	ɓi1	
羈	ki1	
羊	ja4	
芈	mi5	
羌	ka1	
美	mi5	
羔	kɘu1	
羚	leŋ4	
羝	ɗai1	
羞	ɬau1	
群	kʷan4	
群	kʷan4	
羥	ha2	
羧	ɬœ1	
羨	tʰim2	
義	ȵi6	
羯	kʰit7	
羰	tʰa2	
羲	hi1	
羸	lui4	
羹	ka1	淺勺
羽	jy5	
羿	ŋai6	
翁	oŋ1	
翅	tɕʰi3	
翊	ek9	
翌	ji3	
翎	leŋ4	
習	tap9	
翔	ta4	
翕	jap7	
翠	tʰui3	
翡	fi1	見《玉林话研究》
翥	tɕy3	
翦	ɗin2	
翩	pʰin1	
翮	a6	
翰	ɔɑ̯n6	
翱	ŋɘu4	
翳	ai3	
翹	hᴇɐ̯u1	
翹	kʰiu1	銀~:中藥
翹	kʰᴇɐ̯u2	~蓮:一種本地特色小喫。將麵團搓成細條,再盤成三葉扭結狀(若花瓣,或再加外接圓),油炸至金黄酥脆。其名俗寫作「~蓮」,“翹”在此說不通,可能與「絞」有關(取其盘結纏繞之義)
翻	fɔɑ̯n1	文讀
翻	fɛa̯n1	翻開,翻動,翻找
翻	pʰɛa̯n1	翻開
翻	mɛa̯n1	翻開
翻	fɛa̯n2	邊緣卷翹、嚮外翻(如脣,一撮頭髮,紙的邊緣)
翻	fɛa̯n4	翻動,或是「繙」
翻	pɛa̯n4	翻動,或是「繙」
翼	ek9	
翼	øk9	白讀
耀	jiu6	
老	lɘu5	
考	hɒu2	
耄	mɘu6	
者	tɕɛ2	
耆	ki4	
耋	tᴇɐ̯t10	
而	ȵi4	
耍	ɕɔ2	
耐	nɔɑ̯i6	
耒	lui6	
耔	ɗi2	
耕	ka1	
耖	tɕʰɒu3	
耗	hɘu3	
耘	wan4	
耙	pɔ4	
耜	ti5	
耠	ɒp10	
耥	tʰoːŋ3	
耦	ŋau5	
耨	nau6	
耩	kaŋ2	
耪	pʰoːŋ1	
耬	lau4	
耮	lɘu6	
耳	ȵi5	
耵	ɗeŋ1	
耶	jɛ4	
耷	ɗap7	
耽	ɗɒm1	
耿	kaŋ2	
聃	ɗɒm1	
聆	leŋ4	
聊	liu4	
聒	kut7	
聖	ɕeŋ3	
聘	pʰeŋ3	
聚	ty5	
聞	man4	
聯	lim4	
聰	tʰoŋ1	
聱	ȵɒu4	
聲	ɕeŋ1	
聳	ɬoŋ2	
聵	kʷɔɑ̯i3	
聶	nɛa̯p10	
職	tɕek7	
聹	neŋ4	
聽	tʰeŋ3	
聾	loŋ4	
聿	jat9	
肀	jat9	
肅	ɬok7	
肆	ɬi3	
肇	ɕiu6	
肉	ȵok9	
肋	lak9	
肌	ki1	
肏	tɕʰoːk8	
肓	woːŋ1	
肖	ɬiu1	
肘	tɕau5	
肚	tu5	
肛	koːŋ1	
肜	joŋ4	
肜	tɕʰam1	船行貌
肝	kɔɑ̯n1	
肟	oːk8	
股	ku2	
肢	tɕi1	
肥	fi4	
肩	kin1	
肪	foːŋ1	
肫	ɕan5	此處是「胗」的讀音
肭	nat7	肥
肭	nok9	同「衄」
肯	haŋ2	
肱	kʷoːŋ1	
育	jok7	
肴	ȵɒu4	
肺	fi3	
肼	ɗeŋ2	
肽	tʰɔɑ̯i3	
胂	ɕan1	
胃	wai6	
胄	tɕau6	
背	ɓui3	物体後面的空間,如「屋背」「掃桿在門背」
背	pui6	物體的背部或反面、背面,如「背脊」「牛背」;背誦
胍	kʷɔ1	
胎	tʰɔɑ̯i1	
胖	pun5	
胗	ɕan5	
胙	tɕɔ6	
胚	pʰui1	
胛	kɒp8	
胝	ɗai2	
胞	ɓɒu1	
胡	wu4	
胤	jan6	
胥	ɬy1	
胩	kʰɔ1	
胬	nu5	
胭	jin1	
胰	ji4	
胱	kʷoːŋ1	
胲	hɔɑ̯i2	有機化合物
胲	kɔɑ̯i1	大腳趾的毛
胳	koːk8	
胴	toŋ6	
胸	hoŋ1	
胺	ɔɑ̯n3	
胼	pin4	
能	naŋ4	
脂	tɕi1	
脅	jip7	
脆	tʰui3	
脉	ma6	
脊	ɗek7	
脎	ɕɔɑ̯t8	
脒	mai5	
脖	pɔɑ̯t10	
脘	kun2	
脛	kʰeŋ3	
脞	tʰœ2	
脣	ɕan4	
脩	ɬau1	
脱	tʰÿt7	
脬	pʰɒu1	
脯	pʰu2	果~
脯	pu4	胸~
脲	nᴇɐ̯u6	
脹	tɕa3	
脾	pi4	~氣
脾	pʰi1	器官
腆	ɗim2	
腈	ɗeŋ1	
腋	ek9	
腌	jip7	
腎	ɕan5	
腐	fu6	
腑	fu2	
腓	fi4	
腔	kʰoːŋ1	
腕	wun2	
腖	ɗoŋ3	
腙	ɗoŋ1	
腚	teŋ6	
腠	tʰau3	
腡	lœ1	
腥	ɬeŋ1	
腦	nɘu5	
腧	ɕy3	
腨	ɬÿn2	~子肉:小腿肉
腩	nɒm5	
腫	tɕoŋ2	
腭	ŋoːk10	
腮	ɬɔɑ̯i1	
腰	jiu1	
腱	kin6	
脚	tɕa2	
腴	jy4	
腸	tɕa4	
腹	fok7	
腺	ɬin3	
腿	tʰui2	
膀	poːŋ4	~胱
膀	ɓoːŋ2	肩~
膁	jim2	
膂	ly5	
膃	wat7	
膈	ka2	
膊	ɓoːk8	
膏	kɘu1	
膚	fu1	
膛	toːŋ4	
膜	moːk10	
膝	ɬat7	
膝	ɬɔɑ̯t8	又讀:~頭,~luk7(膝關節)
膠	kɒu1	
膠	kᴇɐ̯u1	白讀。黏稠
膣	tɕat9	
膦	lan6	
膨	pa4	
膩	nai6	
膪	tɕɔ3	
膺	eŋ1	
膻	ɕin1	
膽	ɗɒm2	
膾	kʷʰai3	
膿	noŋ1	
臀	tan4	
臁	lim4	
臂	ɓi3	
臉	lim5	
臊	ɬɘu1	
臌	ku2	
臍	tai4	
臏	pan5	
臒	woːk8	
臘	lɒp10	
臚	lœ4	肚~(大肚子,肚腩)
臚	ly4	皮膚;陳列;流傳
臟	toːŋ6	
臠	lÿn5	
臣	ɕan4	
臥	mɵ3	又讀
臥	mɵ6	
臧	ɗoːŋ1	
臨	lam4	
自	ti6	
臬	nɛa̯p10	
臭	tɕʰau3	
至	tɕi3	
致	tɕi3	
臺	tɔɑ̯i4	
臻	ɗan1	
臼	tɕau5	
臾	jy4	
舀	jiu5	
舁	jy4	
舂	tɕoŋ1	
舄	tʰa2	鳥
舄	ɬek7	鞋
舅	tɕau5	
與	jy5	
興	heŋ3	名詞
興	heŋ1	動詞
興	høŋ1	流行,時興
舉	ky2	
舊	tɕau6	
舊	kau5	可能是訓讀:破舊的,破爛的,破敗的(興業指「腐朽的」)
舌	ɕᴇɐ̯t10	
舍	ɕɛ3	
舐	ɕai5	
舒	ɕy1	
舔	tʰim2	
舔	kɛa̯m5	訓讀
舛	tɕʰÿn2	
舜	ɕan3	
舞	fu5	
舞	mu5	異讀
舞	mu2	白讀。搞,折騰,搗鼓
舟	tɕau1	
航	oːŋ4	
般	ɓun1	
舵	tɵ4	
船	ɕÿn4	
舺	kɒp8	
艇	teŋ5	
艋	ma2	
艘	ɬau2	
艙	tʰoːŋ1	
艦	lɒm6	
艮	kan3	
良	la4	
艱	kɔɑ̯n1	
色	ɕek7	
色	ɕak7	黑~雀:烏鴉、喜鵲等黑色鳥
艴	fat7	
艸	tʰɘu2	
艹	tʰɘu2	
艽	kɒu1	秦~
艽	tɕau4	
艾	ŋɔɑ̯i6	
艿	nɔɑ̯i5	芋~
艿	ŋeŋ4	亂草,雜草
芄	jÿn4	
芊	tʰin1	
芋	wu6	
芍	tɕa2	
芎	hoŋ1	
芏	tu6	
芑	hi2	
芒	moːŋ4	
芒	moːŋ1	同「杧」。~果:一種熱帶水果。
芘	pi4	一種有機物;~芣
芘	ɓi3	通「庇」
芙	fu4	
芝	tɕi1	
芟	ɕɒm1	
芡	kim6	
芤	kʰau1	
芥	kɔɑ̯i3	
芨	tɕap7	
芩	tɕam4	
芪	ki4	
芫	jÿn4	
芫	jim4	俗
芬	fan1	
芭	ɓɔ1	
芮	ȵui6	
芰	ki6	
花	wɔ1	
芳	foːŋ1	
芴	mat9	
芷	tɕi2	
芸	wan4	
芹	kan4	
芻	tɕʰu1	
芽	ȵɔ4	
芾	fat7	草木盛
芾	fi3	樹木枝幹、莖葉幼小的樣子
苄	pin6	
苉	pʰat7	
苊	a2	
苑	wun2	
苒	ȵim5	
苓	leŋ4	
苔	tɔɑ̯i4	
苕	tiu4	
苗	miu1	
苘	kʷʰeŋ2	
苙	lap7	?豬~|雞~
苛	kʰɵ1	
苜	mok9	
苝	ɓak7	
苞	ɓɒu1	
苟	kau2	
苠	man4	
苡	ji5	
苣	ky5	
苤	pʰi1	
若	ȵa6	
苦	wu2	白讀
苦	kʰu2	文讀
苧	tɕy5	
苯	ɓun2	
英	eŋ1	
苴	tʰy1	
苴	tɛ4	羊~咩城
苴	tɕɔ4	浮草
苷	kɒm1	
苻	fu4	
茁	tɕÿt7	
茂	mɒu6	又讀,市區、仁東口音無mou音節,所有mou倂入mau
茂	mau6	
范	fɒm6	姓
茄	kɛ4	
茄	kᴇɐ̯t10	
茅	mau4	
茅	mɒu4	又讀,市區、仁東口音無mou音節,所有mou倂入mau
茆	mau5	
茆	mɒu5	又讀,市區、仁東口音無mou音節,所有mou倂入mau
茇	pɔɑ̯t10	
茈	ɗi2	~草:即「紫草」
茈	ɕɔɑ̯i4	~胡:即「柴胡」,一味藥材
茈	ti4	鳧~:即「荸薺」;~菰:即「茨菰」
茉	mɔɑ̯t10	
茌	tɕi4	
茗	meŋ4	
茚	jan3	
茛	kan3	
茜	ɬai1	
茨	ti4	
茫	moːŋ4	
茭	kɒu1	
茯	fok9	
茱	tɕy1	
兹	ɗi1	
茳	kaŋ1	
茴	wui4	
茵	an1	
茶	tɕɔ4	
茸	joŋ4	
茹	ɕy4	
茺	tɕʰoŋ1	
茼	toŋ4	
荀	tan4	
荃	tÿn4	
荇	a6	
草	tʰɘu2	
荆	keŋ1	
荏	ȵam5	
荐	ɗin3	
荑	tai4	
荑	ji4	除去田間野草
荒	woːŋ1	
荳	tau6	
荷	wu4	~包|~包豆
荷	ɵ4	~花
荷	ɵ1	電~
荸	pɔɑ̯t10	
荻	tek9	
荼	tu4	
荽	ɬui1	
荽	ɬai1	俗
莅	li6	
莉	li6	
莊	tɕoːŋ1	
莎	ɕɔ1	
莒	ky2	
莓	mui4	
莖	keŋ2	
莘	ɕan1	
莛	teŋ4	
莞	kun2	東~:地名,在廣東,毗鄰深圳
莞	kʷɔɑ̯n1	~草:也稱「水草」,莎草屬中高稈者,可編席
莠	jau2	
莢	kɒp8	
莧	ɒm6	
莨	loːŋ4	
莩	fu1	「葭~」蘆葦秆裏的薄膜
莩	piu5	同「殍」
莪	ŋɵ4	
莫	moːk10	
莰	hɒm2	
莽	moːŋ5	
菀	jÿn5	紫~:一種常綠草本植物;草木盛貌
菀	wun2	通「苑」
菀	wat7	通「鬱」
菁	ɗeŋ1	
菅	kɔɑ̯n1	
菇	ku1	
菊	kok7	
菌	kʷan5	
菏	ɵ4	
菔	fok9	
菖	tɕʰa1	
菘	toŋ4	
菜	tʰɔɑ̯i3	
菝	pɔɑ̯t10	
菟	tu4	於~:虎
菟	tʰu3	~絲子:一種寄生植物
菠	ɓɵ1	
菡	ɒm6	
菥	ɬek7	~蓂
菥	ɬi1	蒧~
菩	pɵ4	
菪	toːŋ6	
菫	kan2	
華	wɔ4	
華	wɔ6	姓
菰	ku1	
菱	leŋ4	
菲	fi1	
菸	jin1	
菹	tɕu1	
菽	ɕok7	
萁	ky1	狼~:一种蕨類植物,常被用于佐料
萁	ki4	豆莖
萃	ɬui2	
萄	tɘu4	
萆	ɓi1	草名
萆	pi6	通「蔽」
萇	tɕa4	
萊	lɔɑ̯i4	
萋	tʰai1	
萌	maŋ4	
萍	peŋ4	
萎	wai2	
萏	tɒm6	
萑	wun4	一種蘆葦一類的植物
萑	tɕui1	指益母草;草多的樣子
萘	nɔɑ̯i6	
萜	tʰip7	
萬	mɔɑ̯n6	
萱	jÿn1	
萵	wɵ1	
萸	jy4	
萼	ŋoːk10	
落	loːk10	
葆	ɓɘu2	
葉	jɛa̯p10	
葑	foŋ1	蔓菁、蕪菁
葑	foŋ3	白茭根
葒	oŋ4	
著	tɕy3	~作|編~;土~
葙	ɬa1	
葚	ɕam5	
葛	kɔɑ̯t8	
葜	hɒp8	
葡	pu4	
董	ɗoŋ2	
葤	tɕau5	
葦	wai4	
葩	pʰɔ1	
葫	wu4	文讀
葫	ku4	白讀
葬	ɗoːŋ3	
葭	kɔ1	
葵	kʷai4	
葶	teŋ4	
葷	wan1	
葸	ɬi2	
葺	tʰap7	
蒂	ɗai3	
蒄	kun1	
蒈	kʰɔɑ̯i2	
蔿	wai5	
蒎	pʰɔɑ̯i2	
蒐	ɬau1	
蒓	ɕan4	
蒔	ɕi6	
蒗	loːŋ6	
蒙	moŋ1	動詞
蒙	moŋ4	~古
蒜	ɬÿn3	
蒞	li6	
蒡	ɓoːŋ2	
蒯	kʷʰɔɑ̯i2	
蒲	pu4	
蒴	ɕoːk8	
蒸	tɕeŋ1	
蒸	tɕøŋ1	又讀
蒹	kim1	
蒺	tat9	
蒼	tʰoːŋ1	
蒽	an1	
蒿	hɒu1	
蓀	ɬÿn1	
蓁	ɗan1	
蓄	tɕʰok7	
蓆	tek9	
蓉	joŋ4	
蓊	oŋ3	見《玉林话研究》
蓋	kɔɑ̯i3	
蓍	ɕi1	
蓐	ȵok9	
蓑	ɬœ1	
蓓	ɓui3	
蓧	tiu6	
蓬	poŋ4	~草
蓬	pʰoŋ1	質地鬆軟、蓬鬆
蓮	lin4	
蓯	tʰoŋ1	
蓰	ɬai2	
蓼	liu5	~藍
蓼	lok7	長而大貌
蓽	ɓat7	
蓿	ɬok7	
蔌	ɬok7	
蔑	mᴇɐ̯t10	
蔓	mɔɑ̯n6	
蔔	pak9	
蔗	tɕɛ3	
蔚	wai3	
蔞	lau4	
蔟	tʰok7	
蔡	tʰɔɑ̯i3	
蔣	ɗa2	
葱	tʰoŋ1	
蔦	niu5	
蔬	ɕɵ1	
蔭	jam3	
蔸	ɗau1	
蔻	kʰau3	
蔽	pi6	
蔿	wai5	
蕁	tam4	
蕃	fɔɑ̯n4	
蕆	tɕʰin2	
蕈	ɬan3	
蕉	ɗiu1	
蕊	ȵui2	
蕎	kiu4	
蕒	mak7	
蕕	jau4	
蕖	ky4	
蕘	ȵiu4	
蕙	jui6	
蕞	tui6	
蕢	kʷai6	
蕤	ȵui4	
蕨	kÿt7	
蕩	toːŋ6	
蕪	fu4	
蕭	ɬiu1	
蕷	jy6	
蕹	oŋ3	~菜:空心菜
蕺	tʰap7	
蕻	oŋ4	雪裏~
蕻	oŋ6	
蕾	lui5	
薄	pɵ6	~荷
薄	poːk10	
薅	ŋɘu1	
薅	hɘu1	
薇	mi4	
薈	wui3	
薌	ja1	
薏	ji3	
薑	tɕa1	
薔	ta4	
薛	ɬit7	
薜	pai6	~荔
薜	ɓek7	山~:當歸,一説野麻
薟	lim5	葡萄科藤本植物的泛稱,有白~、赤~等多個品種
薟	jim1	豨~
薤	ɔɑ̯i5	
薦	ɗin3	
薨	kʷeŋ1	
薩	ɬɔɑ̯t8	
薪	ɬan1	
薯	ɕy4	
薰	wan1	
薷	ɕy4	
薹	tɔɑ̯i4	
薺	tai4	荸~
薺	tai5	甘菜
藉	tek9	
藍	lɒm4	
藎	tan6	
藏	toːŋ4	~匿|隱~
藏	toːŋ6	西~|寳~|~經閣
藕	ŋau5	
藕	ŋau2	又讀
藕	ȵɒu2	又讀
藜	lai4	
藝	ŋai6	
藠	kiu6	~子:蒜頭
藤	taŋ4	
藥	ja6	
藩	fɔɑ̯n4	
藪	ɬau2	
藶	lek9	
藷	ɕy4	
藹	ɔɑ̯i2	
藺	lan5	
藻	ɗɘu2	
藿	kʰoːk8	
蘄	ki4	
蘅	a4	
蘆	lu4	
蘇	ɬu1	
蘊	wan1	
蘋	peŋ4	
蘖	nᴇɐ̯t10	
蘖	nɛa̯p10	又讀
蘚	ɬin2	
蘞	lim6	
蘢	loŋ4	
𨙊	ky4	
蘩	fɔɑ̯n4	
蘭	lɔɑ̯n4	~花|~草
蘭	lɔɑ̯n1	荷~|~豆(荷蘭豆的省稱)
蘸	tim6	
蘺	li4	
蘼	mi4	
蘿	lɵ4	
虍	u1	
虎	wu2	
虐	ȵa6	
虔	kin4	
處	tɕʰy2	~理
處	tɕʰy3	~所
虚	hy1	
虜	lu5	
虞	ȵy4	
號	ɘu6	
虢	kʷak9	用手抓劃、扒拉
虧	kʷʰai1	
虧	wai1	又讀:喫~|拿(no1-2)~
虬	tɕau4	
虹	kaŋ3	蚌~:彩虹
虹	oŋ4	文讀:彩~
虺	ui1	~隤
虺	wai2	雷聲
虻	ma4	
虼	kat7	
蚊	man1	驅~
蚊	man4	白讀:~子|~蠅|~煙香|~帳
蚋	ȵui6	
蚌	paŋ5	
蚍	pi4	
蚓	jan5	
蚜	ȵɔ4	
蚝	ɘu4	
蚣	koŋ1	
蚤	ɗɘu2	
蚧	kɔɑ̯i3	
蚨	fu4	
蚩	tɕʰi1	
蚪	ɗau2	
蚯	jau1	
蚰	jau4	
蚱	tɕok7	
蚴	jau2	龍、蛇盤結蜷曲的樣子
蚴	jau3	某些寄生蠕蟲的幼蟲
蚵	ɵ4	閩語謂「蠔」
蚶	hɒm1	
蚺	nɒm4	
蛀	tɕy3	
蛀	ɗy3	白讀:螫;蠹
蛄	ku1	
蛆	tʰy1	
蛇	ɕɛ4	毒~
蛇	ji4	委~
蛉	leŋ4	
蛋	tɔɑ̯n6	
蛐	kʰok7	
蛑	mau4	
蛘	ja4	
蛙	wɔ1	
蛛	tɕy1	
蛞	kʰut7	
蛟	kɒu1	
蛤	kɒp8	
蛩	koŋ4	
蛭	tɕat7	
蛸	ɕɒu1	蠨~:蟢子
蛸	ɬiu1	螳螂卵
蛹	ȵoŋ2	
蛺	kip7	
蜕	tʰui3	
蛾	ŋɵ4	
蜀	tɕok7	
蜂	foŋ1	
蜆	jin2	
蜇	tɕek9	
蜈	ŋ̍4	
蜉	fau4	
蜊	li4	
蜋	la4	
蜍	ɕy4	
蜒	jin4	
蜓	teŋ4	
蜘	tɕi1	
蜚	fi1	
蜜	mat9	
蜞	ki4	
蜢	ma2	
蜣	kʰa1	
蜥	ɬek7	
蜩	tiu4	
蜮	wek9	
蜱	pi4	
蜴	ek9	
蜷	kʰÿn2	
蜻	tʰeŋ1	
蜾	kʷɵ2	
蜿	wun2	
蝌	wɵ1	
蝓	jy4	
蝕	ɕek9	
蝙	pʰin1	
蝚	mᴇɐ̯u4	~蟥、~囔:水蛭
蝟	wai6	
蝠	fok7	
蝣	jau4	
蝤	tau4	
蝥	mau4	
蝥	mɒu4	又讀,市區、仁東口音無mou音節,所有mou倂入mau
蝦	hɔ1	
虱	ɕat7	
蝮	fok7	
蝰	kʷʰai1	
蝴	wu4	
蝶	tɛa̯p10	
蝸	wɵ1	
蝻	nɒm5	
蝽	tɕʰan1	
螂	loːŋ4	
螃	paŋ4	
螄	ɕi1	
螅	ɬek7	
螈	ȵÿn4	
螋	ɬau1	
融	joŋ4	
螓	tan4	
螗	toːŋ4	
螞	mɔ5	
螟	meŋ5	
螢	weŋ4	
螫	ɕek7	
螬	tɘu4	
螭	tɕʰi1	
螯	ŋɘu4	
螳	toːŋ4	
螵	pʰiu1	
螺	lœ4	又讀
螺	lɵ4	
螻	lau4	
螽	tɕoŋ1	
蟀	ɬat7	
蟄	tɕek9	
蟆	mɔ4	
蟈	kʷak7	~𧊅:小蛙
蟊	mau4	
蟋	ɬat7	
蟎	mun5	
蟑	tɕʰa1	
蟒	moːŋ5	
蟓	ta5	
蟛	pa4	
蟠	pun4	
蟣	ki2	
蟥	woːŋ4	
蟪	jui6	
蟬	ɕim4	
蟮	ɕin6	
蟯	ȵiu4	
蟲	tɕoŋ4	
蟶	tɕʰeŋ1	
蟹	ɔɑ̯i5	
蟻	ŋai5	白讀:~子(有的地方也讀nai)
蟻	ȵi5	文讀:螞~
蟾	ɕim4	
蠃	lœ5	
蠅	leŋ4	
蠅	neŋ4	又讀
蠅	nøŋ4	又讀
蠆	tɕʰɔɑ̯i3	
蠊	lim4	
蠍	kʰit7	
蠐	tai4	
蠑	weŋ4	
蠓	moŋ5	
蠔	ɘu4	
蠕	ɕy4	
蠖	woːk8	
蠛	mak7	
蠟	lɒp10	
蠡	lai5	人名、地名用
蠡	li4	瓢
蠢	tɕʰan2	
蠣	lai6	
蠱	ku2	
蠲	kÿn1	
蠵	kʷai4	
蠶	tɒm4	
蠹	ɗu3	
蠻	mɔɑ̯n4	
蠼	kʷak7	
血	jÿt7	
衄	nok9	
衆	tɕoŋ3	
行	oːŋ4	銀~|~列
行	a4	出~|~走
行	a6	品~
衍	jin5	
術	ɕat9	
街	kɔɑ̯i1	
衙	ȵɔ4	
衛	wai6	
衝	tɕʰoŋ1	
衡	ha1	
衢	ky4	
衣	ji1	
衤	ji1	
表	ɓiu2	
衩	tɕʰɔ3	
衫	ɕɒm1	
衰	ɕui1	
衲	nɒp10	僧衣
衷	tɕoŋ1	
衷	tɕʰoŋ1	
衽	ȵam6	
衾	kʰam1	
衿	tɕam1	
袁	jÿn4	
袂	mai6	
袈	kɔ1	
袋	tɔɑ̯i6	
袍	pɘu4	
袒	tʰɔɑ̯n3	見《玉林话研究》
袖	tau6	
衮	kʷan2	
袢	fɔɑ̯n4	
袤	mau6	
被	pi5	棉~
被	pi6	~動
袱	fok9	
袷	kɒp8	
袷	kip7	曲領
袼	koːk8	
裁	tɔɑ̯i4	
裂	lᴇɐ̯t10	
裊	niu5	本字爲「嫋」
裎	tɕeŋ4	
裏	ly5	
裒	pau4	
裔	ji1	
裕	jy6	
裘	tɕau4	
裙	kʷan4	
補	ɓu2	
裝	tɕoːŋ1	
裟	ɕɔ1	
裡	ly5	
裨	ɓai3	~手
裨	pi4	
裰	ɗÿt7	
裱	ɓiu2	
裳	ɕa4	
裸	lœ5	
裹	kʷɵ2	
裼	ɬek7	
製	tɕai3	
裾	ky1	
褂	kʷɔ3	
複	fok7	
褊	ɓin2	
褐	kɔɑ̯t8	
褒	ɓɘu1	
褓	ɓɘu2	
褚	tɕy2	
褚	tɕʰy2	姓
褡	ɗɒp8	
褥	ȵok9	
褪	tʰui3	~色
褪	tʰan3	挪開
褫	tɕʰi2	
褰	jin1	
褲	wu3	
褶	tɕip7	
褸	lau1	大衣
褸	ly5	襤~
褻	ɬit7	
襁	ka2	
襄	ɬa1	
襆	ɓok7	
襇	kɔɑ̯n3	
襖	ɘu3	
襝	lim4	
襞	ɓek7	
襟	tɕʰam1	
襟	kʰam1	又讀。~章:佩帶於胸口,用於識别身份､職位等的徽章
襠	noːŋ3	
襤	lɒm4	
襦	ɕy4	
襪	mɔɑ̯t10	
襬	ɓɔɑ̯i2	
襯	tʰan3	
襯	tɕʰan3	又讀
襲	tap9	
襻	pʰɔɑ̯n3	
西	ɬai1	
要	jiu1	~求
要	jiu3	須~
覃	tam4	
覆	fok7	
覈	wat9	
見	kin3	
規	kʷʰai1	
覓	mek9	
視	ɕi6	
覘	tɕʰim1	
覡	ek9	
覦	jy6	
親	tʰan1	
覬	ki3	
覯	kau3	
覲	kan6	
覷	tʰy3	
覺	kak7	
覺	kɒu3	
覽	lɒm2	
覿	tek9	
觀	kun1	
角	kak7	
觔	tɕan1	
觖	kʰÿt7	
觚	ku1	
觜	ɗui2	
解	kɔɑ̯i2	
觥	kʷaŋ1	
觫	ɬok7	
觳	kok7	
觴	ɕa1	
觶	tɕi3	
觸	tɕʰok7	
言	ȵin4	
訁	ȵin4	
訂	ɗeŋ3	
訃	fu3	
訇	hoŋ1	
計	kai3	動詞
計	kai6	名詞:冇~
計	ki6	伙~
訊	ɬan3	
訌	oŋ4	
討	tʰɘu2	
訐	kʰit7	
訓	wan3	
訕	ɕɔɑ̯n3	
訖	at9	
託	tʰoːk8	
記	ki3	
訛	ŋɵ4	
訝	ȵɔ6	
訟	toŋ6	
訣	kʰÿt7	
訥	nat7	
訪	foːŋ2	
設	tɕʰit7	又讀
設	ɕÿt7	
許	hy2	
訴	ɬu3	
診	tɕʰan2	
註	tɕy3	
訾	ɗi1	
詁	ku2	
詆	ɗai2	
詈	lai3	痛罵
詎	ky5	
詐	tɕɔ3	騙
詐	tɕʰɔ3	假装
詒	tɔɑ̯i5	騙
詔	tɕiu3	
評	peŋ4	
詘	kʷʰat7	
詞	ti4	
詠	weŋ5	
詡	hy2	
詢	tan4	
詣	ŋai6	
試	ɕi3	
