#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
嘸	mɔ1	喃~
嘹	liu4	
嘻	hɛ1	
嘿	mak9	通「默」
嘿	hei3	
噁	oːk8	
噅	kʷʰai1	
噌	tɕʰaŋ1	
噍	tɕiu6	
噎	jit7	
嘘	hy1	
噔	ɗaŋ1	
噗	pʰu1	
噘	kᴇɐ̯t10	
噙	tɕam4	
噝	ɕi1	
噠	tat9	
噠	ɗəʔ7	
噢	wu4	
噤	kam3	
噤	tɕam3	
噥	noːŋ4	
噦	œa̯k9	
器	hi3	
噩	ŋoːk10	呆
噪	tʰɘu3	
噫	ji1	
噬	ɬai6	
噯	ai3	
噱	ka6	
噲	kʷʰɔɑ̯i3	
噴	pʰan3	
噸	ɗan1	
噹	ɗaŋ1	
噻	ɬak7	
嚀	neŋ4	
嚅	ɕy4	
嚆	hɒu1	
嚇	ha2	
嚌	tai6	
嚎	ɘu4	
嚏	tɕʰiu1	
嚐	ɕa4	
嚓	tɕʰɔɑ̯t8	
嚕	lu4	
嚥	jin3	
嚦	lek9	
嚨	loŋ4	
嚨	loŋ1	
嚮	ja3	
嚳	kʰok7	
嚴	ȵim4	
嚶	eŋ1	
嚷	ȵa4	
嚼	tʰa2	
囀	tɕÿn3	
囁	ȵɛa̯p10	
囂	hiu1	
囅	tɕʰit7	
囈	ŋai6	
囉	lɵ1	
囊	noːŋ4	
囑	tɕok7	
囔	noːŋ1	
囗	wai4	
囚	tɕau4	
四	ɬi3	
囝	kin2	
回	wui4	
囟	ɬan3	
因	an1	
囤	ɗan2	
囩	wan4	衡量次數的量詞
囱	tʰoŋ1	
囫	kun4	
困	kʷʰan3	
囹	leŋ4	
固	ku3	
囿	jau6	
圃	pʰu2	
圄	ȵy5	
圇	lan4	
圈	kʰÿn1	
圉	ȵy5	
圊	tʰeŋ1	
國	kʷoːk8	
圍	wai4	
園	jÿn4	
圓	jÿn4	
圖	tu4	
團	tÿn4	
圜	jÿn4	
土	tʰu2	
在	tɔɑ̯i5	
圩	wai4	關於「集市」之「圩」見「墟」
圪	ŋat9	
圬	wu1	
圭	kʷai1	
圮	pi5	
圯	ji4	
地	ti6	
圳	tɕan3	深~:地名,在廣東
圻	ŋan4	同「垠」
圻	ki4	
圾	ɬɒp8	
址	tɕi2	
均	kʷan1	
坊	foːŋ2	
坌	pan6	
坎	hɒm2	
坎	ham1	~坷
坏	pʰui1	同「坯」,又見「壞」的簡體
坐	tœ5	
坐	tœ6	放置,多指把器皿置于爐子、竈口或熱鍋裏使保温
坑	kʰoːŋ1	動詞:~害
坑	ha1	水~
坡	pʰɵ1	
坤	kʷʰan1	
坦	tʰɔɑ̯n2	
坨	tɵ4	
坩	kɒm1	
坪	peŋ4	
坫	ɗim3	
坭	nai4	
坯	pʰui1	
坰	kʷeŋ1	
坳	ɒu3	
坶	mok9	同「牧野」之「牧」
坶	mu5	壚~|阿~坪
坷	hɵ1	
坻	ɗai2	山坡
坻	tɕi4	水中高地:宛在水中~
坼	tɕʰa2	裂,爆裂
垂	ɕui4	
垃	lɒp10	
型	eŋ4	
垌	toŋ6	田地:出~|田~
垓	kɔɑ̯i1	
垜	ɗœ3	
垜	ɗœ3	
垠	ŋan4	
垡	fɔɑ̯t10	
垢	kɒu2	
垣	wun4	
垤	tᴇɐ̯t10	
垮	kʷʰɔ2	
垵	jim2	
垸	jÿn4	
垸	jÿn6	兩湖地區指湖堤
垻	ɓɔ3	
埂	ka2	
埃	ɔɑ̯i1	
埋	mɔɑ̯i4	
埌	loːŋ5	
城	ɕeŋ4	
埏	jin4	
埏	ɕin1	以水和泥「~埴」
埒	lœa̯t10	
埔	pʰu2	
