#漢字	音標	解釋
㨣	ŋoŋ5	拥
綻	tʂan6	
綠	ləu7	
綴	tʂʯei5	
緬	miɛn3	
纜	lan3	
緝	tɕi7	
緞	tan6	
緩	xuan3	
縷	li3	
編	piɛn1	
緣	ʯan2	
縛	sei5	
縫	foŋ5	
纏	tʂʰan2	
繽	pin1	
縹	pʰiau5	
縮	səu7	
繮	tɕiaŋ1	
繳	tɕiau3	
缸	kaŋ1	
缺	tʂʯɛ7	
缺	tʂʰʯæ7	
罄	tɕʰin5	
罐	kuan5	
网	uaŋ3	
罕	xan5	
羅	lo2	
罰	fa2	
罷	pa6	
罩	tʂau5	
罪	tsei5	
置	tsɿ3	
置	tʂʅ5	
署	ʂʯ3	
羈	tɕi1	
羊	iaŋ2	
美	mi3	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	tɕʰiɛn5	
羡	ɕiɛn6	
群	tʂʰʯəŋ2	
羽	ʯ3	
翁	ŋoŋ1	
翁	oŋ1	
翅	tsɿ3	
翅	tsʰɿ3	
翅	tʂʅ5	
翅	tʂʰʅ5	
翔	tɕʰiaŋ2	
翹	tɕʰiau1	
翹	tɕʰiau5	
翟	tʂæ7	
翠	tsʰei5	
翡	fei3	
翩	pʰiɛn5	
翰	xan6	
翱	ŋau2	
翻	fan1	
翼	i6	
耀	iau6	
老	lau3	
者	tsɛ3	
者	tʂɛ3	
而	e2	
而	ə2	
耍	ʂʯa3	
耐	lai6	
耕	kən1	
耗	xau5	
耘	ʯəŋ2	
耙	pa1	
耙	pʰa2	
耳	e3	
耳	ə3	
耶	iɛ1	
耶	iæ1	
聳	soŋ3	
耻	tsʰɿ3	
耻	tʂʰʅ3	
耽	tan1	
耿	kən3	
聶	liɛ7	
聶	liæ7	
聾	loŋ1	
職	tsɿ7	
職	tʂʅ7	
聯	liɛn2	
聘	pʰin5	
聚	tʂʯ6	
聰	tsʰoŋ1	
肅	səu7	
肆	sɿ5	
肇	ʂau6	
肉	ʐʯəu7	
肋	læ2	
肌	tɕi1	
肓	xuaŋ1	
肖	ɕiau1	
肖	ɕiau5	
肘	tʂəu2	
肚	təu3	
肛	kaŋ1	
肝	kan1	
腸	tʂʰaŋ2	
股	ku3	
肢	tsɿ1	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肩	tɕiɛn1	
肪	faŋ2	
骯	ŋaŋ1	
肯	kʰən3	
育	iəu7	
肺	fei5	
腎	ʂən6	
腫	tʂoŋ3	
脹	tʂaŋ5	
脅	ɕiɛ2	
脅	ɕiæ2	
胃	uei6	
膽	tan3	
背	pei1	
背	pi5	
胖	pʰaŋ5	
勝	ʂən5	
胞	pau1	
朧	loŋ2	
胭	iɛn1	
胯	kʰua3	
胱	kuaŋ1	
胳	kæ2	
膠	tɕiau1	
胸	ɕioŋ1	
能	lən2	
脂	tsɿ3	
脂	tʂʅ3	
脆	tsʰei5	
脉	mæ7	
脊	tɕi7	
膾	kʰuai5	
脏	tsaŋ1	
脏	tsaŋ6	
臍	tɕʰi2	
腦	lau3	
膿	loŋ2	
脚	tɕio7	
脯	pʰu3	
脱	tʰo7	
臉	liɛn3	
脾	pʰi2	
臘	la7	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan3	
腥	ɕin1	
腮	sai1	
腰	iau1	
腹	fu2	
膩	li6	
騰	tʰən2	
腿	tʰei3	
膀	paŋ3	
膈	kæ7	
膊	po2	
膏	kau1	
膘	piau1	
膛	tʰaŋ2	
膜	mo7	
膝	tɕʰi7	
膨	pʰən1	
臀	tʰən2	
臂	pi5	
臂	pei5	
臃	ʐoŋ1	
臊	sau1	
臊	sau5	
臣	tʂʰən2	
自	tsɿ6	
臭	tʂʰəu5	
至	tsɿ3	
至	tʂʅ5	
致	tsɿ3	
致	tʂʅ5	
臼	tɕiəu6	
舀	iau3	
舂	tʂʰoŋ1	
舅	tɕiəu6	
舌	ʂæ2	
舍	sɛ3	
舍	ʂɛ3	
舍	sɛ5	
舍	ʂɛ5	
舒	ʂʯ1	
舔	tʰiɛn3	
舜	ʂʯəŋ5	
舞	u3	
舟	tʂəu1	
航	xaŋ2	
般	pan1	
艦	tɕiɛn5	
艙	tsʰaŋ1	
舵	to6	
舷	ɕiɛn2	
船	tʂʰʯan2	
艇	tʰin3	
良	liaŋ2	
艱	tɕiɛn1	
色	sæ7	
豔	iɛn6	
藝	ȵi6	
艾	ŋai5	
節	tɕiɛ7	
節	tɕiæ7	
芋	ʯ5	
芒	maŋ2	
芙	fu2	
蕪	u2	
芝	tsɿ1	
芝	tʂʅ1	
芥	kai5	
蘆	ləu2	
芬	fən1	
芭	pa1	
花	fa1	
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
莧	xan6	
蒼	tsʰaŋ1	
苏	səu1	
苔	tʰai2	
苕	ʂau2	
苕	tʰiau2	
苗	miau2	
苛	kʰo1	
苞	pau1	
苟	kəu3	
苣	tʂʯ6	
若	ʐo7	
苦	kʰu3	
英	in1	
蘋	pʰin2	
茂	mau6	
范	fan6	
茄	tɕʰiɛ2	
茄	tɕʰiæ2	
茅	mau2	
茉	mo2	
莖	tɕin5	
繭	tɕiɛn3	
茫	maŋ2	
茴	xuei2	
茵	in1	
茶	tʂʰa2	
茸	ʐoŋ2	
荀	ɕin2	
荆	tɕin1	
草	tsʰau3	
薦	tɕiɛn6	
荒	xuaŋ1	
莢	ka7	
莢	tɕia7	
蕎	tɕʰiau2	
蕩	taŋ6	
榮	ʐoŋ2	
葷	xuəŋ1	
熒	in2	
蔭	in1	
蔭	in5	
藥	io7	
荷	xo2	
荷	xo6	
莉	li6	
莓	mi2	
莓	mei2	
莫	mo7	
萊	lai2	
蓮	liɛn2	
获	xuæ7	
瑩	in2	
鶯	in1	
莽	maŋ3	
菊	tʂʯ7	
菌	tʂʯəŋ5	
菜	tsʰai5	
菠	po1	
菩	pʰu2	
菱	lin2	
萄	fau2	
萌	moŋ2	
萍	pʰin2	
蘿	lo2	
螢	in2	
營	in2	
縈	in2	
蕭	ɕiau1	
薩	sa1	
萼	ŋo7	
落	lo7	
葆	pau3	
著	tʂʯ5	
葛	ko7	
葡	pʰu2	
董	toŋ3	
葫	xu2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒙	moŋ1	
蒙	moŋ2	
蒜	san5	
蒸	tʂən1	
蒿	xau1	
蓄	ɕiəu7	
蓉	ʐoŋ2	
蓊	oŋ5	
蓑	so1	
藍	lan2	
蓬	pʰoŋ2	
蔑	miɛ7	
蔑	miæ7	
蔓	man6	
蔗	tsɛ5	
蔗	tʂɛ5	
蔡	tsʰai5	
蔫	iɛn1	
蔬	səu1	
薔	tɕʰiaŋ2	
藹	ŋai3	
蔽	pi5	
蔽	pei5	
蕉	tɕiau1	
蕊	ʐʯei3	
薄	po2	
薅	xau1	
薇	uei2	
薑	tɕiaŋ1	
薛	ɕiɛ7	
薛	ɕiæ7	
薪	ɕin1	
薯	ʂʯ3	
藉	tɕiɛ5	
藉	tɕiæ5	
藏	tsʰaŋ2	
藏	tsaŋ6	
藐	miau3	
蘚	ɕiɛn3	
藕	ŋəu3	
藤	tʰən2	
藻	tsau3	
蘸	tʂan5	
虎	xu3	
虜	ləu3	
虐	lio2	
虐	ȵio2	
慮	li6	
虚	ʂʯ1	
虞	ʯ2	
蟲	tʂʰoŋ2	
虱	ʂæ7	
虹	xoŋ2	
雖	sei1	
蝦	ɕia1	
蝕	sɿ7	
蝕	ʂʅ7	
蟻	ȵi3	
螞	ma3	
蚊	uəŋ2	
蚌	paŋ6	
蚓	in3	
蠶	tsʰan2	
蚜	ia2	
蚣	koŋ1	
蚤	tsau3	
蚪	təu3	
蚯	tɕʰiəu1	
蚱	tʂa5	
蛆	tʂʰʯ1	
蛇	ʂæ2	
蠱	tʂoŋ1	
蛋	tan6	
蛔	xuei2	
蛙	ua1	
蛩	tɕʰioŋ2	
蠻	man2	
蛹	ʐoŋ3	
蜀	ʂəu7	
蜂	foŋ1	
蜃	ʂən6	
蜕	tʰei5	
蝸	o1	
蜘	tsɿ1	
蜘	tʂʅ1	
蜚	fei1	
蠟	la7	
蜢	moŋ3	
蜷	tʂʰʯan2	
蜻	tɕʰin1	
蠅	in2	
蟬	ʂan2	
蝌	kʰo1	
蠍	ɕiɛ7	
蠍	ɕiæ7	
蝗	xuaŋ2	
蝙	piɛn3	
蝴	xu2	
蝶	tiɛ7	
蝶	tiæ7	
螂	laŋ2	
螃	pʰaŋ2	
融	ʐoŋ2	
螟	min2	
螺	lo2	
蟋	ɕi7	
蟑	tʂaŋ1	
蟒	maŋ3	
蟹	xai3	
蠢	tʂʰʯəŋ3	
血	ɕiɛ7	
血	ɕiæ7	
行	ɕin2	
行	xaŋ2	
衍	iɛn3	
銜	xan2	
銜	ɕiɛn2	
街	kai1	
衙	ia2	
衡	xən2	
衢	tʂʰʯ2	
衣	i1	
補	pu3	
表	piau3	
衩	tʂʰa1	
衫	ʂan1	
襯	tʂʰən5	
衰	ʂʯai1	
衷	tʂoŋ1	
袁	ʯan2	
襖	ŋau3	
袋	tai6	
袍	pʰau2	
袒	tʰan3	
袖	ɕiəu6	
袜	ua7	
被	pi6	
被	pei6	
襲	ɕi7	
裁	tsʰai2	
裂	liɛ7	
裂	liæ7	
裝	tʂʯaŋ1	
襠	taŋ1	
裕	ʯ5	
裙	tʂʰʯəŋ2	
褲	kʰu5	
裱	piau3	
裳	ʂaŋ2	
裴	pʰei2	
裸	lo3	
裹	ko3	
褂	kua5	
褒	pau1	
褓	pau3	
褥	ʐəu7	
褪	tʰei5	
褶	tʂæ7	
襄	ɕiaŋ1	
襟	tɕin1	
西	ɕi1	
要	iau5	
覆	fu2	
覆	fu5	
見	tɕiɛn5	
觀	kuan1	
觀	kuan5	
規	kuei1	
視	sɿ6	
視	ʂʅ6	
覽	lan3	
覺	tɕio2	
覺	kau5	
覺	tɕiau5	
角	ko7	
角	tɕio7	
解	kai3	
觸	tʂʰəu7	
言	iɛn2	
詹	tʂan1	
譽	ʯ5	
謄	tʰən2	
誓	sɿ6	
誓	ʂʅ6	
警	tɕin3	
計	tɕi5	
訂	tin5	
訃	fu5	
認	ʐʯəŋ6	
譏	tɕi1	
討	fau3	
讓	ʐʯaŋ6	
訓	ʂʯəŋ5	
訊	ɕin5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
謳	ŋəu1	
訝	ia3	
許	ʂʯ3	
訛	ŋo2	
論	lən6	
訟	soŋ6	
諷	foŋ3	
設	ʂæ7	
訪	faŋ3	
訣	tʂʯæ7	
證	tʂən5	
評	pʰin2	
詛	tsəu3	
識	sɿ7	
識	ʂʅ7	
詐	tʂa5	
訴	səu5	
診	tʂən3	
詞	tsʰɿ2	
譯	i7	
試	sɿ5	
試	ʂʅ5	
詩	sɿ1	
詩	ʂʅ1	
詼	xuei1	
誠	tʂʰən2	
話	fa6	
話	xua6	
誕	tan6	
詭	kuei3	
詢	ɕin2	
該	kai1	
詳	tɕʰiaŋ2	
詫	tʂʰa5	
誡	kai5	
誣	u1	
語	ʯ3	
誤	u6	
誘	iəu5	
誨	xuei3	
説	ʂʯæ7	
誦	soŋ6	
請	tɕʰin3	
諸	tʂʯ1	
諾	lo6	
讀	təu2	
誹	fei3	
課	kʰo5	
誰	ʂʯei2	
調	tʰiau2	
調	tiau6	
諒	liaŋ5	
諄	tʂʯəŋ1	
談	tʰan2	
誼	ȵi2	
謀	məu2	
諜	tiɛ7	
諜	tiæ7	
謊	xuaŋ3	
諫	tɕiɛn5	
諧	xai2	
謂	uei6	
讒	tʂʰan2	
諺	iɛn6	
謎	mi6	
謎	mei6	
謝	ɕiɛ6	
謝	ɕiæ6	
謡	iau2	
謗	paŋ5	
謙	tɕʰiɛn1	
謹	tɕin3	
謾	man6	
謬	miəu5	
譚	tʰan2	
譜	pʰu3	
譴	tɕʰiɛn3	
谷	ku7	
豁	xo7	
豆	təu6	
豇	kaŋ1	
豇	tɕiaŋ1	
豌	uan1	
象	ɕiaŋ6	
豢	xuan6	
豪	xau2	
豫	ʯ5	
豹	pau5	
豺	tʂʰai2	
貂	tiau1	
貉	xo7	
貌	mau6	
貝	pi5	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
責	tsæ2	
賢	ɕiɛn2	
敗	pai6	
貨	xo5	
質	tsɿ2	
質	tʂʅ2	
販	fan5	
貪	tʰan1	
貧	pʰin2	
貶	piɛn3	
購	kəu5	
貫	kuan5	
貳	e6	
貳	ə6	
賤	tɕiɛn6	
貼	tʰiɛ7	
貼	tʰiæ7	
貴	kuei5	
貸	tai6	
貿	mau6	
費	fei5	
賀	xo6	
賊	tsæ2	
賈	tɕia3	
賄	xuei5	
贓	tsaŋ1	
資	tsɿ1	
賒	sɛ1	
賒	ʂɛ1	
賭	təu3	
贖	ʂəu7	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰi2	
賠	pʰei2	
賴	lai6	
贅	tʂʯei5	
賺	tʂʯan6	
賽	sai5	
贊	tsan5	
贈	tsən1	
贍	ʂan6	
贏	in2	
贛	kan5	
赤	tsʰɿ3	
赤	tʂʰʅ3	
赦	sɛ5	
赦	ʂɛ5	
赫	xæ7	
走	tsəu3	
赳	tɕiəu1	
赴	fu5	
趙	tʂau6	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰau1	
越	ʯæ7	
趨	tʂʰʯ1	
趟	tʰaŋ5	
趣	tɕʰi5	
足	tsəu7	
趴	pʰa1	
趾	tsɿ3	
趾	tʂʅ3	
躍	io7	
跋	pa2	
跌	tiɛ7	
跌	tiæ7	
跑	pʰau2	
跛	po3	
距	tʂʯ6	
跟	kən1	
跤	kau1	
跨	kʰua5	
跪	kʰuei3	
跪	kuei6	
路	ləu6	
跳	tʰiau5	
踐	tɕiɛn6	
蹺	tɕʰiau1	
跥	to5	
躊	tʂʰəu2	
踏	tʰa7	
踞	tʂʯ5	
踢	tʰi7	
踩	tsʰai3	
蹤	tsoŋ1	
踮	tiɛn5	
踵	tʂoŋ3	
蹄	tʰi2	
蹈	tau6	
蹉	tsʰo1	
蹦	poŋ5	
蹩	piɛ7	
蹩	piæ7	
蹬	tən1	
蹲	tən1	
蹶	tʂʯæ7	
躁	tsau5	
躁	tʂʰau5	
躪	lin6	
身	ʂən1	
躬	koŋ1	
軀	tʂʰʯ1	
躱	to3	
躺	tʰaŋ3	
車	tsʰɛ1	
車	tʂʰɛ1	
軋	ŋa6	
軌	kuei3	
軒	ɕiɛn1	
轉	tʂʯan3	
轉	tʂʯan5	
輪	lən2	
軟	ʐʯan3	
轟	xoŋ1	
軸	tʂəu2	
輕	tɕʰin1	
載	tsai5	
轎	tɕiau6	
較	tɕiau5	
輔	fu3	
輛	liaŋ3	
輩	pei6	
輝	xuei1	
輻	fu2	
輯	tɕi7	
輸	ʂʯ1	
轡	pʰei5	
轄	ɕia2	
輾	tʂan3	
轍	tʂʰæ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰi7	
辣	la7	
辨	piɛn6	
辯	piɛn6	
辮	piɛn6	
辰	ʂən2	
辱	ʐəu7	
邊	piɛn1	
遼	liau2	
達	ta7	
遷	tɕʰiɛn1	
迂	ʯ1	
迅	ɕin5	
過	ko5	
邁	mai5	
迎	in2	
運	ʯəŋ6	
近	tɕin5	
返	fan3	
還	xai2	
還	xuan2	
這	liɛ5	训读
這	liæ5	训读
進	tɕin5	
遠	ʯan3	
違	uei2	
連	liɛn2	
遲	tsʰɿ2	
遲	tʂʰʅ2	
迢	tʰiau2	
迥	tʂʯəŋ3	
迫	pʰæ7	
述	ʂʯ7	
迷	mi2	
迸	poŋ5	
迹	tɕi2	
追	tʂʯei1	
退	tʰei5	
送	soŋ5	
適	sɿ2	
適	ʂʅ2	
逃	fau2	
選	ɕiɛn3	
透	tʰəu5	
逐	tʂəu7	
遞	ti6	
途	tʰəu2	
逗	təu1	
通	foŋ1	
逛	kuaŋ5	
逝	sɿ6	
逝	ʂʅ6	
速	səu2	
造	tsʰau5	
逢	foŋ2	
逵	kʰuei2	
逸	i7	
邏	lo2	
逼	pi7	
遁	tən6	
遂	ɕi6	
遂	sei6	
遇	ʯ5	
遍	pʰiɛn5	
遏	ŋæ7	
遐	ɕia2	
道	tau6	
遺	i2	
遣	tɕʰiɛn3	
遥	iau2	
遭	tsau1	
遮	tsɛ1	
遮	tʂɛ1	
遵	tsən1	
避	pi6	
避	pei6	
邀	iau1	
邋	la1	
鄧	tən6	
邢	ɕin2	
那	liæ5	训读
那	liɛ6	训读
邦	paŋ1	
邪	ɕiɛ2	
邪	ɕiæ2	
郵	iəu2	
邵	ʂau6	
邸	ti3	
鄒	tsəu1	
鄰	lin2	
郁	ʯ5	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂən6	
郡	tʂʯəŋ5	
郭	ko7	
都	təu1	
鄂	ŋo7	
鄙	pʰi3	
酌	tʂo7	
配	pʰei5	
酒	tɕiəu3	
酗	ʂʯ5	
醞	ʯəŋ5	
酣	xan1	
酥	səu1	
酬	tʂʰəu2	
醬	tɕiaŋ5	
酵	ɕiau5	
酶	mei2	
酷	kʰu7	
酸	san1	
釅	ȵiɛn6	
釀	liaŋ5	
釀	ȵiaŋ6	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
采	tsʰai3	
釉	iəu6	
釋	sɿ7	
釋	ʂʅ7	
里	li3	
重	tʂʰoŋ2	
重	tʂoŋ6	
野	iɛ3	
野	iæ3	
量	liaŋ2	
量	liaŋ5	
金	tɕin1	
鑑	tɕiɛn6	
針	tʂən1	
釘	tin1	
釘	tin5	
釣	tiau5	
釵	tʂʰai1	
鈣	kai5	
鈍	tən6	
鈔	tʂʰau1	
钟	tʂoŋ1	
鋼	kaŋ1	
鑰	io7	
欽	tɕʰin1	
鈞	tʂʯəŋ1	
鉤	kəu1	
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鉢	po7	
鑽	tsan1	
鑽	tsan5	
鐵	tʰiɛ7	
鐵	tʰiæ7	
鈴	lin2	
鉛	tɕʰiɛn1	
鉚	mau3	
銅	foŋ2	
鋁	ʯ3	
鏵	fa2	
鏵	xua2	
銘	min2	
鏟	tʂʰan3	
銃	tʂʰoŋ5	
銀	in2	
鑄	tʂʯ5	
鋪	pʰu1	
鋪	pʰu5	
鏈	liɛn6	
銷	ɕiau1	
鎖	so3	
鋤	tʂʰəu2	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	foŋ1	
銳	ʐʯei5	
錯	tsʰo5	
錨	mau2	
錫	ɕi7	
鑼	lo2	
錘	tʂʰʯei2	
錐	tʂʯei1	
錦	tɕin3	
鍁	ɕiɛn1	
錠	tin6	
鍵	tɕiɛn6	
鏘	tɕʰiaŋ1	
鍔	ŋo7	
鍬	tɕʰiau1	
鍛	tan6	
鍍	təu6	
鎮	tʂən5	
鑷	liɛ7	
鑷	liæ7	
鎬	kau1	
鑌	pin1	
鏢	piau1	
鏡	tɕin5	
鑊	o1	锅
鐲	tʂo7	
鐮	liɛn2	
鑣	piau1	
鑲	ɕiaŋ1	
長	tʂʰaŋ2	
長	tʂaŋ3	
門	mən2	
閂	ʂʯan1	
閃	ʂan3	
閉	pi5	
閉	pei5	
問	uəŋ6	
闖	tʂʰʯaŋ3	
閏	ʐʯəŋ6	
闲	ɕiɛn2	
間	kan1	
間	tɕiɛn1	
間	tɕiɛn5	
閔	min3	
悶	mən5	
閘	tʂa2	
鬧	lau6	
閨	kuei1	
聞	uəŋ2	
閩	min3	
閥	fa2	
閣	ko7	
閡	xæ7	
鬮	tɕiəu1	
閲	ʯæ7	
閻	iɛn2	
闡	ʂan6	
闊	kʰuæ7	
隊	tei5	
阡	tɕʰiɛn1	
阪	pan3	
阮	ʐʯan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən6	
階	kai1	
阻	tsəu3	
陂	pʰi2	
附	fu5	
際	tɕi5	
陸	ləu7	
隴	loŋ3	
陳	tʂʰən2	
陋	ləu6	
陌	mæ7	
降	tɕʰiaŋ2	
降	tɕiaŋ5	
限	ɕiɛn6	
陝	ʂan3	
陡	təu3	
院	ʯan5	
除	tʂʰʯ2	
險	ɕiɛn3	
陪	pʰi2	
陪	pʰei2	
陵	lin2	
陶	fau2	
陷	xan6	
陷	ɕiɛn6	
隆	loŋ2	
隋	sei2	
隍	xuaŋ2	
隨	ɕi2	
隨	sei2	
隱	in3	
隔	kæ7	
隘	ŋai6	
隙	ɕi5	
障	tʂaŋ5	
隧	ɕi6	
隧	sei6	
隶	li6	
難	lan2	
難	lan6	
雀	tɕʰio7	
雁	ŋan6	
雁	iɛn6	
雄	ɕioŋ2	
雅	ia3	
集	tɕi7	
雇	ku5	
雌	tsʰɿ2	
雍	ʐoŋ1	
雛	tʂʰəu2	
雕	tiau1	
雨	ʯ3	
雪	ɕiɛ7	
雪	ɕiæ7	
雯	uəŋ2	
零	lin2	
雷	li2	
雷	lei2	
霧	u6	
需	ɕi1	
霄	ɕiau1	
霆	tʰin2	
震	tʂən5	
黴	mei2	
霜	ʂʯaŋ1	
霞	ɕia2	
露	ləu6	
霸	pa5	
霹	pʰi7	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
面	miɛn6	
革	kæ7	
靴	ʂʯɛ1	
靶	pa3	
靸	sa7	
鞋	xai2	
鞍	ŋan1	
鞘	tɕʰiau5	
鞠	tʂʯ7	
鞭	piɛn1	
韋	uei2	
韌	ʐʯəŋ3	
韓	xan2	
韭	tɕiəu3	
音	in1	
韻	ʯəŋ5	
韶	ʂau2	
頁	iɛ7	
頁	iæ7	
頂	tin3	
頃	tɕʰin3	
項	xaŋ6	
順	ʂʯəŋ5	
须	ɕi1	
頑	uan2	
顧	ku5	
頓	tən5	
頒	pan1	
頌	soŋ6	
預	ʯ5	
顱	ləu2	
領	lin3	
頗	pʰo3	
頸	tɕin3	
頰	tɕia7	
頻	pʰin2	
頽	tʰei2	
穎	in3	
顆	kʰo1	
題	tʰi2	
顔	iɛn2	
額	ŋæ7	
顛	tiɛn1	
顫	tʂan5	
顰	pʰin2	
顴	tʂʰʯan2	
風	foŋ1	
飄	pʰiau1	
飆	piau1	
飛	fei1	
食	sɿ7	
食	ʂʅ7	
餐	tsʰan1	
饥	tɕi1	
飯	fan6	
飲	in3	
餞	tɕiɛn6	
飾	sɿ5	
飾	ʂʅ5	
飽	pau3	
飼	sɿ6	
餌	e3	
餌	ə3	
饒	ʐʯau2	
餉	ɕiaŋ3	
餃	tɕiau3	
餅	pin3	
餓	ŋo6	
餓	o6	
餘	ʯ2	
餡	ɕiɛn6	
館	kuan3	
餿	səu1	
饞	tʂʰan2	
饃	mo2	
餾	liəu5	
饅	man2	
首	ʂəu3	
香	ɕiaŋ1	
馬	ma3	
馭	ʯ5	
馱	tʰo2	
馴	ʂʯəŋ5	
馳	tsʰɿ2	
馳	tʂʰʅ2	
驅	tʂʰʯ1	
駁	po7	
驢	li2	
駛	sɿ3	
駛	ʂʅ3	
駒	tʂʯ1	
駐	tʂʯ5	
駝	tʰo2	
駕	tɕia5	
駡	ma6	
驕	tɕiau1	
駱	lo7	
駭	xai6	
驗	ȵiɛn6	
駿	tɕin5	
騎	tɕʰi2	
騙	pʰiɛn5	
騷	sau1	
騸	ʂan5	
騾	lo2	
驟	tʂʰəu5	
骨	ku7	
骼	kæ7	
髏	ləu3	
髓	sei2	
高	kau1	
鬃	tsoŋ1	
鬏	tɕiəu1	
鬼	kuei3	
魁	kʰuei2	
魂	xuəŋ2	
魄	pʰæ7	
魏	uei6	
魔	mo2	
魚	ʯ2	
魯	ləu3	
鮎	liɛn2	
鮎	ȵiɛn2	
鮑	pau6	
鮮	ɕiɛn1	
鯉	li3	
鯽	tɕi7	
鰓	sai1	
鱷	ŋo7	
鰭	tɕʰi2	
鱉	piɛ1	
鱉	piæ1	
鱖	kuei5	
鱔	ʂan6	
鱗	lin2	
鳥	ȵiau3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鷗	ŋəu1	
鴉	ia1	
鴣	ku1	
鴨	ia7	
鴦	iaŋ1	
鴛	ʯan1	
鴿	ko7	
鸞	lan2	
鴻	xoŋ2	
鵑	tʂʯan1	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰio7	
鵬	pʰoŋ2	
鶴	xo7	
鸚	in1	
鷺	ləu6	
鷹	in1	
鹿	ləu7	
麒	tɕʰi2	
麥	mæ7	
麩	fu1	
麻	ma2	
黃	xuaŋ2	
黍	ʂəu7	
黎	li2	
黑	xæ7	
黔	tɕʰiɛn2	
默	mæ7	
黛	tai6	
鼎	tin3	
鼓	ku3	
鼠	ʂʯ3	
鼻	pi2	
鼾	xan1	
齊	tɕʰi2	
齒	tsʰɿ3	
齒	tʂʰʅ3	
齡	lin2	
齦	in2	
龍	loŋ2	
龔	koŋ1	
龕	kʰan1	
龜	kuei1	
