#漢字	音標	解釋
㜷	mɛi1	妈妈
翔	tɕʰiaŋ5	
翹	tɕʰiau5	
翠	tɕʰy5	
翡	fɛi3	
翩	pʰiɛ1	
翻	fɔ1	
翼	i2	
老	lau1	～人家
考	kʰau3	
而	ɛ5	
耐	na5	
耒	luɛi3	～阳
耕	kɛn1	官话音
耗	xau5	
耘	yn5	官话音
耳	ɛ3	～机
耶	iɛ1	
聳	soŋ3	
恥	tsʰɿ3	官话音
耽	tan1	官话音
耿	kɛn3	
聶	ȵiɛ5	
聆	lɛn2	
聊	liau2	
聾	loŋ1	～子
聯	liɛ2	
聯	liɛn5	对～
聘	pʰin2	官话音
聚	tɕʰy5	
聵	kʰuɛi2	
聰	tsʰoŋ1	
聿	y2	
肅	su5	严～
肆	sɿ2	
肇	tsʰau2	官话音
肉	ȵiou5	
肋	lɛ5	
肌	tɕi1	
肖	ɕiau1	
肚	tu5	
肛	kaŋ1	
肝	kɔ1	白
肝	kan1	文
腸	tsʰaŋ2	
股	kʰu3	
肢	tsɿ1	
肤	fu1	
肥	fɛi5	
肩	kɔ1	～头（肩膀）
肪	faŋ5	
骯	aŋ1	
肯	kʰɛn3	
育	y5	
肺	fɛi2	
腎	sɛn2	官话音
腫	tsoŋ3	
脹	tsaŋ5	
脅	ɕiɛ5	
胃	uɛi5	
膽	tɔ3	
背	pi5	～后
背	pɛi1	负也
背	pɛi5	～书
胎	tʰai1	官话音
胖	pʰaŋ5	
胚	pʰɛi1	
勝	ɕin5	
胞	pau1	
胡	fu2	
胤	in2	
胴	toŋ2	
膠	kau1	
胸	ɕioŋ1	
能	nɛn2	
脂	tsɿ3	
脆	tɕʰy5	
脉	ma5	
脊	tɕi3	
脏	tsaŋ1	官话音
腦	nau3	
膿	noŋ2	
脖	pɔ5	官话音
腳	kuɵø5	
脫	tʰy5	
腡	lɵø2	指纹
臉	liɛn3	官话音
腈	tsɛn1	～肉（瘦肉）
臘	la5	
腌	iɛ1	
腐	fu1	
腑	fu3	
腔	tɕʰiaŋ1	
腚	tɛn5	
腥	sɛn1	
腩	nɔ2	
腮	sai1	
腰	iau1	
膩	ȵi5	
騰	tʰɛn5	官话音
腿	tʰuɛi3	
膀	paŋ1	
膏	kau1	
臂	pɛi5	
臃	ioŋ1	
臆	i5	
臣	tɕʰin5	官话音
臧	tsaŋ1	
自	tsʰɿ5	
臭	tɕiou5	
至	tsɿ2	
臻	tɕin1	
臾	y5	官话音
舀	iau3	
舅	tɕʰiou5	
舌	sa2	
舍	sa6	～得（没有）
舍	sɛ5	
舒	ɕy1	
舔	lia3	
舜	ɕyn2	
舞	u3	
舟	tɕiou1	
航	xaŋ2	
般	pɔ1	
艙	tsʰaŋ1	
船	tɕyɛ2	
艇	tʰɛn3	
艘	sɐø1	
良	liaŋ5	官话音
艱	kɔ1	理论音
艱	tɕiɛn1	官话音（白读）
色	sɛi3	
艳	iɛ5	
艳	iɛn2	官话音
藝	ȵi5	
艾	ŋai5	
節	tɕiɛ3	
芈	mi3	
芋	y2	官话音
芒	maŋ5	官话音
芙	fu5	官话音
芜	u5	官话音
芝	tsɿ1	
芡	tɕʰiɛ5	
芥	kai2	
芪	tɕʰi2	
芫	yɛ2	～荽
芬	fɛn1	
芭	pa1	～蕉
芯	sɛn1	
花	xua1	
芳	faŋ1	
芸	yn2	
芹	kʰɛn2	
芽	ŋɔ2	
蒼	tsʰaŋ1	
苏	sou1	
苑	yɛ5	
苔	tʰai	官话音
苕	tiau2	
苗	miau2	
苛	kʰɔ1	
苞	pau1	
苟	kou3	
若	iɔ5	
苦	kʰu3	辛～
苯	poŋ3	
英	in1	文
苴	tɕʰiaŋ5	歪斜之意
蘋	pɛn2	
茁	tsɔ5	官话音
茂	mou2	
范	fan2	～姓
茄	tɕʰia2	
茅	mau2	
莖	kɛn5	
煢	tɕʰioŋ2	
茗	mɛn2	
茜	tɕʰiɛ5	
繭	tɕiɛ3	
茫	maŋ5	
茵	ɛn1	
茶	tsʰou2	
荀	ɕyn5	
荃	tɕʰyɛ2	
荆	tɕin1	官话音
草	tsʰau3	
薦	tɕiɛ5	
荒	xuaŋ1	
蕎	tɕʰiau2	
荡	taŋ5	
榮	ioŋ2	
葷	kʰuɛn1	
滎	ɕin5	
藥	iɔ5	
荷	xou2	
荻	ti5	
荽	ɕy1	芫～
莅	li3	
莉	li2	官话音
莞	kuaŋ3	东～（地名）
莫	mɔ5	官话音
萊	lai5	官话音
蓮	liɛ2	
蒔	sɿ1	
获	xuɛ5	
莽	maŋ3	
菁	tsʰɛn1	
菅	tɕiɛ1	
菇	ku1	
菌	kʰuɛn3	～（蘑菇）
菌	tɕyn1	官话音
菜	tsʰa5	
菠	pɔ1	～萝
菩	pu2	
菱	lɛn2	
菲	fɛi1	
萄	pu2	
萋	tɕʰi1	
萌	moŋ5	官话音
萍	pɛn2	
萍	pʰin5	官话音
萎	uɛi3	官话音
萏	xan2	官话音
蘿	lou2	
營	yn5	～养
蕭	ɕiau1	
薩	sa2	
萱	ɕyɛ1	
落	lɵ1	～雨
落	lɔ5	～花生（花生）
葆	pau3	
著	tɛ1	相当于“了”
葡	pu2	
董	toŋ3	
葫	xu2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kuɛi2	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	soŋ5	
蒯	kʰuai3	
蒸	tɕin1	
蒹	tɕiɛ1	
蒿	xau1	
蓄	ɕy5	
蓉	ioŋ2	
藍	lɔ2	
蓬	poŋ2	
蔗	tsa5	
蔚	uɛi2	
蔡	tsʰa5	
蔫	iɛ1	
蔬	sou1	
蔸	tɐø1	棵，株
蕉	tɕiau1	
蕊	luɛi3	
蕨	tɕyɛ5	
蘊	yn2	
薄	pɵø5	
薅	xau1	
薇	uɛi1	
薛	ɕyɛ1	
薪	ɕin1	
薯	ɕy3	～片
藏	tsʰaŋ2	
藏	tsaŋ5	
藕	ŋɵø3	
藤	tɛn2	
虎	fu3	
虜	lu3	
虑	ly5	
虔	tɕʰiɛ2	
虛	ɕy1	
虞	y5	
蟲	tsʰoŋ2	
蟣	tɕʰi1	
虹	kaŋ1	
雖	suɛi1	官话音
蝦	xou1	
蝕	sɿ5	官话音
螞	mɔ3	
蚊	moŋ2	
蚊	uɛn2	
蠶	tsʰan2	官音土调
蚣	koŋ1	
蚤	tsau3	
蚯	tɕʰiou1	
蛀	tɕy5	
蛆	tɕʰy1	
蛇	sa2	
蠱	ku3	
蛋	a3	本字不明
蛐	tɕʰy1	
蛘	iaŋ2	
蛙	ua1	
蛛	tɕy1	
蠻	ma2	
螄	sɿ1	
蛹	ioŋ3	
蛾	ŋɔ5	
蜀	ɕy3	
蜂	pʰoŋ1	白
蜂	foŋ1	文，～鸟
蜈	u2	
蜓	tʰɛn2	
蛻	tʰy5	
蜚	fɛi3	
蜜	mi5	
蠟	la5	
蜥	ɕi1	
蜴	i3	
蜻	tsʰɛn1	
蠅	in1	
蟈	kua1	
蝙	piɛ1	
融	ioŋ2	
螺	lou2	
蟀	suai5	
蟋	ɕi1	
蟒	maŋ3	
蟮	ɕiɛn5	
蟹	xai3	
蟾	tsʰɔ2	
蠓	moŋ3	～嘚（苍蝇）
蠓	moŋ2	～虫（昆虫）
蠢	tsʰoŋ3	
血	ɕyɛ3	
衅	ɕin2	官话音
行	ɕin5	～驶
行	xaŋ5	一～
衍	iɛ3	
銜	ɕiɛ2	
街	kai1	
衡	xɛn2	
衢	tɕʰy5	
衣	i1	
補	pu3	
表	piau1	手～
衫	sai1	
襯	tɕʰin5	
衰	suai1	官话音
衷	tsoŋ1	
衾	kʰɛn1	
袁	yɛ2	
襖	ŋau1	
袋	tʰy5	
袍	pau2	
袖	ɕiou5	
袜	ua5	水～（袜子）
袤	mau2	官话音
袪	tɕʰy5	
被	pi5	～窝
襲	ɕi5	官话音
裁	tsʰai5	官话音
裂	liɛ5	
裝	tsuaŋ1	服～
裝	tuɵø1	～饭
襠	taŋ1	
裔	i2	
裕	y2	
裘	tɕʰiou2	
裙	kʰuɛn2	
褲	kʰu5	
裱	piau3	
裳	saŋ1	
裴	pɛi2	
裸	lɔ3	官话音
裹	kɔ3	
褂	kua5	
褐	xɔ2	官话音
褒	pau1	
褓	pau3	
褪	tʰy5	
襄	ɕiaŋ1	
西	ɕi1	
要	iau5	
覃	tɔ2	
覆	fu5	
見	tɕiɛ5	
觀	kuan1	
規	kuɛi1	
覓	mi5	
視	sɿ2	～力
覽	lan3	官话音
覺	tɕyɛ5	官话音
角	kɔ5	
觴	saŋ1	
解	kai3	
觸	tsʰu5	白，感～（感觉）
言	ȵian5	
詈	li5	
譽	y2	官话音
誓	sɿ2	
警	kɛn3	
計	tɕi5	
訂	tɛn5	
認	in5	
譏	tɕi1	
訌	xoŋ2	
討	tʰau3	
讓	ȵiaŋ5	
訕	san2	官话音
訓	ɕyn5	
議	ȵi2	
訊	ɕyn2	官话音
記	tɕi5	
講	kaŋ3	
許	ɕy3	
訛	ɔ	官话音
論	luɛn5	～语
論	luɛn2	谈～
諷	foŋ3	
設	ɕiɛ5	
訪	faŋ3	
訣	tɕyɛ5	
证	tɕin2	
評	pʰin5	官话音
識	sɿ5	
詐	tsa5	
訴	sou5	
診	tɕin3	
詆	ti3	
詞	tsʰɿ5	
詔	tsau2	官话音
譯	i2	
試	sɿ5	
詩	sɿ1	
誠	tɕʰin5	
話	ua5	说
誕	tɔ5	
詭	kuɛi3	
詢	ɕyn5	
該	kai1	
詳	tɕʰiaŋ2	
詡	ɕy3	
誡	kai2	官话音
誣	u1	
語	ȵy3	
誥	kau5	
誘	iou5	
誨	xuɛi3	官话音
誑	kʰuaŋ2	
說	sɔ5	官话音
誦	soŋ2	官话音
請	tsʰɛn3	
諸	tɕy1	
諾	nɔ5	
讀	tou5	
誹	fɛi3	官话音
課	kʰɔ2	官话音
誰	ɕi2	本字存疑
調	tiau2	～一觑
調	tiau5	～动
諒	liaŋ2	官话音
諄	tsuɛn1	官话音
談	tɔ2	白
談	tʰan5	文
誼	ȵi5	
謀	mou5	官话音
諜	tiɛ2	
謊	xuaŋ3	
諧	ɕiɛ5	官话音
謔	nyɛ5	
謂	uɛi5	
諺	iɛn2	官话音
謎	mi5	官话音
謖	su2	官话音
謝	ɕiɛ2	姓
謠	iau5	
謗	paŋ2	
谥	sɿ2	官话音
謙	tɕʰiɛ1	
謹	tɕin3	官话音
譚	tɔ2	
譜	pʰu3	官话音
譴	tɕʰiɛ3	
谷	ku3	
豆	taø5	
豉	sɿ1	
豌	ua1	
豚	tʰuɛn5	官话音
象	ɕiaŋ5	
豪	xau2	
豫	y2	
豹	pau5	
豺	tsʰai5	
貂	tiau1	
貌	mau5	
貝	pɛi5	
貞	tɕin1	
負	fu2	
貢	koŋ2	
財	tsʰai2	
責	tsɛ5	官话音
賢	ɕiɛ2	
敗	pai5	
賬	tsaŋ5	
質	tsɿ5	
販	fan2	～毒
貪	tʰa1	
貧	pɛn2	
貶	piɛ3	
購	kɐø5	
貫	kua5	
貳	a5	
賤	tɕʰiɛ5	
貼	tʰiɛ3	
貴	tɕy5	
貸	tai5	
貿	mou2	官话音
費	fɛi5	
賄	xuɛi3	受～
贓	tsaŋ1	
資	tsɿ1	
賦	fu2	官话音
賭	tou3	
贖	sou5	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰɛi2	官音土调
賴	la5	白
賴	lai2	官话音
賴	lai5	姓
賺	tsʰoŋ1	
賽	sai5	
赝	iɛ6	
赞	tsan5	
贍	san2	官话音
贏	in2	
贏	ɛn2	
贛	kan2	文
赤	tsʰɿ5	
走	tsɐø3	
赳	tɕiou1	
赴	fɛ2	～闹子
趙	tsau5	
趕	kɔ3	
起	ɕi3	～头（起床）
起	tɕʰi3	～子（螺丝刀）
趁	tɛn2	白，找寻
趁	tsʰɛn5	
超	tsʰau1	
越	yɛ5	
趨	tɕʰy1	
趟	tʰaŋ3	
趣	tɕʰy5	
足	tsu5	
跌	tiɛ3	
跑	pʰau3	
跛	pai1	
距	tɕy5	
跟	kɛn1	
跤	kau1	
跨	kʰua5	～栏
跪	kʰuɛi3	
路	lɵ5	
跳	tʰiau5	
踉	niaŋ5	
踊	ioŋ3	
踒	kʰoe3	
踢	tʰai3	
蹤	tsoŋ1	
蹄	ti2	
蹈	tau3	
蹴	tsʰu2	
躁	tsau5	
身	ɕin1	
躬	koŋ1	
軀	tɕʰy1	
躲	tɔ3	官话音
躺	tʰaŋ3	
轠	luɛi1	～来～去
車	tsʰa1	
軋	ŋa2	
軌	kuɛi3	
軒	ɕyɛn1	
轉	tyɛ5	
輪	luɛn2	
軟	nyɛ1	
轟	xoŋ1	
軻	kʰɔ1	
軼	i2	
輕	kʰɛn1	
軾	sɿ2	
載	tsai3	下～
轎	tɕiau5	
較	tɕiau5	比～
較	kɔ5	～好
輔	fu3	
輩	pɛi5	
輝	xuɛi1	
輻	fu5	
輸	ɕy1	
轡	pʰɛi2	
轅	yɛ2	
轄	xa5	
輾	tɕiɛn3	
辛	ɕin2	文
辜	ku1	
辭	tsʰɿ5	官话音
辟	pʰi2	官话音
辣	la5	
辨	piɛ5	
辯	piɛ5	
辮	piɛ1	
辱	y5	
邊	piɛ1	
遼	liau2	
达	ta5	
迁	tɕʰiɛ1	
迂	y1	
迄	tɕʰi3	
迅	ɕyn2	官话音
過	kou5	
邁	mai5	
運	ioŋ5	
運	yn2	
近	tɕʰyɛ1	白
近	tɕin2	文，～视
返	fɔ3	
還	ua2	白，～钱
還	xɔ2	～有
這	tɛi5	
進	tɕin2	～步
遠	yɛ1	
違	uɛi2	
連	liɛ2	
遲	tsʰɿ2	
迢	tiau2	
迥	tɕioŋ3	
迦	tɕia1	
迪	ti2	
迫	pʰɛ5	
迭	tiɛ5	官话音
迷	mi2	
迹	tɕi5	
追	tsuɛi1	
退	tʰy5	
送	soŋ5	
適	sɿ5	
逃	tau2	
逅	xɐø5	
逆	ȵi5	
選	ɕyɛ3	
遜	ɕyn2	官话音
逍	ɕiau1	
透	tʰɐø5	
遞	ti5	
途	tʰu5	官话音
逗	tɐø5	
逗	tou2	～留
通	tʰoŋ1	
逛	kʰua1	
逝	sɿ2	官话音
逞	tɕʰin3	
速	su5	
造	tsʰau5	
逢	foŋ5	官话音
逮	tai3	官话音
逵	kʰuɛi5	
逸	i2	
逼	pi1	
遂	suɛi5	
遇	y5	
遍	piɛ5	
道	tau5	
遺	i5	～产
遺	lai6	～尿
遢	tai1	
遣	tɕʰiɛ3	
遥	iau2	
遨	au5	
遭	tsau1	
遮	tsa1	
遵	tɕyn1	
避	pi5	
邀	iau1	
邋	lai1	
邑	i2	
邓	tɛn2	官话音
邕	ioŋ1	
邙	maŋ5	
鄺	kʰaŋ5	
邢	ɕin2	
邦	paŋ1	
郵	iou2	
邯	xan5	
邰	tai2	
邱	tɕʰiou1	
邵	sau2	
邹	tɕiou1	
鄰	lɛn2	
郁	y2	
郅	tsɿ2	
郊	tɕiau1	
郎	laŋ2	
鄭	tɕin2	
郜	kau2	
郡	tɕyn5	
部	pu2	官话音
部	pu5	
郭	kɔ1	官话音
郴	tɕʰin1	
都	tu1	～市
都	tou1	～是
鄂	ŋɔ2	官话音
鄙	pʰi3	白，～视
鄙	pi3	文
酋	tɕʰiou5	
配	pʰɛi5	
酒	tɕiou3	
醞	yn2	官话音
酬	tɕʰiou5	
醬	tɕiaŋ5	
酷	kʰu5	
酸	sɔ1	
釀	ȵiaŋ5	
釀	ȵiaŋ2	
醇	suɛn5	
醉	tɕy5	
醋	tsʰu5	
醒	sɛn3	
采	tsʰai3	
釋	sɿ5	
里	ti3	
重	tsʰoŋ5	
野	ia3	白
野	iɛ3	文，新～
量	liaŋ2	～一下
量	liaŋ5	测～
金	kɛn1	
鉴	kan2	官话音
鑾	lɔ2	
鎏	liou2	
鑫	sɛn1	
针	tɕin1	
釘	tɛn1	～入赴
釗	tsau1	
釣	tiau5	
鈣	kai5	
鈍	tuɛn2	官话音
鈔	tsʰau1	
钟	tsoŋ1	～家庙
鋼	kaŋ1	
欽	kʰɛn1	
欽	tɕʰin1	～州
鈞	tɕyn1	
鎢	u1	
鉤	kɐø1	
鈕	ȵiou3	
錢	tɕʰiɛ2	
鉢	pa3	～头
鐵	tʰiɛ3	
鈴	lɛn2	
鉛	yɛ2	
鉛	tɕʰiɛ1	
銬	kʰau5	
鐺	taŋ1	
銅	tʰoŋ5	官话音
鋁	ly3	
鎧	kʰai3	
銖	tɕy1	
銘	mɛn2	
铲	tsʰɔ3	
銃	tsʰoŋ5	
銀	ȵi2	
鑄	tɕy5	
鋪	pʰu1	
链	liɛ5	
銷	ɕiau1	
鎖	sɵø3	
鋤	tsʰou2	
鏽	ɕiou5	
鋒	foŋ1	
鋅	sɛn1	
錯	tsʰɔ3	
錨	mau2	
錫	ɕi1	
鑼	lɵø2	
錘	tɕʰy2	
錐	tsuɛi1	官话音
錦	tɕin3	官话音
鍵	tɕiɛn2	官话音
鋸	tɕy5	
錳	moŋ3	官话音
鏘	tɕʰiaŋ1	
鍛	tɔ5	
鎮	tsɛn2	
鏡	kɛn5	
镰	liɛ2	
鑲	ɕiaŋ1	
長	tsʰuɵø2	白，～短
長	tsaŋ3	生～
門	moŋ2	
閃	ɕiɛn3	
閉	pi5	白
閉	pi2	文
問	moŋ5	白
問	uɛn2	文
闖	tsʰuaŋ3	
閏	yn2	
闲	ɕiɛ2	
間	kan1	
悶	mɛn5	
鬧	nau5	
閨	kuɛi1	
聞	uɛn2	
閩	min3	官话音
閥	fa5	
閣	kɛ5	官话音
閱	yɛ5	
閾	y2	
閽	xuɛn1	
闡	tsʰan3	官话音
闌	lɔ2	
闋	tɕʰyɛ5	
闕	tɕʰyɛ5	
隊	tuɛi5	
阡	tɕʰiɛ1	
阪	pan3	官话音
阮	yɛ2	
阱	tsɛn3	
防	faŋ2	
陽	iaŋ2	
陰	ɛi1	
陣	tɕin2	
階	kai1	
阻	tsu3	
阿	a1	～姨
阿	ɔ1	～胶
附	fu2	官话音
際	tɕi2	官话音
陸	liəu5	官话音
隴	loŋ3	
陳	tɕʰin2	
陋	lɐø5	
陌	mɔ5	
降	tɕiaŋ5	
限	xɔ5	
陝	san3	官话音
陛	pi5	
陡	tɐø3	
院	yɛ5	
除	tɕʰy2	
隕	yn3	
險	ɕiɛ3	
險	ɕiɛn3	风～
陪	pɛi2	
陲	tɕʰy5	
陵	lɛn2	
陶	tau2	
陷	ɕiɛ6	白
陷	ɕiɛn2	文
隅	y3	官话音
隆	loŋ5	
隋	suɛi5	～朝
隨	suɛi2	
隱	in3	官话音
隔	kɛ5	
隔	kai3	
隘	ŋai5	
障	tsaŋ5	
隧	suɛi2	官话音
隶	li2	
難	nɔ2	
難	nan2	灾～
雁	ŋan5	
雄	ɕioŋ2	
雅	ia3	官话音
集	tɕʰiɛ5	
雇	ku2	
雌	tsʰɿ2	
雍	ioŋ1	
雛	tsʰu5	
雕	tiau1	
雨	y3	
雪	ɕyɛ3	
雯	uɛn5	
靂	liɛ5	
零	lɛn2	
雷	luɛi2	
雹	pau2	
霧	u5	
需	ɕy1	
霄	ɕiau1	
霆	tɛn2	
震	tsɛn2	
震	tɕin3	
霉	mɛi2	
霍	xɔ2	
霜	suaŋ1	
霹	pʰi1	
霾	mai5	
青	tsʰɛn1	
靚	liaŋ5	
靖	tsɛn2	
靜	tsɛn5	
非	fɛi1	
靠	kʰau5	
面	miɛ5	～条
面	miɛn2	～前
革	kɛ5	～气（生气）
靳	tɕin1	
靴	ɕyɛ1	
靶	pa3	
鞋	xa2	
鞍	ŋan1	
鞭	piɛ1	
韋	uɛi3	
韓	xan5	
韜	tʰau1	
韭	tɕiou3	
音	in1	官话音
韵	yn2	
韶	sau5	
頁	iɛ5	
頂	tɛn3	
頃	kʰɛn1	
項	xɛn2	根，一～
順	ɕyn5	
须	ɕy1	
顧	ku2	
頓	tuɛn5	
頒	pan1	官话音
頌	soŋ2	官话音
預	y5	
顱	lu2	官话音
領	lɛn3	
頗	pʰɔ1	
頸	kɛn3	
潁	in3	
頤	i5	
頻	pʰin5	官话音
穎	in3	
題	ti2	
顎	ŋɔ2	
顏	ŋan5	
顛	tiɛ1	
顫	tsʰan5	
顴	tɕʰyɛ2	
風	foŋ1	
飄	pʰiau1	
飛	fɛi1	
食	sɛi5	
餐	tsʰɔ1	
餮	tʰiɛ3	
饕	tʰau1	
饥	tɕi1	
飯	fɔ5	
飲	in3	
飾	sɿ2	官话音
飽	pau3	
餌	ɛ3	
饒	iau2	
餉	sɵø3	
餃	tɕiau3	官话音
餅	pɛn3	
餓	ŋou5	
餒	nuɛi3	
餡	ɕiɛ5	
館	kua3	
饋	kʰuɛi2	官话音
餿	sɐø1	
饃	mɔ5	
餾	liou2	
饅	mɔ5	
首	ɕiou3	
香	ɕiaŋ1	
馨	ɕin1	
馬	mɔ3	白
馬	ma3	文
馭	y2	
馴	ɕyn2	
驅	tɕʰy1	
駁	pɔ5	官话音
驢	ly5	
駛	sɿ3	
駟	sɿ2	
駙	fu5	
駒	tɕy1	
駐	tɕy2	
駝	tɔ5	
駕	kɔ5	理论音
駕	tɕia2	官话音（白读）
驛	i5	
驍	ɕiau1	
罵	mɔ5	
驕	tɕiau1	
駭	xai2	官话音
驪	li5	
驗	ȵiɛ5	
駿	tɕyn2	官话音
騎	tɕʰi2	
騙	pʰiɛ5	
騷	sau1	
騖	u2	官话音
騫	tɕʰiɛ1	
骨	kua3	～头
髓	suɛi5	
高	kau1	
髦	mau2	
鬃	tsoŋ1	
鬯	tsʰaŋ5	
鬼	kuɛi3	官话音
魁	kʰuɛi5	官话音
魂	xuɛn2	
魄	pʰɔ5	
魅	mɛi2	
魘	iɛ1	
魔	mɔ5	
魚	oŋ2	
魷	iou2	
魯	lu3	姓～
鮑	pau2	老派
鮮	ɕyɛ1	
鰱	liɛ2	
鰓	sai1	
鰭	tɕʰi2	
鱉	piɛ1	
鱗	lɛn2	
鳥	tiau3	白，性交
鳥	niau3	文，～仔
鳩	tɕiou1	
雞	kɛi1	
鳴	mɛn2	
鷗	ŋou1	
鴉	ia1	官话音
鴇	pau3	
鴨	a3	
鴦	yɛ1	
鴛	yɛ1	
鴻	xoŋ2	
鵑	tɕyɛ1	
鵝	ŋou2	
鵡	u3	
鵬	poŋ2	
鵬	pʰoŋ5	官话音
鸚	in1	
鷹	in1	
鹿	lu5	
麒	tɕʰi5	
麓	lu5	
麟	lɛn2	
麥	ma5	
麥	mɛ5	～克风
麻	mɔ2	
麾	xuɛi1	
黃	uaŋ2	白
黃	uaŋ5	文
黏	ȵia1	
黑	xai3	
黔	tɕʰiɛ2	
默	mɛ5	
黛	tai5	
黥	tɕʰioŋ2	
鼎	tɛn3	
鼓	ku3	
鼠	ɕy3	
鼻	pi5	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	lɛn3	
龍	loŋ2	
龔	koŋ1	
龜	kuɛi1	
