#漢字	音標	解釋
□	tɕyɛ1	圪~~:小而软且呈锥形的物体
瞳	tʰuŋ2	
瞻	tʂaŋ1	
瞿	tɕʰy2	
矢	sɿ5	
矣	i3	
知	tʂʅ1	
矩	tɕy5	
矯	tɕieu5	
短	tuaŋ3	
矮	ai3	
石	ʂəʔ3	
石	ʂəʔ3	青~。连读变调阳入
礬	faŋ2	
礦	kʰɔ5	
礦	kuŋ3=	~子
碼	ma3	
砌	tɕʰi5	
砍	kʰaŋ3	
砒	pʰi1	~信:砒霜
研	iaŋ2=	
研	niaŋ2-	硌
磚	tʂuaŋ1	
硯	iaŋ5	
砟	tsa5	剁,把肉~碎
砣	tʰuɯ2	车~:车轮子
破	pʰɯ5	
礎	tʂʰu3	
硅	kuei1	
碩	ʂuɤʔ3/ʂuɤ3	
硝	ɕieu1	
硫	liau2	
硬	niŋ5	
確	tɕʰyɛʔ3/tɕʰyɛ3	
硼	pʰeŋ2	
碌	liau5	
礙	ai5	
碎	suei5	
碑	pei1	
碓	tuei5	
碗	vaŋ3	
磣	tsʰeŋ1	
碟	tiɛʔ3/tiɛ3	
碡	tʂau3	
碧	piəʔ3	
碰	pʰeŋ5	
鹼	tɕiaŋ3	
碾	niaŋ3	
磁	tsʰɿ2	
磕	kʰɤʔ3/kʰɤ3	
磨	mɯ2	
磨	mɯ5	
磬	tɕʰiŋ5	
磴	teŋ5	圪~~:台阶
礓	tɕiɔ1	
示	sɿ5	
禮	li2	
社	ʂʅ5	
祀	sɿ5	
祁	tɕʰi2	
祆	eu3=	
祈	tɕʰi3	
祐	iau5	
祖	tsu3	
神	ʂeŋ2	
祠	sɿ2	
祠	tsʰɿ2=	
祠	sɿ2-	陈烈女~
祥	ɕiɔ2	
票	pʰieu5	
祭	tɕi5	
禱	teu3	
禍	xuɯ5	
稟	piŋ3	
禁	tɕiŋ3	
禁	tɕiŋ5	
祿	luəʔ3	
禪	ʂaŋ5	
禪	tʂʰaŋ2=	
禪	ʂaŋ2-	住
福	fəʔ3	
福	fuəʔ3	
禹	y3	
离	li2	
离	li5	牙~了:牙齿松动了
禽	tɕʰiŋ2	
禾	xuɯ2	
秀	ɕiau5	
私	sɿ1	
秃	tʰuəʔ3	
稈	kaŋ3	
秉	piŋ3	
秋	tɕʰiau1	
種	tʂuŋ3	
種	tʂuŋ5	
科	kʰuɯ1	
秒	mieu3	
秕	pi3	~葵花籽;~子:没有胚和胚乳的种子或不饱满的种子
秘	miəʔ3	
租	tsu1	
秤	tʂʰeŋ5	
秦	tɕʰiŋ2=	
秦	tsʰeŋ2-	~琼
秧	iɔ1	
秧	iɔ2	~歌
秩	tʂəʔ3	
秫	ʂuəʔ3	
積	tɕiəʔ3	
稱	tʂʰeŋ1	
稱	tʂʰeŋ5	
秸	tɕiai1	~子
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʂʰeŋ2	
稍	sau1	
税	ʂuei5	
稗	pai5	
稙	tʂəʔ3	
稚	tʂʅ5	
稠	tʂʰau2	
穩	veŋ3	
稻	teu5=	
稻	tʰeu3-	~畦:地名
稼	tɕia3	
稽	tɕi1	
稿	keu3	
穗	suei5=	
穗	suei2-	下垂物
穰	ʐɔ3	~柴
穴	ɕyəʔ3	
究	tɕiau1	
窮	tɕʰyŋ2	
空	kʰuŋ1	~虚
空	kʰuŋ5	~缺
穿	tʂʰuaŋ1	
竊	tɕʰiɛʔ3/tɕʰiɛ3	
窄	tsɤʔ3/tsɤ3	
窊	va5	
竅	tɕʰieu5	
窯	ieu2	
窖	tɕiau5	
窘	tɕyŋ3	
竄	tsʰuaŋ5	
窩	vɯ1	
窟	kʰuəʔ3	
窠	kʰuɯ1	
窺	kʰuei1	
窨	iŋ5-	
窨	iŋ1=	
立	liəʔ3	
豎	ʂu5	
站	tsaŋ5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂɔ1	
童	tʰuŋ2	
竭	tɕiɛʔ3/tɕiɛ3	
端	tuaŋ1	
竹	tʂuəʔ3	
竿	kaŋ3	
笊	tsau5	
笋	suŋ3	
笑	ɕieu5	
筆	piəʔ3	
笙	seŋ1	
笛	tiəʔ3	
笠	liəʔ3	
符	fu2	
笨	peŋ5	
第	ti5	
箋	tɕiaŋ1	
籠	luŋ2	
等	teŋ3	
筏	fɑʔ3/fɑ3	
筐	kʰɔ1	
筒	tʰuŋ3	
答	tɑʔ3/tɑ3	
策	tsʰɤʔ3/tsʰɤ3	
篩	sai1	
箏	tseŋ1	
筵	iaŋ2	
筷	kʰuai5	
籌	tʂʰau2	
签	tɕʰiaŋ1	
簡	tɕiaŋ3	
箅	pi5	
箍	ku1	
算	suaŋ5	
管	kuaŋ3	
籮	lɯ2	
簫	ɕieu1	
箭	tɕiaŋ5	
箱	ɕiɔ1	
箸	tʂu5	
篆	tʂuaŋ5	
篇	pʰiaŋ1	
簍	lau3	
篙	keu3	
篡	tsʰuaŋ5	
篦	pi5	~梳:篦子
籃	laŋ2	
籬	li2	
篷	pʰeŋ2	
簧	xɔ2	
簪	tsaŋ1	
簸	pɯ3	~给下:簸一簸
簸	pɯ5	~箕
簿	pu5	
籍	tɕiəʔ3	
米	mi3	
類	luei5	
籽	tsɿ1	
粉	feŋ3	
粒	liəʔ3	
粗	tsʰu1	
粘	tʂaŋ1	
糶	tʰieu5	
粟	su5	
粤	yɛʔ3/yɛ3	
粥	tʂau1	
糞	feŋ5	
糧	liɔ2	
粱	liɔ2	
粹	tsʰuei5	
糉	tɕyŋ5	
精	tɕi1-	~明
糊	xu2	
糊	xu1	~上:沾上
糊	xu5	~脑子:骂人脑子糊涂
糕	keu1	
糖	tʰɔ2	
糙	tsʰeu5	
糜	mi2	
糟	tseu1	
糠	kʰɔ1	
糯	nuɯ5	
系	tɕi5	~安全带
系	ɕi5	联~
素	su5	
索	suɤʔ3/suɤ3	
緊	tɕiŋ3	
紫	tsɿ3	
累	luei3	
累	luei5	
絮	ɕy5	
繁	faŋ2	
纂	tsʰuaŋ5	
糾	tɕiau1	
紅	xuŋ2	
紂	tʂau5	
約	iɛʔ3/iɛ3	
約	ieu1=	~摸:估计
級	tɕiəʔ3	
紀	tɕi5	
緯	vei3	
純	tʂʰuŋ2	
紗	sa1	
綱	kɔ1	
納	nɑʔ3/nɑ3	
縱	tsuŋ5	
紛	feŋ1	
紙	tsɿ3	
紋	veŋ2	
紡	fɔ3	
紐	niau3	
線	ɕiaŋ5	
練	liaŋ5	
組	tsu3	
細	ɕi5	
織	tʂəʔ3	
終	tʂuŋ1	
絆	paŋ5	
絀	tʂʰuəʔ3	线~住了
紹	ʂeu1	
綁	pɔ3	
絨	ʐuŋ2	
結	tɕiɛʔ3/tɕiɛ3	
繞	ʐeu3	
繞	ʐeu5	
繪	xuei5	
給	tɕiəʔ3	~予
絡	lɤʔ3/lɤ3	
絶	tɕyɛʔ3/tɕyɛ3	
絞	tɕieu3	
統	tʰuŋ3	
絹	tɕyaŋ5	
繡	ɕiau5	
綏	suei1	~德:陕西地名
繼	tɕi5	
績	tɕiəʔ3	
緒	ɕy5	
續	ɕyəʔ3	
續	ɕy5	
緋	fei3	
繩	ʂeŋ2	
維	vei2	
綿	miaŋ2	
繃	peŋ1=	
綢	tʂʰau2	
綜	tsuŋ1	
綻	tsaŋ5	
綠	luəʔ3	
緬	miaŋ3	
纜	laŋ3	
緝	tɕʰiəʔ3	
緞	tuaŋ5	
緩	xuaŋ3	
縷	ly3	
編	piaŋ1	
緣	iaŋ2	
縛	fəʔ3	
縫	feŋ2	
縫	feŋ5	
纏	tʂʰaŋ2	
縊	iəʔ3	
縊	i5	
纓	iŋ1	
繒	tseŋ5	
繮	tɕiɔ1	
繳	tɕieu3	
缸	kɔ1	
缺	tɕʰyɛʔ3/tɕʰyɛ3	
罐	kuaŋ5	
网	vɔ3	
罕	xaŋ2	稀~
羅	lɯ2	
罰	fɑʔ3/fɑ3	
罷	pa5	
罩	tsau5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu3	
羊	iɔ2	
美	mei3	
羔	keu1	
羝	tiŋ1	圪~羊
羞	ɕiau1	
羡	ɕiaŋ5	
群	tɕʰyŋ2	
羯	tɕiɛʔ3/tɕiɛ3	
羹	keŋ1	
羽	y3	
翅	tsʰɿ5	
翹	tʂʰeu5-	
翹	tɕʰieu5=	
翠	tsʰuei5	
翡	fei3	
翰	xaŋ5	
翻	faŋ1	
翼	i5	
耀	ieu5	
老	leu3	
考	kʰeu3	
者	tʂɤ3	
而	eʐ2	
耍	ʂua3	
耐	lieu1	
耐	nai5	
耕	keŋ1=	
耗	xeu5	~子:老鼠
耗	xeu2	消~
耙	pʰa2	
耬	lau2	
耳	eʐ3	
耻	tʂʰʅ3	
耽	taŋ1	
耿	keŋ3	
聶	niɛʔ3/niɛ3	
聊	lieu2	
聾	luŋ2	
職	tʂəʔ3	
聒	kuɤʔ3/kuɤ3	
聯	liaŋ2	
聯	lyaŋ2-	对~
聘	pʰiŋ5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	ɕyəʔ3	
肄	i5	
肆	sɿ5	
肉	ʐau5	
肋	lɤʔ3/lɤ3	
肋	luəʔ3	~肢:肋骨
肌	tɕi1	
肘	tʂau3	
肚	tu5	
肚	tu3	胃
肝	kaŋ1	
腸	tʂʰɔ2	
股	ku3	
肢	tsɿ1	
膚	fu2	
肥	fei2	
肩	tɕiaŋ1	
肪	fɔ2	
肯	kʰeŋ3	
育	yəʔ3	
肴	ieu2	
肺	fei5	
腎	ʂeŋ5	
腫	tʂuŋ3	
脹	tʂɔ5	
胃	vei5	
膽	taŋ3	
背	pei1	~书包
背	pai3-	脊~后:背后
背	pei5=	脊~
胎	tʰai1	
胖	pʰɔ5	
胚	pʰei1	
胛	tɕiɑʔ3/tɕiɑ3	
勝	ʂeŋ5	
胞	pʰau2	
胞	pau3	
胡	xu2	
朧	luŋ2	
胮	pʰɔ1	
胯	kʰua3	
胳	kəʔ3	
膠	tɕiau1	
胸	ɕyŋ1	
能	lieu1	
能	neŋ2	
脂	tsɿ1	
脆	tsʰuei5	
脉	miɛʔ3/miɛ3	
脊	tɕiəʔ3=	
脊	tsəʔ3	~背
脏	tsɔ5	
脏	tsɔ1	日~
臍	tɕʰi2	
腦	neu3	
膿	neŋ2	
脖	pɤʔ3/pɤ3	
脚	tɕiɛʔ3/tɕiɛ3	
脯	pʰu2	~子:胸口
脯	fu3	果~
脱	tʰuɤʔ3/tʰuɤ3	
臉	liaŋ3	
脾	pʰi1	
腆	tʰiaŋ3	
臘	lɑʔ3/lɑ3	
腋	iai5	
腌	iaŋ1	
腐	fu3	
腑	fu3	
腔	tɕʰiɔ1	
腕	vaŋ5	
腥	ɕiŋ1	
腮	sai1	
腰	ieu1	
腱	tɕiaŋ5	
腹	fəʔ3	
膩	ni5	
騰	tʰeŋ1	蒸汽加热食物
腿	tʰuei3	
膀	pʰɔ2	
膏	keu3=	
膏	ku1?	
膘	pieu1	
膜	mɤʔ3/mɤ3	
膝	ɕiəʔ3	
膨	pʰeŋ2	
膳	ʂaŋ5	
膻	ʂaŋ1	
臊	seu1	
臣	tʂʰeŋ2	
自	tsɿ5	
臭	tʂʰau5	
至	tsɿ5	
致	tʂʅ5	
臻	tseŋ1	
臼	tɕiau5	
舀	ieu3	
舁	y2	二人抬
舅	tɕiau5	
舌	ʂɤʔ3/ʂɤ3	
舍	ʂʅ3	
舍	ʂʅ5	
舒	ʂu1	
舔	tʰiaŋ3	
舜	suŋ5	
舞	vu3	
舟	tʂau1	
航	xɔ2	
般	paŋ1	
艦	tɕiaŋ5	
舵	tuɯ5	
船	tʂʰuaŋ2	
艇	tʰiŋ3	
艮	keŋ5	
良	liɔ2	
艱	tɕiaŋ1	
色	sɤʔ3/sɤ3	
豔	iaŋ5	
藝	i5	
艾	ai5	
節	tɕiɛʔ3/tɕiɛ3	
芋	y2	
芍	ʂeu2	
芒	mɔ2	
芒	vɔ2	麦~
芙	fu2	
芝	tsɿ1	
芥	tɕiai5	
蘆	lau2	
蘆	lu2	葫~
芬	feŋ1	
芭	pa1	
芮	ʐuei5	
花	xua1	
芳	fɔ1	
芹	tɕʰiŋ2	
葦	vei3	
莧	ɕiaŋ5=	
莧	xaŋ5-	红~子:一种野草
蒼	tsʰɔ1	
苏	su1	
苔	tʰai1	
苗	mieu2	
苜	miəʔ3	
苟	kau3	
若	ʐɤʔ3/ʐɤ3	
苦	kʰu3	
英	iŋ1	
苶	niɛ2	~人:呆子的统称
蘋	pʰiŋ2	
苻	fu2	
茂	mau5	
范	faŋ5	
茄	tɕʰiɛ2	
茇	pɤʔ3/pɤ3	
塋	iŋ2	
繭	tɕiaŋ3	
茬	tsʰa3	
茴	xuei2	
茶	tsʰa3	
茸	ʐuŋ2	
茹	ʐu2	
荀	ɕyŋ2	
草	tsʰeu3	
薦	tɕiaŋ5	
荒	xɔ1	
荔	li5	
薘	tʰɑʔ3/tʰɑ3	莙~
蕎	tɕʰieu2	
薺	tɕi5	
蕩	tɔ5	
榮	yŋ2=	
榮	y2-	~家沟:地名
葷	xuŋ1	
滎	iŋ2	
蔭	iŋ5	
藥	iɛʔ3/iɛ3	
荷	xɯ2	
莙	tɕyŋ1	
莠	iau5	
莫	mɤʔ3/mɤ3	
蓮	liaŋ2	
瑩	iŋ2	
鶯	iŋ1=	
鶯	i1-	~村:地名
莽	mɔ3	
菊	tɕyəʔ3	
菌	tɕyŋ1	
菜	tsʰai5	
菠	pɯ1	
菩	pʰu2	
萄	tʰeu2	
萌	meŋ2	
萍	pʰiŋ2	
萎	vei3	
蘿	lɯ2	
螢	iŋ2	
營	iŋ2	
營	i2-	务~:抚养、经营
縈	iŋ1	~记:担心,挂念
蕭	ɕieu1	
薩	sɑʔ3/sɑ3	
落	lɤʔ3/lɤ3	
落	la5	
著	tʂu5	
葚	ɕiŋ5-	
葚	ʂeŋ5=	
葛	kɤʔ3/kɤ3	
董	tuŋ3	
葫	xu2	
葬	tsɔ5	
葱	tsʰuŋ1	
葵	kʰuei1=	
葵	tɕʰi2-	大蜀~:蜀葵花;小蜀~:锦葵花
蔣	tɕiɔ3	
蒙	meŋ2	
蒙	meŋ3	
蒜	suaŋ5	
蒲	pʰu2	
蒸	tʂeŋ1	
蒿	xeu1	
蓄	ɕyəʔ3	
蓉	yŋ2	
蓑	suɯ1	
蓖	pi5	
藍	laŋ2	
蓬	pʰeŋ2	
蓿	ɕyəʔ3	苜~
蔑	miɛʔ3/miɛ3	
蔓	maŋ5	
蔔	pei5	萝~
蔗	tʂɤ2	
蔡	tsʰai5	
蔫	iaŋ1	
蔬	ʂu1	
藹	ai3	
蔽	pi5	
蕉	tɕieu1	
蕊	ʐuei3	
蕨	tɕyɛʔ3/tɕyɛ3	
薄	pɤʔ3/pɤ3	
薄	pɯ5	~荷
薄	pɯ2	厚~
薛	ɕiɛʔ3/ɕiɛ3	
薛	ɕyɛʔ3/ɕyɛ3=	
薪	ɕiŋ1	
薯	ʂu3	
薰	ɕyŋ1	
藉	tɕiəʔ3	
藋	tieu5	
藏	tsʰɔ2	~迷搂搂:捉迷藏
藐	mieu3	
藕	au3	
藤	tʰeŋ2	
藩	faŋ1	
藿	xuɤʔ3/xuɤ3	
蘸	tsaŋ5	
虎	xu3	
虜	lau3	
虐	niɛʔ3/niɛ3	
虔	tɕʰiaŋ2	
虚	ɕy1	
虞	y2	
蟲	tʂʰuŋ2	
虱	sɤʔ3/sɤ3	
虹	xuŋ2	
虻	meŋ2	
雖	suei1	
蝦	ɕia2	
蝕	ʂəʔ3	
蟻	i3	
蚊	veŋ2	
蚌	pɔ5	
蚍	piɛ3	蚂~~:蚂蚁
蠶	tsʰaŋ2	
蚣	kuŋ1	
蚤	tseu3	
蛀	tʂu5	
蛆	tɕʰy1	
蛇	ʂʅ2	
蛇	tʂaŋ5?	生肖“蛇”
蛋	taŋ5	
蛙	va1	
蛛	tʂu1	
蛤	xəʔ3	
蠻	maŋ2	
蟄	tʂɤʔ3/tʂɤ3	
蛾	ɯ2	
蜂	feŋ2	
蜈	vu2	
蜉	fu2	
蜓	tʰiŋ2	
蜕	tʰuei5	
蜘	tʂʅ1	
蜜	miəʔ3	
蠟	lɑʔ3/lɑ3	
蜻	tɕʰiŋ1	
蠅	iŋ2	
蟬	tʂʰaŋ2	
蠍	ɕiɛʔ3/ɕiɛ3	
蝗	xɔ2	
蝙	piaŋ1	
蝠	fəʔ3	
蝴	xu2	
蝶	tiɛʔ3/tiɛ3	
螻	luəʔ3	~蛄
螂	lɔ2	
螃	pʰɔ2	
融	yŋ2	
蟎	maŋ3	
螫	tʂɤʔ3/tʂɤ3	
螳	tʰɔ2	
螺	lɯ2	
蟆	ma2	蛤~:青蛙
蟋	ɕiəʔ3	
蟑	tʂɔ1	
蟒	mɔ3	
蟹	ɕiai5	
蟾	tʂʰaŋ2	
蠕	ʐu3	~动
蠕	ʐu5	圪~圪~:虫子爬的样子
蠢	tʂʰuŋ3	
血	ɕyɛʔ3/ɕyɛ3	
衅	ɕiŋ5	
行	xɔ2	
行	ɕiŋ2	
銜	xaŋ2-	
銜	ɕiaŋ2=	
街	tɕiai1	
衙	ia2	
衡	xeŋ2	
衣	i1	~裳
衣	i2	生~:生锈
補	pu1	
表	pieu3	
衫	saŋ1	
襯	tsʰeŋ5	
衰	ʂuai1	
衲	nɑʔ3/nɑ3	
衷	tʂuŋ1	
袁	yaŋ2	
襖	vu3	~袄
袈	tɕia1	~裟
袋	tai5	
袍	pʰau2	
袖	ɕiau5	
袜	vɑʔ3/vɑ3	
被	pi5	
襲	ɕiəʔ3	
袱	fəʔ3	
裁	tsʰai2	
裂	liɛʔ3/liɛ3	
裙	tɕʰyŋ2	
褲	kʰu5	
裳	ʂɔ1	
裴	pʰei2	
裸	luɯ3	
裹	kuɯ3	
褂	kua5	
褒	pau3	
褚	tʂʰu3	
褥	ʐuəʔ3	
褶	tʂɤʔ3/tʂɤ3	
襻	pʰaŋ5	
西	ɕi1	
要	ieu1	
要	ieu5	
覆	fəʔ3	
覆	fuəʔ3	
見	tɕiaŋ5	
觀	kuaŋ1	
觀	kuaŋ5	
規	kuei1	
覓	miɛʔ3/miɛ3-	
覓	miəʔ3	
視	sɿ5	
覽	laŋ3	
覺	tɕyɑʔ3/tɕyɑ3	不~:没有发觉
覷	tɕʰy5=	
覷	tsʰu2-	~人:看望人
覷	tɕʰyəʔ3	近~:近视
角	tɕyɑʔ3/tɕyɑ3	~子:同饺子
解	tɕiai3	讲~
言	iaŋ2	
譽	y5	
謄	tʰeŋ2	
誓	ʂʅ5	
警	tɕiŋ3	
譬	pʰi1	
計	tɕi5	
訂	tiŋ5	
訃	fu5	
認	ʐeŋ5	
譏	tɕi1	
討	tʰeu3	
讓	ʐɔ5	
訖	tɕʰiəʔ3	
訓	ɕyŋ5	
議	i5	
訊	ɕiŋ5-	
訊	ɕyŋ5=	
記	tɕi5	
講	tɕiɔ3	
諱	xuei5	
許	ɕy3	
訛	ɯ2	
論	luŋ2	
論	lyŋ5	
論	luŋ5=	
訟	suŋ5	
諷	feŋ3	
設	ʂɤʔ3/ʂɤ3	
訪	fɔ3	
訣	tɕyɛʔ3/tɕyɛ3	
證	tʂeŋ5	
評	pʰiŋ2	
識	ʂəʔ3	
詐	tsa5	
訴	su5	
診	tʂeŋ3	
詞	tsʰɿ2	
詔	tʂeu5	
譯	iəʔ3	
試	sɿ5	
詩	sɿ1	
誠	tʂʰeŋ2	
誅	tʂu1	
話	xua5	
誕	taŋ5	
詭	kuei3	
該	kai1	
詳	ɕiɔ2	
誣	vu5	
語	y3	
誤	vu5	
誘	iau5	
説	ʂuɤʔ3/ʂuɤ3	
説	ʂuei5	~客
誦	suŋ5	
請	tɕʰiŋ3	
諸	tʂu1	
諾	nuɤʔ3/nuɤ3	
讀	tuəʔ3	
課	kʰuɯ5	
誰	ʂuei2	
調	tʰieu2	
調	tieu5	
諒	liɔ5	
誼	i2	
謀	mu2	思~
諜	tiɛʔ3/tiɛ3	
謊	xɔ1	
諫	tɕiaŋ5	
諧	ɕiai2	
謔	ɕyɛ5	
謂	vei5	
讒	tsʰaŋ2	
諺	iaŋ5	
謎	mi2=	
謝	ɕiɛ5	
謡	ieu2	
謗	pɔ5	
謙	tɕʰiaŋ1	
謹	tɕiŋ3	
謬	mieu5	
譜	pʰu3	
谷	kuəʔ3	
豆	tau5	
豇	tɕiɔ1	
豉	tsʰɿ3	
豌	vaŋ1	
豚	tʰuŋ2	
象	ɕiɔ5	
豪	xeu2	
豹	pau5	
豺	tsʰai2	
貂	tieu1	
貌	mau5	
贏	iŋ2	
貝	pei5	
貞	tʂeŋ1	
負	fu5	
貢	kuŋ5	
財	tsʰai2	
責	tsɤʔ3/tsɤ3	
賢	ɕiaŋ2	
敗	pai5=	
敗	pʰai5-	衰~
賬	tʂɔ5	
貨	xuɯ5	
質	tʂəʔ3	
販	faŋ5	
貧	pʰiŋ2	
貶	piaŋ3	
購	kau5	
貫	kuaŋ5	
貳	eʐ5	
賤	tɕiaŋ5	
貼	tʰiɛʔ3/tʰiɛ3	
貴	kuei5	
貸	tai5	
貿	mau5	
費	fei5	
賀	xɯ5	
賊	tsuei2-	
賈	tɕia3	
賄	xuei5	
賃	liŋ5	
賂	lau5	
贓	tsɔ1	
資	tsɿ1	
賒	ʂʅ1	
賦	fu5	
賭	tu3	
贖	ʂuəʔ3	
賞	ʂɔ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tʂuei5	
賺	tʂuaŋ5	
賽	sai5	
贊	tsaŋ5	
贈	tseŋ5	
赤	tʂʰəʔ3	
赦	ʂʅ5	
赫	xɤʔ3/xɤ3	
走	tsau1	
走	tsau3	
赴	fu5	
趙	tʂeu5	
趕	kaŋ3	
起	tɕʰi3	
趁	tʂʰeŋ5	
趄	tɕʰiɛ5	代字,用双手用力卡住脖子或身体其他部位令其窒息或疼痛的动作
超	tʂʰeu1	
越	yɛʔ3/yɛ3	
趨	tɕʰy3	
趟	tʰɔ5	
趣	tɕʰy5	
足	tɕyəʔ3	
趾	tsɿ3	
躍	ieu5	
跌	tiɛʔ3/tiɛ3	
跑	pʰau3	
跗	fu1	
跛	pɯ3	
距	tɕy5	
跟	keŋ1	
跨	kʰua5	
跪	kʰuei5	
路	lau5	
跳	tʰieu5	
踐	tɕiaŋ5	
跥	tuɯ5	
踏	tʰɑʔ3/tʰɑ3	
踢	tʰiəʔ3	
蹤	tsuŋ1	
踮	tiaŋ5	~脚:跺脚
踱	tu5	
踹	tʂʰuai5	
蹄	tʰi2	
蹅	tsa3	~凳子:站板凳上以够着高处
躡	niɛʔ3/niɛ3	
蹦	peŋ5=	
蹬	teŋ1	
蹭	tsʰeŋ5	
蹲	tuŋ1	
蹴	tɕiau1	圪~:蹲
蹶	tɕyɛʔ3/tɕyɛ3	
躁	tseu5	
躖	tuaŋ5	
身	ʂeŋ1	
躬	kuŋ1	
躱	tuɯ3	
躺	tʰɔ3	
車	tʂʰʅ1	
車	tɕy1	~马炮
軌	kuei3	
軒	ɕyaŋ1	
轉	tʂuaŋ3	
轉	tʂuaŋ5	
輪	luŋ2	
輪	lyŋ2	
軟	ʐuaŋ3	
轟	xuŋ5	
軲	kuəʔ3	~辘子
轤	luəʔ3	
軸	tʂau2	
輕	tɕʰiŋ1	
載	tsai3	
載	tsai5	
轎	tɕieu5	
較	tɕieu5	
輔	fu3	
輦	niaŋ3	
輩	pei5	
輝	xuei1	
輻	fəʔ3	
輻	fuəʔ3	~丝
輯	tɕiəʔ3	
輸	ʂu1	
轡	pʰei5	
轅	yaŋ2	
轄	ɕiɑʔ3/ɕiɑ3	
轆	luəʔ3	
轍	tʂɤʔ3/tʂɤ3	
辛	ɕiŋ1	
辭	tsʰɿ2=	
辭	sɿ2-	~了工作
辟	pʰiəʔ3	
辣	lɑʔ3/lɑ3	
辨	piaŋ5	
辯	piaŋ5	
辮	piaŋ5	
辰	tʂʰeŋ2=	
辰	ʂeŋ2	时~
辱	ʐuəʔ3	
邊	piaŋ1	
遼	lieu2	
達	tɑʔ3/tɑ3	
辿	tʂʰaŋ5	漫~坡:缓坡
遷	tɕʰiaŋ1	
迂	y2	
迅	ɕiŋ5-	
迅	ɕyŋ5=	
過	kuɯ1	~于
過	kuɯ5	~河
邁	mai5	
迎	iŋ2	
運	yŋ5	
近	tɕiŋ5	
還	xaŋ2	
還	xuaŋ2	
這	tʂəʔ3	~俩天
進	tɕiŋ5	
遠	yaŋ3	
違	vei3	
連	liaŋ2	
遲	tʂʰʅ2	
迠	tʂʰʅ5	代字。行貌。走上~~地:形容步行去某地的不方便
迥	tɕyŋ3	
迫	pʰiɛʔ3/pʰiɛ3	
述	ʂuəʔ3	
迷	mi5	~糊,脑~
迷	mi2=	~信
迷	mei1-	藏~搂搂:捉迷藏
迸	peŋ5=	
迸	piɛ5-	~开一绽:裂开一条缝
迹	tɕiəʔ3	
追	tʂuei1	
退	tʰuei5	
送	suŋ5	
適	ʂəʔ3	
逃	tʰeu2	
逆	niɛʔ3/niɛ3	
選	ɕyaŋ3	
遜	ɕyŋ5	
透	tʰau5	
遞	ti5	
途	tʰu2	
通	tʰuŋ1	
逛	kɔ5	
逝	ʂʅ5	
逞	tʂʰeŋ3	
速	suəʔ3	
造	tsʰeu5-	
造	tseu5=	
逢	feŋ2	
逮	tai3	
逵	kʰuei1	
逸	iəʔ3	
邏	lɯ2	巡~
逼	piəʔ3	
逾	y2	
遁	tuŋ5	
遂	suei5	
遇	y5	
遍	piaŋ5	
道	teu5	
遺	i2	
遢	tʰɑʔ3/tʰɑ3	
遣	tɕʰiaŋ3	
遭	tseu1	
遮	tʂʅ1=	
遮	tɕia1-	林~峪:地名
遵	tsuŋ1	
避	pʰi3	躲~;~雨
邀	ieu1	
邋	lɑʔ3/lɑ3	
邑	iəʔ3	
鄧	teŋ5	
邦	pɔ1	
邪	ɕiɛ2	
鄔	vu5	
郵	iau2	
邳	pʰi1	
邵	ʂeu5	
鄒	tsau1	
郁	yəʔ3	
郊	tɕieu1	
郎	lɔ2	
鄭	tʂeŋ5	
郝	xəʔ3	
郡	tɕyŋ5	
部	pu5	
郭	kuɤʔ3/kuɤ3	
都	tu1	
鄙	pi3	~低:奚落、看不起他人或形容人身份低微
酉	iau3	
酌	tʂuɤʔ3/tʂuɤ3	
配	pʰei5	
酒	tɕiau3	
酣	xaŋ1	
酥	su1	
酪	lɤʔ3/lɤ3	
酬	tʂʰau2	
醬	tɕiɔ5	
酷	kʰuəʔ3	残~
酸	suaŋ1	
釅	iaŋ5	
醇	tʂʰuŋ2	
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醮	tɕieu5	
采	tsʰai3	
釋	ʂəʔ3	
里	li2	
重	tʂʰuŋ2	
重	tʂuŋ5	
野	iɛ3	
量	liɔ5	
量	liɔ2	~给下
釜	fu3	
鑑	tɕiaŋ5	
鍊	liaŋ5	
鏨	tsaŋ5	
鏊	vu5-	~子:打月饼等用的铁烤盘
鐾	pei5	
針	tʂeŋ1	
釘	tiŋ1	
釘	tiŋ5	
釣	tieu5	
釵	tsʰai1	
鈣	kai5	
鈍	tuŋ5	
鈔	tsʰau1	
钟	tʂuŋ1	
鈉	nɑʔ3/nɑ3	
鋼	kɔ1	
鑰	iɛʔ3/iɛ3	
欽	tɕʰiŋ1	
鈞	tɕyŋ1	
鉤	kau1	
錢	tɕʰiaŋ2	
鉗	tɕʰiaŋ2	
鉢	pɤʔ3/pɤ3	
鑽	tsuaŋ1	
鑽	tsuaŋ5	
鉀	tɕiɑʔ3/tɕiɑ3	
鐵	tʰiɛʔ3/tʰiɛ3	
鉑	pɤʔ3/pɤ3	
鉛	tɕʰiaŋ1	
鉚	mau3	
鈹	pʰi2	
