#漢字	音標	解釋
□	yɛ1	手足痉挛
診	tʂən3	
詞	tsʰɿ1	
詔	tʂɔ5	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰəŋ1	
誅	tʂu1	
話	xua5	
誕	tæ5	
詭	kuei3	
該	kai1	
詳	ɕiaŋ1	
語	y3	
誤	u5	
誘	iou5	
說	ʂuo1	
誦	suəŋ5	
請	tɕʰiəŋ3	
諸	tʂu2	
諾	nuo5	
讀	tu1	
課	kʰɤ5	
誰	ʂuei1	
調	tʰiɔ1	
調	tʰiɔ5	
調	tʰiɔ5	~动
諒	liaŋ5	
談	tʰæ2	
誼	i5	
謀	mou1	
諜	tiɛ1	
謊	xuaŋ3	
諫	tɕiæ5	
諧	ɕiɛ1	
謂	uei5	
讒	tʂʰæ1	
諺	iæ1	
謎	mi5	
謝	ɕiɛ5	
謡	iɔ1	
謗	paŋ5	
謹	tɕiən3	
謬	miou5	
譚	tʰæ1	
譜	pʰu3	
谷	ku3	
豁	xuo5	
豇	tɕiaŋ1	
豉	tʂʰi5	
豌	uæ1	
豚	tʰuən1	
象	ɕiaŋ5	
豪	xɔ1	
豫	y5	
豹	pɔ5	
豺	tʂʰai1	
貂	tiɔ1	
貌	mɔ5	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	kuəŋ5	
財	tsʰai2	
責	tsɤ1	
賢	ɕiæ1	
敗	pai5	
貨	xuo5	
質	tʂi5	
販	fæ5	
貪	tʰæ1	
貧	pʰiən1	
購	kou5	
貫	kuæ5	
賤	tɕiæ5	
貼	tʰiɛ1	
貴	kuei5	
貸	tai5	
貿	mɔ5	
費	fuei5	
賀	xɤ5	
賊	tsei1	
賈	tɕia3	
賄	xuei5	
賃	liən5	
賂	lu5	
資	tsɿ1	
賒	ʂɤ2	
賦	fu5	
賭	tu3	
贖	ʂu5	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tʂuei5	招女婿
賺	tsuæ5	
賽	sai5	
贊	tsæ5	
贈	tsəŋ5	
贏	iəŋ1	
赤	tʂʰi5	
赦	ʂɤ5	
走	tsɔ3	
赴	fu5	
趙	tʂɔ2	
起	y1	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰɔ1	
越	yɛ5	
趨	tɕʰy1	
趣	tɕʰy5	
足	tsu1	
趼	tɕiæ3	
趾	tʂʅ3	
躍	yɛ5	
跌	tiɛ1	
跑	pʰɔ2	
跗	fu1	~面
跛	pɤ3	~足
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kuei3	
路	lu5	
跳	tʰiɔ5	
踐	tɕiæ2	
踒	uo1	~了脚
踢	tʰi1	
踱	tuo1	
蹄	tʰi2	
躡	niɛ5	
蹭	tsʰəŋ5	
蹲	tuən1	
躁	tsɔ5	
身	ʂən2	
躬	kuəŋ1	
躱	tuo3	
躺	tʰaŋ3	
車	tɕy1	~马炮
車	tʂʰɤ1	马~
軋	tʂa1	
軌	kuei3	
轉	tʂuæ5	
軛	ɤ5	
輪	luən1	
軟	ʐuæ1	
轟	xuəŋ1	
軸	tʂou3	
輕	tɕʰiəŋ1	
載	tsai3	
載	tsai5	
載	tsai5	满~
轎	tɕiɔ5	
較	tɕiɔ5	比~
輔	fu2	
輛	liaŋ5	
輩	pei5	
輝	xuei1	
輸	ʂu2	~赢
輸	ʂu1	运~
轅	yæ1	
轄	ɕia2	
轍	tʂɤ1	
辛	ɕiən1	
辭	tsʰɿ1	
辣	la5	
辨	piæ5	
辯	piæ5	
辮	piæ5	
辰	tʂʰən1	
辱	ʐu3	
邊	piæ1	
達	ta1	
遷	tɕʰiæ1	
迄	tɕʰi5	
迅	ɕyn5	
過	kuo1	
過	kuo5	过错
邁	mai5	
運	yn5	
近	tɕiən5	
還	xuæ1	
進	tɕiən5	
遠	yæ3	
違	uei3	
連	liæ1	
遲	tʂʰʅ1	
迥	tɕyŋ3	
迫	pʰei1	
述	ʂu5	
迷	mi1	
迸	pəŋ5	
追	tʂuei1	
退	tʰuei5	
送	suəŋ5	
適	ʂi5	
逃	tʰɔ2	
逆	ni5	
選	ɕyæ3	
遜	ɕyn5	
透	tʰou5	
逐	tʂu1	
遞	ti5	
途	tʰu1	
通	tʰuəŋ1	
逛	kuaŋ5	
逝	ʂi5	
逞	tʂʰəŋ3	
速	su5	
造	tsɔ5	
逢	fəŋ2	
逸	i5	
逾	y1	
遁	tuən5	
遂	suei5	
遇	y5	
遍	piæ5	
道	tɔ5	
遺	uei5	给予
遣	tɕʰiæ3	
遭	tsɔ1	
遮	tʂɤ1	
遵	tsuən1	
邀	iɔ2	
邢	ɕiəŋ1	
那	na5	
邦	paŋ1	
邪	ɕiɛ1	
郵	iou1	
鄰	liən1	
郁	y5	
郊	tɕiɔ1	
郎	laŋ1	
鄭	tʂəŋ5	
郝	xɤ1	
郡	tɕyn5	
部	pu2	
郭	kuo1	
都	tu1	~城
都	tou1	~是
鄂	ɤ5	
鄙	pi3	
酉	iou5	
酌	tʂuo1	
配	pʰei5	
酒	tɕiou3	
酣	xæ1	
酥	su1	
酬	tʂʰou2	
醬	tɕiaŋ5	
酵	tɕiɔ5	
酷	kʰu5	
酸	suæ1	
釅	iæ5	
釀	liaŋ1	
醇	tʂʰuən1	
醉	tsuei5	
醋	tsu5	
醒	ɕiəŋ3	
釋	ʂi5	
里	li3	
重	tʂʰuəŋ1	
重	tʂʰuəŋ5	
野	iɛ3	
量	liaŋ1	
量	liaŋ5	
金	tɕiən1	
釜	fu2	
鑑	tɕiæ1	
錛	pən5	
鍊	liæ5	
鏊	ŋɔ5	烙饼用具
鏨	tsæ5	
鐾	pi5	
針	tʂən1	
釘	tiəŋ5	
釣	tiɔ5	
鈍	tuən5	
钟	tʂuəŋ1	
鋼	kaŋ1	
鋼	kaŋ5	刀钝了，钢钢
鑰	yɛ5	
欽	tɕʰiən1	
鈞	tɕyn1	
鉤	kou1	
錢	tɕʰiæ2	
鉗	tɕʰiæ1	
鉢	po1	
鈸	po2	
鑽	tsuæ1	
鈴	liəŋ1	
鉛	tɕʰiæ1	
鉋	pɔ5	
鐸	tuo1	
鐃	nɔ1	
鐺	tʂʰəŋ5	
銅	tʰuəŋ1	
鍘	tʂʰæ1	
鋌	tʰiəŋ3	
鏵	xua1	
銘	miəŋ1	
鉸	tɕiɔ3	
鏟	tʂæ3	
銃	tʂʰuəŋ5	
鑄	tʂu5	
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	ɕiɔ1	
鋤	tʂʰu1	
鍋	kuo1	
鏽	ɕiou5	
銼	tsʰuo5	
鋒	fəŋ1	
鐧	tɕiæ5	
銳	ʐuei5	
鋦	tɕy2	
錯	tsʰuo5	
錨	mɔ1	
錫	ɕi1	
錮	ku5	~露锅
鑼	luo1	
錘	tʂʰuei1	
錦	tɕiən3	
鍵	tɕiæ5	
鋸	tɕy5	~子
錙	tʂʅ1	
鍬	tɕʰiɔ1	
鍛	tuæ5	
鍍	tu5	
鎮	tʂən5	
鑷	niɛ5	
鎔	ʐuəŋ1	
鏡	tɕiəŋ5	
鏇	ɕyæ5	
鐙	təŋ5	
鐲	tʂuo1	
鐮	liæ1	
鑞	la5	
鑲	ɕiaŋ1	
長	tʂʰaŋ1	
門	mən1	
閂	ʂuæ1	
閃	ʂæ3	
閉	pi5	
問	uən5	
闖	tʂʰuaŋ3	
闲	ɕiæ1	
間	tɕiæ1	
間	tɕiæ5	~断
悶	mən1	
閘	tʂa1	
鬧	nɔ5	
閨	kuei1	
聞	uei1	
聞	uən1	
閩	miən1	
閣	kɤ5	
閲	yɛ1	
閹	iæ1	
閻	iæ1	
闊	kʰuo5	
阜	fu5	
隊	tuei5	
阮	ʐuæ3	
防	faŋ2	
陽	iaŋ1	
陰	iən1	
陣	tʂən5	
階	tɕiɛ1	
阻	tsu3	
阻	tsou5	
阿	a1	
阿	ɤ1	~胶
附	fu2	
附	fu5	
陸	lu5	
陳	tʂʰən1	
陘	ɕiəŋ1	
陋	lou5	
陋	lɔ5	
陌	mɤ5	
降	tɕiaŋ5	
陝	ʂæ3	
陛	pi5	
院	yæ5	
除	tʂʰu1	
險	ɕiæ3	
陪	pʰei2	
陵	liəŋ1	
陶	tʰɔ2	
陷	ɕiæ5	
隆	luəŋ1	
隨	ʂuei1	
隱	iən3	
隔	kɤ1	
隘	ŋai5	
際	tɕi1	
障	tʂaŋ5	
隧	suei5	
隶	li5	
難	næ1	
雀	tɕʰyɛ5	
雁	iæ5	
雄	ɕyŋ1	
雅	ia3	
集	tɕi1	
雇	ku5	
雉	tʂʅ5	
雌	tsʰɿ1	
雍	yŋ1	
雛	tʂʰu1	
雕	tiɔ1	
雨	y3	
雪	ɕyɛ3	
零	liəŋ1	
雷	luei1	
雹	pa5	
需	ɕy1	
霄	ɕiɔ1	
霍	xuo5	
霜	ʂuaŋ1	
霞	ɕia1	
霸	pa5	
青	tɕʰiəŋ1	
靜	tɕiəŋ5	
非	fuei1	
靠	kʰɔ5	
面	tʰiæ5	
革	kɤ1	
靴	ɕyɛ2	
靿	iɔ5	
鞋	ɕiɛ1	
鞍	æ1	
鞘	tɕʰiɔ5	刀~
鞦	tɕʰiou1	牛~
鞭	piæ1	
韛	ɕiæ1	风箱
韌	ʐən5	
韓	xæ1	
韭	tɕiou3	
音	iən1	
韻	yn5	
韶	ʂɔ5	
頂	tiəŋ3	
頃	tɕʰiəŋ3	
項	ɕiaŋ5	
须	ɕy1	
頑	uæ1	
顧	ku5	
頓	tuən5	
頒	pæ1	
頌	suəŋ5	
預	y5	
頗	pʰɤ1	
頸	tɕiəŋ5	
頻	pʰiən1	
顆	kʰɤ3	
題	tʰi2	
顔	iæ1	
額	ɤ1	
顛	tiæ1	
顫	tʂæ5	
顴	tɕʰyæ1	
颼	sou1	
風	fəŋ1	
飄	pʰiɔ1	
飛	fuei1	
食	ʂi1	
食	ʂɔ5	
餐	tsʰæ1	
饥	tɕi1	
飭	tʂʰi1	
飯	fæ5	
飲	iən3	
飲	iən5	~马
餞	tɕiæ5	
飾	ʂi5	
飽	pɔ3	
飼	sɿ5	
飴	i1	高粱~
餌	ɚ3	
饒	ʐɔ1	
餉	ɕiaŋ3	
餅	piəŋ3	
餓	ŋɤ5	
餜	kuo3	~子
餡	ɕiæ5	
館	kuæ3	
餿	sou1	
饞	tʂʰæ1	
饃	mɤ1	
餾	liou5	
首	ʂou3	
香	ɕiaŋ1	
馨	ɕiən1	
騇	ʂɤ5	母的牛马
馬	ma3	
馱	tuo5	~子
馱	tʰuo1	拿，~起来
馳	tʂʰʅ1	
驅	tɕʰy1	
駁	pɤ1	
驢	ly1	
駛	ʂʅ3	
駒	tɕʰy1	
駐	tʂu5	
駝	tʰuo2	
駕	tɕia5	
駡	ma5	
驕	tɕiɔ1	
駱	luo5	
駭	xai5	
驗	iæ5	
騎	tɕʰi2	
騙	pʰiæ5	
騷	sɔ1	
騾	luo1	~子
驟	tʂou5	
骨	ku3	
髓	ʂuei1	
高	kɔ1	
髻	tɕi5	
髽	tʂua1	~髻
鬃	tsuəŋ1	
鬏	tɕiou1	
鬢	piən5	
鬼	kuei3	
魁	kʰuei1	
魂	xuən1	
魄	pʰɤ5	
魘	iæ3	
魔	mɤ1	
魚	y1	
魯	lu2	
鮑	pɔ5	姓
鮮	ɕiæ1	
鮮	ɕiæ3	少
鯉	li3	
鯽	tɕi1	
鯰	niæ1	
鯨	tɕiəŋ1	
鰓	sai1	
鰭	tɕʰi2	
鰥	kuæ1	
鰾	piɔ2	
鱉	piɛ1	
鱗	liən1	
鳩	tɕiou1	
鳥	tiɔ3	
雞	ɕi1	
鳴	miəŋ1	
鸕	lu1	~鹚
鴨	ia1	
鴿	kɤ1	
鸞	luæ1	
鴻	xuəŋ1	
鵝	ŋɤ1	
鵲	tɕʰyɛ5	
鶴	xɤ5	
鸚	iəŋ1	
鷺	lu5	
鷹	iəŋ1	
鹿	lu5	
麝	ʂɤ5	
麥	mei5	
麴	tɕʰy1	
麩	fu1	麦~子
麻	ma1	
麾	xuei1	
黃	xuaŋ1	
黍	ʂu3	
黎	li1	
黏	niæ1	
黑	xei1	
默	mɤ5	
黢	tɕʰy2	
鼎	tiəŋ3	
鼓	ku3	
鼠	ʂu3	
鼾	xæ1	
齊	tɕʰi2	
齒	tʂʰʅ3	
龍	luəŋ1	
龕	kʰæ1	
龜	kuei1	
