#漢字	音標	解釋#('cmn_jh_hx_aq_tc', '桐城話', '桐城', '#8B0000', None, None, '來源：《桐城縣誌》，“空島。”整理修改', '31 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,335 3 2 上 ꜂,,54 5 3 去 ꜄,,5 7 4 入 ꜆', None, None)
裙	ʈʂʰʯən2	
褲	kʰu5	
裨	pi5	
裳	ʂã1	
裸	no3	
裹	ko3	
褂	kua5	
褒	pɔ1	
褚	ʈʂʰʯ2	
褪	tʰei5	
襄	ɕiã1	
襟	tɕiən1	
西	ɕi1	
要	iɔ1	～求
要	iɔ5	
覆	fəʔ7	
見	tɕiɛ̃5	
觀	kõ1	
規	kuei1	
覓	miəʔ7	
視	ʂʅ5	
覽	nã3	
角	koʔ7	
解	kɛ3	～手
解	tɕiɛ3	文
解	ɕie5	姓氏
觸	ʈʂʯəʔ7	
言	iɛ̃2	
詹	ʈʂɛ̃1	
譽	ʯ5	
謄	tʰən2	
誓	ʂʅ5	
警	tɕiən3	
譬	pʰei5	
計	tɕi5	
訂	tiən5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐã5	
訖	tɕʰiəʔ7	
訓	ʂʯən5	
議	i5	
訊	ɕiən5	
記	tɕi5	
諱	xuei5	
謳	ŋəu1	
訝	ia5	
訛	ŋo2	
論	nən2	～语
論	nən5	议～
訟	sən5	
諷	fən3	
設	ʂeʔ7	
訪	fã3	
訣	ʈʂʯeʔ7	
证	ʈʂən5	
評	pʰiən3	
識	ʂəʔ7	
詐	ʈʂa5	
訴	səu5	
診	ʈʂən3	
詞	tsʰɿ2	
詔	ʈʂɔ5	
譯	iəʔ7	
試	ʂʅ5	
詩	ʂʅ1	
詼	xuei1	
誅	ʈʂʯ1	
話	xua5	
誕	tã5	
詭	kuei3	
詣	i5	
該	kɛ1	
詳	tɕʰiã2	
詫	ʈʂʰa5	
誣	u1	
語	ʯ3	
誤	u5	
說	ɕuoʔ7	
誦	sən5	
請	tɕʰiən3	
諸	ʈʂʯ1	
諾	noʔ7	
讀	təʔ7	
課	kʰo5	
誰	ʂʯei2	
調	tʰiɔ2	～调
調	tiɔ5	
諒	niã5	
諄	ʈʂʯən1	
談	tʰã2	
誼	i2	
諜	tieʔ7	
謊	xuã3	
諫	tɕiɛ̃5	
謁	ieʔ7	
謂	uei5	
讒	ʈʂʰɛ̃2	
諺	niɛ̃5	
謎	mi2	
謝	ɕie5	
謠	iɔ2	
謗	pã5	
謹	tɕiən3	
謬	miɔ5	
譚	tʰã2	
譜	pʰu3	
谷	kuəʔ7	
豁	xuoʔ7	
豆	təu5	
豉	tɕʰi2	
豌	ŋõ1	
豚	tʰən2	
象	ɕiã5	
豪	xɔ2	
豫	ʯ5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
負	fu5	
貢	kuən5	
財	tsʰɛ2	
責	tseʔ7	
賢	ɕiɛ̃2	
敗	pɛ5	
貨	xo5	
質	ʈʂəʔ7	
販	fã5	
貪	tʰõ1	
貧	pʰiən2	
貶	piɛ̃3	
購	kəu5	
貫	kõ5	
貳	ɔ5	
賤	tɕiɛ̃5	
貼	tʰieʔ7	
貴	kuei5	
貸	tɛ5	
貿	mo5	
費	fei5	
賀	xo5	
賊	tseʔ7	
賈	ku3	
賈	tɕia3	
賄	xuei5	
賃	niən5	
贓	tsã1	
資	tsɿ1	
賒	ʈʂʰe1	
賦	fu5	
賭	təu3	
贖	ʂʯəʔ7	
賞	ʂã3	
賜	tsʰɿ5	
賠	pʰei2	
賴	nɛ5	
贅	ʈʂʯei5	
賺	ʈʂʯɛ̃5	
賽	sɛ5	
赞	tsã5	
贈	tsən5	
贍	ʂɛ̃5	
贛	kã5	
赤	ʈʂʰʅ5	
赤	ʈʂʰəʔ7	
赦	ʈʂʰe5	
赫	xoʔ7	
赴	fu5	
趙	ʈʂɔ5	
趕	kã3	
起	tɕʰi3	
趁	ʈʂʰən5	
超	ʈʂʰɔ1	
越	ʯeʔ7	
趨	ʈʂʰʯ1	
趟	tʰã5	
趣	ʈʂʰʯ5	
足	tsəʔ7	
趾	ʈʂʅ3	
躍	ioʔ7	
跋	paʔ7	
跌	tieʔ7	
跑	pʰɔ3	
跛	po3	
距	ʈʂʯ5	
跟	kən1	
跨	kʰa2	白
跨	kʰua5	文
跪	kuei5	
跳	tʰiɔ5	
踐	tɕiɛ̃5	
踏	tʰaʔ7	
踢	tʰiəʔ7	
踹	ʈʂʰʯɛ5	
蹄	tʰi2	
躁	tsɔ5	
躬	kuən1	
躲	to3	
躺	tʰã3	
車	ʈʂʯ1	
軋	ŋaʔ7	
軌	kuei3	
轉	ʈʂʯɛ̃3	～手
轉	ʈʂʯɛ̃5	～动
軛	ŋoʔ7	
輪	nən2	
軟	ʯɛ̃3	
轟	xuən1	
軻	kʰo1	
輕	tɕʰiən1	
軾	ʂʅ5	
載	tsɛ3	
載	tsɛ5	～载
轎	tɕiɔ5	
較	tɕiɔ5	
輒	ʈʂeʔ7	
輔	fu3	
輛	niã3	
輦	niɛ̃3	
輩	pei5	
輝	xuei1	
輯	tɕiəʔ7	
輸	ʂʯ1	
轡	pʰei5	
轄	ɕiaʔ7	
辛	ɕiən1	
辜	ku1	
辭	tsʰɿ2	
辟	piəʔ7	
辣	naʔ7	
辨	piɛ̃5	
辯	piɛ̃5	
辮	piɛ̃5	
辰	ʈʂʰən2	
辱	ʯəʔ7	
邊	piɛ̃1	
遼	niɔ2	
达	taʔ7	
迂	ʯ1	
迄	tɕʰiəʔ7	
迅	ɕiən5	
過	ko1	时间～了
過	ko5	
邁	mɛ5	
迎	iən2	
運	ʯən5	
近	tɕiən5	
還	xɛ2	
還	xuã2	～钱
進	tɕiən5	
遠	ʯɛ̃3	
違	uei2	
連	niɛ̃2	
遲	ʈʂʰʅ2	
迥	ʈʂʯən3	
迫	pʰeʔ7	
迭	tieʔ7	
述	ʂʯəʔ7	
迷	mi2	
迷	mei2	
迸	pən5	
迹	tɕiəʔ7	
追	ʈʂʯei1	
退	tʰei5	
送	sən5	
適	ʂʅ5	
逆	niəʔ7	
選	ɕiɛ̃3	
遜	ʂʯən5	
透	tʰəu5	
逐	ʈʂʯəʔ7	
遞	ti5	
途	tʰəu2	
逗	təu5	
通	tʰən1	
逛	kuã5	
速	səʔ7	
造	tsɔ5	
逢	fən2	
逵	kʰuei2	
逸	iəʔ7	
逼	piəʔ7	
逾	ʯ2	
遁	tən5	
遇	ʯ5	
遍	piɛ̃5	
遐	ɕia2	
道	tɔ5	
遭	tsɔ1	
遮	ʈʂe1	
遵	tsən1	
邀	iɔ1	
邋	naʔ7	
邑	i5	
邓	tən5	
邦	pã1	
邪	ɕie2	
郵	iəu2	
邯	xã2	
邵	ʂɔ5	
鄰	niən2	
郁	ʯ5	
郊	tɕiɔ1	
郎	nã2	
鄭	ʈʂən5	
郝	xɔ3	
郡	ʈʂʯən5	
部	pu5	
郭	kuoʔ7	
都	təu1	
鄂	ŋoʔ7	
鄙	pi3	
酉	iəu3	
配	pʰei5	
酒	tɕiəu3	
酥	səu1	
酪	noʔ7	
醬	tɕiã5	
酷	kʰuəʔ7	
酸	sõ1	
釀	niã5	
醇	ʈʂʰʯən2	
醉	tsei5	
醋	tsʰəu5	
醒	ɕiən3	
采	tsʰɛ3	
釉	iəu5	
釋	ʂəʔ7	
里	ni3	
重	ʈʂʰʯən2	～新
重	ʈʂʯən5	～量
野	ie3	
量	niã2	～衣
量	niã5	
金	tɕiən1	
鉴	tɕiɛ̃5	
针	ʈʂən1	
釘	tiən1	名词
釘	tiən5	动词
釣	tiɔ5	
釵	tsʰɛ1	
鈍	tən5	
鈔	ʈʂʰɔ1	
钟	ʈʂʯən1	
鋼	kã1	
鑰	ioʔ7	
欽	tɕʰiən1	
鈞	ʈʂʯən1	
鉤	kəu1	
鉗	tɕʰiɛ̃2	
鉢	poʔ7	
鑽	tsõ1	动词
鑽	tsõ5	
鐵	tʰieʔ7	
鉑	peʔ7	
鈴	niən2	
鉛	tɕʰiɛ̃1	
鐸	toʔ7	
鐃	nɔ2	
銅	tʰən2	
鍘	tsaʔ7	
銘	miən2	
鉸	tɕiɔ3	
铲	ʈʂʰɛ̃3	
銀	iən2	
鑄	ʈʂʯ5	
鋪	pʰu1	动词
鋪	pʰu5	名词
銷	ɕiɔ1	
鎖	so3	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	fən1	
銳	ʯei5	
錯	tsʰo5	
錫	ɕiəʔ7	
鑼	no2	
錘	ʈʂʰʯei2	
錐	ʈʂʯei1	
錦	tɕiən3	
錠	tiən5	
鋸	ʈʂʯ5	
鍬	tɕʰiɔ1	
鍛	tõ5	
鎮	ʈʂən5	
鏡	tɕiən5	
鐲	ʈʂoʔ7	
镰	niɛ̃2	
鑲	ɕiã1	
長	ʈʂã3	
門	mən2	
閂	ʂʯɛ̃1	
閃	ʂɛ̃3	
閉	pi5	
問	uən5	
闖	ʈʂʰʯã3	
閏	ʯən5	
闲	ɕiɛ̃2	
間	kã1	
悶	mən5	
閘	tsaʔ7	
鬧	nɔ5	
閨	kuei1	
聞	uən2	
閩	miən2	
閣	koʔ7	
鬮	tɕiəu1	
閱	ʯeʔ7	
閹	iɛ̃1	
閻	iɛ̃2	
闊	kʰuoʔ7	
阜	fu5	
阮	ʯɛ̃3	
防	fã2	
陽	iã2	
陰	iən1	
陣	ʈʂən5	
階	kɛ1	白
階	tɕiɛ1	文
階	tɕiɛ5	文
附	fu5	
陸	nəʔ7	
隴	nən3	
陳	ʈʂʰən2	
陌	meʔ7	
降	ɕiã2	投～
降	tɕiã5	下～
限	ɕiɛ̃5	
陝	ʂɛ̃3	
陛	pi5	
陡	təu3	
院	ʯɛ̃5	
除	ʈʂʰʯ2	
隕	ʯən3	
險	ɕiɛ̃3	
陪	pʰei2	
陵	niən2	
陶	tʰɔ2	
陷	ɕiɛ̃5	
隆	nən2	
隋	sei2	
隨	sei2	
隱	iən3	
隔	keʔ7	
隘	ŋɛ5	
隙	ɕiəʔ7	
隶	ni5	
難	nã2	困～
難	nã5	有～
雀	tɕʰioʔ7	
雄	ʂʯən2	
雅	ia3	
集	tɕiəʔ7	
雇	ku5	
雌	tsʰɿ2	
雍	ʯən1	
雛	ʈʂʰʯ2	
雕	tiɔ1	
雨	ʯ3	
雪	ɕie5	
零	niən2	
雷	nei2	
雹	pɔ5	
霧	u5	
需	ʂʯ1	
霄	ɕiɔ1	
震	ʈʂən5	
霉	mei2	
霍	xoʔ7	
霎	saʔ7	
霜	ʂʯã1	
霞	ɕia2	
靄	ŋɛ3	
霸	pa5	
霹	pʰi5	
青	tɕʰiən1	
靜	tɕiən5	
非	fei1	
靡	mi2	
面	miɛ̃5	
革	keʔ7	
靴	ʂʯe1	
鞋	xɛ2	
鞍	ŋã1	
鞘	tɕʰiɔ5	
鞠	ʈʂʯ1	
鞭	piɛ̃1	
韋	uei2	
韓	xã2	
韭	tɕiəu3	
音	iən1	
韵	ʯən5	
韶	ʂɔ2	
頂	tiən3	
頃	tɕʰiən1	
項	xã5	
順	ʂʯən5	
须	ʂʯ1	
頑	uã2	
顧	ku5	
頓	tən5	
頒	pã1	
頌	sən5	
預	ʯ5	
領	niən3	
頗	pʰo1	
頸	tɕiən3	
頻	pʰiən2	
穎	iən3	
顆	kʰo1	
題	tʰi2	
額	ŋo1	
顛	tiɛ̃1	
顫	ʈʂɛ̃5	
風	fən1	
颼	səu1	
飄	pʰiɔ1	
飛	fei1	
食	ʂəʔ7	
餐	tsʰã1	
餐	ʈʂʰã1	
饥	tɕi1	
飩	tən5	
飯	fã5	
飲	iən3	
飾	ʂʅ5	
飾	ʂəʔ7	
飽	pɔ3	
飼	tsʰɿ2	
餌	ɔ3	
饒	ʐɔ2	
餃	tɕiɔ3	
餅	piən3	
餓	ŋo5	
餒	nei3	
餛	xuən2	
館	kõ3	
餿	səu1	
饞	ʈʂʰɛ̃2	
餾	tʰiəu5	
饅	mõ2	
首	ʂəu1	
香	ɕiã1	
馨	ɕiən1	
馬	ma3	
馱	tʰo2	
驅	ʈʂʰʯ1	
駁	poʔ7	
駛	sɿ3	
駒	ʈʂʯ1	
駐	ʈʂʯ5	
駝	tʰo2	
駕	tɕia5	
罵	ma5	
驕	tɕiɔ1	
駱	noʔ7	
駭	xɛ5	
駢	pʰiɛ̃2	
驗	niɛ̃5	
騎	tɕʰi2	
騙	pʰiɛ̃5	
騷	sɔ1	
騸	ʂɛ̃5	
騾	no2	
骨	kuəʔ7	
鬃	tsən1	
鬼	kuei3	
魁	kʰuei1	
魂	xuən2	
魄	pʰeʔ7	
魏	uei5	
魔	mo2	
魚	ʯ2	
鮑	pɔ5	
鮮	ɕiɛ̃1	
鮮	ɕiɛ̃3	
鯉	ni3	
鯽	tɕiəʔ7	
鯰	niɛ̃2	
鯨	tɕiən1	
鰭	tɕʰi2	
鱉	pieʔ7	
鱖	kuei5	
鱔	ʂɛ̃5	
鱗	niən2	
鳩	tɕiəu1	
雞	tɕi1	
鳴	miən2	
鴉	ia1	
鴨	ŋaʔ7	
鴕	tʰo2	
鷥	sɿ1	
鴿	koʔ7	
鴻	xuən2	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰioʔ7	
鶴	xoʔ7	
鸚	iən1	
鷹	iən1	
鹿	nəʔ7	
麥	meʔ7	
麻	ma2	
麾	xuei1	
黃	xuã2	
黍	ʂʯ3	
黎	ni2	
黑	xəʔ7	
默	meʔ7	
鼎	tiən3	
鼓	ku3	
鼠	ʈʂʰʯ3	
鼻	piəʔ7	
鼾	xã1	
齊	tɕʰi2	
齒	ʈʂʰʅ3	
齜	tsɿ1	
龍	nən2	
龕	kʰã1	
龜	kuei1	
