#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
寅	zeⁱŋʔ7	
密	miʔ7	
寇	kʰəu5	
富	fu5	
寐	məi3	
寒	haŋʔ7	
寓	zyʔ7	
寢	tɕeⁱŋ3	
寞	mɔʔ7	
察	tsʰaʔ7	
寡	kua3	
寨	tsai5	
寸	tsʰəŋ5	
對	təi5	
寺	sɿ5	
尋	tɕʰeⁱŋʔ7	
導	tau3	
壽	səu5	
封	foŋ1	
將	tɕiaŋ1	～来
將	tɕiaŋ5	大～
尊	tsəŋ1	
小	ɕiau3	
少	sau3	多～
少	sau5	～年
尔	ɤ3	
尖	tɕiən1	
尘	tsʰeⁱŋʔ7	
尚	saŋ5	
尝	tsʰaŋʔ7	
尤	zəuʔ7	
堯	zauʔ7	
尬	kai5	
就	tɕiəu5	
尷	kaŋ1	
尸	ɕi1	
尹	zeⁱŋʔ7	
尺	tɕʰiʔ7	
尼	niʔ7	
尿	səi1-	
尿	niau5=	
局	kiʔ7	
屁	pʰi5	
層	tsʰəŋʔ7	
居	tɕy1	
屈	tɕʰyʔ7	
屉	tɕʰi5	
屆	kai5	
屋	vuʔ7	
屎	ɕi3	
屏	pʰeⁱŋʔ7	
屐	ki1	
展	tɕiən3	
屬	suʔ7	
屠	tuʔ7	
屢	ləi3	
履	li5	
屯	tʰəŋʔ7	
山	saŋ1	
歲	səi5	
豈	kʰiʔ7	
岐	tɕʰiʔ7	
岑	tsʰəŋʔ7	
岔	tsʰa1	
崗	kaŋ1	
島	tau3	
岩	ŋaŋʔ7-	
岩	ziənʔ7=	
岭	leⁱŋ3	
岱	tai5	
岳	zɔʔ7	
岸	ŋaŋ5	
峇	pa1	
峽	ɕiaʔ7	
峨	ŋɔʔ7	
峯	foŋ1	
峻	tsəŋ5	
