#漢字	音標	解釋
㘗	tsʰi1	說悄悄話
矯	tɕiɔ3	
石	ʂua5	(白)
石	ʂʅ7	(文)
砌	tsʰi5	
砍	kʰã3	
砑	ŋɛ6	
砑	ŋã6	
研	ȵĩ1	
砧	tin1	
破	pʰo5	
砸	tsa7	
硃	tʂy1	
硝	siɔ1	
硫	lio2	
硬	ŋɛn6	
硯	ȵĩ6	
碎	sɛ5	
碑	pɛ1	
碓	tɛ5	
碗	ŋ̍3	
碟	tʰiɛ5	(白)
碟	tʰiɛ7	(文)
碧	pi7	
碰	pʰɛn5	
確	tʂʰo7	(文)
確	kʰo7	(白)
碼	mua3	
碾	ȵĩ3	
磅	paŋ5	
磕	kʰo7	
磚	tɕyĩ1	
磨	mõ2	～刀
磨	mõ6	～子
磴	tʰĩ3	
磷	lin2	
礎	tsʰau3	
礙	ŋɛ3	
礦	kʰaŋ5	
示	ʂʅ7	
社	ʂɛ5	～會
社	ʂua6	(白)～節
祀	sɿ5	
祁	tɕi2	
祈	tɕi2	
祖	tsau3	
祝	tʂau7	
神	ʂɛn2	
祠	tsɿ2	
票	pʰiɔ5	
祭	tsi5	
祿	lau7	
禀	pin3	
禁	tɕin1	(白)
禁	tɕin5	(文)
禍	xo6	
福	xu7	
禦	y5	
禪	ɕyĩ2	
禮	li3	
禱	tɔ3	
禹	y3	
禽	tɕin2	
禾	xo2	(文)
禾	o2	(白)
禿	tʰau7	
秀	sio5	
私	sɿ1	
秉	pin3	
秋	tsʰio1	
科	kʰo1	
秒	miɔ3	
秘	pi5	
租	tsau1	
秦	tsin2	
秧	iaŋ1	
秩	tʂʰʅ7	
秫	ʂy5	
移	i2	
稀	ɕi1	
稅	ʂyi5	
程	tʂɛn2	
稍	sɔ1	
稍	sɔ3	
稗	pua6	
稚	tʂʅ5	
稞	kʰo3	
稠	tʂau2	
種	tʂɛn3	～子
種	tʂɛn5	～田
稱	tʂʰɛn1	～呼；～重
稱	tʂʰɛn5	相～
稻	tɔ6	
稼	tɕia5	
稽	tɕi1	
稿	kɔ3	
穀	ku7	
穆	mõ7	
積	tsi7	
穎	in3	
穗	sɛ5	(文)
穗	sĩ5	(白)
穢	xui5	
穩	uɛn3	
穴	ɕiɛ7	
究	tɕio5	
穹	tɕin2	
空	kʰɛn1	～氣
空	kʰɛn5	～子
穿	tɕʰyĩ1	
突	tʰau7	
窄	tsɛ7	
窖	kɔ5	
窗	tsʰaŋ1	
窘	tʂuɛn5	
窟	kʰu7	
窠	kʰo1	
窩	o1	
窪	ua1	
窮	tɕin2	
窯	iɔ2	
窺	kʰui1	
竄	tsʰõ1	(白)
竄	tsʰõ5	(文)
竅	tɕʰiɔ5	
竈	tsɔ5	
立	li7	
站	tsã5	動詞
站	tsã6	名詞
章	tʂaŋ1	
童	tɛn2	
竭	tɕʰiɛ7	
端	tõ1	
競	tɕin5	
竹	tʂau7	
竿	kã3	
竿	kaŋ3	
笆	pua1	
笑	siɔ5	
笙	sɛn1	
笠	li7	
符	xu2	
笨	pɛn6	
第	ti6	
筆	pi7	
等	tĩ3	(白)
等	tɛn3	(文)
筋	tɕin1	
筍	sɛn3	
筏	xua7	
筐	tɕʰiaŋ1	
答	ta7	
策	tsʰɛ7	
筧	tɕĩ3	通水的竹子
筲	sɔ1	
筵	ĩ2	
筷	kʰua5	
箅	pi1	甑～子
箇	ko3	副詞，這麼
箇	ko7	代詞，這
箍	ku1	
箏	tsɛn1	
算	sõ5	
管	kŋ̍3	
箢	yĩ1	～箕：竹篾編成的似畚箕的用具
箭	tsĩ5	
箱	siaŋ1	
箸	tʂy3	
節	tsiɛ7	
範	xuã5	
篆	tɕyĩ6	
篇	pʰĩ1	
築	tʂau7	
篙	kɔ1	
篡	tsʰõ5	
篦	pi6	～梳
篩	sa1	
篷	pɛn2	
篾	mĩ5	
簍	liɔ3	(白)
簍	lau3	(文)
簟	tĩ6	
簡	tɛn2	
簡	kã3	
簧	xaŋ2	(白)
簧	xuaŋ2	(文)
簪	tsã1	
簫	siɔ1	
簷	ĩ2	
簸	po5	
簽	tsʰĩ1	
簾	lĩ2	
簿	pu6	
籃	lã2	
籇	xɔ2	一種只能自由進不能出的捕魚工具
籌	tʂau2	
籍	tsi7	
籠	lɛn1	覆蓋
籠	lɛn2	
籠	lɛn3	
籤	tsʰĩ1	
籬	li2	
籮	lo2	
籲	y5	
米	mĩ3	
粉	xuɛn3	
粑	pua1	
粒	li5	
粗	tsʰau1	
粘	tɕĩ1	(文)
粘	tiaŋ1	(白)
粟	li5	
粟	sio7	
粥	tʂau7	
粱	liaŋ2	
粳	kɛn3	
粵	yɛ7	
粹	tsʰɛ5	
精	tsin1	(文)
精	tsiaŋ1	(白)～肉
糍	tsɿ2	
糕	kɔ1	
糖	taŋ2	
糙	tsʰɔ5	
糜	mɛ2	
糜	mĩ2	
糞	xuɛn5	
糟	tsɔ1	
糠	kʰaŋ1	
糧	liaŋ2	
糯	lõ6	
糶	tʰiɔ5	
系	ɕi5	
糾	tsio1	～圞的：很圓
糾	tɕio1	
紀	tɕi3	
紂	tʂau5	
約	io7	
紅	xɛn2	
紋	uɛn2	
納	la7	
紐	ȵio3	
純	ʂuɛn2	
紗	sua1	
紙	tʂʅ3	
級	tɕʰi7	
紛	xuɛn1	
紝	yɛn5	(文)
紝	yɛn6	(白)
紡	xaŋ3	(白)
紡	xuaŋ3	(文)
索	sau5	
紫	tsɿ3	
紮	tsua3	(白)～掃把
紮	tsa7	(文)
累	lɛ3	(文)
累	lia7	(訓讀)
細	si5	
紹	ʂɔ5	
終	tʂɛn1	
組	tsau3	
絆	pʰã5	
結	tɕiɛ7	
絕	tsʰiɛ5	(白)～種
絕	tsiɛ7	(文)
絞	tɕiɔ3	
絡	lo7	
給	kɛ3	
給	tɕi7	供～
絨	in2	
絮	si5	(白)
絮	ʂy5	(文)
統	tʰɛn3	
絲	sɿ1	
絳	tɕiaŋ5	
絹	tɕyĩ1	
綁	paŋ3	
綏	si1	
經	tɕin1	
經	tɕiaŋ1	～線
綜	tsɛn1	
綠	lau7	
綢	tʂau2	
維	ui2	
綰	uã3	
綱	kaŋ1	
網	uaŋ3	
綴	tʂyi5	
綹	lio5	
綻	tsã5	
綽	tsʰo7	寬～
綿	mĩ2	
緊	tɕin3	
緖	ʂy5	
線	sĩ5	
緝	tsi7	
緞	tõ6	
締	tʰia7	(訓讀)～起：用繩子締結
緣	yĩ2	
編	pʰĩ1	
緩	xŋ̍3	
緬	mĩ5	
緯	ui3	
練	lĩ5	
縈	iaŋ1	～毛線：把毛線繞成團
縊	i7	
縐	tsiɔ5	(白)
縐	tsau5	(文)
縛	xu5	
縛	xo5	(白)
縣	ɕĩ6	
縫	xɛn2	～衣
縫	xɛn6	裂～
縮	sau7	
縱	tsɛn5	
縷	lau3	
總	tsɛn3	
績	tsi7	成～
績	tsʰi7	～麻
繁	xuã2	
繃	pɛn1	
繃	pɛn5	兩頭扯
織	tʂʅ7	
繞	iɔ3	
繡	sio5	
繩	ʂɛn2	
繪	kʰui5	
繫	tɕi5	動詞，～繩
繫	tɕi6	箢箕～
繳	tɕiɔ3	
繼	tɕi5	
纂	tsʰõ5	
續	sau7	
纏	tɕĩ2	
纓	in1	
纖	tsʰĩ1	
纜	lã3	
缸	kaŋ1	
缺	tʂʰyɛ7	
缽	pɛ7	
罄	tɕʰin6	
罈	tã2	
罎	tʰa7	(訓讀)口徑小容積大的一種罎子
罐	kŋ̍5	
罕	xã1	～見
罕	xã5	稀～
罩	tsɔ5	
罪	tsɛ6	
置	tʂʰʅ5	
罰	xua5	
署	ʂy5	
罵	mua6	
罷	tɕi5	
罷	pa5	
罾	tsĩ1	(白)
罾	tsɛn1	(文)
羅	lo2	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mɛ3	
羔	kɔ1	
羞	ɕio1	
羣	tʂuɛn2	
羨	sĩ5	
義	ȵĩ5	
羽	y3	
羾	kɛn5	往裏鑽
翁	uɛn1	
翅	tʂʅ5	
翎	lin2	
習	si7	
翠	tsʰɛ5	
翦	tsĩ3	
翰	xã5	
翱	ŋɔ2	
翹	tɕʰiɔ1	
翹	tɕʰiɔ5	
翻	xuã1	
翼	i5	
翼	iɛ5	翼胛：翅膀
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂɛ3	
而	ɛ2	
耍	sua3	
耐	la7	
耕	kɛn1	
耗	xɔ5	
耙	pua2	
耳	ɛ3	
耶	ia1	
耽	tã1	
耿	kɛn3	
聊	liɔ2	
聖	ʂɛn5	
聘	pʰin5	
聚	tsi5	
聞	uɛn2	
聯	lĩ2	
聰	tsʰɛn1	
聲	ʂɛn1	(文)
聲	ʂaŋ1	(白)
聳	tsʰɛn3	
聶	ȵiɛ7	
聽	tʰin5	(文)
聾	lɛn1	
肄	i5	
肅	sau7	
肆	sɿ5	
肇	tʂɔ5	
肉	ȵio7	(白)
肉	ʐau7	(文)
肋	lɛ7	
肌	tɕi1	
肏	ȵiã5	(訓讀)～屄：交合
肖	siɔ1	
肖	siɔ5	～像
肘	tʂau3	
肚	tau3	
肚	tau6	(又)
肝	kã1	(白)
肝	kŋ̍1	(白)
股	ku3	
肢	tʂʅ1	
肥	xui2	
肩	tɕĩ1	
肪	xaŋ2	(白)
肪	xuaŋ2	(文)
肯	tɕʰĩ3	(白)
肯	kʰɛn3	(文)
育	ʐau7	
肺	xui5	
胃	ui5	
背	pɛ5	名詞
背	pɛ6	～誦；不當面，躲避：～時
胎	tʰɛ1	
胖	pʰaŋ5	
胚	pʰɛ1	
胛	ka7	(白)
胛	tɕia7	(文)
胞	pɔ1	
胡	xu2	
胭	ĩ1	
胮	pʰaŋ1	～臭：很臭
胮	tʂʰaŋ1	(訓讀)～臭，很臭
胰	i2	
胳	ko7	
胸	ɕin1	
能	lɛn2	
脂	tʂʅ3	
脅	sia7	(白)脅旮旯：腋窩
脅	ɕiɛ7	
脆	tsʰɛ5	
脊	tsi7	(文)
脊	tsia7	(白)
脫	tʰɛ7	(白)
脫	tʰo7	(文)
脬	pʰɔ1	
脯	pu2	
脹	tʂaŋ5	
脾	pi1	
腆	tĩ5	
腋	i7	
腎	ʂɛn5	
腐	xu3	
腑	xu3	
腔	tɕʰiaŋ1	
腕	ŋ̍3	
腡	lo2	
腥	sin5	(文)
腥	siaŋ5	(白)
腦	lɔ3	
腮	sɛ1	
腳	tʂo5	
腸	tʂaŋ2	
腹	xu7	
腿	tʰɛ3	
膀	paŋ5	
膏	kɔ1	
膘	piɔ1	
膚	xu1	
膝	tsʰi7	
膝	si7	動詞，用膝蓋頂住
膠	kɔ1	(白)～布
膠	tɕiɔ1	
膨	pɛn2	
膩	ȵĩ5	(文)
膩	ȵĩ6	(白)
膽	tã3	
膿	lɛn2	
膿	kŋ̍5	(訓讀)
臀	tɛn2	
臂	pɛ5	
臉	lĩ3	
臍	tsi2	～帶
臍	tʂy5	(訓讀)肚～子：肚臍
臘	la7	
臟	tsaŋ5	內～
臣	tʂɛn2	
臥	ŋo5	
臨	lin2	
自	tsɿ6	
自	sɿ6	(白)
臭	tʂʰau5	
至	tʂʅ5	
致	tʂʅ5	
臺	tɛ2	
臻	tsɛn1	
臼	tɕio6	
舀	iɔ3	
舂	tʂʰɛn1	
舅	tɕio5	
舅	tɕio6	(又)
與	y3	
興	ɕin1	
興	ɕin5	高～
舉	tʂy3	
舊	tɕio6	
舌	ʂɛ5	
舍	ʂɛ5	名詞
舒	ʂy1	
舔	tʰĩ3	
舛	tɕʰyĩ3	
舜	ʂuɛn5	
舞	u3	
舟	tʂau1	
航	xaŋ2	
般	põ2	
舵	to6	
船	tɕyĩ2	
艦	kã5	
良	liaŋ2	
艱	kã1	
艷	ĩ5	
艾	ŋã6	～葉
芋	y6	
芍	ɕio7	～藥
芒	maŋ2	
芝	tʂʅ1	
芥	ka5	(白)
芥	tɕia5	(文)
芪	tɕi1	黃～
芫	ĩ2	
芬	xuɛn1	
芭	pua1	
花	xua1	
芳	xaŋ1	(白)
芳	xuaŋ1	(文)
芹	tɕin2	
芽	ia2	(文)
芽	ŋã2	(白)
苔	tɛ2	
苗	miɔ2	
苛	kʰo1	
苞	pɔ1	
苟	kɔ3	
若	io7	
苦	kʰu3	
苧	tʂy6	
苯	pɛn3	
英	in1	
茁	tʂyɛ7	
茂	miɔ5	
范	uã6	姓
茄	tʂua2	(白)
茄	tɕiɛ2	(文)
茅	mɔ2	
茨	tsɿ5	蒺藜
茫	maŋ2	
茭	tɕiɔ1	
茲	tsɿ2	
茴	xui2	
茶	tsua2	
茸	in2	
荀	tsɛn2	
草	tsʰɔ3	
荊	tɕin1	
荒	xaŋ1	(白)
荒	xuaŋ1	(文)
荔	li6	
荷	xo2	
莊	tsaŋ1	
莖	tɕin5	
莞	tiɔ1	
莞	xŋ̍2	～爾一笑
莠	io5	
莧	xã6	
莽	maŋ3	
菊	tʂy7	
菌	tʂuɛn6	
菖	tʂʰaŋ1	
菜	tsʰɛ5	
菠	po1	
菢	pɔ6	孵
菩	pu2	
華	xua2	
菱	lin2	
菲	xui1	
萄	tɔ2	
萍	pin2	
萎	ui3	
萫	ɕiaŋ5	～料：蔥、蒜一類作料
萬	uã5	(文)
萬	uã6	(白)
萵	o1	
落	lo5	～雨
落	lo7	擱
葉	iɛ5	
著	tʂy5	
著	tʂo5	
葚	ʂɛn5	
葛	kuɛ7	
葛	ko7	(文)
董	tɛn3	
葦	ui3	
葫	xu2	～蘆
葬	tsaŋ5	
葵	kui2	
葷	xuɛn1	
蒂	ti5	
蒙	maŋ1	衣服、布料等繃得緊：如衣服太小穿在身上叫「蒙起蒙起」
蒙	maŋ2	～古
蒜	sõ5	
蒯	kʰua3	
蒲	pu2	
蒸	tʂɛn1	
蒼	tsʰaŋ1	
蒿	xɔ1	
蓄	tɕio5	(訓讀)留着、積蓄
蓄	tɕʰio7	使東西生長，蓄頭髮、蓄指甲
蓄	ɕio7	
蓉	in2	
蓋	kɛ5	
蓑	so1	
蓖	pɛ1	
蓬	pɛn2	
蓮	lĩ2	
蔗	tʂɛ5	
蔡	tsʰɛ5	
蔣	tsiaŋ3	
蔥	tsʰɛn1	
蔫	ĩ1	
蔬	sau1	
蔭	in1	
蔽	pɛ5	
蕉	tsiɔ1	
蕊	y3	
蕎	tɕiɔ2	
蕨	tʂyɛ7	
蕩	tʰaŋ5	(文)
蕩	taŋ6	(白)遊～
蕭	siɔ1	
蕹	uɛn5	(文)
蕹	ŋ̍5	(白)
薄	pʰo5	(白)厚～
薄	pɔ6	～荷
薄	po7	(文)厚～
薅	xɔ1	
薛	siɛ7	
薦	tsĩ5	
薩	sa7	
薪	sin1	
薯	tʂy2	
薰	ʂuɛn1	
藉	tsia5	憑～
藍	lã2	
藏	tsaŋ2	～東西
藏	tsaŋ5	西～
藐	miɔ3	
藕	ŋɔ3	(文)
藕	ȵiɔ3	(白)
藝	ȵĩ5	
藠	tɕiɔ6	
藥	io7	
藩	pʰõ1	
藹	ŋɛ3	
藿	xo7	
蘆	lau2	
蘇	sau1	
蘭	lã2	
蘸	tsã5	
蘿	lo2	
虎	xu3	
虐	ȵio7	
虔	tɕĩ2	
處	tʂʰy3	～理
處	tʂʰy5	到～
虛	ʂy1	
虜	lau3	
虞	y2	
號	xɔ2	呼～
號	xɔ6	～碼
虧	kʰui1	
虹	xɛn2	(白)
虹	kaŋ5	(白)
虻	maŋ2	
蚊	mɛn1	(白)
蚊	uɛn2	(文)
蚌	paŋ6	
蚣	kɛn1	
蚤	tsɔ3	
蛆	tsʰi1	
蛇	ʂua2	(白)
蛇	ʂɛ2	(文)
蛋	tã6	
蛐	tʂʰau7	蛐蟻子：蚯蚓
蛙	ua1	
蛛	tʂy1	
蛻	tʰɛn3	(白)
蛻	tʰɛ5	(文)
蛻	tʰo7	(文)
蛾	ŋo2	
蜀	tʂau7	
蜀	ʂau7	
蜂	xɛn1	
蜇	tʂɛ7	
蜈	u2	
蜓	tin2	
蜘	tʂʅ7	
蜜	mĩ7	
蝕	ʂʅ7	
蝗	xaŋ2	(白)
蝗	xuaŋ2	(文)
蝙	pĩ3	
蝠	xu7	
蝦	xa1	
蝦	ɕia1	(文)
蝶	tʰiɛ7	
蝸	o1	
螂	laŋ2	
螃	paŋ2	
融	in2	
螞	mua3	
螢	yɛn2	(文)
螢	iaŋ2	(白)
螳	taŋ2	
蟀	so7	
蟄	tʂʅ5	
蟒	maŋ3	
蟬	ɕyĩ2	
蟲	tʂɛn2	
蟹	ɕia1	(文)
蟹	ka7	(白)
蟻	ȵĩ6	
蠍	ɕiɛ7	
蠚	xo7	～辣子：一種蜇人的蟲子
蠟	la7	
蠢	ɕin3	(訓讀)
蠢	tʂʰuɛn3	
蠶	tsã2	
蠹	tau7	
蠻	mã2	
血	ɕiɛ7	
行	ɕin2	～爲
行	xaŋ2	～列
術	ʂy5	
街	ka1	
衙	ia2	
衛	ui5	
衝	tʂʰɛn1	
衝	tʂʰɛn5	氣味刺鼻；易發牌氣
衡	xɛn2	
衣	i1	
表	piɔ3	
衫	sã1	
衰	sɛ1	
袁	yĩ2	
袋	tɛ6	
袍	pɔ2	
袖	sio5	(文)
袖	tsio6	(白)
被	pi6	(白)蓋被
被	pɛ6	(文)
裁	tsɛ1	
裁	tsɛ2	
裂	liɛ7	
裕	y5	
裙	tʂuɛn2	
補	pu3	
裝	tsaŋ1	
裱	piɔ3	
裳	ʂaŋ2	
裴	pɛ2	
裹	ko3	
製	tʂʅ5	
褂	kua5	
褒	pɔ1	
褚	tʂy3	
褯	tsia6	～子：尿布
褲	kʰu5	
褶	tʂɛ7	
褻	siɛ7	
襄	siaŋ1	
襖	ŋɔ3	
襟	tɕin1	
襪	ua7	
襯	tsʰɛn5	
襲	si7	
襻	pʰã5	
西	si1	
要	iɔ1	～求
要	iɔ5	
覆	xu7	
覆	pʰo7	(白)
見	tɕĩ5	
規	kui1	
視	ʂʅ7	
覘	tã1	擡四肢或頭
親	tsʰin1	～人
親	tsʰin5	～家
覺	kɔ5	(白)睡～
覺	tɕiɔ5	(文)
覺	tʂʰo7	～悟
覽	lã5	
觀	kuã1	(文)
觀	kŋ̍1	(白)
角	tʂo5	(文)一～錢
角	ko7	(白)牆～
解	ka3	(白)
解	tɕia3	(文)
解	pʰi7	
觸	tʂʰau7	
言	ȵĩ2	
訂	tin5	(文)
訂	tin6	(白)
計	tɕi5	
訊	sin5	
討	tʰɔ3	
訓	ʂuɛn5	
訖	tɕʰi7	
託	tʰo7	
記	tɕi5	
訝	ia3	
訟	tsɛn5	
訣	tʂyɛ7	
訪	xaŋ3	(白)
訪	xuaŋ3	(文)
設	ʂɛ7	
許	ʂy3	(文)
許	xɛ3	(白)
訴	sau5	
診	tʂɛn3	
註	tʂy5	
詐	tsua5	
詔	tʂɔ5	
評	pin2	
詞	tsɿ2	
詠	yɛn5	
試	ʂʅ5	
詩	ʂʅ1	
詭	kui3	
話	xua6	
話	ua6	(白)
該	kɛ1	
詳	tsiaŋ2	
誅	tʂy1	
誇	kʰua1	
誌	tʂʅ5	
認	ȵin6	(白)
認	yɛn6	(白)
誓	ʂʅ5	
誕	tã5	
誘	io5	
語	ȵy3	
誠	tʂɛn2	
誣	u1	
誤	u5	(文)
誤	u6	(白)
誦	tsɛn5	
說	ɕyɛ7	
誰	ʂyi2	
課	kʰo5	
誼	ȵĩ2	
調	tiɔ2	～和
調	tiɔ5	～動；～子
諄	tʂuɛn1	
談	tã2	
請	tsʰin3	(文)
請	tsʰiaŋ3	(白)
諒	liaŋ5	
論	lɛn2	～語
論	lɛn5	議～
諜	tʰiɛ7	
諧	xa2	(白)
諧	ɕia2	(文)
諫	kã5	
諮	tsɿ1	
諱	xui5	
諷	xɛn5	
諸	tʂy1	
諺	ȵĩ5	
諾	lo7	
謀	mɔ2	(文)
謀	miɔ2	(白)
謂	ui5	
謊	xaŋ3	(白)
謊	xuaŋ3	(文)
謎	mɛ2	(白)
謗	paŋ3	
謙	tɕʰĩ1	
講	kaŋ3	(白)
謝	siɛ5	
謝	tsia6	(白)姓；花謝
謠	iɔ2	
謬	miɔ5	
謳	ŋɔ1	
謹	tɕin3	
證	tʂɛn5	
識	ʂʅ7	
譚	tã2	
譜	pʰu3	
警	tɕin3	
譬	pʰi7	
譯	i7	
議	ȵĩ5	
譴	tɕʰĩ3	
護	xu7	
譽	y5	
讀	tau7	
變	pĩ5	
讎	tʂau2	
讒	tsã2	
讓	ȵiaŋ6	(白)
讓	iaŋ6	(白)
谷	ku7	
豁	xo7	
豆	tiɔ6	(白)
豆	tau6	(文)
豈	tɕʰi3	
豉	ʂʅ6	
豌	uã1	
豎	ʂy5	
豐	xɛn1	
豕	ʂʅ3	
豚	tɛn2	
象	siaŋ5	印～
象	tsiaŋ6	大～
豢	xŋ̍5	
豪	xɔ2	
豫	y5	
豬	tʂy1	
豶	xuɛn2	
豹	pɔ5	
豺	tsa2	
貂	tiɔ1	
貌	mɔ5	
貓	mɔ1	
貝	pɛ5	
貞	tʂɛn1	
負	xu5	
財	tsɛ2	
貢	kɛn5	
貧	pin2	
貨	xo5	
販	xuã5	
貪	tʰã1	
貫	kuã5	
責	tsɛ7	
貴	kui5	
貶	pĩ3	
買	mã3	
貸	tɛ6	
費	xui5	
貼	tʰiɛ7	
貽	i2	
貿	mɔ5	
賀	xo6	
賂	lo7	
賃	lin5	
賄	xui3	
資	tsɿ1	
賈	tɕia3	
賊	tsʰɛ5	(白)
賊	tsɛ7	(文)
賒	ʂua1	(白)
賒	ʂɛ1	(文)
賓	pin1	
賜	tsʰɿ5	
賞	ʂaŋ3	
賠	pɛ2	
賢	ɕĩ2	
賣	mã3	
賤	tsĩ6	
賦	xu5	
質	tʂʅ7	
賬	tʂaŋ5	
賭	tau3	
賴	la6	
賺	tsã6	
購	kɔ5	
賽	sa5	
贅	tʂyi5	
贈	tsʰɛn5	
贊	tsã5	
贏	in2	
贏	in2	(文)
贏	iaŋ2	(白)
贓	tsaŋ1	
贖	ʂau7	
赤	tʂʰʅ7	(文)
赤	tʂʰua7	(白)
赦	ʂɛ7	
赫	xɛ7	
走	tsiɔ3	(白)
走	tsau3	(文)
赴	pʰo7	
起	tɕʰi3	
趁	tʂʰɛn5	
超	tʂʰɔ1	
越	yɛ7	
趕	kã3	
趙	tʂɔ6	
趟	tʰaŋ5	
趣	tsʰi5	
趨	tsʰi1	
足	tsau7	
趴	pʰua1	兩腿分開
趾	tʂʅ3	
跌	tiɛ7	
跍	ku2	蹲、綣縮
跑	pʰɔ3	
跘	pã5	摔倒
跛	pʰo3	
距	tʂy5	
跟	tɕĩ1	(白)
跟	kɛn1	(文)
跡	tsiaŋ5	(白)
跤	kɔ1	(白)
跤	tɕiɔ1	(文)
跨	kʰua1	(文)
跨	kua6	(白)
跪	kʰui3	
路	lau6	
跳	tʰiɔ5	
踏	tʰa5	
踏	tʰa7	(又)
踐	tsĩ5	
踢	tʰi7	
踩	tsʰa3	
踰	y5	
踹	tʂʰua5	
蹄	ti2	
蹘	liɔ1	蹺腳
蹦	pɛn5	
蹩	pʰiɛ3	～腳：礙腳
蹩	pʰiɛ7	
蹬	tɛn5	腳或身體垂直方向突然地用力
蹲	tsa1	(白)
蹲	tsɛn1	(文)
蹶	tʂyɛ7	
躁	tsʰɔ5	
躍	iɔ5	
躡	ȵiɛ7	
身	ʂɛn1	
躬	kɛn1	
躺	tʰaŋ3	
車	tʂy1	象棋子
車	tʂʰua1	(白)
車	tʂʰɛ1	(文)
軋	ŋã5	(文)～棉花
軋	ia7	(文)
軋	ŋã7	(白)～路
軌	kui3	
軍	tʂuɛn1	
軒	ɕyĩ1	
軛	ua5	(白)
軛	ŋɛ7	(文)
軟	yĩ3	
軸	tʂʰau7	
較	tɕiɔ3	
較	ɕiɔ5	
載	tsɛ5	
輒	tʂʰɛ5	
輔	pʰu3	
輕	tɕʰin1	(文)
輕	tɕʰiaŋ1	(白)
輛	liaŋ5	
輜	tsɿ1	
輝	xui1	
輦	ȵiã3	
輩	pɛ5	
輪	lɛn2	
輯	tsi7	
輸	ʂy1	
轄	ɕia7	
轅	yĩ2	
轉	tɕyĩ3	打～
轉	tɕyĩ5	～面
轍	tʂʰɛ5	
轎	tɕiɔ6	
轟	xuɛn1	
轡	pʰɛ5	
辛	sin1	
辜	ku1	
辣	la5	
辦	pã6	
辨	pĩ6	
辭	tsɿ2	
辮	pĩ6	
辯	pĩ6	
辰	ʂɛn2	
辱	ʐau7	
農	lɛn2	
迂	y2	
迄	tɕʰi7	
迅	sin5	
迎	in2	
近	tɕin5	(文)
近	tɕin6	(白)
迥	ʂuɛn3	
迭	tiɛ7	
述	ʂy5	
迷	mɛ2	(白)
迷	mĩ2	(文)
迷	mĩ6	(白)
追	tʂyi1	
退	tʰɛ5	
送	sɛn5	
逃	tɔ2	
逆	ȵĩ7	
透	tʰau5	
逐	tʂʰau7	
途	tau2	
逗	tiɔ1	
通	tʰɛn1	
逛	kuaŋ2	
逝	ʂʅ5	
逞	tʂʰɛn3	
速	so7	
造	tsʰɔ5	
逢	xɛn2	
連	lĩ2	
逮	tʰi7	
進	tɕiaŋ3	(文)
進	pɛn5	
進	tsin5	
逵	kui2	
逸	i7	
逼	piɛ1	(白)
逼	pi7	(文)
遁	tɛn5	
遂	sɛ5	
遇	y5	
遊	io2	
運	yɛn5	(文)動詞
運	yɛn6	(白)名詞
遍	pʰĩ5	
過	ku5	
遐	ɕia2	
道	tɔ5	(文)
道	tɔ6	(白)
達	ta7	
違	ui2	
遜	sɛn5	
遞	ti6	
遠	yĩ3	
遢	tʰa7	
遣	tɕʰĩ3	
遨	ŋɔ2	
適	ʂʅ7	
遭	tsɔ1	
遮	tʂua1	(白)
遮	tʂɛ1	(文)
遲	tʂʅ2	
遵	tsɛn1	
遷	tsʰĩ1	
選	sĩ3	
遺	i2	
遼	liɔ2	
遽	tʂy5	
避	pɛ5	
邀	tsʰiɔ1	(白)
邀	iɔ1	(文)
邁	mã5	
還	xa2	(文)副詞，還來
還	a2	(白)副詞
還	xuã2	～原
還	uã2	(白)～錢
邊	pĩ1	
邋	la3	邋胡：不講衛生
邋	la7	邋～
那	la5	(文)
那	lo5	(白)
邦	paŋ1	
邪	tsia2	
邯	xã1	
邱	tɕʰio1	
邵	ʂɔ5	
郁	y5	
郊	tɕiɔ1	
郎	laŋ2	
郝	xɛ7	
郡	tʂuɛn5	(文)
郡	tʂuɛn6	(白)
部	pu6	
郭	ko7	
郵	io2	
都	tau1	
鄂	ŋo7	
鄉	ɕiaŋ1	
鄒	tsiɔ1	(白)
鄒	tsau1	(文)
鄙	pʰi3	
鄧	tĩ6	(白)
鄧	tɛn6	(文)
鄭	tʂɛn6	
鄰	lin2	
酉	io3	
酌	tso7	
配	pʰɛ5	
酒	tsio3	
酥	sau1	
酪	lo7	
酬	tʂau2	
酵	ɕiɔ5	
酷	kʰu7	
酸	sõ1	
醃	ĩ1	(文)
醃	iɛ7	(白)
醇	ʂuɛn2	
醉	tsi5	(白)
醉	tsɛ5	(文)
醋	tsʰau5	
醒	sin3	(文)
醒	siaŋ3	(白)
醜	tʂʰau3	
醫	i1	
醬	tsiaŋ5	
醴	li3	
釀	ȵiaŋ5	
釅	ȵĩ6	
釉	io6	
釋	ʂʅ7	
重	tʂɛn2	～複
重	tʂɛn6	輕～
野	ia3	(白)
野	iɛ3	(文)
量	liaŋ2	動詞
量	liaŋ5	數～
金	tɕin1	
釘	tin1	(白)～詞
釘	tiaŋ1	(白)名詞
釘	tin5	(文)動詞
釘	tiaŋ5	(白)動詞；～重的
釜	xu3	
針	tʂɛn1	
釣	tiɔ5	
釧	tɕʰyĩ1	
釵	tsʰua1	
鈍	tɛn5	(文)
鈍	tɛn6	(白)刀刃無鋒
