#漢字	音標	解釋
□	nam1	蘸酱油
豫	zi2	
豹	pau2	
豺	tsʰai2	
貂	tiu1	
貌	mau2	
貝	pui3	
貞	tsɐŋ1	
貢	koŋ3	
財	tsʰai2	
賢	hin2	
敗	pʰai2	
賬	tsiŋ3	
貨	vo3	
質	tsɐt7a	
販	fan3	
貪	tʰam1	
貧	pʰɐn2	
貶	pɛn3	
貫	kun3	
賤	tsʰin2	
貼	tʰip7b	
貴	kʷɐi3	
貸	tʰai3	
貿	mau2	
費	fɐi3	
賀	ha2	
賊	tsʰak8	
賈	ka3	姓
賄	fui3	
賃	ŋiɐm2	
贓	tsaŋ3	
資	tsɐi1	
賒	si1	
賦	fɐu2	
賭	tu2	
贖	sok8	
賞	siŋ3	
賜	si2	
賠	pʰui2	
賴	lai2	
賺	tsʰan2	
贊	tsan3	
贈	tsʰaŋ2	
贏	zɛŋ2	
赤	tsʰɛk7a	
赫	hak7b	
走	tsɐu3	
赴	pʰok8	
趙	tsʰiu2	
趕	kan3	
起	hɐi3	
趁	tsʰɐn3	
超	tsʰiu1	
越	zit7b	
趨	tsʰiu1	
趟	tʰaŋ3	
趣	tsʰɐu3	
足	tsuk7a	
躍	zik7b	
跌	lit7b	
跑	pʰau3	
跛	pɐi1	
距	kʰɐi3	
跟	kɐn1	
跡	tsik7a	
跨	kʰʷa1	
跪	kʰʷɐi2	
路	lu2	
跳	tʰiu3	
踐	tsʰin3	
踏	tʰap7b	
踢	tʰɛk7a	
蹤	tsoŋ1	
踱	tʰu2	
踱	tʰak8	
蹄	tʰɐi2	
躡	nip7b	
躁	tsʰau3	
身	sɐn1	
躬	koŋ1	
躱	to3	
躺	tʰaŋ3	
車	kɐi1	~马炮
車	tsʰi1	马~
軋	tsat7b	
軌	kʷɐi3	
軒	hin1	
轉	tsun3	~圆圈
轉	tsun3	~眼
軛	ak7b	
輪	lɐn2	
軟	ŋiun3	
轟	vaŋ1	
軸	tsʰuk8	
輕	hɛŋ1	
載	tsai3	~重
載	tsai3	年~
載	tsai3	满~
轎	kʰiu2	
較	kau3	
輔	fɐu2	
輛	liŋ3	
輩	pui3	
輝	fɐi1	
輜	tsi1	
輯	tsʰɐp7a	
輸	sɐu1	
轅	zun2	
轄	hat8	
轍	tsʰit2	
辛	sɐn2	
辭	tsʰi2	
辟	pʰɛk7a	
辣	lat7b	
辨	pin3	
辯	pin3	
辮	pin1	
辰	sɐn2	
辱	zok7a	
邊	pin1	
達	tʰat7b	
遷	tsʰin1	
迂	ɐu1	
迅	sɐn3	
過	ku3	
邁	mai2	
迎	ŋɛŋ2	
運	vɐn2	
近	kʰɐn2	
還	van2	~领
還	van2	~有
進	tsɐn3	
遠	ŋiun3	
違	vɐi2	
連	lin2	
遲	tsʰi2	
迫	pɛk7a	
述	sɐt8	
迷	mɐi2	
迸	pɛŋ3	
追	tsui1	
退	tʰui3	
送	soŋ3	
適	sɛk7a	
逃	tʰau2	
逆	ŋak7b	
選	sin3	
遜	suon1	
透	tʰɐu2	
逐	tsʰuk8	
遞	tʰɐi2	
途	tʰu2	
逗	tʰɐu2	
通	tʰoŋ1	
逝	sɐi2	
逞	tsʰɛŋ2	
速	sok7a	
造	tsʰau2	
逢	fuŋ2	
逵	kʰʷɐi2	
逸	zik7a	
逼	pɛk7a	
逾	zi2	
遁	tɐn2	
遂	sui2	
遇	zi2	
遍	pʰin3	
遐	ha2	
道	tʰau2	
遺	vɐi2	
遣	hin3	
遭	tsau1	
遮	tsi1	
遵	tsun1	
遼	liu2	
避	pʰɐi2	
邀	ziu1	
那	na3	
邦	puŋ1	
邪	tsʰi2	
郵	zɐu2	
邵	tsiu1	
鄒	tsɐu1	
鄰	lɐn2	
郁	vɐt7a	
郊	kau1	
郎	laŋ2	
鄭	tsʰɛŋ2	
郝	hak7b	姓
郡	kʰʷɐn2	
部	pʰɐu2	
郭	kuk7b	
都	tu1	
鄂	ŋak7b	
鄙	pʰɐi3	
酉	zɐu2	
酌	tsɛk7b	
配	pʰui3	
酒	tsɐu3	
酥	su1	
酪	lak7b	
酬	tsʰɐu2	
醬	tsiŋ3	
酵	kau3	
酷	kʰau3	
酸	sun1	
釀	ŋiŋ2	
醃	zim2	
醇	sɐn2	
醉	tsui3	
醋	tsʰu3	
醒	siŋ3	
醭	pʰok7a	醋生白~
采	tsʰai3	
釉	zɐu2	
釋	sɛk7a	
里	lɐi3	
重	tsʰoŋ2	~复
重	tsʰoŋ2	轻~
野	zɛ3	
量	liŋ2	~长短
金	kɐn1	
釜	fɐu2	
鍊	lin2	
鑑	kam3	
針	tsɐn1	
釘	tɛŋ1	铁~
釣	tiu3	
釵	tsʰai1	
鈍	tɐn2	
鈔	tsʰau1	
钟	tsoŋ1	
鋼	kaŋ1	
鋼	kaŋ3	刀炖了
欽	hɐn1	
鈞	kʰʷɐn1	
鉤	kɐu1	
鈀	pʰa2	
錢	tsʰin2	
鉗	kʰɛm2	
鉢	put7b	
鑽	tsan3	动词
鑽	tsan3	木工用具
鐵	tʰit7b	
鐵	tɛŋ1	~住
鈴	lɛŋ2	
鉛	zun2	
鉋	pʰau2	
鐺	tsʰɛŋ1	
銅	tʰoŋ2	
鍘	tsʰap7b	
銘	mɛŋ2	
鉸	kau3	
鏟	tsʰan3	
銀	ŋɐn2	
鑄	tsɐu3	
鋪	pʰɐu1	~设
鋪	pʰɐu3	店~
銷	siu1	
鎖	su3	
鋤	tsʰu2	
鏽	sɐu3	
銼	tsʰak7b	
鋒	foŋ1	
鐧	kan3	
銳	zui2	
鋦	kʰok8	
錯	tsʰak7b	~误
錫	sɛk7a	
鑼	la2	
錘	tsʰui2	
錐	tsui1	
錦	kɐn3	
錠	tʰɛŋ2	
鍵	kin3	
鋸	kɐu3	
鍬	tsʰiu1	
鍛	tʰun2	
鍍	tʰak8	
鎮	tsɐn3	
鑷	nip7b	
鎔	zoŋ2	
鏡	kɛŋ3	
鐲	tsuk7b	
鐮	lim2	
鑲	siŋ1	
長	tsʰiŋ2	~短
長	tsiŋ3	生~
門	mun2	
閂	san1	
閃	sim3	
閉	pɐi3	
問	mɐn2	
闖	tsʰuŋ3	
閏	ŋiɐn2	
闲	han2	
間	kan3	~断
間	kan1	中~
悶	mun2	
閘	tsʰap8	
鬧	nau2	
閨	kʷɐi1	
聞	mɐn2	
閩	mun3	
閣	kak7b	
閲	zit7b	
閹	zim1	
閻	zim2	
闊	vut7b	
阜	pʰɐu2	
隊	tʰui2	
阮	ŋiun3	
防	fuŋ2	
陽	ziŋ2	
陰	zɐn1	
陣	tsʰɐn2	
阻	tsu3	
阿	ŋa2	~哥
阿	o2	~胶
附	fɐu2	
際	tsɐi3	
陸	lok7a	
隴	luŋ3	
陳	tsʰɐn2	
陋	lɐu2	
陌	pɛk2	
降	kaŋ3	~伏
降	kaŋ3	下~
限	hɐn2	
陝	sim3	
陡	tɐu3	
院	zun2	
除	tsʰɐu2	
險	him3	
險	ŋiɐm3	
陪	pʰui2	
陵	lɛŋ2	
陶	tʰau2	
陷	hɐn1	
隆	loŋ2	
階	kai1	
隨	tsʰui2	
隱	vɐn3	
隔	kak7b	
隘	ai3	
障	tsiŋ3	
隧	sui2	
隶	tʰɐi2	
難	nan2	~易
難	nan2	患~
雀	tsik7b	
雁	ŋan2	
雄	hoŋ2	
雅	ŋa3	
集	tsʰɐp8	
雇	ku3	
雌	tsʰi1	
雍	zoŋ1	
雛	tsɐu1	
雕	tiu1	
雨	vɐu3	
雪	sut7b	
零	lɛŋ2	
雷	lui2	
雹	pʰau1	
霧	mɐu2	
需	sui1	
霄	siu1	
震	tsɐn3	
霍	kʰak7b	
霜	saŋ1	
霞	ha2	
露	lu2	
霸	pa3	
青	tsʰɛŋ1	
靖	tsʰɛŋ2	
靜	tsʰɛŋ2	
非	fɐi1	
靠	kʰau3	
面	min2	
革	kak7b	
靱	ŋiɐn2	
鞋	hai2	
鞍	an1	
鞭	pin1	
韓	han2	
韭	kɐu3	
音	zɐn1	
韻	vɐn2	
韶	siu2	
頁	zip7b	
頂	tɛŋ3	
頃	kʰɛŋ1	
項	haŋ2	
须	sɐu1	
頑	man2	
頓	tʰɐn2	
頒	pan1	
頌	tsʰoŋ2	
預	zi2	
頗	pʰo1	
頸	kɛŋ3	
頻	pʰɐn2	
穎	zɐŋ3	
顆	kʰo3	
題	tʰɐi2	
顔	ŋan2	
額	ŋak7b	
顛	tin1	
顫	tsin3	
風	foŋ1	
颼	sɐu1	
飄	pʰiu1	
飛	fɐi1	
餈	tsʰi2	
餐	tsʰan1	
饥	kɐi1	
飩	tʰun2	
飯	fan2	
飲	ŋiɐm3	
餞	tsin3	
飾	sɛk7a	
飽	pau3	
飼	tsʰi2	
飴	zi2	
餌	ŋɐi3	
餉	hɛŋ3	
餃	kau3	
餅	pɛŋ3	
餑	pʰut7b	
餓	ŋo2	
餜	ku3	
餛	vɐn2	
餡	hɐn1	
館	kun3	
餿	sɐu1	
饞	sam1	
饃	mu1	
餾	liu2	
饅	man2	
首	sɐu3	
香	hiŋ1	
馬	ma3	
馱	tʰu2	
馳	tsʰi2	
驅	kʰɐi1	
駁	puk7b	
駛	sɐi2	
駒	kʰɐi1	
駐	tsʰɐu2	
駝	tʰu2	
駡	ma2	
驕	kiu1	
駱	lak7b	
驗	ŋim3	
騎	kʰɐi2	
騙	pʰin3	
騷	sau1	
騾	lu2	
骨	kʷɐt7a	
髓	tsʰui2	
高	kau1	
髻	kɐi3	
鬃	tsoŋ1	
鬢	pɐn1	
鬼	kʷɐi3	
魂	vɐn2	
魄	pʰɛk7b	
魏	ŋɐi2	
魔	mo1	
魚	ŋɐu2	
魯	lu3	
鮎	nim1	
鮑	pau1	
鮮	sin3	~少
鮮	sin1	新~
鯉	lɐi3	
鯽	tsɛk7a	
鯨	kʰɛŋ2	
鰓	sai1	
鰭	kʰɐi2	
鰾	pʰiu3	
鱉	pit2	
鱖	kʰit7b	
鱗	lɐn2	
鳥	niu3	
鳩	kɐu1	
雞	kɐi1	
鳴	mɛŋ2	
鴉	ŋa1	
鸕	lu2	
鴨	ap7b	
鴿	kap7b	
鸞	lin2	
鴻	hoŋ1	
鵝	ŋa2	
鵡	mɐu3	
鵲	tsʰik7b	
鷂	ziu2	
鶴	hak7b	
鸚	iŋ1	
鷺	lu2	
鷹	ɛŋ1	
鹿	lok7a	
麝	si2	
麥	mɛk7b	
麴	kʰok7a	
麻	ma2	
黃	vuŋ2	
黍	sɐu3	
黎	lɐi2	
黏	nim1	
黑	hak7a	
默	mak7a	
鼎	tɛŋ3	
鼓	ku3	
鼠	sɐu3	
鼻	pʰɐt8	
齊	tsʰɐi2	
齒	tsʰi3	
龍	loŋ2	
龜	kʷɐi1	
