#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
姘	pʰəŋ1	
姚	jy2	
姜	tɕiɛ1	
姨	ji2	
姬	tɕi1	
姻	iaŋ1	
姿	tsɿ1	
威	ʋʉ1	
娃	ʊ1	
嬌	tɕy1	
娑	sɤu1	
娘	ȵiɛ1	對於，姑姑的稱呼
娘	ȵiɛ2	
娘	ȵiɛ2	對於，奶奶的稱呼
娘	ȵiɛ8	對於，阿姨的稱呼
娠	tsaŋ5	
娠	saŋ1	
娩	mi4	
娛	ȵy2	
婆	bʉ2	
婉	y3	
婚	ɕy1	
婚	faŋ1	婚姻
婢	bei4	
婪	lei2	
嬰	iaŋ1	
嬸	saŋ3	
婿	sei5	
媒	mei2	
媚	mei6	
媳	sei7	
媾	kau5	
嫁	kʊ5	
嫂	sɛ3	
嫌	ɦɔ2	
嫑	fe1	不愛合音
嫖	bi2	
嫡	tei7	
嫩	nø6	
嬉	ɕi1	
嬤	mʊ1	嬤嬤：伯母
嬤	mʊ1	阿嬤：保姆
孀	ɕiʊ1	
子	tsɿ3	
孑	tɕi7	
孓	tɕy7	
孔	kʰoŋ3	
孕	jaŋ6	
字	zɿ6	
存	zø2	
孫	sø1	
孝	hɔ5	
孟	ma6	
季	tɕy5	
孤	kʋ1	
學	ɦʊ8	
孩	ɦe2	
孩	ɦe4	
孵	fʋ1	
孵	bʊ6	
孽	ȵi8	
寧	ȵiaŋ2	
寧	ȵiaŋ6	
宅	dza8	
宇	vʉ4	
守	sɤu3	
安	ø1	
宋	soŋ5	
完	ȵy2	吃完罢
完	jy2	
宏	ɦoŋ2	
宕	dʊ4	
宕	dʊ6	地方
宗	tsoŋ1	
官	ky1	
宙	dzɤu6	
定	dəŋ6	
宛	y3	
宜	ȵi2	
寶	pɛ3	
寵	tsʰoŋ3	
審	saŋ3	
客	kʰa7	
宣	ɕy1	
室	sa7	
宦	ɦuɔ6	
宪	ɕi5	
宮	tɕioŋ1	
宰	tsei3	
害	ɦe6	
宴	i5	
宵	ɕy1	
宵	ɕiɔ1	夜宵
家	kʊ1	
容	joŋ2	
寬	kʰuɔ1	
賓	pəŋ1	
宿	sɤu5	
宿	sɤu7	
寂	zei8	
寄	tɕi5	
寅	jaŋ2	
密	mi8	
寇	kʰau5	
富	fʉ5	
寐	mei6	
寒	ɦø2	
寓	ȵy6	
寢	tsʰaŋ3	
寞	mʊ8	
察	tsʰɔ7	
寡	kʊ3	
寥	luɔ2	
寨	dza6	
寸	tsʰø5	
對	tai5	
寺	zɿ6	
尋	zaŋ2	
導	dɛ4	
壽	zɤu6	
封	foŋ1	
射	zei6	
射	zei8	
將	tɕi1	麻将mʊ²¹tɕi³⁵
將	tɕiɛ1	
將	tɕiɛ5	
尊	tsø1	
小	ɕy3	
少	ɕy3	
少	ɕy5	
尔	zɿ4	
尔	ŋ4	
尖	tɕi1	
尘	dzaŋ6	
尚	jɛ6	
嘗	jɛ2	
堯	ȵiɔ2	
尬	ka5	
就	zɤu4	
就	zɤu6	符合也
尷	kɔ1	
屍	sɿ1	
尹	ioŋ3	
尺	tsʰei7	
尼	ȵi2	
尽	zaŋ6	
尾	mei4	
尿	səʉ1	
局	dʑiʊ8	
屁	pʰei5	
層	zaŋ2	
居	tɕy1	
屈	tɕʰia7	
屆	ka5	
屆	ka7	能届：现在
屋	ʋ7	
屎	sɿ3	
屏	pəŋ5	
屏	bəŋ2	
屐	dʑi8	
屑	tɕʰiɔ7	風屑：頭皮屑
展	tɕi3	
屬	jʊ8	
屠	dəʉ2	
屢	laʊ4	
屢	ləʉ4	
履	ləʉ4	
屯	dø2	
山	sɔ1	
歲	səʉ5	歲大：過輩，老了
豈	tɕʰi3	
