#漢字	音標	解釋
□	ŋo1	~在水头
脅	ɕie7	
胃	uɘɪ5	
胆	tã3	
胎	tʰæe1	
胖	pʰaŋ5	
胗	tɕyn1	
胚	pʰɘɪ1	
胜	səin5/ʂəin5	
胞	paɞ1	
胡	xu2	
胳	kɤ̜7	
胸	ɕioŋ1	
能	nəin2	
脂	tsɿ1	
脆	tsʰuɘɪ5/tʂʰuɘɪ5	
脉	mæ7	
脊	tɕi7	
脖	po7	
脚	tɕyo7	
脯	pʰu2	
脱	tʰo7	
臉	niẽ3	
脹	tsaŋ5/tʂaŋ5	
脾	pʰi2	
腎	səin5/ʂəin5	
腐	fuᶹ3	
腑	fuᶹ3	
腔	tɕʰiaŋ1	
腡	no2	
腥	ɕin1	
腦	naɞ3	
腫	tsoŋ3/tʂoŋ3	
腮	sæe1/ʂæe1	
腰	iaɞ1	
腸	tsʰaŋ2/tʂʰaŋ2	
腹	fuᶹ7	
膩	ni7	
腿	tʰuɘɪ3	
膏	kaɞ1	
膜	mo7	
膝	ɕi7	
膿	noŋ2	
臂	pɘɪ5	
臊	saɞ1/ʂaɞ1	
臍	tɕʰi2	
臘	næ7	
臟	tsaŋ1/tʂaŋ1	
臟	tsaŋ5/tʂaŋ5	
臣	tsʰəin2/tʂʰəin2	
臥	o7	
臧	tsuaŋ1/tʂuaŋ1	
自	tsɿ7	
臭	tsʰəu5/tʂʰəu5	
至	tsɿ7	
臺	tʰæe2	
舀	iaɞ3	~水
舂	tsoŋ1/tʂoŋ1	~米
舅	tɕiəu5	
舌	se5/ʂe5	
舌	sæ7/ʂæ7	
舍	se5/ʂe5	
舒	su1/ʂu1	
舔	tʰiẽ3	
舞	vuᶹ3	
舟	tsəu1/tʂəu1	
航	xaŋ2	
般	pã1	
舵	to7	
舶	pʰæ7	
船	tsʰuã2/tʂʰuã2	
艇	tʰin3	
良	niaŋ2	
艱	tɕiẽ1	
色	sæ7/ʂæ7	
藝	ni7	
艾	ŋæe5	
節	tɕie7	
芋	y7	
芍	so7/ʂo7	
芝	tsɿ1	
芥	tɕie5	
芥	tɕiẽ5	
芥	tɕiæe5	最老派
芬	fəin1	
芭	pɑ1	
花	xuɑ1	
芳	faŋ1	
芹	tɕʰin2	
芻	tsʰu1/tʂʰu1	
芽	iɑ2	
莧	xã1	~菜
苏	su1/ʂu1	
苔	tʰæe1	舌~
苗	miaɞ2	
苟	kəu3	
若	zo7/ʐo7	
苦	kʰu3	
英	in1	
茂	moŋ5	
范	fã5	
茄	tɕʰi2	
茅	maɞ2	
茧	tɕiẽ3	
茶	tsʰɑ2/tʂʰɑ2	
茸	zoŋ2/ʐoŋ2	
荆	tɕin1	
草	tsʰaɞ3/tʂʰaɞ3	
荐	tɕiẽ5	
荒	xuaŋ1	
荔	ni7	
榮	yn2	
荳	təu5	
荷	xo2	
莫	mo7	
获	xo7	
蓴	suəin2/ʂuəin2	
菊	tɕy7	
菌	tɕyn5	
菜	tsʰæe5/tʂʰæe5	
菩	pʰu2	
菱	nin2	
菲	fɘɪ1	
萄	tʰaɞ2	
萍	pʰin2	
營	yn2	
落	no7	
著	tsu7/tʂu7	
葛	kɤ̜7	
董	toŋ3	
葬	tsaŋ5/tʂaŋ5	
葱	tsʰoŋ1/tʂʰoŋ1	
葵	kʰuɘɪ2	
葷	xuəin1	
蔣	tɕiaŋ3	
蒐	səu1/ʂəu1	
蒙	moŋ2	
蒜	suã5/ʂuã5	
蒲	pʰu2	
蒸	tsəin1/tʂəin1	
蒼	tsʰuaŋ1/tʂʰuaŋ1	
蒿	xaɞ1	
蓄	ɕy7	
蓉	ioŋ2	
蓑	so1/ʂo1	
蓬	pʰoŋ2	
蓮	niẽ2	
蔡	tsʰæe5/tʂʰæe5	
蔬	su1/ʂu1	
薔	tɕiaŋ1	
蔻	kʰəu5	
蔽	pi5	
蔽	pi7	
蕊	zoŋ3/ʐoŋ3	
蕎	tɕʰiaɞ2	
蕭	ɕiaɞ1	
薄	po7	
薅	xaɞ1	
薇	uɘɪ2	
薛	ɕie7	
薛	ɕye7	
薩	sɑ1/ʂɑ1	
薪	ɕin1	
藥	yo7	
薯	su3/ʂu3	
薰	ɕyn1	
薰	ɕioŋ1	
薺	tɕi7	
藉	tɕie7	
藏	tsaŋ5/tʂaŋ5	西~
藏	tsʰuaŋ2/tʂʰuaŋ2	隐~
藐	miaɞ3	
藕	ŋəu3	
藤	tʰəin2	
藹	ŋæe3	
藿	xɤ̜7	
蘭	nã2	
蘸	tsã5/tʂã5	~墨
虎	xu3	
虐	yo7	
虑	ny7	
虔	tɕʰiẽ2	
虚	ɕy1	
虜	fuᶹ1	
虜	nu3	
虞	y2	
虫	tsʰoŋ2/tʂʰoŋ2	
虹	xoŋ2	彩~
虹	kaŋ5	現~了
雖	ɕy1	
蚕	tsʰã2/tʂʰã2	
蚤	tsaɞ3/tʂaɞ3	
蛆	tɕʰy1	
蛇	se2/ʂe2	
蛇	sɘɪ2	县内一派
蛋	tã5	
蛙	uɑ1	
蛛	tsu1/tʂu1	
蠻	mã2	
蟄	tsɿ7	惊~
蛾	o2	
蜀	su7/ʂu7	
蜂	foŋ1	
蜘	tsɿ1	
蜘	tsæ7/tʂæ7	
蜜	mi7	
蠅	in1	
蝗	xuaŋ2	
蝟	uɘɪ5	
蝠	fuᶹ7	
蝦	ɕiɑ1	
虱	sæ7/ʂæ7	
蝶	tie7	
融	ioŋ2	
螢	in2	
螺	no2	
蟀	so7/ʂo7	
蟆	mɑ1	
蟹	xæe5	
蟻	i3	
蟾	sã2/ʂã2	
蠍	ɕie7	
蠟	næ7	
蠢	tsʰuəin3/tʂʰuəin3	
血	ɕie7	
行	ɕin2	~为
行	ɕin5	品~
行	xaŋ2	外~,銀~
街	kæe1	
街	xã2	
衙	iɑ2	
衝	tsʰoŋ1/tʂʰoŋ1	
衡	xəin2	
衣	i1	
補	pu3	
表	piaɞ3	
衫	sã1/ʂã1	
袁	yẽ2	
袋	tæe5	
袍	pʰaɞ2	
袖	ɕiəu5	
袜	uæ7	
被	pi7	
裁	tsʰæe2/tʂʰæe2	
裂	nie7	
裂	tsɿ7	
裝	tsuaŋ1/tʂuaŋ1	
裌	tɕiæ7	
裕	y7	
裙	tɕʰyn2	
褲	kʰu7	
裱	piaɞ3	
裴	pʰɘɪ2	
裸	no3	
裹	ko3	
裹	ni3	
複	fuᶹ7	
褒	paɞ1	
褚	tsʰu3/tʂʰu3	
褥	zu7/ʐu7	
襄	ɕiaŋ1	
襖	ŋaɞ3	
襟	tɕin1	
襯	tsʰəin5/tʂʰəin5	
襲	ɕie7	
襲	ɕi7	
西	ɕi1	
要	iaɞ1	
要	iaɞ5	
覆	fuᶹ7	
見	tɕiẽ5	
規	kuɘɪ1	
覓	mi7	
視	sɿ7	
覺	kaɞ5	睡~
覽	nã3	
觀	kuã1	参~
觀	kuã5	寺~
角	kɤ̜7	
角	tɕyo7	三~钱
解	tɕie3	
解	tɕiẽ3	
解	kæe3	~索索
解	tɕiæe3	最老派
觸	tsu7/tʂu7	
言	iẽ2	
訃	pʰu7	
計	tɕi7	
訊	ɕyn5	
討	tʰaɞ3	
訓	ɕyn5	
託	tʰo7	
記	tɕi7	
訛	o2	
訝	iɑ5	
訟	soŋ5/ʂoŋ5	
訪	faŋ3	
設	sæ7/ʂæ7	
許	ɕy3	
訴	su7/ʂu7	
診	tsəin1/tʂəin1	
註	tsu7/tʂu7	
証	tsəin5/tʂəin5	
詐	tsɑ5/tʂɑ5	
詔	tsaɞ5/tʂaɞ5	
評	pʰin2	
詞	tsʰɿ2	
詠	yn5	
詫	tsʰɑ5/tʂʰɑ5	
詭	kuɘɪ3	
詰	tsɿ7	
話	xuɑ5	
該	kæe1	
詳	tɕʰiaŋ2	
誅	tsu1/tʂu1	
誆	kʰuaŋ1	
誇	kʰuɑ1	
譽	y7	
認	zəin5/ʐəin5	
誓	sɿ7	
誘	iəu3	
語	y3	
誠	tsʰəin2/tʂʰəin2	
誣	vuᶹ2	
誤	vuᶹ5	
誤	vuᶹ7	
誦	soŋ5/ʂoŋ5	
誰	suɘɪ2/ʂuɘɪ2	
課	kʰɤ̜7	
課	kʰɤ̜5	上~
誼	ni2	
調	tʰiaɞ2	
調	tiaɞ5	
談	tʰã5	
請	tɕʰin3	
諒	niaŋ5	
論	nəin5	
諜	tie7	
諧	ɕie2	
諧	ɕiæe2	最老派
諱	xuɘɪ5	
諷	foŋ3	
諸	tsu1/tʂu1	
諾	zo7/ʐo7	
謀	moŋ2	
謂	uɘɪ5	
謄	tʰəin2	
謊	xuaŋ1	
謎	mi2	
謙	tɕʰiẽ1	
講	tɕiaŋ3	
謝	ɕie7	
謡	iaɞ2	
謬	miəu5	
謾	mã5	
譏	tɕi1	
譜	pʰu3	
警	tɕin3	
譬	pʰɘɪ5	
譬	pʰi7	
譯	i7	
議	ni7	
讓	zaŋ5/ʐaŋ5	
詼	xuɘɪ1	
諉	uɘɪ5	
謝	sɘɪ5	县内一派
譚	tʰã2	
谷	ku7	
豆	təu5	
豉	sɿ7	
豌	uã1	~豆
豕	sɿ3	
豚	tʰəin2	
象	ɕiaŋ5	
豪	xaɞ2	
豫	y7	
豹	paɞ5	
豺	tsʰæe2/tʂʰæe2	
貂	tiaɞ1	
貉	no7	
貌	maɞ5	
貝	pɘɪ5	
貞	tsəin1/tʂəin1	
負	fuᶹ7	
財	tsʰæe2/tʂʰæe2	
貢	koŋ5	
貧	pʰin2	
販	fã5	
貪	tʰã1	
貫	kuã5	
責	tsæ7/tʂæ7	
貴	kuɘɪ5	
貶	piẽ3	
貸	tæe5	
費	fɘɪ5	
貼	tʰie7	
貿	moŋ5	
賄	xuɘɪ5	
資	tsɿ1	
賈	tɕiɑ3	
賈	ku3	
賒	se1/ʂe1	
賜	tsʰɿ7	
賞	saŋ3/ʂaŋ3	
賢	ɕiẽ2	
賤	tɕiẽ5	
質	tsɿ7	
賬	tsaŋ5/tʂaŋ5	
賴	næe5	
購	kəu5	
賽	sæe5/ʂæe5	
貨	xo7	
貨	xo5	百~
貳	ɚ5	
賀	xɤ̜7	
貽	i2	
賊	tsæ7/tʂæ7	
賃	nin5	
賂	nu7	
賦	fuᶹ7	
賠	pʰɘɪ2	
贅	tsuɘɪ5/tʂuɘɪ5	
賺	tsuã5/tʂuã5	
赞	tsã5/tʂã5	
贈	tsəin5/tʂəin5	
贏	in2	
赤	tsʰɿ7	
赦	sæ7/ʂæ7	
赫	xæ7	
走	tsəu3/tʂəu3	
赴	fuᶹ7	
赶	kã3	
起	tɕʰi3	
起	tɕi3	白，买~
趁	tsʰəin5/tʂʰəin5	
超	tsʰaɞ1/tʂʰaɞ1	
越	yo7	
趨	tɕʰy1	
趙	tsaɞ5/tʂaɞ5	
趟	tʰaŋ3	
趣	tɕʰy7	
足	tsu7/tʂu7	
趾	tsɿ3	
躍	iaɞ5	
躍	yo7	
跌	tie7	
跑	pʰaɞ3	
跛	po3	
跟	kəin1	
跡	tɕi7	
跨	kʰuɑ5	
跪	kuɘɪ5	
路	nu7	
跳	tʰiaɞ5	
踡	tɕʰyẽ1	~腿了
踢	tʰi7	
蹤	tsoŋ1/tʂoŋ1	
踱	to7	
躁	tsʰaɞ5/tʂʰaɞ5	
身	səin1/ʂəin1	
躬	koŋ1	
軀	tɕʰy1	
車	tsʰe1/tʂʰe1	
車	tɕy1	
軌	kuɘɪ3	
軍	tɕyn1	
軟	zuã3/ʐuã3	
軸	tsu7/tʂu7	
較	tɕiaɞ5	
載	tsæe5/tʂæe5	~重
載	tsæe3/tʂæe3	年~
輒	tsʰæ7/tʂʰæ7	
輔	pʰu3	
輕	tɕʰin1	
輛	niaŋ3	
輝	xuɘɪ1	
輦	niẽ3	
輪	nəin2	
輯	tɕi7	
輸	su7/ʂu7	
轄	ɕiæ7	
轉	tsuã3/tʂuã3	~运
轉	tsuã5/tʂuã5	~园圈
轍	tsʰæ7/tʂʰæ7	
轎	tɕiaɞ5	
轟	xoŋ1	
轡	pʰɘɪ5	
車	tsʰɘɪ1	县内一派
軻	kʰɤ̜1	
輜	tsɿ3	
轅	yẽ2	
轄	ɕiɑ5	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辣	næ7	
辨	piẽ5	
辮	piẽ5	
辯	piẽ5	
辰	səin2/ʂəin2	
辱	zu5/ʐu5	
辱	zu7/ʐu7	
邊	piẽ1	
遼	niaɞ2	
达	tɑ5	
达	tæ7	
迁	tɕʰiẽ1	
迂	y1	
迄	tɕʰi7	
迅	ɕyn5	
過	ko7	
邁	mæe5	
迎	in2	
运	yn5	
近	tɕin5	
迓	iɑ5	
还	xuã2	~原
進	tɕin5	
遠	yẽ3	
遲	tsʰɿ2	
迭	tie7	
迷	mi2	
迸	pəin5	
追	tsuɘɪ1/tʂuɘɪ1	
退	tʰuɘɪ5	
送	soŋ5/ʂoŋ5	
逃	tʰaɞ2	
逆	ni7	
選	ɕyẽ3	
透	tʰəu5	
逐	tsu7/tʂu7	
遞	ti7	
途	tʰu2	
逗	təu5	
通	tʰoŋ1	
逝	sɿ7	
逞	tsʰəin3/tʂʰəin3	
速	su7/ʂu7	
造	tsʰaɞ5/tʂʰaɞ5	
逢	foŋ2	
連	niẽ2	
逵	kʰuɘɪ2	
逸	i7	
逼	pi7	
逾	y2	
遁	təin5	
遂	ɕy7	
遇	y7	
遊	iəu2	
遍	pʰiẽ5	
遐	ɕiɑ2	
道	taɞ5	
違	uɘɪ2	
遥	iaɞ2	
適	sɿ7	
遭	tsaɞ1/tʂaɞ1	
遮	tse1/tʂe1	
遵	tsəin1/tʂəin1	
避	pi7	
避	pʰi7	
邀	iaɞ1	
邓	təin5	
邦	paŋ1	
邪	ɕie2	
邮	iəu2	
邵	saɞ5/ʂaɞ5	
郁	y7	
郁	yo7	
郎	naŋ2	
鄭	tsəin5/tʂəin5	
部	pu7	
郭	ko7	
都	tu1	
鄂	ŋɤ̜7	
鄒	tsəu1/tʂəu1	
鄙	pʰi3	
酉	iəu3	
酌	tso7/tʂo7	
配	pʰɘɪ5	
酒	tɕiəu3	
酥	su1/ʂu1	
酪	no7	
酬	tsʰəu2/tʂʰəu2	
醬	tɕiaŋ5	
酵	kaɞ5	豆~水
酷	kʰu7	
酸	suã1/ʂuã1	
醃	iẽ1	
醇	suəin2/ʂuəin2	
醉	tsuɘɪ5/tʂuɘɪ5	
醒	ɕin3	
醜	tsʰəu3/tʂʰəu3	
釅	niẽ5	
釉	iəu5	
釋	sɿ7	
里	ni3	
里	i3	白，~头
重	tsʰoŋ2/tʂʰoŋ2	~复
重	tsoŋ5/tʂoŋ5	~量
野	ie3	
量	niaŋ5	
釐	ni2	
金	tɕin1	
釘	tin1	~子
釜	fuᶹ3	
針	tsəin1/tʂəin1	
釣	tiaɞ5	
釧	tsʰuã1/tʂʰuã1	
釵	tsʰæe1/tʂʰæe1	
鈍	təin5	
鈞	tɕyn1	
鈴	nin2	
鐵	tʰie7	
鉋	paɞ5	
鉗	tɕʰiẽ2	
鉸	tɕiaɞ3	
銀	in2	
銅	tʰoŋ2	
銘	min2	
鋭	zuɘɪ5/ʐuɘɪ5	
銷	ɕiaɞ1	
銼	tso7/tʂo7	
鋒	foŋ1	
鋤	tsʰu2/tʂʰu2	
鋪	pʰu1	
鋪	pʰu7	
鋸	tɕy7	
鋼	kaŋ1	
錐	tsuɘɪ1/tʂuɘɪ1	
錘	tsʰuɘɪ2/tʂʰuɘɪ2	
錢	tɕʰiẽ2	
錫	ɕi7	
鍊	niẽ5	
錯	tsʰo7/tʂʰo7	
鍋	ko1	
鍛	tuã5	~練
鍾	tsoŋ1/tʂoŋ1	
鎖	so3/ʂo3	
鏟	tsʰuã3/tʂʰuã3	
鐘	tsoŋ1/tʂoŋ1	
鐮	niẽ2	
鐸	to7	
鑄	tsu7/tʂu7	
鑞	næ7	錫~
鑰	yo7	
鑽	tsuã1/tʂuã1	
釘	tin5	~住
鉤	kəu1	
鉢	po7	
鍘	tsæ7/tʂæ7	~刀
鏽	ɕiəu5	
錛	pəin1	
鍵	tɕiẽ5	
鍬	tɕʰiaɞ1	
鎮	tsəin5/tʂəin5	
鑷	nie7	~子
鎔	ioŋ2	
鏡	tɕin5	
長	tsʰaŋ2/tʂʰaŋ2	~短
長	tsaŋ3/tʂaŋ3	生~
門	məin2	
閂	suã5/ʂuã5	
閉	pi7	
閏	zuəin5/ʐuəin5	
閑	ɕiẽ2	
閒	ɕiẽ2	
間	tɕiẽ1	
間	tɕiẽ5	~断
閘	tsæ7/tʂæ7	
閣	kɤ̜7	
閻	niẽ2	
闊	kʰuæ7	
闖	tsʰuaŋ3/tʂʰuaŋ3	
闢	pʰi7	
閘	tsɑ5/tʂɑ5	
鬧	naɞ5	
閨	kuɘɪ1	
阜	foŋ3	曲~
隊	tuɘɪ5	
防	faŋ2	
陽	iaŋ2	
陰	in1	
阻	tsu3/tʂu3	
陀	tʰo2	
附	fuᶹ7	
際	tɕi5	
際	tɕi7	
陳	tsʰəin2/tʂʰəin2	
陋	nəu5	
降	ɕiaŋ2	~服
降	tɕiaŋ5	下~
限	ɕiẽ5	
陝	sã3/ʂã3	~西
陛	pɘɪ5	
陡	təu3	
院	uã5	
院	yẽ5	~子
陣	tsəin5/tʂəin5	
除	tsʰu2/tʂʰu2	
險	ɕiẽ3	
陪	pʰɘɪ2	
陵	nin2	
陶	tʰaɞ2	
陷	xã5	
陷	ɕiẽ5	
陸	nu7	
隆	noŋ2	
階	kæe1	
隨	suɘɪ2/ʂuɘɪ2	
隱	in3	
隔	kæ7	
隘	ŋæe5	
隙	ɕi7	
障	tsaŋ5/tʂaŋ5	
隧	ɕy7	
隴	noŋ3	
隶	ti7	
隻	tsɿ7	
難	nã2	~易
難	nã5	患~
雀	tɕʰyo7	
雁	ŋã5	
雄	ɕioŋ2	
雅	iɑ3	
雇	ku7	
雌	tsʰɿ2	
雍	ioŋ1	
雕	tiaɞ1	
讎	tsʰəu2/tʂʰəu2	
雨	y3	
雪	ɕye7	
零	nin2	
雷	nuɘɪ2	
雹	paɞ1	
需	ɕy1	
霄	ɕiaɞ1	
震	tsəin3/tʂəin3	
霍	xɤ̜7	
霎	sæ7/ʂæ7	
霜	suaŋ1/ʂuaŋ1	
霞	ɕiɑ2	
霧	vuᶹ7	
露	nu7	
霸	pɑ5	
霹	pʰi7	
靄	ŋæe3	
青	tɕʰin1	
靜	tɕin5	
非	fɘɪ1	
靠	kʰaɞ5	
靡	mɘɪ3	
面	miẽ5	
靨	ie7	洒~
革	kæ7	
靴	ɕy1	
鞋	xæe2	
鞘	ɕiaɞ5	
鞭	piẽ1	
韓	xã2	
韭	tɕiəu3	
音	in1	
韻	yn5	
韶	saɞ2/ʂaɞ2	
頂	tin3	
頃	tɕʰyn3	
順	suəin5/ʂuəin5	
頒	pã1	
頓	təin5	
頸	tɕin3	
頻	pʰin2	
顔	iẽ2	
願	yẽ5	
顛	tiẽ1	
顧	ku7	
項	xaŋ5	
须	ɕy1	
頑	uã2	
頌	soŋ5/ʂoŋ5	
預	y7	
領	nin3	
頗	pʰo3	
頽	tʰuɘɪ2	
題	tʰi2	
額	ŋæ7	
顴	tɕʰyẽ2	
颼	səu1/ʂəu1	
風	foŋ1	
飛	fɘɪ1	
食	sɿ7	
飢	tɕi1	
飲	in3	
飼	sɿ7	
飾	sɿ7	
餉	ɕiaŋ3	
餐	tsʰã1/tʂʰã1	
餘	y2	
館	kuã3	
餿	səu1/ʂəu1	饭~了
饑	tɕi1	
饒	zaɞ2/ʐaɞ2	
饞	tsʰã2/tʂʰã2	
飭	tsʰɿ7	
飯	fã5	
飽	paɞ3	
餅	pin3	
餓	o7	
首	səu3/ʂəu3	
香	ɕiaŋ1	
馬	mɑ3	
馮	foŋ2	
馱	tʰo2	
駁	po7	
駄	to7	~子
駕	tɕiɑ5	
駛	sɿ3	
駝	tʰo2	
駭	xæe5	
駱	no7	
騰	tʰəin2	
驅	ŋəu1	
驢	ny2	
馳	tsʰɿ2	
駒	tɕy1	
驗	niẽ5	
騎	tɕʰi2	
騷	saɞ1/ʂaɞ1	
騾	no2	
驟	tsʰəu5/tʂʰəu5	
骨	ku7	
骯	ŋaŋ1	
髒	tsuaŋ1/tʂuaŋ1	
髓	ɕy3	
高	kaɞ1	
鬃	tsoŋ1/tʂoŋ1	
鬆	soŋ1/ʂoŋ1	
鬍	xu2	
鬚	ɕy1	
鬥	təu5	
鬱	y7	忧~
鬼	kuɘɪ3	
魁	kʰuɘɪ1	
魄	pʰæ7	
魏	uɘɪ5	
魔	mo2	
鮮	ɕiẽ1	
魚	y2	
魯	nu3	
鮁	po7	
鮑	paɞ5	
鮮	ɕyẽ1	
鯉	ni3	
鯽	tɕi7	
鱷	ŋɤ̜7	
鰥	kuã1	
鱗	nin2	
鳥	niaɞ3	
鳩	tɕiəu1	
鳴	min2	
鷄	tɕi1	
鴉	iɑ1	
鴨	iɑ5	
鴨	iæ7	
鴻	xoŋ2	
鵝	o2	
鵡	vuᶹ3	
鵲	tɕʰyo7	
鶉	suəin2/ʂuəin2	
鶴	xɤ̜7	
鷹	in1	
鹹	xã2	
鹽	iẽ2	
鹿	nu7	
麥	mæ7	
麻	mɑ2	
黃	xuaŋ2	
黍	su3/ʂu3	
黎	ni2	
黏	tsã1/tʂã1	
黑	xæ7	
默	mæ7	
黴	mɘɪ2	
鼎	tin3	
鼓	ku3	
鼠	su3/ʂu3	
鼻	pi7	
齊	tɕʰi2	
齒	tsʰɿ3	
龍	noŋ2	
龜	kuɘɪ1	
