#漢字	音標	解釋
□	ki5	近指代词
影	iŋ3	
役	ɦyøʔ8	
徹	tɕʰieʔ7	
彼	pi3	
往	ʋɤ̃3	
征	tɕiŋ1	
徑	tɕiŋ1	
待	de6	
很	ŋʌŋ3	
律	leʔ8	
徐	dʑy2	
徒	du2	
得	təʔ7	~意
徛	ɡe6	~立
御	ɦy6	
循	ʑioŋ2	
微	ʋi2	
德	təʔ7	
徽	fai1	
心	ɕiŋ1	
必	peʔ7	
憶	i5	
忍	ɕioŋ3	
志	tsɿ5	
忘	ʋɤ̃2	
忙	mɤ̃2	
忠	tɕioŋ1	
憂	iɯ1	
快	kʰue5	
念	ni6	
忽	hoʔ7	
忿	ʋʌŋ3	
懷	ʋe2	
態	tʰe5	
慫	soŋ3	~恿
怒	ɕy3	
怒	nu6	
怕	pʰa5	
怖	pu5	
憐	li1	
思	sɿ1	
怠	de6	
急	tɕieʔ7	
性	ɕiŋ5	
怨	ʏ5	
怪	kue5	
怯	tɕʰieʔ7	
總	tsoŋ3	
恃	dzɿ2	
戀	li1	
恐	kʰoŋ3	
恆	ɦʌŋ2	
恢	fai1	
恤	ɕyøʔ7	
恨	ɦʌŋ6	
恩	ʌŋ1	
恭	koŋ1	
息	ɕieʔ7	
恰	tɕʰieʔ7	文
恰	kʰəʔ7	白
懇	kʰʌŋ3	
恶	oʔ7	善~,凶~
惱	ŋɔ3	
悉	ɕieʔ7	
悔	fai5	
悟	ʋu6	
悠	iɯ1	
患	ʋe6	
懸	ɦi2	
憫	miŋ3	
悲	pai1	
情	dʑiŋ2	
驚	tɕiŋ1	
惑	ɦoʔ8	
惜	ɕieʔ7	
惟	ʋi2	
惠	ʋai6	
懼	dʑy6	
慘	tsʰe3	
懲	dʑiŋ2	
慚	dze2	
慣	kue5	
惰	du6	
想	ɕiɤ̃3	
愁	dzɛu2	
愈	y3	
愉	y1	
意	i5	
愕	ŋoʔ8	
愚	ɦy2	
感	ke3	
愣	lʌŋ2	
憤	ʋʌŋ3	
愧	kʰuai5	
願	ɦʏ6	
慈	zɿ2	
慌	fɤ̃1	
慎	ʑioŋ6	
慢	me6	
慧	ʋai6	
慨	kʰe5	
慰	ʋai3	
慷	kʰɤ̃1	
憋	peʔ7	
憎	tsʌŋ1	
憨	he1	
憾	he5	
懂	toŋ3	
懊	ɔ5	~悔,~恼
懶	le3	
懵	moŋ3	~懂
戊	ʋu6	
戌	ɕʏ5	
戌	ɕyøʔ7	
戎	dzoŋ2	~马生涯
戲	sɿ5	
成	dʑiŋ2	
我	ŋo5	
戒	tɕie5	
戰	tɕi5	
戚	tɕʰieʔ7	
截	dʑieʔ8	
戳	tɕʰyøʔ7	
戴	te5	
戶	ʋu6	
房	ʋɤ̃2	
所	so3	派出~
扁	pi3	
扇	ɕi5	
手	ɕiɯ1	
