#漢字	音標	解釋
㓤	kʰiak7	【替字】生氣。~氣走，悻悻地離開。
忐	tʰam3	
忑	tʰit7	
忒	tʰiet7	
忒	tʰiet8	
忓	kon1	
忔	hit7	
忔	ȵet7	
忖	tsʰun5	
志	tʃɿ5	
忘	voŋ5	
忙	moŋ2	
忝	tʰiam3	
忞	min2	
忠	tʃuŋ1	
忡	tʃʰuŋ1	
忤	ŋ̍3	
忨	ŋan5	
忩	tsʰuŋ1	
忪	tʃuŋ1	
快	fai5	
快	kʰuai5	
忬	i5	
忭	pʰien5	
忮	tʃɿ5	
忱	ʃim1	
忲	tʰai5	
忳	tʰun2	
念	niam5	
忶	fun2	
忸	nuk8	
忹	im5	
忹	nim5	
忺	tsɿ5	
忻	hiun1	
忼	hoŋ2	【替字】吼。狗~人。
忼	kʰoŋ3	
忽	fut7	
忿	fun5	
怊	tʃʰau1	
怍	tsʰok8	
怎	tsen1	
怏	ioŋ3	
怐	kʰeu5	
怒	nu5	
怓	nau2	
怔	tʃin1	
怕	pʰa5	
怖	pu5	
怗	tʰiap7	
怙	fu3	
怚	tsɿ1	
怛	tat7	
思	sɿ1	
思	sɿ5	
怞	tsʰiu5	
怟	ti5	
怠	tʰai5	
怡	i2	
怤	fu1	
急	kip7	
急	kʰip8	
怦	pʰin2	
性	siaŋ5	
性	sin5	
怨	ian5	
怩	ni2	
怪	kuai3	
怪	kuai5	
怬	si5	
怭	pit7	
怮	iu2	
怯	kʰiap7	
怱	tsʰuŋ1	
怲	piaŋ3	
怳	foŋ3	
怵	tʃʰot7	
怵	tʰut7	
恀	tʃʰɿ3	
恀	tʃʰi3	
恁	im5	
恁	nim5	
恂	sun2	
恃	ʃɿ5	
恅	lau3	
恆	hen2	
恇	kʰioŋ1	
恊	hiap8	
恌	tʰiau1	
恍	foŋ3	
恐	kʰiuŋ3	
恑	kui3	
恆	hen2	
恔	hau5	
恕	ʃu5	
恗	kʰua5	
恙	ioŋ5	
恚	fi5	
恚	fui5	
恛	fi2	
恛	fui2	
恝	kʰat7	
恞	i2	
恠	kuai3	
恢	foi1	
恣	tsɿ5	
恤	sit7	
恥	tʃʰɿ3	
恥	tʃʰi3	
恧	nuk7	
恨	hen5	
恩	en1	
恪	kok7	
恫	tʰuŋ2	
恬	tʰiam2	
恭	kiuŋ1	
息	sit7	
恰	kʰap7	
恾	moŋ2	
恿	iuŋ3	
悁	kian1	
悃	kʰun3	
悅	iat8	
悆	i2	
悈	kiai5	
悉	sit7	
悋	nin5	
悋	lin5	
悌	tʰi5	
悍	hon5	
悎	hau5	
悑	pu1	
悒	ip7	
悔	fi5	
悔	fui5	
悖	pʰut7	
悖	pʰut8	
悚	suŋ3	
悚	tsʰet7	
悛	tsʰien2	
悛	tsun5	
悜	tʃʰin3	
悞	ŋu5	
悟	ŋu5	
悠	iu2	
患	fam1	
患	fam5	
悤	tsʰuŋ1	
您	nen2	
您	nin2	
悰	tsʰuŋ1	
悱	fi3	
悱	fui3	
悲	pi1	
悲	pui1	
悴	tsʰui5	
悵	tʃʰoŋ5	
悶	mun3	
悷	lui5	
悸	ki5	
悸	kui5	
悹	kuon3	
悺	kuon3	
悻	hen5	
悼	tʰau5	
悽	tsʰi1	
悾	kʰuŋ1	
惄	nit8	
情	tsʰin2	
惆	tʃʰu2	
惆	tʃʰiu2	
惇	tun1	
惈	kuo3	
惉	tʃam1	
惋	van3	
惎	kʰi5	
惏	lam2	
惑	fet8	
惓	kʰian2	
惓	kʰian3	
惔	tʰam2	
惕	tʰit7	
惖	tʰit7	
惗	niap7	
惘	voŋ3	
惙	tot7	
惚	fut7	
惛	fun1	
惜	siak7	
惜	sit7	
惟	vi2	
惟	vui2	
惠	fi3	
惠	fui5	
惡	ok7	
惡	vu5	
惢	so3	
懼	kʰi3	
惰	tʰo5	
惱	nau1	
想	sioŋ3	
惴	tʃui5	
惴	nion1	
惵	tʰiap8	
惶	foŋ2	
惸	kʰiun2	
惹	nia1	
惹	nia2	
惹	nia5	
惺	siaŋ3	
惻	tsʰet7	
惼	pien3	
愀	tsʰiau3	
愁	seu2	
愆	kʰian1	
愈	i5	
愉	i2	
愊	pit7	
愋	sien1	
愋	hien1	
愍	men1	
愎	puk7	
意	i5	
愒	kʰe5	
愓	tʰoŋ3	
愔	im1	
愕	ŋok8	
愖	ʃim1	
愖	ʃim3	
愚	ȵi2	
愛	oi5	
愜	kʰiap7	
愜	kiap7	
愜	hiap7	
感	kam1	【替字】本字爲「監」。強迫。~你來，逼你來。
感	kam3	
慍	vun3	
愢	sɿ1	
愧	kʰui3	
愨	kʰok7	
愫	sɿ5	
愭	kʰi2	
愮	iau2	
愰	foŋ3	
愲	kut7	
愳	kʰi3	
愴	tsʰoŋ1	
愶	hiap8	
愷	kʰoi3	
愺	tsʰau3	
愻	sun5	
愽	pok7	
愿	nian5	
慁	fun5	
慂	iuŋ3	
慃	vuŋ3	
慄	lit8	
慅	sau1	
慆	tʰau1	
慇	in1	
慈	tsʰɿ2	
慉	hiuk7	
態	tʰai5	
慌	foŋ3	
愼	sem3	
慕	mu5	
慘	tsʰam3	
慙	tsʰam2	
慚	tsʰam2	
慝	nit8	
慞	tʃoŋ1	
慟	tʰuŋ5	
慠	ŋau5	
慢	man5	
慣	kuan5	
慥	tsʰau5	
慧	fi5	
慨	kʰoi3	
慫	suŋ3	
慬	kʰiun2	
慮	li5	
慰	vi3	
慰	vui3	
慱	tʰon2	
慴	niap7	
慵	iuŋ2	
慶	kʰiaŋ5	厲害。
慶	kʰin5	
慷	kʰoŋ3	
慸	tai5	
慸	ti5	
慹	tʃip7	
慹	tʃit7	
慺	leu2	
慻	kian5	
慼	tsʰit7	
慽	tsʰit7	
慾	iuk8	
憀	liau2	
憁	tsuŋ3	
憂	iu2	
憃	tʃuŋ1	
憇	tʰiam2	
憊	pʰai5	
憋	piet7	
憍	kiau1	
憎	tsen1	
憐	lin2	
憑	pʰin2	
憒	kʰui5	
憓	fi5	
憓	fui3	
憔	tsiau1	
憖	niun5	
憗	niun5	
憘	hi3	
憚	tʰan3	
憝	tui5	
憞	tui5	
憟	siuk7	
憣	fan1	
憤	fun5	
憧	tʃʰuŋ1	
憨	ham1	愚蠢。~聲~聲聽毋識，有些笨聽不懂。半~子，有些蠢的人。
憩	kʰi5	
憩	kʰe5	
憪	han2	
憫	men1	
憬	kin3	
憭	liau2	
憮	vu3	
憯	tsʰam3	
憰	kiet7	
憲	hien3	
憴	ʃun2	
憶	i5	
憷	tsʰɿ3	
憸	siam2	
憹	nuŋ2	
憺	tʰam5	
憽	suŋ1	
憾	ham5	
懂	tuŋ3	
懃	kʰiun2	
懅	ki3	
懆	tsʰau5	
懇	kʰen3	
懈	hai5	
懈	hai3	
應	en5	
應	in1	
應	in5	
懊	au3	
懋	meu5	
懌	it8	
懍	lim3	
懎	sep7	
懏	tsun5	
懷	fai2	
懗	ha5	
懛	tʰoi2	
懜	muŋ2	
懜	muŋ5	
懟	tui5	
懠	tsi5	
懢	lam5	
懣	mun3	
懦	no5	
懩	ioŋ3	
懫	tʃɿ5	
懭	kʰuoŋ3	
懮	iu2	
懯	fu1	
懰	liu2	
懲	tʃin3	
懵	muŋ2	
懵	muŋ5	
懶	lan1	
懷	fai2	
懸	hien2	
懺	tsʰam5	
懻	ki3	
懼	kʰi3	
懽	fon1	
懽	fan1	
懾	niap7	
懿	i5	
戀	lien5	
戁	nan3	
戄	kʰiok7	
戇	ŋoŋ5	
戇	tʃoŋ5	
戇	ŋoŋ1	
戈	kʰo1	
戉	iat8	
戊	vu5	
戌	sut7	
戍	ʃu5	
戎	iuŋ1	
成	ʃaŋ2	
成	ʃin2	
成	tʃaŋ5	
我	ŋa1	我的。
我	ŋai2	
我	ŋoi2	
我	ŋo1	【文】
戒	kiai5	
戔	tsien1	
戕	tsʰoŋ2	
或	fet8	
戙	tʰuŋ5	
戚	tsʰit7	
戟	kit7	
戡	kʰam1	
戢	sip8	
戢	tsʰip8	
戣	kʰui2	
戥	ten3	
戥	tin3	
戩	tsien3	
截	tsʰiet7	
戭	in3	
戮	liuk8	
戱	hi5	
戰	tʃan5	
戲	hi5	
戳	tsʰok7	
戴	tai5	
戶	fu5	
戽	fu5	
戾	lui5	
房	foŋ2	
所	so3	
扁	pien3	
扂	tiam5	
扃	kuen1	
扄	ʃoŋ3	
扅	i2	
扆	i3	
扇	ʃan5	
扈	fu3	
扉	fi1	
扉	fui1	
扊	iam3	
手	ʃu3	
手	ʃiu3	
才	tsʰoi2	
扎	tsap7	
扐	let8	
扐	net8	
扒	pai5	
打	ta3	
扔	in2	
托	tʰok7	
扛	koŋ1	
扜	i1	
扞	hon5	
扠	tsʰa1	
扡	tʰo1	
扢	kut7	
扣	kʰeu5	
扣	kep7	【替字】蓋。
扣	kʰep7	【替字】蓋。
扣	kʰem2	【替字】蓋。~蓋子。裙頭下~緊，躲在圍裙下。
扣	kem1	【替字】蓋。
扣	kem3	【替字】蓋。鑊頭~等來，鍋蓋住。玻璃~盅，玻璃罩。
扦	tsʰien1	
扭	neu3	
扭	niu2	
扭	niu3	
扭	niu5	
扮	pan5	
扯	tʃʰa1	
扯	tʃʰa3	
扱	tsʰap7	
扱	kiak7	取、除去。窗~開來，打開窗。~開來，拿開、除去。
扳	pan1	
扵	i1	
扶	fu2	
扶	pʰu2	
扶	kʰu5	【訓讀】本字可能是「尌」。拄拐丈。
批	pʰi1	
扻	kʰam3	
扼	ak7	
扼	nak8	
扼	nak7	
找	tsau3	
承	ʃin2	
技	kʰi3	
抃	pʰien5	
抄	tsʰau1	
抅	keu1	
抈	ȵet8	
抉	kiet7	
把	pa2	
把	pa3	
抍	tʃin1	
抎	iun3	
抐	nap8	
抑	it7	
抒	ʃu3	
抓	tsau3	
抔	pʰiau1	
投	tʰeu2	
投	tʰeu5	
抖	teu3	
抖	ʃu1	
抖	ʃiu1	
抗	kʰoŋ5	
折	tʃat7	
折	tsʰak7	
抙	pʰiau1	
抦	piaŋ1	
抦	pin3	
抨	pin3	
抪	pu5	
披	pʰi1	
抬	tʰoi2	
抯	tsa1	
抰	ioŋ3	
抱	pʰau5	
抳	ni3	
抵	tai1	
抵	tai3	
抵	ti3	
抵	tin3	
抶	tʃit7	
抷	pʰiau1	
抸	hiap8	
抸	kiap8	
抸	kʰiap8	
抸	tsep7	【重定向】僅用手指前部抓。
抹	mat7	
押	ap7	
抽	tʃʰu1	
抽	tʃʰiu1	
抾	kiap7	
抿	men3	
拀	tʃuk7	
拂	fut7	
拂	fit7	【重定向替字】丟棄。
拃	tsak7	
拄	tʃu5	
拆	tsʰak7	
拇	mu3	
拇	meu3	
拈	niam1	
拉	la1	
拉	la3	
拉	lai1	
拉	lai2	
拉	lat7	
拊	fu5	同「撫」。撫摸、安撫、輕拍。
拊	fu1	
拋	pʰau1	
拌	pʰan1	
拌	pʰan2	
拍	pʰok7	
拏	na1	
拐	kuai2	
拐	kuai3	
拑	kʰiam2	①鉗制、夾。~菜，夾菜。~人過河，背人過河。②被扒上、被纏上。烏蠅~倒一身，惹了一身蒼蠅。
拒	ki3	
拓	tʰok7	
拔	pʰat8	
拕	tʰo1	
拖	tʰo1	
拖	tʰo5	
拗	au3	
拗	au5	
拗	eu2	
拘	ki1	
拙	tʃot7	
拚	pʰien5	
拚	fin5	【替字】甩。~頭，搖頭。
拚	min5	
招	tʃau1	
拜	pai5	
拫	hen2	
括	kuat7	
拭	tʃʰit7	
拭	tsʰut8	
拭	tsʰit7	
拮	kiet7	
拯	tʃin1	
拱	kiuŋ3	
拱	kuŋ3	
拲	kiuŋ3	
拳	kʰian2	
拴	tsʰien2	
拶	tsat7	
拷	kʰau5	
拷	kʰau3	
拼	pin5	
拼	pin3	
拾	ʃip8	
拿	na1	
持	tʃʰɿ2	
持	tʃʰi2	
挂	kua5	
挅	to3	
挆	to3	
指	tʃɿ3	
挈	kʰe5	
按	on5	
挌	ket7	
挍	kau3	
挏	tʰuŋ2	
挐	na1	
挑	tʰiau1	
挒	liet8	
挓	tsa1	
挖	va1	
挖	vat7	
挨	ai1	
挨	iai1	
挪	no2	
挫	tsʰo5	
振	tʃin3	
挱	so1	
挲	so1	
挷	paŋ1	【替字】本字應是「㧍繃」，重定向至「㧍」。拉、拔。
挷	poŋ1	
挹	ip7	
挺	tʰin3	
挺	tʰiaŋ3	
挻	ʃan1	
挻	ian2	
挼	no2	
挽	van3	
挽	van1	
挾	hiap8	
挾	kiap8	
挾	kʰiap8	
插	tsʰap7	
捂	ŋu5	
捄	ki1	
捄	kiu2	
捅	tʰuŋ3	
捆	kʰun3	
捉	tsok7	
捉	tsuk7	
捊	pʰiau1	
捋	lot7	
捌	pat7	
捍	hon5	
捎	sau1	
捏	niap7	
捐	kian1	
捒	suŋ3	
捓	ia2	
捔	kok7	
捕	pʰu5	
捖	van2	
捘	tsun3	
捥	van3	
捧	puŋ3	
捨	ʃa3	
捩	liet8	
捪	men3	
捫	mun2	
捬	vu3	
捭	pʰai2	
捯	tau3	
捯	tau5	
捱	ŋai5	
捱	ai1	
捲	kian3	
捲	kʰian2	
捴	iap7	
捵	tien3	
捶	tʃʰui2	
捷	tsʰiap8	
捺	nat7	
捺	nak7	
捻	niap7	
捻	iap7	
捻	pan5	
捼	no2	
捽	tsʰut7	
捾	kuon3	
掀	hien1	
掂	tiam1	
掃	sau5	
掄	lun2	
掆	koŋ1	
掇	tot7	
授	ʃu3	
授	ʃiu3	
掉	tʰiau5	
掉	tsʰau5	【替字】本字爲「耖」。翻找。
掊	pʰiau1	
掌	tʃoŋ3	
掍	kun3	
掏	tʰau1	
掐	kʰap7	
掐	kʰat8	【替字】應是象聲詞。①夾、剪。門~倒手。②卡住。肚裏有麼个~等了，裏面有什麼卡住了。③磨。鞋頭~腳。④拔、掙脫。~脫。⑤刮。~火柴。⑥砍。~價。⑦爭吵。兩傞~穩，兩個人正在爭吵。
排	pʰai2	
掔	kʰian1	
掖	it8	
掘	kʰiut7	
掘	kʰut8	
掙	tsen5	
掛	kua5	
掞	iam3	
掠	liok8	
採	tsʰai3	
探	tʰam3	
探	tʰam5	
掣	tʃʰat7	
接	tsiap7	
控	kʰioŋ5	
控	kʰuŋ5	
推	tʰoi1	
推	tui3	
推	tʰui1	
推	tʰui2	
推	tsʰui1	
掩	iam3	
掩	im5	
措	tsʰɿ5	
措	tʃʰu5	
掫	tseu1	
掬	kʰiuk7	
掭	tʰiam5	
掯	kʰen3	
掽	pʰaŋ5	
掾	ian5	
揀	kian3	
揂	tsiu3	
揃	tsien5	
揄	i2	
揆	kʰui2	
揉	iu2	
揌	sai1	
揎	sien1	
描	miau2	
提	tʰi2	
揑	niap7	
插	tsʰap7	
揖	ip7	
揗	sun2	
揙	pien3	
揙	pien1	
揚	ioŋ2	
換	fon5	
換	von5	
揜	iam3	
揝	tsam5	
揞	em1	捂(嘴)。~啜。
揞	am1	【替字】趴。打~仆，趴着。
揠	iat7	
握	vok7	
握	put7	
握	vut7	
揢	kʰak8	抓握。
揣	tʃui5	
揣	tʃʰui5	
揣	tsʰui5	
揥	tʰi5	
揥	ti5	
揦	lat8	
揩	kiai1	
揪	tsiu1	
揪	tsiu3	
揫	tsiu3	
揬	tut7	
揬	tʰut7	
揭	iat7	
揮	fi1	
揮	vun3	
揰	tʃʰuŋ5	
揱	sok7	
揲	ʃat7	
揳	siet7	
援	ian1	
揵	kʰian3	
揶	ia2	
揶	iak8	【替字】招晃。~手，招手。
揸	tsa1	
搵	vut8	
搆	keu5	
搇	kʰim3	
搊	tsʰeu1	
搋	ia2	
損	sun3	
搏	pok7	
搐	hiuk7	
搓	tsʰai1	
搓	tsʰo1	
搔	tsau3	
搕	kʰap8	
搖	iau2	
搗	tau3	
搗	tau5	
搘	tʃɿ1	
搜	seu1	
搞	kau3	
搠	sok7	
搠	ʃok7	
搡	soŋ3	
搢	tsin5	
搣	met7	
搤	ak7	
搥	tʃʰui2	
搦	nit8	
搧	ʃan5	
搨	tʰap7	
搫	pʰan2	
搬	pan1	
搭	tap7	
搯	tʰau1	
搲	va1	
搴	kʰian1	
搵	vun5	
搵	vut8	
搶	tsʰioŋ3	
搷	tʰien2	
携	hi1	
搽	tsʰa2	
搾	tsa5	
攄	ʃu1	
摍	suk7	
摎	keu1	
摏	tʃuŋ1	
摐	tsʰuŋ1	
摑	kuet8	
摒	pin5	
摓	fuŋ2	
摔	sut7	
摘	tsak7	
摙	lien3	
摜	kuon5	
摝	luk8	
摝	liuk7	
摞	lo2	
摟	leu5	
摟	leu3	
摠	tsuŋ3	
摧	tsʰui1	
摩	mo2	
摫	kui1	
摭	tʃak7	
摮	ŋau5	
摳	kʰeu1	
摳	kʰeu2	
摴	ʃu1	
摵	tsʰit7	
摶	tʰon2	
摷	tsʰau1	
摸	mo1	
摸	mio1	
摸	mok7	
摹	mu2	
摺	tʃap7	
摻	tsʰam1	
摽	piau1	
撅	kʰiet7	
撆	pʰiet7	
撇	pʰiet7	
撈	leu2	
撉	tun1	
撉	tun5	
撊	han3	
撋	nio1	
撎	ip7	
撏	tsʰim2	
撐	tsʰaŋ5	塞。~釀腸，塞香腸。~tsat7 tsat7，把東西塞到沒空隙爲止。
撑	tsʰaŋ5	
撒	sat7	
撒	sot7	
撓	nau2	
撓	niau3	
撕	sɿ1	
撗	kuok7	
撘	tap7	
撙	tsun3	
撚	nian3	
撞	tsʰoŋ5	
撟	kiau3	
撠	kit7	
撢	tʰam3	
撣	tʰan3	
撤	tʃʰat7	
撥	pat8	
撥	pat7	
撦	tʃʰa3	
撦	tʃʰa1	
撩	liau2	
撫	vu3	
撬	kʰe3	
撬	kʰiau5	
播	po5	
撮	tsep7	【替字】本字應爲「抸」。用手指前部抓。
撮	tsʰot7	①聚、取。~要，摘要。~箕，形似小勺的收集穀物的工具。②玩弄、騙。~把戲，耍把戲。~假，弄虛作假。~子，扒手。
撰	sien3	
撱	tʰo3	
撲	pʰok7	
撻	tat7	
撼	ham5	
撽	kʰau5	
撾	kʰo1	
撿	kiam3	
擀	kon5	
擁	iuŋ3	
擂	lui1	
擂	lui2	
擄	lu1	
擅	ʃan3	
擅	tʃʰan3	
擇	tsʰet8	
擈	pʰok7	
擊	kit7	
擋	toŋ3	
操	tsʰau1	
擎	kʰia2	【替字】①舉、扛。~上肩。②安排。~人个事，安排別人的事務。做事橫橫~，做事謹慎。
擎	kʰiaŋ2	
擐	fan2	
擒	kʰim2	
擓	kʰuai1	
擔	tam1	
擔	tam5	
擕	hi1	
擖	kʰia5	
擖	kʰiet8	
擗	mak7	
擗	pak7	
擘	mak8	
擘	mak7	
擘	pak7	
擙	au3	
據	ki3	
擠	tsi1	
擠	tsi5	
擡	tʰoi2	
擢	tsʰok7	
擣	tau3	
擣	tau5	
擤	sen3	
擦	tsʰat7	
擩	nio1	
擬	ȵi3	
擯	pin5	
擰	nen2	
擱	kok7	
擲	tʃʰit7	
擳	tsiet8	
擴	kʰuok7	
擵	mo2	
擷	kiet7	
擸	lap8	
擸	liap8	
擹	tʰan1	
擺	pai1	
擺	pai3	
擻	seu3	
擾	iau1	
擿	tʃʰit7	
擿	tʰit7	
攀	pan1	
攁	ioŋ3	
攂	lui1	
攂	lui2	
攄	ʃu1	
攅	tson1	
攆	lien3	
攋	lat8	
攎	lu1	
攎	lu2	
攏	luŋ1	
攔	lan2	
攖	in1	
攘	ioŋ2	
攙	tsʰam1	
攛	tsʰon5	
攜	hi1	
攝	niap7	
攝	iap7	
攞	lo1	
攢	tson1	
攤	tʰan1	
攩	toŋ3	
攩	tuŋ3	
攪	kau3	同「搞」。①弄。②玩。
攪	kiau3	
攫	kʰiok7	
攬	nam1	
攬	nam3	
攬	lam3	
攬	lam1	
攮	noŋ3	
支	tʃɿ1	
攰	kʰui5	
收	ʃu1	
收	ʃiu1	
攷	kʰau3	
攸	iu2	
改	koi3	
改	koi5	
攺	koi3	
攻	kuŋ1	
放	foŋ5	
放	pioŋ5	
政	tʃin5	
敃	men3	
故	ku5	
效	hau5	
敉	mia1	
敏	men1	
救	kiu5	
敓	tʰot8	
敕	tʃʰit7	
敕	sok7	
敖	ŋau2	
敗	pʰai5	
敘	si5	
敎	kau1	
敎	kau5	
敜	niap7	
敝	pi5	
敞	tʃʰoŋ3	
敢	kam3	
散	san3	
散	san5	
散	saŋ1	
敦	tun1	
敧	kʰi1	
敫	kit7	
敬	kin5	
敲	kʰau5	
敲	kʰau1	
敲	kʰiau1	
整	tʃaŋ3	
整	tʃin3	
敵	tʰit8	
敷	fu1	
數	sɿ5	
數	sɿ3	
數	si5	
敹	liau2	
敼	ʃan5	
敽	kiau3	
斁	tu5	
斃	pi5	
斆	hau5	
斆	hok8	
文	vun2	
斋	tsai1	
斌	pin1	
斐	fi3	
斐	fui3	
斑	pan1	
斒	pan1	
斕	lan2	
斗	teu3	
料	liau3	
斛	fuk8	
斜	sia2	
斜	tsʰia5	
斝	ka5	
斞	i3	
斟	tʃim1	
斡	vat7	
斤	kin1	
斥	tʃʰit7	
斧	pu3	
斫	tʃok7	
斬	tsam3	
斮	tsʰok7	
斯	sɿ1	
新	sin1	
斱	tʃok7	
斲	tok8	
斷	ton3	
斷	tun3	
斷	ton5	
斷	tʰon1	
斷	tʰon2	
斸	tʃuk7	
方	foŋ1	
於	i1	
施	ʃɿ1	
斾	pʰi5	
斾	pʰui5	
斿	iu2	
旁	pʰoŋ2	
旂	kʰi2	
旃	tʃan1	
旄	mau2	
旅	li3	
旆	pʰi5	
旆	pʰui5	
旇	pʰi1	
旉	fu1	
旋	sien2	
旋	tsʰion5	
旌	tsin1	
旎	ni3	
族	tsʰuk8	
旐	tʃʰau5	
旒	liu2	
旖	i3	
旗	kʰi2	
旛	fan1	
旝	kʰuai5	
旟	i2	
无	vu2	
既	ki5	
旣	ki5	
日	ȵit8	
旦	tan5	
旨	tʃɿ3	
早	tsau3	
旬	sun2	
旭	hiuk7	
旰	kon5	
旱	hon1	
暘	ioŋ2	
旺	voŋ5	
旻	men2	
昂	ŋoŋ1	
昃	tset7	
昄	pan3	
昆	kʰun1	
昇	ʃin1	
昉	foŋ3	
昊	hau1	
昌	tsʰoŋ1	
明	miaŋ2	
明	min2	
昏	fun1	
易	i5	
易	it8	
昔	sit7	
昕	hiun1	
昞	piaŋ3	
星	sen1	
星	siaŋ1	
星	sin1	
映	iaŋ3	
春	tʃʰun1	
昧	mi3	
昨	tsʰam5	【合音】應是「昨晚」的合音。~晡日，昨天。
昨	tsʰok8	【文】
昪	pʰien5	
昫	hi1	
昬	fun1	
昭	tʃau1	
昭	ʃau1	
是	ʃɿ5	
昱	iuk7	
昳	tiet7	
昶	tʃʰoŋ3	
昺	piaŋ3	
時	ʃɿ2	
時	ʃi2	
晃	foŋ3	
晅	sien1	
晈	kau3	
晉	tsin5	
晊	tʃit7	
晉	tsin5	
晌	ʃoŋ3	
晌	hioŋ5	
晏	on5	
晐	koi1	
曬	sai5	
晚	van1	
晛	hien3	
晝	tʃu5	
晝	tʃiu5	
晞	hi1	
晟	ʃin5	
晠	ʃin5	
晡	pu1	
晢	tʃat7	
晣	tʃat7	
晤	ŋu5	
晥	fon3	
晦	fi5	
晦	fui5	
晨	ʃin2	
晬	tsʰui5	
普	pʰu1	
景	kin3	
晰	sit7	
晲	fon3	
晳	sit7	
晴	tsʰiaŋ2	
晴	tsin1	
晶	tsin1	
晷	kui3	
智	tʃɿ5	
晻	iam3	
晾	lioŋ5	
暆	i2	
暇	ha3	
暈	iun5	
暉	fi1	
暉	fui1	
暋	men3	
暌	kʰui2	
暍	iat7	
暎	iaŋ3	
暏	tu5	
暐	vi3	
暐	vui3	
暑	tʃʰu3	
暑	ʃu3	
暖	non1	
暗	am5	
暗	em3	【替字】①灰暗。天~tʰem5，天灰暗。②變形。~tʰem5竹，變形、髒破的竹子。~背駝，駝背。
暘	ioŋ2	
暝	men2	
暢	tʃʰoŋ3	
暫	tsʰiam5	
暮	mu5	
暱	nit8	
暳	fi5	
暳	fui5	
暴	pʰau5	
暵	hon3	
暸	liau2	
暹	siam2	
暾	tun1	
曀	i5	
暨	kʰoi3	
曆	lak8	
曇	tʰam2	
曈	tʰuŋ2	
曉	hiau3	
曒	kau3	
曖	oi5	
曗	niap7	
曗	iap7	
曙	ʃu5	
曚	muŋ2	
曛	hiun1	
曜	iau5	
曝	pʰok7	
曠	kuoŋ3	
曠	kʰoŋ3	
曦	hi1	
曨	luŋ2	
曩	noŋ3	
曬	sai5	
曭	toŋ3	
曰	iat7	
曲	kʰiuk7	
曲	kʰiut7	
曳	i5	
更	kaŋ1	
更	ken1	
更	ken5	
曵	i5	
曷	hot8	
書	ʃu1	
曹	tsʰau2	
曹	tsʰo2	
曼	man5	
曾	tsen1	
曾	tsʰen2	
替	tʰi5	
替	tʰai5	
最	tsui5	
朂	hiuk7	
會	fi5	
會	fui3	
朅	kiet7	
月	ȵet8	
有	iu1	
朋	pʰen2	
朋	pʰuŋ2	
服	fuk8	
朔	sok7	
朕	tʃim3	
朕	tim3	
朖	loŋ5	
朗	loŋ5	
望	moŋ5	
朝	tʃau1	
朝	tʃʰau2	
朝	tsʰau2	
期	kʰi2	
朣	tʰuŋ2	
朦	muŋ2	
朧	luŋ2	
木	muk7	
未	vi5	
未	vui5	
末	mat8	
本	pun3	
札	tsap7	
朮	ʃut8	
朱	tʃu1	
朳	pʰa3	
朳	kʰua3	
朴	pʰok7	
朵	to3	
朶	to2	
朶	tau2	
朶	to3	
朼	pi3	
朽	hiu1	
朽	hiu3	
朿	tsʰɿ5	
杅	i2	
杆	kon1	
杇	vu1	
杈	tsʰa1	
杉	tsʰam5	
杌	ŋut7	
李	li3	
杏	hen5	
材	tsʰoi2	
村	tsʰun1	
杒	niun5	
杓	ʃok8	
杕	tʰi5	
杖	tʃʰoŋ3	
杗	moŋ2	
杙	it8	
杜	tʰu5	
杝	i2	
杞	ki3	
杞	kʰi3	
束	tʃʰuk7	
杠	koŋ5	
杪	miau3	
杬	nian2	
杭	hoŋ2	
杯	pi1	
杯	pui1	
杰	kʰiet8	
東	tuŋ1	
杲	kau3	
杳	miau3	
杳	iau3	
杵	tʃʰu3	
杶	tʃʰun1	
杷	pʰa2	
杸	ʃu2	
杻	tʃʰu3	
杻	tʃʰiu3	
杼	tʃʰu1	
杼	tʃu3	
松	tsʰiuŋ2	
板	pan3	
枇	pʰi2	
枉	noŋ5	
枉	voŋ3	
枋	foŋ2	【替字】拌~，一種長方形的碾米容器。
枋	pioŋ1	
枌	fun1	
枎	fu2	
析	sit7	
枑	fu5	
枒	ŋa2	
枓	teu3	
枕	tʃim3	
林	lim2	
枘	nui5	
枙	ak7	
枚	mi2	
枚	mui2	
枚	moi2	
果	kuo3	
枝	ki1	
枝	tʃɿ1	
枮	tsem1	
枯	kʰu1	
枰	pʰin2	
枱	tʰoi2	
枲	sai3	
架	ka5	
枷	ka1	
枸	keu3	
枻	i5	
柁	tʰo5	
柂	tʰo5	
柄	piaŋ5	
柅	ni2	
柏	pak7	
某	meu1	
柑	kam1	
柒	tsʰit7	
染	niam5	
柔	iu2	
柘	tʃa5	
柙	ap7	
柚	iu5	
柛	ʃin1	
柝	tʰok8	
柞	tsʰok8	
柢	ti3	
柤	tsa1	
査	tsʰa2	
柧	ku1	
柩	kiu5	
柬	kian3	
柮	tʰut7	
柯	kʰo1	
柰	nai5	
柱	tʃʰu1	
柳	liu3	
柴	tsʰai2	
柷	tʃuk7	
柿	sai3	
柿	sɿ1	
柿	sɿ2	
柿	sɿ5	
栁	liu3	
柵	tsʰak8	
栒	sun3	
栓	tsʰien2	
栗	lit8	
栘	i2	
栛	li5	
栞	kʰan3	
栟	pin1	
校	kau3	
栢	pak7	
栧	i5	
栩	hi3	
株	tʃu1	
栫	tsien5	
栭	i2	
