#漢字	音標	解釋
□	tsiɛ1	撕
豇	tsiɔŋ1	
豉	dʐʅ6	
豌	uon3	
豕	ʂʅ3	
豚	den2	
象	ɕiɔŋ6	
豫	uei6	
豹	pau5a	
豺	dzai2	
貂	tiau1	
貌	mau6	
貝	pi5a	
貞	tʂeŋ1	
負	fu5a	
貢	keŋ5a	
財	dzai2	
賢	ɕiɛn2	
敗	bai6	
賬	tʂɔŋ5a	
貨	fo5a	
質	tʂʅ7	
販	fan5a	
貪	don1	
貧	bin2	
貶	piɛn3	
購	kɛu5a	
貫	kuon5a	
賤	dziɛn5a	
貼	diɛ5b	
貴	kuei5a	
貸	dai6	
貿	mau6	
費	fei1	
賀	xo7	
賊	dzɛ6	
賄	fei3	
賃	din6	
賂	lu6	
資	tsɿ1	
賒	ʂa1	
賦	fu5a	
賭	tu3	
贖	ʂu7	
賞	ʂɔŋ3	
賜	dzɿ5a	
賠	bi2	
賴	lai6	
贅	tʂuei5a	
賺	dzan6	
賽	sai5a	
赞	tsan5a	
贈	dzeŋ5a	
贏	iaŋ2	
赤	dʐʅ5b	
赦	ʂa6	
赫	xo7	
走	tsɛu3	
赴	fu5a	
趙	dʐau6	
起	dʑi3	
趁	dʐen5b	
超	dʐau1	
越	uɛ7	
趨	dziɛ1	
趟	dɔŋ5b	
趣	dziɛ5a	
足	tsu7	
趾	tʂʅ5a	
躍	io7	
跌	tiɛ7	
跑	bau3	
跛	po7	
距	ɡuei3	
跟	ken1	
跨	ɡua5b	
跪	ɡuei3	
路	lu6	
跳	diau5b	
踐	dziɛn5a	
踏	da5b	
踒	uai3	
踢	di5b	
蹤	tseŋ1	
踱	do7	
蹄	di2	
蹑	ȵiɛ7	
蹭	dzeŋ5b	
蹲	den1	
躁	tsau5a	
身	ʂen1	
躬	keŋ1	
躲	to3	
躺	dɔŋ3	
車	kuei1	
車	da1	
軋	ŋa6	
軌	kuei3	
軒	fiɛn1	
轉	tʂɛn3	～眼
轉	tʂɛn5a	～圈圈
輪	len2	
軟	ȵiɛn3	
轟	xeŋ1	
軸	dʐo6	
輕	dʑiaŋ1	
載	dzai6	满～
載	tsai5a	～重
轎	dʑiau6	
較	tɕiau5a	
輔	fu3	
輛	diɔŋ3	
輦	ȵiɛn3	
輩	pi6	
輝	fei1	
輞	uɔŋ2	
輜	dzɿ6	
輯	dzi6	
輸	ʂu1	
轅	uiɛn2	
轄	xa7	
轍	tʂɛ7	
辛	sin1	
辭	dzɿ2	
辟	bi5a	
辣	la7	
辨	biɛn6	
辯	biɛn6	
辮	biɛn6	
辰	ʂen2	
辱	lu3	
邊	piɛn1	
遼	diau2	
达	da6	
迁	dziɛn1	
迂	uei1	
迄	tɕi5a	
迅	sin5a	
過	kuo5a	
邁	mai6	
迎	ȵiŋ2	
运	uin6	
近	dʑin6	
还	uan2-	动
还	xai2	副
还	fan2=	动
進	tsin5a	
遠	uiɛn3	
違	uei2	
連	diɛn2	
遲	dzɿ2	
迥	dʑiaŋ3	
迫	pɛ7	
述	ʂu6	
迷	mi2	
迸	peŋ5a	
迹	tɕi7	
追	tʂʅ1	
退	di5a	
送	seŋ5a	
适	ʂʅ7	
逃	dau2	
逆	ȵi7	
選	siɛn3	
遜	sen5a	
透	dɛu5b	
逐	dʐu7	
遞	di5a	
途	du2	
逗	dɛu5a	
通	deŋ1	
逛	kuɔŋ5a	
逝	ʂʅ5a	
逞	dʐeŋ3	
速	su7	
造	dzau5b	
逢	xeŋ2	
逵	ɡuei2	
逸	i7	
逼	pi7	
逾	uei2	
遁	den5a	
遂	sei5a	
遇	ȵi6	
遍	piɛn6	一～
遍	piɛn6	～地
遐	ɕia2	
道	dau6	
遺	uei2	
遣	ɡiɛn2	
遭	tsau1	
遮	tsa1	
遵	tsen1	
避	bi5a	
邀	iau1	
邓	deŋ3	
那	ku5a	
邦	pɔŋ1	
邪	ɕia2	
邮	iu2	
邵	ʂau5a	
鄒	tʂeu1	
鄰	din2	
郁	iu5a	
郊	tɕiau1	
郎	lɔŋ2	
鄭	dzeŋ3	
郝	xau3	
郡	ɡuin5a	
部	bu5b	
郭	kuo7	
都	tu1	
鄂	ŋo7	
鄙	pi3	
酉	iu3	
酌	tʂo7	
配	bi5b	
酒	tsiu3	
酣	xon1	
酥	su1	
酪	lo7	
酬	dʐeu2	
醬	tsiɔŋ5a	
酵	tɕiau5a	
酷	ɡu5a	
酸	son1	
釀	ȵiɔŋ6	
醇	dʐen2	
醉	tsei5a	
醋	dzu5b	
醒	ɕiaŋ3	
醮	tɕiau3	
采	dzai3	
釉	iu6	
釋	ʂʅ7	
里	di3	
重	dʐeŋ2	～复
重	deŋ6	
野	ia3	
量	diɔŋ2	～尺
量	diɔŋ3	数～
金	tɕin1	
釜	fu3	
釵	dzai1	
鉴	tɕiɛn5a	
鏨	dzan6	
针	tʂen1	
釘	tiaŋ1-	
釘	tiŋ1=	
釘	tiaŋ5a	动
釘	tiŋ5a	动
釣	tiau5a	
鈍	den5a	
鈔	tsau1	
钟	tʂeŋ1	
鋼	kɔŋ1	
鑰	io7	
欽	dzin1	
鈞	kuin1	
鉤	kɛu1	
鈀	ba2	
錢	dziɛn2	
鉗	dʑiɛn2	
鉢	po7	
钻	tson1	～进
钻	tson5a	电～
鐵	diɛ5b	
鈴	diaŋ2	
鉛	uiɛn2	
鐸	do7	
銅	deŋ2	
鍘	dzɛ7	
銘	miaŋ2	
鉸	tɕiau3	
铲	dzan3	
銃	deŋ3	
銀	ȵin2	
鑄	tʂu5a	
鋪	bu1	动
鋪	bu5b	店～
链	diɛn6	
銷	siau1	
鎖	so3	
鋥	dzaŋ7	
鋤	dzu2	
鍋	kuo1	
銼	dzo5a	
鋒	xeŋ1	
銳	li6	
錯	dzo5b	
錨	mau2	
錫	sia7	
錮	ku5a	
鑼	lo2	
錘	du2	
錐	tsei1	
錦	tɕin3	
錠	diaŋ5a	
鍵	tɕiɛn5a	
鋸	kɛ5a	
鍥	tɕiɛ7	
鍬	dziau1	
鍬	dʑiau1	
鍛	ton5a	
鍍	du6	
鎮	tʂen5a	
鑷	ȵiɛ6	
鎔	iŋ2	
鏡	tɕiŋ5a	
鐙	teŋ1	
鐲	dzo6	
镰	diɛn2	
鑲	ɕiɔŋ1	
長	tʂɔŋ3	生～
長	dʐɔŋ7	～短
門	men2	
閂	son1	
閃	ʂɛn3	
閉	pi5a	
問	uen6	
闖	dzɔŋ2	
閏	len6	
闲	xan2	
間	kan1	一～房
間	kan5a	～断
悶	men6	
閘	tsa7	
鬧	nau6	
閨	kuei1	
聞	uen2	
閩	min3	
閣	kɛ7	
鬮	tɕiu1	
閱	uɛ7	
閹	ŋan1	
閻	iɛn2	
闊	ɡuo5b	
阜	fu5a	
隊	di6	
阮	ȵiɛn3	
防	fɔŋ2	
陽	iɔŋ2	
陰	in1	
陣	dʐen6	
階	kai1	
阻	tʂu3	
阿	a1	
附	fu5a	
際	tɕi5a	
隴	leŋ2	
陳	dʐen2	
陋	lɛu6	
陌	mɛ7	
降	ɕiɔŋ2	投
降	tsiɔŋ5a	下～
限	xan6	
陝	ʂɛn3	
陛	bi6	
陡	tɛu3	
院	uiɛn6	
除	du2	
險	ɕiɛn3	
陪	bi2	
陵	diŋ2	
陶	dau2	
陷	siɛn2	
隆	leŋ2	
隨	sei2	
隱	in3	
隔	ka7	
隘	ŋai5a	
障	tʂɔŋ5a	
隧	sei5a	
隶	di5a	
難	nan2	～易
難	nan6	患～
雀	dʑio5b	
雁	iɛn5a	
雄	ɕiŋ2	
雅	ŋa3	
集	dzi6	
雇	ku5a	
雉	dʐʅ5a	
雌	dzɿ2	
雍	iŋ1	
雛	dzu2	
雕	tiau1	
雨	uei3	
雪	ɕiɛ7	
零	liaŋ2	
雷	di2	
雹	bau6	
霧	u6	
需	sei1	
霄	siau1	
震	tʂen5a	
霉	mi2	
霍	fo7	
霜	sɔŋ1	
霞	ɕia2	
露	lu6	
霸	pa7	
青	dziaŋ1-	
青	dziŋ1=	
靖	dziŋ3	
靜	dziŋ6	
非	fei1	
靠	ɡau5b	
靡	mi2	
面	miɛn6	～孔
面	miɛn6	～条
革	kɛ7	
靴	fia1	
鞋	xai2	
鞍	ŋon1	
鞘	tɕiau5a	
鞭	piɛn1	
韌	len6	
韓	xon2	
韭	tɕiu3	
音	in1	
韵	uin6	
韶	ʂau2	
頁	iɛ7	
頂	tiaŋ3-	
頂	tiŋ3=	
頃	dzin1	
項	xɔŋ6	
順	ʂen6	
须	sei1	
頑	uan2	
顧	ku5a	
頓	ten5a	
頒	pon1	
頌	seŋ5a	
預	uei6	
領	diaŋ3-	
領	din3=	
頗	bo1	
頸	tsiaŋ3	
頻	bin2	
穎	iŋ3	
顆	ɡo1	
題	di2	
顏	ŋan2	
額	ŋɛ7	
顛	tiɛn1	
顫	tʂɛn5a	
顴	ɡuiɛn2	
風	xeŋ1	
颼	sɛu1	
飄	biau1	
飛	fei1	
食	ʂɛ6	
餐	dzan1	
饥	tɕi1	
飩	den5a	
飯	fan6	
飲	in3	～酒
飲	in5a	～马
餞	dziɛn5a	
飾	ʂʅ7	
飽	pau3	
飼	dzɿ6	
餌	ɛ3	
饒	ȵiau2	
餉	ɕiɔŋ3	
餃	dʑio3	
餅	piaŋ3	
餑	bo7	
餓	ŋo6	
餛	fuen2	
餡	siɛn2	
館	kuon3	
餿	sɛu1	
饞	dzan2	
饃	mo2	
餾	diu2	
饅	mon2	
首	ʂeu3	
香	ɕiɔŋ1	
馨	sin1	
駭	xai6	
馬	ma3	
馱	do2	
馳	dʐʅ2	
驅	ɡuei1	
駁	po7	
驢	li2	
駛	sɿ3	
駒	kuei1	
駐	tʂu3	
駝	do2	
駕	ka5a	
罵	ma6	
驕	tɕiau1	
駱	lo7	
驗	ȵiɛn6	
騎	dʑi2	
騙	biɛn5b	
騷	sau1	
騾	lo2	
驟	dzɛu5a	
骨	ku7	
髓	sei2	
高	kau1	
鬃	tseŋ1	
鬢	pin5a	
鬼	kuei3	
魁	ɡuei2	
魂	fuen2	
魄	pɛ7	
魘	iɛn3	
魏	uei6	
魔	mo2	
魚	ȵiɛ2	
魯	lu3	
鮑	bau5a	
鮮	siɛn1	
鯉	di3	
鯽	tsɛ7	
鯰	ȵiɛn2	
鯨	dʑiŋ1	
鰭	dʑi2	
鰾	biau2	
鱉	iɛ1	
鱖	kuei5a	
鱗	din2	
鳥	tiau3	
鳩	tɕiu1	
雞	tɕi1	
鳴	miaŋ2	
鴉	ŋa1	
鸕	lu2	
鴨	ŋa7	
鴿	ko7	
鸞	lon3	
鴻	xeŋ2	
鵝	ŋo2	
鵡	u3	
鵲	dʑuɛ5b	
鶴	xo6	
鸚	iŋ1	
鷺	lu6	
鷹	iŋ1	
鹿	lu7	
麝	ʂa6	
麥	ma6	
麻	ma7	
麾	fei1	
黃	uɔŋ2	
黍	ʂu3	
黎	di2	
黏	ȵiɛn2	
黑	xɛ7	
默	mɛ7	
鼎	tiaŋ3	
鼓	ku3	
鼠	ʂu3	
鼬	iu6	
鼻	bi6	
鼾	xon1	
齊	dzi2	
齒	dʐʅ3	
龍	leŋ2	
龕	ɡon1	
龜	kuei1	
