#漢字	音標	解釋
墨	mɤ5	
墩	tuŋ1	
壁	pi5	
壕	xau2	
壤	ʐaŋ2	土壤
士	sɿ5	
壬	ʐɤŋ2	
壯	tʂuaŋ5	
聲	ʂɤŋ1	
殼	kʰɤ2	
壺	xu2	
壻	ɕy1	女壻
處	tʂʰu2	处所
處	tʂʰu2	相处
備	pei5	
复	fu5	
复	fu5	复兴
复	fu5	复原
夏	ɕia5	姓
夏	ɕia5	春夏
夕	ɕi1	
外	vai5	
多	tuo1	
夜	iɤ5	
够	kou5	
大	ta5	
大	ta5	大夫;大黄，药名
天	tʰian1	
太	tʰai5	
夫	fu5	
央	iaŋ1	
夯	xaŋ1	打夯
失	ʂʅ1	
頭	tʰou2	
夷	i2	
夸	kʰua2	
夾	tɕia5	
夾	tɕia5	夹衣
奪	tuo2	
奇	tɕʰi2	
奈	nai5	
奉	fɤŋ5	
奮	fɤŋ5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi2	契约
奔	pɤŋ5	
獎	tɕiaŋ2	
套	tʰau5	
奚	ɕi1	
奠	tian5	
奢	ʂɤ1	
奧	au5	
女	ny2	
奴	nu2	
奶	nai2	
奸	tɕian1	
好	xau2	喜好
好	xau2	好坏
如	ʐu2	
妃	fei1	
妄	vaŋ5	
婦	fu5	
媽	ma1	
妓	tɕi5	
妖	iau1	
妗	tɕiŋ5	舅母
妙	miau5	
妥	tʰuo2	
妨	faŋ2	妨害
妬	tu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɤ5	
姊	tsɿ2	
始	ʂʅ5	
姐	tɕiɤ2	
姑	ku1	
姓	ɕiŋ5	
委	vei2	
姘	pʰiŋ1	姘头
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姻	iŋ1	
姿	tsɿ1	
威	vei1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娠	ʂɤŋ1	
娩	mian2	分娩
娛	y2	
娶	tɕʰy2	
婆	pʰɤ2	
婚	xuɤŋ1	
婢	pi5	
嬰	iŋ1	
嬸	ʂɤŋ2	
媒	mei2	
媚	mei2	
媳	ɕi2	
嫁	tɕia5	
嫂	sau2	
嫌	ɕian2	
嫖	pʰiau2	嫖赌
嫡	ti2	
嫩	nuɤŋ5	
嬉	ɕi1	
孀	ʂuaŋ1	
子	tsɿ2	
孔	kʰuŋ2	
孕	yŋ5	
字	tsɿ5	
存	tsʰuŋ2	
孫	suɤŋ1	
孝	ɕiau5	
孟	mɤŋ5	
季	tɕi5	
孤	ku1	
學	ɕyɤ2	
孩	xai2	
