#漢字	音標	解釋
羊	iex3	
美	me6	
翁	oŋ1	
翹	tɕiʌ5	
翠	tɕʰye5	
老	lʌ3	
耳	ər3	
聳	soŋ3	
耿	kɛx3	
聘	pʰin5	
聚	ʑy6	
肉	ioʔ8	
肓	xuɑŋ1	
肖	ɕiʌ1	
肥	ve2	
肮	ɑŋ1	
肯	kʰɛx3	
肴	ʑiʌ2	白读
胆	tæx3	
胖	pʰɑŋ5	
胚	pʰe1	
胡	ɣu2	
能	nɛx2	
脫	tʰɷ5	～皮
脫	tʰɛx5	白读
脫	tʰuoʔ7	
臉	liɪx3	
腌	iɪx6	
膩	ȵi6	
腿	tʰe3	
臃	ioŋ1	
臭	tsʰe5	
至	tsɿ5	
舀	iʌ3	
舍	ɕie3	又读
舔	tʰiɪx3	
航	ɣɑŋ2	
色	səʔ7	
艾	ŋa6	
花	xuo1	
苗	miʌ2	
苟	ke3	
苦	kʰu3	
茄	dʑiɑ2	
荡	dɑŋ6	
药	iɑʔ8	
莽	mɑŋ3	
菜	tsʰa5	
萌	moŋ2	
葛	kuoʔ7	
董	toŋ3	
葬	tsɑŋ5	
蒙	moŋ1	～在鼓里
蒲	bu2	菖蒲
蒿	xʌ1	
蕊	ye3	
蕻	xoŋ5	
薄	bɷ6	～荷
虎	xu3	
虜	lɷ3	
虐	ȵiɑʔ8	
虑	ly6	
虛	ɕy1	
雖	ɕye1	
蚌	bɑŋ6	
蚌	boŋ6	
蛇	zɑ2	
蠻	mæx1	很～好
蠻	mæx2	不讲理：缠～
蠢	tɕʰyɛx3	
血	ɕyoʔ7	
衣	i1	
補	pu1	
表	piʌ3	
袍	bʌ2	
袒	tʰæx3	
西	ɕy1	瓜
要	iʌ5	
言	iɪx2	
計	tɕi5	
討	tʰʌ3	
讓	iɑŋ6	
訊	ɕyn5	
講	tɕiex3	
講	kɑŋ3	白读
許	ɕy3	
論	lɛx6	
諷	foŋ3	
該	ka1	
詳	ʑiex2	
誤	u6	
請	tɕʰin3	
諸	tsu5	
諾	noʔ8	
課	kʰɷ5	
誰	ʑye2	
調	diʌ2	
調	diʌ6	又读，～查
談	dæx2	
謊	xuɑŋ3	
謂	ue6	
謗	pɑŋ5	
豁	xuɑʔ7	
象	ʑiex6	
豩	xuæx1	
豪	ɣʌ2	
貝	pe5	
貢	koŋ5	
責	tsʰəʔ7	
敗	ba6	
貨	xɷ5	
販	fæx5	
貪	tʰɷx1	
貴	kue5	
費	ve6	姓
賀	ɣɷ6	
賊	zəʔ8	
賈	tɕiɑ3	
贓	zɑŋ6	
賒	sɑ1	
賭	tu3	
賠	be2	
賴	lɑ6	～学
赞	tsæx5	
走	tse3	
趙	dzʌ6	
趟	tʰɑŋ5	
足	tsoʔ7	
躍	iʌ6	
跛	pɷ3	
跨	kʰuo5	
跪	ɡue5	
路	lu6	
跳	tʰiʌ5	
蹦	poŋ5	
車	tsʰɑ1	
軋	ɡɑʔ8	
轉	tɕyɷx5	
轟	xoŋ1	
轎	dʑiʌ6	
辣	lɑʔ8	
邊	piɪx1	
遼	liʌ2	
达	dɑʔ8	
過	kɷ5	～去
运	yn6	
近	dʑin6	
还	ɣuæx2	文读，～债
遠	yɷx3	
連	liɪx2	
迭	diʔ8	
迷	mi2	
追	tɕye1	
退	tʰe5	
送	soŋ5	
選	ɕyɷx2	
逢	voŋ2	
遏	ŋəʔ7	
道	dʌ6	
遮	tsɑ1	
邀	iʌ1	
邓	dɛx6	
郁	ioʔ7	
郝	xoʔ7	
郡	dʑyn6	
都	tu1	
配	pʰa5	白
配	pʰe5	文读
酒	tɕiɷ3	
醒	ɕyn3	
采	tsʰa3	
重	dzoŋ6	～量
野	iɑ3	
釘	tin5	
鉗	ɡæx2	～手
鉗	dʑiɪc2	又读
鐵	tʰiʔ7	
鉛	kʰæx1	
鍘	zɑʔ8	
銃	tsʰoŋ5	
銀	in2	
鋪	pʰu3	铺天盖地
鋪	pʰu5	～床
鎖	sɷ3	
鋤	zu2	
鍋	kɷ1	
銳	ye6	
錯	tsʰɷ5	
錫	ɕiʔ7	
錘	dʑye2	
鍬	tɕʰiʌ1	
鍛	tɷx5	
鏍	lɷ6	
鐲	ʑyoʔ8	
長	tsɑŋ3	生～
門	mɛx2	
閉	pi5	
問	uɛx6	
闖	tɕʰyɑŋ3	
間	kæx5	隔：～几天
悶	mɛx1	低头
悶	mɛx6	
隊	de6	
防	vɑŋ2	
陣	dzɛx6	
陳	dzɛx2	
陷	væx6	白读
難	næx2	困～
難	næx6	灾～
雁	ŋæx6	
雄	ʑioŋ2	英～
雛	dzu2	
雨	y3	
雷	le2	
霞	ʑiɑ2	
靠	kʰʌ5	
面	miɪx6	
靴	ɕya1	
靶	po3	
鞋	ɣa2	
韌	iɛx6	
韓	ɣɷx2	
頁	iʔ8	
頂	tin3	
順	ʑyɛx6	
頌	zoŋ6	
領	lin3	
顎	ŋoʔ8	
顏	ŋæx2	
額	ŋəʔ8	
顛	tiɪx1	
風	foŋ1	
飄	pʰiʌ1	
飛	fe1	
飯	væx6	
餅	pin3	
餓	ŋɷ6	
餒	ne3	
饞	zæx2	
香	ɕiex1	
馬	mo3	
馱	dɷ2	
驢	ly2	
罵	mo6	
騙	pʰiɪx5	
驤	ȵiex1	
骨	kuəʔ7	
髈	pʰɑŋ3	蹄～
高	kʌ1	
鬼	kue3	
魂	ɣuɛx2	
魔	mɷ2	
鱟	xe5	
鰾	pʰiʌ3	
鰻	mɷx2	
鳥	ȵiʌ3	
鴉	ŋuo1	
麻	mo2	
黃	ɣuɑŋ2	文读
黑	xəʔ7	
鼻	biʔ8	
齆	oŋ5	鼻音重
龍	loŋ2	
龔	tɕioŋ1	文读
凉	liex2	
