#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。~一脚过来
繞	ʐɔ3	
繞	ʐɔ5	
繪	xue5	
給	kuo7	
絡	nuo7	
絕	tɕyɛ7	
絞	tɕiɔ3	
統	tʰuŋ5	
絹	tɕyɑ̃5	
繡	ɕiou5	
綏	sue1	
繼	tɕi5	
績	tɕi7	
緖	ɕy5	
續	ɕiou2	烛韵
續	ɕy5	遇韵
綽	tʂʰuo7	
繩	ʂẽ2	
維	ue2	
綿	miɑ̃2	
綢	tʂʰou2	
綜	tsuŋ5	
綻	tʂɑ̃5	
綠	nou7	
綴	tʂue5	
緬	miɑ̃3	
纜	nɑ̃5	
緝	tɕi7	
緞	tuɑ̃5	
緩	xuɑ̃5	
縷	ny3	
編	piɑ̃1	
緣	yɑ̃2	
縛	fu7	
縫	xuŋ2	
縫	xuŋ5	
纏	tʂʰɑ̃2	
縊	i5	
纓	iẽ1	
縮	suo7	
繰	tɕʰiɔ1	指一种缝纫方法，把布往里折后顺着裤脚缝
繳	tɕiɔ3	
缸	kɑŋ1	
缺	tɕʰyɛ7	
罐	kuɑ̃5	
网	uɑŋ3	
羅	nuo2	
罰	xuɑ7	
罷	pɑ5	
罩	tʂɔ5	
罪	tse5	
置	tʂʅ5	
署	ʂu5	
羊	iɑŋ2	
羌	tɕʰiɑŋ1	
美	me3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕiɑ̃5	
羣	tɕʰyẽ2	
羶	ʂɑ̃1	
羹	kẽ1	
羽	y3	
翁	uŋ1	
翅	tʂʰʅ5	
翎	niẽ2	
翠	tsʰe5	
翡	xue5	
翰	xɑ̃5	
翻	xuɑ̃1	
翼	i7	
耀	iɔ5	
老	nɔ3	
考	kʰɔ3	
者	tʂɛ3	
而	ɚ2	
耐	nɛ5	
耕	kẽ1	
耗	xɔ5	
耙	pʰɑ5	指用来破碎土块平整土地的农具，也叫钉~
耬	nou2	
耳	ɚ3	
耶	iɛ2	
恥	tʂʰʅ3	
耽	tɑ̃1	
耿	kẽ3	
聶	niɛ7	
聊	niɔ2	
聾	nuŋ2	
職	tʂʅ7	
聒	kuo7	
聯	niɑ̃2	
聘	pʰiẽ5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	sou7	
肄	i5	
肆	sɿ5	
肉	ʐʯ7	
肋	ne7	
肌	tɕi1	
肘	tʂou3	
肚	tou3	鱼~
肝	kɑ̃1	
腸	tʂʰɑŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	xue2	
肨	pɑŋ1	程度副词，形容味道极浓或极臭。这儿硬是~汗臭
肩	tɕiɑ̃1	
肪	xuɑŋ1	
肫	tʂuẽ1	
骯	ŋɑŋ1	
肯	kʰẽ3	
育	iou7	
肴	ɕiɔ2	
肺	xue5	
腎	ʂẽ5	
脹	tʂɑŋ5	
脅	ɕiɛ7	
胃	ue5	
膽	tɑ̃3	
背	pe1	~起
背	pe5	~诵，~部
胎	tʰɛ1	
胖	pʰɑŋ5	
胚	pʰɛ1	
胛	tɕiɑ7	
勝	ʂẽ1	
勝	ʂẽ5	
胞	pɔ1	
胡	fu2	
胩	kʰɑ3	
胳	kv7	
膠	tɕiɔ1	
胸	ɕiuŋ1	
能	nẽ2	
脂	tʂʅ1	
脆	tsʰue5	
脉	mɛ7	
脊	tɕi7	
脏	tsɑŋ1	
脏	tsɑŋ5	
臍	tɕʰi2	
腦	nɔ3	
膿	nuŋ2	
脖	po7	
脚	tɕio7	
脣	tʂʰuẽ2	
脯	pʰu2	杏~
脯	fu3	胸~
脫	tʰuo7	
腡	nv2	
腡	nuo2	~~儿，指手指上的指纹，
臉	niɑ̃3	
脾	pʰi2	
腆	tʰiɑ̃3	
臘	nɑ7	
腋	iɛ7	
腌	iɑ̃1	
腌	ɑ̃7	
腐	fu5	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	uɑ̃5	
腥	ɕiẽ1	
腮	sɛ1	
腰	iɔ1	
腱	tɕiɑ̃5	
腹	fu7	
膩	ni5	
騰	tʰẽ2	
腿	tʰe3	
膏	kɔ5	~油
膏	kɔ1	药~
膜	mo7	
膝	ɕi7	
膨	pʰuŋ2	
膳	ʂɑ̃5	
臀	tʰẽ2	
臂	pi5	
臊	sɔ1	
臕	piɔ1	
臣	tʂʰẽ2	
自	tsɿ5	
臭	tʂʰou5	
至	tʂʅ5	
致	tʂʅ5	
臻	tʂẽ1	
臼	tɕiou5	
舀	iɔ3	
舅	tɕiou5	
舌	ʂɛ7	
舍	ʂɛ5	
舐	tʂʰʅ5	
舒	ʂu1	
舔	tʰiɑ̃3	
舜	ʂuẽ5	
舞	vu3	
舟	tʂou1	
航	xɑŋ2	
般	pɑ̃1	
艦	tɕiɑ̃5	
舵	tv5	
船	tʂʰuɑ̃2	
艇	tʰiẽ5	
良	niɑŋ2	
艱	tɕiɑ̃1	
色	sɛ7	
豔	iɑ̃5	
藝	i5	
艾	ŋɛ5	
節	tɕiɛ7	
芋	y5	
芍	ʂɔ7	
芒	mɑŋ2	~果，麦~
芙	fu2	
芝	tʂʅ1	
芥	kɛ5	
蘆	nou2	
芬	xuẽ1	
芭	pɑ1	
芮	ʐue5	
花	xuɑ1	
芳	xuɑŋ1	
芹	tɕʰiẽ2	
芽	n̩2	
葦	ue3	
莧	ɕiɑ̃5	
蒼	tsʰɑŋ1	
苧	tʂu5	
苏	sou1	
苔	tʰɛ2	
苗	miɔ2	
苟	kou3	
若	ʐuo7	
苦	kʰu3	
英	iẽ1	
茂	mɔ5	
范	xuɑ̃5	
茄	tɕyɛ2	
茅	mɔ2	
莖	tɕiẽ2	
塋	iẽ2	
繭	tɕiɑ̃3	
茫	mɑŋ2	
茬	tʂʰɑ2	
茴	xue2	
茶	tʂʰɑ2	
荀	ɕyẽ1	
荆	tɕiẽ1	
草	tsʰɔ3	
薦	tɕiɑ̃5	
荒	xuɑŋ1	
荔	ni5	
蕎	tɕʰiɔ2	
薺	tɕi5	
蕩	tɑŋ5	
葷	xuẽ1	
滎	iẽ2	
蔭	iẽ5	
藥	io7	
荷	xuo2	~花
荷	xuo5	薄~
莎	ʂɑ1	
莝	tsʰu7	指除掉杂草，~草;也称薅草
莠	iou3	
莫	mo7	
蓮	niɑ̃2	
获	xuo7	
鶯	iẽ1	
莽	mɑŋ3	
菊	tɕy7	
菌	tɕyẽ1	
菌	tɕyẽ3	
菖	tʂʰɑŋ1	
菜	tsʰɛ5	
菠	po1	
菢	pɔ5	指禽鸟类动物孵卵
菩	pʰu2	
菱	niẽ2	
萄	tʰɔ2	
萌	muŋ2	
萍	pʰiẽ2	
萎	ue1	
螢	iẽ2	
營	yẽ2	
蕭	ɕiɔ1	
薩	sɑ5	
薩	sɑ7	
落	nuo7	
葚	ʂẽ5	
葛	kv7	
董	tuŋ3	
葬	tsɑŋ5	
葱	tsʰuŋ1	
葵	kʰue2	
蔣	tɕiɑŋ3	
蒓	tʂʰuẽ2	
蒙	muŋ2	
蒜	suɑ̃5	
蒯	kʰuɛ5	
蒲	pʰu2	
蒲	pʰu3	
蒸	tʂẽ1	
蒸	tʂʰẽ2	
蒿	xɔ1	
蓄	ɕiou2	
蓑	suo1	
蓖	pi1	
藍	nɑ̃2	
蓬	pʰuŋ2	
蔓	mɑ̃5	
蔗	tʂɑ5	
蔡	tsʰɛ5	
蔫	iɑ̃1	
蔬	sou1	
藹	ŋɛ5	
蔽	pi5	
蕉	tɕiɔ1	
蕻	xuŋ5	指白菜或油菜抽出来的菜心。
薄	po5	
薄	po7	
薅	xɔ1	
薛	ɕyɛ7	
薪	ɕiẽ1	
薯	ʂu5	
薰	ɕyẽ1	
薸	pʰiɔ2	
藉	tɕiɛ5	
藉	tɕi7	
藋	tiɔ5	
藏	tsɑŋ5	西~
藏	tsʰɑŋ2	隐~
藐	miɔ3	
藕	ŋou3	
藟	ne1	~子，指农村用来去掉稻壳的器具
藤	tʰẽ2	
藩	pɑ̃1	
藩	xuɑ̃2	
藿	xuo7	
蘂	ʐue3	
蘸	tʂɑ̃1	
蘸	tʂɑ̃5	
虜	nou3	
虐	nyɛ7	
慮	ny5	
虔	tɕʰiɑ̃2	
虛	ɕy1	
虞	y2	
虢	kuo7	
蝨	sɛ7	
虹	xuŋ2	
虹	xuŋ5	
虻	mɑŋ2	
雖	se1	
蝦	ɕiɑ1	
蝦	ɕiɑ2	
蝕	ʂʅ7	
蟻	i3	
蚊	uẽ2	
蚌	puŋ5	~埠
蚌	pɑŋ5	鹬~相争
蠶	tsʰɑ̃2	
蚣	kuŋ1	
蚤	tsɔ3	
蛀	tʂu5	
蛆	tɕʰy1	
蛇	ʂɛ2	
蛋	tɑ̃5	
蟶	ʂẽ1	
蛙	uɑ1	麻韵，佳韵
蛛	tʂʯ1	
蛤	kʰɛ7	~蟆
蠻	mɑ̃2	
蟄	tʂɛ7	
蛾	uo2	
蜀	ʂʯ7	
蜂	xuŋ1	
蜇	tʂɛ7	
蜈	vu2	
蜓	tʰiẽ2	
蛻	tʰue5	
蝸	uo1	
蜘	tʂʅ1	
蜜	mi7	
蠟	nɑ7	
蜻	tɕʰiẽ1	
蠅	iẽ2	
蟬	tʂʰɑ̃2	
蠍	ɕiɛ7	
蝗	xuɑŋ2	
蝙	piɑ̃1	
蝠	fu7	
蝶	tiɛ7	
螂	nɑŋ2	
螃	pʰɑŋ2	
融	iuŋ2	
螳	tʰɑŋ2	
螺	nv2	
蟀	ʂuɛ7	
蟆	mɑ2	
蟒	mɑŋ3	
蟹	ɕiɛ5	
蟾	tʂʰɑ̃2	
蠓	muŋ3	
蠢	tʂʰuẽ3	
血	ɕyɛ7	
衅	ɕiẽ5	
行	ɕiẽ1	~为
行	ɕiẽ5	品~
行	xɑŋ2	銀~
銜	xɑ̃2	
街	kɛ1	
衙	n̩2	
衡	xẽ2	
衣	i1	
補	pu3	
表	piɔ3	~面，手~
衫	ʂɑ̃1	
襯	tʂʰẽ5	
衰	ʂuɛ1	
袁	yɑ̃2	
襖	ŋɔ3	
袋	tɛ5	
袍	pʰɔ2	
袐	mi5	
袖	ɕiou5	
袜	uɑ7	
被	pe5	
被	pi5	
襲	ɕi7	
裁	tsʰɛ2	
裂	niɛ7	
裝	tʂuɑŋ1	
裌	kɑ7	
裕	y5	
裙	tɕʰyẽ2	
褲	kʰu5	
襉	tɕiɑ̃3	
裳	ʂɑŋ2	
裴	pʰɛ2	
裸	nuo3	
裹	kuo3	
褒	pɔ1	
褚	tʂʰʯ3	
褥	ʐʯ7	
褪	tʰuɛ5	
褶	tʂɛ7	
襄	ɕiɑŋ1	
襟	tɕiẽ1	
襻	pɑ̃5	指衣服上用以系住纽扣的环
西	ɕi1	
要	iɔ1	
要	iɔ5	
覆	fu7	
見	tɕiɑ̃5	
觀	kuɑ̃1	
觀	kuɑ̃5	
規	kue1	
覓	mi7	
視	ʂʅ5	
覘	tʰɑ̃1	指抬起头的样子。脑壳~~起
覽	nɑ̃3	
覺	tɕiɔ5	
覺	tɕio7	
角	kv7	
解	kɛ3	~放
解	kɛ3	了~
解	ɕiɛ5	姓~
觸	tʂʰou7	
言	iɑ̃2	
誂	tiɔ5	指挑逗、吸引异性。
譽	y5	
謄	tʰẽ2	
誓	ʂʅ5	
謠	iɔ2	
警	tɕiẽ3	
譬	pʰi5	
計	tɕi5	
訂	tiẽ5	
訃	fu5	
認	ʐẽ5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐɑŋ5	
訖	tɕʰi7	
訓	ɕyẽ5	
議	i5	
訊	ɕyẽ5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xue5	
訛	uo2	
論	nẽ2	
論	nẽ5	
訟	suŋ5	
諷	xuŋ5	
設	ʂɛ7	
訪	xuɑŋ5	
訣	tɕyɛ7	
证	tʂẽ5	
評	pʰiẽ2	
識	ʂʅ7	
詐	tʂɑ5	
訴	sou5	
診	tʂẽ3	
詞	tsʰɿ2	
詔	tʂɔ5	
譯	i7	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰẽ2	
誅	tʂu1	
話	xuɑ5	
誕	tɑ̃5	
詭	kue3	
該	kɛ1	
詳	ɕiɑŋ2	
誣	vu2	
語	y3	
誤	vu5	
誘	iou3	
說	ʂuo7	
誦	suŋ5	
請	tɕʰiẽ3	
諸	tʂu1	
諾	nuo7	
讀	tou7	
課	kʰuo5	
誰	ʂue2	
調	tiɔ2	
調	tiɔ5	
諒	niɑŋ5	
談	tʰɑ̃2	
誼	i2	
誼	i5	
謀	mou2	
諜	tiɛ7	
諫	tɕiɑ̃5	
諧	ɕiɛ2	
謂	ue5	
讒	tʂʰɑ̃2	
諺	iɑ̃5	
謎	mi5	
謝	ɕiɛ5	
謗	pɑŋ5	
謙	tɕʰiɑ̃1	
謹	tɕiẽ3	
謬	miɔ5	
譚	tʰɑ̃2	
譜	pʰu3	
谷	ku7	稻~，峡~
豁	xuo7	
豆	tou5	
豇	kɑŋ1	
豉	ʂʅ5	
豌	uɑ̃1	
豚	tʰẽ2	
象	ɕiɑŋ5	
豪	xɔ2	
豫	y5	
豹	pɔ5	
豺	tʂʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pe5	
貞	tʂẽ1	
負	fu5	
貢	kuŋ5	
財	tsʰɛ2	
責	tsɛ7	
賢	ɕiɑ̃2	
敗	pɛ5	
賬	tʂɑŋ5	
貨	xuo5	
質	tʂʅ7	
販	xuɑ̃5	
貪	tʰɑ̃1	
貧	pʰiẽ2	
貶	piɑ̃3	
購	kou5	
貫	kuɑ̃5	
貳	ɚ5	
賤	tɕiɑ̃5	
貼	tʰiɛ7	
貴	kue5	
貸	tɛ5	
貿	mɔ5	
費	xue5	
賀	xuo5	
賊	tse7	
賃	niẽ5	
賂	nou5	
贓	tsɑŋ1	
賒	ʂɛ1	
賦	fu5	
賭	tou3	
贖	ʂu7	
賜	tsʰɿ5	
賠	pʰɛ2	
賴	nɛ5	
贅	tʂue5	
賺	tʂuɑ̃5	
賽	sɛ5	
贊	tsɑ̃5	
贈	tsẽ5	
贏	iẽ2	
赤	tʂʰʅ7	
赦	ʂɛ5	
赫	xɛ7	
走	tsou3	
赴	fu5	
趙	tʂɔ5	
趕	kɑ̃3	
起	tɕʰi3	
趁	tʂʰẽ5	
超	tʂʰɔ1	
越	yɛ7	
趨	tɕʰy1	
趟	tʰɑŋ5	
趣	tɕʰy5	
足	tsou7	
趼	tɕiɑ̃3	
趾	tʂʅ3	
趿	sɑ7	指把鞋踩在脚后跟，不好好穿鞋。
躍	io7	
跌	tiɛ7	
跑	pʰɔ2	
跗	fu1	
跛	pɛ1	
跛	po3	
距	tɕy5	
跟	kẽ1	
跨	kʰuɑ5	
跪	kue5	
路	nou5	
跳	tʰiɔ5	
踐	tɕiɑ̃5	
踏	tʰɑ7	
踢	tʰi7	
蹤	tsuŋ1	
踱	tuo7	
蹄	tʰi2	
躡	niɛ7	
蹭	tsʰẽ5	
蹲	tẽ2	
躁	tsɔ5	
身	ʂẽ1	
躬	kuŋ1	
躲	tv3	
躺	tʰɑŋ3	
車	tʂʰɛ1	~子
車	tɕy1	~马
軋	n̩7	
軌	kue3	
軒	ɕyɑ̃1	
轉	tʂuɑ̃3	
轉	tʂuɑ̃5	
軛	ŋɛ7	
軛	uo7	
輪	nẽ2	
軟	ʐuɑ̃3	
轟	xuŋ1	
轟	xuŋ5	
軸	tʂou7	
輕	tɕʰiẽ1	
載	tsɛ3	年~
載	tsɛ5	满~，~重
轎	tɕiɔ5	
較	tɕiɔ5	
輔	fu5	
輛	niɑŋ5	
輦	niɑ̃3	
輩	pe5	
輝	xue1	
輞	uɑŋ3	
輯	tɕi7	
輸	ʂʯ1	~赢，运~
轡	pʰe5	
轅	yɑ̃2	
轄	ɕiɑ7	
轍	tʂɛ7	
辛	ɕiẽ1	
辭	tsʰɿ2	
辟	pʰi7	
辣	nɑ7	
辨	piɑ̃5	
辯	piɑ̃5	
辮	piɑ̃5	
辰	tʂʰẽ2	
辱	ʐʯ3	
邊	piɑ̃1	
遼	niɔ2	
達	tɑ7	
遷	tɕʰiɑ̃1	
迂	y1	
迅	ɕyẽ5	
過	kuo5	~去
過	kuo1	姓~
邁	mɛ5	
迎	iẽ2	
運	yẽ5	
近	tɕiẽ5	
還	xuɑ̃2	
進	tɕiẽ5	
遠	yɑ̃3	
違	ue2	
連	niɑ̃2	
遲	tʂʰʅ2	
迥	tɕiuŋ5	
迫	pʰɛ7	
述	ʂu7	
迷	mi2	
逬	pẽ5	
迹	tɕi7	
追	tʂue1	
退	tʰe5	
送	suŋ5	
適	ʂʅ7	
逃	tʰɔ2	
逆	ni7	
遜	ɕyẽ5	
透	tʰou5	
逐	tʂʯ7	
遞	ti5	
途	tʰou2	
逗	tou5	
通	tʰuŋ1	
逛	kuɑŋ5	
逝	ʂʅ5	
逞	tʂʰẽ3	
速	su7	
造	tsɔ5	
造	tsʰɔ5	
逢	xuŋ2	
逵	kʰue2	
逸	i7	
逼	pi7	
逾	y2	
遁	tẽ5	
遂	sue5	
遇	y5	
遍	piɑ̃5	
遐	ɕiɑ2	
道	tɔ5	
遺	i2	
遣	tɕʰiɑ̃3	
遭	tsɔ1	
遮	tʂɛ1	
遵	tsẽ1	
避	pi5	
邀	iɔ1	
鄧	tẽ5	
那	nɑ5	
邦	pɑŋ1	
邪	ɕiɛ2	
郵	iou2	
邵	ʂɔ5	
鄒	tsou1	
鄰	niẽ2	
郁	y7	
郊	tɕiɔ1	
郞	nɑŋ2	
鄭	tʂẽ5	
郝	xɔ7	
郡	tɕyẽ5	
部	pu5	
郭	kuo7	
都	tou1	~城
都	tou1	~是
鄂	ŋɛ7	
鄂	uo7	
鄙	pi3	
酉	iou3	
酌	tʂuo7	
配	pʰɛ5	
酒	tɕiou3	
酣	xɑ̃1	
酥	sou1	
酪	nuo7	
酬	tʂʰou2	
醬	tɕiɑŋ5	
酵	tɕiɔ5	
酷	kʰu7	
酸	suɑ̃1	
釅	iɑ̃5	
釀	niɑŋ5	
醇	tʂʰuẽ2	
醉	tse5	
醋	tsʰou5	
醮	tɕiɔ5	
采	tsʰɛ3	
釉	iou5	
釋	ʂʅ7	
里	ni3	
野	iɛ3	
量	niɑŋ2	
量	niɑŋ5	
金	tɕiẽ1	
釜	fu5	
鑑	tɕiɑ̃5	
銳	ʐue5	
鏨	tsɑ̃5	
鍊	niɑ̃5	
鏊	ŋɔ5	
鐾	pi5	
針	tʂẽ1	
釘	tiẽ1	
釘	tiẽ5	
釤	ʂɑ̃5	
釣	tiɔ5	
釵	tʂʰɛ1	
鈍	tẽ5	
鈔	tʂʰɔ1	
鋼	kɑŋ1	
鑰	io7	
欽	tɕʰiẽ1	
鈞	tɕyẽ1	
鉤	kou1	
鈀	pʰɑ2	指用来晾晒粮食和抓取柴草的农具，也叫抓~儿
錢	tɕʰiɑ̃2	
鉗	tɕʰiɑ̃2	
鉢	po7	
鈸	pʰo7	
鑽	tsuɑ̃1	~研
鑽	tsuɑ̃5	电~
鐵	tʰiɛ7	
鈴	niẽ2	
鉛	tɕʰiɑ̃2	
鐸	tuo7	
鐃	nɔ2	
鐺	tɑŋ1	
銅	tʰuŋ2	
鍘	tʂɑ7	
鏵	xuɑ2	用以翻土的三角形的铁质尖锐农具，也称“贯土尖儿”
銘	miẽ2	
鉸	tɕiɔ3	
鏟	tʂʰɑ̃3	
銀	iẽ2	
鑄	tʂu5	
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	ɕiɔ1	
鎖	suo3	
鋥	tʂʰẽ5	
鋤	tʂʰʯ2	
鍋	kuo1	
鏽	ɕiou5	
銼	tsʰuo5	
鋒	xuŋ1	
鐧	tɕiɑ̃5	
鋦	tɕy7	
錯	tsʰuo5	~误
錯	tsʰuo7	~杂
錨	mɔ2	
錫	ɕi7	
錮	ku5	
鑼	nuo2	
錘	tʂʰue2	
錐	tʂue1	
錦	tɕyẽ3	
錠	tiẽ5	
鍵	tɕiɑ̃5	
鋸	tɕy5	
鍬	tɕʰiɔ1	
鍛	tuɑ̃5	
鍍	tou5	
鎭	tʂẽ5	
鑷	niɛ7	
鏡	tɕiẽ5	
鏇	ɕyɑ̃5	
鐙	tẽ5	
鑊	xuo7	
鐲	tʂuo7	
鐮	niɑ̃2	
鑞	nɑ7	
鑲	ɕiɑŋ1	
長	tʂʰɑŋ2	
長	tʂɑŋ3	
閘	tʂɑ7	
閧	xuŋ5	
閱	yɛ7	
門	mẽ2	
閂	ʂuɑ̃1	
閉	pi5	
問	uẽ5	
闖	tʂʰuɑŋ3	
閏	ʐuẽ5	
闲	ɕiɑ̃2	
間	tɕiɑ̃1	
間	tɕiɑ̃5	
悶	mẽ5	
鬧	nɔ5	
閨	kue1	
聞	uẽ2	
閩	miẽ2	
閣	kuo7	
鬮	tɕiou1	
閹	iɑ̃1	
閻	iɑ̃2	
闊	kʰuo7	
阜	fu5	
隊	te5	
阮	ʐuɑ̃3	
防	xuɑŋ2	
陽	iɑŋ2	
陰	iẽ1	
陣	tʂẽ5	
階	kɛ1	
階	tɕiɛ1	
阻	tsou3	
附	fu5	
際	tɕi5	
陸	nou7	
隴	nuŋ3	
陳	tʂʰẽ2	
陘	tɕiẽ2	
陋	nou5	
陌	mo7	
降	ɕiɑŋ2	
降	tɕiɑŋ5	
限	ɕiɑ̃5	
陛	pi5	
陡	tou3	
院	yɑ̃5	
除	tʂʰʯ2	
陪	pʰɛ2	
陵	niẽ2	
陶	tʰɔ2	
陷	ɕiɑ̃5	
隆	nuŋ2	
隨	sue2	
隱	iẽ3	
隔	kɛ7	
隘	ŋɛ5	
障	tʂɑŋ5	
隧	sue5	
隶	ni5	
難	nɑ̃2	
難	nɑ̃5	
雀	ɕio7	
雁	iɑ̃5	
雄	ɕiuŋ2	
雅	n̩3	
集	tɕi7	
雇	ku5	
雉	tʂʅ5	
雌	tsʰɿ1	
雍	iuŋ1	
雛	tʂʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕyɛ7	
零	niẽ2	
雷	ne2	
雹	pɔ7	
霧	vu5	
需	ɕy1	
霄	ɕiɔ1	
震	tʂẽ5	
黴	me2	
霍	xuo7	
霜	ʂuɑŋ1	
霞	ɕiɑ2	
露	nou5	
霸	pɑ5	
靑	tɕʰiẽ1	
靖	tɕiẽ5	
靜	tɕiẽ5	
非	xue1	
靠	kʰɔ5	
靡	mi3	
面	miɑ̃5	~孔，~粉
靨	iɑ̃7	
革	kɛ7	
靪	tiẽ1	
靭	ʐẽ5	
靴	ɕyɛ1	
鞋	xɛ2	
鞋	ɕiɛ2	
鞍	ŋɑ̃1	
鞘	ɕiɔ5	
鞦	tɕʰiou1	
鞭	piɑ̃1	
韓	xɑ̃2	
韭	tɕiou3	
音	iẽ1	
韻	tʂʰẽ2	
韻	yẽ5	
韶	ʂɔ2	
頗	pʰo1	
頁	iɛ7	
頂	tiẽ3	
頃	tɕʰiẽ3	
項	ɕiɑŋ5	
順	ʂuẽ5	
须	ɕy1	
頑	uɑ̃2	
顧	ku5	
頓	tẽ5	
頒	pɑ̃1	
頌	suŋ5	
預	y5	
領	niẽ3	
頸	tsẽ3	
頻	pʰiẽ2	
穎	iẽ3	
顆	kʰuo3	
題	tʰi2	
顏	iɑ̃2	
額	ŋɛ7	
顚	tiɑ̃1	
顫	tʂʰɑ̃5	
顴	tɕʰyɑ̃2	
風	xuŋ1	
颼	sou1	
飄	piɔ1	
飛	xue1	
食	ʂʅ7	
餐	tsʰɑ̃1	
餧	ue5	
饃	mo2	
饥	tɕi1	
飩	tẽ2	
飭	ʂʅ7	
飯	xuɑ̃5	
飮	iẽ3	
飮	iẽ5	
餞	tɕiɑ̃5	
飾	ʂʅ7	
飽	pɔ3	
飼	sɿ5	
飴	i2	
餌	ɚ5	
饒	ʐɔ2	
餉	ɕiɑŋ3	
餉	ʂɑŋ5	
餃	tɕiɔ7	
餠	piẽ3	
餑	po7	
餓	uo5	
餛	xuẽ2	
餡	ɕiɑ̃5	
館	kuɑ̃3	
餿	sou1	
饞	tʂʰɑ̃2	
餾	niou3	
餾	niou5	
饅	mɑ̃2	
香	ɕiɑŋ1	
馨	ɕiẽ1	
騇	ʂɛ5	
騲	tsʰɔ3	指一种体型较小的鸡
馬	mɑ3	
馱	tʰuo2	~起来
馱	tʰuo5	~子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	po7	
驢	ny2	
駒	tɕy1	
駐	tʂu5	
駝	tʰv2	
駕	tɕiɑ5	
駡	mɑ5	
驕	tɕiɔ1	
駱	nuo7	
駭	xɛ5	
驗	niɑ̃5	
騎	tɕʰi2	
騙	pʰiɑ̃5	
騷	sɔ1	
騾	nv2	
驟	tʂou5	
骨	ku7	
髈	pʰɑŋ3	指以猪蹄为原料制作的菜肴。吃~
髓	sue3	
髓	sue5	
髙	kɔ1	
髻	tɕi5	
鬃	tsuŋ1	
鬏	tɕiou1	一种发型，指用头发编的小辫
鬢	piẽ5	
鬻	pʰu2	指锅碗中汤汁因受热而溢出。汤~出来哒
鬼	kue3	
魁	kʰue1	
魁	kʰue2	
魂	xuẽ2	
魄	pʰo7	
魘	iɑ̃3	
魏	ue5	
魔	mo2	
鮎	niɑ̃2	
魚	y2	
魯	nou3	
鮑	pɔ5	
鮮	ɕiɑ̃1	
鯉	ni3	
鰣	ʂʅ2	
鯽	tɕi7	
鯨	tɕiẽ2	
鰓	sɛ1	
鰭	tɕʰi2	
鰥	kuɑ̃1	
鰾	pʰiɔ5	
鱉	piɛ7	
鱖	kue5	
鱔	ʂɑ̃5	
鱗	niẽ2	
鳥	tiɔ3	
鳥	niɔ3	
鳩	tɕiou1	
雞	tɕi1	
鳴	miẽ2	
鴉	n̩1	
鸕	nou2	
鴨	n̩7	
鴿	kuo7	
鸞	nuɑ̃2	
鴻	xuŋ2	
鵝	uo2	
鵡	vu3	
鵲	ɕio7	
鷂	iɔ5	
鶴	xuo7	
鸚	iẽ1	
鷺	nou5	
鷹	iẽ1	
鹿	nou7	
麝	ʂɛ5	
麥	mɛ7	
麩	fu1	
麻	mɑ2	
麾	xue1	
黃	xuɑŋ2	
黎	ni2	
黏	niɑ̃2	
黑	xɛ7	
默	mo7	
黢	tɕʰy1	
鼎	tiẽ3	
鼓	ku3	
鼬	iou5	
鼻	pi5	
鼾	xɑ̃1	
齊	tɕʰi2	
齒	tʂʰʅ3	
齦	kʰẽ3	
龍	nuŋ2	
龕	kʰɑ̃1	
龜	kue1	
𠞖	kuŋ5	指用头钻来钻去。
𢫨	nɑŋ3	指摇晃物体。水要~出来哒。
𢲔	pɑ̃3	指摔跤或摔倒
𢲔	tɕʰiɑ̃3	指摔跤。~一跟头
𥅗	tsʰɔ3	指身体皮肤干燥粗糙的样子
𧷡	nɔ2	指贪吃或吃相不雅。
