#漢字	音標	解釋
□	kuɑʔ7	kuɑʔ7開,表示“裂開”
渡	du6	
渣	tso1	
測	tsʰʌʔ7	1測量
測	tsʰəʔ7	2測量
渴	kʰøʔ7	
渾	ɦuʌn2	1
渾	huʌn1	2
湖	ɦu2	
湘	siɑŋ1	
湛	dzæ̃2	
湯	tʰɒŋ1	
源	ɲiø̃2	
溜	liɤ6	
溝	kɤ1	
溢	iʌʔ7	
溪	cʰi1	
溫	uʌn1	
溺	ɲiʌʔ8	
滅	miʔ8	
滋	tsɿ1	
滑	ɦuæʔ8	1滑澾澾
滑	uæʔ7	2滑車
滴	tiʔ7	
滚	kuʌn3	
滿	mẽ4	
漂	pʰiɔ1	1
漂	pʰiɔ5	2
漆	tsʰiʔ7	
漏	lɤ6	1
漏	lɤ2	2漏脫
漓	li2	
漕	zɔ2	
漢	hø̃5	
漬	tsiʔ7	
漱	sok7	
漲	tsɑŋ3	1漲溢
漲	tsɑŋ5	2烏痧漲,即霍亂
漲	tsɑŋ1	3水漲
漸	dziẽ6	
漿	tsiɑŋ1	1石灰漿
漿	tsiɑŋ5	2
潑	pʰəʔ7	
潔	ciʔ7	
潤	zʌn6	
潦	liɔ2	1
潦	lɔ2	2潦潦草草
潭	dẽ2	
潮	dzɔ2	
澆	ciɔ1	
澡	tsɔ5	
澤	dzʌʔ8	
澾	tʰæʔ7	滑澾澾
激	ciʌʔ7	1感激
激	ciʔ7	2激怒
濁	zɒʔ8	1
濁	zok8	2
濁	zoʔ8	3
濁	dzoʔ8	4
濃	ɲioŋ2	1濃黑
濃	nuŋ2	2濃茶
濕	sɑk7	1
濕	sɑʔ7	2
濟	tsi5	1賙濟
濟	tsi1	2賙濟
濠	ɦɔ2	
濫	læ̃6	1汎濫
濫	læ̃2	2蹂濫
濾	lu6	
瀆	doʔ8	
瀉	siɑ5	1瀉藥
瀉	ziɑ6	2吐瀉
瀉	zɑ6	
瀝	liʔ8	
灌	kuẽ5	1
灌	ɡuẽ6	3
灌	kuẽ1	原作“貫”
灘	tʰæ̃1	
火	hu3	
灰	hue1	
灼	zɑʔ8	
災	tse1	
炒	tsʰɔ3	
炙	tsʌʔ7	
炭	tʰæ̃5	
炮	pʰɔ5	
炰	pʰɔ5	
炷	tsʮ1	
烈	liʔ8	
烊	ɦiɑŋ2	1
烊	iɑŋ1	2
烊	iɑŋ5	3
烏	u1	1
烏	ɦu2	2烏鴉
烘	huŋ1	1
烘	huŋ5	2
烙	lɒʔ8	
烟	iẽ1	1
烟	ɦiẽ2	2
烤	kʰɔ3	
焅	kɔ5	1焅點心,釋義爲“pastry {cake}”
焅	kʰɔ5	2釋義爲“roast”
焉	ɦiẽ2	
焚	vʌn2	
無	m̩2	1
無	vu2	2
無	ɦu2	3
無	m̩1	4
焦	tsiɔ1	
然	zẽ2	
煅	tø̃5	
煇	hue1	
煉	liẽ6	
煌	ɦuɒŋ2	
煎	tsiẽ1	
煞	sæʔ7	
煠	zæʔ8	
煤	me2	
煥	huẽ5	
照	tsɔ5	1
照	tsɔ1	2
煨	ue1	
煩	væ̃2	
煮	tsʮ3	1
煮	tsʮ1	2
煮	u5	
煽	sẽ5	
熊	iuŋ1	
熏	çyn1	1原作“燻”
熏	ɕyn1	2
熒	iuŋ1	
熙	çi1	
熚	piʔ7	
熟	zok8	1
熟	zoʔ8	2
熬	ŋɔ2	
熱	ɲiʔ8	1
熱	zəʔ8	2
燄	ɦiẽ6	1
燄	iæ̃5	2
燈	tʌŋ1	
燉	tʌŋ1	
燒	sɔ1	1
燒	sɔ3	2
燔	væ̃2	
燕	iẽ5	1
燕	iẽ3	2
燙	tʰɒŋ5	
營	ɦiʌŋ2	1
營	iʌŋ1	2
燥	sɔ5	
燭	tsoʔ7	
爆	pɔ1	1
爆	poʔ7	擬聲詞,熚爆熚爆
爐	lu2	
爛	læ̃6	1
爛	læ̃2	2爛泥
爬	bo2	
爭	tsɑŋ1	1
爭	tsʌŋ1	2
爲	ɦue2	1
爲	ɦue6	2
爵	tsiɑʔ7	
父	vu4	1父母
父	vu6	2父老
爹	tiɑ1	
爺	ɦiɑ2	1
爺	ɦiɑ4	2
爺	iɑ1	3
爽	sɒŋ3	1
爽	sɒŋ1	2
爽	zɒŋ2	爽歇,釋義爲“after a little time”
爿	bæ̃2	
片	pʰiẽ5	1
片	pʰiẽ1	2
版	pæ̃3	
牌	bɑ2	
牙	ŋɑ2	
牛	ɲiɤ2	
牝	biŋ2	
牡	mɔ6	
牢	lɔ2	1
牢	lɔ4	2牢頭
牧	mɒʔ8	1牧羊
牧	moʔ8	2牧童
物	məʔ8	1物事
物	vəʔ8	2禮物
牲	sɑŋ1	
特	dʌʔ8	
牽	cʰiẽ1	
犀	si1	
犁	li2	
犧	çi1	
犬	cʰiø̃3	1小犬
犬	cʰiø̃1	2小犬
犯	væ̃4	1犯法
犯	væ̃6	2犯法
狀	zɒŋ6	1
狀	zɒŋ2	2
狂	ɡuɒŋ2	
狐	ɦu2	
狗	kɤ3	
狠	hʌn3	
狸	li2	
狹	ɦæʔ8	1
狹	æʔ7	2
狹	iæʔ7	3
狼	lɒŋ2	
猛	mʌŋ4	1猛如虎
猛	mʌŋ6	2勇猛
猛	mʌŋ2	3凶猛
猜	tsʰe1	
猫	mɑŋ1	1
猫	mɔ2	2
猫	mɔ6	3
猴	ɦɤ2	
猶	ɦiɤ2	1
猶	iɤ1	2
猻	sʌŋ1	
獄	ɲioʔ8	1
獄	ɲiok8	2
獅	sɿ1	
獎	tsiɑŋ3	
獨	dok8	1惟獨
獨	doʔ8	2惟獨
獲	ɦuoʔ8	
獵	liʔ8	
獸	sɤ3	
獺	tʰæʔ7	
獻	ɕiẽ5	
玀	lu2	1
玀	lu4	2
率	søʔ7	1比例率
率	səʔ7	2速率
玉	ɲiok8	1
玉	ɲioʔ8	2
王	ɦuɒŋ2	
玩	ɦuæ̃6	1玩器
玩	uæ̃3	2玩耍
玲	liŋ2	
玳	te5	
玷	tiẽ5	1玷污
玷	tiẽ1	2玷污
玻	pu1	
珀	pʰɑʔ7	
珊	sæ̃1	
珍	tsʌn1	
珙	koŋ1	神珙
珠	tsʮ1	
班	pæ̃1	1班次
班	pæ̃5	2魯班尺
現	ɦiẽ6	1
現	ɦiẽ4	2
球	ɟiɤ2	
理	li4	
琉	liɤ2	
琥	hu3	
琴	ɟiʌn2	
琵	bi2	
琶	bo2	
瑁	me6	
瑙	nɔ4	
瑚	ɦu2	
瑣	su3	
瑪	mo4	
璃	li2	
璜	ɦuɒŋ2	
環	ɡuæ̃2	
璽	si3	
瓏	loŋ2	
瓜	kuo1	
瓢	biɔ2	
瓦	ŋo4	
瓶	biŋ2	
瓷	dzɿ2	
瓶	biŋ2	
甏	bɑŋ6	1
甏	bɑŋ2	3
甏	bɑŋ6	聾甏,表“聾子”
甕	uŋ5	
甘	kẽ1	
甚	zʌn6	
甜	diẽ2	
生	sɑŋ1	1
生	sʌŋ1	2
産	tsʰæ̃3	
甥	sɑŋ1	
用	ɦiuŋ6	1
用	iuŋ5	2
甩	huæʔ7	
甫	fu3	
田	diẽ2	
由	ɦiɤ2	
甲	kæʔ7	1
甲	ciæʔ7	2
申	sʌn1	
男	nẽ2	
界	kɑ5	1世界
界	kɑ1	2世界
畏	ue5	1
畏	ɦue6	2
留	liɤ2	
畜	tsʰoʔ7	
畝	mɤ2	
畢	piʔ7	
略	liɑk8	1畧些
略	liɑʔ8	2大略
番	fæ̃1	1一番道理
番	væ̃2	2番柿
畫	ɦuo6	1
畫	ɦuo2	2畫畫
畫	ɦuɑʔ8	3畫字號
異	i5	1
異	ɦi2	2
當	tɒŋ1	1當中
當	tɒŋ5	2典當
疊	dəʔ8	
疎	su1	
疑	ɲi2	
疙	kəʔ7	原作“㾑”
疫	ɦioʔ8	
疲	bi2	
疸	tæ̃5	2黃疸
疹	tsʌn1	1
疹	tsʌn3	2
疽	tsʮ1	
疾	ziʔ8	1疾病
疾	dziʔ8	2痢疾
病	biŋ6	1瘧子病
病	biŋ2	2熱病
症	tsʌŋ5	
痊	dziẽ2	
痔	dzɿ6	
痕	ɦʌn2	1傷痕
痕	ɦʌn6	2傷痕
痘	dɤ6	
痛	tʰoŋ5	
痢	li6	1痢疾
痢	li2	2痢疾
痧	so1	
痰	dæ̃2	
痳	mo2	
瘊	ɦɤ6	
瘋	fuŋ1	
瘟	uʌn1	
瘡	tsʰɒŋ1	1毒瘡
瘡	tsʰɒŋ5	2毒瘡
瘤	liɤ2	
瘦	sɤ5	1
瘦	sɤ3	2
瘧	ŋɒk8	1瘧子病
瘧	ŋɒʔ8	2瘧子
瘩	ɗæʔ7	
癉	tæ̃1	1火癉
癉	tæ̃3	2癉疽
癒	y3	
癡	tsʰɿ1	
癢	iɑŋ3	
癤	tsiʔ7	
癩	lɑ6	
癭	iʌŋ1	
癱	tʰæ̃1	
癲	tiẽ1	
登	tʌŋ1	登基
登	tʌŋ1	表示“居住”
發	fæʔ7	
白	bɑk8	1白手求財
白	bɑʔ8	2明白
百	pɑk7	1百姓
百	pɑʔ7	2一百
百	pʌʔ7	3
皂	zɔ6	
的	tiʔ7	
皆	ciɑ1	
皇	ɦuɒŋ2	
皎	ciɔ1	
皮	bi2	
皺	tsɤ5	
皿	miŋ4	
盆	bʌn2	
盈	iʌŋ1	
益	ɦiʌk8	1
益	ɦiʌʔ8	2
盔	kʰue1	1盔甲
盔	kʰuẽ1	2盔甲
盛	zʌŋ2	1盛滿
盛	zʌŋ6	2茂盛
盜	dɔ6	
盞	tsæ̃3	1
盞	tsæ̃1	2
盟	mʌŋ2	
盡	dziŋ4	1
盡	ziŋ6	2盡心
盡	dziŋ6	3盡心竭力
監	kæ̃1	1監牢
監	ciẽ1	2監督
盤	bẽ2	1
盤	bẽ6	2盤攏
盧	lu2	
目	mɑk8	1
目	mɑʔ8	2數目
目	mɒk8	3
目	mɒʔ8	4
目	mok8	5目今
目	moʔ8	6目錄
直	dzʌk8	1
直	dzʌʔ8	2
直	zʌʔ8	3直頭
相	siɑŋ1	1
相	siɑŋ5	2
省	sɑŋ3	1
省	siŋ3	2省察
省	sɑŋ1	3省用
眉	me2	
看	kʰø̃5	1看書
看	kʰø̃1	2看門
看	kʰø̃1	3
真	tsʌn1	
眠	miẽ2	
眷	ciø̃5	
眼	ŋæ̃4	1
眼	ŋæ̃2	2
着	zɑk8	1尋着之
着	zɑʔ8	2尋得着
着	dzɑʔ8	3着冷
着	tsɑʔ7	4着衣裳
着	zæʔ8	5全關着
睃	su1	
睏	kʰuʌn5	1
睏	kʰuʌŋ5	2睏醒
睛	tsiŋ1	
督	toʔ7	1總督
督	tɒʔ7	2提督
睦	mok8	1和睦
睦	moʔ8	2和睦
睹	tu3	
睿	zʮe6	
瞎	hæʔ7	
瞞	mẽ2	
瞧	dziɔ2	
矜	ciʌŋ1	
知	tsɿ1	1
知	tsɿ5	2
矩	cy3	
矬	tsʰu1	矮矬矬
短	ɗø̃3	1長短
短	tø̃3	2長短
矮	ɑ3	1矮子
矮	ɦɑ4	2
石	zɑk8	1磁石
石	zɑʔ8	2寶石
砂	so1	
砍	kʰẽ3	1
砍	kʰẽ5	2
砒	pʰi1	
砟	tsɒʔ7	
砣	du2	
破	pʰu5	
硃	tsʮ1	
研	ɲiẽ2	
硝	siɔ1	
硫	liɤ2	
硬	ŋɑŋ6	
硯	ɲiẽ6	
硼	bɑŋ2	
碌	loʔ8	
碎	se5	1
碎	sʮe5	2
碑	pe1	
碗	uẽ3	1
碗	uẽ1	2
碗	ɦuẽ2	3
碗	ɦuẽ4	4
碟	diʔ8	
碧	piʔ7	
碰	bɑŋ6	1
碰	bɑŋ2	2碰巧
確	kʰɒʔ7	1
確	cʰiɑʔ7	2
碼	mo4	
碾	ɲiẽ2	
磁	dzɿ2	1磁石
磁	dzɿ6	2磁石
磐	bẽ2	
磕	kʰəʔ7	
磚	tsẽ1	
磠	lu4	
磨	mu2	1
磨	mo2	2
磨	mu6	3
磬	cʰiʌŋ1	
磺	ɦuɒŋ2	
磽	ciɔ1	
礙	ŋe6	
礬	væ̃2	
礱	luŋ2	礱糠
示	zɿ6	
社	ze6	
祀	zɿ6	
祈	ɟi2	
祖	tsu3	
祝	tsoʔ7	
神	zʌn2	
祟	sʮe5	
祥	ziɑŋ2	1吉祥
祥	dziɑŋ2	2勿吉祥
票	pʰiɔ3	1
票	pʰiɔ5	2
祭	tsi5	1
祭	tsi1	2謝恩祭
祿	loʔ8	1俸祿
祿	lɒʔ8	2福祿壽
禁	ciʌn5	1
禁	ciʌn1	2牢頭禁子
禍	ɦu6	
福	fok7	1福氣
福	foʔ7	2福氣
禧	ɕi1	
禮	li4	
禱	tɔ3	
禽	ɟiʌn2	
秃	tʰok7	1全稱量詞,表示“都”
秃	tʰoʔ7	2全稱量詞,表示“都”
秃	tʰɒʔ7	3全稱量詞,表示“都”
秃	tʰoʔ7	禿頂
秀	siɤ5	
私	sɿ1	1私底下
私	sɿ5	2
秋	tsʰiɤ1	
科	kʰu1	1外科醫生
科	kʰu5	2內科醫生
秒	miɔ6	
秘	pi5	
租	tsu1	1
租	tsu5	2
秤	tsʰʌŋ5	
秦	dziŋ2	
移	i1	
稀	ɕi1	
税	sʮe5	
程	dzʌŋ2	
稗	bɑ2	
稟	piŋ3	
稠	dzɤ2	
種	tsoŋ3	1種子
種	tsuŋ3	2種子
種	tsoŋ5	3種花
種	tsuŋ5	4種花
種	tsuŋ1	5種田
稱	tsʰʌŋ1	1稱讚
稱	tsʰʌŋ5	2相稱
稷	tsiʔ7	
稻	dɔ4	1
稻	dɔ6	2
稻	dɔ2	3稻柴
稿	kɔ3	
穀	koʔ7	
穌	su1	
積	tsiʔ7	
穗	zəʔ8	麥穗頭
穢	ue5	
穩	uʌn3	1
穩	uʌŋ3	2安穩
穩	uʌn1	3穩當
究	ciɤ5	
穹	cʰiuŋ1	
空	kʰuŋ5	1空閒
空	kʰoŋ1	2空活虛字
空	kʰuŋ1	3
穿	tsʰẽ1	
窄	tsæʔ7	
窗	tsʰɒŋ1	
窩	ɦu2	
窮	ɟioŋ2	1
窮	ɟiuŋ2	2
窰	iɔ1	
窺	kʰue1	
竄	tsʰø̃5	
竅	cʰiɔ5	
竈	tsɔ5	
竊	tsʰiʔ7	
立	liʔ8	
站	dzæ̃6	
竟	ciʌŋ5	
章	tsɑŋ1	1
章	tsɒŋ1	2
童	duŋ2	
竭	ɟiʔ8	
端	ɗø̃1	1
端	tø̃1	2
競	ɟiʌŋ6	
竹	tsok7	1竹爿
竹	tsoʔ7	2竹牌
竿	kʏ̃1	1
竿	kʏ̃5	2竹竿
笆	po1	
笋	sʌn3	
笑	siɔ5	
笛	diʔ8	
符	vu2	
笨	bʌn6	
第	di2	1第個,近指代詞
第	di6	2近指代詞
第	di6	次第
筆	piʔ7	
等	tʌŋ3	1等待
等	tʌŋ1	2等一歇
筋	ciʌn1	
筐	kʰɒŋ1	
筒	doŋ2	1
筒	duŋ2	2
筒	doŋ2	暖筒筒
答	tæʔ7	1報答
答	ɗəʔ7	2
策	tsʰɑʔ7	
筮	sɿ1	
筵	ɦiẽ2	1
筵	iẽ1	2
筷	kʰuæ̃1	
箍	ku1	
箒	tsɤ3	
箔	boʔ8	1
箔	bɒʔ8	2
箕	ci1	
算	sø̃5	1
算	sʏ̃5	2
算	sʏ̃1	3勿算
管	kuẽ3	
箭	tsiẽ5	1
箭	tsiẽ1	2箭弝
箱	siɑŋ1	
箴	tsʌn1	
節	tsiʔ7	
範	væ̃6	
篆	dzẽ6	
篇	pʰiẽ1	1
篇	pʰiẽ5	2
築	tsok7	
篐	ku1	
篙	kɔ1	
篤	toʔ7	
篦	piẽ1	
篩	se1	1
篩	sɿ1	2
篷	boŋ2	1
篷	buŋ2	2
簍	liɤ4	
簏	loʔ8	
簡	kæ̃3	1
簡	ciẽ3	2
簫	siɔ1	
簷	ɦiẽ2	
簸	pu1	
簽	tsʰiẽ1	
簾	liẽ2	
簿	bu4	1號簿
簿	bu6	2上簿子enrol
籃	læ̃2	
籍	dziʔ8	
籐	dʌŋ2	
籙	loʔ8	
籠	loŋ2	1
籠	luŋ2	2
籠	loŋ4	3
籤	tsʰiẽ1	
籬	li2	
籮	lu2	
籲	iɑʔ7	
米	mi4	
粉	fʌn3	1麵粉
粉	fʌn1	2麵粉
粒	liʔ8	
粗	tsʰu1	
粘	ɲiẽ2	
粟	soʔ7	
粥	tsoʔ7	
粧	tsɒŋ1	1
粧	tsɒŋ3	2
粱	liɑŋ2	
精	tsiŋ1	
糊	ɦu2	
糕	kɔ1	
糖	dɒŋ2	
糞	fʌn5	
糟	tsɔ1	
糠	kʰɒŋ1	
糧	liɑŋ2	1錢糧
糧	liɑŋ6	2錢糧
糴	diʔ8	
紀	ci5	1年紀
紀	ci3	2年紀
約	iɑk7	1約百錢
約	iɑʔ7	2約畧
約	ɦiæʔ8	3沈約
紅	ɦoŋ2	1
紅	ɦuŋ2	2
紆	y1	
紋	vʌn2	
納	næʔ8	1瓜田不納履
納	nəʔ8	2收納
紐	ɲiɤ4	
純	dzʌn2	
紗	so1	
紙	tsɿ3	
級	ciʔ7	
紛	fʌn1	
素	su5	
紡	fɒŋ3	
索	sɒʔ7	1勒索
索	soʔ7	2勒索
紥	tsæʔ7	
紫	tsɿ3	
累	le2	1累積
累	le6	2連累
細	si5	
紳	sʌn1	
終	tsoŋ1	1臨終
終	tsuŋ1	2善終
絃	ɦiẽ2	
絆	pæ̃5	
結	ciʔ7	
絶	dziʔ8	
絞	kɔ3	1絞線
絞	kɔ1	2
絞	ciɔ1	3
絡	lɒʔ8	
給	kiʔ7	
絨	ɲiuŋ2	
絮	si1	
統	tʰoŋ3	1
統	tʰuŋ3	2
絲	sɿ1	
絹	ciø̃5	
綁	pɒŋ3	
綏	sʮe1	
綑	kʰuʌn3	1
綑	kʰʌŋ3	2綑綁
經	ciʌŋ1	
綠	lok8	
綢	dzɤ2	
綱	kɒŋ1	
網	mɒŋ4	
綻	dzæ̃6	
綾	liŋ2	
綿	miẽ2	
緊	ciʌn3	
緖	zy4	1衍緒草堂筆記
緖	zʮ6	2
緖	dzy4	3
線	siẽ5	1
線	siẽ1	2
緝	tsʰiʔ7	
緞	dø̃6	
緣	iø̃1	
編	piẽ1	
緩	ɦuẽ4	1
緩	ɦuẽ6	2緩急
緩	ɦuẽ2	3緩決
緯	ɦy6	1原作“芋”
緯	ɦue6	2
緯	ue1	3
緯	ue5	4
練	liẽ6	1練達
練	liẽ4	2諳練
練	liẽ2	3熟練
緻	tsɿ5	
縉	tsiŋ5	
縐	tsɤ5	
縛	voʔ8	
縣	ɦiø̃6	1
縣	iø̃5	2知縣
縫	voŋ2	1裁縫
縫	vuŋ2	2裁縫
縫	vuŋ6	3橫縫
縮	sok7	1縮轉來
縮	soʔ7	2縮勿轉
縮	sɒʔ7	3縮短
縱	tsuŋ5	
總	tsoŋ3	1
總	tsuŋ3	2
總	tsoŋ5	3
總	tsuŋ1	4總督
繃	mɑŋ4	表示“密”
織	tsʌʔ7	
繞	zɔ2	
繡	siɤ5	1
繡	siɤ1	2洋繡球
繩	zʌŋ2	
繪	ɦue6	
繭	ciẽ3	
繼	ci5	1繼父
繼	ci1	2相繼
續	zoʔ8	
纏	zẽ2	1盤纏
纏	dzẽ2	2纏絞
纏	tsẽ3	3纏頭帽
纓	iʌŋ1	
纜	læ̃4	1紥纜
纜	læ̃2	2纜繩
缸	kɒŋ1	
缺	cʰiøʔ7	
罌	iʌŋ1	
罐	kuẽ5	1罐頭
罐	kuẽ1	2罐頭
罕	hø̃3	
罩	tsɔ5	
罪	ze4	1罪過
罪	ze6	2罪過
罪	zʮe4	3
罪	dzʮe4	4犯罪
罪	dzʮi4	5
罪	dzʮe6	6定罪
罪	zʮe2	7
置	tsɿ5	
罰	væʔ8	
罵	mo6	
罷	bɑ4	1勿罷拉,表示“不止”
罷	bɑ6	2罷勿得
罷	bo4	3
羅	lu2	
羊	ɦiɑŋ2	
美	me4	
羔	kɔ1	
羞	siɤ1	
群	ɟyn2	
羨	ziẽ6	
義	ɲi6	
羹	kɑŋ1	
羽	y3	
翁	uŋ1	
翅	tsʰɿ5	1魚翅
翅	tsʰɿ1	2魚翅
翅	liʔ8	
翎	liŋ2	
習	ziʔ8	1
習	dziʔ8	2
翠	tsʰʮ5	
翠	tsʰʮe5	
翦	tsiẽ3	
翻	fæ̃1	1翻譯
翻	fæ̃3	2船將要翻脫
翼	liʔ8	
老	lɔ4	1
老	lɔ2	2老兄
考	kʰɔ3	
者	tse3	1
者	tse5	2
而	əɹ2	
耍	sɑ3	
耐	ne6	
耕	kʌŋ1	
耗	hɔ5	
耘	yn1	
耙	bo2	
耳	ɲi4	1耳朶
耳	əɹ4	2耳目口鼻
耳	əɹ2	3
耶	iɑ1	
耽	ɗẽ1	1
耽	tæ̃1	2耽誤
聖	sʌŋ5	
聘	pʰiŋ5	
聚	dzʮ6	1聚集
聚	dzy6	2聚集
聚	dzy2	3聚攏來
聞	vʌn2	
聯	liẽ2	
聰	tsʰoŋ1	1聰明
聰	tsʰuŋ1	2聰明
聲	tiŋ1	
聲	toŋ1	
聲	sɑŋ1	1
聲	sʌŋ1	2
聲	piʔ7	
職	tsʌʔ7	
聽	tʰiŋ1	1
聽	tʰiŋ5	2
聾	luŋ2	
肅	soʔ7	
肆	sɿ5	
肉	ɲiok8	1
肉	ɲioʔ8	2
肉	zok8	3
肉	zoʔ8	4
肋	lʌʔ8	
肘	tsɤ3	
肚	du4	1肚腸
肚	du6	2肚皮
肚	tu3	3橫肚裏
肚	tu1	4直心直肚腸
肝	kʏ̃1	
股	ku3	1
股	ku5	2量詞
肢	tsɿ1	
肥	bi2	1肥皂
肥	vi2	2
肩	ciẽ1	
肯	kʰʌŋ3	1
肯	kʰʌŋ1	2
育	ioʔ7	
肺	fi5	
胃	ue1	1
胃	ue5	2
背	be6	1違背
背	pe5	2背脊骨
背	pe1	3背脊骨
胎	tʰe1	
胞	pɔ1	
胡	ɦu2	
胭	ɦiẽ2	
胱	kuɒŋ1	
胸	ɕiuŋ1	
能	nʌŋ2	1那能
能	nʌŋ6	2那能辦法
脂	tsɿ1	
脆	tsʰʮe5	1brittle
脆	tsʰʏ̃5	2釋義爲“brittle”
脆	tsʰẽ5	3釋義爲“brittle”
脉	mɑk8	1
脉	mɑʔ8	2
脊	tsiʔ7	
脚	ciɑk7	1脚夫
脚	ciɑʔ7	2
脚	kɑʔ7	3
脩	siɤ1	
脱	tʰøʔ7	1
脱	tʰəʔ7	2
脹	tsɑŋ5	
脾	bi2	1脾氣
脾	bi6	2脾氣
腎	zʌn6	
腐	vu4	1腐壞
腐	vu6	2荳腐
腑	fu3	
腕	ɦuẽ2	
腦	nɔ4	
腫	tsuŋ3	
腰	iɔ1	
腸	dzɑŋ2	
腿	tʰe3	
膀	bɒŋ2	1膀胱
膀	pɒŋ3	2臂膀
膊	pɒʔ7	
膏	kɔ1	
膚	fu1	
膛	dɒŋ2	
膜	mɒʔ8	1隔膜
膜	moʔ8	2隔膜
膝	siʔ7	
膠	kɔ1	1樹膠
膠	ciɔ1	2樹膠
膩	ɲi6	
膽	tæ̃3	
膿	nuŋ2	
臂	pi5	
臍	dzi2	
臘	læʔ8	擬聲詞,刮臘刮臘
臟	zɒŋ6	1
臟	zɒŋ2	2
臣	zʌn2	1君君臣臣
臣	dzʌn2	2臣子
臥	ŋu6	
臨	liŋ2	
自	zɿ6	1
自	zɿ2	2
臬	ɲiʔ8	
臭	tsʰɤ5	1臭蟲
臭	tsʰiɤ5	2臭名聲
至	tsɿ3	1
至	tsɿ5	2
至	tsɿ1	3夏至
致	tsɿ5	
臼	ɟiɤ6	
舀	ɦiɔ2	1
舀	iɔ3	2
舂	suŋ1	1
舂	tsʰuŋ1	2
舅	ɟiɤ6	
與	y3	1
與	y5	2
興	ɕiʌŋ1	1興旺
興	ɕiʌŋ5	2高興
興	ɕiʌŋ1	擬聲詞,興興夯夯,表示喘氣聲
舉	cy3	
舊	ɟiɤ4	1
舊	ɟiɤ6	2
舌	zəʔ8	
舍	so5	
舒	sʮ1	1
舒	sʮ3	2舒身
舞	vu4	
般	pẽ1	
舵	du4	1
舵	du6	2
船	zẽ2	
艇	tʰiŋ1	
艙	tsʰɒŋ1	
良	liɑŋ2	
艱	ciẽ1	
色	sʌʔ7	
芋	y5	1
芝	tsɿ1	
芥	kɑ5	
芫	ɲiø̃2	
芭	po1	
芯	siŋ1	
花	huo1	1
花	huo5	2花花世界
芸	yn1	
芹	ɟiʌn2	
芽	ŋɑ2	
苓	liŋ2	
苔	de2	
苗	miɔ2	
若	zɑk8	1
若	zɑʔ8	2
若	zɒk8	3
苦	kʰu3	1苦惱
苦	kʰu5	2苦難
英	iʌŋ1	
蘋	biŋ2	
茂	mɤ6	
茄	ɡɑ2	
茅	mɔ2	
茉	məʔ8	
茫	mɒŋ2	
茯	voʔ8	
茴	ɦue2	1茴香
茴	ue1	2細茴香
茵	iʌn1	
茶	dzo2	
荆	ciʌŋ1	1荆棘
荆	ciʌŋ5	2荆條編
草	tsʰɔ3	1
草	tsʰɔ5	2潦潦草草
荒	huɒŋ1	
荔	li6	
荳	dɤ6	1荳腐
荳	dɤ2	2荳油
荷	ɦu2	
荸	bəʔ8	
荽	sʮe1	
莉	li6	
莫	mok8	1莫非
莫	moʔ8	2莫非
菇	ku1	
菊	cioʔ7	
菌	cyn1	
菜	tsʰe5	
菠	pu1	
菩	bu2	
華	huo1	1龍華塔
華	ɦuo2	2榮華
華	uo1	3榮華
菴	ẽ1	
萃	tsʰʮe1	
萄	dɔ2	
萋	tsʰi1	
萌	mʌŋ2	
萍	biŋ2	
萬	mæ̃6	1
萬	væ̃6	2
落	lɒk8	1落水
落	lɒʔ8	2落雨
葉	ɦiʔ8	1
葉	iʔ7	2
葛	køʔ7	
葡	bu2	
董	toŋ3	1
董	tuŋ3	2
葫	ɦu2	
葬	tsɒŋ5	1
葬	tsɒŋ1	2
葱	tsʰuŋ1	
葵	ɡue2	
蒔	zɿ2	
蒙	moŋ2	1心地蒙昧
蒙	muŋ2	2蒙恩
蒜	sʏ̃5	
蒲	bu2	
蒸	tsʌŋ1	
蒼	tsʰɒŋ1	
蓄	ɕioʔ7	
蓆	ziʔ8	
蓋	ke5	1什蓋能,“這樣”
蓋	ke1	2拾蓋,表示“這樣”
蓋	kəʔ7	3表示“這樣”
蓋	kʌʔ7	4蓋末
蓋	ke5	蓋地皮
蓪	tʰuŋ1	
蓬	buŋ2	
蓮	liẽ2	
蔔	boʔ8	
蔗	tso5	1
蔗	tso1	2
蔬	su5	
蔯	dzʌn2	
蔴	mo2	1
蔴	mu2	2
蔻	kʰɤ5	
蔽	pi5	
蕉	tsiɔ1	
蕊	ɲy4	
蕩	dɒŋ6	1放蕩
蕩	dɒŋ4	2
蕩	dɒŋ2	蕩搭,表示“這裏”
蕷	y5	
薄	bɒk8	1
薄	bɒʔ8	2淡薄
薄	bok8	3
薄	boʔ8	4刻薄
薇	me2	
薈	ɦue6	
薑	ciɑŋ1	
薔	ziɑŋ2	
薦	tsiẽ5	
薩	sæʔ7	
藉	dziʔ8	釋義爲“rely”
藍	læ̃2	
藏	zɒŋ2	1
藏	dzɒŋ2	2藏頭露尾
藐	miɔ4	
藝	ɲi6	
藤	dʌŋ2	
藥	ɦiɑʔ8	1毒藥
藥	iɑk7	2藥性
藩	fæ̃1	
蘆	lu2	
蘇	su1	
蘭	læ̃2	
蘿	lɔ2	
虎	hu3	
虐	ɲiɑʔ8	
虔	ɟiẽ2	
處	tsʰʮ5	1好處
處	tsʰy5	2空處
處	tsʰu5	3
虚	ɕy1	
號	ɦɔ4	1號筒trumpet
號	ɦɔ6	2號單
