#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪,地名
瀑	pək8	
瀕	pʰɜn4	
瀚	hun6	
瀝	liɑk8	大瀝,地名
瀝	liɑk7b	瀝乾
瀝	lɪk8	瀝乾
瀟	siu1	
瀰	mei4	
瀰	nei4	
瀾	lɑn4	
灌	kun1	
灑	sɑ2	
灘	hɑn1	
灣	ʋɑn1	
灣	ʋɑn4	南灣,地名
火	fuɔ2	
灰	fui1	
灶	tsou1	
灶	tsou5	變調
灸	kɜu1	
灼	tsiøk7b	
災	tsui1	
炊	tsʰui1	
炎	jim4	
炒	tsʰɑu2	
炕	hɔŋ1	
炕	kʰɔŋ1	
炙	tsiɑk7b	
炫	jin5	
炬	kui6	
炭	hɑn1	
炮	pʰɑu1	
炯	kuɪŋ2	
炳	pɪŋ2	
炸	tsɑ1	
烈	lit8	
烊	jiøŋ4	
烏	ʋu1	
烘	həŋ1	
烙	lɔk7b	
烤	hɑu1	
烯	hei1	
烷	jin4	
烹	pʰɑŋ1	
烽	fəŋ1	
焉	jin1	焉知非福
焉	jin4	心不在焉
焙	pui6	
焚	fɜn4	
無	mɜu4	
焦	tsiu1	
焰	jim6	
然	ŋin4	
煉	lin6	
煌	ʋɔŋ4	
煎	tsin1	
煒	ʋei2	
煒	ʋei5	
煙	jin1	
煞	sɑt7b	
煤	mui4	
煥	ʋun6	
煦	hui2	
照	tsiu1	
煩	fɑn4	
煮	tsi2	
煲	pou1	
煲	pou5	名詞,變調
煽	sin1	
熄	sɪk7a	
熊	həŋ4	
熊	jəŋ4	人熊,白讀,傳說中的怪物
熔	jəŋ4	
熙	hei1	
熟	sək8	
熨	hɔŋ1	
熨	ʋɜt7a	熨貼
熬	ŋou4	
熱	ŋit8	
熹	hei1	
熾	tsʰi1	
燃	ŋin4	
燄	jim6	
燈	tɑŋ1	
燉	tɜn6	
燎	liu4	
燒	siu1	
燕	jin5	燕子
燙	hɔŋ1	
燜	mun6	
營	jɪŋ4	
燠	jək7a	
燥	tsʰou1	
燦	tsʰɑn1	
燭	tsək7a	
燹	sin2	
燻	fɜn1	
爆	pɑu1	
爍	siøk7b	
爐	lɜu4	
爛	lɑn6	
爪	tsɑu2	
爬	pʰɑ4	
爭	tsɑŋ1	
爲	ʋei4	人爲
爲	ʋei6	爲何
爵	tsiøk7a	
父	fu6	
爸	pɑ5	
爹	tiɑ1	
爺	jiɑ4	
爽	sɔŋ2	
爾	ŋi5	
牆	tsʰiøŋ4	
片	pʰin1	
版	pɑn2	
牌	pʰɑi4	
牙	ŋɑ4	
牙	ŋɑ5	變調
牚	tsʰɑŋ1	
牛	ŋɑu4	
牟	mɑu4	
牠	hɑ1	
牡	mɑu5	
牢	lou4	
牧	mək8	
物	mɜt8	
牲	sɑŋ1	
牴	tɑi2	
特	tɑk8	
牽	hin1	
犀	sɑi1	
犁	lɑi4	
犄	kei1	
犢	tək8	
犧	hei1	
犬	hin2	
犯	fɑn6	
狀	tsɔŋ6	
狂	kʰɔŋ4	
狄	tɪk8	
狐	ʋu4	
狗	kɑu2	
狠	hɑn2	
狡	kɑu2	
狩	sɜu1	
狸	lei4	
狹	hɑp8	
狼	lɔŋ4	
狽	pui1	
猖	tsʰiøŋ1	
猙	tsɑŋ1	
猛	mɑŋ2	發猛(發脾氣)
猛	mɑŋ5	
猜	tsʰɑi2	
猝	tsʰɜt7a	
猝	tsɜt7a	
猩	sɪŋ1	
猴	hɑu4	
猶	jɜu4	
猾	ʋɑt8	
猿	jin4	
獄	ŋək8	
獅	si1	
獎	tsiøŋ2	
獗	kʰit7b	
獨	tək8	
獰	nɪŋ4	
獲	ʋɔk8	
獵	lip8	
獷	kɔŋ2	
獷	kʰɔŋ1	
獸	sɑu1	
獺	tsʰɑt7b	
獻	hin1	
獼	mei4	
獼	nei4	
玄	jin4	
率	lɜt8	
率	sɜt7a	率領
玉	ŋək8	
王	ʋɔŋ4	國王
王	ʋɔŋ6	王天下
玖	kɜu2	
玩	ʋɑn2	去玩
玩	ʋun6	玩弄
玫	mui4	
玲	lɪŋ4	
玷	tim1	
玻	puɔ2	
珀	pʰɑk7b	
珊	sɑn1	
珍	tsɜn1	
珠	tsi5	
班	pɑn1	
珮	pʰui1	
現	jin6	
球	kʰɜu4	
琅	lɔŋ4	
理	lei5	
琇	sɜu1	
琉	lɜu4	
琢	tiøk7b	
琥	fu2	
琦	kʰei4	
琪	kʰei4	
琳	lɜm4	
琴	kʰɜm4	
琵	pʰei4	
琶	pʰɑ4	
瑋	ʋei2	
瑋	ʋei5	
瑕	hɑ4	
瑙	nou2	
瑚	ʋu4	
瑛	jɪŋ1	
瑜	ji4	
瑞	sui6	
瑟	sɜt7a	
瑣	suɔ2	
瑶	jiu4	
瑩	jɪŋ4	
瑪	mɑ1	
瑪	mɑ5	喇嘛
瑯	lɔŋ4	
瑰	kuei1	
瑾	kɜn2	
璀	tsʰui1	
璃	lei2	玻璃
璃	lei4	琉璃
璋	tsiøŋ1	
璞	pʰɔk7b	
璧	pɪk7b	
璨	tsʰɑn1	
環	ʋɑn4	
璽	sɑi2	
瓊	kʰuɪŋ4	
瓏	ləŋ4	
瓜	kuɑ1	
瓠	ʋu6	
瓢	pʰiu4	
瓣	fɑn6	花瓣
瓦	ŋɑ5	
瓶	pʰiɑŋ4	油瓶,白讀
瓶	pʰɪŋ4	
瓷	tsʰi4	
甄	tsɜn1	
甕	ʔəŋ1	
甘	kɑm1	
甚	sɜm6	
甜	him4	
生	sɑŋ1	
産	tsʰɑn2	
甥	sɑŋ1	
甦	sɜu1	
用	jəŋ6	
甩	lɜt7a	
甫	pʰɜu2	台甫
田	hin4	
由	jɜu4	
甲	kɑp9	
甲	kɑp7b	
申	sɜn1	
男	nɑm4	
甸	tin6	
町	tɪŋ1	
町	tɪŋ2	町畦
畀	pei2	
界	kɑi1	
畏	ʋei1	
畔	pun6	
留	lɜu4	
畚	pun2	
畜	tsʰək7a	
畝	mɑu5	
畢	pɜt7a	
略	liøk8	
畦	kʰuei4	
番	fɑn1	
畫	ʋɑ6	
畫	ʋɑk8	畫圖
異	ji6	
當	tɔŋ1	當然
當	tɔŋ1	適當
畸	kʰei1	
疆	kiøŋ1	
疇	tsʰɜu4	
疊	tip8	
疏	suɔ1	
疑	ŋi4	
疚	kɜu1	
疣	jɜu4	
疤	pɑ2	
疫	jɪk8	
疲	pʰei4	
疵	tsʰi2	
疹	tsʰɜn2	
疼	hɑŋ4	疼痛
疾	tsɜt8	
病	piɑŋ6	
症	tsɪŋ1	
痊	tsʰin4	
痕	hɑn4	
痘	tɑu6	
痛	həŋ1	
痠	sun1	
痢	lɑi6	
痢	lei6	
痰	hɑm4	
痲	mɑ4	
痴	tsʰi1	
痺	pei1	
瘋	fəŋ1	
瘍	jiøŋ4	
瘓	ʋun6	
瘖	jɜm1	
瘠	tsiɑk7b	
瘡	tsʰɔŋ1	
瘤	lɜu4	
瘦	sɑu1	
瘧	ŋiøk8	
療	liu4	
癌	ŋɑm4	
癒	ji6	
癟	pit8	
癢	jiøŋ5	
癤	tsit7b	
癥	tsɪŋ1	
癩	lɑi1	
癮	jɜn5	
癱	hɑn1	
癲	tin1	
癸	kuei1	
登	tɑŋ1	
發	fɑt7a	發生、發現、發覺
發	fɑt7b	發展、發財、發力、發癲
白	pɑk8	
百	pɑk7a	百厭
百	pɑk7b	一百
皂	tsou6	
的	tɪk7a	
皆	kɑi1	
皇	ʋɔŋ4	
皎	kɑu2	
皓	hɑu6	亮,白讀
皓	hou6	
皚	ŋui4	
皮	pʰei4	
皰	pʰɑu1	
皺	tsɑu1	
皿	mɪŋ5	
盂	ji4	
盃	pui1	
盆	pʰɜn4	
盆	pʰɜn5	變調
盈	jɪŋ4	
益	jɪk7a	
盎	ʔɔŋ1	
盒	hɑp8	
盔	kʰuei1	
盛	sɪŋ4	盛湯
盛	sɪŋ6	旺盛
盜	tou6	
盞	tsɑn2	
盟	mɑŋ4	
盡	tsɜn6	
監	kɑm1	
盤	pʰun4	
盧	lɜu4	
盪	tɔŋ6	
目	mək8	
盯	tiɑŋ1	
盯	tɪŋ1	
盲	mɑŋ4	
直	tsɪk8	
相	siøŋ1	
盹	tɜn6	
盼	pʰɑn1	
盾	hɜn5	
省	sɑŋ2	廣東省
省	sɪŋ2	反省
眇	miu5	
眈	tɑm1	
眉	mei4	
看	hun1	看守
真	tsɜn1	
眠	min4	
眨	tsɑm2	
眩	jin6	
眶	kʰuɑŋ1	
眷	kin1	
眺	hiu1	
眼	ŋɑn2	
眾	tsəŋ1	
睇	hɑi2	看
睏	kʰuɜn1	
睛	tsɪŋ1	
睜	tsɑŋ1	
睞	lui6	
睡	sui6	
督	tək7a	
睦	mək8	
睪	kou1	睪丸
睪	jɪk8	
睫	tsit8	
睬	tsʰui2	
睹	tɜu2	
睽	kʰuei4	
睾	kou1	
睿	jui6	
瞄	miu4	
瞇	mei1	
瞋	tsʰɜn1	
瞌	hɑp7a	
瞎	hɑt8	
瞓	fɜn1	睡覺
瞓	fɜn5	眼瞓
瞞	mun4	
瞟	pʰiu4	
瞠	tsʰɑŋ1	
瞥	pʰit7b	
瞧	tsʰiu4	
瞪	tɑŋ1	
瞬	sɜn1	
瞭	liu2	瞭解
瞭	liu6	瞭望
瞭	liu6	明瞭
瞰	hɑm1	
瞻	tsim1	
瞼	kʰim2	
瞿	kui1	瞿然一驚
瞿	kʰui4	瞿塘峽
矇	məŋ4	
矗	tsʰək7a	
矚	tsək7a	
矛	mɑu4	
矢	tsʰi2	
矣	ji5	
矣	ʔə2	
知	tei1	知道,白讀
知	tsi1	知識
矩	kui2	
短	tun2	
矮	ʔɑi2	
矯	kiu2	
石	siɑk8	
石	siɑk9	變調
矽	tsɪk8	
砂	sɑ1	
砌	tsʰɑi1	
砍	hɑm2	
研	ŋin4	
砝	fɑt7b	
砧	tɜm5	砧板,白讀
砧	tsɜm5	砧板
砰	pʰɪŋ1	
砲	pʰɑu1	
破	pʰuɔ1	
砵	put8	
砵	put9	變調
砸	tsɑp8	
砸	tsɑp7b	
硓	lou2	
硝	siu1	
硫	lɜu4	
硬	ŋɑŋ6	
硯	ŋin6	
硼	pʰɑŋ4	
碌	lək7a	
碎	sui1	
碎	sui5	變調
碑	pei1	
碗	ʋun2	
碘	tin2	
碟	tip8	
碧	pɪk7b	
碩	siɑk8	
碰	pʰəŋ1	
碳	hɑn1	
確	kʰɔk7b	
碼	mɑ5	
碾	nin2	
磁	tsʰi4	
磅	pɔŋ6	一磅
磅	pʰɔŋ4	磅礴
磋	tsʰuɔ1	
磕	hɑp8	
磚	tsin1	
磨	muɔ4	
磨	muɔ6	
磯	kei1	
磷	lɜn4	
磺	ʋɔŋ4	
礁	tsiu1	
礎	tsʰuɔ2	
礙	ŋui6	
礦	kʰɔŋ1	
礫	lɪk7a	
礴	pɔk8	
示	si6	
社	siɑ5	
祀	tsi6	
祂	hɑ1	
祇	kʰei4	神祇
祇	tsi2	同“只有”的“只”
祈	kʰei4	
祉	tsi2	
祐	jɜu6	
祕	pei1	
祖	tsɜu2	
祝	tsək7a	
神	sɜn4	
祟	sui6	
祠	tsʰi4	
祠	si4	老派
祥	tsʰɔŋ4	
票	pʰiu1	
票	pʰiu5	變調
祭	tsɑi1	
祿	lək8	
禁	kʰɜm1	禁止
禁	kʰɜm1	禁用
禍	ʋɔ6	
禎	tsɪŋ1	
福	fək7a	
禤	hin1	便嬛
禦	ŋi6	
禧	hei1	
禪	sim4	禪師
禪	sin6	禪讓
禮	lɑi5	
禱	hou2	
禹	ji5	
禽	kʰɜm4	
禾	ʋɔ4	
秃	hək7a	
秀	sɜu1	
私	si1	
秉	pɪŋ2	
秋	tsʰɜu1	
科	fuɔ1	
秒	miu5	
秘	pei1	
租	tsɜu1	
秤	tsʰɪŋ1	地秤
秤	tsʰɪŋ5	
秤	pʰɪŋ4	天秤
秦	tsʰɜn4	
秧	jiøŋ1	
秩	tit8	
移	ji4	
稀	hei1	
税	sui1	
稈	kun2	
程	tsʰɪŋ4	
稍	sɑu2	
稔	nɜm5	
稚	tsi6	
稜	lɪŋ4	
稞	fuɔ1	
稟	pɜn2	
稠	tsʰɜu4	
種	tsəŋ1	種植
種	tsəŋ2	種子
稱	tsʰɪŋ1	稱呼
稻	tou6	
稽	kʰɑi1	稽首
稽	kʰɑi2	無稽之談
稿	kou2	
穀	kək7a	
穆	mək8	
穌	sɜu1	
積	tsɪk7a	
穎	ʋɪŋ6	
穗	sui6	
穢	ʋei1	
穩	ʋɜn2	
穫	ʋɔk8	
穴	jit8	
究	kɜu1	
穹	kʰəŋ4	
空	həŋ1	
穿	tsʰin1	
突	tɜt8	
窄	tsɑk7a	
窈	jiu2	
窒	tsɜt8	
窕	hiu4	
窖	kɑu1	
窗	tsʰɔŋ1	
窘	kʰuɜn1	
窟	ʋɜt7a	
窣	sɜt7a	
窩	ʋɔ1	
窪	ʋɑ1	
窮	kʰəŋ4	
窯	jiu4	
窸	sɪk7a	
窺	kʰuei1	
窿	ləŋ1	
竄	tsʰun2	
竅	kʰiu1	
竇	tɑu6	
竈	tsou1	
竈	tsou5	變調
竊	sit7b	
立	lɜp8	
竑	ʋɑŋ4	
站	tsɑm6	
竟	kɪŋ2	
章	tsiøŋ1	
竣	tsɜn1	
童	həŋ4	
竭	kʰit7b	
端	tun1	
競	kɪŋ6	
竹	tsək7a	
竺	tsək7a	
竿	kun1	
笆	pɑ2	
笑	siu1	
笙	sɑŋ1	
笛	tiɑk7a	
笠	lɜp7a	
符	fu4	
笨	pɜn6	
第	tɑi6	
筆	pɜt7a	
等	tɑŋ2	
筋	kɜn1	
筍	sɜn2	
筏	fɑt8	
筐	hɔŋ1	
筑	tsək7a	
筒	həŋ4	
答	tɑp7b	
策	tsʰɑk7b	
筵	jin4	
筷	fɑi1	
箋	tsin1	
箍	kʰu1	
箏	tsɑŋ1	
箔	pɔk8	
箕	kei1	
算	sun1	
管	kun2	
箬	ŋiøk8	
箭	tsin1	
箱	siøŋ1	
箱	siøŋ4	
節	tsit7a	
節	tsit7b	
範	fɑn6	
篇	pʰin1	
築	tsək7a	
篙	kou1	
篛	jiøk8	
篝	kʰɑu1	
篤	tək9	
篤	tək7a	
篩	sɑi1	
篷	pʰəŋ4	
篾	mit8	
簇	tsʰək7a	
簍	lɑu4	
簑	suɔ1	
簕	lɑk8	植物的刺
簕	lɑk7a	簕菜茶
簡	kɑn2	
簧	ʋɔŋ4	
簫	siu1	
簷	sim4	
簸	puɔ1	
簽	tsʰim1	
簽	tsʰim5	牙簽,變調
簾	lim4	
簿	pɜu6	
籃	lɑm4	
籌	tsʰɜu4	
籍	tsɪk8	
籐	hɑŋ4	
籟	lɑi6	
籠	ləŋ4	
籤	tsʰim1	
籤	tsʰim5	牙籤,變調
籬	lei4	
籮	luɔ4	
籲	ji6	
米	mɑi2	
籽	tsi2	
粄	pɑn2	
粉	fɜn2	
粑	pɑ2	
粒	nɜp7a	
粕	pʰɔk7b	
粗	tsʰɜu1	
粘	tsim1	
粟	sək7a	
粥	tsək7a	
粱	liøŋ4	
粤	jit8	
粹	sui6	
糉	tsəŋ2	
糉	tsəŋ5	
精	tsiɑŋ1	好精,白讀
精	tsɪŋ1	
粿	kuɔ2	
糊	ʋu4	
糍	tsʰei4	丸糍、團糍
糕	kou1	
糖	hɔŋ4	
糗	tsʰɜu1	
糙	tsʰou1	
糜	mei4	
糞	fɜn5	
糟	tsou1	
糧	liøŋ4	
糬	si4	
糯	nuɔ6	
糰	hin4	
系	hɑi6	
糾	tɑu2	
糾	kɜu2	糾正
紀	kei2	
紂	tsɜu6	
約	jiøk7b	
紅	kəŋ1	女紅
紅	həŋ4	紅色
紉	jɜn6	
紊	mɜn5	
紋	mɜn4	
納	nɑp8	
紐	nɑu2	
紓	si1	
純	sɜn4	
紗	sɑ1	
紙	tsi2	
級	kʰɜp7a	
紛	fɜn1	
素	sɜu1	
紡	fɔŋ2	
索	sɔk7a	
索	sɔk7b	
紫	tsi2	
紮	tsɑt7b	
累	lui4	果實累累,同“纍”
累	lui6	累積
細	sɑi1	
細	sɑi5	細佬、老細,變調
紳	sɜn1	
紹	siu6	
終	tsəŋ1	
絃	jin4	
組	tsɜu2	
絆	pun6	
結	kit7b	
結	kit7a	
絶	tsit8	
絛	hou1	
絞	kɑu2	
絡	lɔk8	
絢	hin1	
給	kʰɜp7b	
絨	ŋəŋ4	
絮	sui1	
統	həŋ2	
絲	si5	絲帶、絲襪,變調
絲	si1	絲瓜
絹	kin1	
綁	pɔŋ2	
綏	sui1	
綑	kʰuɜn2	
經	kɪŋ1	
綜	tsəŋ1	
綠	lək8	
綢	tsʰɜu4	
維	ʋei4	
綱	kɔŋ1	
網	mɔŋ2	
綴	tsit7b	綴足
綴	tsui6	點綴
綵	tsʰui2	
綸	kuɑn1	綸巾
綸	lɜn4	垂綸
綺	ji2	
綻	tsɑn6	
綽	tsʰiøk7b	
綽	tsʰɔk7b	
綿	min4	
緊	kɜn2	
緖	sui5	
緘	kɑm1	
線	sin1	
緝	tsʰɜp7a	
緞	tun6	
締	tɑi1	
緡	mɜn5	
緣	jin4	
編	pʰin1	
緩	fun6	老派
緩	ʋun6	
緬	min5	
緯	ʋei2	
練	lin6	
緻	tsi1	
縈	jɪŋ4	
縊	ʔɑi1	
縐	tsɑu1	
縛	pɔk7b	
縣	jin6	
縫	fəŋ4	
縮	sək7a	
縱	tsəŋ1	縱橫
縴	hin1	
縷	lui5	
總	təŋ2	總係
總	tsəŋ2	
績	tsɪk7a	
繁	fɑn4	
繃	pɑŋ1	繃帶
繆	mɜu4	未雨綢繆
繆	mɜu6	繆論
織	tsɪk7a	
繕	sin6	
繚	liu4	
繞	ŋiu2	
繡	sɜu1	
繩	sɪŋ4	
繪	kʰui2	
繫	hɑi6	
繭	kɑn2	
繳	kiu2	
繹	jɪk8	
繼	kɑi1	
繽	pɜn1	
續	tsək8	
纍	lui6	
纏	tsʰin4	
纖	tsʰim1	
纜	lɑm6	
缸	kɔŋ1	
缸	kɔŋ5	變調
缺	kʰit7b	
缽	put8	
缽	put9	變調
罄	hɪŋ1	
罅	lɑ1	縫隙
罅	lɑ5	變調
罈	hɑm4	
罌	ʔɑŋ1	
罐	kun1	
罐	kun5	變調
罕	hun2	
罷	pɑ6	
罩	tsɑu1	
罩	tsɑu5	
罪	tsui6	
置	tsi1	
罰	fɑt8	
署	tsʰi5	
罵	mɑ6	
罷	pɑ6	
罹	lei4	
羅	luɔ4	
羊	jiøŋ4	
羌	kiøŋ1	
美	mei5	
羔	kou1	
羚	lɪŋ4	
羞	sɜu1	
群	kʰuɜn4	
羨	sin6	
義	ŋi6	
羲	hei1	
羹	kɑŋ1	
羽	ji5	
羿	ŋɑi6	
翁	jəŋ1	
翅	tsʰi1	
翌	jɪk8	
習	tsɑp8	
翔	tsʰɔŋ4	
翠	tsʰui1	
翡	fei2	
翦	tsin2	
翩	pʰin1	
翰	hun6	
翱	ŋou4	
翹	kʰiu1	翹起
翹	kʰiu4	翹首
翻	fɑn1	
翼	jɪk8	
耀	jiu6	
老	lou2	
考	hɑu2	
者	tsiɑ2	
而	ŋi4	
耍	sɑ2	
耐	nui6	
耒	lui5	
耕	kɑŋ1	
耗	hou1	
耘	ʋɜn4	
耙	pʰɑ4	
耜	tsi6	
耳	ŋi2	
耶	jiɑ4	
耽	tɑm1	
耿	kɑŋ2	
聆	lɪŋ4	
聊	liu4	
聒	kʰut7b	
聖	sɪŋ1	
聘	pʰɪŋ1	
聚	tsʰɜu5	聚錢,存錢
聚	tsui6	
聚	tsui5	圍起來
聞	mɜn4	
聯	lin4	
聰	tsʰəŋ1	
聲	siɑŋ1	白讀
聲	sɪŋ1	聲樂
聳	səŋ2	
聶	nip8	
聶	nip7a	姓氏
職	tsɪk7a	
聽	hiɑŋ1	聽力,白讀
聽	hɪŋ1	聽任
聾	ləŋ4	
肅	sək7a	
肆	sei1	四的大寫
肆	si1	肆意
肇	siu6	
肉	ŋək8	
肋	lɑk8	
肌	kei1	
肖	tsʰiu1	肖像
肖	siu1	
肘	tsɑu2	
肚	tɜu2	
肛	kɔŋ1	
肝	kun1	
股	ku2	
肢	tsi1	
肥	fei4	
肨	pun6	
肩	kɑn1	肩頭
肩	kin1	
肪	fɔŋ1	
肫	tsɜn1	
肯	hɑŋ2	
肱	kuɑŋ1	
育	jək8	
肴	ŋɑu4	
肺	fei1	
胃	ʋei6	
背	pui1	背後
背	pui5	尾背,變調
背	pui6	背書
胎	hui1	
胖	pun6	肥胖
胖	pʰun4	心廣體胖
胚	pʰui1	同“坯”
胝	tsi1	
胞	pɑu1	
胡	ʋu4	
胰	ji4	
胱	kɔŋ1	
胳	kɑk7b	
胸	həŋ1	
胼	pʰin4	
能	nɑŋ4	
脂	tsi1	
脅	hip7b	
脆	tsʰui1	
脉	mɑk8	
脊	tsiɑk7b	
脖	put8	
脣	sɜn4	
脩	sɜu1	
脱	hut7b	
脯	pʰɜu2	肉脯
脹	tsiøŋ1	
脾	pʰei4	
腆	hin2	
腋	jɪk8	
腎	sɜn6	
腐	fu6	
腔	hɔŋ1	
腕	ʋun2	
腥	siɑŋ1	白讀
腥	siɑŋ5	變調
腥	sɪŋ1	
腦	nou2	
腩	nɑm5	牛腩
腩	nɜm5	肚腩
腫	tsəŋ2	
腮	sui1	
腰	jiu1	
脚	kiøk7b	
脚	kiøk7a	水腳(旅費)
脚	kiøk9	湯腳(湯渣)
腸	tsʰiøŋ4	
腹	fək7a	
腺	sin1	
腿	hui2	
膀	pɔŋ2	肩膀
膀	pʰɔŋ4	膀胱
膊	pɔk7b	
膏	kou1	
膚	fu1	
膛	hɔŋ4	
膜	mɜu4	膜拜
膜	mɔk8	薄膜
膝	sɜp7a	
膠	kɑu1	
膨	pʰɑŋ4	
膩	nei6	
膽	tɑm2	
膾	kʰui2	
膿	nəŋ4	
臀	hɜn4	
臂	pei1	
臂	pei5	地名,杜臂,變調
臉	lim5	
臍	tsʰei5	
臏	pɜn1	
臘	lɑp8	
臟	tsɔŋ6	
臣	sɜn4	
臥	ŋuɔ6	
臨	lɜm4	
自	tsi6	
臭	tsʰɜu1	
至	tsi1	
致	tsi1	
臺	hui4	
臼	kʰɜu5	
舀	jiu2	
舂	tsəŋ2	
舅	kʰɜu5	
與	ji4	參與
與	ji6	我與你
興	hɪŋ1	
舉	kui2	
舊	kɜu6	
舌	sit8	
舍	siɑ1	舍人
舍	siɑ2	舍生取義
舍	siɑ5	舍長
舐	sɑi5	
舒	si1	
舔	him2	
舛	tsʰin2	
舜	sɜn1	
舞	mɜu2	
舞	mɜu5	
舟	tsɜu1	
航	hɔŋ4	
般	pun1	
舵	huɔ4	
船	sin4	
舺	kɑp7b	
艇	hiɑŋ5	
艋	mɑŋ5	
艘	sɑu2	
艙	tsʰɔŋ1	
艦	lɑm6	
良	liøŋ4	
艱	kɑn1	
色	sɪk7a	
艾	ŋɑi6	
芋	ʋu6	
芋	ʋu5	變調
芒	mɔŋ1	芒果
芒	mɔŋ4	光芒
芙	fu4	
芝	tsi1	
芡	him1	
芥	kɑi1	
芬	fɜn1	
芭	pɑ2	
芯	sɜm1	
芯	sɜm5	變調
花	fɑ1	
芳	fɔŋ1	
芸	ʋɜn4	
芹	kʰɜn4	
芽	ŋɑ4	
芾	fɜt7a	芾芾
芾	fei1	蔽芾
苑	jin2	
苔	hui4	
苗	miu4	
苙	lɜp7a	
苛	huɔ1	
苞	pɑu1	
苟	kɑu2	
若	niɑk9	你哋
若	ŋiɑ5	般若
若	ŋiøk8	假若
苦	fu2	
英	jɪŋ1	
苻	fu4	
茁	tsit7b	
茂	mɑu6	
范	fɑn6	
茄	kɑ2	
茄	kʰiɑ5	茄瓜
茅	mɑu4	
茉	mut8	
茨	tsʰi4	
茫	mɔŋ4	
茱	tsi5	
兹	tsʰi4	龜茲,國名
兹	tsi1	在茲
茵	jɜn1	
茶	tsʰɑ4	
茸	ŋəŋ4	
茹	ŋi4	
茼	həŋ4	
草	tsʰou2	
荆	kɪŋ1	
荐	tsin1	
荒	fɔŋ1	
荳	tɑu6	
荷	huɔ4	荷花
荷	huɔ6	負荷
荻	tɪk8	
荼	hɜu4	如火如荼
荼	si1	神荼
莉	lɑi6	
莉	lei6	
莊	tsɔŋ1	
莎	sɑ1	
莒	kui2	
莓	mui4	
莖	kɪŋ1	
莢	kɑp7b	
莫	mɔk8	
莽	mɔŋ2	
菁	tsɪŋ1	
菇	ku1	
菊	kək7a	
菌	kʰuɜn2	
菖	tsʰiøŋ1	
菜	tsʰui1	
菟	hɜu1	
菠	puɔ1	
菩	pʰɜu4	
菩	pʰuɔ4	菩薩
菫	kɜn2	
華	ʋɑ4	中華
華	ʋɑ6	華山
菱	lɪŋ4	
菲	fei1	
菸	jin1	
萃	sui6	
萄	hou4	
萊	lui4	
萋	tsʰɑi1	
萌	mɑŋ4	
萍	pʰɪŋ4	
萎	ʋei2	枯萎
萬	mɑn6	
萸	ji4	
落	lɑi6	落低
落	lɔk8	上落、落下
落	lɔk7a	角落
葆	pou2	
葉	jip8	
著	tsi5	顯著
著	tsiøk8	著涼
著	tsiøk7b	著衫
葚	sɜm6	
葛	kit9	粉葛,變調
葛	kut7a	
葡	pʰɜu4	
董	təŋ2	
葦	ʋei2	
葦	ʋei5	
葫	fu6	老派
葫	ʋu4	
葬	tsɔŋ1	
葵	kʰuei4	
蒂	tɑi1	
蒐	sɑu2	
蒙	məŋ4	
蒜	sun1	
蒜	sun5	蒜子,變調
蒲	pʰɜu4	
蒸	tsɪŋ1	
蒼	tsʰɔŋ1	
蒿	hou1	
蓄	tsʰək7a	
蓆	tsiɑk8	涼蓆
蓆	tsiɑk9	又音
蓆	tsɪk8	
蓉	jəŋ4	
蓊	jəŋ2	
蓋	kui1	杯蓋
蓋	kui5	變調
蓋	kʰui1	覆蓋
蓑	suɔ1	
蓓	pʰui5	
蓬	fəŋ4	蓬江
蓬	pʰəŋ4	
蓮	lin4	
蔑	mit8	
蔓	mɑn4	蔓菁
蔓	mɑn6	藤蔓
蔔	pɑk8	
蔗	tsiɑ1	
蔚	ʋei1	
蔡	tsʰui1	
蔣	tsiøŋ2	
葱	tsʰəŋ1	
葱	tsʰəŋ5	變調
蔬	suɔ1	
蔭	jɜm1	
蔭	jɜm6	
蔻	kʰɑu1	
蔽	pɑi1	
蕃	fɑn4	
蕉	tsiu1	
蕊	ŋui5	
蕙	ʋei6	
蕨	kʰit7b	
蕩	tɔŋ6	
蕪	mɜu4	
蕭	siu1	
蕾	lui5	
薄	pɔk8	
薇	mei4	
薑	kiøŋ1	
薔	tsʰiøŋ4	
薛	sit7b	
薦	tsin1	
薩	sɑt7b	
薪	sɜn1	
薯	si4	
薰	fɜn1	
藉	tsɪk8	
藍	lɑm4	
藏	tsʰɔŋ4	收藏
藏	tsɔŋ6	寶藏
藕	ŋɑu5	
藝	ŋɑi6	
藤	hɑŋ4	
藥	jiøk8	
藥	jiøk9	變調
藩	fɑn4	
藷	si4	藷蕷
藷	tsi5	藷蔗
藹	ʔui2	
藺	lɜn6	
藻	tsou2	
蘆	lɜu4	
蘇	sɜu1	
蘊	ʋɜn5	
蘋	pʰɪŋ4	
蘚	sin2	
蘭	lɑn4	
蘸	tsɑm1	
蘿	luɔ4	
虎	fu2	
虐	ŋiøk8	
虔	kʰin4	
處	tsʰui5	處理、四處
虚	hui1	
虜	lɜu5	
虞	ŋi4	
號	hou4	哀號
號	hou6	號碼
虧	kʰuei1	
虹	həŋ4	
蚊	mɜn5	
蚌	pʰɔŋ5	
蚓	jɜn5	
蚜	ŋɑ4	
蚣	kəŋ1	
蚤	tsou2	
蚪	tɑu2	
蚯	hɜu1	
蚱	tsɑk7a	
蚵	huɔ4	
