#漢字	音標	解釋
㞞	ɕyŋ2	(精液)
籽	tsɿ3	
粉	fẽ3	
粑	pa1	
粒	li1	
粕	pə1	
粗	tɕʰy1	
粘	tsæ̃1	
粘	niæ̃2	
糶	tʰiɔ5	
粤	yə1	
粥	tso1	
糞	fẽ5	
糧	liaŋ2	
粱	liaŋ2	
粹	tɕʰye5	
糉	tɕyŋ5	
精	tɕiŋ1	
糊	xu2	
糕	kɔ1	
糖	tʰaŋ2	
糙	tsʰɔ5	
糜	mi2	
糟	tsɔ1	
糠	kʰaŋ1	
系	tɕi5	
系	ɕi5	
紊	uẽ3	
素	ɕy5	
索	ɕyə3	
緊	tɕiẽ3	
紫	tsɿ3	
累	le5	
絮	ɕy5	
繁	fæ̃2	
纂	tɕyæ̃3	
糾	tɕio1	
紅	xuŋ2	
紂	tso5	
約	yə1	
級	tɕi1	
紈	uæ̃2	
紀	tɕi5	
紉	zẽ5	
緯	ue3	
紜	yẽ2	
純	pfʰẽ2	
紗	sa1	
綱	kaŋ1	
納	na1	
縱	tɕyŋ5	
綸	luẽ2	
紛	fẽ1	
紙	tsɿ3	
紋	uẽ2	
紡	faŋ3	
紐	nio3	
線	ɕiæ̃5	
練	liæ̃5	
組	tɕy1	
紳	sẽ1	
細	ɕi5	
織	tsɿ1	
終	pfəŋ1	
絆	pæ̃5	
紹	sɔ2	
繹	i5	
經	tɕiŋ1	
綁	paŋ3	
絨	vəŋ2	
結	tɕiə1	
繞	zɔ3	
繞	zɔ5	
繪	xue5	
給	ke2	
絢	ɕyæ̃5	
絳	tɕiaŋ5	
絡	luə1	
絶	tɕyə2	
絞	tɕiɔ3	
統	tʰuŋ3	
絹	tɕyæ̃5	
繡	ɕio5	
綏	ɕye2	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
綾	liŋ2	
續	ɕy5	
緋	fi1	
綽	pfʰə1	
绱	saŋ5	
繩	səŋ2	
維	ue2	
綿	miæ̃2	
繃	pəŋ1	
綢	tsʰo2	
綹	lio3	
綜	tɕyŋ1	
綻	tsæ̃5	
綠	lu1	
緬	miæ̃5	
纜	læ̃3	
緲	miɔ3	
緝	tɕi1	
緞	tuæ̃5	
緩	xuæ̃3	
締	tʰi5	
縷	lu3	
編	piæ̃1	
緣	yæ̃2	
縛	fu5	
縫	fəŋ2	
縫	fəŋ5	
纏	tsʰæ̃2	
縊	i1	
纓	iŋ1	
縮	ɕyə1	
繚	liɔ2	
繕	sæ̃5	
繮	tɕiaŋ1	
繳	tɕiɔ3	
缶	fɔ3	
缸	kaŋ1	
缺	tɕʰyə1	
罄	tɕʰiŋ5	
罐	kuæ̃5	
网	uaŋ3	
罔	uaŋ3	
罕	xæ̃5	
羅	luə2	
罰	fa2	
罷	pa5	
罩	tsɔ5	
罪	tɕye5	
置	tsɿ2	
署	fu2	
羈	tɕi2	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	me3	
羔	kɔ1	
羚	liŋ2	
羞	ɕio1	
羡	ɕiæ̃5	
群	tɕʰyẽ2	
羯	tɕiə1	
羹	kəŋ3	
羽	y3	
翁	uŋ1	
翅	tsʰɿ5	
翎	liŋ2	
翔	ɕiaŋ2	
翹	tɕʰiɔ5	
翟	tse2	
翠	tɕʰye5	
翡	fi3	
翩	pʰiæ̃1	
翰	xæ̃5	
翻	fæ̃1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsə3	
而	ɭɨ2	
耍	fa3	
耐	nɛ5	
耕	kəŋ1	
耗	xɔ2	
耘	yẽ2	
耙	pʰa2	
耙	pa5	
耩	tɕiaŋ3	
耳	ɭɨ3	
耶	iə3	
耷	ta1	(打十二个叫一打)
聳	ɕyŋ3	
耻	tsʰɿ3	
耽	tæ̃1	
耿	kəŋ3	
聶	niə1	
聆	liŋ2	
聊	liɔ2	
聾	luŋ2	
職	tsɿ1	
聯	liæ̃2	
聘	pʰiẽ5	
聚	tɕy5	
聰	tɕʰyŋ1	
肅	ɕy1	
肄	i5	
肆	sɿ5	
肇	tsɔ5	
肉	zo5	
肋	le1	
肌	tɕi1	
肖	ɕiɔ1	
肘	tso3	
肚	tu3	
肚	tu5	
肛	kaŋ1	
肝	kæ̃1	
腸	tsʰaŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fi2	
肩	tɕiæ̃1	
肪	faŋ2	
骯	aŋ1	
肯	kʰẽ3	
育	y5	
肺	fi5	
腎	sẽ5	
腫	pfəŋ3	
脅	ɕiə2	
胃	ue5	
膽	tæ̃3	
背	pi5	
胎	tʰɛ1	
胖	pʰaŋ5	
勝	səŋ5	
胞	pɔ1	
胡	xu2	
朧	luŋ2	
脛	tɕiŋ5	
胭	iæ̃1	
胯	kʰua3	
胰	i2	
胱	kuaŋ1	
胳	kə1	
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ2	
脆	tɕʰye5	
脉	me1	
脊	tɕi1	
膾	kʰuɛ5	
脏	tsaŋ1	
臍	tɕʰi2	
腦	nɔ3	
膿	nuŋ2	
脖	pə2	
脚	tɕyə1	
脯	pʰu3	
脱	tʰuə1	
脲	niɔ5	
臉	liæ̃3	
脾	pʰi2	
腆	tʰiæ̃3	
臘	la1	
腋	iə1	
腌	a1	
腌	iæ̃1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uæ̃3	
腥	ɕiŋ1	
腮	sɛ1	
腰	iɔ1	
腱	tɕiæ̃5	
腹	fu1	
腺	ɕiæ̃5	
膩	ni5	
靦	miæ̃5	
騰	tʰəŋ2	
腿	tʰue3	
膀	pʰaŋ1	
膀	paŋ3	
膊	pu2	
膏	kɔ1	
膏	kɔ3	
膘	piɔ5	
膛	tʰaŋ2	
膜	mə2	
膝	ɕi1	
膨	pʰəŋ2	
膳	sæ̃5	
膺	iŋ1	
膻	sæ̃1	
臀	tʰuẽ2	
臂	pi5	
臃	yŋ1	
臆	i5	
臊	sɔ1	
臊	sɔ5	
臣	tsʰẽ2	
臧	tsaŋ1	
自	tsɿ5	
臭	tsʰo5	
至	tsɿ5	
致	tsɿ5	
臻	tsʰẽ1	
臼	tɕio5	
舀	iɔ3	
舅	tɕio5	
舌	sə2	
舍	sə3	(去)
舍	sə3	
舒	fu1	
舔	tʰiæ̃3	
舜	fẽ5	
舞	u3	
舟	tso1	
航	xaŋ2	
般	pæ̃1	
艦	tɕiæ̃5	
艙	tsʰaŋ1	
舵	tuə5	
船	pfʰæ̃2	
艇	tʰiŋ2	
艘	so3	
良	liaŋ2	
艱	tɕiæ̃1	
色	se1	
豔	iæ̃5	
藝	i5	
節	tɕiə1	
芋	y5	
芒	maŋ2	
芒	uaŋ2	
芙	fu1	
蕪	u2	
芝	tsɿ1	
芥	tɕiɛ5	
蘆	lu2	
芬	fẽ3	
芭	pa1	
花	xua1	
芳	faŋ2	
芸	yẽ2	
芹	tɕʰiẽ2	
芽	ia2	
葦	ue3	
蒼	tsʰaŋ1	
苏	ɕy1	
苔	tʰɛ1	
苔	tʰɛ2	
苗	miɔ2	
苘	tɕʰiŋ3	
苛	kʰə1	
苞	pɔ1	
苟	ko3	
苤	pʰiə3	
若	və1	
苦	kʰu1	
苫	sæ̃1	
苯	pẽ3	
英	iŋ1	
蘋	pʰiŋ2	
苻	fu2	
茂	mɔ5	
范	fæ̃5	
茄	tɕʰiə2	
茅	mɔ1	
莖	tɕiŋ5	
繭	tɕiæ̃3	
茫	maŋ2	
茬	tsʰa2	
茭	tɕiɔ1	
茴	xue2	
茵	iẽ1	
茶	tsʰa2	
茸	vəŋ2	
茹	vu3	
荆	tɕiŋ1	
草	tsʰɔ3	
薦	tɕiæ̃5	
荒	xuaŋ1	
荔	li1	
莢	tɕia1	
蕎	tɕʰiɔ2	
蕩	taŋ5	
榮	vəŋ2	
葷	xuẽ1	
熒	iŋ2	
蔭	iẽ1	
藥	yə1	
荷	xə5	
荸	pi2	
荻	ti2	
荼	tʰu2	
莉	li5	
莫	mə1	
萊	lɛ2	
蓮	liæ̃2	
萵	uə1	
获	xue3	
瑩	iŋ2	
鶯	iŋ1	
菅	tɕiæ̃3	
菊	tɕy1	
菌	tɕyẽ3	
菏	xə2	
菜	tsʰɛ5	
菠	pə1	
菩	pʰu3	
菱	liŋ2	
菲	fi1	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
蘿	luə2	
螢	iŋ2	
營	iŋ2	
蕭	ɕiɔ1	
落	luə1	
葆	pɔ3	
著	pfu5	
葛	kə1	
葡	pʰu3	
董	tuŋ3	
葫	xu2	
葬	tsaŋ5	
葱	tɕʰyŋ1	
葵	kʰue2	
蒂	tʰi5	
蔣	tɕiaŋ3	
蒙	məŋ1	
蒙	məŋ2	
蒜	ɕyæ̃5	
蒲	pʰu3	
蒸	tsəŋ1	
蒺	tɕi2	
蒿	xɔ1	
蓄	ɕy1	
蓑	ɕyə1	
蓓	pe5	
藍	læ̃2	
蓬	pʰəŋ2	
蔑	miə1	
蔗	tsə3	
蔚	ue5	
蔡	tsʰɛ5	
蔫	niæ̃1	
蔫	iæ̃1	
蔬	fu1	
藹	ɛ3	
蕉	tɕiɔ1	
蘊	yẽ3	
薄	pə2	
薅	xɔ1	
薛	ɕyə1	
薪	ɕiẽ1	
薯	fu2	
藉	tɕi2	
藏	tsʰaŋ2	
藏	tsaŋ5	
藐	miɔ3	
藕	o3	
藜	li2	
藤	tʰəŋ2	
藻	tsɔ3	
蘑	mə2	
虎	xu3	
虜	lu3	
虐	yə1	
慮	lu5	
虔	tɕʰiæ̃1	
虚	ɕy1	
虞	y2	
蟲	pfʰəŋ2	
蟣	tɕi3	
虱	sɿ1	
虹	xuŋ2	
虻	məŋ3	
雖	ɕye1	
蝦	ɕia1	
蝕	sɿ2	
蟻	i3	
螞	ma1	
蚊	uẽ2	
蚌	pəŋ5	
蚓	iẽ3	
蠶	tsʰæ̃2	
蚜	ia2	
蚣	kuŋ1	
蚪	to3	
蚯	tɕʰio1	
蚰	io2	
蛀	pfu5	
蛄	ku2	
蛆	tɕʰy1	
蛇	sə2	
蠱	ku3	
蛋	tæ̃5	
蛔	xue2	
蛙	ua1	
蛟	tɕiɔ1	
蠻	mæ̃2	
螄	sɿ1	
蛾	ə2	
蜀	fu2	
蜂	fəŋ1	
蜇	tsə1	
蜇	tsə2	
蜈	u2	
蜉	fu2	
蜒	iæ̃2	
蜕	tʰue5	
蝸	uə1	
蜘	tsɿ1	
蜜	mi1	
蠟	la1	
蜷	tɕʰyæ̃2	
蜻	tɕʰiŋ1	
蠅	iŋ2	
蟈	kuə3	
蟬	tsʰæ̃2	
蝌	kʰuə1	
蠍	ɕiə1	
蝗	xuaŋ2	
蝙	piæ̃3	
蝠	fu1	
蝴	xu3	
蝶	tiə2	
螂	laŋ2	
螃	pʰaŋ2	
融	vəŋ2	
螟	miŋ2	
螫	tsə1	
螳	tʰaŋ2	
螺	luə2	
蟀	fɛ5	
蟊	mɔ1	
蟋	ɕi1	
蟠	pʰæ̃2	
蟥	xuaŋ2	
蟹	ɕiɛ3	
蠓	məŋ3	
蠕	vu3	
蠢	pfʰẽ3	
血	ɕiə1	
衅	ɕiẽ5	
行	xaŋ2	
行	ɕiŋ2	
衍	iæ̃3	
銜	ɕiæ̃2	
街	tɕiɛ1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔ3	
衩	tsʰa5	
衫	sæ̃1	
襯	tsʰẽ5	
衰	fɛ1	
衷	pfəŋ1	
袁	yæ̃2	
襖	ɔ3	
袅	niɔ3	
袈	tɕia1	
袋	tɛ5	
袍	pʰɔ2	
袒	tʰæ̃3	
袖	ɕio5	
袜	ua1	
被	pe5	
襲	ɕi2	
袴	kʰua3	
裁	tsʰɛ3	
裂	liə1	
裝	pfaŋ1	
襠	taŋ1	
裕	y1	
裘	tɕʰio2	
裙	tɕʰyẽ2	
褲	kʰu5	
裱	piɔ3	
裳	saŋ1	
裴	pʰi2	
裸	luə3	
裹	kuə3	
褂	kua5	
褐	xə1	
褒	pɔ1	
褚	pfʰu3	
褡	ta1	
褥	zo5	
褪	tʰue5	
褶	tsə1	
襄	ɕiaŋ1	
襟	tɕiẽ1	
西	ɕi1	
要	iɔ1	
要	iɔ5	
覆	fu1	
見	tɕiæ̃5	
觀	kuæ̃1	
規	kue1	
視	sɿ5	
覽	læ̃3	
覺	tɕiɔ5	
角	tɕyə1	
解	tɕiɛ3	
觸	pfu1	
言	iæ̃2	
譽	y5	
謄	tʰəŋ2	
誓	sɿ5	
警	tɕiŋ3	
計	tɕi5	
訂	tiŋ5	
訃	fu5	
認	zẽ5	
譏	tɕi1	
訌	xuŋ1	
討	tʰɔ3	
讓	zaŋ5	
訕	sæ̃1	
訓	ɕyẽ5	
議	i5	
訊	ɕiẽ5	
記	tɕi5	
講	tɕiaŋ3	
諱	xue5	
謳	o1	
訝	ia5	
許	ɕy3	
訛	ə2	
論	luẽ5	
訟	ɕyŋ5	
諷	fəŋ1	
設	sə1	
訪	faŋ3	
訣	tɕyə1	
证	tsəŋ5	
評	pʰiŋ2	
識	sɿ1	
詐	tsa5	
訴	ɕy5	
診	tsʰẽ3	
詆	ti3	
謅	tso1	
詞	tsʰɿ2	
詔	tsɔ1	
譯	i5	
誆	kʰuaŋ1	
試	sɿ5	
詩	sɿ1	
詼	xue1	
詼	xue2	
誠	tsʰəŋ2	
誅	pfu1	
話	xua5	
誕	tæ̃5	
詭	kue3	
詢	ɕyẽ2	
該	kɛ1	
詳	ɕiaŋ2	
詫	tsʰa5	
諢	xuẽ5	
誡	tɕiɛ5	
誣	u1	
語	y3	
誤	u5	
誘	io5	
說	fə1	
誦	ɕyŋ5	
請	tɕʰiŋ3	
諸	pfu1	
諾	nuə3	
讀	tu2	
誹	fi3	
課	kʰuə5	
誰	se3	
調	tʰiɔ2	
調	tiɔ5	
諒	liaŋ5	
諄	pfẽ1	
談	tʰæ̃2	
誼	i2	
謀	mu2	
諜	tiə2	
謊	xuaŋ3	
諧	ɕiɛ3	
謂	ue5	
諤	ə2	
讒	tsʰæ̃2	
諺	iæ̃5	
謎	me5	
謝	ɕiə5	
謡	iɔ2	
謗	paŋ5	
謙	tɕʰiæ̃1	
謹	tɕiẽ3	
謾	mæ̃5	
謬	nio5	
譚	tʰæ̃2	
讕	læ̃5	
譜	pʰu3	
譴	tɕʰiɛ3	
谷	ku2	
豁	xuə1	
豆	to5	
豇	tɕiaŋ1	
豌	uæ̃1	
豕	sɿ3	
豝	pa1	
象	ɕiaŋ5	
豢	xuæ̃5	
豪	xɔ2	
豫	y5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pe5	
貞	tsəŋ1	
負	fu5	
貢	kuŋ5	
財	tsʰɛ2	
責	tse1	
賢	ɕiæ̃2	
敗	pɛ5	
賬	tsaŋ5	
貨	xuə5	
質	tsɿ1	
販	fæ̃5	
貪	tʰæ̃1	
貧	pʰiẽ2	
購	ko1	
購	xo1	
貫	kuæ̃5	
貳	ɭɨ5	
賤	tɕiæ̃5	
貼	tʰiə1	
貴	kue5	
貸	tɛ5	
貿	mɔ5	
費	fi5	
賀	xə5	
貽	i2	
賊	tse2	
賈	tɕia3	
賄	xue5	
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賅	kɛ1	
賑	tsʰẽ5	
賒	sə1	
賦	fu5	
賭	tu3	
贖	fu2	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰe2	
賴	lɛ5	
賺	pfæ̃5	
賽	sɛ5	
贊	tsæ̃5	
贈	tsəŋ5	
贍	sæ̃5	
贏	iŋ2	
赤	tsʰɿ1	
赦	sə3	
赫	xe1	
赭	tsə3	
走	tso3	
赳	tɕio1	
赴	fu5	
趙	tsɔ5	
趕	kæ̃3	
起	tɕʰi3	
趁	tsʰẽ5	
超	tsʰɔ1	
越	yə1	
趨	tɕʰy1	
趔	liə5	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tɕy1	
趴	pʰa1	
趾	tsʰɿ3	
趿	tʰa1	
躍	iɔ5	
跋	pa2	
跌	tiə1	
跎	tʰuə2	
跑	pʰɔ3	
跑	pfɛ3	
跚	sæ̃1	
跟	kẽ1	
跤	tɕiɔ1	
跨	kʰua5	
跪	kue5	
路	lu5	
跳	tʰiɔ5	
踐	tɕiæ̃3	
蹺	tɕʰiɔ1	
跥	tuə5	
踊	yŋ3	
躊	tsʰo2	
踏	tʰa1	
踏	tsʰa3	
踒	uə1	
踝	xuɛ2	
踢	tʰi1	
踩	tsʰɛ3	
蹤	tɕyŋ1	
踮	tiæ̃3	
踮	tiæ̃5	
踵	pfəŋ3	
踹	pfʰɛ5	
蹂	zo2	
蹄	tʰi2	
蹈	tɔ3	
蹉	tɕʰyə1	
躡	niə1	
蹦	pəŋ5	
蹩	piə2	
蹬	təŋ1	
蹭	tsʰəŋ5	
蹲	tuẽ1	
蹴	tɕʰy1	
躥	tɕʰyæ̃1	
躁	tsɔ5	
躇	pfʰu2	
身	sẽ1	
躬	kuŋ1	
軀	tɕʰy1	
躱	tuə3	
躺	tʰaŋ3	
車	tɕy1	(~马炮)
車	tsʰə1	
軋	ia5	
軌	kue1	
軒	ɕyæ̃1	
轉	pfæ̃3	
轉	pfæ̃5	
輪	luẽ2	
轟	xuŋ1	
軸	pfu2	
軼	i2	
輕	tɕʰiŋ1	
軾	sɿ5	
載	tsɛ3	
轎	tɕiɔ5	
較	tɕiɔ5	
輒	tsə2	
輔	fu2	
輛	liaŋ5	
輩	pi5	
輝	xue1	
輥	kuẽ3	
輜	tsɿ1	
輯	tɕi1	
輸	fu1	
轡	pʰe5	
轅	yæ̃2	
轄	ɕia2	
輾	tsæ̃3	
轆	lu1	
轍	tsə2	
辛	ɕiẽ1	
辜	ku2	
辭	tsʰɿ2	
辟	pʰi1	
辟	pi5	
辣	la1	
辨	piæ̃5	
辯	piæ̃5	
辮	piæ̃5	
辰	tsʰẽ2	
辱	vu1	
邊	piæ̃1	
遼	liɔ2	
達	ta2	
遷	tɕʰiæ̃1	
迂	y1	
迅	ɕiẽ5	
過	kuə5	
邁	mɛ5	
迎	iŋ2	
運	yẽ5	
近	tɕiẽ5	
返	fæ̃3	
還	xɛ2	
還	xuæ̃2	
這	tsə5	
進	tɕiẽ5	
遠	yæ̃3	
違	ue3	
連	liæ̃2	
遲	tsʰɿ2	
迢	tʰiɔ2	
迤	i2	
迥	tɕyŋ3	
迩	ɭɨ3	
迪	ti2	
迫	pʰe3	
迭	tiə2	
述	fu2	
迷	mi2	
迸	pəŋ5	
迹	tɕi1	
退	tʰue5	
送	ɕyŋ5	
適	sɿ1	
逃	tʰɔ2	
逆	ni5	
選	ɕyæ̃3	
逍	ɕiɔ1	
透	tʰo5	
逐	pfu1	
遞	ti2	
途	tʰu2	
逗	to5	
通	tʰəŋ1	
通	tʰuŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰəŋ3	
速	ɕy1	
造	tsɔ5	
逢	fəŋ2	
逮	tɛ3	
逵	kʰue2	
逶	ue3	
逸	i2	
邏	luə2	
逼	pi1	
逾	y5	
遁	tuẽ5	
遂	ɕye2	
遇	y5	
遍	pʰiæ̃3	
遍	piæ̃5	
道	tɔ5	
遺	i2	
遛	lio5	
遣	tɕʰiɛ3	
遥	iɔ2	
遭	tsɔ1	
遮	tsə1	
遵	tɕyẽ1	
避	pi5	
邀	iɔ1	
邋	la1	
邑	i1	
鄧	təŋ5	
邢	ɕiŋ2	
那	na5	
邦	paŋ1	
邪	ɕiə2	
鄔	u1	
郵	io2	
邯	xæ̃2	
邱	tɕʰio1	
邳	pʰi1	
鄒	tso1	
鄴	iə1	
郁	y1	
郊	tɕiɔ1	
郎	laŋ2	
鄭	tsəŋ5	
鄆	yẽ5	
郝	xə1	
郡	tɕyẽ5	
部	pu5	
郭	kuə1	
鄲	tæ̃1	
都	to1	
都	tu1	
郾	iæ̃5	
鄂	ə2	
鄙	pi1	
酋	tɕʰio2	
酌	pfə1	
配	pʰe5	
酒	tɕio3	
醞	yẽ2	
酣	xæ̃1	
酥	ɕy1	
酪	luə1	
酬	tsʰo2	
醬	tɕiaŋ5	
酵	ɕiɔ5	
酷	kʰu1	(上)
酸	ɕyæ̃1	
釀	zaŋ3	
醇	pfʰẽ2	
醉	tɕye5	
醋	tɕʰy5	
醒	ɕiŋ3	
醮	tsæ̃5	
醺	ɕyẽ1	
采	tsʰɛ3	
釋	sɿ1	
里	li3	
重	pfʰəŋ2	
重	pfəŋ5	
野	iə3	
量	liaŋ2	
量	liaŋ5	
金	tɕiẽ1	
鑑	tɕiæ̃5	
鑾	luæ̃2	
鏨	tsæ̃5	
鎯	laŋ2	
鑫	ɕiẽ1	
針	tsʰẽ1	
釘	tiŋ1	
釗	tsɔ1	
釺	tɕʰiæ̃1	
釣	tiɔ5	
釵	tsʰɛ1	
鈣	kɛ5	
鈍	tuẽ5	
鈔	tsʰɔ1	
钟	pfəŋ1	
鈉	na1	
鋼	kaŋ1	
鑰	yə1	
欽	tɕʰiẽ1	
鈞	tɕyẽ1	
鎢	u1	
鉤	ko1	
鈕	nio3	
錢	tɕʰiæ̃2	
鉗	tɕʰiæ̃2	
鉢	pə1	
鑽	tɕyæ̃1	
鉀	tɕia1	
鐵	tʰiə1	
鉑	pə1	
鉛	tɕʰiæ̃1	
鉚	mɔ3	
鐸	tuə2	
銬	kʰɔ5	
銅	tʰuŋ2	
鎧	kʰɛ3	
鍘	tsa2	
銑	ɕi3	
鏵	xua2	
銘	miŋ2	
錚	tsəŋ1	
鉸	tɕiɔ3	
鏟	tsʰæ̃3	
銨	æ̃1	
銀	iẽ2	
鑄	pfu5	
鋪	pʰu1	
鋪	pʰu5	
鏈	liæ̃5	
鏗	kʰəŋ1	
銷	ɕiɔ1	
鎖	ɕyə3	
鋤	pfʰu2	
鍋	kuə1	
鏽	ɕio5	
銼	tɕʰyə5	
鋒	fəŋ2	
鋅	ɕiẽ1	
錯	tɕʰyə5	
錨	mɔ1	
錛	pẽ1	
錫	ɕi1	
錮	ku5	
鑼	luə2	
錘	pfʰe2	
錦	tɕiẽ3	
鍁	ɕiæ̃1	
錠	tiŋ5	
鍵	tɕiæ̃5	
鋸	tɕy5	
錳	məŋ3	
鍇	tɕiɛ1	
鍬	tɕʰiɔ1	
鍛	tuæ̃5	
鍍	tu5	
鎂	me3	
鎮	tsʰẽ5	
鑷	niə1	
鎳	niə1	
鎬	kɔ1	
鎊	paŋ5	
鏢	piɔ1	
鏡	tɕiŋ5	
鐐	liɔ2	
鐙	təŋ5	
鐳	le2	
鐲	pfə2	
鐮	liæ̃2	
鑣	piɔ1	
鑲	ɕiaŋ1	
長	tsʰaŋ2	
長	tsaŋ3	
門	mẽ2	
閂	fæ̃1	
閃	sæ̃3	
閉	pi5	
問	uẽ5	
闖	pfʰaŋ3	
閏	yẽ5	
闲	ɕiæ̃2	
間	tɕiæ̃1	
間	tɕiæ̃5	
閔	miẽ3	
悶	mẽ1	
閘	tsa2	
鬧	nɔ5	
閨	kue1	
聞	uẽ2	
閩	miẽ3	
閥	fa2	
閣	kə1	
閣	xə2	
閲	yə1	
閻	iæ̃2	
闌	læ̃5	
闊	kʰuə1	
闔	xə2	
闐	tʰiæ̃2	
闕	tɕʰyə1	
阜	fu3	
隊	tue5	
防	faŋ3	
陽	iaŋ2	
陰	iẽ1	
陣	tsʰẽ5	
階	tɕiɛ1	
阻	tɕy3	
阿	a2	
附	fu5	
際	tɕi5	
隴	luŋ2	
陳	tsʰẽ2	
陋	lo5	
陌	mə1	
降	ɕiaŋ2	
降	tɕiaŋ5	
限	ɕiæ̃5	
陝	sæ̃3	
陛	pi5	
陡	to3	
院	yæ̃5	
除	pfʰu2	
隕	yẽ5	
險	ɕiæ̃3	
陪	pʰe2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕiɛ5-	
陷	ɕiæ̃5	
陸	lio5	
隅	y3	
隆	luŋ2	
隋	ɕye2	
隨	ɕye2	
隱	iẽ3	
隔	ke1	
隙	ɕi1	
障	tsaŋ5	
隶	li5	
隽	tɕyẽ5	
難	næ̃2	
難	næ̃5	
雀	tɕʰyə1	
雁	iæ̃5	
雄	ɕyŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雌	tsʰɿ3	
雍	yŋ1	
雎	ɕye1	
雛	pfʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕyə1	
雯	uẽ2	
靂	li5	
零	liŋ2	
雷	le2	
雹	pə2	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
霆	tʰiŋ2	
震	tsʰẽ5	
霈	pʰe5	
黴	me2	
霍	xuə1	
霎	sa3	
霜	faŋ1	
霞	ɕia2	
靄	ɛ3	
露	lo5	
露	lu5	
霸	pa5	
霹	pʰi1	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fi1	
靠	kʰɔ5	
靡	mi2	
面	miæ̃5	
革	ke1	
靴	ɕyə1	
靶	pa3	
鞅	iaŋ1	
鞋	ɕiɛ2	
鞍	æ̃1	
鞘	ɕiɔ5	
鞠	tɕy1	
鞭	piæ̃1	
韋	ue3	
韌	zẽ5	
韓	xæ̃2	
韜	tʰɔ1	
韭	tɕio3	
音	iẽ1	
韻	yẽ5	
韶	sɔ2	
頁	iə1	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiaŋ5	
順	fẽ5	
须	ɕy1	
頑	uæ̃2	
顧	ku5	
頓	tuẽ5	
頒	pæ̃1	
頌	ɕyŋ5	
預	y5	
顱	lu2	
領	liŋ3	
頗	pʰə3	
頸	tɕiŋ5	
頰	tɕia1	
頤	i2	
頻	pʰiẽ2	
頽	tʰue3	
顆	kʰuə1	
題	tʰi3	
顔	iæ̃2	
額	e3	
顛	tiæ̃1	
顫	tsʰæ̃5	
顴	tɕʰyæ̃2	
風	fəŋ1	
颺	iaŋ2	
颼	so1	
飄	pʰiɔ1	
飈	piɔ1	
飛	fi1	
食	sɿ2	
餐	tsʰæ̃1	
饥	tɕi1	
飯	fæ̃5	
飲	iẽ3	
飲	iẽ5	
餞	tɕiæ̃5	
飾	sɿ1	
飽	pɔ3	
飼	sɿ5	
飴	i2	
餌	ɭɨ3	
饒	zɔ2	
餉	ɕiaŋ3	
餃	tɕiɔ3	
餅	piŋ3	
餓	ə5	
餒	ne3	
餛	xuẽ3	
餡	ɕiæ̃5	
館	kuæ̃3	
饋	kʰue5	
餿	so1	
饞	tsʰæ̃2	
饃	mə2	
餾	lio5	
饅	mæ̃2	
饊	sæ̃3	
首	so3	
香	ɕiaŋ1	
馨	ɕiẽ1	
馬	ma3	
馱	tʰuə2	
馴	ɕyẽ5	
馳	tsʰɿ2	
驅	tɕʰy1	
駁	pə1	
驢	lu2	
駛	sɿ3	
駟	sɿ5	
駙	fu5	
駒	tɕy1	
駐	pfu5	
駕	tɕia5	
驛	i5	
駡	ma5	
驕	tɕiɔ1	
驊	xua2	
駱	luə1	
駭	xɛ5	
驪	li2	
騁	tsʰəŋ3	
驗	iæ̃5	
駿	tɕyẽ5	
騎	tɕʰi2	
騙	pʰiæ̃5	
騷	sɔ1	
騫	tɕʰiæ̃1	
騸	sæ̃5	
騾	luə2	
驟	tso5	
骨	ku2	
骸	xɛ2	
髓	ɕye3	
高	kɔ1	
髦	mɔ1	
髻	tɕi1	
鬃	tɕyŋ1	
鬢	piẽ5	
鬼	kue3	
魁	kʰue2	
魂	xuẽ3	
魄	pʰe3	
魎	liaŋ3	
魏	ue5	
魔	mə2	
魚	y2	
魯	lu3	
鮎	niæ̃2	
鮑	pɔ5	
鮮	ɕiæ̃1	
鮮	ɕiæ̃3	
鰱	liæ̃2	
鯉	li3	
鯊	sa1	
鯤	kʰuẽ1	
