#漢字	音標	解釋
㕶	ʔŋ̍5	兒語屎
甑	tsəŋ1	陶盛器
甕	oŋ3	
甘	kiɪ1	
甚	ʒøŋ6	
甜	diɪ2	
生	sã1	白讀 學生
生	sã5	白讀 接生
生	səŋ1	文讀
產	tsʰɛ3	
甥	sã3	白讀
甥	səŋ1	文讀
用	ɦyoŋ6	
甩	ɡuɛ6	
甫	fu1	
甬	yoŋ3	
甮	vəŋ6	勿用
田	diɪ2	
由	ɦiu2	
甲	kaʔ7	白讀 盔甲
甲	kʰaʔ7	白讀 指甲
甲	tɕiaʔ7	文讀 甲乙丙丁
甲	tɕieʔ7	文讀 甲乙丙丁
申	ʃøŋ1	
男	nᴇɪ2	
甸	diɪ2	
界	ka5	
畏	uᴇɪ5	
畔	bø2	
留	liu2	
畚	pəŋ5	
畜	tɕʰyeʔ7	畜牲
畜	ɕyeʔ7	畜牧
畝	mᴇɪ2	文讀
畝	m̩2	白讀
畢	pieʔ7	
略	lieʔ8	
番	fɛ1	
畫	ɦuo6	
異	ɦi2	
當	tɔ̃1	當時
當	tɔ̃5	上當
疃	tʰø1	一疃路
疆	tɕiã1	
疊	dieʔ8	
疏	su1	
疑	ȵi2	
疔	tiŋ5	
疙	kaʔ7	
疚	tɕiu5	
疝	ʃø1	
疤	po5	
疥	ka5	
疫	ɦyeʔ8	
疰	tʃʯ1	疰夏
疲	bi2	
疸	tɛ3	
疹	tʃøŋ1	
疾	dʑieʔ8	
病	biŋ6	
症	tɕiŋ1	
痊	dʒø2	
痔	dʑi6	
痕	ɦəŋ2	
痘	dᴇɪ6	
痛	tʰoŋ5	
痞	pʰi1	地痞
痢	li6	
痣	tsɿ5	
痧	so1	
痰	dɛ2	
痱	fi5	
痹	bi2	
瘀	y5	
瘁	tsʰᴇɪ1	
瘋	foŋ1	
瘍	ɦiã2	
瘓	huø1	
瘟	uəŋ1	
瘡	tʃʰɔ̃1	
瘢	pɛ1	
瘤	liu2	
瘦	sᴇɪ5	
瘧	ȵieʔ8	
瘩	taʔ7	
療	lio2	
癌	ŋɛ2	
癖	pʰieʔ7	
癟	pieʔ7	
癡	tʃʰʯ1	
癢	ɦiã6	
癩	la6	
癬	ɕiɪ3	
癮	iŋ3	
癱	tʰɛ1	
癲	tiɪ1	
癸	kuᴇɪ1	
登	təŋ1	
發	faʔ7	
白	baʔ8	
百	paʔ7	
皁	zɔ2	
的	tieʔ7	
皆	tɕiᴇ1	
皇	ɦuɔ̃2	
皎	tɕio1	
皖	uø3	
皮	bi2	
皴	tʃʰøŋ5	
皺	tsᴇɪ5	
皿	miŋ6	
盂	ɦy2	
盅	tʃoŋ1	
盆	bəŋ2	
盈	ʑiŋ6	
益	ieʔ7	
盎	ɔ̃1	
盒	ɦɛ2	兒化變讀 撲粉盒
盒	ɦaʔ8	
盔	kʰuᴇɪ1	
盛	dzã6	姓
盛	ʑiŋ2	茂盛
盜	dɔ6	
盞	tsɛ5	
盟	məŋ2	
盟	miŋ6	
盡	dʑiŋ3	
監	kɛ5	
盤	bø2	
盧	lu2	
目	moʔ8	
盯	tiŋ5	
盲	mɔ̃2	
直	dʑieʔ8	
相	ɕiã1	相信
相	ɕiã5	看相
盼	pʰɛ5	
盾	dəŋ2	
省	sã3	白讀 節省
省	səŋ3	文讀 節省
省	ɕiŋ3	反省
眉	mi2	白讀
眉	mᴇɪ2	
看	kʰiɪ1	
真	tʃøŋ1	
眠	miɪ2	
眨	saʔ7	
眩	ɦyø2	
眶	kʰuɔ̃1	
眷	tɕyø5	
眼	ŋɛ6	
眾	tʃoŋ5	
着	tɕieʔ7	衣着
着	dʑieʔ8	火着
睛	tɕiŋ1	
睜	dzã2	白讀
睜	tsəŋ1	文讀
睡	zᴇɪ2	
督	toʔ7	
睦	moʔ8	
睫	dʑieʔ8	
睬	tsʰᴇ3	
睹	tu3	
瞄	mio2	
瞌	kʰaʔ7	
瞎	hɛ1	兒化變讀 算命瞎子
瞎	haʔ7	
瞑	miŋ6	
瞞	mø2	
瞥	pieʔ7	
瞪	təŋ5	
瞬	ʃøŋ5	
瞭	lio6	明瞭
瞳	doŋ2	
瞻	tʃø1	
瞻	tɕiɪ1	
瞿	dʑy6	
矚	tʃoʔ7	
矛	mɔ2	
矜	dʑiŋ2	
矢	sɿ3	
矣	ɦi2	
知	tʃʯ1	
矩	tɕy3	
短	tø3	
矮	a3	
矮	ɛ5	兒化變讀 稱呼矮子
矯	tɕio1	
石	zaʔ8	白讀
石	ʑieʔ8	石花
砌	tɕʰi3	
砍	kʰɛ1	
砑	ŋo6	砑光
砒	pʰi1	
研	ȵiɪ2	
砝	faʔ7	
砧	tɕiŋ1	
砭	piɪ3	
破	pʰaʊ5	
硝	ɕio1	
硫	liu2	
硬	ŋã6	
硯	ȵiɪ6	
碁	dʑi2	
碉	tio5	
碌	loʔ8	
碎	sᴇɪ5	
碑	pᴇɪ1	
碗	uø3	
碘	tiɪ3	
碟	dieʔ8	
碧	pieʔ7	
碩	zaʔ8	
碰	pʰoŋ5	
碶	tɕʰi5	碶門
確	tɕʰyeʔ7	
碼	mo6	
碾	ȵiɪ6	
磁	dzɿ2	
磅	pɔ̃1	
磉	ʃɔ̃1	
磊	lᴇɪ6	
磐	bø2	
磕	kʰaʔ7	
磚	tʃø1	
磡	kʰiɪ1	石磡
磨	maʊ2	磨刀
磨	maʊ6	石磨
磬	tɕʰiŋ5	
磷	liŋ2	
礁	tɕio1	
礎	tsʰu1	
礙	ŋᴇ6	
礦	kʰuɔ̃1	
礬	vɛ2	
礱	loŋ2	
礴	boʔ8	
示	zɿ6	
社	zo6	
祀	zɿ6	
祈	dʑi2	
祕	pi5	
祖	tsu3	
祝	tʃoʔ7	
神	ʒøŋ2	
祟	sᴇɪ5	
祠	zɿ2	
祥	dʑiã2	
票	pʰio5	
祭	tɕi5	
祿	loʔ8	
禁	tɕiŋ1	不禁
禁	tɕiŋ5	禁止
禍	ɦaʊ6	
福	foʔ7	
禪	ʒø6	
禮	li6	
禱	tɔ3	
禹	ɦy2	
禺	ȵy2	
禽	dʑiŋ2	
禾	ɦaʊ2	
禿	tʰaʔ7	
秀	ɕiu5	
私	sɿ1	
秈	ɕiɪ1	
秉	piŋ3	
秋	tɕʰiu1	
科	kʰaʊ1	
秒	mio6	
秘	pi5	
租	tsu1	
秤	tɕʰiŋ5	
秦	dʑiŋ2	
秧	iã5	
秩	dʑieʔ8	
秸	tɕieʔ7	
移	ɦi2	
稀	ɕi1	
稅	sᴇɪ5	
稈	kiɪ3	
程	dʑiŋ2	
稍	sɔ5	
稅	sᴇɪ5	
稔	ʒøŋ6	稔熟
稗	bo6	稗草
稚	dʒʯ2	
稟	piŋ3	
稠	dʑiu2	
種	tʃoŋ3	種子
種	tʃoŋ5	種田
稱	tɕʰiŋ5	
稻	dɔ6	
稼	ko5	
稽	tɕi1	
稿	kɔ3	
穀	koʔ7	
穆	moʔ8	
積	tɕieʔ7	
穎	iŋ1	
穗	zᴇɪ2	
穢	uᴇɪ5	
穩	uəŋ3	
穴	ɦyeʔ8	
究	tɕiu5	
空	kʰoŋ1	空虛
空	kʰoŋ5	空缺
穿	tʃʰø1	
突	daʔ8	
窄	tsaʔ7	
窑	ɦio2	
窗	tʃʰɔ̃1	
窘	tɕʰyŋ1	
窘	tɕʰyoŋ1	yn韻字又讀yon韻
窟	kʰuaʔ7	
窠	kʰaʊ1	
窮	dʑyoŋ2	
窯	ɦio2	
窵	tio3	窵角
窺	ɡuᴇɪ6	
竄	tʃʰø5	
竅	tɕʰio5	
竈	tsɔ5	
立	lieʔ8	
站	dzɛ6	
竟	tɕiŋ5	
章	tʃɔ̃1	
竣	tʃøŋ1	
童	doŋ2	
竭	dʑieʔ8	
端	tø1	
競	dʑiŋ3	
竹	tʃoʔ7	
竽	ɦy2	
竿	kiɪ3	
笆	po1	
笑	ɕio5	
笙	səŋ1	
笛	dieʔ8	
笠	lieʔ8	
笡	tɕʰia3	斜
符	vu6	
笨	bəŋ6	
第	di6	
筅	ɕiɪ3	筅帚
筆	pieʔ7	
等	təŋ3	
筋	tɕiŋ1	
筍	ʃøŋ3	
筏	vaʔ8	
筐	kʰuɔ̃1	
筒	doŋ2	
答	taʔ7	
策	tsʰaʔ7	
筱	ɕio1	
筷	kʰuɛ1	兒化變讀
箋	tɕʰiɪ1	
箏	tsəŋ1	
箔	boʔ8	
箕	tɕi1	
算	ʃø5	
管	kuø3	
箬	ȵieʔ8	
箭	tɕiɪ5	
箱	ɕiã1	
節	tɕieʔ7	
範	vɛ6	
篆	dʒø2	
篇	pʰiɪ1	
築	tʃoʔ7	
篙	kɔ3	
篡	tʃʰø5	
篤	toʔ7	
篦	pi5	
篩	sɿ1	
篷	boŋ2	
篾	mieʔ8	
簇	tʃʰoʔ7	
簍	lᴇɪ6	
簟	diɪ6	篾簟
簡	tɕiɪ3	
簧	ɦuɔ̃2	
簫	ɕio1	
簸	paʊ5	
簾	liɪ2	
簿	bu6	
籃	lɛ2	
籌	dʑiu2	
籍	ʑieʔ8	
籠	loŋ2	鳥籠
籠	loŋ6	籠絡
籤	tɕʰiɪ1	
籬	li2	
籮	laʊ2	
籲	ɦy2	
米	mi6	
粉	fəŋ3	
粒	lieʔ8	
粕	pʰaʔ7	
粗	tsʰu1	
粘	ʔȵi5	粘結格牢
粘	ȵiɪ6	粘頭樹
粟	ʃoʔ7	
粥	tʃoʔ7	
粱	liã2	
粳	kã1	
粤	ɦyeʔ8	
粹	zᴇɪ6	
糉	tʃoŋ5	
精	tɕiŋ1	
糉	tʃoŋ5	
糊	vu2	
糍	tʃʰʯ1	糍飯
糕	kɔ5	
糖	dɔ̃2	
糙	tsʰɔ5	
糜	mi2	
糞	fəŋ3	
糟	tsɔ1	
糠	kʰɔ̃1	
糧	liã2	
糯	naʊ2	
糴	dieʔ8	
糶	tʰio1	
糾	tɕiu1	
紀	tɕi5	
紂	dʑiu2	
約	ieʔ7	
紅	ɦoŋ2	
紉	ʒøŋ2	
紊	vəŋ2	
紋	vəŋ2	
納	naʔ8	
紐	ȵiu6	
純	ʒøŋ2	
紕	pʰi1	紕漏
紗	so1	
紙	tsɿ3	
級	tɕieʔ7	
紛	fəŋ1	
素	su5	
紡	fɔ̃3	
索	ʃoʔ7	
紫	tsɿ3	
累	lᴇɪ6	
細	ɕi5	
紳	ʃøŋ1	
紹	ʑio6	
終	tʃoŋ5	
組	tsu3	
絆	pɛ5	絆一跌
結	tɕieʔ7	
絕	dʒoʔ8	
絝	kʰu5	
絞	tɕio3	文讀
絞	kɔ3	白讀
絡	loʔ8	
給	tʃøʔ7	交給
給	tɕieʔ7	供給
絨	ȵyoŋ2	
絮	ɕi5	白讀 棉花絮
絮	ʃʯ5	文讀
統	tʰoŋ3	
絲	sɿ1	
絹	tɕyø5	
綁	pɔ̃3	
綉	ɕiu5	
綏	sᴇɪ5	
經	tɕiŋ5	
綜	tʃoŋ5	
綠	loʔ8	
綢	dʑiu2	
綫	ɕiɪ5	
維	vi2	
綱	kɔ̃1	
網	mɔ̃6	
綳	pã1	
綴	tsᴇɪ5	
綵	tsʰᴇ3	
綸	ləŋ2	
綻	dzɛ6	
綽	tʃʰøʔ7	白讀 闊綽
綽	tɕʰieʔ7	文讀 綽號
綿	miɪ2	
緊	tɕiŋ3	
緖	ʒʯ6	
線	ɕiɪ5	
緝	tɕʰieʔ7	
緞	dø6	
締	ti5	
緣	ɦyø2	
編	piɪ1	
緩	ɦuø6	
緬	miɪ6	
緯	ɦuᴇɪ6	
練	liɪ6	
緶	biɪ2	一種針法
縐	tsᴇɪ5	
縛	baʊ6	白讀
縛	poʔ7	文讀
縣	ɦyø6	
縫	voŋ2	縫衣
縫	voŋ6	裂縫
縮	ʃoʔ7	
縱	tʃoŋ5	
縴	tɕʰiɪ5	拉縴
總	tʃoŋ3	
績	tɕieʔ7	
繁	vɛ2	
繃	pã1	
繆	mio6	姓
織	tɕieʔ7	
繕	ʒø6	
繞	ȵio6	
繡	ɕiu5	
繩	ʑiŋ2	
繪	ɦuᴇɪ6	
繫	tɕi5	繫鞋帶
繫	ɦi2	聯繫
繭	tɕiɪ3	
繳	tɕio1	
繼	tɕi5	
繽	piŋ1	
纂	dʒø6	
續	dʒoʔ8	
纏	dʒø2	文讀 纏足
纏	ʒø2	文讀 盤纏
纏	dʑiɪ2	白讀 纏腳
纓	iŋ1	
纖	ɕiɪ1	纖維
纜	lɛ6	
缸	kɔ̃1	
缺	tɕʰyeʔ7	
罄	tɕʰiŋ5	
罌	iŋ1	
罐	kuø5	
罕	hᴇɪ5	
罩	tsɔ5	
罪	zᴇɪ6	
置	tʃʯ5	
罰	vaʔ8	
署	ʒʯ6	
罵	mo6	
罷	ba6	罷了
罷	bo2	罷工
羅	laʊ2	
羊	ɦiã2	
羌	tɕʰiã1	
美	mᴇɪ6	
羔	kɔ5	
羚	liŋ2	
羞	ɕiu1	
羣	dʑyŋ2	
羣	dʑyoŋ2	yn韻字又讀yon韻
羨	ʒø6	
義	ȵi2	
羹	kã1	
羼	tsʰɛ1	
羽	ɦy6	
翁	oŋ1	
翅	tsʰɿ3	
翎	liŋ2	
習	ʒøʔ8	
習	dʑieʔ8	
翔	dʑiã2	
翠	tsʰᴇɪ5	
翡	fi5	
翩	pʰiɪ1	
翰	ɦᴇɪ6	
翱	ŋɔ2	
翹	tɕʰio5	
翻	fɛ1	
翼	ɦieʔ8	
耀	ɦio2	
老	lɔ6	
考	kʰɔ3	
而	l̩2	
耐	nᴇ6	
耕	kã1	白讀
耕	kəŋ1	文讀
耗	hɔ5	
耙	bo6	
耙	bø2	兒化變讀 拉草耙
耜	zɿ2	耜頭
耦	ŋᴇɪ6	
耳	ȵi6	白讀
耳	l̩6	文讀
耶	ɦiᴇ2	
耽	tɛ5	
耿	kã1	
耿	kəŋ1	
聊	lio6	
聖	ɕiŋ5	
聘	pʰiŋ5	
聚	ʒʯ6	
聞	məŋ6	白讀
聞	vəŋ6	文讀
聯	liɪ2	
聰	tʃʰoŋ1	
聲	sã3	白讀 輕聲
聲	ɕiŋ1	文讀
聳	ʃoŋ3	
聶	ȵieʔ8	
職	tɕieʔ7	
聽	tʰiŋ1	
聾	loŋ2	
肄	ɦi2	
肅	ʃoʔ7	
肆	sɿ5	
肇	ʑio6	
肉	ȵyoʔ8	
肋	laʔ8	
肌	tɕi1	
肖	ɕio1	
肘	tɕiu3	
肚	tu3	豬肚
肚	du6	肚皮
肛	kɔ̃5	
肝	kiɪ1	
股	ku3	
肢	tsɿ1	
肥	bi2	白讀
肥	vi6	文讀
肩	tɕiɪ1	
肪	fɔ̃1	
肫	tʃøŋ1	
肮	ɔ̃1	
肯	kʰəŋ3	
育	ɦyeʔ8	
肺	fi5	
胃	ɦuᴇɪ6	
背	pᴇɪ5	背脊
背	bᴇɪ6	背誦
胎	tʰᴇ1	
胖	pʰɔ̃5	
胚	pʰᴇɪ1	
胛	kaʔ7	白讀 肩胛
胞	pɔ1	
胡	vu2	胡琴
胭	iɪ1	
胯	kʰuo1	
胰	ɦi2	
胸	ɕyoŋ1	
能	nəŋ2	
脂	tsɿ3	
脅	ɕieʔ7	
脆	tsʰᴇɪ5	
脈	maʔ8	
脊	tɕieʔ7	
脘	kuø1	胸脘頭
腳	tɕieʔ7	
脣	ʒøŋ2	
脫	tʰaʔ7	
脬	pʰɔ1	
脯	bu2	胸脯
脯	fu1	果脯
脫	tʰaʔ7	
脹	tɕiã5	
脾	bi2	
腈	tɕiŋ1	腈肉
腋	ɦieʔ8	
腎	ʒøŋ2	
腐	vu6	
腑	fu3	
腔	tɕʰiã1	
腕	uø3	
腡	laʊ2	手指腡
腥	ɕiŋ1	
腦	nɔ6	
腫	tʃoŋ3	
腮	sᴇ1	
腰	io1	
腳	tɕiã1	兒化變讀 拐腳
腳	tɕieʔ7	
腸	dʑiã2	
腹	foʔ7	
腺	ɕiɪ1	
腿	tʰᴇɪ3	
膀	pɔ̃3	吊膀子
膀	pʰɔ̃1	大腳膀
膀	bɔ̃2	膀胱
膊	poʔ7	
膏	kɔ1	
膘	pio1	
膚	fu1	
膛	dɔ̃2	
膜	moʔ8	
膝	ɕieʔ7	
膠	tɕio1	文讀
膠	kɔ1	白讀
膨	bã2	
膩	ȵi2	
膳	ʒø6	
膺	iŋ1	
膽	tɛ3	
膿	noŋ2	
臀	dəŋ2	
臂	pi5	
臃	yoŋ3	
臆	ieʔ7	
臉	liɪ6	
臊	sɔ1	
臍	dʑi2	
臘	laʔ8	
臟	dʒɔ̃2	五臟
臠	lø2	
臣	dʑiŋ2	
臥	ŋaʊ6	
臨	liŋ2	
自	zɿ6	文讀
自	ʑi6	白讀 自家人
臭	tɕʰiu5	
至	tsɿ3	
致	tʃʯ1	
臺	dᴇ2	戲臺
臻	tsəŋ1	
臼	dʑiu6	
舀	io3	
舂	ʃɔ̃1	
舅	dʑiu6	
與	ɦy2	
興	ɕiŋ1	興旺
興	ɕiŋ5	興起
舉	tɕy3	
舊	dʑiu6	
舌	ʑieʔ8	
舍	so5	白讀 鄰舍
舍	ʃø1	文讀 宿舍
舒	ʃʯ1	
舔	tʰiɪ3	
舜	ʃøŋ5	
舞	vu6	
舟	tɕiu1	
航	ɦɔ̃2	
般	pɛ1	
舵	daʊ6	
舶	boʔ8	
船	ʒø2	
艇	tʰiŋ1	
艘	sᴇɪ5	
艙	tʃʰɔ̃1	
艦	kʰɛ1	
艮	kəŋ1	
良	liã2	
艱	tɕiɪ1	
色	saʔ7	
艷	ɦiɪ2	
艾	ŋᴇ6	
芋	ŋ̍6	芋艿
芍	ʒoʔ8	
芒	mɔ̃2	
芙	vu6	
芝	tsɿ1	
芥	ka5	
芬	fəŋ1	
芭	po1	
芯	ɕiŋ1	
花	huo1	
花	huø1	兒化變讀 奶花 嬰兒
芳	fɔ̃1	
芹	dʑiŋ2	
芽	ŋo2	
芽	ŋø2	兒化變讀 綠豆芽
苔	tʰᴇ1	舌苔
苔	dᴇ2	苔條
苗	mio2	
苛	kʰaʊ1	
苞	pɔ5	
苟	kᴇɪ3	
若	ʒøʔ8	
苦	kʰu3	
苧	dʑi2	
英	iŋ1	
茂	mᴇɪ6	
茄	dʑia2	
茄	dʑiᴇ6	兒化變讀
茅	mɔ2	
茉	maʔ8	
茫	mɔ̃2	
茭	tɕio1	文讀
茭	kɔ1	白讀 茭白
茲	dzɿ2	
茴	ɦuᴇɪ2	
茵	iŋ5	
茶	dzo2	
茸	dʒoŋ2	
茹	ʒʯ2	
荀	ʃøŋ1	
草	tsʰɔ3	
荊	tɕiŋ1	
荏	ʒøŋ2	
荒	huɔ̃1	
荔	li2	
荷	haʊ3	薄荷
荷	ɦaʊ2	荷花
荸	bu2	荸薺
莉	li6	
莊	tʃɔ̃1	
莎	so1	
莖	ɦəŋ2	
莘	ɕiŋ1	
莢	tɕieʔ7	豆莢
莧	hɛ5	莧菜
莫	ʔmɔ5	不要
莫	moʔ8	
莽	mɔ̃6	
菊	tɕyeʔ7	
菌	tɕʰyŋ1	
菌	tɕʰyoŋ1	yn韻字又讀yon韻
菖	tʃʰɔ̃1	
菜	tsʰɛ1	兒化變讀 花臉菜 薺菜
菜	tsʰᴇ5	
菠	paʊ1	
菩	bu2	
華	ɦuo2	
菱	ləŋ2	
菱	liŋ2	文讀
菲	fi5	
萄	dɔ2	
萌	məŋ2	
萌	miŋ2	
萍	biŋ2	
萎	uᴇɪ1	
萬	mɛ6	白讀 萬子
萬	vɛ6	文讀
落	loʔ8	
葆	pɔ5	
葉	ɦieʔ8	
著	tʃʯ5	
葛	kaʔ7	
葡	bu2	
董	toŋ3	
葦	ɦuᴇɪ6	
葫	vu2	
葬	tʃɔ̃5	
葵	kuᴇɪ1	
葷	huəŋ1	
蒂	ti5	蒂頭
蒙	ʔmoŋ1	
蒜	ʃø5	
蒲	bu2	
蒸	tɕiŋ1	
蒼	tʃʰɔ̃1	
蒿	hɔ5	
蓄	ɕyeʔ7	
蓆	ʑieʔ8	
蓉	ɦyoŋ2	
蓑	so1	
蓖	pi1	
蓬	boŋ2	
蓮	liɪ2	
蓴	ʒøŋ2	
蔑	mieʔ8	
蔓	mɛ2	
蔗	tso5	
蔘	səŋ1	人蔘
蔡	tsʰa1	姓
蔣	tɕiã1	
蔥	tʃʰoŋ1	
蔫	i5	不新鮮
蔬	su1	
蔭	iŋ5	
蔻	kʰᴇɪ5	
蔽	bi2	
蕃	vɛ2	
蕉	tɕio1	
蕊	ȵy6	白讀 蕊頭 蓓蕾
蕊	zᴇɪ2	文讀
蕎	dʑio2	
蕩	dɔ̃6	
蕪	vu2	
蕭	ɕio1	
蘊	yŋ1	
蘊	yoŋ1	yn韻字又讀yon韻
蕾	lᴇɪ2	
薄	baʊ6	薄荷
薄	boʔ8	
薔	ʑiã2	
薛	ɕieʔ7	
薦	tɕiɪ5	
薩	saʔ7	
薪	ɕiŋ1	
薯	ʒʯ6	
薰	ɕyŋ1	
薰	ɕyoŋ1	yn韻字又讀yon韻
薺	dʑi2	
藉	ʑieʔ8	
藍	lɛ2	
藏	dʒɔ̃2	
藐	mio6	
藕	ŋᴇɪ6	
藝	ȵi6	
藤	dəŋ2	
藥	ɦieʔ8	
藩	vɛ2	
藹	ᴇ3	
藻	tsɔ1	
藿	hoʔ7	
蘆	lu2	
蘇	su1	
蘊	yŋ1	
蘊	yoŋ1	yn韻字又讀yon韻
蘋	biŋ2	
蘭	lɛ2	
蘿	lɔ2	白讀
蘿	laʊ2	文讀
虎	fu3	
虐	ȵieʔ8	
虔	dʑiɪ2	
處	tʃʰʯ3	相處
處	tʃʰʯ5	處所
虛	ɕy1	
虜	laʊ2	
虞	ȵy2	姓
號	ɦɔ6	
虧	tɕʰy5	白讀 虧了
虧	kʰuᴇɪ1	文讀
虹	ɦoŋ2	
蚊	məŋ2	白讀
蚊	vəŋ2	文讀
蚌	bã6	
蚓	ɦiŋ2	
蚣	koŋ1	
蚤	tsɔ1	
蚯	tɕʰiu1	
蚶	hᴇɪ1	蚶子
蛀	tʃʯ5	
蛆	tɕʰi5	蛆蟲
蛆	tɕʰy1	文讀
蛇	zo2	
蛋	dɛ6	
蛔	ɦuᴇɪ2	
蛙	uo1	
蛛	tʃʯ1	
蛟	tɕio1	
蛤	kaʔ7	
蛹	yoŋ3	
蛻	tʰᴇɪ5	
蜀	dʒoʔ8	
蜂	foŋ1	
蜇	tʃøʔ7	
蜈	məŋ2	白讀
蜓	diŋ2	
蛻	tʰᴇɪ5	
蜘	tʃʯ1	文讀
蜜	mieʔ8	
蜻	tɕʰiŋ1	
蝕	ʑieʔ8	
蝗	ɦuɔ̃2	
蝙	piɪ1	
蝟	ɦuᴇɪ6	
蝠	foʔ7	
蝦	ho3	
蝦	hø1	兒化變讀
蝨	saʔ7	
蝴	vu2	
蝶	dieʔ8	
蝸	kaʊ3	
融	ɦyoŋ2	
螞	mo2	
螟	miŋ6	
螢	ɦiŋ2	
螢	ɦyoŋ2	
螯	ŋɔ2	
螳	dɔ̃2	
螺	lø2	兒化變讀 蜓蚰螺
螺	laʊ2	
蟄	dʑieʔ8	
蟆	maʊ2	
蟒	mɔ̃6	
蟠	bø2	
蟬	ʒø6	
蟲	dʒoŋ2	
蟶	tɕʰiŋ5	
蟹	ha3	
蟻	ȵi2	
蟾	ʒø2	
蠅	iŋ1	
蠍	ɕieʔ7	
蠓	ʔmoŋ1	
蠟	laʔ8	
蠢	tʃʰøŋ1	
蠶	zᴇɪ6	
蠻	mɛ2	野蠻
蠻	ʔmɛ5	蠻好
血	ɕyeʔ7	
衆	tʃoŋ5	
行	ɦã2	白讀 行爲
行	ɦɔ̃2	銀行
行	ɦiŋ2	文讀 品行
術	ʒøʔ8	
街	ka1	
衙	ŋo2	
衛	ɦuᴇɪ6	
衝	tʃʰoŋ1	
衡	ɦəŋ2	
衢	dʑy6	
衣	i1	
衣	u1	
表	pio3	
衫	sɛ1	
衰	sᴇ1	
衲	naʔ8	尿衲
衷	tʃoŋ1	
衾	tɕʰiŋ5	
袁	ɦyø2	
袋	dᴇ6	
袍	bɔ2	
袖	ʑiu6	
被	bi6	被頭
被	bᴇɪ6	被迫
袱	boŋ2	兒化變讀 戴頭袱
袱	boʔ8	白讀
裁	zᴇ2	
裂	lieʔ8	
裏	li6	
裕	ɦy2	
裙	dʑyŋ2	
裙	dʑyoŋ2	yn韻字又讀yon韻
補	pu3	
裝	tʃɔ̃1	
裡	li6	
裱	pio3	
裳	ʒɔ̃2	
裴	bᴇɪ6	姓
裸	lø2	兒化變讀 赤裸
裸	laʊ2	
裹	kaʊ3	
褂	kuo5	
複	foʔ7	重複
褒	pɔ3	
褒	pᴇɪ1	
褓	bɔ6	
褙	pᴇɪ1	
褡	taʔ7	
褥	ʒoʔ8	
褥	ȵyoʔ8	
褪	tʰəŋ5	褪落
褲	kʰu5	
褶	tɕieʔ7	
襄	ɕiã1	
襇	kɛ3	
襉	kɛ3	
襖	ɔ3	
襟	tɕiŋ1	
襪	maʔ8	
襯	tsʰəŋ5	
襲	ʑieʔ8	
襻	pʰɛ1	紐襻
西	ɕi1	
要	io5	
覅	fᴇ1	不要
覆	foʔ7	
規	kuᴇɪ1	
覓	mieʔ8	
視	zɿ6	
親	tɕʰiŋ1	親切
親	tɕʰiŋ5	親家
覲	dʑiŋ2	
覺	tɕio1	文讀 睡覺
覺	kɔ5	白讀 睏覺
覺	tɕyeʔ7	文讀 覺悟
覺	koʔ7	白讀 覺渡
覽	lɛ6	
觀	kuø1	觀看
觀	kuø5	寺觀
角	koʔ7	
解	ka3	解決
解	ɡa6	鋸開
觸	tʃʰoʔ7	
言	ɦiɪ2	
訂	tiŋ5	
訃	fu5	
計	tɕi5	
訊	ɕiŋ5	
討	tʰɔ3	
訓	ɕyŋ5	
訓	ɕyoŋ5	yn韻字又讀yon韻
訖	tɕʰieʔ7	
託	tʰoʔ7	
記	tɕi5	
訛	ʔŋuo1	訛詐
訟	dʒoŋ6	
訣	tɕyeʔ7	
訪	fɔ̃5	
許	ɕy3	
訴	su5	
診	tʃøŋ1	
詐	tso5	
詔	tɕio5	
評	biŋ2	
詛	tsu3	
詞	dzɿ2	
詠	yoŋ3	
詢	ʃøŋ1	
試	sɿ5	
詩	sɿ1	
詪	ɡəŋ6	詪老頭
詭	kuᴇɪ3	
話	ɦuo6	
該	kᴇ3	
該	kieʔ7	這
詳	dʑiã2	
詹	tʃø1	
詼	huᴇɪ1	
誅	tʃʯ5	
誇	kʰuo1	
誌	tsɿ3	縣誌
認	ȵiŋ6	白讀
認	ʒøŋ6	文讀
誓	zɿ6	
誕	dɛ2	
誘	ɦiu6	
語	ȵy2	
誠	dʑiŋ2	
誣	vu6	
誤	nu6	
誦	dʒoŋ6	
誨	huᴇɪ5	
說	ʃøʔ7	
誰	ʒʯ2	白讀 誰儂
誰	zᴇɪ2	文讀
課	kʰaʊ5	
誹	fi1	
誼	ȵi2	
調	dio6	
諄	ʒøŋ2	
談	dɛ2	
諉	uᴇɪ5	
請	tɕʰiŋ3	
諍	tsəŋ1	
諒	liã2	
論	ləŋ6	
諜	dieʔ8	
諠	ʃø1	
諤	ŋoʔ8	
諫	ɡɛ6	白讀 諫嘴
諫	tɕiɪ5	文讀
諭	ɦy2	
諮	tsɿ1	
諱	huᴇɪ5	
諷	foŋ5	
諸	tʃʯ1	
諺	ȵiɪ2	
諾	noʔ8	
謀	mᴇɪ2	
謂	ɦuᴇɪ6	
謄	dəŋ2	
謊	huɔ̃1	
謎	mi2	文讀
謎	mᴇɪ2	白讀
謗	pɔ̃5	
謙	tɕʰiɪ1	
講	kɔ̃3	
謝	ʑia6	
謠	ɦio2	
謬	mio2	
謬	miu2	
謳	ᴇɪ1	
謹	tɕiŋ3	
證	tɕiŋ5	
