#漢字	音標	解釋
□	kʰɪŋ2	凝結成凍了
諒	lɵŋ2	
論	lɐn2	
諜	tip8	
諧	hai2	
諫	kan3	
諱	wɐi5	
諷	fuŋ5	
諸	tsi1	
諺	ŋan2	
諾	lɔk7b	
謀	mou2/mau2	
謂	wɐi2	
謄	tʰɐŋ2	
謊	fɔŋ1	
謎	mɐi2	
謗	pɔŋ2	
謙	him1	
講	kɔŋ3	
謝	tsɛ2	
謡	jiu2	
謬	miu2	
謹	kɐn3	
證	tsɪŋ5	
譏	kei1	
識	sɪk7a	
譚	tʰam2	
譜	pʰou3	
警	kɪŋ3	
譯	jɪk8	
議	ji2	
護	wu2	
譽	ji2	
讀	tuk8	
變	pin5	
讒	tsʰam2	
讓	jɵŋ2	
讚	tsan5	
谷	kuk7a	
豆	tɐu2	
豈	hei3	
豉	si2	
豌	wun3	
豎	si2	
豐	fuŋ1	
豔	jin5	
豚	tʰin2	
象	tsɵŋ2	
豪	hou2	
豫	ji2	
豬	tsi1	
豹	pau5	
豺	tsʰɔi2	
貂	tiu1	
貌	mau2	
貍	lei2	
猫	mau1	
貝	pui5	
貞	tsɪŋ1	
負	fu2	
財	tsʰɔi2	
貢	kuŋ5	
貧	pʰɐn2	
貨	fɔ5	
販	fan5	
貪	tʰam1	
貫	kun5	
責	tsak7b	
貳	ji2	
貴	kwɐi5	
貶	pin3	
買	mai3	
貸	tʰai5	
費	fɐi5	
貼	tʰip7b	
貿	mou2	
賀	hɔ2	
賃	jɐm2	
賄	fui3	
資	tsi1	
賈	ka3	
賊	tsak8	
賒	sɛ1	
賓	pɐn1	
賜	tsʰi5	
賞	sɛŋ3	
賠	pʰui2	
賢	hin2	
賣	mai2	
賤	tsin2	
賦	fu2	
質	tsɐt7a	
賬	tsɵŋ5	
賭	tou3	
賴	lai2	
賺	tsan2	
購	kʰɐu5	
賽	sɔi5	
贅	tsui2	
贈	tsɐŋ2	
贊	tsan5	
贏	jɛŋ2	
贓	tsɔŋ1	
贖	suk8	
赤	tsʰɛk7b	
赦	sɛ5	
走	tsɐu3	
赴	fu5	
起	hei3	
趁	tsʰɐn5	
超	tsʰiu1	
越	jit8	
趕	kɔn3	
趙	tsiu2	
趟	tʰɔŋ5	
趣	tsʰui5	
趨	tsʰui1	
足	tsuk7a	
趼	tsɐm3	訓
趾	tsi3	
跌	tit7b	
跑	pʰau3	
跛	pɐi1	
距	kʰei3	
跟	kɐn1	
跡	tsɪk7a	
跨	kwʰa1	
跪	kwɐi2	
路	lu2	
跳	tʰiu5	
踏	tap8	
踐	tsin3	
踢	tʰɛk7b	
蹄	tʰɐi2	
躁	tsʰou5	
躍	jɛk7b	
躥	tsʰin5	
身	sɐn1	
躬	kuŋ1	
躱	tɔ3	
躺	tʰɔŋ3	
軀	kʰei1	
車	tsʰɛ1	
車	kei1	~马炮
軋	tsat7b	
軌	kwɐi3	
軍	kwɐn1	
軒	hin1	
軟	jin3	
軸	tsuk8	
較	kau5	
載	tsɔi5	
輔	fu2	
輕	hɛŋ1	
輛	lɛŋ3	
輝	fei1	
輩	pui5	
輪	lɐn2	
輯	tsʰɐp7a	
輸	si1	
轄	hɐt8	
轉	tsin5	
轎	kʰiu2	
轟	wɐŋ1	
辛	sɐn1	
辜	ku1	
辣	lat8	
辦	pan2	
辨	pin2	
辭	tsʰi2	
辮	pin1	
辯	pin2	
辰	sɐn2	
辱	juk8	
農	luŋ2	
迅	sɐn5	
迎	jɪŋ2	
近	kʰɐn2/kɐn2	
迫	pɪk7a	
述	sɐt8	
迷	mɐi2	
迸	pɪŋ5	
追	tsui1	
退	tʰui5	
送	suŋ5	
逃	tʰou2	
逆	ŋak8	
逍	siu1	
透	tʰɐu5	
逐	tsuk8	
途	tʰu2	
逗	tɐu5	
通	tʰuŋ1	
逛	kwʰaŋ5	
逝	sɐi2	
速	tsʰuk7a	
造	tsou2	
逢	fuŋ2	
連	lin2	
週	tsɐu1	
進	tsɐn5	
逵	kwʰɐi2	
逼	pɪk7a	
逾	ji3	
遂	sui2	
遇	ji2	
運	wɐn2	
遍	pʰin5	
過	kɔ5	
遐	ha2	
道	tou2	
達	tat8	
違	wɐi2	
遞	tɐi2	
遠	jin3	
遣	hin3	
遥	jiu2	
適	sɪk7a	
遭	tsou1	
遮	tsɛ1	
遲	tsʰi2	
遵	tsin1	
遷	tsʰim1	
選	sin3	
遺	wɐi2	
遼	liu2	
避	pei2	
邀	jiu1	
邁	mai2	
還	wan2	~是
還	wan2	歸~
邊	pin1	
那	la2	
邦	pɔŋ1	
邪	tsʰɛ2	
邱	jɐu1	
邵	siu5	
郁	wɐt7a	
郊	kau1	
郎	lɔŋ3	
郡	kwɐn2	
部	pou2	
郭	kɔk7b	
郵	jɐu2	
都	tu1	
都	tu1	~市
鄂	ɔk8	
鄉	hɵŋ1	
鄒	tsɐu1	
鄙	pʰei3	
鄧	tɐŋ2	
鄭	tsɪŋ2	
鄰	lɐn2	
酉	jɐu3	
酌	tsɛk7b	
配	pʰui5	
酒	tsɐu3	
酥	sou1	
酪	lɔk7b	
酬	tsʰɐu2	
酵	hau5	
酷	hou2	
酸	sin1	
醃	jip7b	
醇	sɐn2	
醉	tsui5	
醋	tsʰu5	
醒	sɪŋ3	
醜	tsʰɐu3	
醫	ji1	
醬	tsɵŋ5	
釀	jɵŋ2	
釁	jɐn5/jɐn3	
釉	jui2	
釋	sɪk7a	
里	lei3	
重	tsʰuŋ2	
野	jɛ3	
量	lɛŋ2	
釐	lei2	
金	kɐm1	
釘	tɪŋ1	
釘	tɛŋ1/tɪŋ1	
針	tsɐm1	
釣	tiu5	
釵	tsʰa1	
鈀	pʰa2	
鈍	tɐn2	
鉤	ŋɐu1	
鈔	tsʰau1	
鈞	kwɐn1	
鈴	lɪŋ2	
鉋	pʰau2	
鉗	kʰɛm2	
鉛	jin2	
鉢	put7b	
鉸	kau5	
銀	ŋɐn2	
銅	tʰuŋ2	
銘	mɪŋ2	
銜	hɐŋ2/haŋ2	
銲	hɔn2	
銷	siu1	
銹	sɐu5	
銼	tsʰɔ5	
鋒	fuŋ1	
鋤	tsʰɔ2	
鋪	pʰou5	店~
鋪	pʰou1	~开
鋭	jui2	
鋸	kei5	
鋼	kɔŋ5	
錐	jui1	
錘	tsʰui2	
錠	tɛŋ5/tɪŋ5	
錢	tsʰin2	
錦	kɐm3	
錨	mau2	
錫	sɛk7b	
錮	ku5	
錯	tsʰɔ5	
錄	luk8	
錶	piu1	
鍊	lin2	
鍋	wɔ1	
鍍	tu2	
鍘	tsap8	
鍛	tin2	
鍬	tʰiu1	
鍵	kin5	
鍾	tsuŋ1	
鎖	sɔ3	
鎮	tsɐn5	
鏈	lin2	
鏟	tsʰan3	
鏡	kɛŋ5	
鐘	tsuŋ1	
鐮	lim2	
鐲	tsʰɔk7b	
鐵	tʰit7b	
鐺	tsʰaŋ1	
鑊	wɔk8	
鑑	kam5	
鑲	sɛŋ1	
鑼	lɔ2	
鑽	tsin5	
鑿	tsɔk7b	
長	tsɵŋ2	
長	tsɵŋ3	
門	mun2	
閂	san1	
閃	sim3	
閉	pɐi5	
開	hɔi1	
閏	jɐn2	
閑	han2	
間	kan5	
閘	tsap8	
閣	kɔk7b	
閨	kwɐi1	
閩	mɐn3	
閲	jit8	
閹	jim3	
閻	jin2	
闊	fut7b	
闖	tsʰɔŋ3	
關	kwan1	
闢	pʰɪk7a	
阜	fɐu2	
阮	jin3	
防	fɔŋ2	
阻	tsɔ3	
阿	a5	~哥
阿	ɔ1	~胶
附	fu2	
陋	lɐu2	
陌	mak7b	
降	kɔŋ5	
限	hɐn2	
陛	pɐi2	
陝	sim3	
陡	kʰei3	训读
院	jin2	
陣	tsɐn2	
除	tsʰui2/tsʰi2	
陪	pʰui2	
陰	jɐm1	
陳	tsʰɐn2	
陵	lɪŋ2	
陶	tʰou2	
陷	hɐm2	
陸	luk8	
陽	jɛŋ2	
隆	luŋ2	
隊	tui2	
階	kai1	
隔	kak7b	
際	tsɐi5	
障	tsɵŋ5	
隧	sui2	
隨	tsʰui2	
險	him3	
隱	jɐn3	
隸	tɐi2	
隻	tsɛk7b	
雀	tsɵk7b	
雁	ŋan2	
雄	huŋ2	
雅	ŋa3	
集	tsap8	
雇	ku5	
雍	juŋ1	
雕	tiu1	
雖	sui1	
雙	sɔŋ1	
雜	tsap8	
離	lei2	
難	lan2	困~
難	lan2	灾~
雨	ji3	
雪	sit7b	
雲	wɐn2	
零	lɪŋ2	
雷	lui2	
雹	pʰau1/pɔk8	
電	tin2	
需	sui1	
霄	siu1	
震	tsɐn5	
霍	kʰɔk7b	
霜	sɵŋ1/sɔŋ1	
霞	ha2	
霧	mu2	
露	lu2	
霸	pa5	
靈	lɪŋ2	
青	tsʰɪŋ1/tsʰɛŋ1	
靖	tsɪŋ2	
靜	tsɪŋ2	
非	fei1	
靠	kʰau5	
面	min2	
革	kak7b/kap7b	
靴	hɛ1	
鞋	hai2	
鞏	kuŋ3	
鞘	siu5	
鞭	pin1	
韌	jɐn2	
韓	hɔn2	
韭	kɐu3	
音	jɐm1	
韶	siu2	
韻	wɐn2	
響	hɛŋ3	
頁	jip8	
頂	tɛŋ3/tɪŋ3	
頃	kʰɪŋ3	
項	hɔŋ2	
順	sɐn2	
須	sui1	
頌	tsuŋ2	
預	ji2	
頑	man2	~皮
頒	pan1	
頓	tɐn2	
領	lɪŋ3	
頭	tʰɐu2	
頸	kɛŋ3	
頻	pʰɐn2	
顆	kʰɔ1	
題	tʰɐi2	
額	ŋak8	
顔	ŋan2	
願	jin2	
顛	tin1	
類	lui2	
顧	ku5	
顫	tsin5	
顯	hin3	
風	fuŋ1	
飄	pʰiu1	
飛	fei1	
食	sɪk8	
飢	kei1	
飩	tʰɐn1	
飯	fan2	
飲	jɐm3	
飼	tsʰi2	
飽	pau3	
飾	sɪk7a	
餃	kau3	
餅	pɛŋ3	
餈	tsʰi2	
餉	hɵŋ3	
養	jɵŋ3	
餌	lei1	
餐	tsʰan1	
餓	ŋɔ2	
餘	ji2	
餞	tsʰin3	
餧	wɐi5	
館	kun3	
餾	lɐu2	
餿	suk7a	
饅	man2	
饑	kei1	
饒	jiu2	
饞	san2	
首	sɐu3	
香	hɵŋ1	
馨	hɪŋ1	
馬	ma3	
馮	fuŋ2	
馱	tʰɔ2	
馳	tsʰi2	
駁	pɔk7b	
駕	ka5	
駛	sɐi3	
駝	tʰɔ2	
駡	ma2	
駱	lɔk7b	
騎	kʰɛ2	
騙	pʰin5	
騰	tʰɐŋ2	
騷	sou1	
騾	lɔ2	
驅	kʰei1	
驕	kiu1	
驗	lim2	
驚	kɛŋ1	
驟	tsau2	
驢	lu2	
骨	kwɐt7a	
髒	tsɔŋ1	
髓	sui2	
體	tʰɐi3	
高	kou1	
髮	fat7b	
髻	kɐi5	
鬆	suŋ1	
鬍	fu2	
鬚	sou1	
鬢	pɐn1	
鬥	tɐu5	
鬧	lau2	
鬨	hɔŋ5	
鬮	kʰɐu1	
鬱	wɐt7a	
鬼	kwɐi3	
魁	kʰui1	
魂	wɐn2	
魄	pʰak7b	
魏	ŋɐi2	
魔	mɔ1	
魚	ji3	
魯	lu3	
鮎	lim2	
鮑	pau1	
鮮	sin1	
鯉	lei3	
鯨	kʰɪŋ2	
鯽	tsɐk7a	
鰓	sui1	
鰭	kʰei2	
鰻	man2	
鰾	pʰiu1	
鱉	pit7b	
鱗	lɐn2	
鱟	hɐu2	
鱷	ɔk8	
鳥	liu3	
鳩	kɐu1	
鳳	fuŋ2	
鳴	mɪŋ2	
鴉	a1/ŋa1	
鴨	ŋap7b	
鴻	huŋ2	
鴿	kap7b	
鵝	ɔ1	
鵡	mu3	
鵮	tam5	
鵲	tsɵk7b	
鶯	ɐŋ1	
鶴	hɔk8	
鷂	jiu2	
鷄	kɐi1	
鷹	jɪŋ1	
鷺	lou2	
鸕	lu2	
鸚	jɪŋ1	
鹹	ham2	
鹻	kan3	
鹼	kan3	
鹽	jim2	
鹿	luk8	
麗	lɐi2	
麝	sɛ3	
麥	mɐk8/mak8	
麩	fu1	
麴	kʰuk7a	
麵	min2	
麻	ma2	
黃	wɔŋ2	
黎	lɐi2	
黏	tsim1	
黑	hak7a	
默	mɐk8	
點	tim3	
黨	tɔŋ3	
鼎	tɪŋ3	
鼓	ku3	
鼠	si3	
鼻	pei2	
鼻	pɐei2	
鼾	hɔn2	
齈	luŋ2	
齊	tsʰɐi2	
齋	tsai1	
齒	tsʰi3	
齡	lɪŋ2	
龍	luŋ2	
龐	pʰɔŋ2/pʰaŋ2	
龕	hɐm2	
龜	kwɐi1	
