#漢字	音標	解釋
㪗	hɛu3	~气
船	suɔn2	
艇	tʰin3	
良	liɔŋ2	
艱	kan1	
色	sɛt7	
豔	iɛn5	
藝	ȵi5	
艾	ŋai5	
節	tɕiɛt7	
芋	i5	
芍	sɔʔ7	~药
芒	mɔŋ2	
芙	fu2	
芝	tʂᴇ1	
芥	kai5	
蘆	lu2	
芬	fɘn1	
芭	pa1	
芯	ɕin1	
花	fa1	
芳	fɔŋ1	
芹	ɕin2	
芽	ŋa2	
葦	ui3	
莧	han5	
蒼	tsʰɔŋ1	
苏	su1	
苔	tʰɔi1	
苗	miɛu2	
苟	kiɛu3	
若	lɔʔ7	
苦	kʰu3	
英	in1	
蘋	pʰɘn2	
茂	mɛu5	
范	fan5	
范	fan5	姓
茄	tɕʰiɔ2	番~
茅	mau2	
繭	tɕiɛn3	
茫	mɔŋ2	
茬	tsʰa5	
茴	fuai2	
茶	tsʰa2	
荀	ɕin2	
荆	tɕin1	
草	tsʰau3	
薦	tɕiɛn5	
荒	fɔŋ1	
荔	li5	
莢	kat7	
蕎	tɕʰiɛu2	
薺	tɕi5	
蕩	hɔŋ5	
榮	iuŋ2	
葷	fɘn1	
藥	iɔʔ7	
荷	hɔ2	
荷	hɔ5	
莉	li5	
莓	mi2	
莫	mɔʔ7	
蓮	liɛn2	
获	fɛt7	
鶯	in1	
莽	mɔŋ3	
菊	tɕiuʔ7	
菌	tɕin3	
菜	tsʰɔi5	
菠	pɔ1	
菩	pʰu2	
菱	lɘn2	
菲	fi1	
萄	tʰau2	
萌	mɘn2	
萍	pʰɘn2	
萎	ui3	
蘿	lɔ2	
螢	in2	
營	in2	
蕭	ɕiɛu1	
薩	sat7	
落	lɔʔ7	
葚	sɘn5	桑~
葛	kɔʔ7	
葡	pʰu2	
董	tuŋ3	
葫	fu2	
葬	tsɔŋ5	
葱	tsʰuŋ1	
葵	kʰui2	
蒂	ti5	
蔣	tɕiɔŋ3	
蒙	muŋ2	
蒜	suɔn5	
蒲	pʰu3	
蒸	tɘn1	
蒿	hau2	
蓄	ɕiuʔ7	
蓆	tɕʰiaʔ7	
蓉	luŋ2	
蓑	sɔ1	
藍	lan2	
蓬	pʰuŋ2	~松
蔑	miɛt7	
蔗	ta5	
蔡	tsʰai5	
蔫	iɛ1	
蔬	su1	
蔽	pi7	
蕉	tɕiɛu1	
蕊	luɘi3	
薄	pʰɔ5	~荷
薄	pʰɔʔ7	形
薅	hau2	
薇	ui1	
薛	ɕiɛt7	
薪	ɕin1	
薯	hø2	
薰	ɕin1	
藉	tɕia5	
藏	tsʰɔŋ2	
藐	miɛu5	
藕	ŋiɛu3	
藤	tʰɛn2	
藩	fan1	
藿	fɔʔ7	
蘸	tsan5	
虎	fu3	
虜	lu3	
虐	iɔʔ7	
慮	li5	
虔	tɕʰiɛn2	
虚	ɕi1	
虞	ȵi2	
蟲	tʰuŋ2	
虱	sɛt7	
虹	fuŋ2	
虻	mɔŋ2	
雖	ɕi1	
蝦	ha1	~公
蝦	ha1	~腰
蝦	ha1	~蟆
蝕	ʂɘt7	腐~
蟻	ȵi3	
蚊	uɘn2	
蚌	pʰɔŋ5	
蠶	tsʰuɔn2	
蚜	ŋa2	
蚣	kuŋ1	
蚤	tsau3	
蛀	tø5	
蛆	tɕʰi1	
蛇	sa2	
蠱	ku3	
蛋	tʰan5	
蛙	ua1	
蛛	tʂø1	
蠻	man2	
蟄	tɘt7	惊~
螄	su1	
蛾	ŋɔ2	
蜀	sø3	
蜂	fuŋ1	
蜇	tsɔ1	海~
蜈	u2	
蜓	tʰin2	
蜕	tʰuɔ7	
蝸	uɔ1	
蜘	tʂᴇ1	~蛛
蜜	mɘt7	
蠟	lat7	
蜢	muŋ3	
蜻	tɕʰin1	
蠅	in2	
蟬	sɛn2	
蠍	ɕiɛt7	
蝗	fɔŋ2	
蝙	piɛn3	
蝠	fuʔ7	
蝴	fu2	
蝶	tʰiɛt7	
螂	lɔŋ2	
螃	pʰɔŋ2	
融	iuŋ2	
螳	tʰɔŋ2	
螺	lɔ2	
蟀	sɘt7	
蟆	mɔ1	
蟋	ɕit7	
蟒	mɔŋ3	
蟥	fɔŋ2	
蟹	kuai3	
蠢	tʂʰɘn3	
血	ɕyɔt7	
衅	ɕit7	
行	ɕin2	
行	ɕin2	~为，~走
衍	iɛn3	
銜	ɕian2	
街	kai1	
衙	ia2	
衡	hɛn2	
衣	i1	
補	pu3	
表	piɛu3	~面
表	piɛu3	手~
衫	sa1	
襯	tsʰɘn5	
衰	suɘi1	
袁	yɔn2	
襖	ŋau3	
袋	tʰɔi5	
袍	pʰau2	
袖	ɕiu5	~口
袖	tɕʰiu5	手~子
袜	uat7	
被	pʰi5	
被	pʰi5	~子
襲	ɕit7	
袱	fuʔ7	
裁	tsʰɔi2	
裂	liɛt7	
裝	tsɔŋ1	
襠	tɔŋ1	
裕	i5	
裙	tɕʰin2	
褲	kʰu5	
裳	sɔŋ2	衣~
裴	pʰi2	
裸	lɔ3	
裹	kuɔ3	
褂	kua5	
褒	pau1	
褥	luʔ7	
褪	tʰuɘi5	
褶	tɛt7	
襄	ɕiɔŋ1	
西	ɕi1	
要	iɛu1	
要	iɛu5	
要	iau5	重~
覆	fuʔ7	
見	tɕiɛn5	
觀	kuɛn1	参~
觀	kuɛn5	道~
規	kui1	
覓	mit7	
視	sᴇ5	
覽	lan3	
覺	tɕiau5	
覺	kɔʔ7	
角	kɔʔ7	
解	kai3	~开
解	ɕiaʔ7	姓
解	kai3	知道
觸	tʂʰøʔ7	
言	ȵiɛn2	
譽	i5	
謄	tʰɛn2	
誓	ʂᴇ5	
謡	iɛu2	
警	tɕin3	
譬	pi5	
計	tɕi5	
訂	tiaŋ5	
訃	pu5	
認	lɘn5	
譏	tɕi1	
討	tʰau3	文
討	hau3	文
讓	ȵiɔŋ5	
訓	ɕin5	
議	i5	
訊	ɕin5	
記	tɕi5	
講	tɕiɔŋ3	
諱	fi3	
許	ɕi3	
訛	ŋɔ2	
論	lɘn5	
訟	suŋ5	
諷	fuŋ3	
設	sɛt7	
訪	fɔŋ3	
訣	tɕyɔt7	
证	tɘn5	
評	pʰɘn2	
識	sɘt7	~别
詐	tsa5	
訴	suʔ7	
詞	tsʰu2	
詔	tʰɛu1	~书
譯	it7	
試	sᴇ5	
詩	sᴇ1	
詼	fi1	
誠	tʂʰɘn2	
誅	tʂø1	
話	fa5	
誕	tʰan3	
詭	kui3	
詢	ɕin2	
詣	i5	
該	kɔi1	
詳	tɕʰiɔŋ2	
誣	u1	
語	ȵi3	
誤	u5	
誘	iu5	
説	sɔt7	~话
誦	suŋ5	
請	tɕʰin3	文
請	tɕʰiaŋ3	白
諸	tʂø1	~葛亮
諾	lɔʔ7	
讀	tʰuʔ7	
課	kʰɔ5	
誰	suɘi2	你是~个?
調	tʰiɛu2	
調	tʰiɛu5	~整
調	tʰiɛu5	音~
諒	liɔŋ5	
談	tʰan2	
誼	ȵi2	
謀	mɛu2	
諜	tʰiɛt7	
謊	fɔŋ3	
諫	tɕian5	
謂	ui5	
讒	tsʰan2	
諺	ŋan2	
謎	mi2	
謝	ɕia5	
謗	pɔŋ3	
謙	ɕiɛn1	
謹	tɕin3	
謬	miɛu5	
譚	tʰan2	
譜	pʰu3	家~
谷	kuʔ7	稻~
豁	fɔt7	
豆	hɛu5	
豉	sɘt7	豆~
豌	uɛn1	
豚	tʰɘn2	
象	ɕiɔŋ5	
豪	hau2	
豫	i5	
豹	pau5	
豺	tsʰai2	
貂	tiɛu1	
貌	mau5	
貝	pi5	
貞	tʂɘn1	
負	fu5	
貢	kuŋ5	
財	tsʰɔi2	
責	tsɛt7	
賢	ɕiɛn2	
敗	pʰai5	
賬	tɔŋ5	
貨	fɔ5	
質	tɘt7	
販	fan5	
貪	tʰuɔn1	
貧	pʰɘn2	
貶	piɛn3	
購	kiɛu5	
貫	kuɛn5	
貳	ɘ5	
賤	tɕʰiɛn5	
貼	tʰiɛt7	
貴	kui5	
貸	tʰɔi5	
貿	mɛu5	
費	fi5	
賀	hɔ5	
貽	i2	
賊	tsʰɛt7	
賈	ku3	
賈	ka3	
賄	fi3	
賃	lɘn5	
賂	lɔ7	
贓	tsɔŋ1	
資	tsu1	
賒	sa1	~账
賦	fu5	
賭	tu3	
贖	høʔ7	
賞	sɔŋ3	
賜	tsʰu5	
賠	pʰi2	
賴	lai5	
贅	tuɘi5	
賺	tsʰan5	
賽	suɔi5	
贊	tsan5	
贈	tsʰɛn5	
贏	iaŋ2	
赤	tʰaʔ7	~脚
赤	tʂʰɘt7	~色
赦	sa3	
赫	hɛt7	
走	tsɛu3	
赴	pʰuʔ7	
趙	tʰɛu5	
趕	kɔn3	
起	ɕi3	
趁	tsʰɘn3	~着
超	tʰɛu1	
越	iɔʔ7	
趨	tɕʰi1	
趟	tʰɔŋ3	
趣	tɕʰi5	
足	tɕiuʔ7	
趾	tʂᴇ3	
躍	iɔʔ7	
跌	tiɛt7	
跑	pʰau3	
跛	pɔ1	
距	tɕʰi5	
跟	kiɛn1	
跨	kʰua3	
跪	kʰui3	
路	lu5	
跳	tʰiɛu2	
踐	tɕʰiɛn3	
踊	iuŋ3	
踏	tʰat7	
踢	tʰit7	
踩	tsʰai3	
蹤	tsuŋ1	
踮	tiɛn3	
蹄	tʰi2	
蹈	tʰau1	
躡	ȵiɛt7	
蹭	tsʰɛn5	
蹲	tɘn1	
躥	tsʰuɔn5	
躁	tsau5	
身	sɘn1	
躬	kuŋ1	
躱	tɔ3	
躺	tʰɔŋ3	
車	tʰa3	
車	tɕi1	~马炮
軋	tsaʔ7	
軌	kui3	
軒	ɕyɔn1	
轉	tuɔn3	~眼
轉	tuɔn5	~圈
輪	lɘn2	
軟	ȵyɔn3	
轟	fuŋ1	
軸	tʂʰøʔ7	对称~
輕	tɕʰin1	文
輕	ɕiaŋ1	白
載	tsai5	
轎	tɕʰiau5	
較	tɕiau5	
輔	pʰu3	
輛	liɔŋ3	
輩	pi5	
輝	fi1	
輜	tsu1	
輻	fuʔ7	
輯	tɕʰit7	
輸	hø1	~赢
輸	sø1	运~
轅	yɔn2	
轄	haʔ7	
辛	ɕin1	
辜	ku1	
辭	tsʰu2	
辟	pʰi5	
辣	lat7	
辨	pʰiɛn5	
辯	pʰiɛn5	
辮	pʰiɛn5	
辰	sɘn2	
辱	lu3	
邊	piɛn1	
遼	liɛu2	
達	tʰat7	
遷	tɕʰiɛn1	
迂	i1	
迅	ɕin5	
過	kuɔ5	
過	kuɔ5	~来
邁	mai5	
迎	in2	
運	in5	
近	ɕin5	
還	hai2	副
還	fan2	动
進	tɕin5	
遠	yɔn3	
違	ui2	
連	liɛn2	
遲	tʂʰᴇ2	
迥	tɕiuŋ3	
迫	pʰɛt7	
迭	tʰiɛt7	
述	sɘt7	~说
迷	mi2	
迸	pɘn5	
迹	tɕit7	
追	tø1	
退	tʰuɘi5	
送	suŋ5	
適	sɘt7	
逃	tʰau2	
逆	ȵiaʔ7	
選	ɕiɛn3	
遜	ɕin5	
逍	ɕiɛu1	
透	tʰɛu5	
逐	tʂʰøʔ7	~渐
遞	tʰi1	
途	tʰu2	
逗	tʰɛu5	
通	tʰuŋ1	
逝	sᴇ5	
逞	tʰɘn3	~能
速	suʔ7	
造	tsʰau5	
逢	fuŋ2	
逮	tai1	
逵	kʰui2	
逸	i5	
逼	pɘt7	
逾	i5	
遁	tɘn3	
遂	suɘi5	
遇	ȵi5	
遍	pʰiɛn5	
遐	ɕia1	
道	tʰau5	
遺	i2	
遢	tʰat7	
遣	tɕʰiɛn3	
遥	iɛu2	
遭	tsau1	
遮	ta1	
遵	tsɘn1	
避	pʰi5	
邀	iɛu1	
鄧	tʰɛn5	
那	la1	
邦	pɔŋ1	
邪	ɕia2	
郵	iu2	
邵	sɛu5	
鄒	tsɛu1	
鄰	lɘn2	
郁	it7	
郊	kau1	
郎	lɔŋ2	
鄭	tʂʰɘn5	
鄭	tʰɛn5	姓
郝	hau3	
郡	tɕin5	
部	pʰu5	
郭	kɔʔ7	
都	tu1	
鄂	ŋɔʔ7	
鄙	pʰi3	
酉	iu3	
酌	tɔʔ7	
配	pʰi5	
酒	tɕiu3	
酣	hɔn1	
酥	su1	
酪	lɔʔ7	
酬	tʂʰɘu2	~谢
醬	tɕiɔŋ5	
酵	ɕiau5	
酷	kʰu5	
酸	suɔn1	
釀	ȵiɔŋ3	
醇	tʂʰɘn2	
醉	tɕi5	
醋	tsʰu5	
醒	ɕiaŋ3	
采	tsʰuɔi3	
釉	iu5	
釋	sɘt7	
里	li3	
重	tʰuŋ2	~复
重	tʰuŋ5	~要
野	ia3	
量	liɔŋ2	~尺寸
量	liɔŋ5	气~
金	tɕin1	
釜	fu3	
鑑	kan5	
鋭	luɘi3	
針	tɘn1	
釘	tiaŋ1	名
釣	tiɛu5	
釵	tsʰa7	
鈍	tɘn5	
鈔	tsʰau1	
钟	tuŋ1	~情
钟	tuŋ1	时~
鋼	kɔŋ1	名
鑰	iɔʔ7	
欽	tɕʰin1	
鈞	tɕin1	
鉤	kiɛu1	
鈀	pʰa5	
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鑽	tsuɔn5	
鐵	tʰiɛt7	
鈴	lɘn2	
鉛	tɕʰyɔn1	~笔
銬	kʰau5	
銅	tʰuŋ2	
鍘	tsʰat7	
鏵	fa2	
銘	mɘn2	
鉸	tɕiau3	
鏟	tsʰan3	
銀	ȵin2	
鑄	tø5	~造
鋪	pʰu1	
鋪	pʰu1	动
鏈	liɛn5	
銷	ɕiɛu1	
鎖	sɔ3	
鋤	tsʰu2	
鍋	uɔ1	
鏽	ɕiu5	
銼	tsʰɔ5	
鋒	fuŋ1	
鐧	kan1	
錯	tsʰɔ5	
錯	tsʰɔ5	对~
錨	mau2	
錫	ɕit7	
錮	ku5	
鑼	lɔ2	
錘	tʰø2	
錐	tuɘi1	圆~
錦	tɕin3	
錠	tʰin5	
鍵	tɕiɛn5	
鋸	tɕi5	名
鍬	tɕʰiɛu1	
鍛	tuɔn5	
鍍	tʰu5	
鎮	tɘn5	
鑷	ȵiɛt7	
鏡	tɕiaŋ5	
鐐	liɛu5	
鐲	tsʰɔʔ7	
鐮	liɛn2	
鑲	ɕiɔŋ1	
長	tʰɔŋ2	
長	tɔŋ3	生~
門	mɘn2	
閂	suɔn1	
閃	sɛn3	
閉	pi5	
問	uɘn5	
闖	tʰɔŋ3	
閏	lɘn5	
闲	han2	
間	kan5	~断
間	kan1	房~，一~房
悶	mɘn5	
閘	tsat7	
鬧	lau5	
閨	kui1	
聞	uɘn2	
閩	mɘn3	
閣	kɔʔ7	
鬮	tɕiu1	
閲	iɔʔ7	
閹	iɛn1	
閻	iɛn2	
闊	kʰuɛt7	
隊	tuɘi5	
防	fɔŋ2	
陽	iɔŋ2	
陰	in1	
陣	tʂʰɘn5	
階	kai1	
阻	tsu3	
阿	a1	
附	fu5	
際	tɕit7	
陸	liuʔ7	
隴	luŋ3	
陳	tʰɘn1	
陋	lɛu5	
陌	mɔʔ7	
降	kɔŋ5	下~
降	ɕiɔŋ2	投~
限	ɕian5	
陝	sɛn3	
陛	pi5	
陡	tɛu3	
院	yɔn5	
除	tʰø2	
險	ɕiɛn3	
陪	pʰi2	
陵	lɘn2	
陶	tʰau2	
陷	ɕian5	
隆	luŋ2	
隨	suɘi2	
隱	in3	
隔	kat7	
隘	it7	
隙	ɕit7	
障	tɔŋ5	
隧	suɘi5	
隶	tʰi5	
難	lan2	~易
難	lan5	逃~
雀	tɕʰiɔʔ7	
雁	iɛn5	
雄	ɕiuŋ2	
雅	ŋa3	
集	tɕʰit7	
雇	ku5	
雌	tsʰu1	
雍	iuŋ1	
雛	tʂʰø2	
雕	tiɛu1	
雨	i3	
雪	ɕiɛt7	
零	lɘn2	文
零	liaŋ2	白
雷	lɘi2	
雹	pʰau5	
霧	u5	
需	ɕi1	
霄	ɕiɛu1	
震	tɘn5	
黴	mi2	
霍	fɔʔ7	
霜	sɔŋ1	
霞	ɕia2	
露	lu5	
霹	pʰit7	
青	tɕʰin1	文
青	tɕʰiaŋ1	白
靖	tɕʰin5	
靜	tɕʰin5	
非	fi1	
靠	kʰau5	
靡	mi2	
面	miɛn5	~孔
面	miɛn5	~条
革	kiɛt7	
靴	ɕiɔ1	
鞋	hai2	
鞍	ŋɔn1	
鞠	tɕi2	
鞭	piɛn1	
韌	lɘn3	
韓	hɔn2	
韭	tɕiu3	
音	in1	
韻	in5	
韶	sau2	~关
頁	iɛt7	
頂	tin3	
頃	tɕʰin1	
項	hɔŋ5	
順	sɘn5	
须	ɕi1	
頑	uan2	~皮，~固
顧	ku5	
頓	tɘn5	
頒	pan1	
頌	suŋ5	
預	i5	
領	lɘn3	文
領	liaŋ3	白
頗	pʰɔ1	
頸	tɕiaŋ3	
頻	pʰɘn2	
頽	tʰuɘi5	
穎	in3	
顆	kʰɔ1	
題	tʰi2	
顔	ŋan2	
額	ŋiɛt7	
顛	tiɛn1	
顫	tsʰɛn5	~抖
風	fuŋ1	
颼	sɛu1	
飄	pʰiɛu1	
飛	fi1	
食	sɘt7	
餐	tsʰan1	
饥	tɕi1	
饥	tɕi1	~饿
飩	tɘn5	
飯	fan5	
飲	in3	
飾	sᴇ5	
飽	pau3	
飼	tsʰu2	
餌	ɘ3	
饒	lɛu2	
餉	ɕiɔŋ3	粮~
餃	tɕiɛu3	
餅	piaŋ3	
餓	ŋɔ5	
餛	fɘn5	
餡	han5	
館	kuɛn3	
餿	sɛu1	
饞	tsʰan2	
餾	liu2	
饅	mɛn2	
首	sɘu3	
香	ɕiɔŋ1	
馨	ɕin1	
馬	ma3	
馱	tʰɔ2	
馴	ɕin5	~服
馳	tʂʰᴇ2	
驅	tɕʰi1	
駁	pɔʔ7	
驢	li2	
駛	su3	
駒	tɕi1	
駐	tø5	
駝	tʰɔ2	
駕	ka5	
駡	ma5	
驕	tɕiɛu1	
駱	lɔʔ7	
駭	hɛt7	
驗	ȵiɛn5	
騎	ɕi2	
騙	pʰiɛn5	欺~
騷	sau1	
騾	lɔ2	
驟	tsʰɛu5	
骨	kuɘt7	
骼	kɔʔ7	
髓	suɘi2	
高	kau1	
髻	tɕi5	
鬢	pɘn1	
鬼	kui3	
魁	kʰui3	
魂	fɘn2	
魄	pʰaʔ7	
魏	ui5	
魔	mɔ2	
魚	ȵi2	
魯	lu3	
鮑	pʰau5	
鮮	ɕiɛn1	
鮮	ɕiɛn1	朝~
鯉	li3	
鯽	tɕit7	
鯨	tɕin1	
鰓	suɔi1	
鱷	ŋɔʔ7	
鰍	tɕʰiu1	
鱉	pʰiɛt7	
鱖	kui5	
鱗	lɘn2	
鳥	liɛu3	
鳩	tɕiu1	
雞	tɕi1	
鳴	mɘn2	
鴉	ŋaʔ7	
鸕	lu2	
鴨	ŋat7	
鴿	kɔt7	
鸞	luɔn2	
鴻	fuŋ2	
鵝	ŋɔ2	
鵡	u3	
鵲	tɕʰiɔʔ7	
鶴	hɔ5	
鸚	in1	
鷺	lu5	
鷹	in1	
鹿	luʔ7	
麝	sa5	
麥	maʔ7	
麩	fu1	
麻	ma2	
黃	fɔŋ2	
黎	li2	
黏	ȵiɛn2	~液
黑	hɛt7	
默	mɛt7	
鼎	tin3	
鼓	ku3	
鼠	hø3	
鼻	pʰɘt7	
鼾	hɔn1	
齊	tɕʰi2	
齒	tʂʰᴇ3	
齡	lɘn2	
龍	liuŋ2	
龔	tɕiuŋ1	
龕	kʰɔn3	
龜	kui1	
