#漢字	音標	解釋
□	uɑi3	不舒服
祝	tʃyəʔ7	
神	ʃiɛ̃2	
祠	tsʰɿ2	
祥	ʃiɑŋ2	
票	pʰiɔ5	
祭	tʃi5	
禱	tɔ3	
禍	xuo6	
稟	piɛ̃3	
禁	tɕiɛ̃1	
禁	tɕiɛ̃5	
祿	luəʔ8	
禪	tʃʰiæ̃2	
禪	ʃiæ̃6	
福	fuəʔ7	
禹	y3	
离	li2	
离	li6	
禽	tɕʰiɛ̃2	
禾	xuo2	
秀	ʃiəu5	
私	sɿ1	
秃	tʰuəʔ7	
稈	kæ̃3	
秉	piŋ3	
秋	tʃʰiəu1	
種	tsuŋ3	
種	tsuŋ5	
種	tsuŋ2	姓
科	kʰuo1	
秒	miɔ3	
秕	pi3	
秘	miəʔ8	
租	tsu1	
租	ly3	
秤	tʃʰiŋ5	
秦	tɕʰiɛ̃2	
秧	iɑŋ1	
秩	ɕiəʔ8	
秫	ʃyəʔ8	
秭	tsɿ3	
積	tʃiəʔ7	
稱	tʃʰiŋ1	动词
稱	tʃʰiŋ5	名词
秸	tɕiə1	
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʃʰiŋ2	
稍	ʃiɔ1	
稍	sɔ5	
税	suei5	
稗	pɑi6	
稚	tʃi6	
稠	tʃʰiəu2	
穩	uɛ̃3	
稻	tɔ6	
稼	tɕiɑ5	
稽	tɕi1	
稿	kɔ3	
穄	tʃi5	
穗	suei6	
穰	iɑŋ2	
穴	ɕyəʔ8	
究	tɕiəu5	
窮	tɕʰyŋ2	
空	kʰuŋ1	天~
空	kʰuŋ5	有~
穿	tʃʰyæ̃1	
突	tʰuəʔ8	
竊	tɕʰiəʔ7	
窄	tsəʔ7	
竅	tɕʰiɔ5	
竅	tʃʰiɔ5	
窯	iɔ2	
窖	tɕiɔ5	
窗	tsʰuɑŋ1	
窘	tɕyɛ̃3	
竄	tsʰuæ̃5	
窩	uo1	
窟	kʰuəʔ7	
窠	kʰuo1	
窺	kʰuei1	
窨	iɛ̃5	
窿	luŋ2	
立	liəʔ8	
豎	ʃy6	
站	tsæ̃5	
競	tɕiŋ6	
竟	tɕiŋ5	
章	tʃiɑŋ1	
童	tʰuŋ2	
竭	iəʔ7	
竭	tɕiəʔ8	
端	tuæ̃1	
竹	tʃyəʔ7	
竿	kæ̃1	
篤	tuəʔ7	
笆	pɑ5	
笊	tsɔ5	
笋	ʃyɛ̃3	
笑	ʃiɔ5	
筆	piəʔ7	
筧	tɕiæ̃3	
笙	səŋ1	
笛	tiəʔ8	
笠	liəʔ8	
笡	tʃʰiə5	
符	fu2	
笨	pɛ̃5	
第	ti6	
箋	tʃiæ̃1	
籠	luŋ2	
等	təŋ3	
筋	tɕiɛ̃1	
筏	fʌʔ8	
筐	kʰuɑŋ1	
筑	tʃyəʔ7	
筒	tʰuŋ3	
答	tʌʔ7	
策	tsʰəʔ7	
篩	sɑi1	
箏	tsəŋ1	
筢	pʰɑ2	
筵	iæ̃2	
筷	kʰuɑi5	
籌	tʃʰiəu2	
签	tʃʰiæ̃1	
簡	tɕiæ̃3	
箅	pi5	
箍	ku1	
算	suæ̃5	
管	kuæ̃3	
籮	luo2	
簫	ʃiɔ1	
箭	tʃiæ̃5	
箱	ʃiɑŋ1	
箸	tʃy5	
篆	tʃyæ̃6	
篇	pʰiæ̃1	
簍	ləu3	
篙	kɔ1	
篡	tsʰuæ̃5	
篦	pi6	
籃	læ̃2	
籬	li2	
篷	pʰəŋ2	
篾	miəʔ8	
簟	tʰiæ̃6	
簧	xuɑŋ2	
簪	tsæ̃1	
簸	puo3	动词
簸	puo5	名词
簿	pu6	
籍	tʃiəʔ8	
米	mi3	
糴	tiəʔ8	
類	luei6	
粉	fɛ̃3	
粒	liəʔ8	
粗	tsʰu1	
粘	tʃiæ̃1	
糶	tʰiɔ5	
粟	ɕyəʔ7	
粤	yəʔ8	
粥	tʃyəʔ7	
糞	fɛ̃5	
糧	liɑŋ2	
粱	liɑŋ2	
粳	kəŋ1	
粹	tsʰuei5	
糉	tsuŋ5	
精	tʃiŋ1	
糊	xu5	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰɑŋ2	
糙	tsʰɔ5	
糜	mi2	
糟	tsɔ1	
糠	kʰɑŋ1	
糯	nuo6	
糰	tʰuæ̃2	
系	ɕi6	
素	su5	
索	suəʔ7	
索	suəʔ8	
緊	tɕiɛ̃3	
紫	tsɿ3	
累	luei3	
累	luei6	
絮	ʃy5	
繁	fæ̃2	
繫	ɕi6	
纂	tsuæ̃2	
糾	tɕiəu1	
紅	xuŋ2	
紂	tʃiəu6	
纤	ʃiæ̃1	
約	yəʔ7	
約	yəʔ8	
級	tɕiəʔ7	
紀	tɕi5	
紉	iɛ̃6	
緯	uei3	
純	tʃʰyɛ̃2	
紕	pʰi2	
紗	sɑ1	
綱	kɑŋ1	
納	nʌʔ7	
縱	tsuŋ1	
縱	tsʰuŋ5	
紛	fɛ̃1	
紙	tsɿ3	
紋	uɛ̃2	
紡	fɑŋ3	
紐	niəu3	
線	ʃiæ̃5	
練	lyæ̃6	
組	tsu3	
細	ʃi5	
織	tsəʔ8	
終	tsuŋ1	
縐	tsəu5	
絆	pæ̃5	
紹	ʃiɔ6	
經	tɕiŋ1	
綁	pɑŋ3	
絨	yŋ2	
結	tɕiəʔ7	
結	tʃiəʔ7	
繞	iɔ3	
繞	iɔ5	
繪	xuei6	
給	kəʔ7	
給	tɕiəʔ7	
絡	luəʔ8	
絶	tʃyəʔ8	
絞	tɕiɔ3	
統	tʰuŋ3	
絹	tɕyæ̃5	
繡	ʃiəu5	
綏	suei2	
繼	tɕi5	
績	tɕiəʔ7	
緒	ʃy6	
綾	liŋ2	
續	ʃy6	
續	ɕyəʔ8	
綽	tsʰuəʔ7	
綽	tʃʰyəʔ7	
繩	ʃiŋ2	
維	uei2	
綿	miæ̃2	
繃	pəŋ1	
綢	tʃʰiəu2	
綜	tsuŋ1	
綻	tsæ̃6	
綠	nyəʔ8	
綴	tsuei5	
緬	miæ̃3	
纜	læ̃3	
緝	tʃiəʔ8	
緞	tuæ̃6	
緩	xuæ̃3	
縷	ly3	
編	piæ̃1	
緣	yæ̃2	
縛	fuəʔ8	
縫	fəŋ2	
縫	fəŋ6	
纏	tʃʰiæ̃2	
縊	i6	
纓	iŋ1	
縮	ʃyəʔ7	
繮	tɕiɑŋ1	
繳	tɕiɔ3	
缸	kɑŋ1	
缺	tɕʰyəʔ7	
罐	kuæ̃5	
网	uɑŋ3	
罕	xæ̃3	
羅	luo2	
罰	fʌʔ8	
罷	pɑ6	
罩	tʃiɔ5	
罪	tsuei6	
置	tsəʔ8	
署	ʃy6	
罾	tsəŋ1	
羊	iɑŋ2	
羌	tɕʰiɑŋ1	
美	mei3	
羔	kɔ1	
羞	ʃiəu1	
羡	ʃiæ̃6	
群	tɕʰyɛ̃2	
羶	ʃiæ̃1	
羹	kəŋ1	
羽	y3	
翁	uŋ1	
翅	tsʰɿ5	
翎	liŋ2	
翔	ɕiɑŋ2	
翹	tɕʰiɔ5	
翠	tsʰuei5	
翡	fei3	
翫	uæ̃2	
翰	xæ̃6	
翱	ɔ2	
翻	fæ̃1	
翼	i6	
耀	iɔ6	
耀	tʃiɔ6	
老	lɔ3	
考	kʰɔ3	
者	tʃiə3	
而	l̩2	
耍	suɑ3	
耐	nɑi6	
耕	kəŋ1	
耗	xɔ5	
耘	yɛ̃2	
耙	pɑ6	
耬	ləu2	
耩	tɕiɑŋ3	
耳	l̩3	
耶	iə2	
聳	suŋ3	
耻	tʃʰi3	
耽	tæ̃1	
耿	kəŋ3	
聶	niəʔ8	
聊	liɔ2	
聾	luŋ2	
職	tsəʔ8	
聒	kuəʔ7	
聯	lyæ̃2	
聘	pʰiŋ5	
聚	tʃy6	
聰	tsʰuŋ1	
肅	ʃyəʔ7	
肄	i6	
肆	sɿ5	
肇	tʃiɔ6	
肉	iəu6	
肋	ləʔ7	
肌	tɕi1	
肘	tʃiəu3	
肚	tu3	
肚	tu6	
肛	kɑŋ1	
肝	kæ̃1	
腸	tʃʰiɑŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fei2	
肩	tɕiæ̃1	
肪	fɑŋ1	
骯	ɣɑŋ1	
肯	kʰəŋ3	
育	y6	
肴	iɔ2	
肺	fei5	
腎	ʃiɛ̃6	
腫	tsuŋ3	
脹	tʃiɑŋ5	
脅	ɕiəʔ7	
胃	uei6	
胄	tsəu6	
膽	tæ̃3	
背	pei5	
胎	tʰɑi1	
胖	pʰɑŋ5	
胚	pʰei1	
胛	tɕiʌʔ7	
勝	ʃiŋ2	
勝	ʃiŋ5	
胞	pɔ1	
胡	xu2	
胤	iɛ̃6	
朧	luŋ2	
胭	iæ̃1	
胯	kʰuɑ5	
胱	kuɑŋ1	
胳	kəʔ7	
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ2	
脂	tsɿ1	
脆	tsʰuei5	
脉	miəʔ8	
脊	tʃiəʔ7	
脏	tsɑŋ1	
脏	tsɑŋ6	
臍	tʃʰi2	
腦	nɔ3	
膿	nuŋ2	
脚	tɕyəʔ7	
脯	pʰu2	
脯	fu3	
脱	tʰuəʔ7	
臉	liæ̃3	
脾	pʰi2	
腆	tʰiæ̃3	
臘	lʌʔ8	
腋	iə6	
腌	iæ̃1	
腐	fu3	
腑	fu3	
腔	tɕiɑŋ1	
腕	uæ̃5	
腥	ʃiŋ1	
腭	ɣəʔ7	
腮	sɑi2	
腰	iɔ1	
腱	tɕiæ̃6	
腹	fuəʔ7	
膩	ni6	
騰	tʰəŋ2	
腿	tʰuei3	
膀	pɑŋ3	
膊	tʃyæ̃1	
膏	kɔ1	
膏	kɔ5	
膘	piɔ1	
膜	muəʔ8	
膝	ʃiəʔ7	
膨	pʰəŋ2	
膳	ʃiæ̃6	
臀	tʰuɛ̃2	
臂	pi5	
臃	yŋ1	
臊	sɔ1	
臣	tʃʰiɛ̃5	
自	tsɿ6	
臭	tʃʰiəu5	
至	tsɿ5	
致	tʃi5	
臻	tsɛ̃1	
臼	tɕiəu6	
舀	iɔ3	
舂	tsʰuŋ5	
舅	tɕiəu6	
輿	xuŋ5	
舌	ʃiəʔ8	
舍	ʃiə3	
舍	ʃiə5	
舐	sɿ5	
舒	ʃy1	
舔	tʰiæ̃3	
舜	ʃyɛ̃5	
舞	u3	
舟	tʃiəu1	
航	xɑŋ2	
般	pæ̃1	
艦	tɕiæ̃6	
艙	tsʰɑŋ1	
舵	tʰuo2	
舵	tuo6	
舷	ɕyæ̃3	
船	tʃʰyæ̃2	
艇	tʰiŋ3	
艘	səu1	
良	liɑŋ2	
艱	tɕiæ̃1	
色	səʔ7	
豔	iæ̃6	
藝	i6	
艾	ɑi6	
節	tʃiəʔ7	
芋	y6	
芍	ʃyəʔ8	
芒	mɑŋ2	
芙	fu2	
芝	tsɿ1	
芡	tɕʰiæ̃6	
芥	tɕiə5	
蘆	lu2	
芬	fɛ̃1	
芭	pɑ1	
芮	tsuei5	
花	xuɑ1	
芳	fɑŋ1	
芹	tɕʰiɛ̃2	
芽	iɑ2	
葦	uei3	
莧	ɕiæ̃6	
蒼	tsʰɑŋ1	
苧	tʃy6	
苏	su1	
苑	yæ̃5	
苔	tʰɑi1	
苗	miɔ2	
苛	kʰə1	
苞	pɔ1	
苟	kəu3	
若	yəʔ8	
苦	kʰu3	
英	iŋ1	
苶	niəʔ8	
蘋	piŋ2	
茂	mɔ6	
范	fæ̃6	
茄	tɕʰiə2	
茅	mɔ2	
莖	tɕiŋ1	
塋	iŋ2	
繭	tɕiæ̃3	
茨	tsʰɿ2	
茫	mɑŋ2	
茬	tsʰɑ2	
茭	tɕiɔ1	
茴	xuei2	
茶	tsʰɑ2	
茸	yŋ2	
荀	ʃyɛ̃2	
荆	tɕiŋ1	
草	tsʰɔ3	
薦	tʃiæ̃5	
荒	xuɑŋ1	
荔	li1	
蕎	tɕʰiɔ2	
薺	tʃi6	
蕩	tɑŋ6	
榮	yŋ2	
葷	xuɛ̃1	
滎	ɕiŋ2	
蔭	iɛ̃5	
藥	yəʔ8	
荷	xə2	
荷	xə5	
荻	tiəʔ7	
荽	suei1	
莎	sɑ1	
莎	suo1	
莓	mei2	
莜	iəu2	
莠	iəu5	
莫	muəʔ8	
蓮	liæ̃2	
蒔	sɿ6	
萵	uo1	
获	xuəʔ8	
瑩	iŋ2	
鶯	iŋ1	
莽	mɑŋ3	
菊	tɕyəʔ7	
菌	tɕyɛ̃3	
菖	tɕʰiɑŋ1	
菜	tsʰɑi5	
菠	puo1	
菢	pɔ6	
菩	pʰu2	
菱	liŋ2	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
萎	uei3	
蘿	luo2	
螢	iŋ2	
營	iŋ2	
蕭	ʃiɔ1	
薩	sʌʔ7	
萬	uæ̃6	
落	lɑ5	
落	luəʔ8	
著	tʃy5	
葚	ʃiɛ̃6	
葛	kəʔ7	
葡	pʰu2	
董	tuŋ3	
葫	xu2	
葬	tsɑŋ5	
葱	tsʰuŋ1	
葵	kʰuei2	
蒂	ti5	
蔣	tʃiɑŋ3	
蒙	məŋ1	
蒙	məŋ2	
蒜	suæ̃5	
蒯	kʰuɑi5	
蒲	pʰu2	
蒸	tʃiŋ1	
蒿	xɔ1	
蓄	ɕyəʔ7	
蓉	yŋ2	
蓑	suo1	
蓖	pi5	
藍	læ̃2	
蓬	pʰəŋ2	
蔓	mæ̃5	
蔓	uæ̃6	
蔗	tʃiəʔ7	
蔚	y5	
蔡	tsʰɑi5	
蔫	iæ̃1	
蔬	suo1	
藹	ɑi5	
蔽	pi6	
蕉	tʃiɔ1	
蕊	luei3	
蕨	tɕyəʔ7	
蘊	yɛ̃5	
薄	puəʔ8	
薅	xɔ1	
薛	ʃyəʔ7	
薪	ʃiɛ̃1	
薯	ʃy6	
薰	ɕyɛ̃1	
薺	tʃʰi2	
藉	tʃiə6	
藉	tʃiəʔ8	
藏	tsʰɑŋ2	
藏	tsɑŋ6	
藐	miɔ3	
藕	ɣəu3	
藤	tʰəŋ2	
藩	fæ̃1	
藻	tsɔ3	
藿	xuəʔ7	
蘸	tsæ̃5	
虎	xu3	
虜	luo3	
虐	nyəʔ8	
慮	ly6	
虔	tɕʰiæ̃2	
虚	ɕy1	
虞	y2	
虢	kuəʔ7	
蟲	tsʰuŋ2	
虱	səʔ7	
虹	xuŋ2	
虹	tɕiɑŋ5	
虻	məŋ2	
雖	suei1	
蝦	ɕiɑ1	
蝦	xɑ2	
蝕	səʔ8	
蟻	i3	
蚊	uɛ̃2	
蚌	pɑŋ6	
蚓	iɛ̃3	
蠶	tsʰæ̃2	
蚣	kuŋ1	
蚤	tsɔ3	
蜆	ɕiæ̃3	
蚯	tɕʰiəu1	
蚶	xæ̃1	
蛀	tʃy5	
蛆	tʃʰy1	
蛇	ʃiə2	
蛋	tæ̃5	
蟶	tʃʰiŋ1	
蛙	uɑ1	
蛛	tʃy1	
蛤	kəʔ7	
蠻	mæ̃2	
蟄	tsəʔ7	
蟄	tʃiəʔ7	
螄	sɿ1	
蛾	ɣə2	
蜀	suəʔ8	
蜂	fəŋ1	
蜇	tʃiəʔ7	
蜈	u2	
蜊	li6	
蜓	tʰiŋ2	
蜕	tʰuei5	
蝸	uo1	
蜘	tʃi1	
蜜	miəʔ8	
蠟	lʌʔ8	
蜻	tʃiŋ1	
蠅	iŋ2	
蟬	tʃʰiæ̃2	
蝌	kʰuo1	
蠍	ɕiəʔ7	
蝗	xuɑŋ2	
蝙	piæ̃1	
蝠	fuəʔ7	
蝴	xu2	
蝶	tiəʔ8	
螂	lɑŋ2	
螃	pʰɑŋ2	
融	yŋ2	
螟	niŋ2	
螳	tʰɑŋ2	
螺	luo2	
蟀	suɑi5	
蟆	mɑ2	
蟋	ɕiəʔ7	
蟒	mɑŋ3	
蟥	xuɑŋ2	
蟹	ɕiə6	
蟾	tʃʰiæ̃1	
蠓	məŋ3	
蠢	tʃʰyɛ̃3	
血	ɕyəʔ7	
衅	ɕiɛ̃5	
行	xɑŋ2	
行	ɕiŋ2	
行	ɕiŋ6	
衍	iæ̃3	
銜	ɕiæ̃2	
街	tɕiə1	
衙	iɑ2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔ3	
衫	sæ̃1	
襯	tsʰɛ̃5	
衰	suɑi1	
衷	tsuŋ1	
袁	yæ̃2	
襖	ɔ3	
袋	tɑi6	
袍	pʰɔ2	
袖	ʃiəu5	
袜	uʌʔ8	
被	pi6	~子
被	pei6	介词
襲	ʃiəʔ8	
袴	kʰuɑ3	
裁	tsʰɑi2	
裂	liəʔ8	
裝	tsuɑŋ1	
襠	tɑŋ1	
裕	y6	
裙	tɕʰyɛ̃2	
褲	kʰu5	
襇	tɕiæ̃3	
裳	tʃʰiɑŋ2	
裴	pʰei2	
裸	luo3	
裹	li3	
裹	kuo3	
褒	pɔ1	
褚	tʃʰy3	
褥	yəʔ8	
褪	tʰuɛ̃5	
褯	tʃiə6	
褶	tʃiəʔ7	
襄	ʃiɑŋ1	
襟	tɕiɛ̃1	
襻	pʰæ̃5	
西	ʃi1	
要	iɔ1	
要	iɔ5	
覆	fuəʔ7	
覈	xuəʔ7	
見	tɕiæ̃5	
觀	kuæ̃1	
觀	kuæ̃5	
規	kuei1	
覓	miəʔ8	
視	sɿ6	
覽	læ̃3	
覺	tɕiɔ5	
覺	tɕyəʔ7	
角	tɕyəʔ7	
解	tɕiə3	
解	ɕiə6	
觸	tsʰuəʔ7	
言	iæ̃2	
譽	y6	
誌	tsɿ5	
誓	ʃi6	
謄	tʰəŋ2	
警	tɕiŋ3	
譬	pʰi5	
計	tɕi5	
訂	tiŋ5	
訃	fu5	
認	iɛ̃6	
譏	tɕi1	
討	tʰɔ3	
讓	iɑŋ6	
訖	tɕʰiəʔ7	
訓	ɕyɛ̃5	
議	i6	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei5	
謳	ɣəu1	
許	ɕy3	
訛	ɣə2	
論	luɛ̃2	
論	luɛ̃6	
訟	suŋ6	
諷	fəŋ3	
設	ʃiəʔ7	
訪	fɑŋ3	
訣	tɕyəʔ7	
證	tʃiŋ5	
評	pʰiŋ2	
識	ʃiəʔ7	
詐	tsɑ5	
訴	su5	
診	tʃiɛ̃3	
詞	tsʰɿ2	
詔	tʃiɔ5	
譯	i6	
試	sɿ5	
詩	sɿ3	
誠	tʃʰiŋ2	
誅	tʃy1	
話	xuɑ6	
誕	tæ̃6	
詭	kuei3	
該	kɑi1	
詳	ʃiɑŋ2	
誣	u1	
語	y3	
誤	u6	
誘	iəu5	
説	suei5	
説	ʃyəʔ7	
誦	suŋ6	
請	tʃʰiŋ3	
諸	tʃy1	
諾	nuəʔ8	
讀	tuəʔ8	
課	kʰuo5	
誰	sei2	
誰	suei2	
調	tʰiɔ2	
調	tiɔ6	
諒	liɑŋ6	
談	tʰæ̃2	
誼	i6	
謀	mu2	
諜	tiəʔ8	
謊	xuɑŋ3	
諫	tɕiæ̃5	
諧	ɕiə2	
謔	ɕyəʔ7	
謂	uei6	
讒	tsʰæ̃2	
諺	iæ̃6	
謎	mi2	
謎	mi6	
謝	ʃiə6	
謡	iɔ2	
謗	pɑŋ5	
謙	tɕʰiæ̃1	
謹	tɕiɛ̃3	
謬	niəu6	
譚	tʰæ̃2	
譜	pʰu3	
讞	iæ̃6	
谷	kuəʔ7	
豁	xuəʔ7	
豆	təu6	
豇	tɕiɑŋ1	
豉	tsʰɿ6	
豌	uæ̃1	
豕	sɿ3	
豚	tʰuɛ̃2	
象	ʃiɑŋ5	
豪	xɔ2	
豫	y6	
豹	pɔ5	
豺	tsʰɑi2	
貂	tiɔ1	
貌	mɔ6	
貝	pei5	
貞	tʃiŋ1	
負	fu6	
貢	kuŋ5	
財	tsʰɑi2	
責	tsəʔ7	
賢	ɕiæ̃2	
敗	pɑi6	
賬	tʃiɑŋ5	
貨	xuo5	
質	tʃiəʔ7	
質	tsəʔ8	
販	fæ̃5	
貪	tʰæ̃1	
貧	tʃʰiɛ̃1	
貧	pʰiɛ̃2	
貶	piæ̃3	
購	kəu5	
貫	kuæ̃5	
貳	l̩5	
賤	tʃiæ̃6	
貼	tʰiəʔ7	
貴	kuei5	
貸	tɑi5	
貿	mɔ6	
費	fei5	
賀	xə6	
賊	tsei1	
賊	tsəʔ8	
賈	tɕiɑ3	
賄	xuei5	
賃	liɛ̃6	
賂	luəʔ8	
贓	tsɑŋ1	
資	tsɿ1	
賒	ʃiə1	
賦	fu5	
賭	tu3	
贖	suəʔ8	
賞	ʃiɑŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lɑi6	
贅	tsuei5	
賺	tsuæ̃6	
賽	sɑi5	
贊	tsæ̃5	
贈	tsəŋ6	
贏	iŋ2	
赤	tʃʰiəʔ7	
赦	ʃiə5	
走	tsəu3	
赴	fu5	
趙	tʃiɔ6	
趕	kæ̃3	
起	tɕʰi3	
趁	tʃʰiɛ̃5	
超	tʃʰiɔ1	
越	yəʔ8	
趨	tʃʰy1	
趟	tʰɑŋ5	
趣	tɕʰy5	
足	tʃyəʔ7	
趴	pʰɑ1	
趼	tɕiæ̃3	
趾	tsɿ3	
躍	yəʔ8	
跌	tiəʔ7	
跌	tiəʔ8	
跑	pʰɔ2	
跑	pʰɔ6	
跛	puo3	
距	tɕy6	
跟	kɛ̃1	
跨	kʰuɑ5	
跪	kʰuei6	
路	lu6	
跳	tʰiɔ5	
踐	tʃiæ̃6	
踊	yŋ3	
踏	tʰʌʔ7	
踟	tʃʰi2	
踢	tʰiəʔ7	
蹤	tsuŋ1	
踱	tuəʔ8	
蹄	tʰi2	
躡	niəʔ8	
蹭	tsʰəŋ5	
蹲	tuɛ̃1	
躁	tsɔ5	
躐	lʌʔ8	
身	ʃiɛ̃1	
躬	kuŋ1	
躱	tuo3	
躺	tʰɑŋ3	
車	tɕy1	
車	tʃʰiə1	
軋	iʌʔ7	
軌	kuei3	
軒	ʃyæ̃1	
轉	tʃyæ̃3	~换
轉	tʃyæ̃5	~圈
軛	ɣəʔ7	
輪	luɛ̃2	
軟	yæ̃3	
轟	xuŋ1	
軸	tʃyəʔ8	
輕	tɕʰiŋ1	
載	tsɑi3	
載	tsɑi6	
轎	tɕiɔ6	
較	tɕiɔ5	
輔	fu3	
輛	liɑŋ6	
輦	niæ̃3	
輩	pei5	
輝	xuei1	
輞	uɑŋ3	
輜	tsɿ1	
輻	fuəʔ7	
輯	tʃiəʔ8	
輸	ʃy1	
轡	pʰei5	
轅	yæ̃2	
轄	ɕiʌʔ8	
轍	tʃiəʔ8	
辛	ʃiɛ̃1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰiəʔ7	
辟	pʰiəʔ8	
辣	lʌʔ7	
辨	piæ̃6	
辯	piæ̃6	
辮	piæ̃6	
辰	tʃʰiɛ̃5	
辱	yəʔ8	
邊	piæ̃1	
遼	liɔ2	
達	tʌʔ8	
遷	tʃʰiæ̃1	
迂	y1	
迅	ʃyɛ̃5	
過	kuo1	
過	kuo5	
邁	mɑi2	
迎	iŋ2	
運	yɛ̃6	
近	tɕiɛ̃5	
返	fæ̃3	
還	xɑi2	
還	xuæ̃2	~钱
進	tʃiɛ̃5	
遠	yæ̃3	
違	uei2	
連	lyæ̃2	
遲	tʃʰi2	
迥	tɕyŋ3	
迫	pʰiəʔ7	
述	ʃyəʔ8	
迷	mi2	
迸	pəŋ5	
迹	tʃiəʔ7	
追	tsuei1	
退	tʰuei5	
送	suŋ5	
適	ʃiəʔ7	
逃	tʰɔ2	
逆	niəʔ8	
選	ʃyæ̃3	
遜	ʃyɛ̃5	
逍	ɕiɔ1	
透	tʰəu5	
逐	tʃyəʔ8	
遞	ti6	
途	tʰu2	
逗	təu6	
通	tʰəŋ1	
通	tʰuŋ1	
逛	kuɑŋ5	
逝	ʃi6	
逞	tʃʰiŋ3	
速	suəʔ7	
造	tsɔ6	
逢	fəŋ2	
逮	tɑi3	
逮	tɑi6	
逵	kʰuei2	
逸	i6	
逸	iəʔ8	
逼	piəʔ7	
逾	y2	
遁	tuɛ̃5	
遂	suei6	
遇	y6	
遍	piæ̃5	
遏	ɣəʔ7	
遐	ɕiɑ2	
道	tɔ6	
遺	uei5	
遢	tʰʌʔ7	
遣	tɕʰiæ̃3	
遥	iɔ2	
遭	tsɔ1	
遮	tʃiə1	
遵	tʃyɛ̃1	
避	pi6	
邀	iɔ1	
邋	lʌʔ7	
鄧	təŋ6	
那	nɑ6	
邦	pɑŋ1	
邪	ʃiə2	
郵	iəu2	
邵	ʃiɔ6	
鄒	tsəu1	
鄰	liɛ̃2	
郁	y5	
郁	y6	
郊	tɕiɔ1	
郎	lɑŋ2	
鄭	tʃiŋ6	
郝	xəʔ7	
郡	tɕyɛ̃5	
部	pu6	
郭	kuəʔ7	
都	təu1	副词
都	tu1	首~
鄂	ɣəʔ7	
鄙	pi3	
酉	iəu3	
酌	tɕyəʔ7	
配	pʰei5	
酒	tʃiəu3	
醞	yɛ̃5	
酣	xæ̃1	
酥	su1	
酪	luəʔ8	
酬	tʃʰiəu2	
醬	tʃiɑŋ5	
酵	tɕiɔ5	
酷	kʰuəʔ7	
酸	suæ̃1	
釀	niɑŋ6	
醇	tʃʰyɛ̃2	
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醜	tʃʰiəu3	
醮	tʃiɔ5	
采	tsʰɑi3	
釉	iəu6	
釋	ʃiəʔ7	
里	li3	
重	tsʰuŋ2	
重	tsuŋ6	
野	iə3	
量	liɑŋ6	数~
量	liɑŋ2	测~
金	tɕiɛ̃1	
釜	fu3	
鑑	tɕiæ̃5	
銨	~ɣæ̃1	
鑾	luæ̃2	
鍊	lyæ̃6	
鏨	tsæ̃6	
鎢	u1	
鏊	ɔ6	
針	tʃiɛ̃1	
釘	tiŋ5	动词
釘	tiŋ1	名词
釣	tiɔ5	
釵	tsʰɑi1	
鈍	tuɛ̃5	
鈔	tsʰɔ1	
钟	tsuŋ1	
鋼	kɑŋ1	
鋼	kɑŋ5	
鑰	yəʔ8	
鑰	sɿ2	匙~
欽	tɕʰiɛ̃1	
欽	tʃʰiɛ̃1	
鈞	tɕyɛ̃1	
鉤	kəu1	
鈕	niəu3	
錢	tʃʰiæ̃2	
鉗	tɕʰiæ̃2	
鉢	puəʔ7	
鈸	pʌʔ8	
鑽	tsuæ̃1	
鑽	tsuæ̃5	
鐵	tʰiəʔ7	
鈴	liŋ2	
鉛	tɕʰiæ̃1	
鐸	tuəʔ8	
鐃	nɔ2	
鐺	tɑŋ1	
鐺	tsʰəŋ1	
銅	tʰuŋ2	
鍘	tsʌʔ7	
鋌	tʰiŋ3	
鏵	xuɑ2	
銘	niŋ2	
鉸	tɕiɔ3	
鏟	tsʰæ̃3	
銃	tsʰuŋ5	
銀	iɛ̃2	
鑄	tʃy5	
鋪	pʰu1	~床
鋪	pʰu5	店~
銷	ʃiɔ1	
鎖	suo3	
鋥	tsəŋ6	
鋤	tsʰuo2	
鍋	kuo1	
鏽	ʃiəu5	
銼	tsʰuo5	
鋒	fəŋ1	
鐧	tɕiæ̃5	
銳	tsuei5	
錯	tsʰuo5	
錯	tsʰuəʔ7	
錨	mɔ2	
錛	pɛ̃1	
錫	ʃiəʔ7	
錮	ku5	
鑼	luo2	
錘	tsʰuei2	
錐	tsuei1	
錦	tɕiɛ̃3	
錠	tiŋ5	
鍵	tɕiæ̃6	
鋸	tɕy5	
鍬	tʃʰiɔ1	
鍾	tsuŋ1	
鍛	tuæ̃5	
鍍	tu6	
鎮	tʃiɛ̃1	
鑷	niəʔ8	
鎔	yŋ2	
鏡	tɕiŋ5	
鏇	ʃyæ̃6	
鐐	liɔ6	
