#漢字	音標	解釋
□	ɦiɔ2	折疊衣裳
羹	kəŋ1	
羽	ɦy2	
翁	əŋ1	
翅	tsɿ1	
翎	liŋ2	
習	ʑieʔ8	
翠	tsʰəi5	
翠	tsʰɛ5	
翡	fi1	
翰	ɦã6	
翻	fã1	
翼	ɦieʔ8	
耀	ɦiɔ2	
老	lɔ2	
考	kʰɔ3	
者	tɕia5	
而	ɦl̩2	
耐	nɛ2	
耕	kɛ1	
耗	hɔ5	
耙	buɔ2	
耳	ɦl̩2	
耳	ɦn̩2	
耶	ie1	
耽	tã1	
耿	kəŋ5	
聊	liɔ2	
聖	ɕiŋ5	
聘	pʰiŋ3	
聚	zʮ6	
聞	vʌŋ2	
聯	lie2	
聰	tsʰəŋ3	
聲	ɕiŋ1	
聶	dʑieʔ8	
職	tɕyøʔ7	
聽	tʰiŋ1	
聾	ləŋ2	
肄	ɦi2	
肅	səʔ7	
肆	sɿ5	
肉	dʑyøʔ8	
肉	ȵyøʔ8	又讀
肋	ləʔ8	
肌	tsɿ1	
肘	tɕiu1	
肚	du2	
肚	tu3	
肝	kã1	~炎
肝	kuɛ1	白讀
股	kuɤ3	
股	ku5	
肢	tsɿ1	
肥	bi2	~皂
肥	vi2	~肉
肩	tɕie1	
肪	fɔ̃3	
肫	ioŋ1	
肮	ɔ̃1	
肯	kʰəŋ3	~幹;弗~
肯	kʰɛ5	~定
育	yøʔ7	
肺	fi5	
胃	ɦuəi6	
背	pəi5	
背	bəi6	
胎	tʰəi1	
胖	pʰɔ̃5	訓讀字,本字爲"肨"
胚	pʰəi5	
胛	kaʔ7	
胞	pɔ1	
胡	ɦou2	
胡	ɦuɤ2	
胳	kəʔ7	
胸	ɕioŋ1	
能	nəŋ2	
脂	tsɿ5	
脅	ɕieʔ7	
脆	tsʰəi5	
脉	maʔ8	
脊	tɕieʔ7	
脱	tʰəʔ7	
脯	pʰu1	
脯	pʰu3	
脹	tɕiã5	
脾	bi2	
腆	tie3	
腋	ɦieʔ8	
腎	ʑie2	
腐	fu5	
腑	fu5	
腔	tɕʰiã1	
腕	uã3	
腡	lou2	
腥	ɕiŋ1	
腦	nɔ2	~爿殼
腦	nɔ5	單用
腫	tɕioŋ3	
腫	ioŋ3	
腮	sɛ1	
腰	iɔ1	
脚	tɕiaʔ7	
腸	tɛ1	
腹	pəʔ7	
腿	tʰəi3	
膏	kɔ1	
膘	piɔ1	
膚	fu1	
膜	mou2	
膝	tɕʰieʔ7	
膠	kɔ1	
膠	tɕiɔ1	
膨	bəŋ2	
膩	ie5	
膳	ʑyɛ2	
膽	tã3	
膿	nəŋ2	
臂	pi5	
臉	lie2	
臊	sɔ1	
臍	zɿə2	
臘	laʔ8	
臣	dʑiŋ2	
臨	liŋ2	
自	dzɿ2	
自	ʑie6	
臭	tɕʰiu5	
至	tsɿ5	
致	tsɿ5	
臺	dəi2	
臻	dʑiŋ2	
臼	ɡɤu2	
舀	ɦiɔ2	
舂	ioŋ1	
舅	ɡɤu2	
與	ɦy2	
興	ɕiŋ5	
舉	tsʮ5	
舊	ɡɤu6	~衣裳;新~
舊	dʑiu6	~社會
舌	dʑyøʔ8	
舍	ɕyø5	
舒	sʮ1	
舔	tʰie3	
舜	ɕyʌŋ5	
舞	fu5	
舟	tɕiu1	
航	ɦɔ̃2	
般	pɛ1	
舵	dou2	
船	ʑyɛ2	
船	ʑiɛ2	又讀
艇	tʰiŋ3	
艦	tɕie5	
良	liã2	
艱	tɕie1	
色	səʔ7	
艷	ɦie2	
艾	ɛ5	
艾	ŋa6	
芋	ɦy2	
芋	ɦyø2	
芋	ɦyø6	
芍	ʑiaʔ8	
芒	mɔ̃2	
芙	vu2	
芝	tsɿ1	
芥	ka5	
芥	tɕiɛ5	
芬	fɛ1	
芭	pɑ1	
花	huɔ1	
芳	fɔ̃1	
芹	dʑiŋ2	
芽	ɦiɑ2	
芽	ŋuɔ2	
苔	tʰəi1	
苗	miɔ2	
苟	kɤu3	
若	ʑiaʔ8	
苦	kʰu3	
苦	kʰuɤ3	
苧	dieʔ8	
英	iŋ1	
茂	mɔ5	
茄	dʑiɑ2	
茄	kɑ5	番~
茅	mɔ2	
茫	mɔ̃2	
兹	tsɿ5	
茴	uəi1	
茶	dzɑ2	
茶	dzuɔ2	
茸	ɦioŋ2	
荀	ɕyʌŋ1	
草	tsʰu3	
草	tsʰɔ3	
荆	tɕiŋ1	
荒	huɔ̃1	
荷	ɦu2	
荷	ɦou2	
荷	hu5	
莊	tsɔ̃1	
莖	tɕiŋ3	
莧	hã5	
莫	mou2	
莽	mɔ̃5	
菊	tɕyøʔ7	
菌	tɕiŋ5	
菖	tɕʰiã1	
菜	tsʰəi5	
菠	pu1	
菩	bu2	
華	huɔ2	
華	ɦuɔ2	
菱	liŋ2	
萄	dɔ2	
萌	miŋ2	
萍	biŋ2	
萎	uəi3	
萬	mã6	
落	ləʔ8	
葉	ɦieʔ8	
著	tsʮ5	
著	təʔ7	
著	dʑiaʔ8	
著	dʑyøʔ8	
葛	kəʔ7	
董	təŋ5	
葦	ɦuəi2	
葫	ɦuɤ2	
葬	tsɔ̃5	
葵	ɡuəi2	
葷	huɛ1	
葷	huʌŋ1	
蒙	məŋ2	
蒲	bu2	
蒸	tɕiŋ1	
蒸	tɕioŋ1	
蒼	tsʰɔ̃1	
蓄	ɕyøʔ7	
蓉	ɦioŋ2	
蓋	kəi5	
蓋	kɛ5	
蓑	sou1	
蓖	bi2	
蓬	bəŋ2	
蓮	lie2	
蔓	mã6	
蔔	bəʔ8	
蔗	tɕyø5	
蔡	tsʰa5	
蔣	tɕiã1	
葱	tsʰəŋ3	
蔫	ie1	
蔫	ie5	
蔬	sou1	
蔭	iŋ1	
蔸	tɤu1	常記爲"株"
蔽	bi6	
蕉	tɕiɔ1	
蕎	dʑiɔ2	
蕩	dɔ̃6	
蕭	ɕiɔ1	
薄	bu6	
薄	bəʔ8	
薑	tɕiã1	
薛	ɕieʔ7	
薦	tɕie3	
薩	saʔ7	
薪	ɕiŋ1	
薯	sʮ5	
薰	ɕyʌŋ1	
薺	dzɿ2	
藉	ʑieʔ8	
藍	lã2	
藏	dzɔ̃2	
藏	dzɔ̃6	
藐	miɔ5	
藕	ŋɤu2	
藝	ȵi2	
藝	ɦn̩6	又讀
藤	diŋ2	
藥	ɦiaʔ8	
藹	əʔ7	
藿	həʔ7	
蘆	lu2	
蘆	lou2	
蘇	sou1	
蘭	lã2	
蘸	tsã5	
虎	hu3	
虎	huɤ3	
虐	dʑiaʔ8	
虔	dʑie2	
處	tsʰʮ5	
虚	sʮ1	
虜	lu2	
虞	ɦy2	
號	ɦɔ6	
虧	kʰuəi1	
虹	ɦəŋ2	
虻	mɔ̃2	
蚊	məŋ2	
蚣	kəŋ1	
蚤	tsɔ3	
蛀	tsʮ5	
蛀	tɕyø5	
蛆	tsʰɿ1	
蛇	ʑyø2	
蛋	dã6	
蛙	uɑ1	
蛛	tsʮ1	
蛤	kəʔ7	
蜕	tʰəi5	
蛾	ŋou2	
蜀	dʑyøʔ8	
蜂	fəŋ1	
蜇	tɕyøʔ7	
蜈	ŋu2	
蜓	diŋ2	
蜘	tsʮ1	
蜜	mieʔ8	
蜻	tɕʰiŋ1	
蝕	ʑyøʔ8	
蝗	ɦuɔ̃2	
蝙	pie1	
蝠	fəʔ7	
蝦	ɕiɑ1	
蝦	huɔ1	
蝦	ɡuɔ2	
虱	ɕiaʔ7	
蝶	dieʔ8	
蝸	ku1	
螂	lɔ̃2	
螃	bɔ̃2	
融	ɦioŋ2	
螢	ɦiɛ2	
螢	ɦiŋ2	
螳	dɔ̃2	
螺	lou1	
螺	lou2	田~
蟄	dʑyøʔ8	
蟆	muɔ2	
蟒	mɔ̃5	
蟢	sɿ3	
蟬	ʑyɛ2	
蟲	dəŋ2	
蟲	dʑioŋ2	
蟹	ha3	
蟹	hɛ3	
蟻	ŋa2	
蟻	ȵi2	
蠅	iŋ1	
蠅	ɕiŋ1	又讀
蠍	ɕieʔ7	
蠟	laʔ8	
蠢	tɕʰioŋ5	
蠶	zɛ2	
蠻	mã2	
血	ɕyøʔ7	
衆	tɕioŋ5	
行	ɡɛ2	
行	ʑiŋ2	
行	ɦɔ̃2	
術	ʑiaʔ8	
街	ka1	
衙	ɦiɑ2	
衙	ŋuɔ2	
衛	ɦuəi2	
衛	ɦuəi6	
衡	ɦəŋ2	
衣	i1	
表	piɔ3	
衫	sã1	
衰	sɛ1	
袁	ɦyɛ2	
袋	dəi6	
袍	bɔ2	
袖	dʑiu2	
袖	ʑiu6	
被	bi2	
被	bi6	
裁	zəi2	
裂	lieʔ8	
裌	kaʔ7	
裕	ɦy2	
裕	ɦy6	
裙	dʑyʌŋ2	
裙	dʑioŋ2	又讀
補	pu3	
裝	tɕiɔ̃1	
裳	ʑiã2	
裴	bəi2	
製	tsʮ5	
褒	pɔ1	
褪	tʰʌŋ5	
褲	kʰu5	
褲	kʰuɤ5	
褶	tsəʔ7	
襄	ɕiã1	
襇	kã3	
襖	ɔ3	
襟	tɕiŋ1	
襪	maʔ8	
襯	tɕʰiŋ5	
襲	ʑieʔ8	
西	sɿ1	
要	iɔ1	
要	iɔ3	
要	iɔ5	
覆	fəʔ7	
見	tɕie5	
見	ie5	
規	kuəi1	
視	sɿ5	
親	tɕʰiŋ1	
覺	tɕyøʔ7	
覽	lã5	
觀	kuã1	
角	kəʔ7	
解	tɕiɛ3	
解	kuɔ3	
觸	tɕʰyøʔ7	
言	ɦie2	
訂	tiŋ5	
訃	fu5	
計	tsɿ5	
訊	ɕiŋ5	
討	tʰu3	
訓	ʑyʌŋ2	
訓	ɕioŋ5	
訓	ɕyʌŋ5	
記	tsɿ5	
訟	səŋ5	
訣	tɕyøʔ7	
訪	fɔ̃3	
設	ɕyøʔ7	
許	hu3	~願
許	sʮ3	姓~
訴	sou5	
診	tɕiŋ1	
詐	tsɑ5	
詔	tɕiɔ5	
評	biŋ2	
詞	zɿ2	
詠	ioŋ3	
試	sɿ5	
試	sʮ5	
詩	sɿ1	
詭	kuəi3	
話	ɦuɔ6	
該	kəi1	
該	kɛ1	
詳	dʑiã2	
誅	tsʮ1	
誇	kʰuɑ1	
認	dʑiŋ2	
認	ɕioŋ5	
認	ɦn̩6	又讀
誓	sʮ5	
誕	tã5	
語	ȵy5	
誠	dʑiŋ2	
誣	u1	
誤	ŋou2	
誦	səŋ5	
誰	zəi2	
課	kʰu5	
誼	ȵi2	
調	diɔ6	
談	dã2	
請	tɕʰiŋ3	
諒	liã2	
論	lɛ6	
論	ləŋ6	
諜	dieʔ8	
諧	tɕia1	
諧	ʑie2	
諫	tɕie3	
諱	ɦuəi2	
諷	fəŋ1	
諸	tsʮ5	
諺	ɦie2	
諾	nəʔ8	
謀	məi2	
謂	ɦuəi2	
謄	dəŋ2	
謊	huɔ̃1	
謎	mi2	
謗	pɔ̃5	
謙	tɕʰie1	
講	kɔ̃3	
講	tɕiã3	
謝	ʑie6	
謡	ɦiɔ2	
謬	miɔ2	
謹	dʑiŋ2	
證	tɕiŋ5	
識	ɕyøʔ7	
譚	dɛ2	
譜	pu3	
譜	pʰu3	
譜	pʰu5	
警	tɕiŋ5	
譬	pʰi5	
議	ȵi2	
護	ɦu6	
譽	sʮ1	
讀	dəʔ8	
變	pie5	
讒	dzã2	
讓	dʑiɔ̃6	
讓	ȵiɔ̃6	
豁	huəʔ7	
豆	dɤu6	
豇	kɔ̃1	
豈	tsʰɿ5	
豉	ʑyø6	
豌	uã3	
豎	ʑyø2	
豐	fəŋ1	
豚	təŋ5	
象	ʑiã2	
豪	ɦɔ2	
豫	ɦy2	
豬	tsʮ1	
豬	tuɔ1	
豹	pɔ5	
豺	dza2	
貂	tiɔ1	
貌	mɔ6	
猫	mɔ2	
猫	mɔ3	
貝	pəi5	
貞	tɕiŋ1	
負	vəi2	
財	dza2	
貢	kəŋ5	
貧	biŋ2	
貨	huɤ5	
販	fã5	
貪	tʰɛ1	
貫	kuã5	
責	tsəʔ7	
貴	tsʮ5	價格~
貴	kuəi5	富~
貶	pie1	
買	mo2	
貸	dɛ2	
費	fi5	
貼	tʰieʔ7	
貿	mɔ2	
貿	mou6	
賀	ɦu6	
賂	lu5	
賄	huəi5	
資	tsɿ1	
賈	tɕiɑ3	
賊	dzəʔ8	
賊	zəʔ8	
賒	ɕyø1	
賓	piŋ1	
賜	sɿ3	
賞	ɕiã3	
賠	bəi2	
賢	ʑie2	
賣	mo6	
賤	tɕie5	
賦	fu5	
質	tɕyøʔ7	
賬	tɕiã5	
賭	tu3	
賴	la6	
賺	dzã2	
購	kɤu5	
賽	sa5	
贅	tsɛ5	
贈	tsəŋ1	
贊	tsã5	
贏	ɦiŋ2	
贓	tsɔ̃5	
贖	dʑyøʔ8	
赤	tɕʰyøʔ7	
赫	həʔ7	
走	tsɤu3	
赴	fu5	
起	tsʰɿ3	
趁	tɕʰiŋ5	
超	tɕʰiɔ1	
越	ɦyøʔ8	
趕	kuɛ3	
趕	kã3	
趙	dzɔ2	
趟	tʰɔ̃5	
趣	tsʰʮ5	
趨	tsʰʮ1	
足	tsəʔ7	
趾	tsɿ3	
跌	tieʔ7	
跑	bɔ2	
距	dzʮ6	
跟	kʌŋ1	
跡	tɕieʔ7	
跨	kʰuɑ1	
跨	kʰuɔ1	
跪	ɡuəi2	
跪	tsʰʮ3	
路	lu6	
路	lou6	
跳	tʰiɔ5	
踏	daʔ8	
踐	dʑie6	
踢	tʰieʔ7	
踱	dəʔ8	
蹄	di2	
蹤	tsəŋ1	
蹭	tsʰəŋ5	
蹲	tʌŋ1	
躁	tsɔ5	
躍	ɦiɔ2	
身	ɕiŋ1	
身	ɕioŋ1	又讀
躬	kəŋ1	
躱	tou3	
躺	tʰɔ̃3	
車	tsʮ1	
車	tɕʰyø1	
軋	ɡaʔ8	
軌	ɡuəi2	
軍	tɕiŋ1	新派讀音
軍	tɕioŋ1	老派讀音
軒	ɕyɛ1	
軛	aʔ7	
軟	dʑyɛ2	
軟	dʑyɛ5	
軟	ȵiɛ2	又讀
軸	dʑyøʔ8	
較	tɕiɔ5	
載	dza2	
載	tsɛ5	
輔	pʰu3	
輕	tɕʰiŋ1	
輛	liã2	
輝	huəi1	
輩	pəi5	
輪	lʌŋ2	
輯	tɕʰieʔ7	
輸	ɕyø1	~贏
輸	sʮ1	運~
轄	ʑiaʔ8	
轅	ɦyɛ2	
轉	tɕyɛ3	
轉	tɕiɛ3	~學堂,又讀
轍	tɕʰyøʔ7	
轎	dʑiɔ6	
轟	həŋ1	
辛	ɕiŋ1	
辟	pʰieʔ7	
辣	laʔ8	
辦	bã6	
辨	bie2	
辭	zɿ2	
辮	bie2	
辯	bie2	
辰	ʑiŋ2	
辰	ɕioŋ5	時~(連調音)
農	nəŋ2	
迂	ɦy2	
迅	ɕiŋ5	
迎	dʑiŋ2	
近	dʑiŋ6	~視眼
近	ɡɛ2	遠~
迫	pʰəʔ7	
述	ʑiaʔ8	
迷	mi2	
迸	piŋ1	
追	tsəi1	
退	tʰəi5	
送	səŋ5	
逃	dɔ2	
逆	dʑieʔ8	
透	tʰɤu5	
逐	dʑyøʔ8	
途	dou2	
逗	dɤu6	
通	tʰəŋ1	
逛	ɡuɔ̃2	
逝	sʮ5	
逞	dʑiŋ2	
速	səʔ7	
造	zɔ2	
逢	vəŋ2	
連	lie2	
進	tɕiŋ5	
逵	ɡuəi2	
逸	ɦieʔ8	
逼	pieʔ7	
逾	ɦy2	
遂	zəi2	
遇	ȵy2	
遇	ɦy6	
遊	ɦiu2	
運	ɦyʌŋ6	
運	ɦiŋ6	又讀,~輸
運	ʑioŋ6	又讀,~氣
遍	pie5	
過	ku5	
過	kuɤ5	
道	dɔ2	
達	daʔ8	
違	ɦuəi2	
遜	sʌŋ1	
遞	di6	
遞	die6	
遠	ɦyɛ2	
遠	yɛ5	
遠	ɦiɛ2	又讀
遣	tɕʰie1	
遭	tsɔ1	
遮	tɕyø1	
遲	dzʮ2	
遲	dʑyø2	
遵	tsʌŋ1	
遷	tɕʰie1	
選	ɕyɛ3	
選	ɕiɛ3	又讀
遺	ɦi2	
遼	liɔ2	
避	bi6	
邀	iɔ1	
邁	mã6	
還	ɦuã2	
還	ɦuaʔ8	
邊	pie1	
那	nɑ5	
邦	pɔ̃1	
邪	ʑie2	
邵	ʑiɔ2	
郊	tɕiɔ1	
郎	lɔ̃2	
郝	hɔ5	
郡	tɕyʌŋ1	
部	bu2	
郭	kuəʔ7	文讀
郭	kəʔ7	白讀
郵	iu1	
都	tou1	
鄂	ŋəʔ8	
鄉	ɕiã1	
鄙	pi5	
鄧	təŋ5	
鄭	dʑiŋ2	
鄰	liŋ2	
配	pʰəi5	
酒	tɕiu3	
酥	su1	
酥	sou1	
酪	ləʔ8	
酬	dʑiu2	
酵	ɕiɔ5	
酷	kʰəʔ7	
酸	sɛ1	
醉	tsəi5	
醉	tɕyø5	
醋	tsʰu5	
醋	tsʰou5	
醒	ɕiŋ3	
醜	tɕʰiu5	
醫	i1	
醬	tɕiã5	
釀	dʑiã6	
釁	ɕiŋ5	
采	tsʰəi1	
釋	ɕyøʔ7	
里	li2	
重	dʑioŋ2	
野	ɦiɑ2	
野	iɑ5	
野	ɦiaʔ8	
量	liã2	
金	tɕiŋ1	
釘	tiŋ1	
釘	tiŋ5	
釜	vu2	
針	tɕiŋ1	
針	tɕioŋ1	又讀
釣	tiɔ5	
釵	tsʰo1	
釵	tsʰɑ1	
鈀	bɑ2	
鈔	tsʰɔ1	
鈞	tɕyʌŋ1	
鈴	liŋ2	
鈸	bəʔ8	
鉗	dʑie2	
鉛	kʰã1	
鉤	kɤu1	
鉸	tɕiɔ3	
銀	dʑiŋ2	
銀	ɦn̩2	又讀
銃	tɕʰioŋ5	
銅	dəŋ2	
銘	miŋ2	
銜	ŋã2	
銷	ɕiɔ1	
銼	tsʰou5	
鋒	fəŋ1	
鋤	zuɔ2	~頭
鋪	pʰu1	
鋪	pʰu5	
鋭	səi5	
鋸	ku5	
鋸	tsʮ5	
鋼	kɔ̃1	
錐	tsəi1	
錘	zəi2	
錘	dzʮ6	
錠	diŋ2	
錢	die2	
錢	dʑie2	
錦	tɕiŋ3	
錨	mɔ2	
錫	ɕieʔ7	
錯	tsʰou5	
錄	ləʔ8	
鍋	ku1	
鍍	dou2	
鍘	zaʔ8	
鍛	dɛ2	
鍬	tɕʰiɔ1	
鍵	tɕie5	
鍾	tɕioŋ1	
鎖	sou1	
鎖	sou3	
鎮	tɕiŋ5	
鎮	tɕiŋ5	
鏇	ʑyɛ6	
鏟	tsʰã3	
鏡	tɕiŋ5	
鏵	ɦuɔ2	
鐘	tɕioŋ1	
鐧	tɕie1	
鐧	kã1	
鐮	lie2	
鐲	dʑyøʔ8	
鐵	tʰieʔ7	
鐸	dəʔ8	
鐾	bi6	
鑄	tsʮ5	
鑄	tɕyø5	
鑊	ɦuəʔ8	
鑒	tɕie1	
鑞	laʔ8	
鑷	dʑieʔ8	
鑼	lou2	
鑽	tsɛ1	
鑽	tsɛ5	
鑿	zəʔ8	
長	dʑiã2	
門	məŋ2	
閂	ɕyɛ1	
閂	ɕyɛ5	
閂	ɕiɛ1	又讀
閃	ɕiɛ5	
閉	pi5	
開	kʰəi1	
閏	ʑyʌŋ6	
閏	ɦn̩6	~月,又讀
閑	ʑie6	
間	tɕie1	
間	kã1	
閘	zaʔ8	
閣	kəʔ7	
閨	kuəi5	
閩	miŋ5	
閲	ɦyøʔ8	
閹	ie5	
閻	dʑie2	
闊	kʰuaʔ7	
闖	tɕʰiɔ̃3	
關	kəŋ1	
關	kuã1	
阮	ɦyɛ2	
防	vɔ̃2	
阻	tsou3	
阿	aʔ7	
附	fu5	
陋	lɤu6	
陌	məʔ8	
降	ʑiã2	
降	tɕiã5	
限	ʑie6	
陛	pi5	
陝	ɕiɛ3	
陡	tɤu3	
院	yɛ5	
院	ɦiɛ6	又讀
陣	dʑiŋ2	
除	dʑyø2	
除	dzʮ2	~法
除	die2	~衣裳
陪	bəi2	
陰	iŋ1	
陳	dʑiŋ2	
陵	liŋ2	
陶	dɔ2	
陷	ʑiɛ2	
陷	ŋã6	
陸	ləʔ8	
陽	ɦiã2	
隆	ləŋ2	
隊	dəi6	
階	tɕiɛ1	
隔	kaʔ7	
隘	ieʔ7	
際	tsɿ5	
障	tɕiã1	
隧	zəi2	
隨	zəi2	
險	ɕie3	
隱	iŋ3	
隴	ləŋ2	
隸	di6	
雀	tɕiaʔ7	
雀	tɕieʔ7	又讀,麻~
雀	tɕʰiaʔ7	孔~
雁	ie5	
雁	ŋã6	
雄	həŋ1	
雄	ʑioŋ2	
集	dʑieʔ8	
集	ʑieʔ8	
雇	ku5	
雇	kuɤ5	
雉	dʑyø2	
雌	tsʰɿə1	
雍	ioŋ5	
雕	tiɔ1	
雖	səi1	
雙	ɕiɔ̃1	
雜	dzəʔ8	
雞	ie1	
離	li6	
難	nã2	
雨	ɦyø2	
雪	ɕieʔ7	
雲	ɦyʌŋ2	
雲	ɦiŋ2	又讀
零	liŋ2	
雷	ləi2	
雷	ləi6	
雹	bɔ6	
雹	bəʔ8	
電	die6	
需	sʮ1	
霄	ɕiɔ1	
震	tɕiŋ5	
霍	həʔ7	
霜	ɕiɔ̃1	
霞	ɕiɑ1	
霧	mu6	
露	lu6	
露	lou6	
霸	pɑ5	
靈	liŋ2	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	dʑiŋ6	
非	fi1	
靠	kʰɔ5	
靡	mi1	
面	mie6	
靨	ieʔ7	
革	kəʔ7	
靪	tiŋ1	
鞋	ɦa2	
鞋	ɦɛ2	
鞍	ɛ1	
鞍	ã1	
鞏	kəŋ3	
鞘	tɕʰiɔ5	
鞭	pie1	
韁	tɕiã1	
韓	ɦã2	
韭	kɤu3	
韭	tɕiu3	
音	iŋ1	
韶	ʑiɔ2	
韻	ɦyʌŋ6	
響	ɕiã3	
頁	ɦieʔ8	
頂	tiŋ3	
頃	tɕʰiŋ5	
項	ʑiã2	
項	ʑiã6	
順	ʑioŋ6	
須	su1	
須	sʮ1	
頌	səŋ5	
預	ɦy2	
頑	ɦuã2	
頒	pã1	
頓	təŋ5	
領	liŋ2	
領	liŋ5	
頭	dɤu2	
頸	tɕiŋ3	
頻	biŋ2	
顆	kʰu1	
題	di2	
額	ŋaʔ8	
額	ŋəʔ8	
顔	ŋã2	
顔	dʑie2	
願	dʑyɛ2	
顛	tie1	
類	ləi6	
顧	ku5	
顯	ɕie3	
顯	ɕie5	
顴	dʑyɛ2	
風	fəŋ1	
颱	dəi2	
颼	ɕiu1	
飄	pʰiɔ1	
飛	fi1	
食	ɦieʔ8	~飯;訓讀字,本字不明
食	ʑyøʔ8	糧~
飩	dɛ2	
飯	vã6	
飲	iŋ5	
飴	ɦi2	
飼	zɿə6	
飽	pɔ3	
飾	ɕyøʔ7	
餃	tɕiɔ3	
餅	piŋ3	
餉	ɕiã1	
養	ɦiɔ̃2	
養	iã5	
餌	ɦl̩2	
餐	tsʰã1	
餑	bəʔ8	
餓	ŋou6	
餛	ɦuɛ2	
餞	tɕie5	
餡	ʑiɛ2	
館	kuã3	
餿	ɕiu1	
餿	ɕiɔ1	
饅	mɛ2	
饑	kəi1	
饑	tsɿ1	
饒	dʑiɔ2	
饞	dzã2	
首	ɕiu1	
香	ɕiã1	
馬	muɔ2	
馬	mɑ5	
馮	vəŋ2	
馳	dzʮ2	
駁	pəʔ7	
駐	tsʮ5	
駒	tsʮ1	
駕	tɕiɑ5	
駛	sɿ5	
駝	dou2	
駭	ɦɛ2	
駱	ləʔ8	
騎	dzɿ2	
騙	pʰie5	
騰	dəŋ2	
騷	sɔ1	
驅	tsʰʮ1	
驕	tɕiɔ1	
驗	dʑie6	
驗	ȵie6	又讀
驚	kuɛ1	
驚	tɕiŋ1	
驟	zʮ2	
驢	lou2	
骨	kuəʔ7	
骹	kʰɔ1	
髒	tsɔ̃5	
髒	dzɔ̃6	
髓	sɿ3	
體	tʰi5	
高	kɔ1	
髻	tɕie5	
鬃	tsəŋ1	
鬢	piŋ1	
鬧	nɔ6	
鬨	ɦəŋ6	
鬮	kɤu1	
鬱	yøʔ7	
鬼	kuəi3	
魁	kʰuəi1	
魂	ɦuɛ2	
魄	pʰəʔ7	
魏	ɦuəi2	
魔	mou2	
魚	ŋu2	
魚	ɦy2	
魯	lou5	
鮑	bɔ2	
鮮	ɕie1	
鯉	li2	
鯗	ɕiã3	
鯨	dʑiŋ2	
鯰	ɦie2	
鯽	tɕieʔ7	
鰓	sɛ1	
鰣	zɿ2	
鰾	biɔ2	
鱉	pieʔ7	
鱗	liŋ2	
鳥	dʑiɔ2	
鳥	tiɔ3	
鳩	tɕiu1	
鳳	vəŋ2	
鳴	miŋ5	
鴉	iɑ1	
鴉	uɔ1	
鴨	aʔ7	
鴻	ɦəŋ2	
鴿	kəʔ7	
鵝	ŋou2	
鵡	fu5	
鵲	tɕʰiaʔ7	
鶯	iŋ1	
鶴	ŋəʔ8	
鷂	ɦiɔ6	
鷹	iŋ1	
鸕	lu2	
鸕	lou2	
鸚	iŋ1	
鸞	luɛ2	
鹵	lu2	
鹹	ʑie2	
鹹	ɦã2	
鹽	ɦie2	
鹽	ɦie6	
鹿	ləʔ8	
麗	li6	
麝	ʑie6	
麥	maʔ8	
麩	fu1	
麵	mie6	
麻	mɑ2	
麻	mɔ2	
黃	ɦuɔ̃2	
黎	li2	
黏	dʑie1	
黏	ȵie1	又讀
黑	həʔ7	
默	məʔ8	
點	tie3	
黢	tɕʰieʔ7	
黨	tɔ̃3	
黴	məi2	
鼎	tiŋ3	
鼓	kuɤ3	
鼓	ku5	
鼠	tɕʰyø3	
鼻	bəʔ8	又讀
鼻	bieʔ8	又讀
齊	dzɿ2	
齋	tsa1	
齋	tsɛ1	
齒	tɕʰyø3	
齒	tsʰɿ5	
龍	ləŋ2	
龐	bɔ̃2	
龕	kʰã1	
龜	kuəi1	
