#漢字	音標	解釋
掬	tɕy1	
掰	pɛ1	
撣	tʰan1	
揉	ʐou1	
描	miɔ1	
提	tʰi1	
插	tʂʰa1	
揖	i1	
揞	ŋan1	
握	uo5	
揢	tɕʰia1	~孩子
揣	tʂʰuɛ1	
揪	tɕiou1	
揭	tɕiə1	
援	yan1	
攬	lan1	
攙	tʂʰan1	
擱	kə1	
摟	lou1	
攪	tɕiɔ1	
搉	tɕʰyə5	~蒜
搓	tsʰuo1	
搜	sou1	
搞	kɔ1	
搡	saŋ1	
搨	tʰa5	~本
搬	pan1	
搭	ta1	
攜	ɕiə1	
搽	tʂʰa1	(塗)
攝	ʂə5	
摆	pɛ1	
摇	iɔ1	
攤	tʰan1	
摔	ʂuɛ1	
摘	tʂɛ1	
摞	luo1	~起来
摩	mo1	
摸	mo1	
摹	mo1	
撇	pʰiə1	
撑	tʂʰəŋ1	
撒	sa1	
撕	sɿ1	
撞	tʂuaŋ5	
撤	tʂʰə5	
撩	liɔ1	
撮	tsʰuo1	
攆	nian1	
撼	xan5	
擀	kan1	
操	tsʰɔ1	
擦	tsʰa1	
擩	ʐu1	~进去
攀	pʰan5	
攢	tsan1	
攘	ʐaŋ1	
攮	naŋ1	
支	tʂʅ1	
收	ʂou1	
改	kɛ1	
攻	kuŋ1	
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiɔ5	
敵	tiə1	
敏	miən1	
救	tɕʰiou5	
教	tɕiɔ1	~书
斂	lian1	
敝	pi5	
敢	kan1	
散	san1	
散	san5	分~
敦	tuən1	
敬	tɕiŋ5	
數	ʂu1	动词
數	ʂu5	名词
敲	tɕʰiɔ1	
整	tʂəŋ1	
敷	fu1	
文	vən1	
齋	tʂɛ1	
斑	pan1	
斗	tou5	
料	liɔ5	
斜	ɕiə1	
斤	tɕiən1	
斥	tʂʰʅ5	
斧	fu1	
斬	tʂan1	
斷	tuan5	
斯	sɿ1	
新	ɕiən1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ1	
旅	ly1	
旋	ɕyan1	
旋	ɕyan5	~做
族	tsu1	
旗	tɕʰi1	
無	u1	
既	tɕi5	
日	ʐʅ5	
旦	tan1	
舊	tɕiou5	
旨	tʂʅ1	
早	tsɔ1	
旬	ɕyən1	
旱	xan5	
時	ʂʅ1	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	aŋ1	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	miŋ1	
昏	xuən1	
易	i5	
昔	ɕi1	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuən1	
昧	meⁱ5	
昨	tsuo1	
昭	tʂɔ1	
是	ʂʅ5	
晝	tʂou5	
顯	ɕian1	
晃	xuaŋ1	
晉	tɕiən5	
晏	ian5	
曬	ʂɛ5	
曉	ɕiɔ1	
暈	yən1	
晚	uan1	
晨	tʂʰən1	
普	pʰu1	
景	tɕiŋ1	
晴	tɕʰiŋ1	
晶	tɕiŋ1	
智	tʂʅ5	
暫	tsan5	
暇	ɕia1	
暑	ʂu1	
暖	nuan1	
暗	ŋan5	
暴	pɔ5	
曝	pɔ5	
曲	tɕʰy1	
更	kəŋ1	
更	kəŋ5	~加
曹	tsʰɔ1	
