#漢字	音標	解釋#('wuu_tz_xj', '仙居話', '仙居', '#8B0000', None, None, '來源：<u>落橙</u>', '334 1 1a 陰平 ꜀,312 2 1b 陽平 ꜁,423 3 2 上 ꜂,,55 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
腦	ʔnao3	
腫	tɕyoŋ3	
腮	sɛ1	
腰	iao1	
腱	dʑie6	
腳	tɕyɔʔ7	
腸	dʑia2	
腹	foʔ7	
腿	tʰɛ3	
膏	kao1	
膘	ʔbiao1	
膚	fu1	
膜	mɔʔ8	
膝	tsʰɤʔ7	舊
膝	ɕiɪʔ7	新
膠	kao1	
膨	bã6	
膩	ȵi6	
膳	ʑie2	
膻	ɕie1	
膽	ʔda3	
膿	noŋ2	
臀	dɤŋ2	
臂	ʔbi5	
臉	ʔlie3	
臊	sao1	
臍	ʑi2	
臘	lɔʔ8	
臣	dziɪŋ2	
臥	nu6	白
臥	ŋo6	文
自	zɿ6	
臭	tɕʰiɤu5	
至	tsɿ5	
致	tsɿ5	
臺	dɛ2	
臼	dʑiɤu2	
舀	iao3	
舂	ɕyoŋ1	
舅	dʑiɤu2	
與	ɦy2	
興	ɕiɪŋ1	～旺
興	ɕiɪŋ5	高～
舉	ky3	
舊	dʑiɤu6	
舌	ʑiaʔ8	
舍	so3	
舍	so5	
舒	ɕy1	
舔	tʰie3	
舜	ɕyøŋ5	
舞	vu2	
舟	tɕiɤu1	
航	ɦɔ̃2	
般	ʔbø1	
舵	do2	
船	zø2	
艇	tʰiɪŋ3	
艦	kʰa3	
良	lia2	
色	sɤʔ7	
艷	ɦie6	
艾	ŋɛ6	
芋	ɦy6	
芍	ʑyɔʔ8	
芒	mɔ̃2	
芙	vu2	
芝	tsɿ1	
芥	za5	
芬	fɤŋ1	
芭	ʔbo1	
花	ho1	
芳	fɔ̃1	
芹	dʑiɪŋ2	
芽	ŋo2	
苔	tʰɛ1	舌～
苔	dɛ2	
苗	miao2	
苟	kɤu3	
若	ʑyɔʔ8	
苦	kʰu3	
苧	dzɿ2	
英	iɪŋ1	
茂	mɤu6	
茄	dʑya2	
茅	mao2	
茫	mɔ̃2	
茲	tsɿ1	
茲	zɿ2	
茴	ɦuɛ2	
茶	dzo2	
茸	ʑyoŋ2	
草	tsʰao3	
荊	tɕiɪŋ1	
荒	huɔ̃1	
荔	li6	
荷	ɦo2	
莊	tsɔ̃1	
莠	iɤu3	
莧	ha5	
莫	mɔʔ8	
莽	ʔmɔ̃3	
菊	kyøʔ7	
菌	kʰyøŋ3	
菖	tɕʰia1	
菜	tsʰɛ5	
菠	ʔbo1	
菩	bo2	
華	ɦo2	
菱	liɪŋ2	
萄	dao2	
萌	mã2	
萍	biɪŋ2	
萎	uɛ1	
萬	va6	
萬	ma6	舊
落	lɔʔ8	
葉	ɦiaʔ8	
著	tɕyɔʔ7	～衣
著	tɕy5	
著	dʑyɔʔ8	睡～，附～
葚	ziɪŋ2	
葛	kiaʔ7	
董	ʔdoŋ3	
葦	ɦuɛ2	
葫	ɦu2	
葬	tsɔ̃5	
葵	ɡy2	
葷	hɤŋ1	
蒓	ʑyøŋ2	
蒙	moŋ2	
蒜	sø5	
蒲	bu2	
蒸	tɕiɪŋ1	
蒼	tsʰɔ̃1	
蒿	hao1	
蓄	ɕyoʔ7	
蓉	ɦyoŋ2	
蓋	kɛ5	
蓑	so1	
蓖	ʔbi1	
蓬	boŋ2	
蓮	lie2	
蔓	ma6	
蔔	pʰoʔ7	
蔗	tso5	
蔡	tsʰa5	
蔣	tɕia3	
蔥	tsʰoŋ1	
蔫	ie1	食物不新鮮
蔬	su1	
蔽	ʔbi5	
蕉	tɕiao1	
蕊	ʔȵy3	
蕎	dʑiao2	
蕩	dɔ̃6	
蕭	ɕiao1	
薄	baʔ8	～荷
薄	bɔʔ8	
薑	tɕia1	
薛	ɕiaʔ7	
薦	tɕie5	
薩	sɔʔ7	
薪	siɪŋ1	
薯	zɿ6	
薰	hyøŋ1	
薺	ʑi2	
藉	ʑiɪʔ8	
藍	la2	
藏	zɔ̃2	隱～
藏	zɔ̃6	西～
藐	ʔmiao3	
藕	ʔŋɤu3	
藝	ȵi6	
藤	diɪŋ2	
藥	ɦyɔʔ8	
藩	fa1	
藹	ɛ3	
藿	huaʔ7	
蘆	lu2	
蘇	su1	
蘭	la2	
蘸	tsa5	
虎	hu3	
虐	ȵyɔʔ8	
虔	dʑie2	
處	tɕʰy5	
虛	hy1	
虜	ʔlo3	
虞	ȵy2	
號	ɦao6	
虧	kʰuɛ1	
虱	sɤʔ7	
虹	ɦoŋ2	
虻	mã2	
蚊	vɤŋ2	
蚌	bã2	
蚌	baʔ8	～殼：河蚌
蚣	koŋ1	
蚤	tsao3	
蚶	hø1	
蛇	zo2	
蛋	da6	
蛙	ua1	
蛛	tɕy1	
蛛	tɕy5	
蛤	kiaʔ7	
蛾	ŋo2	
蜀	ʑyoʔ8	
蜂	foŋ1	
蜈	ɦu2	
蜓	diɪŋ2	
蜘	tsɿ1	
蜜	miɪʔ8	
蜻	tɕʰiɪŋ1	
蝕	ʑiɪʔ8	
蝗	ɦuɔ̃2	
蝙	ʔbie1	
蝟	ɦy6	
蝠	foʔ7	
蝦	ho1	魚～
蝦	o1	～蟆：青蛙
蝶	diaʔ8	
蝸	o1	
螂	lɔ̃2	
螃	bɔ̃2	
融	ɦyoŋ2	
螢	iɪŋ1	
螳	dɔ̃2	
螺	lo2	
蟀	ɕyoʔ7	
蟄	dʑiɪʔ8	
蟆	mo2	
蟒	ʔmɔ̃3	
蟢	ɕi3	
蟬	ʑie2	
蟲	dʑyoŋ2	
蟶	tɕʰiɪŋ1	
蟹	ha3	
蟻	ʔȵi3	
蟾	ʑie2	
蠅	ɦiɪŋ2	
蠍	ɕiɪʔ7	
蠟	lɔʔ8	
蠢	tɕʰyøŋ3	
蠶	zø2	
蠻	ma2	
血	hyaʔ7	
衆	tɕyoŋ5	
行	ɦã2	～爲
行	ɦɔ̃2	～列，銀～
行	ɦã6	品～
術	ʑyoʔ8	
衙	ŋo2	
衛	ɦuɛ6	
衡	ɦã2	
衣	i1	
表	ʔbiao3	
衫	sa1	
衰	sɛ1	
袁	ɦyø2	
袋	dɛ6	
袍	bao2	
袖	ʑiɤu6	
被	bi2	
裁	zɛ2	
裂	liaʔ8	
裌	kɔʔ7	
裏	ʔli3	
裕	ɦy6	
裙	ɡyøŋ2	
補	ʔbu3	
裝	tsɔ̃1	
裳	zɔ̃2	新
裳	ʑia2	
裴	bɛ2	
裸	ʔlo3	
裹	ko3	
褒	ʔbao3	
褥	ʑyoʔ8	
褪	tʰɤŋ5	
褲	kʰu5	
襄	ɕia1	
襉	za3	
襖	ao3	
襟	tɕiɪŋ1	
襪	mɔʔ8	
襯	tsʰiɪŋ5	
襲	zɤʔ8	
襻	pʰa5	
西	ɕi1	
要	iao5	
覆	foʔ7	
見	tɕie5	
規	kuɛ1	
覓	miɪʔ8	
視	zɿ6	
親	tsʰiɪŋ1	
親	tsʰiɪŋ5	～家
覺	kɔʔ7	知～
覺	kao5	睡～
覽	ʔla3	
觀	kua1	參～
觀	kua5	寺～
角	kɔʔ7	
解	za3	
觸	tɕʰyoʔ7	
言	ȵie2	
訂	ʔdiɪŋ5	
訃	fu5	
計	tɕi5	
訊	siɪŋ5	
討	tʰao3	
訓	hyøŋ5	
訖	tɕʰiɪʔ7	
記	tɕi5	
訛	ŋo2	
訟	ʑyoŋ6	
訣	kyaʔ7	
訪	fɔ̃3	
設	ɕiaʔ7	
許	hy3	
訴	su5	
診	tsiɪŋ1	
詐	tso5	
詔	tɕiao5	
評	biɪŋ2	
詠	ɦyøŋ6	
試	sɿ5	
詩	sɿ1	
詭	kuɛ1	
話	ɦo6	
該	kɛ1	
詳	ʑia2	
誅	tɕy1	
誇	kʰua1	
認	ȵiɪŋ6	
誓	ʑi6	
誕	da2	
誘	ɦiɤu2	
語	ʔȵy3	
誠	ʑiɪŋ2	
誣	vu2	
誤	nu6	
誦	ʑyoŋ6	
說	ɕyɔʔ7	
誰	ʑy2	
課	kʰo5	
誼	ȵi2	
調	diao2	～和
調	diao6	～動；音～
談	da2	
請	tɕʰiɪŋ3	
諒	lia6	
論	lɤŋ6	
諜	diaʔ8	
諫	za5	
諱	huɛ5	
諷	foŋ5	
諸	tɕy1	
諺	ȵie6	
諾	nɔʔ8	
謀	mɤu2	
謂	ɦy6	
謄	dɤŋ2	
謊	huɔ̃3	
謎	mi6	文
謎	ȵi6	白
謗	ʔmɔ̃5	
謙	tɕʰie1	
講	kɔ̃3	
謝	ʑi6	
謠	ɦiao2	
謬	mɤu6	
謹	tɕiɪŋ3	
證	tɕiɪŋ5	
譏	tɕi1	
識	ɕiɪʔ7	
譚	dø2	
譜	ʔbu3	
警	tɕiɪŋ3	
譬	pʰi5	
譯	ɦiɪʔ8	
議	ȵi6	
護	ɦu6	
譽	ɦy6	
讀	doʔ8	
變	ʔbie5	
讒	za2	
讓	ʑia6	新
讓	ȵia6	
豁	huaʔ7	～嘴，～口，～然
豆	dɤu6	
豇	kɔ̃1	
豈	tɕʰi3	
豉	zɿ6	豆～
豌	ua1	
豎	ʑy2	
豐	foŋ1	
豚	dɤŋ2	
象	ʑia2	
豪	ɦao2	
豫	ɦy2	
豹	ʔbao5	
豺	za2	
貂	ʔdiao1	
貌	mao6	
貓	ʔmao1	
貝	ʔbɛ5	
貞	tsiɪŋ1	
負	vɤu2	
財	zɛ2	
貢	koŋ5	
貧	biɪŋ2	
貨	ho5	
販	fa5	
貪	tʰø1	
貫	kua5	
責	tsaʔ7	
貳	ȵi6	
貴	ky5	
貶	ʔbie3	
買	ʔma3	
貸	dɛ6	
費	fi5	
貼	tʰiaʔ7	
貿	mɤu6	
賀	ɦo6	
賂	lu6	
賃	ȵiɪŋ6	
賄	huɛ3	
資	tsɿ1	
賈	ko5	
賊	zɤʔ8	
賒	so1	
賓	ʔbiɪŋ1	
賜	sɿ5	
賞	ɕia3	
賠	bɛ2	
賢	ɦie2	
賣	ma6	
賤	ʑie6	
賦	fu5	
質	tsɤʔ7	
賬	tɕia5	
賭	ʔdu3	
賴	la6	
賺	dza6	
購	kɤu5	
賽	sɛ5	
贅	tɕy5	
贈	ziɪŋ6	
贊	tsa5	
贏	ɦiɪŋ2	
贓	tsɔ̃1	
贖	ʑyoʔ8	
赤	tɕʰiɪʔ7	
赦	so5	
赫	haʔ7	
走	tsɤu3	
赴	fu5	
起	tɕʰi3	
趁	tsʰiɪŋ5	
超	tɕʰiao1	
越	ɦyɔʔ8	
趕	kie3	
趙	dʑiao2	
趟	tʰɔ̃3	
趣	tɕʰy5	
趨	tɕʰy1	
足	tɕyoʔ7	
趾	tsɿ3	
跌	ʔdiaʔ7	
跑	pʰao3	
跛	ʔba3	～足
距	ɡy2	
跟	kiɪŋ1	
跡	tɕiɪʔ7	
跨	kʰua5	
跪	ɡuɛ2	文
跪	ɡy2	白
路	lu6	
跳	tʰiao5	
踏	dɔʔ8	
踐	ʑie2	
踢	tʰiɪʔ7	
踱	dɔʔ8	
蹄	di2	
蹤	tsoŋ5	
蹲	ʔdɤŋ1	
躁	tsʰao5	
躍	ɦyɔʔ8	
躡	ȵiaʔ8	
身	siɪŋ1	
躬	tɕyoŋ1	
躲	ʔdo3	
躺	tʰɔ̃3	
車	ky1	～馬炮
車	tsʰo1	～輛
軌	kuɛ3	文
軌	ky3	白
軍	kyøŋ1	
軒	ɕie1	
軛	aʔ7	
軟	ʔȵyø3	
軸	dʑyoʔ8	
較	kao5	
載	tsɛ5	
輔	fu3	
輕	tɕʰiɪŋ1	
輛	lia6	
輜	tsɿ1	
輝	huɛ1	
輦	ȵie2	
輩	ʔbɛ5	
輪	lɤŋ2	
輯	tɕʰiɪʔ7	
輸	ɕy1	
輸	ɕy5	運～
轄	ɦaʔ8	管～
轅	ɦyø2	
轉	tsø3	
轍	dʑiaʔ8	
轎	dʑiao6	
轟	huã5	
辛	siɪŋ1	
辟	pʰiɪʔ7	
辣	lɔʔ8	
辦	ba6	
辨	bie2	
辮	bie2	
辯	bie2	
辰	ziɪŋ2	
辱	ʑyoʔ8	
農	noŋ2	
迂	y1	
迅	siɪŋ5	
迎	ȵiɪŋ2	
近	dʑiɪŋ2	
迥	dʑyoŋ2	
迫	ʔbaʔ7	
述	ʑyoʔ8	
迷	mi2	
迸	ʔboŋ5	
追	tɕy1	
退	tʰɛ5	
送	soŋ5	
逃	dao2	
逆	ȵiɪʔ8	
透	tʰɤu5	
逐	dʑyoʔ8	
途	du2	
逗	dɤu6	
通	tʰoŋ1	
逝	ʑi6	
逞	dʑiɪŋ2	
速	soʔ7	
造	zao2	
逢	voŋ2	
連	lie2	
進	tsiɪŋ5	
逵	ɡy2	
逸	ɦiɪʔ8	
逼	ʔbiɪʔ7	
逾	ɦy2	
遁	dɤŋ6	
遂	ʑy6	
遇	ȵy6	
遊	ɦiɤu2	
運	ɦyøŋ6	
遍	ʔbie5	
過	ku5	
遐	ɦo2	
道	dao2	
達	dɔʔ8	
違	ɦy2	
遜	siɪŋ5	
遝	daʔ8	一～紙
遞	di6	
遠	yø3	
遣	tɕʰie3	
適	ɕiɪʔ7	
遭	tsao1	
遮	tso1	
遲	dzɿ2	
遵	tsiɪŋ1	
遷	tɕʰie1	
選	sø3	
遺	ɦy2	
遼	liao2	
避	bi6	
邀	iao3	
邁	ma6	
還	ɦua2	
邊	ʔbie1	
那	ʔno3	
邦	ʔbɔ̃1	
邪	ʑya2	
邵	ʑiao6	
郊	kao1	
郎	lɔ̃2	
郝	hɔʔ7	
郡	ɡyøŋ6	
部	bu2	
郭	kuaʔ7	
郵	ɦiɤu2	
都	ʔdu1	
鄂	ŋɔʔ8	
鄉	ɕia1	
鄒	tsɤu1	
鄙	ʔbi3	
鄧	dɤŋ6	
鄭	dʑiɪŋ6	
鄰	liɪŋ2	
酉	iɤu3	
酌	tɕyɔʔ7	
配	pʰɛ5	
酒	tɕiɤu3	
酣	hø1	
酥	su1	
酪	lɔʔ8	
酬	dʑiɤu2	
酵	kao5	
酷	kʰuoʔ7	舊
酷	kʰɔʔ7	
酸	sø1	
醇	ʑyøŋ2	
醉	tsɛ5	文
醉	tɕy5	白
醋	tsʰu5	
醒	ɕiɪŋ3	
醜	tɕʰiɤu3	
醫	i1	
醬	tɕia5	
釀	ȵia6	
釁	ɕiɪŋ5	
采	tsʰɛ3	
釉	ɦiɤu6	
釋	ɕiɪʔ7	
重	dʑyoŋ2	
野	ɦi2	
量	lia2	～長短
量	lia6	數～
金	tɕiɪŋ1	
釘	ʔdiɪŋ1	鐵～
釘	ʔdiɪŋ5	動詞
釜	vu2	
針	tsiɪŋ1	
釣	ʔdiao5	
釵	tsʰa1	
鈍	dɤŋ6	
鈔	tsʰao1	
鈞	kyøŋ1	
鈴	liɪŋ2	
鈸	baʔ8	
鉗	dʑie2	
鉛	kʰa1	
鉤	kɤu1	
鉸	kao3	
銀	ȵiɪŋ2	
銃	tɕʰyoŋ5	
銅	doŋ2	
銘	miɪŋ2	
銜	ɦa2	
銷	ɕiao1	
銼	tsʰo5	
鋒	foŋ1	
鋤	zu2	文
鋤	zɿ2	白
鋥	dzã6	
鋪	pʰu1	
鋭	ɕy5	
鋸	ky5	文
鋸	kɛ5	白
鋼	kɔ̃1	
錐	tsø1	
錘	dʑy2	
錛	ʔbɤŋ1	
錠	diɪŋ2	
錢	dʑie2	
錦	tɕiɪŋ3	
錨	mao2	
錫	ɕiɪʔ7	
錮	ku5	
錯	tsʰo5	
錄	loʔ8	
鍋	ko1	
鍍	du6	
鍘	zɔʔ8	～刀
鍛	ʔdø5	
鍬	tɕʰiao1	
鍵	dʑie2	
鎖	so3	
鎮	tsiɪŋ5	
鏊	ŋao6	
鏟	tsʰa3	
鏡	tɕiɪŋ5	
鏽	ɕiɤu5	
鐘	tɕyoŋ1	
鐙	ʔdiɪŋ5	
鐮	lie2	
鐲	dʑyɔʔ8	
鐵	tʰiaʔ7	
鐸	dɔʔ8	
鐾	bi6	
鑄	tɕy5	
鑊	ɦuɔʔ8	鍋
鑒	za5	
鑰	ɦyɔʔ8	
鑷	ȵiaʔ8	
鑼	lo2	
鑽	tsø5	
鑿	zɔʔ8	
鑞	lɔʔ8	
長	dʑia2	～短
長	tɕia3	生～
門	mɤŋ2	
閂	sø1	
閉	ʔbi5	
開	kʰɛ1	
閏	ɦyøŋ6	
閑	ɦa2	
閘	zɔʔ8	
閣	kɔʔ7	
閨	kuɛ1	
閩	ʔmiɪŋ3	
閱	ɦyɔʔ8	
閹	ie1	
閻	ie1	
閻	ɦie2	
闊	kʰuaʔ7	
闖	tɕʰyɔ̃3	
關	kua1	
阜	vu2	
阮	ʔȵyø3	
防	vɔ̃2	
阻	tsu3	
阿	aʔ7	
附	vu6	
陋	lɤu6	
陌	maʔ8	
降	ɦɔ̃2	～伏，投～
降	kɔ̃5	下～
限	a3	
陛	bi2	
陝	ɕie3	
陡	ʔdɤu3	
院	ɦyø6	
陣	dziɪŋ6	
除	dʑy2	
陪	bɛ2	
陰	iɪŋ1	
陳	dziɪŋ2	
陵	liɪŋ2	
陶	dao2	
陷	ɦa6	
陸	loʔ8	
陽	ɦia2	
隆	loŋ2	
隊	dɛ6	
隔	kaʔ7	
隘	a5	
際	tɕi5	
障	tsɔ̃5	
隧	ʑy6	
隨	ʑy2	
險	ɕie3	
隱	iɪŋ3	
隴	ʔloŋ3	
隸	li6	
雀	tɕyɔʔ7	
雁	ŋa6	
雄	ɦyoŋ2	
雅	ʔŋo3	
集	zɤʔ8	
雇	ku5	
雉	dzɿ2	
雌	tsʰɿ1	
雍	yoŋ1	
雕	ʔdiao1	
雖	ɕy1	
雙	ɕyɔ̃1	
雜	zaʔ8	
雞	tɕi3	
離	li2	
難	na2	～易
難	na6	患～
雨	y3	
雪	ɕyɔʔ7	
雲	ɦyøŋ2	
零	liɪŋ2	
雷	lɛ2	
雹	bɔʔ8	
電	die6	
需	ɕy1	
霄	ɕiao1	
震	tsiɪŋ5	
霍	huaʔ7	
霜	sɔ̃1	
霞	ɦo2	
霧	vu6	
露	lu6	
霸	ʔbo5	
靈	liɪŋ2	
青	tɕʰiɪŋ1	
靖	ʑiɪŋ2	
靜	ʑiɪŋ2	
非	fi1	
靠	kʰao5	
靡	ʔmi3	
面	mie6	
靨	ɕiɪʔ7	酒～
革	kaʔ7	
靴	hy1	
鞋	ɦa2	
鞍	ø1	
鞏	tɕyoŋ3	
鞘	ɕiao5	
鞭	ʔbie1	
韁	tɕia1	
韌	ȵiɪŋ6	
韓	ɦø2	
韭	tɕiɤu3	
音	iɪŋ1	
韶	ʑiao2	
韻	ɦyøŋ6	
響	ɕia3	
頁	ɦiaʔ8	
頂	ʔdiɪŋ3	
頃	tɕʰiɪŋ5	
項	ɔ̃3	
順	ʑyøŋ6	
須	ɕy1	
頌	ʑyoŋ6	
預	ɦy2	
頑	ɦua2	
頒	ʔba1	
頓	ʔdɤŋ5	
頗	pʰo1	
領	ʔliɪŋ3	
頭	dɤu2	
頸	tɕiɪŋ3	
頻	biɪŋ2	
顆	kʰo5	
題	di2	
額	ŋaʔ8	
顏	ŋa2	
願	ȵyø6	
顛	ʔdie1	
類	lɛ6	
顧	ku5	
顫	tɕie5	
顯	ɕie3	
顴	ɡyø2	
風	foŋ1	
颼	sɤu1	
飄	pʰiao1	
飛	fi1	
食	ʑiɪʔ8	
飩	dɤŋ2	
飯	va6	
飲	iɪŋ3	
飴	ɦi2	
飼	zɿ6	
飽	ʔbao3	
飾	ɕiɪʔ7	
餅	ʔbiɪŋ3	
餉	ɕia5	
養	ia3	
餌	zɿ6	
餐	tsʰa1	
餓	ŋo6	
餛	ɦuɤŋ2	
餞	ʑie6	
餡	a3	
館	kua3	
餾	lɤu6	
餿	sɤu1	
饃	mo2	
饅	ma2	
饑	tɕi1	
饒	ȵiao2	
饞	za2	
首	ɕiɤu3	
香	ɕia1	
馬	ʔmo3	
馮	voŋ2	
馱	do2	拿
馱	do6	～背
馳	dzɿ2	
駁	ʔbɔʔ7	
駐	tɕy5	
駒	ky1	
駕	ko5	
駛	sɿ3	
駝	do2	
駭	a3	
駱	lɔʔ8	
騎	dʑi2	
騙	pʰie5	
騰	dɤŋ2	
騲	tsʰao3	
騷	sao1	
騾	lo2	
驅	kʰy1	
驕	tɕiao1	
驗	ȵie6	
驚	tɕiɪŋ1	
驟	dzɤu6	
驢	lu2	
驢	ly2	
骨	kuoʔ7	
髒	tsɔ̃1	
髒	zɔ̃6	
髓	ɕy3	
體	tʰi3	
高	kao1	
髻	tɕi5	
鬃	tsoŋ1	
鬢	ʔbiɪŋ5	
鬥	ʔdɤu3	
鬥	ʔdɤu5	
鬧	nao6	
鬨	ɦoŋ6	
鬮	tɕiɤu1	
鬱	yoʔ7	
鬼	ky3	
魁	kʰuɛ1	
魂	ɦuɤŋ2	
魄	pʰaʔ7	
魏	ɦuɛ6	
魔	mo2	
魚	ŋ2	
魯	ʔlu3	
鮑	bao2	
鮮	ɕie1	
鯉	ʔli3	
鯗	ɕia3	
鯨	dʑiɪŋ2	
鯽	tɕiaʔ7	
鰓	sɛ1	
鰣	sɿ1	
鰥	kua1	
鰭	dʑi2	
鰾	miao2	
鱉	ʔbiaʔ7	
鱖	ky5	
鱗	liɪŋ2	
鳥	ʔdiao3	
鳩	tɕiɤu1	
鳳	voŋ6	
鳴	miɪŋ2	
鴉	o1	
鴨	ɔʔ7	
鴻	ɦoŋ2	
鴿	kiaʔ7	
鵝	ŋo2	
鵡	vu2	
鵲	tɕʰyɔʔ7	
鶯	iɪŋ1	
鶴	ŋɔʔ8	
鷂	ɦiao6	
鷹	iɪŋ1	
鸕	lu6	
鸚	iɪŋ1	
鸞	lø2	
鹵	ʔlu3	
鹹	ɦa2	
鹽	ɦie2	
鹽	ɦie6	醃
鹿	loʔ8	
麗	li6	
麝	zo6	
麥	maʔ8	
麩	fu1	
麪	mie6	
麻	mo2	
麾	huɛ1	
黃	ɦuɔ̃2	
黍	ɕy3	
黎	li2	
黏	ʔȵie1	
黑	hiɪʔ7	
默	moʔ8	
點	ʔdie3	
黢	tɕʰyoʔ7	～黑
黨	ʔdɔ̃3	
黴	mi2	
鼎	ʔdiɪŋ3	
鼓	ku3	
鼠	tsʰɿ3	
鼻	biɪʔ8	
鼾	hø5	
齈	noŋ6	多涕鼻疾
齊	ʑi2	
齋	tsa1	
齒	tsʰɿ3	
齷	o3	～齪
龍	loŋ2	
龐	bɔ̃2	
龕	kʰø1	
龜	ky1	
