#漢字	音標	解釋
#簡稱	/	冷水江錫礦山
#全稱	/	冷水江錫礦山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-06
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（錫礦山）方言語音研究》
#說明	/	
貓	mɔ1=	
猬	uɤ5	
獻	ɕiɛ̃5	
猴	ɣɤ2	
猾	ua7	
猿	̃yɛ̃2	
玄	ʑyɛ̃2	
率	sæ5	
率	liəu5	效～
玉	n5-	～买:玉米
玉	y5	
王	ɔ̃2	
玟	uən2	
玩	uã2	～具
玫	mɤ2	
環	vã2-	～绕
環	uã7=	耳～
現	ʑiɛ̃1-	～饭
現	ɕiɛ̃5=	～在
璽	ɕi3	
玻	po1	
珊	sã1	
珍	tɕin1-	
珍	tsən1=	
珠	tɕy1	
珠	tɕy3	眼～:眼睛
班	pã1	
球	ʑiəu2	
理	li3	
瑣	so3	
琢	tso7	
琳	lin2	
琴	ʑin2	
琵	pʰa1	
琵	ɓi2	
瓊	ʑyən2	
瑕	ʑia2	
瑙	lɔ3	
瑜	y2	
瑞	sɤ5	
瑟	sɤ5	
瑾	tɕin3	
璃	li1	
璧	ɓi5	
瓜	kua1	
瓢	ɓiɤ2	
瓣	vã3-	
瓣	ɓã5=	
瓦	ua3	
瓶	ɓin2	
瓷	zɿ2	
甘	kã1	
甚	ɕin5-	
甚	sən5=	
甜	ɗiɛ̃2	
生	ɕiɛ̃1-	
生	sɔ̃1-	～长
生	sɔ̃5-	～蛋:下蛋
生	sən1=	
甥	sɔ̃1	外～
用	yən1-	
用	yən5=	
甩	sæ3	
甫	fu3	
田	ɗiɛ̃2	
由	iəu2	
甲	ka1-	手指～
甲	tɕia7=	
申	ɕin1-	
申	sən1=	
電	ɗiɛ̃1-	
電	ɗiɛ̃5=	
男	lã2	
畫	va5	名词
畫	va7	动词
暢	tɕʰyɔ̃5	
界	kæ5	
畏	uɤ5	
留	liəu2	
畜	tɕʰiəu7	牲～
略	liɤ7	
畦	ɕya1	菜～
番	fã1	
疆	tɕyɔ̃1	
疏	səu1	
疑	i2	
療	liɤ2	
瘍	yɔ̃2	
疤	pa1	
疥	kæ5	
疫	y7	
瘡	tsʰɔ̃1	
瘋	fən1	
疲	ɓi2	
疹	tsən3	
疼	ɗən2	
疾	tɕi7	
病	ɓiã1-	
病	ɓin5=	
痆	lã5	～子:皮肤上的小红疙瘩,[集韵》入声黠韵女黠切:疮也
症	tɕin5-	
症	tsən5	
痒	yɔ̃3	
痔	zɿ1-	
痔	zɿ5=	
痕	ɣən3-	
痕	ɣən2=	
痗	fɤ3	胃不舒服，呕吐
痛	tʰən5	
痞	pʰi3	
痣	tsɿ5	
癆	lɔ1	～药:毒药;～人:使人中毒
癆	lɔ2	～病:肺结核的通俗说法
痰	zã2	
痱	fɤ1	～子
癡	tsʰɿ1	
痹	ɓi5	麻～
瘀	y5	～桶:尿桶
瘙	sɔ1	
瘟	uən1	
瘦	ɕiɤ5	
瘩	ta1	疙～
癟	piɛ̃7	
癱	tʰã1	
瘴	tɕyɔ̃5	
瘸	ʑya7	
癮	in3	
癌	æ2	
癩	læ5	
癬	ɕiɛ̃3	
癲	tiɛ̃1	
癸	kuɤ3	
登	tən1	
發	fa1	
白	pʰa5-	
白	pɤ7=	
百	pɤ7	
皂	zɔ1-	用水冲洗
皂	zɔ3=	
的	lo2	
的	lɔ̃2	
的	ɗi5	目～
的	ti7	～确
皆	kæ1	
皇	ɔ̃2-	
皇	ɣɔ̃2=	
皮	ɓi2	
皺	tɕiɤ7	
皴	tɕyɛ̃1	
皿	min3	
盆	ɓin2-	
盆	ɓən2=	
盈	in2	
益	i5	
益	i7=	
盞	tsã3	
鹽	iɛ̃2	
監	kã5-	
監	kã1=	
盒	xo7	
盔	kʰuɤ1	
盖	kɤ5-	
盖	kæ5=	
盜	ɗɔ5	
盤	ɓɔ̃2	
盟	min2	
目	mo5	
盯	tin1	
盲	mɔ̃2	
直	tsʰɿ5-	
直	tsʰɿ7=	
相	ɕiã1	互～
相	ɕiã5	～貌
盼	pʰã5	
盾	tin5-	
盾	ɗən5=	
省	ɕin3-	～长
省	ɕin3-	反～
省	sɔ̃3-	节～
省	sən3=	～长
省	sən3=	节～
眉	mi2-	
眉	mɤ2=	
看	kʰã5	
真	tɕin1-	
真	tsən1=	
眠	miɛ̃2	
眦	tsʰɿ3	不～:不理睬
眨	tsa1	
眯	min1	
眶	tɕʰiã1	
眼	ã3	
着	tɕyo1	～力:用力
着	tɕʰyo5	睏～哩:睡着了
着	tɕyo7	～地
睜	tɕin1-	
睜	tsən1=	
睏	kʰuən5	～觉;睡觉
睛	ʑiã2-	
睛	tɕin1	
睛	ʑin2=	
睡	sɤ5	
督	təu5	
睫	tɕiɛ7	
睬	tsʰæ3	
瞄	miɤ2	
瞎	xa1	
瞒	mɔ̃2	
瞧	ʑiɤ2	
瞪	tən5	-眼
瞬	ɕyən5	
瞳	ɗən2	
矛	mɔ2	
矜	tɕin1	
知	tsɿ1	
知	tsʰɿ1	
矩	tɕy3	
矯	tɕiɤ3	
矬	tsʰo2	
短	tɔ̃7	
短	tɔ̃3=	
矮	æ3	
石	ɕya5-	
石	sɿ7=	
礦	kʰɔ̃5	
碼	ma3	
砌	tɕʰi7	
砍	kʰã3	
砑	a1-	～人:嗑人
砑	ia7=	～平
研	iɛ̃2	
磚	tɕyɛ̃1	
砣	ɗo7	
破	pʰu5-	
破	pʰo5=	
礎	tsʰəu3	
碩	ɕyo5	
硝	ɕiɤ1	
硫	liəu2	～磺
硬	ɔ̃1-	
硬	in5=	
確	tɕʰyo7	～是
碉	tiɤ1	
碌	ləu5	
礙	æ5	
碎	sɤ5	
碑	pɤ1	
碓	tɤ5	
碗	ɔ̃3	
碘	tiɛ̃3	
碟	tɤ7-	
碟	tiɛ5=	
碧	pi5	
碰	pʰən5	
鹼	kã3	
碳	tʰã5	
碾	iɛ̃3	
磁	zɿ2	
磅	pɔ̃5	
磕	kʰo1	
磨	mɔ̃2-	
磨	mo5	推～
磨	mo2=	～刀
磷	lin2	
示	sɿ5	
禮	li3	
社	sɤ5	
祀	sɿ5	
祁	ʑi2	
祈	ʑi2	
祖	tseu3	
祝	tɕiəu7	
神	ʑin2-	
神	zən2=	
祠	zɿ2	
祥	ʑiã2	
票	pʰiɤ5	车～
祭	tɕi5	
禱	tɔ3	
禍	ɣo3	谛～,捣乱或怂勇去做坏事
禍	ɣo5=	
禀	pin3	
禁	tɕin1-	～不住
禁	tɕin5=	～止
禄	ləu5	
禪	zã2	
福	fu7	
禹	y3	
离	ɗi2-	
离	li2=	
禽	ʑin2	
禾	u2-	
禾	ɣo2=	
秀	ɕiəu5	
私	sɿ1	
禿	tʰəu7-	
禿	tʰəu1=	
秆	kɔ̃3	
秉	pin3	
秋	tɕʰiəu1	
種	tɕyən3	～类
種	tɕyən5	～树
科	kʰo1	
秒	miɤ3	
秘	mi5	
租	tsəu1	
秤	tɕʰin5-	
秤	tsʰən5=	
秦	ʑin2	
秧	yɔ̃1	
秩	tsʰɿ5	
積	tɕi7	
稱	tɕʰin1-	～重量
稱	tɕʰin5-	相～
稱	tsʰən1	～重量
稱	tsʰən5=	相～
移	i2	
稀	ɕi1	
程	ʑin2-	
程	zən2=	
稍	sɔ1	
稅	sɤ5	
稗	ɓæ3	
稚	tsɿ5	幼～
稝	ɓən2	植物非常密和拥挤《集韵》平声庚的蒲庚切:禾密也
稞	kʰo1	
稠	ʑiəu2	
穩	uən3	
稻	ɗɔ5	
稼	tɕia5	
稽	tɕi1	
稿	kɔ3	
穆	mo5	
穗	sɤ5	
穴	ɕiɛ7	
窮	ʑyən2	
穹	ʑyən2	
空	kʰən1	～虚
空	kʰən5	～缺
穿	tɕʰyɛ̃1	
突	tʰəu7	
竊	tɕʰiɛ7	
竅	tɕʰiɤ5	
窑	iɤ2	
窖	kɔ5	
窗	tsʰɔ̃1	
窘	tɕyən3	
竄	tsʰɔ̃1	
窩	o1	
窟	kʰu1	～窿
窠	kʰo1	
窺	kʰuɤ1	
立	li5	
豎	ʑy3-	
豎	ʑy5=	
站	tsã5	
競	tɕin5	
竟	tɕin5	
章	tɕyɔ̃1	
童	ɗən2	
端	tɔ̃1	
竹	tɕiəu1-	
竹	tɕiəu7=	
竿	kã3	
篤	təu7	
笋	ɕin3-	
笋	sən3=	
笑	ɕiɤ5	
笔	pi7	
笛	tʰi7	
笠	li5	
符	vu2	
笨	pən5	
第	ɗi5	
籠	lan2	～头
籠	lən3	～统
籠	lən5	鸡～
等	tiɛ̃3-	
等	tən3=	
筋	tɕin1	
筏	fa7	
筐	kʰɔ̃1	
筑	tɕiəu5	
筒	ɗən7-	
筒	ɗən2=	
答	ta1-	
答	ta7=	
策	tɕʰiɛ7-	
策	tsʰɤ7=	
篩	sæ1	
箏	tɕin1-	
箏	tsən1=	
筷	kʰuæ5	
籌	ʑiəu2	
签	tɕʰiɛ̃1	
簡	kã3-	
簡	tɕiɛ̃3=	～单
箍	ku1	
算	sɔ̃5	
管	kɔ̃3	
籮	lo7-	谷～
籮	lo2=	
簫	ɕiɤ1	
箭	tɕiɛ̃5	
箱	ɕiã1	
篆	tɕyɛ̃5	
篇	pʰiɛ̃1	
簍	liɤ3	
篡	tsʰɔ̃5	
籃	lã7-	
籃	lã2=	
篱	li2	
篷	ɓən2	
篾	miɛ̃5	
篿	ɓɔ̃7	圆形竹器，《集韵》平声桓韵徒官切,《说文》。篿,竹器也
簟	ɗiɛ̃3	～子:竹席
簧	ɔ̃2-	
簧	ɣɔ̃2=	
簸	pu5	～一～
簿	vu3-	
簿	ɓu3=	
籍	tɕi7	
米	min3-	
米	mi3=	
类	lɤ5	
粉	fən3	
粑	pa1	
粒	li1-	
粒	li5=	
粗	tsʰəu1	
粘	tiã1	
粟	səu5	
粤	yɛ7	
粥	tɕiəu1	
糞	fən5	
糧	liã2	
粹	tsʰɤ5	
粼	lin2	
糉	tsən5	
精	tɕin1	
糍	zɿ2	
糕	kɔ1	
糖	ɗɔ̃2	
糙	tsʰɔ5	
糜	mɤ1	煮得很烂
糟	tsɔ1	
糠	kʰɔ̃1	
糨	tɕiã1	
糯	lo1	
系	tɕi5	～鞋带
系	ɕi5	联～
素	səu5	
索	so1-	
索	so7=	
緊	tɕin3	
紫	tsɿ3	
累	lɤ1-	极困
累	lɤ3	积～
累	lɤ5	连～
絮	ɕiəu5	
繁	vã2	
繫	ʑi3	篮子等的提梁
糾	tɕiəu1	
紅	ɣən2	
約	yo7	
級	tɕi7	
紀	tɕi1-	
紀	tɕi5=	
紉	zən5	缝～
緯	uɤ3	
純	ʑyən2	
紗	sa1	
綱	kɔ̃1	
納	la5	
縱	zən5	
紛	fən1	
紙	tsɿ3	
紋	lo2	
紋	uən2	
紡	xɔ̃3	
紐	iəu3	
線	ɕiɛ̃5	
練	liɛ̃5	
組	tseu3	
紳	ɕin1-	
紳	sən1=	
細	ɕi5	
織	sɿ7-	
織	tsɿ1=	
終	tɕyən1	
縐	tɕiɤ7	
絆	pã5	～禾:打禾
絆	pɔ̃5	
紹	ɕiɤ5	
經	tɕin1	
綁	pɔ̃3	
絨	yən2	
結	kɤ1-	
結	tɕiɛ7=	
繞	ʑiɤ3	圈～
繪	vɤ5	
給	kɤ3	
絡	lo5	
絕	tɕʰiɛ7-	
絕	tsɤ7=	
絞	tɕiɤ3	
統	tʰən3	
絹	tɕyɛ̃1	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi5	
緒	ʑiəu5	
續	səu5	
緋	fɤ3	
綽	tɕʰyo7	宽～
繩	ʑin2-	
繩	zən2=	
維	uɤ2	
綿	miɛ̃2	
绷	pən1	
綢	ʑiəu2	
綯	ɗɔ2	绳索:牛～，牵牛的绳子
綜	tsən1	
綻	tsã5	
綠	liəu1	
綴	tsɤ5	
緬	miɛ̃3	
纜	lã3	
緞	ɗɔ̃5	
緩	xɔ̃3	
編	piɛ̃1	
緡	min2	～钱;中央有方孔的铜钱
緣	̃yɛ̃2	
縫	vən2	～衣服
縫	vən5	一条～
纏	zã2	
繽	pin1	
纓	in1	
縮	so7-	
縮	so1=	
繮	tɕyɔ̃1	
繳	tɕiɤ3	
缸	kɔ̃1	
缺	tɕʰyɛ7-	
缺	tɕʰyɛ1=	
罐	kɔ̃5	
网	mɔ̃3-	
网	ɔ̃3=	
罕	xã3	
罰	fa5	
罷	pa5	
罩	tsɔ5	
罪	zɤ5	
置	tsɿ5	
署	ɕy3	
羊	yɔ̃2=	山～
美	mɤ3	
羔	kɔ1	
羞	ɕiəu1	
羡	ɕiɛ̃5	
羣	ʑyən2	
羽	y3	
羾	kən7	人或动物穿越某种障碍，钻进去
翁	uən1	
翅	tsʰɿ5	
翔	ʑiã2	
翹	tɕʰiɤ1	～板
翹	tɕʰiɤ5	动词
翠	tsʰɤ5	
翡	fɤ3	
翰	xã5	
翱	ɔ2	
翳	i7	隐灭:火～了。《广雅》翳：障也
翻	fã1	
翼	i5	
翼	iɛ5	
耀	iɤ5	
老	lɔ1	～皮:锅巴
老	lɔ3	
考	kʰɔ3	
者	tsɤ3	
而	ɣæ3-	
而	ɤ2=	
耍	sa3	
耐	læ5	
耕	tsiɛ̃1-	
耕	kən1	
耗	ɣɔ5	
耙	ɓa7-	～子
耙	ɓa2=	～头
耳	ɤ3	
耶	iɛ1	
聳	sən7-	
聳	sən3=	
恥	tsʰɿ3	
耽	tã1	
耿	kən3	
聶	iɛ̃7	
聊	liɤ2	
聾	lən1-	
聾	lan2=	
職	sɿ7	
聯	liɛ̃2	
聘	pʰin5	
聚	tɕy5	
聚	ʑiəu5	
聰	tsʰən1	
肅	səu5	
肆	sɿ5	
肉	in1-	
肉	ʑiəu7=	
肋	lɤ5	
肌	tɕi1	
肘	tɕiəu3	
肚	ɗəu3	
肛	kɔ̃5	
肝	kã1	
腸	ʑyɔ̃7-	～子
腸	ʑyɔ̃2=	火腿～
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	ɓi2-	～肉
肥	vɤ2=	
肩	kã1	
肪	ɣɔ̃2	
肫	ʑin7	～肝
骯	ɔ̃1	～脏
肯	tɕʰiɛ̃3-	
肯	kʰən3=	
育	iəu5-	
育	y5=	
肴	iɤ2	
肺	fɤ5	
腎	ɕin5-	
腎	sən5=	
腫	tɕyən3	
脹	tɕyɔ̃5	
脅	ʑiɛ2	
胃	uɤ5	
膽	tã3	
背	pɤ1-	动词
背	ɓɤ3-	～书
背	pɤ5=	～部
胎	tʰæ1	
胖	pʰɔ̃5	
胚	pʰɤ1	～子:身形
胛	tɕia7	肩～
勝	ɕin5-	
勝	sən5=	
胞	pɔ1	
胡	vu2	
胭	iɛ̃1	
胯	ka5	
膠	tɕiɤ1	
胸	ɕyən1	
能	lan2	
脂	tsɿ1	
脆	tsʰɤ5	
脉	mɤ7	
脊	tɕi7	
脏	tsɔ̃1	肮～
脏	zɔ̃5	心～
臍	ʑi2	
腦	lɔ3	
膿	lan2	
脖	po7	
腳	tɕyo1-	
腳	tɕyo7=	
脬	pʰɔ3	尿～:膀胱
脫	tʰa1-	
脫	tʰo1=	
腡	lo2	
臉	liɛ̃3	
脾	ɓi2	
腆	tʰiɛ̃3	
腈	tɕiã1	～肉：瘦肉
臘	la1	
腋	iɛ7	
腌	ã1	
腐	vu3-	
腐	u3=	
腑	fu3	
腔	tɕʰiã1	
腕	uã3	
腥	ɕiã5-	
腥	ɕin1=	
腮	sɤ1	
腰	iɤ1	
腱	tɕiɛ̃5	
腹	fu5	
靦	miɛ̃3	
騰	ɗən2	
腿	tʰɤ3	
膏	kɔ1	
膜	mo2	
膝	tɕʰi1	
膨	ɓən2	～胀
臂	pi5	
臂	ɓi5	
臊	sɔ1	
臣	ʑin2-	
臣	zən2=	
自	zɿ1-	
自	zɿ5=	
臭	tɕʰiəu5	
至	tsɿ5	
致	tsɿ5	
舀	iɤ3	～水
舅	ʑiəu3-	
舅	ʑiəu5=	
輿	y2	
舌	sɤ5	
舍	ɕya3-	～得
舍	sɤ5	宿～
舍	sɤ3=	～得
舒	tsʰɿ1	
舒	ɕy1	
舔	ɕyɛ̃3-	
舔	tʰiɛ̃3	
舜	ɕyən5	
舞	vu3-	
舞	u3=	
舟	tɕiəu1	
航	ɣɔ̃2	
般	pɔ̃1	
艙	tsʰɔ̃1	
舵	ɗo7	
船	ʑyɛ̃2	
艇	tʰin3	
良	liã2	
艱	kã1-	
艱	tsiɛ̃1=	
色	ɕiɛ7-	
色	sɤ7=	
艳	iɛ̃5	
藝	i5	
艾	æ5	
節	tɕiɛ7	
芋	y1	～头
芋	y5=	洋～
芒	mɔ̃2	
芙	vu2	
芝	tsɿ1	
蘆	ləu2	
芬	fən1	
芭	pa1	
花	fa1	
芳	xɔ̃1	
芹	ʑin2	
芽	a7-	
芽	ia2=	
葦	uɤ3	
莧	ɣã1	～菜
蒼	tsʰɔ̃1	
苏	səu1	
苔	ɗæ2	
苗	miɤ2	
苟	tɕiɤ3	
若	yo7	
苦	kʰu3	
英	in1	
蘋	ɓin2	
茂	miɤ5	
范	fã5	
茄	ʑya2	
茅	mɔ2	
茉	mo5	
繭	tɕiɛ̃3	
茫	mɔ̃2	
茬	tsʰa7	
茭	kɔ1	～笋
茵	in1	
茶	za2	
茸	yən2	
荆	tɕin1	
草	tsʰɔ3	
薦	tɕiɛ̃5	
荒	xɔ̃1	
荔	li5	
蕎	ʑiɤ2	
薺	tɕi5	
荡	ɗɔ̃5	
榮	yən2	
葷	fən1	
荫	in1	
藥	yo5	
荷	ɣo2	～花
荷	ɣo2	薄～
莎	sa1	～草
莫	mo5	
莫	ɗiɛ̃5	
蓮	liɛ̃2	
萵	o1	
获	xo5	
瑩	yən2	
鶯	in1	
莽	mɔ̃3	
菊	tɕiəu7-	
菊	tɕy7=	
菌	kʰuən3	
菜	tsʰæ5	
菠	po1	～菜
菢	ɓɔ7	～小鸡
菩	vu2-	
菩	ɓu2=	
菱	lin2	
菲	fɤ1	
菸	pa3	～烟:吸烟
萄	ɗɔ2	
萌	min2	
萍	ɓin2	
萎	uɤ1	
蘿	lo2	
螢	ɔ̃2-	～火虫
螢	yən2=	
營	yən2	
縈	iã1-	绕
蕭	ɕiɤ1	
薩	sa3	菩～
薩	sa5	拉～
落	lo7-	～花生
落	lo5=	
著	tɕy5	
葛	ko7	
董	tən3	
葫	vu2	～芦
葬	tsɔ̃5	
葱	tsʰən1	
葵	vɤ2	
蔣	tɕiã3	
蒙	mən2	
蒜	sɔ̃5	
蒲	vu2-	
蒲	ɓu2=	
蒸	tɕin1-	
蒸	tsən1=	
蒿	xɔ1	
蓄	ɕiəu7	
蓉	yən2	
蓑	so1	
蓖	ɓi5	～麻
藍	lã2	
蓬	ɓən2	
蔗	ɕya5-	
蔗	tsa5=	
蔗	tɕya5=	
蔡	tsʰæ5	
蔬	səu1	
藹	æ3	和～
蕉	tɕiɤ1	
蕨	tɕyɛ̃1-	
蕨	tɕyɛ1=	
蘊	uən5	
蕹	n5	～菜:空心菜
蕻	ɣən3	～子:菜苔
薄	pʰo5-	捞～:很薄
薄	ɓo5-	～荷
薄	po7=	～荷
薄	po7=	～弱
薛	sɤ7-	
薛	ɕiɛ7=	
薪	ɕin1	
薯	ʑy2	
薰	ɕyən1	
藉	tɕi7	
藏	zɔ̃2	躲～
藏	zɔ̃5	西～
藐	miɤ3	
蘚	ɕiɛ̃3	
藕	iɤ3	
藜	li1	棘上的刺
藤	ɗiɛ̃2-	
藤	ɗən2=	
藨	pʰɔ1	莓类野果
藩	fã1	
藿	xo7	～香
蘯	tʰɔ̃3	把水在物里动，以便把器物内部清洗干净,～杯子
蘸	tsã5	
虎	fu3	
虜	ləu3	
虐	yo7	
虛	ɕy1	
虞	y2	
蟲	ʑyən7-	
蟲	ʑyən2=	
虱	ɕi1	
虹	kɔ̃5-	
虹	ɣən2=	
雖	sɤ1	
蝦	xa1-	～米
蝦	ɕia1=	鱼～
蟻	n5-	蚂～仔:蚂蚁
蟻	i3=	
螞	mã3-	～蚁
螞	ma3=	
蚊	min1-	
蚊	uən2=	
蚓	in3	
蠶	zã7	
蚣	kən1	
蚤	tsɔ3	
蛀	tɕy5	
蛇	ʑya2	
蛋	ɗã3-	
蛋	ɗã5=	
蛙	ua1	
蛛	tɕy1	
蛤	ɣa2	～蟆
蠻	mã2	
蟄	sɿ7	惊～
蛾	o2	
蜂	fən1	
蜈	u2	
蜓	ɗin2	蜻～
蛻	tʰɤ5	
蝸	o1	
蜘	sɿ7	
蜜	min5-	
蜜	mi5=	
蠟	la7	
蜷	tɕyɛ̃7	
蜻	tɕʰin1	
蠅	in2	
蟬	zã2	
蝗	ɔ̃2-	
蝗	ɣɔ̃2=	
蝙	piɛ̃1	
蝠	fu7	
蝶	tɤ7-	
蝶	tʰiɛ7=	
螂	lɔ̃2	
螃	ɓɔ̃2	
融	yən2	
螳	ɗɔ̃2	
螺	lo2	
蟆	ma1	
蟋	sæ5	
蟒	mɔ̃3	
蟹	xæ3	
蠢	tɕʰyən3	
血	ɕyɛ7-	
血	ɕyɛ1=	
衅	ɕin5	
行	ɣɔ̃7-	量词
行	ʑin2	
行	tɕʰiã5	
行	ɣɔ̃2=	～银
衍	iɛ̃3	
銜	ɣã2	
街	kæ1	
衙	ia2	
衡	ɣən2	
衣	i1	
補	pu3	
表	piɤ3	
衫	sã1	
襯	tɕʰin5-	
襯	tsʰən5=	
衰	sæ1	
衷	tɕyən1	
袁	̃yɛ̃2	
襖	ɔ3	
袋	ɗɤ3-	
袋	ɗæ5	
袍	ɓɔ2	
袖	ɕiəu5	
袜	ua7	
被	ɓi5-	～迫
被	ɓi3	～子
被	pɤ5=	～打
被	ɓɤ5=	～迫
襲	ɕi7	
裁	zɤ2-	
裁	zæ2=	
裂	lɤ7-	
裂	liɛ7=	
裝	tɕyɔ̃1-	
裝	tsɔ̃1=	
襠	tɔ̃1	
裌	ka1	～衣
裌	tɕia7=	-衣
裕	y5	
裙	ʑyən2	
褲	kʰu5	
裱	piɤ3	
裳	ʑyɔ̃2	
裴	ɓɤ2	
裸	lo3	
裹	ko3	
製	tsɿ5	
褂	kua5	
褒	pɔ1	
褥	ʑiəu3	
褪	tʰɤ5	
襟	tɕin1	
襻	pʰã5	紐～
西	ɕi1	
要	iɤ1	～求
要	iɤ5	重～
覆	fu7	
見	tɕiɛ̃5	
觀	kuã1	参～
規	kuɤ1	
視	sɿ5	
覘	tã1	抬起手、足或者头
覽	lã3	
覺	kɔ5	睏～
覺	tɕyo7	知～
覺	tɕyo7	～悟
覺	tɕiɤ5=	
角	ko7-	三～板
角	ko1	～落
角	tɕyo7	三～板
解	kæ3	～开
解	kæ3	姓
解	kæ3	晓也
觸	tɕʰiəu7	
言	iɛ̃2	
託	tʰo1	
譽	y5	
誌	tsɿ5	
誓	sɿ5	
警	tɕin3	
譬	ɓi5	～喻
計	tɕi5	
訂	ɗin5-	约～
訂	tin5=	～书针
訃	vu5	
認	ʑin1-	
認	zən1=	
譏	tɕi1	
討	tʰɔ3	
讓	yɔ̃5	
訓	ʑyən5	
議	i5	
記	tɕi5	
講	kɔ̃3-	
講	pʰia1	
講	tɕiã3=	
諱	vɤ5	
許	ɕy3	
訛	o2	
論	lin2-	～语
論	lin5-	议～
論	lan2=	～语
論	lən5=	议～
訟	sən5	
諷	fən3	
設	sɤ7	
訪	xɔ̃3	
訣	tɕyɛ7	
证	tɕin5-	
证	tsən5	
評	ɓin2	
識	sɿ5	
詐	tɕʰya1	骗人
詐	tsa5	
訴	səu7-	
訴	səu5=	
診	tsən3	
詞	zɿ2	
詔	tɕiɤ5	
譯	i5	
試	sɿ5	
詩	sɿ1	
誠	ʑin2-	
誠	zən2=	
誅	tɕy1	
話	ua1-	
話	va5=	
誕	ɗã5	
詭	kuɤ3	
詢	ʑyən2	
該	kæ1	
詳	ʑiã2	
誡	kæ5	
誣	u1	
語	y3	
誤	u5	
誘	iəu5	
誨	vɤ5	
說	sɤ1-	
說	ɕyo7=	～话
誦	sən5	
請	tɕʰiã3-	
請	tɕʰin3=	
諸	tɕy1	
諾	yo7-	
諾	lo5	
讀	tʰəu5-	
讀	təu7=	
課	kʰo5	
誰	zɤ2	
調	ɗiɤ2	～和
調	tʰiɤ3	～动
調	tiɤ5	音～
諒	liã5	
談	ɗà2	
誼	i5	
謀	miɤ2-	
謀	mo2=	
謊	xɔ̃3	
諧	ʑiɛ2	
謂	uɤ5	
讒	zã2	
諺	iɛ̃5	
謎	min7-	
謎	mi7=	
謝	ʑia1-	
謝	ɕiɛ5=	
謝	sɤ5=	
謠	iɤ2	
謗	pɔ̃5	
謙	tɕʰiɛ̃1	
謹	tɕin3	
謾	mã5	
謬	miɤ5	
譚	ɗà2	
譜	pʰu3	
譴	tɕʰiɛ̃3	
谷	ku1-	
谷	ku7=	
豁	xo1	
豁	xo5=	～达
豆	ɗiɤ3-	
豆	ɗiɤ5=	
豉	zɿ3	豆～
豌	uã1	
豚	ɗən2	
象	ɕiã5	
豪	ɣɔ2	
豫	y5	
豹	pɔ5	
豺	zæ2	
貂	tiɤ1	
貌	tɕʰin3	
貌	mɔ5	
貌	tɕʰiã5	
貝	pɤ5	
貞	tɕin1-	
貞	tsən1	
負	fu5=	
貢	kən5	
財	zæ2	
責	tɕiɛ7-	
責	tsɤ7=	
賢	ʑiɛ̃2	
敗	ɓæ5	
賬	tɕyɔ̃5	
貨	xo5	
質	sɿ7	
販	fã5	
貪	tʰã1	
貧	ɓin2	
貶	piɛ̃3	
購	kɤ5	
貫	kɔ̃5	～脓:化～
貳	ɤ5	
賤	ʑiɛ̃1-	
賤	tɕiɛ̃5=	
貼	tʰiɛ7	
貴	kuɤ5	
貸	ɗæ5	
貿	miɤ5	
費	fɤ5	
賀	ɣo5	
賊	tɕʰiɛ5	
賈	tɕia3	姓
賄	vɤ5	
賂	ləu5	
贓	tsɔ̃1	
資	tsɿ1	
賒	ɕya1	
賦	fu5	
賭	təu3	
贖	ɕiəu5	
賞	ɕyɔ̃3	
賜	tsʰɿ5	
賠	ɓɤ2	
賴	læ1-	
賴	læ5=	
贅	tsɤ5	
賺	zã1	
賽	sæ5	
赞	tsã5	
贈	tsən5	
贏	iã2-	
贏	in2	
贏	in2=	
赤	tɕʰya1-	打～脚
赤	tsʰɿ5=	
赦	sɤ5	
走	tɕiɤ3	(跑之意)
赴	fu5	
趙	ʑiɤ5	
趕	kã3	
起	tɕʰi3	
趁	tɕʰin5-	
趁	tsʰən5=	
超	tɕʰiɤ1	
越	yɛ1-	
越	yɛ7=	
趨	tɕʰiəu1	
趟	ɗɔ̃5	
趣	tɕʰy5	
足	tsəu7	
趴	pʰa1	～饱:很饱
趾	tsɿ3	
躍	iɤ5	
蹌	tɕʰiã5	
跌	tɤ7-	
跌	tiɛ7=	
跍	kʰu7	蹲下
跑	pʰɔ3=	
跘	pã5	～跤
跛	pʰo1	
距	tɕy5	
跟	tsiɛ̃1-	
跟	kən1	
跤	kɔ1-	
跤	tɕiɤ1=	
跨	kʰua7	
跪	kʰuɤ3	
路	ləu1-	
路	ləu5=	
跳	tʰiɤ5	
踐	ʑiɛ̃5	
踉	tɕʰiã5	
踏	tʰa7	
踢	tʰia1-	
踢	tʰi1=	
踩	tɕiã5-	
踩	tsʰæ3=	
蹤	tsən1	
踮	tin7	
蹄	ɗi2	
蹘	lɔ1	跷腿或抄手,《集韵》平声交的力交切:""走也，一曰足相交
蹡	tɕʰiã5	走路不稳;[物
蹦	pən5	
蹬	tiɛ̃7	台阶
蹭	tsʰən5	
蹲	tən1	
躁	tsʰɔ5	
身	ɕin1-	
身	xa1	
身	sən1=	
躬	kən1	
軀	tɕʰy1	
躲	to3	
躺	tʰiã3-	
躺	tʰɔ̃3=	
