#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
孫	suŋ1	(白)]霜[(白)]雙[(白)
孵	fu1	～小雞]呼復複腹复覆彿窠[鳥唧～：鳥窩]棵[一～樹
學	io2	(文)]贏[(白)]爺[(白)父：阿～
學	vu7	(白)～堂]服[(白)]伏[(白)
孽	ȵie2	(文)
孽	ȵie7	(白)
它	du2	量詞：一～線]砣[秤～]被[(訓讀)～狗齩呱一口
宅	ze2	
宇	y3	
守	ɕiəu3	
安	ŋan1	(文)
宋	suŋ5	
宏	ɣuŋ2	
宕	daŋ6	
宗	tsuŋ1	
官	kue1	(白)]干[(白)]肝[(白)
官	kuan1	(文)
宙	dʑiəu6	
定	dio6	(白)
宜	ȵi2	
客	kʰe2	(文)
宣	ɕyẽ1	
室	ʃi1	(文)]恤息媳熄[(文)]食[(文)
室	ʃi7	(白)]失[(白)]實[(白)
宦	uan5	
宰	tsai3	
害	ɣai6	
宴	iẽ5	
宵	ɕiau1	
家	tɕia1	(文)]加嘉傢齋佳夾[(文)]裌[(文)
容	yŋ2	
宿	su2	(文)星～；住～
宿	su7	(白)
寂	dʒi2	
寅	in2	
密	mi1	(文)]蜜[(文)]眯[閉：～倒眼睛
密	mi7	(白)
寇	kʰəu5	
富	fu5	
寐	mei5	
寒	ɣan2	
寞	mo2	(文)
察	tsʰa1	
寡	kua3	
寢	tɕʰin5	
寥	liau2	
寧	ȵin2	
寨	ʑya6	(白)
寨	zai6	(文)
審	ɕin3	
寫	ɕie3	(文)]捨[(文)]少[(白)多～
寫	ɕio3	(白)]捨[(白)]醒[(白)
寬	kʰue1	(白)
寬	kʰuan1	(文)
寵	tsʰuŋ3	
寸	tsʰuŋ5	(白)]忖[(白)打估～：估量]銃[(文)
寺	zɿ6	
將	tɕiaŋ1	
專	tɕyẽ1	
尊	tsən1	
尋	ʑin2	
尋	dai3	(訓讀)
對	tuei5	
導	dau6	
小	ɕiau3	
少	ɕiau3	(文)]擾繞[(文)]曉[(文)
少	ɕiau5	～年
尖	tɕiẽ1	(文)]沾粘[～貼]瞻占[(文)～米
尚	ʑiũ3	(白)
尚	ʑiaŋ6	(文)
尤	iəu2	
尬	kai5	
就	ʑiəu6	
尷	kan5	
尸	sɿ1	
尹	yn3	
尺	tʃʰi1	(文)
尼	ȵi2	
尾	mi3	(白)～巴
尾	vei3	(文)
尿	ȵie5	(白)
尿	ȵiau5	(文)
局	dʑy2	
屁	pʰi5	
屆	kai5	
屈	tɕʰy1	
屋	u1	(文)
屋	u7	(白)
屍	sɿ1	
屎	sɿ3	
屏	bin2	
屙	u1	
屜	tʰi5	
屢	ləu3	
層	zaŋ2	(白)一～樓
履	li3	
屬	zu2	
屯	dən2	
山	sa1	(白)
山	san1	(文)
岔	tsʰa5	(文)]菜[(白)]蔡[(白)
岔	tsʰo5	(白)]措錯[(文)]撐[(白)
岩	ŋo2	(白)
岩	ŋan2	(文)
島	tau3	
峽	ɕia1	
崇	zuŋ2	
崑	kʰuən1	
崔	tsʰuei1	
崖	ŋai2	
崙	lən2	
崩	pən1	(文)
崩	paŋ1	(白)～呱陡坡：陡坡崩塌了
崽	tsai3	兒子
嵌	kʰan1	
嵩	suŋ1	
嶺	lio3	(白)
嶺	lin3	(文)
川	tɕʰyẽ1	
州	tɕiəu1	
巡	zən2	
巢	dzau2	(文)
左	tsu3	(白)
左	tso3	(文)
巧	tɕʰiau3	
巨	dʑy6	
巫	vu2	
差	tsʰɿ1	參～
差	tsʰa1	(文)～別]叉[(文)]杈[(文)
差	tsʰai1	出～
己	tʃi3	
已	i3	
巳	zɿ6	辰～
巴	pa1	(文)]芭[(文)]粑[(文)
巴	po1	(白)]芭[(白)]粑[(白)
巷	ɣaŋ6	
市	zɿ6	
布	pu5	
帆	ban2	
帆	van2	
帕	pʰa5	
帖	tʰai7	(白)]貼[(白)]鐵[(白)
帚	tɕiəu3	
帛	pe2	
帝	ti5	
帥	suai5	
師	sɿ1	
席	dʒi2	(文)
帶	ta5	～子
帶	tai5	(文)～隊
常	dʑiaŋ2	
帽	mau5	
幅	fu5	
幔	man5	
幟	tsɿ5	
幣	pi5	
幫	paŋ1	
干	kan1	(文)]肝[(文)]乾[(文)
平	bio2	(白)]坪[(白)]評[(白)
平	bin2	(文)]坪[(文)]評[(文)
年	ȵie2	(白)
年	ȵiẽ2	(文)
幸	in5	
幺	iau1	～二三
幻	uan5	
幼	iəu5	
幽	iəu1	
幾	tʃi3	～個；～乎
庇	pʰi3	
床	dzuŋ2	(白)]叢崇從[跟～]松[(白)～毛鬚鬚：松針
床	dzuaŋ2	(文)
序	dʑy6	
底	ti3	(文)
底	tai3	(白)
店	tiẽ5	(文)
庚	kən1	
府	fu3	
座	dzu6	(白)一～屋
座	dzo6	(文)～位
庫	kʰu5	
庭	din2	
庵	ŋan1	
庶	ɕy5	
康	kʰaŋ1	
庸	yŋ2	
廁	tsʰɿ5	～所
廈	ʑia6	～門
廉	liẽ2	
廊	laŋ3	
廓	ko1	(文)
廓	ku7	(白)]角[(白)]穀[(白)
廚	dʑy2	
廝	sɿ1	
廟	mie5	(白)]面[(白)]麵[(白)
廠	tɕʰiũ3	(白)
廢	fei5	
廣	kuaŋ3	
廳	tʰio1	(白)～屋：客廳
廳	tʰin1	(文)
廷	din2	
弄	luŋ5	
弊	pi5	
式	ʃi1	
引	in3	
弘	ɣuŋ2	
弟	di6	(文)～～]隸第[(文)門～]遞地[(文)～理
弟	dai6	(白)阿～
弦	dʑyẽ2	
弱	ʑio2	(文)]晴[(白)]成[(白)做～呱哩：做成了
弱	ʑiu7	(白)
張	tɕiaŋ1	
強	dʑiaŋ2	
弼	pʰi3	
彈	da2	(白)
彈	dan2	(文)
彌	mi2	
彎	uan1	(文)
彙	uei5	
形	in2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	bən2	(白)
彭	buŋ2	(文)
影	in3	(文)
彷	faŋ3	
役	y2	
彼	pi3	
往	uaŋ3	
征	tɕin1	
待	dai6	
很	ɣən3	(文)
很	ɣaŋ3	(白)
律	ly2	
後	ɣau3	(白)
後	ɣəu6	(文)]厚[(文)]后[皇～
徑	tɕin1	
徒	dəu2	(白)]屠[(白)]圖[(白)
得	te2	(文)
得	ti7	(白)好～很
徙	ʃi3	
徛	dʒi3	站立：～倒
從	tsʰuŋ1	～容
御	y5	
循	zən2	
微	vei2	
德	te2	
徹	tɕʰie1	
徽	fei1	
心	ɕin1	
忌	dʒi6	
忖	tsʰən5	(文)]寸[(文)]襯撐[(文)
忘	muŋ1	(白)
忘	baŋ2	(文)
忠	tsuŋ1	
快	kʰuai5	(文)
念	ȵiẽ5	
忽	fe1	
忿	fən5	
怒	lu5	
怕	pʰa5	(文)
怕	pʰo5	(白)
怖	pu5	
思	sɿ1	
怠	dai6	
急	tʃi1	(文)]級[(文)]吸質[(文)
急	tʃi7	(白)]級[(白)]質[(白)
性	ɕin5	
怨	yẽ5	
怪	kua5	(白)]掛[(文)]卦[(文)
怪	kuai5	(文)
怯	tɕʰie7	(白)
恃	zɿ6	
恆	ɣən2	
恐	kʰuŋ3	
恕	ɕy5	
恢	fei1	
