#漢字	音標	解釋
□	kiu3	绕线
谷	kuk7a	
豆	tʰɐu5	
豉	si5	
豌	wun3	
豚	tʰun5	
象	tsʰiŋ5	
豪	hau2	
豫	ji5	
豹	pau5	
豺	tsʰai2	
貂	tiu1	
貌	mau5	
貝	pui3	
貞	tsɐn1	
負	fu5	
貢	kuŋ3	
財	tsʰai2	
責	tsɛk7b	
賢	hin5	
敗	pʰai5	
賬	tsiŋ3	
貨	wo3	
質	tsɐt7a	
販	fan3	
貪	tʰam1	
貧	pʰɐn2	
貶	pin3	
貫	kun3	
賤	tsʰin5	
貼	tʰip7a	
貴	kʷɐi3	
貸	tʰai5	
貿	mɐu5	
費	fɐi3	
賀	ho5	
賊	tsʰak8	
賈	ka3	姓
賄	fui3	
賂	lak7b	
贓	tsaŋ1	
資	tsi1	
賒	sɛ1	
賦	fu5	
賭	tu3	
贖	suk8	
賞	siŋ5	
賠	pʰui2	
賴	lai5	
贅	tsʰui5	
賺	tsʰan5	
贈	tsʰaŋ5	
贏	jiŋ2	
赤	tsʰɛk7a	
赦	sɛ2	
赦	sɛ3	
赫	hak7a	
走	tsɐu3	
赴	fu5	
趙	tsʰiu5	
趕	kan3	
起	hi3	
趁	tsʰɐn3	
超	tsʰiu1	
越	jut8	
趨	tsʰiu1	
趟	tʰaŋ3	
趣	tsʰi3	
足	tsuk7a	
趼	kan1	
趾	tsʰi3	
躍	ŋɛk7b	
跌	tit7a	
跑	pʰau3	
跛	pɐi1	
跟	kɐn1	
跡	tsik7a	
跨	kʰʷa1	
跪	kʰʷɐi5	
路	lu5	
跳	tʰiu5	
踐	tsin3	
踏	tʰap8	
踢	tʰik7a	
蹤	tsuŋ1	
踱	tʰu5	
蹄	tʰɐi2	
躡	nip7b	
蹲	tun1	
躁	tsʰau3	
身	sɐn1	
躬	kuŋ1	
躱	to3	
躺	tʰaŋ3	
車	ki1	~马炮
車	tsʰɛ1	马~
軋	tsat7b	
軌	kʷɐi3	
軒	hin1	
轉	tsun2	~圆圈
轉	tsun2	~眼
軛	ŋak7a	
輪	lɐn2	
軟	ŋiun3	
轟	wuŋ1	
軸	tsʰuk8	
輕	hiŋ1	
載	tsai3	~重
載	tsai3	年~
載	tsai3	满~
轎	kʰiu5	
輔	fu5	
輛	liaŋ3	
輩	pui3	
輝	fi1	
輯	tsʰɐp7a	
輸	su1	
輸	si1	运~
轅	jun2	
轄	hɐt8	
轍	tsʰit7a	
辛	ɬɐn1	
辭	tsʰi2	
辟	pʰik7a	
辣	lat7b	
辨	pin3	
辯	pin3	
辮	pin1	
辰	sɐn2	
辱	juk7a	
邊	pin1	
達	tʰat8	
遷	tsʰin1	
迂	ji1	
迅	ɬɐn3	
過	ko3	
邁	man5	
迎	ŋiŋ5	
運	wɐn5	
近	kʰɐn5	
還	wan2	~原
還	wan2	~有
進	tsɐn3	
遠	jun3	
違	wɐi2	
連	lin2	
遲	tsʰi3	
迫	pʰɛk7b	
述	ɬɐt8	
迷	mɐi2	
迸	pʰiŋ3	
追	tsui1	
退	tʰui3	
送	ɬuŋ2	
適	sik7a	
逃	tʰau2	
逆	nik8	
選	ɬun3	
遜	ɬun5	
透	tʰɐu3	
逐	tsʰuk8	
遞	tʰɐi5	
途	tʰu2	
逗	tɐu3	
通	tʰuŋ1	
逛	kuŋ5	
逝	sɐi5	
逞	tsʰiŋ3	
速	tsʰuk7a	
造	tsʰau5	
逢	fuŋ2	
逵	kʰʷɐi2	
逼	pik7a	
逾	ji2	
遁	tʰɐn5	
遂	ɬui5	
遇	ji5	
遍	pʰin3	
遐	ha2	
道	tʰau5	
遺	wɐi5	
遣	hin3	
遭	tsau1	
遮	tsɛ1	
遵	tsun1	
遼	liu5	
避	pʰi5	
邀	iu1	
鄧	tʰaŋ5	
那	na1	
邦	puŋ1	
邪	tsʰɛ2	
郵	jɐu2	
邵	siu5	
鄰	lɐn2	
郁	juk7a	
郊	kau1	
郎	laŋ2	
鄭	tsʰiŋ5	
郡	kʰʷɐn2	
部	pʰu5	
郭	kuk7b	
都	tu1	
鄂	ŋak7b	
鄙	pʰi3	
酉	jɐu5	
酌	tsiak7b	
配	pʰui3	
酒	tsɐu3	
酣	hɐm2	
酥	ɬu1	
酪	lak7b	
酬	tsʰɐu2	
酵	hau1	
酷	kʰau3	
酸	ɬun1	
釀	niŋ2	
醇	sɐn5	
醉	tsui3	
醋	tsʰu3	
醒	ɬiŋ3	
醭	puk8	
采	tsʰai3	
釉	jɐu5	
釋	ɬik7a	
里	li3	
重	tsʰuŋ2	~复
重	tsʰuŋ5	轻~
野	jɛ3	
量	liŋ2	~长短
量	liŋ5	数~
金	kɐm1	
釜	fu5	
鍊	lin5	
鑑	kam3	
針	tsɐm1	
釘	tiŋ1	~住
釘	tiŋ1	铁~
釣	tiu2	
釵	tsʰai1	
鈍	tʰɐn5	
鈔	tsʰau1	
钟	tsuŋ1	
鋼	kaŋ3	
鋼	kaŋ3	刀钝了杠
欽	hɐm1	
鈞	kʷɐn1	
鉤	kɐu1	
錢	tsʰin2	
鉗	kʰim2	
鉢	put8	
鈸	pʰat8	
鑽	tsun2	动词
鑽	tsun2	木工用具
鐵	tʰit8	
鈴	liŋ2	
鉛	jun2	
鐸	tʰu5	
鐺	tsʰɛŋ1	
銅	tʰuŋ2	
鍘	tsap8	
銘	miŋ2	
鉸	kau3	
鏟	tsʰan3	
銀	ŋɐn2	
鑄	tsʰu5	
鋪	pʰo1	~设
鋪	pʰu3	店~
銷	ɬiu1	
鎖	ɬo3	
鋤	tsʰo2	
鍋	ko1	
鏽	ɬɐu3	
銼	tsʰo5	
鋒	fuŋ1	
銳	jui5	
錯	tsʰo3	
錫	kuk8	
錫	ɬik7a	
鑼	lo2	
錘	tsʰui1	
錐	tsui1	
錦	kɐm3	
錠	tʰiŋ5	
鍵	kin3	
鋸	ki3	
鍛	tʰun5	
鍍	tʰu5	
鎮	tsɐn3	
鑷	nip7b	
鎔	juŋ2	
鏡	kiŋ3	
鑊	wuk7b	
鐲	tsuk8	
鐮	lim2	
鑲	ɬiŋ1	
長	tsʰiŋ2	~短
長	tsiŋ3	生~
門	mun5	
閂	san1	
閃	sim3	
閉	pɐi3	
問	mɐn5	
闖	tsʰaŋ3	
閏	ŋiɐn5	
闲	han2	
間	kan3	~断
間	kan1	中~
悶	mun5	
閘	tsʰap8	
鬧	nau5	
閨	kʷɐi1	
聞	mɐn2	
閩	mɐn2	
閣	kɛk7b	
鬮	kɐu1	
閲	jut7a	
閹	jim1	
閻	ŋin2	
闊	hut8	
阜	fu5	
隊	tʰui5	
阮	wun3	
防	fuŋ2	
陽	jiŋ2	
陰	jɐm1	
陣	tsʰɐn5	
阻	tso3	
阿	a1	
附	fu5	
際	tsɐi3	
隴	luŋ3	
陳	tsʰɐn2	
陋	lɐu5	
陌	pɛk7b	
降	kaŋ3	~伏
降	kaŋ3	下~
限	hɐn5	
陝	sim3	
陛	pɐi3	
陡	tɐu3	
院	jun5	
險	him3	
陪	pʰui2	
陵	liŋ2	
陶	tʰau2	
陷	hɐm2	
陸	luk7a	
隆	luŋ2	
階	kai1	
隨	tsʰui2	
隱	wun3	
隔	kɛk7b	
障	tsiŋ3	
隧	ɬui5	
隶	lɐi5	
難	nan2	~易
難	nan2	患~
雀	tsiak7b	
雁	ŋan5	
雄	huŋ2	
雅	ŋa3	
集	tsʰɐp7b	
雇	ku3	
雉	tsʰi1	
雌	tsʰi1	
雍	juŋ1	
雛	tsʰo1	
雛	tsɐu1	
雕	tiu1	
雨	wu3	
雪	ɬut8	
零	liŋ2	
雷	lui2	
雹	pau1	
霧	mu5	
需	ɬui1	
震	tsɐn3	
霍	kʰɛk8	
霜	soŋ1	
霞	ha2	
露	lu5	
霸	pa5	
青	tsʰiŋ1	
靖	tsʰiŋ5	
靜	tsʰiŋ5	
非	fi1	
靠	kʰau3	
靡	mi2	
面	min5	
革	kɛk7b	
靴	hɛ1	
鞋	hai2	
鞍	an1	
鞘	ɬiu1	
鞠	kʰuk7a	
鞭	pin1	
韌	ŋiɐn5	
韓	han2	
韭	kɐu3	
音	jɐm1	
韻	wɐn5	
韶	siu5	
頁	jɛp7a	
頂	tiŋ3	
頃	kʰiŋ3	
項	haŋ5	
順	sɐn5	
须	ɬui1	
頑	man2	
顧	ku3	
頓	tɐn5	
頒	pʰan1	
頌	tsʰuŋ5	
預	ji5	
領	liŋ3	
頗	pʰo1	
頸	kiŋ3	
頻	pʰɐn2	
穎	jɐn3	
顆	kʰo1	
題	tʰɐi2	
顔	ŋan2	
額	ŋɛk7b	
顛	tin1	
風	fuŋ1	
颼	ɬɐu1	
飄	pʰiu1	
飛	fi1	
食	sik8	
餈	tsʰi2	
餐	tsʰan1	
饥	ki1	
飩	tʰun5	
飯	fan5	
飲	ŋiɐm1	
餞	tsʰin5	
飾	sik7a	
飽	pau3	
飼	tsʰi5	
飴	ji2	
餌	ŋi3	
饒	jiu1	
餉	hiŋ3	
餅	piŋ3	
餑	pʰut7a	
餓	ŋa5	
餓	ŋo5	
餛	wɐn2	
餡	hɐm2	
館	kun3	
餿	ɬɐu1	
饞	sam2	
餾	lɐu2	
饅	man5	
首	sɐu3	
香	hiŋ1	
馨	hiŋ1	
馬	ma3	
馱	tʰo2	
馳	tsʰi3	
驅	kʰi1	
駁	puk7b	
駛	sɐi5	
駒	kʰi1	
駐	tsʰu5	
駝	tʰo2	
駕	ka3	
駡	ma5	
驕	kiu1	
駱	lak7b	
駭	hɐt7b	
驗	nim5	
騎	kʰi2	
騙	pʰin3	
騷	ɬau1	
騾	lo2	
驟	tsʰau5	
骨	kʷɐt7a	
髓	ɬui5	
高	kau1	
髻	kɐi3	
鬃	tsuŋ1	
鬢	pɐn1	
鬚	ɬu1	
鬼	kʷɐi3	
魁	fui1	
魂	wɐn2	
魄	pʰɛk7b	
魏	ŋɐi5	
魔	mo1	
魚	ŋiu5	
魯	lu3	
鮎	nim2	
鮑	pau1	
鮮	sin1	~少
鮮	sin1	新~
鯉	li3	
鯽	tsik7a	
鯨	kʰiŋ2	
鰭	kʰi2	
鰥	kun1	
鰾	pʰau1	
鱉	pit7a	
鱗	lɐn2	
鳥	niu3	
鳩	kɐu1	
雞	kɐi1	
鳴	miŋ2	
鴉	a1	
鸕	lu2	
鴨	ap7b	
鴿	kɐp7b	
鸞	lun2	
鴻	huŋ2	
鵝	ŋo2	
鵡	mu3	
鵲	tsiak7b	
鷂	jiu1	
鶴	hak8	
鸚	iŋ1	
鷺	lu5	
鷹	iŋ1	
鹿	luk7a	
麝	sɛ5	
麥	mɛk7b	
麩	fu1	
麻	ma2	
黃	wuŋ2	
黍	su3	
黎	lɐi2	
黏	nim1	
黑	hak7a	
默	mɐk8	
鼎	tiŋ3	
鼓	ku3	
鼠	su3	
鼬	jɐu5	
鼻	pʰɐt7b	
鼾	han3	
齈	nuŋ5	
齊	tsʰɐi2	
齒	tsʰi3	
龍	luŋ2	
龕	hɐm1	
龜	kʷɐi1	
