#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
戶	wu4	户口
戾	li8	戾戾:风声
房	ɦuɔ2	房屋
所	so3	场所
扁	pʰi1	一叶扁舟
扁	pi3	扁担
扇	ɕi5	电扇
扈	wu4	随从
扉	fi1	扉页
手	ɕiəu3	手段
才	dze2=	天才
才	dze2	纔,方始
扎	tsa7	挣扎
扎	tsa7	捆绑
扎	tsa7	驻扎
扑	pʰo7	相扑
打	tɛ3	打击
扔	ʰləŋ1-	扔包扔开
扔	ʑiəŋ2=	抛掉,抛弃
托	tʰo7	拜托
扛	ɡuɔ6-	交叉着搁脚儿扛起抖抖扛条儿
扛	kuɔ1	扛鼎之作
扣	kʰau5	折扣
扦	tɕʰi1	插
執	tsai7	执行
擴	kʰuɔ5	
擴	kʰo7	扩充
捫	maŋ2	扪心自问
掃	sə5	祭扫
揚	jiɛ2	表扬
扭	ȵiau4	怩
扭	ʰȵiau1	扭一把
扭	ȵiau4	扭转
扮	pa5	扮演
扯	tsʰɿ3	拉拉扯扯
擾	ʑyə4	打扰
扳	pa1	扳手
扴	ka3	~臀
扶	vu2	扶助
批	pʰi1	批评
扼	a7	扼杀
找	tsuɔ3	寻找
承	ʑiəŋ2	承认
技	dzɿ4	技术
抄	tsʰuɔ1	抄写
抉	tɕy7	抉择
把	po3	把守
把	po5	把柄
抑	ʰjiai7	抑制
抒	ɕʮ1	抒情
抓	tsuɔ1	抓紧
投	dau2	投资
抖	tau3	抖动
抗	kʰuɔ5	对抗
折	tɕi7	折断挫折
折	ʑi8	折本
撫	fu3	抚摩
摶	dø2	把可塑的捏成团
摳	kʰau1	抠门
掄	laŋ2	选拔
搶	tɕʰiɛ3	抢劫
護	wu6	爱护
報	pə5	报告
抨	pʰɛ1	抨击
披	pʰi1	披风
抬	de2	抬轿
抯	tso3	拿取
抱	bə4	怀抱
抵	ti3	抵抗
抹	ma8	抹布
抹	mø8	抹平
抻	tsʰaŋ1	拉长
押	a7	扣押
抽	tɕʰiəu1	抽象
抿	məŋ2	合拢
拂	fai7	擦拭拂尘
拄	tɕʮ3	棒拄
擔	ta1	负担担心
擔	ta5	重担
拆	tsʰɛ7	拆散
拇	mu4	拇指
拈	ʰȵiɛ1	拈花一笑
拉	la8-	拉尿
拉	ʰla7=	拖拉
抛	pʰuɔ1	抛弃
拌	bø4	拌嘴
拍	pʰɛ7	拍手
拎	ʰləŋ1	提
拐	kɛ3	拐杖拐骗
拒	dʑʮ4	拒绝
拓	tʰo7	开拓。落魄:落拓
拓	tʰa7	拓片
拔	bo8	提拔
拖	tʰu1=	拖拉机
拖	tʰɛ1	鞋拖
拗	uɔ5	两个人拗搭
拗	uɔ1	嬉嬉拗起
拗	uɔ3	棒儿拗断爻
拘	tɕʮ1	拘留
拙	dʑy8-	人老爻拙显我拉老公拙显
拙	tɕy7=	死拙
招	tɕyə1	招呼
拜	pɛ5	拜访
擬	ŋ̍4	虚拟
攏	loŋ4	收拢
揀	ka3	拣选
擁	ʰjyoŋ3	拥护
攔	la2	阻拦
擰	ȵiaŋ2	扭,绞
撥	pø7	挑拨
擇	dzɛ8	选择
括	ko7	包括
拭	sɿ7	揩擦
拮	tɕi7	拮据:操作劳苦
拯	tɕiəŋ3	拯救
拱	tɕyɔ3	打躬作揖
拱	koŋ3	拱桥
拳	dʑy2	拳头
拴	sø1	捆绑
拷	kʰə3	头拷药
拷	kʰə3	拷打拷问
拼	pʰø1	拼命
拼	pʰəŋ1	拼命居
拽	tsai5	拉扯
拽	ji8	拖;拉牵引
拾	zai8	收拾
拿	na2	拿手
持	dzɿ2	保持
持	zaŋ2	摘取
挂	ko5	牵挂
指	tsɿ3	指挥
挈	tɕʰi7	提起
按	ø5	按语
挎	kʰo5	挎包
挑	dyə2	一种烧水器具
挑	tʰyə3	挑选
挑	tʰyə1	高挑
挖	ʰwa7	挖苦
摯	tsɿ5	诚挚
掗	o5	强与
撾	tso1	敲打
撾	ʰwu1	老挝
撻	tʰa7	鞭挞
挾	ka7=	挟菜
挾	dʑi8=	挟菜
挾	ɡa8-	脚下挟手弯挟
撓	nuɔ2	阻挠
擋	tuɔ3	抵挡
掙	tsɛ5	勉强支撑会挣显
掙	tsɛ1	挣扎
擠	tsɿ5	排挤
揮	ɕʮ1	指挥
揮	fai1	挥挥手
挨	a1	,挨近
挨	ŋa2	拖延
挪	no2	挪用
挫	tsʰo5	挫折
振	tsaŋ5	振动
挲	so1	抚摩
挹	ʰjiai7	吸取
挺	tʰəŋ3	坚挺
挽	ma4-	挽联挽歌
挽	wa4=	挽回
捅	tʰoŋ3	戳刺
捆	kʰaŋ3	成捆
捉	tɕyo7	捉贼
捋	lai8	用手顺着长条状物向一端抹过去
捌	po7	八的大写
捍	ɦø6	捍卫
捎	suɔ1	捎带
捎	ɕyə1	揭开
捏	ȵia8	捏造
捐	tɕy1	捐献
捕	bu6	逮捕
撈	ʰlə1	从水中取物
撈	lə2	打捞
損	sø3	损失
撿	tɕi3	拾捡
換	wa6	交换
搗	tə3	捣乱
捧	pʰoŋ3	捧场
捩	li8	扭转,拗断
据	tɕʮ1	拮据
据	tɕʮ5	根据
捱	ŋa2	拖延
捶	dʑʮ2	敲打
捷	ʑi8	捷报
捺	na8	笔捺
捻	ȵiɛ6	用手指搓或转动捏揉
捽	zai8	抓,揪
掀	ɕiaŋ1	掀门帘
掂	tiɛ1	掂量
掇	tø7	拾取掇凳
授	ʑiəu6	教授
掉	dyə4	掉钞票
掉	dyə6	掉落
掌	tɕiɛ3	掌握
掏	də2	掏腰包
掐	kʰa7	掐指人以指甲按或切人
排	bɛ2	排除
掖	jiai8	挟持奖掖
掘	dʑy8=	挖掘
掘	dʑiai8	掘井
掠	liɛ8	掠夺
探	tʰø5	探索
掣	tsʰɿ5	掣肘
接	tɕi7	交接
控	kʰoŋ5	控制
推	tʰai1	推动
掩	ʰji3	掩护
措	tsʰo5	措施
掫	tsʰau3	伺机
掬	tɕiəu7	以双手捧取
掮	ɕi1	掮动
掮	dʑi2	掮客
掰	pɛ1	掰饼
擄	lo4	俘获
摑	kai7	打耳光子
擲	dzɿ8=	一掷尿
擲	dʑi8	投掷掷骰子
撣	ta3	掸新
摻	tsʰø1	混杂
摜	ɡa6-	飞机掼炸弹掼乌纱帽
掽	bɛ6	轻轻触碰
揄	jʮ2	挥动
揆	dʑʮ4	阁揆
揍	tsau5	挨揍
描	myə2	描写
提	di2	拎起
提	di2	提防提高
插	tsʰa7	插队
揖	ʰjiai7	作揖
揠	a7	揠苗助长
握	o7	把握
揣	tsʰai3	揣摸
揩	kʰa1	揩油
揪	tɕiəu1	揪心
揭	dʑi8	按揭
揭	tɕʰi5	揭露
揭	tɕi7	揭露
援	jy2	援助
揶	ji2	揶揄
揹	pai1	
揹	pai5	将布一一层粘在一起裱楷
攬	la4	独揽
撳	tɕʰiaŋ5	用手按
攙	tsʰa1	搀扶
擱	ɡo8	搁臀
擱	ko7=	搁浅
摟	ʰlau1	搂搜
摟	lau4	搂抱
攪	kuɔ3	搅拌搅调
搏	po7	博斗
搐	tɕʰiəu7	鬼搐风
搓	so1-	搓绳
搓	tsʰo1=	搓板
搔	sə1	搔痒
搙	no8	捻着
搜	sau1	搜索
搝	tɕʰiau3	~新妇
搞	kə3	做
搠	ɕyo7	涂抹
搣	mi8	拇指与别指指肚相捻城螺丝
搦	ȵia8	握,按压
搬	pø1	搬弄是非
搬	bø2	搬运
搭	ta7	搭车
攜	jʮ2	携手
搽	dzo2	搽粉
摁	ø5	用手按压
攝	sɿ7	摄影
摆	pɛ3	摆动
摇	jyə2	动摇
擯	pəŋ5	摈弃
攤	tʰa1	饭摊
摒	pəŋ5	摒弃
摔	sai7	摔跤
摘	tsɛ7	摘要
摞	lo6	绳摞起
摧	tsʰai1	摧残
摩	mu2	摩擦
摩	mu6	摩崖
摸	mo8	摸索
摹	mu2	临摹
撂	liɛ8	放;丢
撅	tɕy7	撅头:一种掘土农具
撇	pʰi7	撇捺
撑	tsʰɛ5	~客
撑	tsʰɛ1	俯卧撑
撒	sa7	撒手
撕	sɿ1	撕破
撞	dʑyɔ6	撞钟
撤	dʑi8	撤退
撬	tɕʰyə1	翘起
播	pu5	发播
播	pu5	播送
撮	tsʰai7	用三指抓取一撮米一小撮
撰	zø4	编撰
攆	li4	撵走
擷	ji8	摘取
撼	ɦø4	震撼撼动
擀	ky3	擀面杖
擂	lai2	~台
擅	ʑi6	擅自
操	tsʰə5	体操曹操
操	suɔ3	推搡
操	tsʰə1	操作
擎	dʑiaŋ2	擎天
擒	dʑiaŋ2	力擒
擘	pɛ7	巨擘
擘	pʰɛ7-	擘饼
擻	sau3	抖擞:搜索
擢	do8-	擢起当官
擢	dʑyo8	擢升
擦	tsʰa7	摩擦
攀	pʰa1	攀登
攢	tsø3	积攒
攢	zø6	簇集,拼凑
攘	ȵiɛ4	排斥
攥	tsai7	握,抓
支	tsɿ1	支持
收	ɕiəu1	丰收
攸	ʰjiau1	攸关
改	ke3	修改
攻	koŋ1	攻击
放	huɔ5	解放
政	tɕiəŋ5	政治
故	ku5	缘故
效	ɦuɔ6	效果
敵	di8	仇敌
敏	məŋ4	灵敏
救	tɕiau5	救助
敕	tsʰɿ7	整饬
敖	ŋə2	游玩
教	kuɔ5	教育
斂	li4	收敛
敝	bi6	敞帚自珍
敞	tɕʰiɛ3	敞开
敢	kø3	勇敢
散	sa5	分散散会
散	sa3	散漫
敦	tø1	伦敦
敬	tɕiaŋ5	尊敬
數	so3	数一数
數	ɕʮ3	数髻
數	so5	数字
敲	kʰuɔ1	敲诈
整	tɕiəŋ3	整齐
敷	fu1	敷衍
文	vaŋ2	文化
齋	tsɛ1	斋堂
斌	pəŋ1	文武兼备
斐	fi3	斐然成章
斑	pa1	色斑
斗	tau3	北斗
斗	tau5	斗争
料	lyə6	原料
斛	ɦu8	鲜石斛
斜	zɿ2	倾斜
斜	zo2	斜视
斟	tsaŋ1	斟酌
斤	tɕiaŋ1	斤两
斥	tsʰɿ7	排斥
斧	fu3	斧头
斬	tsa3	处斩
斫	tɕia7	斫柴
斷	tø5=	决断
斷	daŋ4	断气断筋,脚骨倒断爻
斷	dø4=	断续
斯	sɿ1	厮役
斯	sɿ1	斯文
新	saŋ1	新旧
方	huɔ1	方向
於	jʰʮ1	叹词,表示赞美
施	sɿ1=	实施
施	sɿ5-	布施
旁	buɔ2	旁边
旅	lu4	旅游
旋	ʑy2	旋转
旋	ʑy6	镞回旋着切削
旌	tɕiəŋ1	旗帜
旎	ȵi4	旖旎
族	ʑiəu8	民族
旖	ʰji3	旖旎
旗	dzɿ2	红旗
無	mu2	南无
無	vu2	无中生有
既	tsɿ5	既然
日	ne8-	日子
日	ȵi8-	日头
日	zai8	日本
日	ȵiai8	生日
旦	ta5	元旦
舊	dʑiau6	新旧
旨	tsɿ3	圣旨
早	tsə3	早晨
旬	ʑyoŋ2	中旬
旭	ɕiəu7	旭日东升
旱	ɦø4	大旱
時	zɿ2	时间
曠	kʰuɔ5=	
曠	kʰuɔ5	~课
曠	ɡuɔ2-	工夫旷爻不少,功课旷爻
暘	jiɛ2	日出
旺	ɦuɔ6	兴旺
旻	məŋ2	天空
昂	ŋuɔ2	昂首挺胸
昆	kʰaŋ1-	昆剧
昆	kaŋ1=	昆仲
昆	kø1=	灵昆岛,永嘉昆阳乡
昇	ɕiəŋ1	升,登
昉	huɔ3	天方明
昊	ɦə4	广漠的天宇
昌	tɕʰiɛ1	昌盛
明	məŋ2=	光明
明	maŋ2-	明朝,明年
昏	faŋ1	昏君
昏	hø1	黄昏
易	jiai8	交易
易	ji6	容易
昔	sɿ7	今昔
曇	da2	昙花一现
星	ɕiəŋ1	明星
映	ʰjiaŋ5	反映映山红
春	tɕʰyoŋ1	春秋
春	ɕyoŋ1	春米
昧	me6	愚昧
昨	zo8	昨夜
昭	tɕyə1	昭彰
是	zɿ4	是非
昱	jiəu8	明亮,照耀
昵	ȵi8	亲昵
昶	tɕʰiɛ3	白昼时间长,舒畅
晝	tɕiəu5	日昼
顯	ɕi3	明显
晁	dʑyə1	姓氏
晃	huɔ3	明亮
晉	tsaŋ5	晋级
晏	a5	晴朗,晏公殿巷
曬	sɛ3	晒太阳
曉	ɕia3	春晓
曄	ji8	闪光貌
暈	jyoŋ6	晕厥晕车
暉	ɕʮ1	日光
晚	wa4=	早晚
晚	ma4-	晚稻
晟	ʑiəŋ6	光明
晤	ŋ̍6	晤面
晦	fai5	晦日晦气
晨	zaŋ2	清晨
普	pʰu3	普及
景	tɕiaŋ3	风景
晰	sɿ7	清晰
晴	ʑiəŋ2	晴朗
晶	tɕiəŋ1	水晶
智	tsɿ5	智慧
晾	liɛ6	晾台
暫	dza6	暂时
暇	ɦo6	闲暇
暑	ɕʮ3	暑假
暖	naŋ4-	暖芬芬
暖	nø4	温暖
暗	ø5	黑暗
暨	tsɿ5	诸暨
暮	mu6	迟暮
暴	bo8	古同曝,晒
暴	bə6	暴行
暹	ɕi1	太阳升起
曖	e5	暖昧
曙	dʑʮ6	曙光
曜	jyə6	曜日
曝	bə6	曝光
曦	sɿ1	晨曦
曩	nuɔ4	先时,以前
曰	ʰjiɛ7	子曰诗云
曲	tɕʰyo7	弯曲
曲	tɕʰyo7	歌曲
曲	tɕʰiəu7	麯酒曲
曳	ji6	牵引
更	kɛ1	更新
更	kɛ5=	更加
曹	zə2	姓氏
曼	ma6	柔美
曾	tsaŋ1=	姓氏
曾	dzaŋ2-	曾经
曾	zaŋ2=	曾经
替	tʰi5	代替
最	tse5	最高境界
最	tsai5=	某某之最
月	ȵy8	月光月日
有	jiau4	所有
朋	boŋ2	朋友
服	vu8	服务
服	vu4	量词,用于中药
朔	ɕyo7	朔门
朕	dzaŋ4	帝王自称
朗	luɔ4	朗读
望	ɦuɔ6=	希望
望	muɔ6-	望潮儿
朝	tɕyə1	明朝
朝	dʑyə1	朝鲜
期	dzɿ2	学期
朦	moŋ2	朦胧
朦	moŋ2	目失明
木	mu8	木头
未	mi6-	个地方我未走过,打生个
未	vi6=	未来地支第八位
末	mø8	末代
本	paŋ3	根本
札	tsa7	信札,札记
术	dʑy8	白术
术	ʑy8	術手术
朱	tɕʮ1	姓氏
朱	tɕʮ1	硃硃砂
朴	byə2	姓氏
朴	pʰo7	朴刀
朴	pʰo7	树皮
朴	bo8	模丛生的树木
朴	pʰo7	樸朴实朴素
朶	to3	花朵
機	tsɿ1	机会
朽	ɕiau3	腐朽
殺	sa7	谋杀
雜	zø8	杂志
權	dʑy2	权利
權	tsʰo1	树权
杆	ky3	电线杆枪杆子
杆	ky1	笼杆
杉	sa1	杉树
李	li4	行李
杏	ɛ3	杏梅,杏仁
材	dze2	木材
村	tsʰø1	村庄
杓	ʑia8	木勺
杖	dʑiɛ4	手杖
杜	du4	姓氏
杞	tsʰɿ3	杞人忧天
束	ɕyo7	结束
杠	kuɔ1	床杠
杠	kuɔ5	敲竹杠双杠
條	dyə2	条件
來	le2	往来
楊	jiɛ2	姓氏
杭	ɦuɔ2	杭州
杯	pai1	茶杯
杰	dʑi8	豪杰
杳	ʰjyə3	杳无音讯
杵	tɕʰʮ3	春捣谷物的棒槌
杷	bo2	枇杷
松	soŋ1	
松	soŋ1	松树
松	ʑyɔ2	松树
板	pa3	闆老闆:老板
板	pa3	黑板
極	dʑiai8	积极
構	kau5	结构
枇	bi2	枇杷
枉	ʰjyɔ3	冤枉
析	sɿ7	分析
枕	tsaŋ5	以头枕物
枕	tsaŋ3	枕头
林	ləŋ2	森林
枚	me2	不胜枚举
果	ku3	水果
枝	tsɿ1	树枝
樞	tɕʰʮ1	枢纽中枢
棗	tsə3	红枣
槍	tɕʰiɛ1	枪支
楓	hoŋ1	枫树
梟	ɕyə1	枭雄
枯	kʰu1-	枯萎
枰	bəŋ2	棋枰
架	ko5	
枷	ko1=	枷锁
枷	ɡo2-	饭镬枷儿,柴爿枷儿
枸	tɕʮ3	枸橼
枸	kau3	枸杞
柄	pəŋ3	权柄
柏	dʑiau4	乌柏
柏	pɛ7	松柏
某	mu4	某某
柑	kø1	柑橘
柒	tsʰai7	七的大写
染	ȵi4	感染
柔	ʑiəu2	温柔
柚	jiau6	柚子
櫃	dʑʮ6	櫃柜台
柞	zo8	柞水
檸	ȵiaŋ2	柠檬
查	tso1	姓氏
查	dzo2	检查
柩	dʑiau6	灵柩
柬	ka3	短柬
柯	kʰu1	姓氏
柱	dʑʮ4	栋柱
柳	liəu4	杨柳
柴	sɛ2	火柴
柿	zɿ4	柿子
梔	tsɿ1	栀子花
栅	sa1	栅极
栅	sa5	栅栏
標	pyə1	标准
棧	dza6	客栈
櫛	tsai7	梳子、篦子的总称
棟	toŋ5	栋梁
櫟	li8	麻栎
欄	la2	栏杆
樹	ʑʮ6	树木
栓	sø1	枪栓
栖	tsʰɿ1	栖身
栗	li8	栗子
栝	ko7	树名
校	ɦuɔ6=	学校
校	ka5-	校场头
校	kuɔ5=	校对
栩	ɕʮ3	栩栩如生
株	tɕʮ1	植株
樣	jiɛ6	样板
核	jy8	核心果子核
根	kø1	根据
根	kaŋ1	结根
格	ka7	规格
栽	tse1	栽培
欒	lø2	木名
桀	dʑi8	小木桩
桁	ɦɛ2	桁条
桂	tɕy5	桂花
桃	də2	桃花
桅	wai2	桅杆
框	tɕʰyɔ1	门框
案	ø5	档案
桉	ø1	桉树
桌	tɕyo7	桌子
桎	tsai7	桎梏
桐	doŋ2	桐油
桑	suɔ1	桑叶
桓	jy2	表柱
桔	tɕiai7	柑桔
桔	tɕi7	桔梗
橈	nuɔ2	划船的船桨
檔	tuɔ5	档案
橋	dʑyə1	桥梁
樺	ɦo6	白桦
檜	wai6	人名用字
檜	kai5	木名
樁	tɕyɔ1-	打桩
樁	tɕyɔ1=	楔入地中的桩柱
樁	dʑyɔ2-	烂树桩
桶	doŋ4	木桶
梁	liɛ2	桥梁
梁	liɛ2	高梁
梅	me2	梅花
梆	puɔ1	梆子
梓	tsɿ3	付梓
梗	kɛ3	菜梗
梢	suɔ1	树梢
夢	moŋ6	做梦
梧	ŋ̍2	梧桐
梨	li2	雪梨
梭	so1	梭镖
梯	tʰi1	楼梯
械	ɦɛ6	机械
梳	ɕʮ1	头梳
梳	so1	梳理
梵	va6	梵文
檢	tɕi3	检查
欞	ləŋ2	窗棂
棉	mi2	棉花
棋	dzɿ2	象棋
棍	kaŋ5	棍棒
棒	buɔ4	棍棒
棕	tsoŋ1	棕榈
棘	tɕiai7	荆棘
棚	bɛ2	尿布棚
棚	boŋ2	牛棚
棠	duɔ2	海棠
棣	di8-	人名用字
棣	di6=	棠棣
森	saŋ1	森林
森	myə4	浩渺
棱	laŋ2	物体的棱角
棵	kʰu1	一棵树
棹	dzuɔ6	船桨
棺	kø1	棺材
椁	ko7	棺椁
椅	ʰji3	椅子
植	dzɿ8	植物
椎	tɕʮ1	颈椎
椒	tɕyə1	辣椒
櫝	du8	柜子一类藏物器
椪	pʰoŋ5	~柑
橢	tʰu3	椭圆
椰	ji2	椰树
椽	dʑy2	椽子
椿	tɕʰyoŋ1	香椿
楂	tso1	山楂
楔	ɕia7	填空隙的竹木片
楚	tsʰo3	清楚
楠	nø2	楠溪江
楣	mi2	门楣
楦	ɕy5	鞋楦
楫	tɕi7	短的船桨
楷	kʰa3	楷书
楷	tɕi7	皱褶
楹	jiaŋ2	楹联
樓	lau2	楼房
樓	lau2	褴楼
概	ke5	梗概,概念
欖	la4	橄榄
榆	jʮ2	榆树
櫚	lu2	棕榈
榔	luɔ2	槟榔
榕	jyoŋ2	榕树
榛	tsaŋ1	榛子
榜	puɔ3	榜样
榧	fi3	香框
榨	tso5	压榨
榫	ɕyoŋ3	榫头
榭	zɿ6	亭榭
榴	liəu2	手榴弹
榷	kʰo7	商榷
榻	tʰa7	狭长而低的坐具下榻
槌	dʑʮ2	榔槌
槐	wa2	槐树
檻	kʰa3	门槛
檳	pəŋ1	槟榔
槲	ɦu8	木名
槽	zə2	马槽
樊	va2	姓氏
樟	tɕiɛ1	棒树
模	mu2	模子
模	mu2	模范
橫	wɛ2	纵横
檣	ʑiɛ2	船桅杆
櫻	ʰjiaŋ1	樱桃
櫻	ɛ1	金樱
樵	dʑyə1	樵夫
樽	tsø1	盛酒器
橄	kø3	橄榄
橇	tɕʰyə1	雪橇
橘	tɕy7	果木名
橙	dʑiəŋ2	橙色橙子
橛	ɡø8	两橛断
橛	dʑy8=	短木桩
橡	ʑiɛ4	橡胶
櫥	dʑʮ2	衣橱
櫓	lo4	摇橹
檀	da2	檀香
檄	jiai8	官府用以征召、晓喻或声讨的文书
檎	dʑiaŋ2	林~
檐	ji2	檐头下
檗	pɛ7	黄檗
檬	moŋ2	柠檬
欠	tɕʰi5	欠账
次	tsʰɿ5	次序
歡	hø1	欢迎
欣	ɕiaŋ1	欢欣
歐	au1	欧洲
欲	jyo8	欲望
欺	tsʰɿ1	欺骗
款	kʰø3	公款汇款
歃	sa7	歃血
歆	ɕiaŋ1	悦服
歇	ɕi7	停歇
歉	tɕʰi3	道歉
歌	ku1	歌曲
歙	ɕiai7	吸进
止	tsɿ3	禁止
正	tɕiəŋ1	正月
正	tɕiəŋ5	真正
此	tsʰɿ3	因此
步	bu6	散步
武	vu4	武艺
歧	dzɿ2	歧途
歪	ʰwɛ1	歪曲
歹	te3	好歹
死	sɿ3	死亡
殲	tɕi1	歼灭
殁	mø8	死亡
殂	zo2	死亡
殃	ʰjiɛ1	遭殃
殆	de4	危亡
殤	ɕiɛ1	未至成年而死
殉	ʑyoŋ6	以身殉职
殊	ʑʮ2	特殊
殘	dza2	残暴
殍	byə4	饿殍
殮	li6	给死者穿衣入棺
殕	fu3	白~
殖	dzɿ8	生殖
殫	ta1	殚精竭虑
殯	pəŋ5	殡葬
毆	au1	殴打
段	daŋ6-	木段烂树段一段甘蔗
段	dø6	段落
殷	ʰjiaŋ1	殷勤
殿	di6	佛殿
毁	ɕʮ5	换牙
毁	ɕʮ3	撕毁毁坏
轂	ku7	殺物
轂	hu7	车轮中心之圆木
毅	ȵi6	刚毅
毋	vu2	毋庸置疑
母	mu4	母亲
每	me4	每个人
毒	du8	恶毒
毓	jiəu8	生养,养育
比	pi3	比较
比	bi6	比邻
畢	pyə7	毕业
毖	pi5	惩前毖后
毗	bi2	毗邻
斃	pi5	枪毙
毛	mə4	你真毛该人亦老亦毛
毛	mə2	毛发
毡	tɕi1	毛毡
毫	ɦə2	丝毫
毫	bo8	毫县
毯	tʰa3	地毯
毳	tsʰai5	鸟兽的细毛
毴	pi1	女性外生殖器
毽	tɕi5	毽子
氅	tɕʰiɛ3	鸟雀羽毛
氏	zɿ4	氏族
民	məŋ2	人民
氓	mɛ2	流民
氓	muɔ2	流氓
气	tsʰɿ7	元气
氖	nɛ4	稀有气体元素
氛	vaŋ2	气氛
氟	fai7	气体元素
氫	tɕʰiaŋ1	氢气
氤	ʰjiaŋ1	氤氲
氦	ɦe4	稀有气体元素
氧	ʰjiɛ3	氧气
氨	ø1	无机化合物
氮	da4	化学元素
氯	lo8	卤族元素
氳	ʰjyoŋ1	氤氲:天地交合之气
水	ɕʮ3	山水
永	jyoŋ4	永远
汀	tʰəŋ1	水边平地
汁	tsai7	浓汁
求	dʑiau2	要求
汆	tsʰø1	把食物放入沸水中稍煮一下汆丸子
汆	tʰaŋ5	浮在水面
汇	wai4	匯汇款百老汇
漢	hø5	汉族
汊	tsʰo5	河汉
汐	zɿ8	潮汐
汕	sa5	汕头
汗	ɦø6	汗水
汛	saŋ5	江湖定期涨水
汝	ʑʮ4	你
汞	koŋ3	通称水银
江	kuɔ1	瓯江
池	dzɿ2	池塘
污	ʰwu1	污秽
湯	tʰuɔ1	菜汤
汨	mi8	汨罗江
汪	uɔ1	汪洋
汰	da6	汰浪洗涤
汰	tʰa5	淘汰
汲	tɕiai7	于井取水
汴	bi6	汴梁:开封别称
汽	tsʰɿ7	汽车
汾	vaŋ2	水名
沁	tsʰaŋ5	气体、液体渗人或透出
沂	ji2	沂河
沃	o7	肥沃
沈	saŋ3	姓氏
沈	saŋ3	瀋藩阳
沉	dzaŋ2	沉没
沌	daŋ4	混沌混里混沌
沐	mu8	沐浴
沓	da8	一沓纸
沓	dø8	沓起算
沓	tʰa7	纷至沓来疲沓
沙	so1	沙滩
沛	pʰai5	充沛
溝	kau1	沟通
没	mø8	淹没
瀝	li8	沥青
淪	laŋ2	沦陷
滄	tsʰuɔ1	沧海
滬	wu4	上海的简称
沫	mø8	泡沫
沮	tɕʮ1	沮丧
沰	to7	滴拓
沱	du2	滂沱大雨
河	wu2	河流
沸	fi5	沸沸扬扬
沸	fai7	沸腾
油	jiau6	动词
油	jiau2	石油
治	dzɿ6	政治
沼	tɕyə3	沼泽
沽	ku5	沽酒
沾	tɕi1	沾边
沿	ji2	沿江沿海
泄	sɿ7	泄漏排泄
泅	ʑiəu2	泗河儿
泉	ʑy2	泉水
泊	bo8	停泊
泊	pʰo7	湖泊
泌	myə8	分泌
泌	pyə7	泌尿
泓	ɦoŋ2	水深广貌
泔	kø1	颌泔
法	huɔ7	法律
泛	fa5	广泛
濘	ȵiaŋ6	上泞,发潮
泠	ləŋ2	西冷
泡	pʰuɔ5	水泡
泡	pʰuɔ1	泡货
波	pu1	宁波
波	pu1	波浪
泣	tɕʰiai7	哭泣
泥	ȵi2	泥土
泥	ȵi6	用泥等涂抹
注	tɕʮ5	注意
淚	lai6	眼泪
泮	pʰø5	泮宫:西周诸侯所设大学
泯	məŋ2	泯灭
泰	tʰa5	泰山
泳	jyoŋ4	游泳
泵	puɔ5	水泵,压力泵
瀧	loŋ2	七里泷
瀉	sɿ5	倾泻
潑	pʰø7	活泼泼水舞跳泼显
澤	dzɛ8	沼泽
涇	tɕiaŋ1	沟渎
潔	tɕi7	清洁
洄	wai2	逆流而上
洋	jiɛ2	海洋
洒	sɛ3	洒水
洗	ɕi3	姓氏
洗	sɿ3	洗衣
洛	lo8	洛阳
洞	doŋ6	洞穴
津	tsaŋ1	天津
洪	ɦoŋ2	洪水
洱	zɿ4	普洱
洲	tɕiəu1	澳洲
洵	ɕyoŋ1	确实,诚然
活	ɦo8	快活
洼	o1	水洼
洽	ɦa8	接洽
派	pʰɛ5	派别
流	liəu2	河流
淺	tɕʰi3	深浅
漿	tɕiɛ5	浆洗浆糊
漿	tɕiɛ3	船桨
澆	tɕyə1	浇灌
濁	dʑyo8	浊音
測	tse7	测过测
測	tsʰe7	测量
濟	tsɿ5	救济
濟	tsɿ3	济南
渾	waŋ2	~身
滸	fu3	水浒
濃	ȵyɔ2	浓淡
濃	noŋ2	浓密
浙	tsɿ7	浙江
浚	ɕyoŋ5	疏浚
浜	pɛ1	小河沟沙家浜
浣	jy4	洗涤
浥	ʰjiai7	湿润
浦	pʰu3	下吕浦
浦	pʰu3	浦东黄浦江
浩	ɦə4	浩大
浪	luɔ6	波浪
浮	vu2-	尸骸浮起
浮	və2	浮肿沉浮
浴	jyo8	浴血
海	he3	上海
海	fai5	诲人不倦
浸	tsaŋ5	浸泡
涂	du2	塗道路
涂	du2	涂抹
涅	li4	海里
消	ɕyə1	消防
涉	ʑi8	干涉
涌	jyɔ4	泉水、液体上喷涌汤
涎	ʑi2	口水
涓	tɕy1	细小水流
涕	tʰi5	鼻涕
濤	də2	浪涛
澇	lə6	旱涝
漣	li2	涟漪:微波
渦	ʰwu1	旋涡
渙	hø5	发散
滌	di8	荡涤
潤	ʑyoŋ6	利润
澗	ka5	涧谷
漲	tɕiɛ3	潮涨
澀	tsʰɿ1-	涩口
澀	sai7	生涩羞涩
涮	sø5	涮羊肉
涯	ŋa2	天涯
液	jiai8	液体
涵	ɦa2	内涵
涸	ɦo8	水枯竭
涿	tɕyo7	涿州
淀	di6	激沉淀
