#漢字	音標	解釋#('wuu_sl_sy', '松陽話', '松陽', '#8B0000', None, None, '來源：<u>落橙</u>', '51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
#簡稱	/	松陽#與文件名一致
#全稱	/	松陽話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：<u>落橙</u>#HTML格式，僅允許一行，用<br>換行
窺	kʰuei1	
竄	tɕʰyeŋ5	
竅	tɕʰiɜ5	
立	liʔ8	
站	dzɔ̃6	
竟	tɕiŋ5	
章	tɕiaŋ1	
竣	tɕyeŋ5	
童	dəŋ2	
竭	dʑiɛʔ8	
端	tɛ̃1	
競	dʑiŋ6	
竹	tyoʔ7	
竿	kuɛ̃3	
笊	tsɔ3	
笐	ɔ̃6	
笑	tɕʰiɜ5	
笙	saŋ1	
笛	diʔ8	
笠	liʔ8	
笡	tɕʰyə5	
符	fuə2	
笨	bɛ̃i6	
第	diɛ6	
筅	ɕiɛ̃3	
筆	piʔ7	
等	tɛ̃3	
筋	tɕiŋ1	
筍	sɛ̃i3	
筏	fɔʔ8	
筐	kʰoŋ1	
筒	dəŋ2	
答	tɔʔ7	
策	tsʰaʔ7	
筲	sɔ1	
筵	iɛ̃2	
筷	kʰua5	
箋	tɕʰiɛ̃1	
箍	kʰuə1	
箏	tsaŋ1	
箕	i1	
算	sɛ̃5	
管	kuɔ̃3	
管	kuɛ̃i3	
箬	ȵiaʔ8	
箭	tɕiɛ̃5	
箱	ɕiaŋ1	
箸	dzɿɛ6	
節	tɕiɛʔ7	
範	fɔ̃4	
篆	dʑyɛ̃2	
篇	pʰiɛ̃1	
築	tyoʔ7	
篙	kɜ1	
篡	tɕʰyɛ̃5	
篤	tɤʔ7	
篦	bi6	
篩	sɯə1	
篷	bəŋ2	
篾	miɛʔ8	
簍	lei4	
簑	su1	
簟	diɛ̃4	
簡	kɔ̃3	
簧	oŋ2	
簪	tsɛ̃1	
簪	tɕiɛ̃1	
簫	ɕiɔ1	
簷	iɛ̃2	
簸	pu3	
簸	pa5	
簽	tɕʰiɛ̃1	
簾	liɛ̃2	
簿	buə4	
籃	lɔ̃2	
籌	dʑiəɯ2	
籍	dʑiʔ8	
籠	ləŋ2	
籬	liɛ2	
籮	la2	
籮	lu2	
籲	ɕyɛ1	
米	miɛ4	
粉	fɛ̃i3	
粒	lɛʔ7	
粗	tsʰɯə1	
粘	ȵiɛ̃1	
粟	ɕyoʔ7	
粥	tɕyoʔ7	
粱	liaŋ2	
粵	iaʔ8	
粹	sei3	
糉	tsəŋ5	
精	tɕiŋ1	
糊	uə2	
糕	kɜ1	
糖	doŋ2	
糙	tsʰɜ5	
糜	mi2	
糞	pɛ̃5	
糟	tsɜ1	
糠	kʰoŋ1	
糧	liaŋ2	
糯	nəŋ6	
糴	diʔ8	
糶	tʰiɔ5	
系	iɛ5	
糾	kei5	
糾	ȵyoʔ8	
紀	tsɿ3	
紂	dʑiəɯ4	
約	iaʔ7	
紅	ŋ2	
紈	yɛ̃2	
紋	mɛ̃i2	
納	naʔ8	
紐	ȵiəɯ4	
純	ɕyeŋ2	
紗	suə1	
紙	tsɿɛ3	
級	tɕiʔ7	
紛	fɛ̃i1	
素	suə5	
紡	foŋ3	
索	soʔ7	
紫	tsɯə3	
紮	tsɔʔ7	
紮	tsɔʔ1	
累	lei6	
細	sɿɛ5	
紹	ɕiɜ4	
終	tɕiəŋ1	
組	tsuə3	
絆	bɛ̃4	
絎	ɔ̃2	
結	tɕiɛʔ7	
絕	ɕyɛʔ8	
絞	kɔ3	
絡	loʔ8	
給	kɛʔ7	
絨	iəŋ2	
絮	sɿɛ5	
統	tʰəŋ3	
絲	sɯə1	
絹	tɕyɛ̃1	
綁	poŋ3	
綏	ɕy1	
經	tɕiŋ1	
綜	tsəŋ1	
綠	lyoʔ8	
綢	dʑiəɯ2	
維	uei2	
綱	koŋ1	
網	moŋ4	
綽	tɕʰiaʔ7	
綿	miɛ̃2	
緊	tɕiŋ3	
緖	ɕyɛ4	
線	ɕiɛ̃5	
緝	tɕʰiʔ7	
緞	dɛ̃6	
緣	yɛ̃2	
編	piɛ̃1	
緩	uɔ̃4	
緬	miɛ̃4	
緯	uei4	
練	liɛ̃6	
縊	iʔ7	
縐	tsei5	
縛	boʔ8	
縣	yɛ̃6	
縫	fəŋ6	
縫	fəŋ2	
縮	ɕyoʔ7	
縱	tsəŋ1	
縱	tsəŋ5	
縷	lei4	
總	tsəŋ3	
績	tɕiʔ7	
繁	fɔ̃2	
織	tɕiʔ7	
繞	ȵiɔ1	
繞	ȵiɔ6	
繡	ɕiəɯ5	
繩	dʑiŋ2	
繪	kuei5	
繭	tɕiɛ̃3	
繰	tɕʰiɜ1	
繳	tɕiɜ3	
繼	tsɿɛ5	
纂	tsʰɛ̃5	
續	ɕyoʔ8	
纏	dʑiɛ̃2	
纓	iŋ1	
纔	sɛ2	
纖	ɕiɛ̃1	
纜	lɔ̃4	
缸	koŋ1	
缺	tɕʰyɛʔ7	
缽	pɛʔ7	
罐	kuɔ̃5	
罕	fɛ̃3	
罩	tsɔ5	
罪	sɛ4	
置	tsɿ5	
罰	fɔʔ8	
署	ɕyɛ3	
罵	muə6	
罷	ba6	
羅	luə2	
羈	tsɿɛ1	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei4	
羔	kɜ1	
羞	ɕiəɯ1	
羣	dʑyeŋ2	
羨	ɕiɛ̃6	
義	ȵi6	
羶	ɕiɛ̃1	
羹	kaŋ1	
羽	yɛ4	
翁	ŋ1	
翅	tsʰɿɛ5	
習	ɕiʔ8	
翠	tsʰei5	
翰	uɛ̃6	
翹	dʑiɜ2	
翻	fɔ̃1	
翼	iɛʔ8	
耀	iɜ6	
老	lɜ4	
考	kʰɜ3	
者	tɕyə3	
耆	dzɿ2	
而	ȵi2	
耍	sa3	
耐	na6	
耕	kaŋ1	
耗	hei5	
耙	bu6	
耳	ȵi4	
耶	yə2	
耽	tɔ̃1	
耿	kaŋ3	
聊	liɔ2	
聖	ɕiŋ5	
聘	pʰiŋ5	
聚	ɕyɛ4	
聞	mɛ̃i2	
聯	liɛ̃2	
聰	tsʰəŋ1	
聲	ɕiŋ1	
聶	ȵiɛʔ8	
職	tɕiʔ7	
聽	tʰiŋ1	
聽	tʰiŋ5	
聾	ləŋ2	
肄	i4	
肅	sɤʔ7	
肆	sɿ5	
肇	ɕiɜ4	
肉	ȵyoʔ8	
肋	liʔ8	
肌	tsɿ1	
肖	ɕiɔ5	
肘	dʑiəɯ4	
肚	duə4	
肚	tuə3	
肛	koŋ1	
肝	kuɛ̃1	
股	kuə3	
肢	tsɿɛ1	
肥	pʰi2	
肩	iɛ̃1	
肪	foŋ1	
肫	iŋ1	
肮	oŋ1	
肯	kʰɛ̃3	
育	yoʔ8	
肴	ɔ2	
肺	pʰiɛ5	
胃	uei6	
背	bei6	
背	pei5	
胎	tʰɛ1	
胖	pʰoŋ5	
胚	pʰei1	
胛	kɔʔ7	
胞	pɔ1	
胡	uə2	
胥	ɕyɛ1	
胭	iɛ̃1	
胳	koʔ7	
胸	ɕioŋ1	
能	nɛ̃2	
脂	tsɿ1	
脅	ɕiɛʔ7	
脆	tsʰei5	
脈	maʔ8	
脊	tɕiʔ7	
脖	bɤʔ8	
脫	tʰɛʔ7	
脫	tʰɤʔ7	
脬	pʰɔ1	
脯	pu3	
脯	fuə3	
脹	tɕiaŋ5	
脾	bi2	
腋	iɛʔ8	
腎	ɕiŋ4	
腐	fuə4	
腑	fuə3	
腔	tɕʰiaŋ1	
腕	uɔ̃3	
腡	lɛ2	
腥	ɕiŋ1	
腦	nɜ4	
腫	iəŋ3	
腮	sɛ1	
腰	iɜ1	
腱	dʑiɛ̃6	
腳	tɕiaʔ7	
腸	dʑiaŋ2	
腹	pɤʔ7	
腹	fɤʔ7	
腿	tʰɛ3	
膊	poʔ7	
膏	kɜ1	
膚	fuə1	
膜	moʔ7	
膝	ɕiʔ7	
膠	kɔ1	
膨	baŋ2	
膩	ȵi6	
膳	ɕiɛ̃6	
膽	tɔ̃3	
膿	nəŋ2	
臀	dɛ̃2	
臂	piʔ7	
臉	liɛ̃4	
臊	sɜ1	
臍	sɿɛ2	
臟	soŋ6	
臘	lɔʔ8	
臣	ɕiŋ2	
臥	ŋ4	
臧	tsoŋ1	
臨	lɛ̃i2	
自	sɯə6	
臭	tɕʰiəɯ5	
至	tsɿ5	
致	tsɿ5	
臺	tʰɛ1	
臺	dɛ2	
臻	tɕiŋ1	
臼	ɡei4	
舀	iɜ4	
舂	iəŋ1	
舅	ɡei4	
與	yɛ4	
興	ɕiŋ1	
興	ɕiŋ5	
舉	tɕyɛ3	
舊	ɡei6	
舌	dʑiɛʔ8	
舍	ɕyə3	
舍	ɕyə5	
舐	liɛ4	
舒	ɕyɛ1	
舔	tʰiɛ̃3	
舜	ɕyeŋ5	
舞	muə4	
舟	tɕiəɯ1	
航	oŋ2	
般	bɛ̃2	
舵	du4	
舷	iɛ̃2	
船	ɕyɛ̃2	
艇	tʰiŋ3	
艙	tɕʰoŋ1	
艦	kʰɔ̃3	
良	liaŋ2	
艱	kɔ̃1	
色	sɛʔ7	
艷	iɛ̃5	
艾	ŋa6	
芋	yɛ6	
芍	ɕiaʔ8	
芒	moŋ2	
芙	fuə2	
芝	tsɿ1	
芥	ka5	
芬	fɛ̃i1	
芭	puə1	
花	fuə5	
芳	foŋ1	
芹	dʑiŋ2	
芽	ŋuə2	
苔	dɛ2	
苗	miɜ2	
苟	kei3	
苣	dʑyɛ2	
若	ȵiaʔ8	
苦	kʰuə3	
苧	dzɿɛ4	
英	iŋ1	
茂	m6	
茅	mɔ2	
茅	m2	
茉	mɛʔ8	
茫	moŋ2	
茭	kɔ1	
茲	tsɯə1	
茴	uei2	
茶	dzuə2	
茸	səŋ2	
荀	ɕyeŋ2	
草	tsʰɜ3	
荊	tɕiŋ1	
荒	hoŋ1	
荔	liɛ6	
荳	dei6	
荷	u2	
莉	li6	
莊	tɕioŋ1	
莖	tɕiŋ3	
莠	iəɯ6	
莢	kɔʔ7	
莧	hɔ̃5	
莫	moʔ8	
莽	moŋ4	
菊	tɕʰyoʔ7	
菌	tɕyeŋ1	
菖	tɕʰiaŋ1	
菜	tsʰei5	
菠	pu1	
菢	buə6	
菩	bu2	
華	uə2	
菱	lɛ̃i2	
菲	pʰi1	
萄	dɜ2	
萌	maŋ2	
萍	biŋ2	
萬	mɔ̃6	
萵	uə1	
落	loʔ8	
葉	iɛʔ8	
著	tɛʔ7	
著	tɕyɛ5	
著	dʑiaʔ8	
葚	ɕiŋ4	
葛	kuɛʔ7	
葡	buə2	
董	təŋ3	
葦	uei4	
葫	uə2	
葬	tsoŋ5	
葵	ɡuei2	
葷	fɛ̃1	
蒂	tiɛ5	
蒙	məŋ2	
蒜	sɛ̃5	
蒲	buə2	
蒸	tɕiŋ1	
蒹	tɕiɛ̃1	
蒼	tsʰoŋ1	
蒿	kʰɜ1	
蓄	tɕʰyoʔ7	
蓉	ioŋ2	
蓋	kɛ5	
蓬	bəŋ2	
蓮	liɛ̃2	
蓴	ɕyeŋ2	
蔔	poʔ7	
蔗	tɕyə5	
蔡	tsʰa5	
蔣	tɕiaŋ3	
蔥	tsʰəŋ1	
蔫	iɛ̃1	
蔬	suə1	
蔭	iŋ5	
蔻	kʰei5	
蔽	pi5	
蕈	ɕiŋ4	
蕉	tɕiɜ1	
蕊	ɕy4	
蕎	dʑiɜ4	
蕩	doŋ4	
蕩	doŋ6	
蕭	ɕiɔ1	
薄	boʔ8	
薅	hɜ1	
薇	mi2	
薑	tɕiaŋ1	
薛	ɕiɛʔ7	
薦	tɕiɛ̃5	
薧	kʰɜ1	
薩	sɔʔ7	
薪	ɕiŋ1	
薯	dzɿɛ3	
薰	ɕiəŋ1	
薰	ɕyeŋ1	
薺	sɿɛ2	
藉	ɕiɛʔ8	
藉	dʑiʔ8	
藍	lɔ̃2	
藏	soŋ6	
藏	soŋ2	
藐	miɜ4	
藕	ŋei4	
藝	ȵiɛ6	
藤	dɛ̃2	
藥	iaʔ8	
藩	fɔ̃2	
藹	a4	
藿	hoʔ7	
蘆	luə2	
蘇	suə1	
蘭	lɔ̃2	
蘸	tsɔ̃5	
蘿	luə2	
虎	fuə3	
虐	ȵiaʔ8	
虔	dʑiɛ̃2	
處	tɕʰyɛ5	
虛	ɕyɛ1	
虜	luə4	
虞	yɛ2	
號	ɜ6	
號	ɜ2	
虢	kuɛʔ7	
虧	kʰuei1	
虱	ɕiʔ7	
虹	ŋ2	
虻	moŋ2	
蚊	miŋ2	
蚌	boŋ4	
蚜	ŋuə2	
蚣	kəŋ1	
蚤	tsɜ3	
蚰	iəɯ2	
蚶	hɛ̃1	
蛀	tɕyɛ5	
蛆	tsʰɿ1	
蛇	ɕyə2	
蛋	dɔ̃6	
蛙	uə1	
蛛	tɕyɛ1	
蛤	kɛʔ7	
蛾	ŋ2	
蜀	ɕyoʔ8	
蜂	fəŋ1	
蜒	iɛ̃2	
蜓	diŋ2	
蜜	miʔ8	
蜢	maŋ4	
蜻	tɕʰiŋ1	
蝕	ɕiʔ8	
蝗	oŋ2	
蝙	pʰiɛ̃5	
蝟	uei6	
蝠	fɤʔ7	
蝦	fu1	
蝦	uə2	
蝴	uə2	
蝶	diɛʔ8	
蝸	uə1	
螂	loŋ2	
螄	sɯə1	
融	iəŋ2	
螢	iŋ2	
螳	doŋ2	
螺	luə2	
蟀	ɕyiʔ8	
蟄	dʑiʔ6	
蟆	muə2	
蟑	tɕiaŋ1	
蟒	moŋ4	
蟢	sɿ3	
蟣	kɛ3	
蟥	oŋ2	
蟬	sɛ̃2	
蟲	dʑiəŋ2	
蟶	tɕʰiŋ5	
蟹	ha3	
蟻	ȵi4	
蟻	ŋa4	
蟾	dʑiɛ̃2	
蠅	ɕiŋ6	
蠍	ɕiɛʔ7	
蠟	lɔʔ8	
蠢	tɕʰyeŋ3	
蠱	kuə1	
蠶	sɛ̃2	
蠻	mɔ̃2	
血	ɕyɛʔ7	
行	aŋ2	
行	oŋ2	
術	ɕyɛʔ8	
街	ka1	
衙	ŋuə2	
衛	uei6	
衡	uaŋ2	
衣	i1	
表	piɜ3	
衫	sɔ̃1	
衰	sa1	
袁	yɛ̃2	
袋	dɛ6	
袍	bɜ2	
袖	ɕiəɯ6	
被	bi4	
袱	fɤʔ8	
袷	kɔʔ7	
裁	sɛ2	
裂	liɛʔ8	
裌	kɔʔ7	
裏	li4	
裕	yɛ6	
裙	dʑyeŋ2	
補	puə3	
裝	tɕioŋ1	
裳	ɕiaŋ2	
裸	luə4	
裹	ku3	
褂	kuə5	
褒	pɜ1	
褡	tɔʔ7	
褥	ȵyoʔ8	
褪	tʰɛʔ7	
褲	kʰuə5	
褻	ɕiɛʔ7	
襄	ɕiaŋ1	
襖	ɜ3	
襟	tɕiŋ1	
襠	toŋ5	
襪	mɔʔ8	
襯	tɕʰiŋ5	
襲	ɕiʔ8	
襻	pʰɔ̃5	
西	sɿɛ1	
要	iɜ5	
覆	fɤʔ7	
覆	ɛʔ8	
見	tɕiɛ̃5	
規	kuei1	
覓	miʔ8	
視	sɿɛ6	
親	tɕʰiŋ1	
覺	koʔ7	
覽	lɔ̃4	
觀	kuɔ̃1	
觀	kuɔ̃5	
角	koʔ7	
解	ɡa4	
解	ka3	
觸	tɕyoʔ7	
觸	tɕʰyoʔ7	
言	ȵiɛ̃2	
訂	tiŋ5	
訃	fuə5	
計	tsɿɛ5	
訊	ɕyeŋ5	
討	tʰuə3	
訓	ɕyeŋ5	
訖	tɕʰiʔ7	
記	tsɿ5	
訛	ŋ2	
訟	ɕioŋ6	
訣	tɕyɛʔ7	
訪	foŋ3	
設	ɕiɛʔ7	
許	aʔ7	
許	ɕyɛ3	
訴	suə5	
診	tɕiŋ5	
詐	tsɔʔ7	
詔	tɕiɜ5	
評	biŋ2	
詞	sɯə2	
詠	yeŋ4	
詢	ɕyeŋ5	
詣	ȵi6	
試	sɯə5	
詩	sɿ5	
詫	tsʰaʔ7	
詭	kuei3	
詰	tɕiʔ7	
話	u6	
該	kɛ1	
詳	ɕiaŋ2	
詼	fei1	
誅	tɕyɛ1	
誇	kʰuə1	
認	ȵi6	
誓	sɿɛ6	
誕	dɔ̃6	
誘	iəɯ6	
語	ȵyɛ4	
誠	ɕiŋ2	
誣	uə5	
誤	ŋuə6	
誦	soŋ6	
說	ɕyɛʔ7	
誰	ɕy2	
課	kʰu5	
誼	ȵi6	
調	diɔ6	
調	diɔ2	
諄	ɕyeŋ2	
談	dɔ̃2	
請	tɕʰiŋ3	
諒	liaŋ6	
論	lɛ̃6	
諜	diɛʔ8	
諧	a2	
諫	kɔ̃5	
諱	uei6	
諳	ɛ̃5	
諷	fəŋ3	
諸	tɕyɛ1	
諾	noʔ8	
謀	mei2	
謁	iɛʔ7	
謂	uei6	
謄	dɛ̃2	
謊	hoŋ3	
謎	m6	
謗	poŋ3	
謙	tɕʰiɛ̃5	
講	koŋ3	
謝	ɕyə6	
謠	iɜ2	
謬	miɜ6	
謳	ei1	
謹	tɕiŋ3	
證	tɕiŋ5	
譏	tsɿ1	
識	ɕiʔ7	
譚	dɛ̃2	
譜	pʰuə3	
警	tɕiŋ3	
譬	pʰi3	
譯	iɛʔ8	
議	ȵi4	
護	uə6	
譽	yɛ6	
讀	dɤʔ8	
變	piɛ̃5	
讎	dʑiəɯ2	
讒	sɔ̃2	
讓	ȵiaŋ6	
豁	fɔʔ7	
豆	dei6	
豇	koŋ1	
豈	tsʰɿ3	
豉	sɿɛ6	
豌	uɔ̃5	
豎	ɕyɛ4	
豐	fəŋ1	
豕	sɯə3	
豚	dɛ̃2	
象	ɕiaŋ4	
豪	ɜ2	
豫	yɛ6	
豬	tuə1	
豹	pɔ5	
豺	sa2	
貂	tiɔ1	
貌	mɔ6	
貓	mɔ2	
貝	pei5	
貞	tɕiŋ1	
負	fuə4	
財	sɛ2	
貢	kəŋ5	
貧	biŋ2	
貨	fu5	
販	fɔ̃5	
貪	tʰɛ̃1	
貫	kuɔ̃5	
責	tsaʔ7	
貳	ȵi6	
貴	kuei5	
貴	tɕy5	
貶	piɛ̃3	
買	ma4	
貸	dɛ6	
費	pʰiɛ5	
貼	tʰiɛʔ7	
貽	i2	
貿	mɜ6	
賀	uə6	
賀	u6	
賂	luə6	
賃	ȵi6	
賄	fei3	
資	tsɯə1	
賈	kuə3	
賊	sɛʔ8	
賒	ɕyə1	
賓	piŋ1	
賜	tsʰɯə5	
賞	ɕiaŋ3	
賠	bei2	
賢	iɛ̃2	
賣	ma6	
賤	ɕiɛ̃6	
賦	fuə5	
質	tɕiʔ7	
賬	tiaŋ5	
賭	tuə3	
賴	la6	
賺	dzɔ̃4	
購	kei5	
賽	sei5	
贈	sɛ̃6	
贊	tsɔ̃5	
贍	ɕiɛ̃4	
贏	iŋ2	
贓	tsoŋ1	
贖	ɕyoʔ8	
赤	tɕʰiʔ7	
赦	ɕyə5	
赫	haʔ7	
走	tsei3	
赴	fuə5	
起	tsʰɿ3	
趁	tɕʰiŋ5	
超	tɕʰiɜ1	
越	iaʔ8	
趕	kuɛ̃3	
趙	dʑiɜ4	
趟	tʰoŋ3	
趣	tɕʰyɛ1	
趨	tɕʰyɛ1	
足	tɕyoʔ7	
趼	tɕiɛ̃3	
趾	tsɿ3	
跋	bɔʔ8	
跌	tiɛ7	
跑	pʰɔ1	
距	dʑyɛ4	
跟	kuɛ̃1	
跡	tɕiʔ7	
跨	kʰua1	
跪	dʑy4	
路	luə6	
跳	tʰiɔ5	
踏	dɔʔ8	
踐	dʑiɛ̃6	
踢	tʰiʔ7	
踱	duə6	
蹄	diɛ2	
蹤	tsəŋ1	
蹩	biɛʔ8	
蹲	tɛ̃1	
蹺	tɕʰiɜ5	
躁	tsɜ5	
躁	tsʰɜ5	
躍	iɜ6	
身	ɕiŋ1	
躬	kəŋ1	
躲	tu1	
躺	tʰoŋ3	
車	tɕyɛ1	
車	tɕʰyə1	
軋	ɡɔʔ8	
軌	kuei3	
軍	tɕyeŋ1	
軒	ɕiɛ̃1	
軛	ŋaʔ7	
軟	ȵyɛ̃4	
軸	dʑyoʔ8	
較	kɔ3	
載	tsɛ3	
載	tsɛ5	
輔	fuə4	
輕	tɕʰiŋ1	
輛	liaŋ6	
輜	tsɯə1	
輝	fei1	
輟	tɕyɛʔ7	
輦	ȵiɛ̃4	
輩	pei5	
輪	lɛ̃i2	
輯	tɕʰiʔ7	
輸	ɕyɛ1	
轄	aʔ7	
轉	tyɛ̃3	
轉	tɕyɛ̃3	
轍	tɕʰiɛʔ7	
轎	dʑiɜ6	
轟	həŋ1	
轡	pʰei5	
辛	ɕiŋ1	
辜	kuə1	
辟	pʰiʔ7	
辣	lɔʔ8	
辦	bɔ̃6	
辨	biɛ̃4	
辭	sɯə2	
辮	biɛ̃4	
辯	biɛ̃4	
辰	ɕiŋ2	
辱	ȵyoʔ8	
農	nəŋ2	
迂	yɛ1	
迄	tɕʰiʔ7	
迅	ɕyeŋ3	
迎	ȵi2	
近	ɡɛ̃4	
近	dʑiŋ4	
迥	tɕiŋ3	
迫	paʔ7	
迭	diɛʔ8	
述	ɕyɛʔ8	
迷	miɛ2	
迸	poŋ5	
追	tɕy1	
退	tʰɛ5	
送	səŋ5	
逃	dɜ2	
逆	ȵiʔ8	
透	tʰei5	
逐	dʑyoʔ8	
途	duə2	
逗	dei6	
通	tʰəŋ1	
逝	sɿɛ6	
逞	dʑiŋ2	
速	sɤʔ7	
造	sɜ4	
逢	fəŋ2	
連	liɛ̃2	
逮	dɛ6	
進	tɕiŋ5	
逵	ɡuei2	
逸	iʔ8	
逼	piʔ7	
逾	yɛ2	
遁	dɛ̃6	
遂	ɕy6	
遇	ȵyɛ6	
遊	iəɯ2	
運	yeŋ6	
遍	piɛ̃5	
過	ku5	
遐	uə2	
道	dɜ4	
達	dɔʔ8	
違	uei2	
遜	sɛ̃5	
遞	diɛ6	
遠	yɛ̃4	
遢	tʰɔʔ7	
遣	tɕʰiɛ̃3	
適	ɕiʔ7	
遭	tsɜ1	
遮	tɕyə1	
遲	dzɿ2	
遵	tsɛ̃1	
遷	tɕʰiɛ̃1	
選	ɕyɛ̃3	
遺	iɛ2	
遼	liɔ2	
避	bi6	
邀	iɜ1	
邁	mɔ̃6	
還	uɔ̃2	
邊	piɛ̃1	
邋	lɔʔ8	
邑	iʔ7	
邦	poŋ1	
邪	ɕyə2	
邯	uɛ̃2	
邵	ɕiɜ4	
郊	kɔ1	
郎	loŋ2	
郝	haʔ7	
郡	dʑyeŋ6	
部	bu6	
郭	koʔ7	
郵	iəɯ2	
都	tu1	
鄂	ŋoʔ8	
鄉	ɕiaŋ1	
鄒	tsei5	
鄙	pi3	
鄧	dɛ̃6	
鄭	dʑiŋ6	
鄰	lɛ̃i2	
酉	iəɯ2	
酌	tɕiaʔ7	
配	pʰei5	
酒	tɕiəɯ3	
酣	fɛ̃1	
酥	suə1	
酪	loʔ8	
酬	dʑiəɯ2	
酵	hɔ1	
酷	kʰɤʔ7	
酸	sei1	
醇	ɕyeŋ2	
醉	tsɿ5	
醋	tsʰɯə5	
醒	ɕiŋ3	
醜	tɕʰiəɯ3	
醫	i1	
醬	tɕiaŋ5	
醮	tɕiɜ5	
釀	ȵiaŋ6	
釁	ɕiŋ5	
釅	ȵiɛ̃2	
采	tsʰɛ3	
釉	iəɯ6	
釋	ɕiʔ7	
重	dʑiəŋ4	
重	dʑioŋ2	
野	yə4	
量	liaŋ6	
量	liaŋ2	
金	tɕiŋ1	
釘	tiŋ1	
釘	tiŋ5	
釜	fuə4	
針	tɕiŋ1	
釣	tiɔ5	
釵	tsʰa1	
鈍	dɛ̃6	
鈔	tsʰɔ1	
鈞	tɕyeŋ1	
鈴	lɛ̃i2	
鈸	bɔʔ8	
鉗	dʑiɛ̃2	
鉛	kʰɔ̃1	
鉛	iɛ̃2	
鉤	kei1	
鉸	ɡɔʔ8	
銀	ȵi2	
銃	tɕʰiəŋ5	
銅	dəŋ2	
銘	miŋ2	
銜	ɡɔ̃2	
銬	kʰɜ5	
銳	ɕyɛ6	
銷	ɕiɜ1	
銼	tsʰu5	
鋒	fəŋ1	
鋤	suə2	
鋪	pʰuə1	
鋪	pʰuə5	
鋸	kɯə5	
鋼	koŋ1	
錄	loʔ8	
錐	tsei1	
錘	dʑy2	
錠	diŋ6	
錢	diɛ̃2	
錢	dʑiɛ̃2	
錦	tɕiŋ1	
錨	mɔ2	
錫	ɕiʔ7	
錯	tsʰu5	
鍁	ɕiɛ̃1	
鍋	ku1	
鍍	duə6	
鍘	sɔʔ8	
鍛	tɛ̃5	
鍬	tɕʰiɜ1	
鍵	dʑiɛ̃6	
鍾	tɕioŋ1	
鎖	su3	
鎮	tɕiŋ5	
鏈	liɛ̃6	
鏟	tsʰɔ̃3	
鏡	tɕiŋ5	
鏤	lei1	
鏽	ɕiəɯ5	
鐃	ȵiɔ2	
鐐	liɔ2	
鐘	tɕioŋ1	
鐮	liɛ̃2	
鐲	dʑyoʔ8	
鐵	tʰiɛʔ7	
鐸	doʔ8	
鐾	bi6	
鑄	tɕyɛ5	
鑊	oʔ8	
鑒	kɔ̃5	
鑞	lɔʔ8	
鑰	iaʔ8	
鑲	ɕiaŋ1	
鑷	ȵiɛʔ8	
鑼	luə2	
鑽	tsɛ̃5	
鑿	soʔ8	
長	tɕiaŋ3	
長	dɛ̃2	
長	dʑiaŋ2	
門	mɛ̃i2	
閂	ɕyɛ̃1	
閃	ɕiɛ̃3	
閉	pi5	
開	kʰɛ1	
閏	yeŋ6	
閑	ɔ̃2	
間	kɔ̃1	
間	kɔ̃5	
閘	sɔʔ8	
閣	koʔ7	
閧	həŋ6	
閨	tɕyɛ1	
閩	miŋ4	
閱	iaʔ8	
閹	iɛ̃1	
閻	iɛ̃2	
闊	kʰuɔʔ7	
闕	tɕʰyɛʔ7	
闖	tɕʰioŋ3	
關	kuɔ̃1	
阜	fuə4	
阮	ȵyɛ̃4	
防	foŋ2	
阻	tsuə3	
阿	aʔ7	
陀	du2	
附	fuə6	
陋	lei6	
陌	maʔ8	
降	koŋ5	
限	ɔ̃4	
陛	biɛ6	
陝	ɕiɛ̃3	
陡	tei3	
院	yɛ̃6	
陣	dʑyeŋ6	
除	dʑyɛ2	
陪	bei2	
陰	iŋ1	
陳	dʑiŋ2	
陵	lɛ̃i2	
陶	dɜ2	
陷	ɔ̃6	
陸	lɤʔ8	
陽	iaŋ2	
隆	ləŋ2	
隊	dei6	
階	ka1	
隑	ɡɛ4	
隔	kaʔ7	
隕	yeŋ4	
隘	a5	
隙	ɕiʔ7	
際	tsɿɛ5	
障	tɕiaŋ1	
隧	ɕy6	
隨	ɕy2	
險	ɕiɛ̃3	
隱	iŋ3	
隴	ləŋ4	
隸	diɛ6	
雀	tɕʰiaʔ7	
雁	ŋɔ̃2	
雄	iəŋ2	
雅	ŋuə4	
集	ɕiʔ8	
